"","reason.4","reason.16","reason.17","reason.19","letter.7","letter.33","letter.34","letter.58","matrix.45","matrix.46","matrix.47","matrix.55","rotate.3","rotate.4","rotate.6","rotate.8"
"111",2,4,2,3,6,2,3,3,5,1,3,4,4,4,6,3
"112",4,2,4,6,6,5,4,4,5,2,3,3,2,7,6,2
"113",4,4,4,4,6,4,4,4,5,2,2,4,3,2,4,2
"114",3,3,4,2,5,6,1,3,4,2,1,6,7,7,1,6
"115",4,3,4,6,6,3,4,4,5,2,2,4,6,3,7,3
"116",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"117",4,2,2,4,5,1,5,3,5,5,1,1,7,4,4,4
"118",4,4,6,6,6,3,4,4,4,1,1,6,4,4,4,6
"119",4,4,4,2,6,3,4,4,5,1,2,4,5,2,8,6
"120",4,3,4,6,6,3,4,4,3,2,2,6,8,8,8,8
"121",2,2,2,6,6,3,4,4,6,2,6,5,7,3,2,2
"122",3,4,4,6,6,3,4,4,5,2,2,3,6,7,1,2
"123",3,3,3,5,3,3,0,5,3,3,4,3,4,3,5,5
"124",4,4,4,6,6,3,4,4,5,2,2,2,3,2,6,4
"125",4,4,4,6,6,3,4,4,5,2,2,4,5,4,4,2
"126",4,1,2,1,3,0,3,2,3,6,4,4,7,6,6,7
"127",4,4,4,6,5,3,3,5,6,2,2,1,4,1,6,1
"128",4,4,4,3,6,3,4,4,5,2,2,4,4,4,6,7
"129",4,4,4,6,6,3,4,4,5,2,2,2,4,4,6,4
"130",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"131",4,4,4,6,6,3,4,1,5,2,2,4,8,8,8,4
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",4,4,4,2,6,1,1,1,2,4,2,6,7,7,1,6
"134",4,4,4,4,6,3,4,4,5,2,2,2,3,1,6,1
"135",4,4,6,6,6,1,3,5,2,4,2,3,5,4,4,4
"137",4,3,4,6,6,3,4,4,5,1,4,2,4,7,1,2
"139",4,4,4,6,6,3,4,4,5,2,2,4,6,8,1,2
"140",4,4,0,5,6,3,4,5,5,2,2,5,7,2,6,6
"141",4,4,0,2,6,2,1,1,5,2,1,6,4,7,1,2
"142",2,1,4,6,6,3,1,4,4,6,2,5,5,7,7,6
"143",4,4,4,6,6,3,4,4,5,6,2,2,6,2,6,7
"144",4,4,4,6,6,3,5,2,5,2,2,4,3,1,4,7
"145",4,3,4,6,6,2,4,4,2,2,2,4,1,8,2,4
"146",4,3,4,6,5,3,4,4,5,2,2,4,4,4,6,4
"148",4,4,4,6,6,3,4,1,4,2,4,3,4,4,4,4
"149",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"150",5,4,2,2,6,2,6,1,4,3,4,4,6,6,5,5
"151",4,4,2,6,5,1,4,4,5,5,2,4,7,7,4,4
"152",4,4,4,6,5,3,4,4,5,4,2,3,3,2,4,7
"153",4,4,4,6,4,3,3,5,2,2,6,0,6,3,0,7
"155",NA,NA,NA,NA,6,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA
"156",4,2,4,6,6,0,4,1,5,2,4,4,8,3,1,0
"157",3,4,3,2,6,2,3,3,4,3,2,4,5,7,1,6
"158",4,3,4,6,6,3,4,4,4,1,2,4,2,7,5,3
"159",4,4,4,6,6,2,3,1,3,6,2,4,4,4,7,5
"160",1,4,6,4,4,5,1,6,4,2,3,6,7,4,4,6
"161",4,1,6,4,5,4,2,4,5,2,6,5,8,8,8,8
"162",4,4,4,6,6,5,3,4,5,1,2,4,5,7,1,2
"163",4,4,4,6,4,6,1,5,5,6,2,6,8,8,5,8
"164",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"165",4,2,6,5,4,3,4,3,4,4,2,6,8,7,1,2
"166",4,3,4,3,6,3,2,4,4,3,2,4,6,0,6,5
"167",4,4,6,6,5,3,4,3,5,2,2,6,4,8,1,7
"168",3,1,4,4,6,3,4,1,5,2,2,6,4,7,1,2
"169",0,0,0,6,0,0,4,4,0,0,0,6,8,0,8,0
"170",3,1,4,6,6,3,4,4,2,4,2,6,4,7,1,4
"171",3,3,6,6,6,3,4,2,5,1,2,6,5,7,1,6
"172",4,2,4,6,5,3,1,4,6,6,5,0,8,8,8,8
"173",3,4,4,6,6,3,3,5,6,2,2,1,2,5,8,6
"174",4,2,4,2,5,3,4,1,4,2,2,4,3,1,6,4
"175",3,4,4,6,6,3,4,4,5,2,2,4,4,7,1,4
"176",4,4,4,6,6,3,4,4,5,4,2,4,3,7,8,7
"177",1,1,5,2,6,1,0,1,1,2,1,4,7,8,8,6
"178",4,4,4,6,6,3,1,4,5,2,2,4,2,3,6,3
"180",3,4,6,5,4,3,1,5,3,2,4,4,7,7,8,6
"181",4,4,4,6,6,3,4,5,5,2,2,4,8,8,8,8
"182",3,4,5,6,4,2,4,5,4,4,4,2,8,8,8,8
"183",3,3,4,5,6,5,4,4,4,2,2,6,5,7,1,6
"184",1,1,3,6,5,3,3,4,5,1,2,3,6,7,3,4
"185",3,4,6,2,4,3,2,5,3,3,6,3,7,7,8,8
"186",3,3,1,2,5,3,2,4,2,3,6,2,5,1,1,5
"187",5,3,5,4,6,1,5,2,2,2,2,3,7,8,1,8
"188",5,3,6,5,6,3,4,4,5,2,2,2,7,4,1,6
"189",4,4,4,6,6,0,4,4,5,4,2,3,3,2,6,7
"190",4,4,4,6,6,3,4,4,5,2,2,4,8,8,8,8
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",2,3,5,2,5,5,3,5,5,3,3,2,6,4,5,1
"193",4,4,6,6,6,3,4,4,2,2,2,4,5,2,6,3
"195",3,4,4,5,5,1,4,4,3,2,4,5,5,8,7,7
"196",4,4,4,6,6,3,4,4,4,3,2,2,5,7,1,6
"197",0,4,4,6,4,1,4,5,5,2,2,6,5,4,6,2
"198",2,4,4,2,3,3,0,4,5,2,2,2,4,5,4,4
"201",4,4,4,6,5,3,4,4,4,1,2,2,3,2,6,7
"202",6,4,2,1,4,2,2,1,2,3,2,3,5,4,8,1
"203",4,2,4,2,6,1,4,4,6,1,2,6,5,7,1,2
"204",2,2,3,2,4,5,1,5,2,5,4,3,7,3,4,4
"205",3,4,4,6,6,3,4,4,4,2,2,4,5,4,6,4
"206",1,1,2,5,1,1,2,1,3,2,4,3,7,3,4,3
"207",3,4,4,5,5,1,3,4,5,2,4,4,6,5,8,8
"208",3,2,5,5,6,3,3,1,3,3,6,4,1,7,3,3
"209",4,4,4,2,6,3,4,3,4,2,2,6,3,2,6,7
"210",2,4,4,6,6,3,4,1,2,4,6,2,5,7,1,2
"211",2,1,5,5,5,2,4,1,5,2,1,6,5,4,1,6
"212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",2,4,4,4,4,3,4,5,5,2,4,2,5,6,1,1
"215",4,3,4,5,6,2,1,2,5,4,2,4,7,7,1,5
"217",4,4,6,4,5,6,4,1,3,2,2,2,4,4,8,8
"218",4,4,4,6,6,3,4,1,5,2,2,4,3,2,6,7
"219",2,4,0,6,6,1,3,4,3,5,6,3,4,4,8,8
"220",4,4,4,6,6,3,4,4,5,2,2,4,4,7,1,2
"221",3,4,4,6,6,3,4,5,4,3,2,4,4,4,6,4
"222",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,4
"223",4,4,4,6,5,3,4,4,5,2,2,6,6,2,8,2
"224",2,4,4,6,6,3,4,4,5,2,2,2,8,8,8,7
"225",4,4,4,6,5,3,4,5,5,2,2,2,3,6,6,2
"226",6,4,1,5,5,1,2,2,5,3,4,6,5,7,1,6
"228",4,3,4,6,4,3,3,4,5,5,1,6,8,8,8,8
"229",4,2,4,5,6,2,4,5,5,2,2,4,4,5,6,7
"230",4,4,4,6,4,3,4,4,2,1,2,2,3,2,3,5
"231",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"232",1,3,6,2,6,2,4,2,5,1,2,5,7,7,1,6
"233",4,4,4,6,4,3,4,1,5,2,5,4,3,2,6,7
"235",4,3,0,5,6,3,4,1,4,2,2,5,8,8,8,8
"236",4,3,4,6,6,3,4,4,4,4,1,4,5,7,4,6
"238",1,1,4,6,4,3,1,5,5,4,2,4,5,7,8,8
"239",4,4,4,6,3,3,3,3,4,1,4,4,7,2,5,1
"241",6,1,1,6,6,1,3,2,5,3,4,6,5,7,1,2
"242",4,4,4,6,6,3,4,4,4,3,6,4,6,2,3,4
"243",3,1,3,6,6,3,4,4,2,5,6,4,4,8,8,8
"245",4,4,6,6,6,2,4,1,5,2,2,6,4,5,8,3
"246",1,4,4,6,6,3,4,4,5,1,2,2,7,7,2,2
"247",4,4,4,6,0,3,4,3,5,2,2,6,8,8,4,1
"248",2,4,6,4,0,0,4,2,4,3,2,6,4,3,6,4
"249",0,4,0,6,6,3,4,4,5,2,2,3,8,8,8,8
"251",3,4,3,4,6,4,3,2,1,5,1,5,8,8,8,8
"252",5,3,5,4,6,1,2,3,5,2,4,2,5,7,1,2
"253",1,1,5,1,3,2,0,2,5,4,2,4,7,4,1,3
"254",1,4,4,5,5,3,4,1,5,2,4,3,5,7,1,2
"255",4,4,4,6,6,5,4,4,3,2,6,4,2,3,6,6
"256",4,4,4,6,6,3,4,4,6,2,2,6,6,8,6,7
"257",4,4,4,6,5,3,4,4,5,2,2,4,8,8,8,8
"258",4,4,4,5,6,3,4,4,5,2,1,6,7,3,1,3
"259",4,2,1,6,6,5,3,1,2,6,5,3,3,4,6,4
"260",4,4,4,6,6,3,4,5,5,2,2,2,7,2,4,6
"261",4,4,4,6,4,3,1,5,5,2,2,4,8,8,8,8
"262",4,4,4,6,6,3,4,5,5,2,3,5,5,7,1,2
"263",2,4,1,2,6,3,4,4,5,2,2,3,4,4,4,2
"269",5,2,4,5,6,6,1,5,6,6,6,2,2,7,7,6
"270",2,1,6,6,6,3,2,1,5,2,2,3,4,7,1,2
"272",0,0,0,2,0,0,5,5,0,2,0,2,1,0,0,0
"275",3,4,4,5,6,1,1,2,5,5,3,6,4,7,8,3
"287",1,4,4,2,4,3,4,0,4,2,2,5,5,3,1,6
"293",2,4,2,2,6,3,4,4,6,1,1,4,7,7,1,6
"294",1,4,4,6,6,3,4,1,4,2,2,2,4,2,6,6
"295",4,4,4,6,6,3,4,4,5,2,6,5,1,4,6,3
"296",3,4,4,4,5,1,1,4,3,3,4,4,4,2,6,5
"297",5,4,6,6,5,3,3,4,5,2,4,1,5,7,1,7
"298",4,4,4,4,6,3,4,6,5,6,2,4,4,4,4,4
"299",4,4,4,6,6,3,4,4,5,2,2,4,4,4,1,2
"300",4,4,4,6,3,5,3,2,5,5,2,3,8,4,8,8
"303",4,2,4,6,6,3,4,4,5,2,6,4,6,2,4,2
"305",4,4,6,6,6,2,4,4,5,2,4,6,3,8,3,3
"306",4,4,4,6,6,2,4,4,5,2,2,4,3,2,6,7
"307",2,4,4,6,6,3,4,4,4,1,4,2,7,4,6,3
"308",4,4,6,4,4,5,1,5,3,2,2,4,5,7,1,2
"309",4,4,4,6,6,3,4,4,5,2,1,4,7,7,1,6
"311",4,4,4,2,6,3,1,2,5,2,2,2,2,6,6,3
"312",3,4,4,4,3,4,4,4,5,2,2,2,5,2,6,3
"313",4,4,4,6,6,3,4,4,5,4,4,4,4,7,1,2
"314",4,2,4,2,6,3,4,2,3,2,2,3,2,5,6,6
"315",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,4
"316",2,3,4,2,5,1,3,1,0,0,2,0,8,8,8,2
"317",2,4,1,5,6,3,4,1,3,2,6,6,4,7,1,2
"319",2,3,4,1,3,3,3,5,5,2,5,6,4,4,6,4
"320",4,4,4,4,6,3,4,1,5,2,2,3,8,8,4,4
"321",4,4,4,6,6,0,4,4,5,2,2,4,3,2,6,7
"322",2,3,0,6,5,3,4,5,5,5,2,3,8,7,1,4
"323",4,3,4,5,6,3,4,4,6,2,5,6,7,1,6,6
"324",4,4,4,6,6,3,4,4,5,2,2,4,3,6,6,4
"325",3,2,4,2,0,2,2,1,3,4,4,3,5,7,1,6
"326",4,2,3,3,5,2,2,4,5,2,2,2,4,4,5,8
"327",4,4,4,6,6,2,3,5,3,2,2,4,5,7,1,2
"328",2,5,4,6,4,2,3,2,4,2,4,2,7,7,1,5
"330",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"331",4,4,4,3,5,3,2,5,5,2,2,4,8,7,1,2
"332",2,4,4,6,4,1,2,2,5,4,2,2,5,6,2,5
"333",4,4,6,6,6,3,4,4,5,2,2,4,4,7,1,2
"335",4,3,4,6,6,3,4,0,5,2,1,2,8,7,8,8
"336",2,2,2,5,4,6,3,1,6,5,2,2,5,8,8,8
"337",4,4,4,6,6,3,4,4,3,2,2,2,5,7,1,2
"338",4,4,4,6,6,3,4,4,5,2,2,6,4,4,4,4
"339",3,3,3,4,3,5,3,3,4,4,4,3,5,6,6,3
"340",4,4,4,6,6,3,4,4,5,2,2,4,3,6,6,7
"341",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,4
"342",2,3,2,6,5,3,3,1,3,4,2,3,1,4,3,8
"343",4,4,4,6,6,3,4,4,5,2,2,4,8,8,8,4
"345",4,4,3,6,6,3,4,4,5,4,4,4,3,2,6,7
"347",6,4,6,6,6,4,6,4,6,4,6,4,8,8,5,7
"348",4,4,4,6,6,3,4,4,4,2,2,4,3,2,6,4
"349",3,4,5,6,6,3,4,4,5,1,2,2,4,7,1,2
"350",4,4,4,6,4,2,2,2,4,2,6,2,3,5,6,3
"352",4,4,4,6,4,5,1,5,4,1,1,3,7,7,6,1
"353",4,4,4,6,6,3,4,4,4,4,0,4,3,0,3,0
"354",4,4,1,2,6,2,1,4,5,2,2,2,3,2,6,7
"357",4,4,4,4,6,0,0,0,5,2,2,6,4,7,4,2
"358",4,4,4,1,3,2,5,5,6,6,1,4,5,7,1,6
"359",4,4,4,6,6,4,5,4,5,2,2,4,7,3,6,6
"360",4,4,4,6,5,3,4,4,3,2,2,4,3,2,6,7
"361",4,4,4,2,6,5,4,5,4,2,2,3,4,7,1,2
"363",4,3,4,2,6,3,4,4,5,2,2,4,4,2,6,7
"364",3,2,1,4,4,3,1,1,4,3,3,1,1,3,4,3
"365",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,4
"366",4,4,4,6,6,3,4,4,5,2,2,4,8,8,8,8
"367",4,4,3,2,6,3,4,5,4,1,2,4,0,8,8,8
"368",4,4,4,6,5,3,4,1,5,2,2,3,7,2,1,6
"369",4,4,6,6,5,2,2,1,4,4,2,3,5,8,5,6
"370",4,4,4,6,0,3,4,1,5,2,2,2,4,4,6,7
"371",4,4,4,6,6,3,4,4,2,1,2,4,3,2,4,7
"372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"373",4,4,4,6,6,4,4,4,5,2,2,3,4,7,1,2
"374",4,0,4,0,6,4,0,4,0,0,2,0,4,0,7,0
"375",4,4,4,2,6,3,4,4,3,5,2,4,3,2,2,3
"376",4,4,4,6,6,6,6,6,5,3,2,2,8,8,8,8
"377",4,4,4,6,6,3,4,1,0,2,2,0,4,4,6,2
"379",3,3,4,6,6,1,1,1,4,3,3,2,8,8,1,3
"380",4,4,4,6,6,3,4,4,5,1,2,3,5,7,1,2
"381",4,3,4,5,5,2,2,2,5,5,1,5,5,7,1,2
"382",3,4,4,6,6,3,4,1,5,5,2,4,4,7,1,2
"383",4,4,1,6,6,3,4,4,5,2,2,5,3,2,6,7
"384",4,4,4,6,2,3,4,4,3,1,1,2,7,4,4,7
"385",4,3,4,6,6,3,4,4,5,2,5,5,4,7,1,2
"388",4,4,0,2,6,0,4,0,5,0,5,6,4,8,8,5
"389",4,4,4,6,6,5,4,4,5,2,4,4,5,2,5,2
"390",2,4,4,2,6,3,6,1,3,4,5,1,5,7,1,2
"391",4,2,4,6,2,2,2,1,2,3,0,3,0,6,4,1
"392",2,4,4,5,6,3,4,4,4,4,4,2,7,7,6,2
"393",3,1,3,3,1,3,3,1,4,4,3,4,4,4,4,5
"394",0,4,6,2,5,1,4,4,0,1,2,0,0,0,8,4
"395",4,2,4,6,6,1,2,3,5,1,2,4,6,6,6,7
"396",4,4,3,6,6,3,3,4,5,2,5,2,4,7,1,2
"397",4,3,4,6,6,2,6,4,5,4,2,4,4,1,6,2
"399",5,2,2,4,1,1,4,2,6,5,3,3,5,1,7,4
"400",3,3,4,5,4,2,1,5,2,6,2,4,8,5,3,5
"401",2,2,5,5,4,3,1,5,3,1,5,3,4,4,1,4
"402",2,4,4,2,5,2,5,3,5,1,6,4,7,7,1,6
"403",1,3,4,2,2,2,3,1,5,2,1,4,5,7,1,2
"404",3,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"405",4,4,4,6,6,3,4,4,4,1,4,2,2,6,6,4
"406",2,3,4,6,4,5,4,1,5,2,2,2,5,7,1,2
"407",4,4,3,3,6,3,4,5,5,5,5,5,5,5,6,5
"408",4,4,4,6,5,5,4,4,5,2,4,6,1,3,2,3
"409",4,4,4,6,4,5,1,5,3,2,3,6,2,8,8,8
"410",4,4,4,6,2,5,1,1,5,2,2,4,4,7,4,4
"411",4,4,4,6,6,3,4,4,5,2,2,4,8,7,8,7
"412",3,4,4,6,6,3,4,4,4,6,2,4,4,4,4,2
"413",4,1,4,6,6,1,4,3,5,2,2,4,7,7,6,6
"414",4,4,6,4,6,6,4,4,5,1,2,6,4,2,6,4
"416",4,4,4,6,6,3,4,1,5,2,2,3,1,3,2,3
"417",4,1,4,6,6,3,4,4,5,1,4,4,3,2,6,4
"418",4,4,4,1,6,3,4,4,5,2,2,4,4,2,1,2
"419",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"420",4,4,4,6,6,2,4,4,5,2,2,4,3,2,6,7
"422",5,4,4,2,6,3,4,4,5,2,2,4,5,7,6,2
"425",1,4,4,5,4,2,4,6,5,2,2,5,4,8,8,8
"426",4,4,4,6,5,3,5,4,3,2,2,2,2,7,1,2
"428",4,4,4,6,6,3,4,1,5,2,2,4,3,2,4,7
"430",1,1,6,5,5,2,2,5,2,5,5,2,2,7,5,5
"431",4,4,4,6,5,5,4,4,5,2,2,4,3,2,6,6
"432",6,3,4,4,6,5,4,4,5,2,2,6,5,7,1,2
"433",4,3,4,5,6,3,1,4,5,1,4,6,2,2,6,3
"434",4,4,4,6,6,3,5,0,5,2,2,2,4,7,1,2
"435",4,4,4,6,6,2,2,4,5,1,2,6,5,7,1,2
"436",3,2,4,6,5,2,4,2,4,1,4,2,7,7,1,2
"437",2,4,1,6,6,2,3,3,3,2,2,6,5,4,1,2
"438",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"439",4,4,6,6,6,1,3,4,4,1,6,4,4,7,1,7
"441",4,3,4,6,6,3,3,4,5,2,2,1,7,7,1,6
"442",4,4,4,5,6,3,4,5,5,2,4,2,5,7,1,2
"444",4,3,6,6,6,3,4,4,5,2,2,4,5,7,1,2
"445",4,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0
"446",4,4,4,6,6,3,4,4,5,2,2,2,6,2,6,7
"447",4,4,4,6,6,3,4,4,5,2,2,2,4,7,4,2
"448",4,1,4,6,5,5,5,5,5,2,2,4,3,4,6,7
"449",2,4,3,6,6,2,1,2,4,4,3,3,4,2,5,4
"451",4,0,4,5,5,2,2,1,5,2,1,6,5,3,1,8
"452",0,4,0,0,6,0,4,0,6,2,2,0,8,8,5,8
"454",3,4,6,5,5,3,4,3,5,2,1,6,5,6,4,8
"455",4,4,4,6,6,3,5,4,5,2,2,4,3,2,6,7
"456",1,4,6,6,5,1,3,2,3,4,2,4,2,5,2,6
"457",4,3,2,6,5,2,5,1,4,1,3,6,2,5,6,2
"458",4,4,4,6,6,3,4,5,3,2,2,2,8,8,8,8
"459",4,4,4,6,6,3,4,4,3,6,2,6,6,2,1,2
"460",2,4,4,2,5,6,4,4,2,4,3,6,4,4,6,5
"461",4,2,4,6,6,5,4,1,3,2,2,6,3,2,6,3
"463",4,4,4,6,6,3,4,4,3,2,2,4,3,2,6,7
"464",4,4,6,5,6,1,4,5,4,1,2,4,4,4,4,2
"466",4,1,6,4,6,3,4,4,4,2,2,3,3,2,6,7
"467",4,3,2,2,2,5,2,1,5,2,1,3,5,3,7,5
"468",5,4,4,2,5,3,6,3,6,5,4,6,5,8,8,8
"469",4,2,4,3,6,3,4,4,5,2,2,4,6,5,1,0
"470",3,2,4,6,3,4,2,0,4,4,5,6,4,6,3,3
"471",2,4,4,6,6,2,0,2,5,6,2,6,7,5,4,6
"472",4,3,0,5,6,3,4,2,4,4,2,5,8,0,0,8
"473",2,4,4,6,6,3,4,4,5,2,4,2,2,3,6,3
"474",3,4,2,1,6,5,4,4,3,2,2,6,8,7,7,4
"476",4,4,4,2,6,3,4,1,2,2,2,2,7,4,6,6
"477",4,4,4,6,5,6,4,4,5,2,5,4,3,1,5,7
"479",4,4,2,4,6,3,4,5,4,1,2,4,4,7,1,2
"480",0,4,6,0,0,0,0,5,5,0,0,0,7,7,0,0
"481",4,4,4,6,6,6,4,4,5,2,2,6,3,4,6,7
"482",4,4,4,6,4,3,6,5,2,1,6,4,2,3,6,1
"483",4,4,4,6,6,3,4,4,5,2,2,4,4,2,3,6
"484",4,4,4,6,6,3,4,4,5,2,2,2,7,7,4,2
"485",1,4,6,6,4,1,3,4,3,4,5,4,8,8,8,8
"486",4,4,4,6,6,2,3,1,4,1,2,4,4,4,4,4
"489",4,3,4,6,6,5,4,5,3,2,2,2,8,8,4,8
"490",4,2,4,6,6,4,5,5,5,2,2,5,4,7,5,2
"492",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"493",4,4,4,6,6,3,4,1,5,2,2,6,8,8,8,8
"495",4,4,4,6,6,2,4,3,4,5,3,6,8,3,7,8
"496",0,5,4,6,6,3,4,4,4,3,1,3,7,2,3,6
