"","gender","education","age","ACT","SATV","SATQ"
"30762",1,4,23,32,660,720
"30787",1,3,19,36,780,690
"30794",2,4,21,32,680,700
"30821",1,4,23,30,780,760
"30836",2,4,29,27,640,600
"30843",2,5,24,35,790,720
"30862",1,5,31,29,700,600
"30889",1,4,53,33,633,729
"30899",2,3,20,30,240,600
"30911",2,4,24,32,790,660
"30913",2,5,50,26,600,650
"30930",1,4,23,36,680,750
"30940",2,4,23,36,620,660
"30941",1,5,23,27,540,680
"30943",2,5,22,26,600,700
"30958",1,4,23,29,600,610
"30980",2,5,65,23,700,650
"30981",2,3,20,23,520,550
"30985",1,4,26,29,690,710
"31019",1,5,39,32,720,480
"31026",2,5,26,32,700,740
"31033",1,3,21,30,620,720
"31038",1,4,33,28,530,630
"31062",2,4,25,23,580,560
"31068",2,4,22,36,580,700
"31074",2,5,26,26,550,700
"31080",2,4,33,36,500,500
"31081",2,3,21,34,600,660
"31083",2,4,23,23,480,500
"31084",2,3,19,28,450,500
"31092",1,3,23,23,600,550
"31118",2,3,19,28,540,650
"31167",1,5,37,32,640,800
"31172",2,3,21,16,510,400
"31178",1,5,34,29,650,600
"31190",2,5,30,29,600,730
"31204",2,3,19,29,570,560
"31211",2,3,19,32,660,700
"31292",2,3,20,26,550,500
"31294",2,5,28,23,500,NA
"31299",1,1,45,35,450,500
"31307",2,4,28,28,500,500
"31314",2,4,25,25,560,570
"31367",2,5,57,23,650,400
"31376",2,5,62,36,750,790
"31398",2,4,34,30,660,600
"31421",2,4,36,30,600,600
"31435",2,4,24,33,760,620
"31454",2,5,61,31,620,700
"31519",1,3,21,28,580,720
"31553",2,4,30,35,420,680
"31587",2,3,22,32,720,610
"31589",2,3,20,26,400,690
"31594",2,3,22,34,690,770
"31596",2,3,22,34,690,770
"31655",2,5,43,32,780,550
"31657",2,5,26,24,540,530
"31673",1,5,36,32,650,720
"31687",1,2,22,23,420,320
"31722",1,0,17,35,800,800
"31730",1,0,16,24,800,800
"31738",2,0,17,30,600,600
"31741",1,0,16,26,800,800
"31758",2,5,58,26,740,700
"31771",2,0,16,30,700,700
"31781",1,0,17,34,760,745
"31786",2,1,18,19,500,500
"31795",2,4,23,23,570,630
"31844",2,5,27,31,725,465
"31858",2,4,27,28,675,500
"31869",1,4,28,32,580,800
"31882",2,4,35,25,350,350
"31891",1,5,22,26,500,600
"31894",2,3,18,31,720,650
"31912",2,5,27,34,700,760
"31917",1,5,33,31,540,720
"31937",2,1,17,30,700,700
"31977",1,5,40,36,700,750
"31982",2,5,57,32,603,695
"31989",1,5,43,33,590,680
"32067",2,3,19,29,640,670
"32070",2,5,40,25,620,540
"32071",2,4,37,30,500,500
"32097",2,5,38,34,500,500
"32104",1,2,26,32,800,800
"32121",1,2,26,29,700,680
"32138",1,3,20,25,540,640
"32204",2,5,40,32,600,600
"32215",1,4,23,33,700,680
"32220",1,4,38,35,600,600
"32229",2,0,17,26,650,650
"32238",1,3,21,24,460,580
"32241",1,4,33,23,700,400
"32276",2,4,22,35,800,750
"32293",2,1,17,27,750,678
"32314",1,5,42,28,600,530
"32361",2,3,20,27,600,600
"32368",1,5,57,28,650,675
"32388",2,5,33,32,640,630
"32393",2,3,22,34,740,560
"32406",2,5,58,27,550,575
"32409",1,3,20,31,630,650
"32417",2,3,22,17,600,500
"32418",2,3,24,25,350,350
"32423",2,4,25,36,700,700
"32429",1,3,24,29,650,610
"32448",2,2,55,30,600,NA
"32536",2,3,19,29,650,600
"32563",2,5,24,28,650,650
"32572",2,4,26,28,620,600
"32600",2,4,37,30,679,678
"32603",1,5,44,30,390,720
"32609",2,5,35,31,790,660
"32621",1,4,25,29,650,650
"32651",2,4,30,28,620,660
"32677",2,3,23,26,420,450
"32686",2,0,18,31,640,670
"32691",2,0,17,25,640,620
"32692",2,0,17,21,580,480
"32695",2,4,26,24,500,500
"32697",2,2,26,36,550,555
"32714",1,0,18,34,770,800
"32719",1,1,18,32,700,710
"32720",1,1,18,23,560,630
"32721",2,0,18,36,800,770
"32762",1,1,17,34,730,710
"32772",1,5,37,28,580,600
"32777",1,1,18,19,440,560
"32779",2,5,30,31,650,550
"32791",2,3,23,21,245,350
"32803",2,3,20,19,400,450
"32811",1,4,36,22,450,460
"32813",1,4,50,30,700,700
"32817",2,3,18,18,380,540
"32840",1,3,21,36,710,680
"32845",1,0,18,28,590,620
"32887",2,1,21,24,625,650
"32895",2,3,20,28,760,620
"32897",2,4,32,23,490,580
"32906",2,0,17,30,770,660
"32914",2,5,24,22,550,600
"32916",1,3,30,23,540,430
"32952",2,3,19,25,520,580
"32983",1,4,28,25,520,670
"32988",2,3,21,24,620,480
"33012",1,2,21,30,600,600
"33061",2,4,22,30,720,650
"33073",2,5,35,24,650,500
"33091",2,3,22,22,550,490
"33099",1,3,21,22,580,640
"33130",2,3,22,27,570,570
"33139",1,4,28,27,600,680
"33198",2,1,19,35,750,720
"33213",1,4,28,16,500,500
"33231",1,0,17,28,670,660
"33256",2,5,22,25,600,600
"33257",2,3,19,23,570,570
"33259",2,3,18,32,770,NA
"33306",1,3,18,25,625,650
"33314",2,0,17,28,550,550
"33337",2,3,23,35,200,200
"33341",2,3,21,28,640,690
"33345",2,3,20,24,600,460
"33352",2,3,28,27,445,525
"33374",2,3,22,30,650,675
"33386",2,3,19,34,750,700
"33388",1,3,30,35,600,700
"33400",1,1,18,33,780,650
"33406",2,1,18,19,500,500
"33408",2,5,30,25,590,570
"33415",2,2,43,35,600,600
"33424",2,3,23,26,430,430
"33426",2,3,20,24,620,540
"33436",2,4,50,20,600,300
"33444",2,4,40,30,500,500
"33447",1,4,26,32,700,700
"33481",1,3,26,30,690,760
"33492",1,0,17,29,700,770
"33518",2,5,31,28,500,600
"33521",2,3,20,23,650,500
"33539",2,3,31,36,700,500
"33547",1,2,55,25,550,700
"33567",2,3,19,29,690,700
"33568",2,3,19,20,475,475
"33572",2,3,25,32,600,400
"33607",2,3,30,24,640,750
"33672",2,2,19,30,600,600
"33688",1,1,18,33,780,650
"33702",2,3,22,21,600,480
"33720",2,3,23,20,330,520
"33865",1,2,25,32,740,720
"33878",1,2,22,30,300,300
"33902",1,3,20,31,560,780
"33926",1,3,20,25,660,520
"33930",1,1,18,18,300,400
"33949",2,1,18,25,540,550
"33965",2,3,21,26,450,450
"33981",2,4,25,29,660,680
"33982",1,4,26,33,660,800
"33990",1,3,20,31,750,725
"33997",1,4,34,25,430,540
"34005",2,4,22,27,720,690
"34025",2,3,20,36,760,730
"34027",2,4,24,32,680,640
"34036",2,5,35,32,640,700
"34071",2,2,34,26,680,540
"34101",2,4,24,23,500,540
"34106",2,5,36,34,600,610
"34108",1,4,27,27,640,640
"34182",2,3,21,30,710,650
"34183",2,4,45,30,750,420
"34187",1,4,57,28,550,600
"34190",2,3,19,25,500,500
"34208",1,3,19,20,480,480
"34211",2,2,26,26,600,640
"34212",2,3,18,33,800,770
"34225",2,5,25,23,480,450
"34227",2,3,20,33,750,740
"34233",1,5,36,25,500,510
"34242",2,3,19,27,700,650
"34251",1,5,37,26,530,600
"34279",2,0,16,28,700,700
"34280",2,0,16,28,600,700
"34284",1,0,16,35,700,750
"34319",1,4,30,21,500,450
"34323",2,2,24,28,720,450
"34356",2,5,40,29,600,600
"34376",2,5,27,32,790,750
"34382",2,4,41,30,650,650
"34387",2,1,17,18,440,300
"34404",2,3,19,32,700,700
"34407",1,3,21,32,670,750
"34414",2,1,18,27,680,540
"34418",1,3,19,17,300,300
"34429",2,4,24,28,600,600
"34456",2,3,18,21,490,480
"34491",2,3,20,30,650,650
"34512",2,4,44,25,640,420
"34521",2,3,20,32,720,730
"34548",2,0,17,35,720,790
"34552",1,5,26,32,740,620
"34578",2,3,18,16,430,350
"34583",2,3,25,27,500,500
"34624",2,1,18,27,700,650
"34628",2,3,21,20,300,300
"34648",1,2,19,31,680,700
"34699",1,5,44,30,550,660
"34731",1,0,16,24,540,540
"34734",2,0,17,26,590,520
"34745",1,4,34,19,590,742
"34755",2,5,37,24,500,400
"34757",2,3,21,27,580,500
"34770",1,5,39,35,600,800
"34782",2,3,19,27,600,570
"34812",2,3,22,32,700,690
"34818",2,1,37,26,412,680
"34842",2,3,19,25,650,500
"34876",2,3,18,29,670,640
"34881",2,5,44,36,480,700
"34895",1,0,14,30,600,600
"34897",1,4,52,25,700,650
"34989",2,3,21,22,530,520
"34992",2,3,20,27,540,540
"34995",2,3,20,23,657,609
"35001",1,3,18,34,700,800
"35033",2,5,28,31,730,690
"35038",1,0,17,33,700,780
"35072",2,3,20,31,780,640
"35077",2,2,25,26,500,580
"35088",2,2,57,35,650,750
"35091",1,3,29,33,590,770
"35094",2,3,21,29,620,680
"35098",2,4,26,28,800,500
"35106",2,3,20,27,600,NA
"35121",2,3,23,27,400,450
"35147",2,5,24,31,670,680
"35156",2,3,19,31,630,600
"35160",2,3,19,32,640,660
"35173",2,3,20,22,560,450
"35186",2,1,17,35,350,230
"35212",2,3,19,25,530,570
"35231",1,3,20,25,560,580
"35260",2,3,18,23,550,600
"35283",2,3,22,26,450,500
"35289",2,3,20,27,590,530
"35298",2,3,20,27,650,NA
"35306",2,3,20,34,730,710
"35314",1,5,24,30,500,500
"35315",2,3,21,32,690,730
"35339",2,5,38,26,600,450
"35340",1,3,20,25,570,550
"35345",2,5,28,29,410,760
"35350",1,3,20,22,600,450
"35356",1,3,22,28,700,740
"35366",1,3,17,35,740,770
"35367",2,4,22,24,690,690
"35375",2,4,31,27,400,540
"35377",2,3,21,32,790,650
"35380",2,3,27,17,300,300
"35427",2,3,19,18,420,440
"35449",1,3,19,20,510,420
"35451",2,5,50,35,700,640
"35461",2,4,22,32,750,690
"35476",1,4,25,24,600,400
"35491",1,2,33,32,700,710
"35504",2,5,29,29,650,500
"35515",2,0,17,28,600,650
"35524",1,5,31,27,475,475
"35550",2,1,17,27,610,730
"35563",2,5,37,20,500,490
"35569",2,3,18,22,520,630
"35574",2,3,32,33,650,635
"35582",2,5,25,30,670,550
"35599",1,3,20,34,770,780
"35605",2,4,48,28,600,450
"35608",2,4,49,32,600,600
"35623",2,3,22,30,450,350
"35640",2,2,28,23,540,520
"35661",2,5,33,34,760,670
"35674",2,4,22,26,700,450
"35692",2,5,29,32,600,500
"35703",1,3,25,22,550,550
"35726",2,3,17,29,550,620
"35778",2,2,18,23,450,550
"35784",2,3,19,35,700,600
"35800",1,5,30,32,660,740
"35813",2,3,19,31,650,620
"35837",1,1,18,27,740,670
"35838",1,1,18,29,670,NA
"35842",1,3,19,29,730,560
"35848",1,1,18,33,720,710
"35862",2,3,20,35,600,700
"35875",2,2,19,21,400,480
"35910",2,0,16,24,800,800
"35938",2,5,28,29,410,760
"35949",2,3,22,30,650,650
"35957",2,3,19,30,550,550
"35962",2,4,29,32,600,720
"35965",2,3,19,28,650,650
"35967",2,3,18,28,700,700
"35977",2,3,21,25,580,660
"35978",2,3,18,28,700,700
"35979",1,5,55,33,730,710
"35984",2,3,19,32,500,650
"35995",1,2,20,20,400,400
"36001",2,3,19,21,500,420
"36018",2,3,19,28,600,770
"36028",2,3,19,35,500,600
"36041",1,2,19,26,690,490
"36093",1,2,22,3,200,400
"36094",2,3,20,21,510,510
"36107",1,3,20,21,450,550
"36120",2,5,34,32,640,480
"36124",2,3,18,31,610,670
"36126",1,3,25,27,620,500
"36148",2,3,33,35,760,750
"36159",1,5,43,32,730,780
"36176",1,2,25,24,620,670
"36186",2,5,34,34,640,640
"36205",1,2,20,32,710,710
"36249",2,3,18,31,800,750
"36253",1,3,19,36,600,650
"36271",2,3,20,23,600,300
"36306",2,2,19,28,650,700
"36310",1,3,19,35,730,720
"36314",2,3,18,22,540,600
"36335",2,3,20,26,600,600
"36352",1,3,19,29,620,590
"36358",2,5,36,29,650,650
"36377",2,3,19,21,600,500
"36381",1,4,24,31,750,650
"36382",2,3,19,36,530,680
"36402",1,2,20,25,400,400
"36403",2,5,27,27,600,480
"36441",1,3,20,17,480,400
"36455",2,2,27,32,750,750
"36463",1,3,19,32,500,700
"36470",1,3,19,22,540,590
"36495",2,1,18,26,689,654
"36497",2,4,21,30,630,630
"36515",2,3,44,25,600,600
"36524",2,3,44,25,600,600
"36533",2,3,19,34,500,600
"36541",1,3,22,24,410,680
"36556",1,2,25,20,450,450
"36576",1,5,22,32,650,620
"36597",2,2,28,25,610,590
"36600",2,0,18,21,550,440
"36602",2,0,17,22,350,450
"36636",1,0,17,35,797,720
"36647",2,3,20,20,470,470
"36649",2,3,20,23,500,600
"36656",1,1,18,23,500,700
"36658",2,5,24,29,690,640
"36675",2,3,19,21,500,500
"36703",1,0,17,28,420,530
"36709",1,1,18,35,750,640
"36735",2,1,18,34,799,799
"36740",1,0,17,36,800,800
"36763",1,1,23,15,600,600
"36843",1,3,18,34,700,800
"36851",2,5,23,28,600,600
"36861",2,0,18,24,510,550
"36870",2,0,18,23,570,600
"36873",2,0,17,22,350,450
"36878",2,5,27,32,790,750
"36880",2,0,18,21,490,560
"36890",2,1,18,35,500,NA
"36898",2,1,18,26,620,590
"36906",2,0,18,15,470,500
"36924",2,4,25,32,630,730
"36932",2,1,18,28,550,600
"36940",2,1,17,28,560,430
"36945",1,0,18,25,480,480
"36946",1,3,20,30,300,400
"36996",2,0,18,28,700,500
"37001",1,0,18,20,400,400
"37046",2,0,17,22,444,333
"37067",1,0,16,20,450,450
"37068",2,0,17,18,460,460
"37071",1,0,15,32,650,450
"37077",1,5,42,35,750,700
"37081",1,2,31,30,640,750
"37100",1,1,18,25,500,765
"37114",2,0,18,26,530,NA
"37120",2,0,17,21,500,500
"37122",2,5,25,24,560,610
"37123",2,3,18,16,500,450
"37130",1,3,19,30,450,450
"37168",2,5,38,28,700,500
"37169",2,4,34,34,600,600
"37227",1,5,28,35,600,600
"37229",2,5,23,25,530,NA
"37234",1,4,26,34,600,600
"37237",1,2,19,27,550,670
"37291",2,3,19,31,760,620
"37300",1,3,19,27,680,660
"37317",2,5,56,34,730,700
"37322",2,3,20,31,770,600
"37325",2,3,20,27,580,620
"37327",1,3,20,27,630,680
"37357",1,0,16,36,765,677
"37396",2,3,20,30,650,640
"37398",1,1,17,15,600,596
"37401",2,5,43,23,620,660
"37462",2,3,20,26,530,530
"37469",2,0,17,35,710,710
"37476",2,5,27,33,660,780
"37483",2,4,22,34,710,710
"37489",2,5,41,35,660,650
"37520",2,3,19,27,620,590
"37526",1,5,24,31,680,680
"37560",1,3,22,33,800,700
"37569",2,4,22,29,750,600
"37602",2,3,23,21,650,500
"37614",2,4,31,19,419,420
"37633",2,1,18,25,410,410
"37638",1,1,18,30,600,650
"37650",2,3,19,21,500,550
"37656",2,3,20,23,550,440
"37663",2,3,20,32,720,600
"37667",2,3,23,21,650,500
"37691",1,2,20,25,500,300
"37728",2,5,23,27,580,530
"37771",2,4,25,29,530,600
"37804",2,2,24,20,400,400
"37808",1,5,27,32,720,730
"37822",1,4,37,28,600,610
"37843",2,1,31,32,600,600
"37974",1,2,18,32,680,720
"38015",1,5,42,35,760,780
"38016",1,1,18,18,420,490
"38076",1,0,18,32,700,700
"38079",2,3,19,31,730,680
"38085",1,3,20,20,400,400
"38093",2,3,18,32,750,800
"38097",2,3,18,33,680,740
"38100",2,1,18,34,700,760
"38105",2,3,19,31,650,720
"38107",2,3,18,30,690,720
"38108",1,3,19,34,700,770
"38112",2,3,19,32,720,670
"38114",2,3,19,28,690,620
"38115",1,3,18,34,800,720
"38116",2,3,19,31,670,730
"38122",2,3,18,29,740,690
"38132",2,3,19,34,760,720
"38137",2,5,22,32,650,710
"38139",1,3,19,31,640,700
"38140",1,3,20,32,700,680
"38143",2,3,18,32,680,NA
"38146",1,3,18,27,600,600
"38164",1,3,19,33,710,740
"38166",1,3,19,30,700,640
"38176",1,3,18,27,670,670
"38182",2,2,19,31,770,800
"38187",2,3,21,33,740,740
"38196",2,3,19,31,660,660
"38198",1,3,19,33,780,800
"38210",2,3,20,30,600,400
"38223",2,3,18,32,770,640
"38226",2,3,20,31,700,710
"38227",2,3,18,33,700,680
"38232",2,3,19,35,800,680
"38244",1,3,19,32,700,700
"38245",2,3,18,32,770,640
"38251",1,3,18,33,670,690
"38259",2,4,22,36,650,720
"38265",2,3,18,26,670,510
"38289",2,3,18,34,720,690
"38315",2,3,19,36,730,770
"38316",2,3,19,31,760,640
"38325",2,3,46,30,600,500
"38348",2,4,22,24,560,590
"38352",1,4,29,34,630,640
"38404",2,3,20,34,700,670
"38407",2,5,23,29,650,650
"38445",2,3,46,30,600,600
"38451",2,3,20,31,730,660
"38457",2,4,22,31,660,670
"38463",2,3,38,26,580,500
"38470",2,3,19,32,730,690
"38502",2,5,61,30,300,350
"38511",2,1,18,28,710,600
"38518",2,1,21,32,580,650
"38529",1,5,34,32,700,750
"38583",2,3,24,25,300,300
"38595",2,0,13,32,785,795
"38599",2,4,34,36,600,700
"38644",2,4,36,25,600,600
"38663",2,4,26,29,580,690
"38665",1,3,22,28,600,600
"38670",1,3,26,32,660,650
"38684",1,0,17,28,600,600
"38685",1,3,19,33,730,710
"38696",2,4,28,35,720,690
"38783",2,5,36,27,570,500
"38791",2,4,30,32,560,700
"38820",1,1,18,35,740,740
"38825",1,4,35,29,610,430
"38826",2,0,15,26,500,684
"38860",2,3,19,31,710,610
"38868",2,5,35,34,650,750
"38894",2,5,30,26,570,430
"38895",2,3,20,35,720,780
"38898",1,3,17,35,730,770
"38899",2,3,22,28,600,600
"38915",2,3,21,27,550,550
"38925",1,3,20,20,500,NA
"38970",1,3,19,31,670,760
"38976",1,5,58,34,675,680
"39012",1,3,23,22,460,400
"39026",2,4,26,35,650,800
"39037",1,3,22,22,670,720
"39053",1,3,22,22,700,700
"39056",2,4,26,35,650,800
"39060",1,3,19,34,720,800
"39093",2,5,25,32,650,750
"39097",1,5,24,31,770,670
"39099",2,3,19,25,550,530
"39109",2,5,24,32,600,750
"39218",2,3,20,31,740,620
"39227",2,5,37,29,500,500
"39238",1,5,43,32,400,500
"39240",2,5,42,27,760,530
"39242",2,3,21,27,610,NA
"39282",2,3,18,34,690,740
"39283",2,4,52,22,300,300
"39287",2,3,19,36,800,670
"39307",2,1,18,36,650,700
"39406",1,4,23,34,710,690
"39412",1,3,19,33,740,800
"39416",1,3,20,34,700,750
"39444",2,5,24,21,540,500
"39447",2,5,25,28,620,580
"39451",2,3,19,29,650,700
"39496",2,3,23,25,640,600
"39510",2,5,36,31,710,540
"39514",2,3,21,29,560,690
"39516",1,3,34,31,640,600
"39555",1,1,21,22,480,520
"39559",2,5,28,23,750,500
"39581",1,5,23,33,700,720
"39620",2,4,24,36,750,NA
"39630",1,0,18,30,500,600
"39632",2,4,46,30,650,700
"39651",2,4,28,36,590,620
"39670",1,4,25,32,690,790
"39691",2,3,19,33,740,700
"39712",2,5,30,28,450,550
"39722",2,4,23,31,600,600
"39723",2,4,29,32,650,410
"39729",1,3,19,34,760,710
"39751",1,5,54,33,400,600
"39772",2,3,20,36,760,760
"39776",1,3,23,30,490,490
"39787",2,3,28,30,600,600
"39806",2,4,29,27,610,500
"39813",2,3,19,33,640,680
"39820",2,4,28,32,650,600
"39835",1,5,26,33,750,690
"39840",1,5,34,25,600,610
"39848",2,2,25,26,700,700
"39890",2,3,25,27,640,660
"39904",2,3,20,26,710,680
"39915",1,3,25,30,500,500
"39937",1,4,40,27,613,630
"39951",2,3,24,31,700,630
"39961",1,4,35,32,700,780
"39985",1,5,25,25,600,600
