Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
hv,60281276,1,"Sunday, November  6, 2011 20:42:07 UTC",19.1675,-155.5625,2.5,32.60,67,"Island of Hawaii, Hawaii"
ak,10349837,2,"Sunday, November  6, 2011 20:41:49 UTC",62.1864,-149.3680,1.5,40.90,23,"Central Alaska"
nc,71676706,3,"Sunday, November  6, 2011 20:20:52 UTC",40.6320,-122.3057,2.5,20.10,37,"Northern California"
ak,10351024,2,"Sunday, November  6, 2011 19:57:53 UTC",61.4631,-146.7152,1.6,8.30,20,"Southern Alaska"
nc,71676696,2,"Sunday, November  6, 2011 19:57:45 UTC",38.7465,-122.6997,1.4,1.90,48,"Northern California"
ak,10349832,2,"Sunday, November  6, 2011 19:48:56 UTC",54.2269,-162.5472,3.3,40.20,19,"Alaska Peninsula"
ak,10351022,2,"Sunday, November  6, 2011 19:43:39 UTC",52.7249,-169.5028,2.5,12.60, 9,"Fox Islands, Aleutian Islands, Alaska"
ak,10349831,2,"Sunday, November  6, 2011 19:40:57 UTC",51.7272,-172.7575,3.2,28.50,10,"Andreanof Islands, Aleutian Islands, Alaska"
pr,11310004,0,"Sunday, November  6, 2011 19:24:33 UTC",18.9200,-64.3420,2.6,29.80, 6,"Virgin Islands region"
us,b0006kvw,6,"Sunday, November  6, 2011 18:53:24 UTC",-20.8080,-178.6600,4.7,596.80,176,"Fiji region"
ak,10349816,2,"Sunday, November  6, 2011 18:45:41 UTC",51.8147,-174.2193,2.5,24.30, 9,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71676636,3,"Sunday, November  6, 2011 18:33:21 UTC",38.8237,-122.7845,1.2,2.40,46,"Northern California"
ak,10349807,2,"Sunday, November  6, 2011 18:30:19 UTC",60.6177,-147.5077,1.6,3.20,18,"Southern Alaska"
us,b0006kvi,6,"Sunday, November  6, 2011 18:26:56 UTC",35.4778,-96.8640,3.3,5.00,25,"Oklahoma"
nc,71676621,2,"Sunday, November  6, 2011 18:21:38 UTC",38.7997,-122.7847,1.0,0.40,39,"Northern California"
nc,71676596,0,"Sunday, November  6, 2011 18:16:11 UTC",38.7982,-122.7848,1.0,1.60, 6,"Northern California"
nc,71676576,2,"Sunday, November  6, 2011 18:11:17 UTC",38.8327,-122.7988,1.5,1.90,41,"Northern California"
nc,71676566,2,"Sunday, November  6, 2011 18:09:49 UTC",38.8342,-122.7978,2.0,2.10,43,"Northern California"
nc,71676561,3,"Sunday, November  6, 2011 18:09:49 UTC",38.8327,-122.7987,2.0,1.90,58,"Northern California"
nc,71676556,2,"Sunday, November  6, 2011 18:07:15 UTC",38.7978,-122.7837,1.2,0.50,28,"Northern California"
nc,71676546,3,"Sunday, November  6, 2011 18:06:40 UTC",38.7987,-122.7840,2.1,0.00,60,"Northern California"
nc,71676536,3,"Sunday, November  6, 2011 18:03:57 UTC",38.8085,-122.8247,1.4,1.50,45,"Northern California"
nc,71676541,2,"Sunday, November  6, 2011 18:01:58 UTC",35.7343,-121.5228,1.6,6.70,22,"offshore Central California"
ak,10349788,2,"Sunday, November  6, 2011 17:56:45 UTC",61.4043,-140.7529,1.5,5.10,12,"Southern Yukon Territory, Canada"
us,b0006kv4,5,"Sunday, November  6, 2011 17:52:34 UTC",35.5475,-96.8192,3.7,5.00,38,"Oklahoma"
ci,15072940,2,"Sunday, November  6, 2011 17:44:43 UTC",33.4913,-116.5752,1.1,8.70,56,"Southern California"
ak,10349779,2,"Sunday, November  6, 2011 17:20:15 UTC",63.5851,-151.0373,1.5,9.10,16,"Central Alaska"
uu,11061658,2,"Sunday, November  6, 2011 16:58:20 UTC",39.6457,-110.3957,1.6,0.10, 8,"Utah"
ak,10351016,2,"Sunday, November  6, 2011 16:52:09 UTC",61.9423,-149.5147,1.6,45.40,17,"Southern Alaska"
uu,11061641,2,"Sunday, November  6, 2011 16:41:41 UTC",40.0040,-111.8190,1.1,7.20,16,"Utah"
ak,10349776,2,"Sunday, November  6, 2011 16:39:18 UTC",63.1945,-151.3989,1.0,3.60,12,"Central Alaska"
ak,10349771,2,"Sunday, November  6, 2011 16:21:29 UTC",63.3265,-151.0545,1.3,13.80,15,"Central Alaska"
ak,10349768,2,"Sunday, November  6, 2011 16:03:37 UTC",64.1863,-150.0214,1.1,14.20,15,"Central Alaska"
pr,11310001,0,"Sunday, November  6, 2011 15:51:04 UTC",18.9069,-64.3410,3.1,36.00, 7,"Virgin Islands region"
pr,11310002,0,"Sunday, November  6, 2011 15:44:01 UTC",18.9470,-64.3690,2.9,35.00, 6,"Virgin Islands region"
ci,15072924,2,"Sunday, November  6, 2011 15:31:54 UTC",33.0530,-116.4445,1.4,5.50,71,"Southern California"
ak,10349760,2,"Sunday, November  6, 2011 15:30:47 UTC",61.5579,-150.2175,1.9,47.00,33,"Southern Alaska"
ci,15072916,2,"Sunday, November  6, 2011 15:27:05 UTC",34.0070,-116.9103,1.2,11.80,54,"Southern California"
ci,15072908,2,"Sunday, November  6, 2011 15:26:27 UTC",34.0043,-116.8553,1.8,19.20,110,"Southern California"
pr,11310003,0,"Sunday, November  6, 2011 15:22:51 UTC",18.9150,-64.3430,3.6,34.00,18,"Virgin Islands region"
us,2011sybw,8,"Sunday, November  6, 2011 15:21:22 UTC",-15.9023,-71.6944,4.4,118.20,11,"southern Peru"
ak,10351010,2,"Sunday, November  6, 2011 15:16:52 UTC",61.3976,-140.7953,1.3,1.00,10,"Southern Yukon Territory, Canada"
us,b0006ku4,6,"Sunday, November  6, 2011 15:07:05 UTC",35.5350,-96.9094,3.9,5.00,41,"Oklahoma"
nc,71676491,3,"Sunday, November  6, 2011 15:04:30 UTC",38.8085,-122.8157,1.3,3.60,48,"Northern California"
ak,10349743,2,"Sunday, November  6, 2011 14:57:38 UTC",61.6049,-151.0073,3.3,70.30,80,"Southern Alaska"
ak,10351008,2,"Sunday, November  6, 2011 14:36:26 UTC",63.1028,-150.7721,1.6,117.80,20,"Central Alaska"
ak,10349736,2,"Sunday, November  6, 2011 14:29:14 UTC",65.7394,-145.5429,2.1,10.70,16,"northern Alaska"
