Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10350391,2,"Friday, November  4, 2011 23:17:15 UTC",62.2742,-151.2179,1.4,72.80, 8,"Central Alaska"
us,b0006k5a,5,"Friday, November  4, 2011 23:12:24 UTC",-37.1832,-73.8765,4.5,7.50,21,"offshore Bio-Bio, Chile"
ak,10349064,3,"Friday, November  4, 2011 23:07:38 UTC",62.1936,-152.0755,1.9,115.00,22,"Central Alaska"
ci,15072444,2,"Friday, November  4, 2011 23:07:08 UTC",33.3570,-116.4073,1.0,10.00,40,"Southern California"
ak,10350389,2,"Friday, November  4, 2011 23:03:48 UTC",61.6124,-151.1236,1.6,64.00,12,"Southern Alaska"
ci,15072436,2,"Friday, November  4, 2011 23:03:09 UTC",32.9037,-116.2333,2.7,6.60,96,"Southern California"
us,b0006k51,5,"Friday, November  4, 2011 22:54:18 UTC",37.8675,144.1395,4.8,41.00,54,"off the east coast of Honshu, Japan"
ak,10348940,2,"Friday, November  4, 2011 22:45:42 UTC",60.9025,-147.8109,1.9,13.00,24,"Southern Alaska"
nc,71675786,3,"Friday, November  4, 2011 22:41:10 UTC",37.5482,-118.8387,1.8,11.10,44,"Central California"
ci,15072428,2,"Friday, November  4, 2011 22:10:14 UTC",36.1187,-117.6937,1.2,2.10,23,"Central California"
ak,10348908,2,"Friday, November  4, 2011 22:08:12 UTC",63.3315,-144.9406,2.0,10.00,17,"Central Alaska"
us,b0006k4d,5,"Friday, November  4, 2011 22:01:12 UTC",-16.1805,-175.1490,4.3,302.60,46,"Tonga"
ak,10350386,2,"Friday, November  4, 2011 21:53:04 UTC",66.9127,-142.3164,2.3,24.30,13,"northern Alaska"
us,b0006k3q,6,"Friday, November  4, 2011 21:44:22 UTC",-17.6138,-178.7785,4.2,568.90,48,"Fiji region"
ci,15072420,3,"Friday, November  4, 2011 21:40:27 UTC",35.8135,-117.4942,1.0,3.40,15,"Central California"
us,b0006k38,6,"Friday, November  4, 2011 21:31:35 UTC",-7.1944,103.7913,5.2,35.00,93,"southwest of Sumatra, Indonesia"
us,b0006k2x,5,"Friday, November  4, 2011 21:20:36 UTC",-22.7675,-66.0976,4.8,244.80,34,"Jujuy, Argentina"
nc,71675766,2,"Friday, November  4, 2011 21:14:29 UTC",39.7075,-120.3337,1.3,15.30,13,"Northern California"
nm,110411e,B,"Friday, November  4, 2011 21:07:51 UTC",35.3600,-92.2697,2.2,6.20,13,"Arkansas"
us,b0006k28,5,"Friday, November  4, 2011 21:05:14 UTC",-7.0657,127.4356,4.8,305.60,46,"Kepulauan Barat Daya, Indonesia"
ak,10348860,3,"Friday, November  4, 2011 21:00:01 UTC",59.8472,-152.1537,1.6,58.80, 8,"Southern Alaska"
uw,11042021,1,"Friday, November  4, 2011 20:21:29 UTC",48.0653,-123.5121,1.3,0.00,10,"Olympic Peninsula, Washington"
ak,10348848,2,"Friday, November  4, 2011 20:06:37 UTC",59.9496,-139.1679,1.9,14.40,17,"Southeastern Alaska"
hv,60280791,1,"Friday, November  4, 2011 19:48:42 UTC",19.2275,-155.1845,1.7,10.10,11,"Island of Hawaii, Hawaii"
uw,11041945,1,"Friday, November  4, 2011 19:45:52 UTC",46.0386,-122.3248,1.2,2.90, 7,"Washington"
nn,00353907,8,"Friday, November  4, 2011 19:39:35 UTC",39.2077,-120.0744,1.1,14.60,16,"Northern California"
uu,11041939,2,"Friday, November  4, 2011 19:38:23 UTC",40.3915,-111.9592,2.1,1.30,19,"Wasatch Front Urban Corridor, Utah"
nc,71675736,2,"Friday, November  4, 2011 19:21:51 UTC",38.6737,-122.8928,1.0,7.10,34,"Northern California"
nc,71675731,2,"Friday, November  4, 2011 19:21:27 UTC",36.7677,-121.4798,1.3,5.90,35,"Central California"
nm,110411d,A,"Friday, November  4, 2011 19:21:27 UTC",35.3590,-92.2677,1.9,5.00,10,"Arkansas"
nm,110411b,A,"Friday, November  4, 2011 19:17:17 UTC",35.3574,-92.2608,2.4,5.90,14,"Arkansas"
ci,15072396,2,"Friday, November  4, 2011 19:17:17 UTC",36.1702,-118.0778,1.6,6.00,24,"Central California"
pr,11308001,0,"Friday, November  4, 2011 19:12:50 UTC",18.3330,-67.5220,2.3,10.00, 3,"Mona Passage, Puerto Rico"
ak,10348837,2,"Friday, November  4, 2011 19:02:58 UTC",65.0071,-147.3477,1.1,0.00, 6,"northern Alaska"
nm,110411c,A,"Friday, November  4, 2011 18:49:19 UTC",35.3554,-92.2623,2.0,5.50,11,"Arkansas"
ci,15072388,3,"Friday, November  4, 2011 18:16:36 UTC",35.8045,-117.5560,1.2,7.00,11,"Central California"
ak,10350382,2,"Friday, November  4, 2011 17:57:14 UTC",63.2127,-150.7198,1.5,124.10,12,"Central Alaska"
ak,10350381,2,"Friday, November  4, 2011 17:53:48 UTC",58.1171,-154.8121,1.8,77.30, 9,"Alaska Peninsula"
nc,71675691,5,"Friday, November  4, 2011 17:52:30 UTC",37.6825,-122.5138,1.7,11.90,39,"offshore Northern California"
nc,71675676,3,"Friday, November  4, 2011 17:06:13 UTC",38.8000,-122.8130,1.0,3.40,39,"Northern California"
ak,10348796,2,"Friday, November  4, 2011 16:50:21 UTC",61.3656,-146.8932,2.1,13.70,36,"Southern Alaska"
ci,15072380,3,"Friday, November  4, 2011 16:46:42 UTC",35.0388,-118.3292,1.4,7.00,11,"Southern California"
ak,10350379,2,"Friday, November  4, 2011 16:42:10 UTC",62.1975,-145.5418,1.2,25.90, 6,"Central Alaska"
ak,10350378,2,"Friday, November  4, 2011 16:34:57 UTC",60.9425,-151.8905,1.7,79.10,13,"Kenai Peninsula, Alaska"
ak,10350377,2,"Friday, November  4, 2011 16:33:49 UTC",63.3183,-151.0047,1.0,5.10, 8,"Central Alaska"
ak,10348782,2,"Friday, November  4, 2011 16:26:52 UTC",63.9358,-148.9111,1.8,1.00,23,"Central Alaska"
nc,71675656,3,"Friday, November  4, 2011 16:19:37 UTC",38.7607,-122.7388,1.8,1.50,60,"Northern California"
uu,11041610,2,"Friday, November  4, 2011 16:10:23 UTC",44.6253,-110.6362,1.3,7.40,13,"Yellowstone National Park, Wyoming"
ak,10350374,2,"Friday, November  4, 2011 16:06:37 UTC",63.2779,-150.4262,1.5,123.90,12,"Central Alaska"
nc,71675636,2,"Friday, November  4, 2011 15:53:25 UTC",37.5153,-118.6607,1.3,7.80,25,"Central California"
ak,10350373,2,"Friday, November  4, 2011 15:47:08 UTC",61.1053,-152.2184,1.9,104.80,14,"Southern Alaska"
us,b0006js3,8,"Friday, November  4, 2011 15:43:45 UTC",-15.1833,167.3661,5.8,145.80,75,"Vanuatu"
ak,10348754,3,"Friday, November  4, 2011 15:41:06 UTC",62.2052,-145.6938,1.3,19.80, 6,"Central Alaska"
nc,71675626,3,"Friday, November  4, 2011 15:36:58 UTC",38.7777,-122.7322,1.8,1.70,56,"Northern California"
nc,71675621,3,"Friday, November  4, 2011 15:18:58 UTC",36.5870,-121.1857,2.4,4.20,83,"Central California"
ak,10348743,3,"Friday, November  4, 2011 15:05:04 UTC",63.5229,-151.0328,1.3,1.70,14,"Central Alaska"
us,b0006jqm,5,"Friday, November  4, 2011 14:59:53 UTC",-8.8895,115.7405,5.1,98.30,49,"Bali region, Indonesia"
ak,10348738,2,"Friday, November  4, 2011 14:58:57 UTC",61.4508,-146.6966,2.3,27.40,33,"Southern Alaska"
us,b0006jqx,5,"Friday, November  4, 2011 14:56:35 UTC",35.6473,140.6786,4.9,54.20,38,"near the east coast of Honshu, Japan"
nc,71675606,2,"Friday, November  4, 2011 14:02:06 UTC",38.7775,-122.7118,1.0,2.40,33,"Northern California"
ak,10348732,2,"Friday, November  4, 2011 13:38:31 UTC",63.1180,-150.5682,1.7,106.10,17,"Central Alaska"
ak,10348728,2,"Friday, November  4, 2011 13:36:16 UTC",60.6630,-146.7724,2.1,14.70,28,"Southern Alaska"
nm,110411a,A,"Friday, November  4, 2011 12:55:33 UTC",36.5471,-89.6027,1.5,7.60,15,"southeastern Missouri"
ak,10348720,2,"Friday, November  4, 2011 12:31:47 UTC",63.5583,-147.7019,2.8,4.40,44,"Central Alaska"
ak,10348718,2,"Friday, November  4, 2011 12:11:20 UTC",62.2620,-148.8583,1.7,22.40,20,"Central Alaska"
ak,10350365,2,"Friday, November  4, 2011 12:02:48 UTC",51.8512,-175.5379,2.1,66.90,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10350364,2,"Friday, November  4, 2011 12:00:56 UTC",57.9299,-152.0469,2.0,6.60, 8,"Kodiak Island region, Alaska"
uu,11041156,2,"Friday, November  4, 2011 11:56:58 UTC",39.4385,-111.2198,1.4,3.30, 9,"Utah"
ak,10348716,2,"Friday, November  4, 2011 11:49:10 UTC",63.1767,-151.3116,1.3,5.00,13,"Central Alaska"
ak,10350362,2,"Friday, November  4, 2011 11:48:20 UTC",52.7839,-169.4877,2.5,4.80, 5,"Fox Islands, Aleutian Islands, Alaska"
nc,71675576,4,"Friday, November  4, 2011 11:25:24 UTC",37.9413,-121.9737,1.4,12.60,19,"San Francisco Bay area, California"
us,b0006jna,7,"Friday, November  4, 2011 11:22:06 UTC",39.9422,14.8145,4.5,325.80,60,"Tyrrhenian Sea"
ak,10350361,2,"Friday, November  4, 2011 11:07:22 UTC",62.2966,-151.1237,1.4,75.90, 8,"Central Alaska"
ak,10348710,2,"Friday, November  4, 2011 10:44:59 UTC",62.3667,-152.4220,1.9,1.70,20,"Central Alaska"
us,b0006jmh,5,"Friday, November  4, 2011 10:29:27 UTC",42.0443,139.8561,4.6,190.10,87,"Hokkaido, Japan region"
nc,71675556,3,"Friday, November  4, 2011 10:13:26 UTC",39.3987,-123.2632,1.8,1.40,27,"Northern California"
hv,60280591,1,"Friday, November  4, 2011 10:11:38 UTC",19.5437,-155.3957,1.8,1.00,10,"Island of Hawaii, Hawaii"
nc,71675551,2,"Friday, November  4, 2011 10:07:03 UTC",38.8113,-122.7960,1.0,3.20,44,"Northern California"
uw,11040958,1,"Friday, November  4, 2011 09:58:24 UTC",46.7278,-121.1220,2.4,1.60,46,"Washington"
nc,71675546,2,"Friday, November  4, 2011 09:58:16 UTC",38.8398,-122.8270,1.2,2.70,47,"Northern California"
ak,10350359,2,"Friday, November  4, 2011 09:41:04 UTC",62.5175,-149.9997,1.6,65.40, 9,"Central Alaska"
ak,10348689,2,"Friday, November  4, 2011 09:18:13 UTC",58.2523,-154.2162,3.2,81.00,39,"Alaska Peninsula"
nn,00353855,8,"Friday, November  4, 2011 08:48:12 UTC",37.1612,-117.3821,1.4,11.80,17,"Nevada"
ak,10350357,2,"Friday, November  4, 2011 08:44:49 UTC",62.6753,-152.4561,1.2,3.60, 8,"Central Alaska"
mb,11804123,2,"Friday, November  4, 2011 08:30:44 UTC",46.1473,-111.6991,1.5,6.00,17,"western Montana"
ak,10348682,2,"Friday, November  4, 2011 08:25:36 UTC",58.4143,-154.6489,1.7,6.70,14,"Alaska Peninsula"
ak,10348677,2,"Friday, November  4, 2011 08:05:27 UTC",61.2233,-150.5261,2.0,46.30,22,"Southern Alaska"
ci,15072292,5,"Friday, November  4, 2011 07:53:06 UTC",32.1625,-115.2823,2.8,10.00,18,"Baja California, Mexico"
ci,15072284,2,"Friday, November  4, 2011 07:43:49 UTC",32.1898,-115.2867,2.4,10.00,15,"Baja California, Mexico"
ak,10348675,3,"Friday, November  4, 2011 07:19:19 UTC",62.1094,-148.0430,1.6,31.90,16,"Central Alaska"
ak,10350353,2,"Friday, November  4, 2011 07:14:24 UTC",65.6188,-154.1347,2.1,3.50,13,"northern Alaska"
nc,71675511,4,"Friday, November  4, 2011 07:07:14 UTC",36.9485,-122.1880,1.2,7.70,18,"offshore Northern California"
uu,11040700,2,"Friday, November  4, 2011 07:00:18 UTC",39.4327,-111.2357,1.6,6.50,14,"Utah"
nc,71675501,4,"Friday, November  4, 2011 06:55:40 UTC",38.0043,-118.6930,2.2,6.90,38,"Central California"
ci,15072276,2,"Friday, November  4, 2011 06:50:56 UTC",34.3528,-116.4577,1.4,9.60,62,"Southern California"
ak,10350352,2,"Friday, November  4, 2011 06:41:34 UTC",63.5542,-147.6839,1.2,10.00,12,"Central Alaska"
ak,10350351,2,"Friday, November  4, 2011 06:39:50 UTC",63.5578,-147.6813,1.4,10.40,11,"Central Alaska"
ak,10348669,3,"Friday, November  4, 2011 06:33:27 UTC",63.1913,-150.2171,1.5,103.70,14,"Central Alaska"
ak,10350348,2,"Friday, November  4, 2011 06:04:22 UTC",63.2722,-150.4590,1.5,117.40, 7,"Central Alaska"
ci,15072268,2,"Friday, November  4, 2011 05:58:25 UTC",34.3530,-116.4630,1.1,9.40,16,"Southern California"
nc,71675471,2,"Friday, November  4, 2011 05:49:10 UTC",36.7825,-121.3648,1.9,5.00,47,"Central California"
nc,71675461,2,"Friday, November  4, 2011 05:24:22 UTC",37.0342,-121.4813,1.0,6.70,24,"Northern California"
nc,71675451,3,"Friday, November  4, 2011 05:22:07 UTC",38.8260,-122.7967,1.3,3.30,40,"Northern California"
ak,10350347,2,"Friday, November  4, 2011 05:02:07 UTC",62.2479,-148.3753,1.3,19.60,10,"Central Alaska"
nc,71675441,3,"Friday, November  4, 2011 04:57:01 UTC",38.8122,-122.7947,1.2,4.00,48,"Northern California"
ak,10348651,2,"Friday, November  4, 2011 04:53:11 UTC",59.7212,-138.9729,1.8,8.40,16,"Southeastern Alaska"
ak,10348650,2,"Friday, November  4, 2011 04:52:02 UTC",60.6783,-151.7958,1.8,80.80,15,"Kenai Peninsula, Alaska"
mb,11620283,2,"Friday, November  4, 2011 04:01:22 UTC",45.3740,-112.6073,1.1,9.90,11,"western Montana"
ak,10348645,3,"Friday, November  4, 2011 03:39:23 UTC",64.3293,-149.8242,1.0,16.40,11,"Central Alaska"
nc,71675416,2,"Friday, November  4, 2011 03:26:56 UTC",38.9537,-122.9897,1.0,8.80,14,"Northern California"
ci,15072220,2,"Friday, November  4, 2011 03:11:54 UTC",34.2843,-117.5572,1.4,5.50,57,"Southern California"
ci,37011039,3,"Friday, November  4, 2011 03:11:53 UTC",32.9390,-115.7237,1.4,6.40,22,"Southern California"
ak,10348630,2,"Friday, November  4, 2011 03:09:31 UTC",62.3686,-149.3508,2.6,41.70,49,"Central Alaska"
ci,15072204,6,"Friday, November  4, 2011 03:01:25 UTC",32.1183,-115.2427,3.3,5.70,13,"Baja California, Mexico"
nc,71675406,2,"Friday, November  4, 2011 03:00:24 UTC",36.9835,-121.6322,1.0,3.20,19,"Northern California"
us,b0006jit,8,"Friday, November  4, 2011 02:59:18 UTC",36.0412,141.1481,5.0,35.00,208,"near the east coast of Honshu, Japan"
nc,71675401,2,"Friday, November  4, 2011 02:44:56 UTC",36.5855,-121.0805,1.0,7.70,12,"Central California"
us,b0006jif,7,"Friday, November  4, 2011 02:39:41 UTC",19.5317,-109.3667,4.0,10.00,62,"Revilla Gigedo Islands region"
uw,11040235,1,"Friday, November  4, 2011 02:35:27 UTC",46.1935,-122.1845,1.9,1.50,13,"Mount St. Helens area, Washington"
ak,10348623,2,"Friday, November  4, 2011 02:15:47 UTC",60.0417,-153.0074,2.1,103.80,17,"Southern Alaska"
nc,71675391,2,"Friday, November  4, 2011 02:14:59 UTC",37.4552,-118.6605,1.1,13.00,15,"Central California"
ak,10348619,2,"Friday, November  4, 2011 02:05:38 UTC",63.4609,-145.5022,1.6,3.10,10,"Central Alaska"
ci,15072180,2,"Friday, November  4, 2011 02:02:27 UTC",32.2270,-115.2828,2.4,14.90,13,"Baja California, Mexico"
nc,71675386,4,"Friday, November  4, 2011 01:50:07 UTC",39.4425,-120.2815,1.6,7.50,16,"Northern California"
