client_id,referrer_code,city,postal_code,latitude,longitude,initial_visit_date,product_count
99,WALK-IN,Brampton,L6P2X5,43.783231,-79.682102,2014-08-11,1
100,WALK-IN,Brampton,L6P3J1,43.788468,-79.676128,2014-11-13,1
101,WALK-IN,Brampton,L6P3J1,43.788468,-79.676128,2014-11-19,1
102,WALK-IN,Brampton,L6P1P1,43.783455,-79.663173,2014-11-22,0
103,Referrer_3,Brampton,L6P1P1,43.783455,-79.663173,2012-03-12,1
104,Referrer_3,Brampton,L6P1P1,43.783455,-79.663173,2012-03-12,1
105,Referrer_3,Brampton,L6P1P1,43.783455,-79.663173,2013-03-13,1
106,WALK-IN,Mississauga,L5M4B9,43.554597,-79.700481,2012-12-28,2
106,WALK-IN,Mississauga,L5M4B9,43.554597,-79.700481,2013-11-18,3
107,WALK-IN,Brampton,L6Z1S3,43.72354,-79.804171,2013-11-15,1
108,WALK-IN,Brampton,L6Y2V2,43.662728,-79.757946,2014-10-25,1
109,WALK-IN,Brampton,L6Y2V2,43.662728,-79.757946,2014-10-25,1
110,WALK-IN,Brampton,L6P2R6,43.76722,-79.665868,2014-11-29,0
111,WALK-IN,Brampton,L6P1M2,43.773423,-79.674178,2013-11-10,1
112,Referrer_0,Brampton,L6P1M2,43.773423,-79.674178,2013-09-08,1
112,Referrer_0,Brampton,L6P1M2,43.773423,-79.674178,2014-05-16,1
113,Referrer_0,Brampton,L6P1M2,43.773423,-79.674178,2014-08-30,1
114,REHAB CLINIC,Brampton,L6P1M2,43.773423,-79.674178,2014-01-08,3
115,REHAB CLINIC,Brampton,L6P1M2,43.773423,-79.674178,2013-07-02,1
115,REHAB CLINIC,Brampton,L6P1M2,43.773423,-79.674178,2014-09-10,1
116,WALK-IN,Mississauga,L5N7A5,43.564961,-79.772623,2013-10-29,1
117,WALK-IN,Brampton,L6P2P4,43.778682,-79.696665,2014-02-12,0
118,Referrer_17,Brampton,L6P1K9,43.809915,-79.715106,2013-10-05,1
119,Referrer_17,Brampton,L6P1K9,43.809915,-79.715106,2013-10-05,2
120,Referrer_15,Brampton,L6P2S3,43.768218,-79.664535,2012-12-31,2
120,Referrer_15,Brampton,L6P2S3,43.768218,-79.664535,2013-12-21,1
121,Referrer_15,Brampton,L6P2S3,43.768218,-79.664535,2013-12-21,1
122,Referrer_2,Brampton,L6P2M9,43.777451,-79.677479,2012-09-13,1
123,LOYAL CLIENT,Brampton,L6P2M9,43.777451,-79.677479,2012-04-12,2
124,Referrer_0,Brampton,L6P2M9,43.777451,-79.677479,2012-08-05,2
125,Referrer_2,Brampton,L6P1J5,43.781194,-79.658503,2012-12-17,2
126,Referrer_2,Brampton,L6P1J5,43.781194,-79.658503,2012-12-17,2
127,Referrer_2,Brampton,L6R3G6,43.767964,-79.736536,2012-07-23,1
128,Referrer_2,Caledon,L7C3T2,43.744068,-79.81697,2013-09-04,1
129,Referrer_2,Brampton,L6P2G2,43.76955,-79.692515,2014-11-13,1
130,Referrer_2,Brampton,L6P2G2,43.76955,-79.692515,2012-04-12,1
130,Referrer_2,Brampton,L6P2G2,43.76955,-79.692515,2014-10-24,1
131,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,2012-12-17,1
131,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,2013-11-22,1
131,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,2014-06-06,1
132,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,2012-12-17,1
132,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,2013-09-12,1
