CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type
"68","Bolivia","561","Y","Children under five mortality rate per 1,000 live births","119.5","","E","115.3","","E","111.5","","E","107.5","","E","103.7","","E","99.5","","E","95.4","","E","91.4","","E","87.8","","E","84","","E","80.8","","E","77.1","","E","74.2","","E","71.1","","E","68.1","","E","65.1","","E","62.4","","E","59.8","","E","57.3","","E","55.2","","E","52.9","","E","50.6","","E"," "," "," "," "," "," "
"70","Bosnia and Herzegovina","561","Y","Children under five mortality rate per 1,000 live births","18.8","","E","17.6","","E","16.5","","E","15.5","","E","14.4","","E","13.3","","E","12.4","","E","11.7","","E","10.9","","E","10.1","","E","9.6","","E","9.3","","E","9","","E","8.8","","E","8.7","","E","8.8","","E","8.6","","E","8.5","","E","8.3","","E","8.1","","E","7.9","","E","7.7","","E"," "," "," "," "," "," "
"72","Botswana","561","Y","Children under five mortality rate per 1,000 live births","52.8","","E","53.2","","E","54.8","","E","57.4","","E","60.8","","E","64.8","","E","68.8","","E","72.7","","E","75.9","","E","78.8","","E","81.1","","E","80.8","","E","78.4","","E","72.1","","E","59.1","","E","46.1","","E","37.9","","E","34.2","","E","32.6","","E","30.1","","E","27.5","","E","25.9","","E"," "," "," "," "," "," "
"76","Brazil","561","Y","Children under five mortality rate per 1,000 live births","58","","E","56","","E","54.2","","E","52.3","","E","50.2","","E","47.9","","E","45.5","","E","42.7","","E","40.3","","E","37.9","","E","35.7","","E","33.6","","E","31.5","","E","29.1","","E","26.8","","E","24.8","","E","22.9","","E","21.2","","E","19.6","","E","18.1","","E","16.8","","E","15.6","","E"," "," "," "," "," "," "
"96","Brunei Darussalam","561","Y","Children under five mortality rate per 1,000 live births","12.3","","E","11.8","","E","11.4","","E","11","","E","10.8","","E","10.6","","E","10.4","","E","10.3","","E","10.1","","E","9.9","","E","9.6","","E","9.4","","E","9.1","","E","8.9","","E","8.7","","E","8.5","","E","8.2","","E","8","","E","7.8","","E","7.6","","E","7.4","","E","7.2","","E"," "," "," "," "," "," "
"100","Bulgaria","561","Y","Children under five mortality rate per 1,000 live births","22.2","","E","22.3","","E","22.5","","E","22.8","","E","22.9","","E","22.9","","E","22.7","","E","22.4","","E","22","","E","21.4","","E","20.7","","E","19.9","","E","18.9","","E","17.9","","E","16.9","","E","16","","E","15.3","","E","14.6","","E","13.9","","E","13.3","","E","12.7","","E","12.1","","E"," "," "," "," "," "," "
"854","Burkina Faso","561","Y","Children under five mortality rate per 1,000 live births","208.4","","E","206.9","","E","205","","E","203","","E","200.8","","E","198.7","","E","195.6","","E","191.9","","E","188.7","","E","185.2","","E","181.5","","E","177.9","","E","174.7","","E","171.1","","E","168.2","","E","164.5","","E","161.7","","E","157.3","","E","154.8","","E","151.9","","E","148.8","","E","146.4","","E"," "," "," "," "," "," "
"116","Cambodia","561","Y","Children under five mortality rate per 1,000 live births","116.7","","E","116.9","","E","117.3","","E","117.6","","E","118.3","","E","118.9","","E","119.4","","E","119.1","","E","115.7","","E","108.7","","E","101.5","","E","94.5","","E","87.3","","E","80.8","","E","74.5","","E","68.7","","E","63.3","","E","58","","E","53.7","","E","49.7","","E","46","","E","42.5","","E"," "," "," "," "," "," "
"120","Cameroon","561","Y","Children under five mortality rate per 1,000 live births","145.2","","E","144.2","","E","143.4","","E","142.6","","E","142","","E","141.4","","E","140.9","","E","140.5","","E","140.2","","E","139.9","","E","139.5","","E","138.9","","E","138.3","","E","137.5","","E","136.5","","E","135.6","","E","134.5","","E","133.5","","E","132.2","","E","130.8","","E","128.9","","E","127.2","","E"," "," "," "," "," "," "
"124","Canada","561","Y","Children under five mortality rate per 1,000 live births","8.3","","E","8","","E","7.7","","E","7.4","","E","7.2","","E","7","","E","6.8","","E","6.6","","E","6.4","","E","6.3","","E","6.2","","E","6.2","","E","6.2","","E","6.1","","E","6.1","","E","6","","E","6","","E","5.9","","E","5.8","","E","5.7","","E","5.6","","E","5.6","","E"," "," "," "," "," "," "
