"TC male (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Switzerland,5.952783,5.928414,5.902369,5.880694,5.859681,5.842023,5.821571,5.80355,5.783608,5.765728,5.745855,5.725051,5.700558,5.675232,5.646153,5.617514,5.585649,5.553799,5.522799,5.492001,5.462165,5.437444,5.41266,5.390238,5.366886,5.34666,5.327582,5.30895,5.290824
Syria,4.837756,4.839945,4.839984,4.839607,4.834949,4.82874,4.816511,4.803983,4.794425,4.783273,4.774949,4.769842,4.764586,4.762004,4.761998,4.762419,4.761977,4.761936,4.759715,4.753212,4.744007,4.732267,4.717328,4.702198,4.689939,4.67869,4.670052,4.666113,4.66075
Taiwan,4.884176,4.884746,4.883804,4.883986,4.885139,4.885243,4.88784,4.89165,4.894035,4.895023,4.896032,4.896361,4.896739,4.897182,4.898107,4.89722,4.897181,4.895772,4.89252,4.889615,4.885383,4.878232,4.870752,4.862976,4.853915,4.843212,4.832572,4.82022,4.807297
Tajikistan,4.990417,4.973533,4.956146,4.940419,4.924086,4.907625,4.891267,4.870574,4.850262,4.824166,4.793179,4.755253,4.70119,4.640129,4.575386,4.51014,4.441867,4.379479,4.327858,4.283475,4.247816,4.223595,4.206226,4.19342,4.185264,4.180735,4.176995,4.173453,4.169286
Tanzania,4.103738,4.08979,4.076355,4.058679,4.042293,4.028389,4.019166,4.009866,4.003798,3.997556,3.99638,3.995917,3.999126,4.003379,4.0068,4.01216,4.016566,4.026173,4.034306,4.042387,4.050375,4.060033,4.068414,4.076659,4.087951,4.098837,4.106164,4.11626,4.127804
Thailand,4.660105,4.66273,4.666312,4.667892,4.670204,4.675029,4.678096,4.685365,4.693343,4.70536,4.721293,4.737982,4.755408,4.774745,4.79496,4.815086,4.834927,4.851925,4.860098,4.86817,4.877774,4.887736,4.899475,4.912539,4.925873,4.939148,4.955702,4.974214,4.992752
Timor-Leste,4.355586,4.338962,4.323893,4.310838,4.299242,4.291218,4.284909,4.279949,4.275329,4.272053,4.272386,4.270671,4.271237,4.271869,4.271785,4.272891,4.276596,4.286117,4.298478,4.289201,4.282408,4.277357,4.267606,4.257823,4.243966,4.232003,4.218056,4.208528,4.204453
Togo,4.22122,4.201762,4.182187,4.161328,4.140224,4.118504,4.100463,4.08203,4.065237,4.048878,4.029733,4.014744,3.998244,3.9748,3.958722,3.945118,3.931919,3.921112,3.914412,3.90651,3.899831,3.892403,3.886154,3.882662,3.877637,3.871647,3.868628,3.865462,3.862706
Tonga,4.748479,4.761106,4.773787,4.78547,4.797411,4.812137,4.830102,4.846328,4.859427,4.872581,4.881344,4.892565,4.901546,4.911786,4.922318,4.93408,4.944359,4.954958,4.970744,4.985437,4.998912,5.013446,5.029159,5.042074,5.052638,5.061758,5.070573,5.077711,5.08444
Trinidad and Tobago,4.887517,4.882434,4.876827,4.866016,4.853321,4.83621,4.813929,4.787715,4.757009,4.728206,4.70016,4.676919,4.657526,4.640672,4.626947,4.612901,4.602066,4.594251,4.588284,4.585407,4.584684,4.58371,4.582133,4.585902,4.592922,4.597134,4.605289,4.614006,4.620214
Tunisia,4.477231,4.475132,4.469253,4.462822,4.455224,4.448229,4.439973,4.436084,4.43565,4.436178,4.437871,4.442514,4.451498,4.459054,4.471072,4.483407,4.494067,4.504925,4.514688,4.524157,4.537339,4.552322,4.567758,4.579662,4.589958,4.601877,4.611819,4.622271,4.633232
Turkey,4.812084,4.811053,4.807563,4.802853,4.802706,4.800441,4.801148,4.802313,4.800129,4.797004,4.79595,4.792976,4.791946,4.793735,4.792158,4.790612,4.788964,4.790253,4.789493,4.785239,4.774819,4.759726,4.741371,4.729907,4.721781,4.710405,4.702442,4.694046,4.686142
Turkmenistan,5.108589,5.092467,5.073878,5.055851,5.038469,5.018218,5.000207,4.981061,4.9607,4.937675,4.911603,4.880075,4.843416,4.806218,4.761416,4.716973,4.673688,4.628645,4.591527,4.565041,4.547013,4.534601,4.527368,4.525903,4.52981,4.534966,4.539056,4.541307,4.541695
Uganda,4.164465,4.142294,4.119185,4.094273,4.076404,4.06008,4.044136,4.029265,4.015672,4.004487,3.995908,3.99038,3.989492,3.989235,3.990556,3.992651,4.000384,4.007334,4.010311,4.017077,4.022791,4.025394,4.027256,4.029941,4.03498,4.041009,4.048939,4.057556,4.067057
Ukraine,5.437809,5.421299,5.404171,5.388712,5.371681,5.352521,5.336279,5.317698,5.299222,5.280108,5.256913,5.228783,5.195529,5.154474,5.109395,5.066055,5.019254,4.976524,4.937142,4.902637,4.871169,4.843783,4.82475,4.811069,4.803853,4.79896,4.797601,4.800043,4.801592
United Arab Emirates,5.659113,5.655336,5.646829,5.628705,5.603017,5.570082,5.523017,5.483612,5.448731,5.412373,5.38732,5.367906,5.347199,5.330179,5.316055,5.304469,5.305924,5.30324,5.293461,5.283383,5.273177,5.257843,5.246006,5.239825,5.226674,5.213687,5.201334,5.188703,5.178762
United Kingdom,6.240528,6.201839,6.163856,6.126173,6.087735,6.051188,6.014337,5.980046,5.945022,5.911111,5.874876,5.837835,5.800702,5.762624,5.728896,5.69614,5.666075,5.634589,5.606657,5.580431,5.555344,5.531255,5.509975,5.492878,5.475717,5.459388,5.445128,5.430567,5.415542
United States,5.629533,5.610691,5.588936,5.571643,5.555354,5.540728,5.526708,5.508718,5.492573,5.476264,5.45854,5.440505,5.424,5.40758,5.392057,5.375569,5.358163,5.339183,5.32239,5.304408,5.28271,5.259185,5.234855,5.210353,5.183352,5.157438,5.131071,5.101439,5.071318
Uruguay,5.285588,5.281557,5.273937,5.255972,5.235752,5.21574,5.198361,5.186779,5.175371,5.162501,5.145705,5.134373,5.126372,5.12035,5.118202,5.110374,5.10431,5.095074,5.087756,5.079096,5.061859,5.03722,5.000945,4.961867,4.928241,4.898405,4.867836,4.838677,4.814038
Uzbekistan,5.018137,4.9958,4.970467,4.946539,4.9203,4.896552,4.871397,4.844734,4.81803,4.787508,4.752689,4.713561,4.664904,4.621388,4.580051,4.537116,4.492285,4.459355,4.431325,4.404953,4.381365,4.359838,4.34006,4.322875,4.308275,4.295946,4.282326,4.269091,4.256485
Vanuatu,4.824006,4.805341,4.787129,4.775485,4.764687,4.753491,4.742764,4.73154,4.718133,4.704798,4.695518,4.690115,4.687015,4.680712,4.678528,4.676598,4.676597,4.674597,4.673656,4.669465,4.665346,4.655363,4.640861,4.629882,4.6196,4.611431,4.607378,4.607249,4.607908
Venezuela,5.066677,5.041202,5.016295,4.98445,4.950836,4.918517,4.890702,4.862494,4.836555,4.808805,4.780794,4.75723,4.737054,4.719814,4.699299,4.678471,4.659727,4.645321,4.630581,4.61374,4.599138,4.58656,4.575253,4.556714,4.546094,4.538796,4.538885,4.538611,4.538799
Vietnam,4.445871,4.434084,4.425484,4.418735,4.413914,4.410731,4.405201,4.400823,4.397388,4.394638,4.391512,4.388794,4.388053,4.386881,4.388207,4.391332,4.396468,4.40448,4.411141,4.417583,4.427238,4.43688,4.448647,4.459976,4.471781,4.483698,4.496823,4.509924,4.523233
West Bank and Gaza,4.70074,4.698222,4.696281,4.692876,4.689341,4.685539,4.684649,4.682573,4.679473,4.676348,4.675855,4.674901,4.676792,4.68021,4.685367,4.690419,4.677982,4.670998,4.66702,4.665962,4.660578,4.645858,4.622262,4.596661,4.569633,4.546241,4.523502,4.501849,4.482241
"Yemen, Rep.",4.602769,4.607018,4.607944,4.610494,4.611309,4.609624,4.603873,4.596937,4.588871,4.578156,4.569581,4.56162,4.551685,4.541451,4.532893,4.526572,4.522269,4.521294,4.517256,4.512969,4.507998,4.50217,4.495849,4.490152,4.483387,4.47598,4.467223,4.457032,4.446745
Zambia,4.540227,4.531673,4.522316,4.510716,4.497832,4.486299,4.473238,4.462459,4.452866,4.442868,4.434116,4.427097,4.418695,4.412085,4.399848,4.385159,4.37249,4.364335,4.355391,4.346573,4.340463,4.334894,4.331329,4.329579,4.329704,4.329919,4.331175,4.33397,4.338276
Zimbabwe,4.464896,4.453328,4.440881,4.429884,4.41338,4.398384,4.383691,4.366983,4.351242,4.33986,4.328576,4.31959,4.306089,4.290767,4.278665,4.266023,4.256628,4.249791,4.245625,4.240642,4.236568,4.232222,4.222207,4.208272,4.194221,4.178532,4.162563,4.146635,4.133082
