"TC male (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Central African Rep.,4.264942,4.25582,4.249367,4.242831,4.241031,4.240329,4.238163,4.234258,4.22986,4.224274,4.217554,4.208338,4.192817,4.17723,4.163442,4.151534,4.139872,4.128784,4.119055,4.112553,4.108732,4.104325,4.099465,4.092576,4.085362,4.078778,4.071838,4.06486,4.058743
Chad,4.142391,4.120168,4.099837,4.084016,4.066913,4.055437,4.046724,4.036942,4.029594,4.024012,4.015387,4.005593,3.995731,3.984048,3.968188,3.953657,3.939683,3.926189,3.912461,3.900169,3.888576,3.876942,3.86886,3.867877,3.877287,3.887759,3.896643,3.906231,3.91234
Chile,5.021758,5.020659,5.013341,5.004293,4.996066,4.990705,4.987624,4.987348,4.98925,4.995253,4.999843,5.004418,5.010682,5.017898,5.024408,5.030527,5.034715,5.039876,5.042847,5.040709,5.037092,5.030156,5.019424,5.009424,4.998307,4.988521,4.980091,4.975132,4.969195
China,4.208016,4.200512,4.194007,4.188126,4.186815,4.189004,4.193437,4.199419,4.207877,4.213904,4.218391,4.22557,4.234871,4.245037,4.258752,4.274987,4.289464,4.305672,4.320533,4.336358,4.351437,4.367475,4.384617,4.403685,4.421952,4.439977,4.459774,4.4795,4.498724
Colombia,4.885347,4.887441,4.890262,4.890088,4.891843,4.894402,4.897739,4.899282,4.903597,4.908638,4.915495,4.921762,4.922944,4.924163,4.926654,4.9281,4.927552,4.924173,4.91978,4.909637,4.896957,4.882634,4.866063,4.847953,4.830788,4.815115,4.800244,4.7851,4.76945
Comoros,4.377637,4.37185,4.366916,4.362987,4.358858,4.356752,4.352882,4.347099,4.341684,4.33429,4.325054,4.313962,4.303526,4.295403,4.287263,4.277333,4.267389,4.259682,4.251832,4.243848,4.233934,4.224849,4.217265,4.210012,4.204817,4.199075,4.191563,4.184179,4.177964
"Congo, Dem. Rep.",4.161551,4.141986,4.119926,4.099399,4.081462,4.06542,4.050764,4.036684,4.021352,4.00497,3.988586,3.969526,3.9452,3.917085,3.890481,3.873029,3.858375,3.845692,3.834637,3.823403,3.810767,3.800056,3.791282,3.787292,3.783714,3.781361,3.779829,3.779063,3.779954
"Congo, Rep.",4.475759,4.480055,4.486549,4.492379,4.498767,4.500263,4.495256,4.485977,4.476031,4.464715,4.453398,4.443562,4.43444,4.424399,4.408631,4.395834,4.384698,4.371084,4.362151,4.343209,4.328329,4.313598,4.304042,4.297983,4.295986,4.294162,4.294715,4.296346,4.298942
Cook Islands,5.036437,5.05216,5.075326,5.093785,5.11096,5.125374,5.138844,5.147054,5.15263,5.154172,5.156323,5.156588,5.15845,5.157534,5.159249,5.156295,5.15379,5.153184,5.153235,5.1544,5.162035,5.170069,5.181035,5.195431,5.20788,5.219005,5.228232,5.236472,5.245051
Costa Rica,4.807304,4.799431,4.784081,4.768295,4.753485,4.740354,4.726302,4.712975,4.703194,4.689605,4.678847,4.669094,4.662482,4.661859,4.660687,4.660352,4.659805,4.659654,4.661242,4.6632,4.664154,4.662205,4.660567,4.660604,4.660353,4.656353,4.655251,4.65783,4.659085
Cote d'Ivoire,4.385874,4.372607,4.360296,4.341912,4.323146,4.306602,4.287675,4.269205,4.249889,4.230844,4.211358,4.191041,4.171949,4.151057,4.135536,4.121285,4.109225,4.100846,4.095192,4.092293,4.087637,4.083741,4.078934,4.073025,4.066984,4.061161,4.053925,4.048772,4.044171
Croatia,5.397755,5.389368,5.379714,5.3689,5.359573,5.347085,5.337694,5.32774,5.317182,5.30707,5.295753,5.27417,5.248413,5.214703,5.183111,5.154681,5.126691,5.105822,5.083541,5.062317,5.048066,5.034746,5.023768,5.01252,5.005482,4.996867,4.986036,4.979558,4.971828
Cuba,4.882828,4.879652,4.877247,4.873918,4.865799,4.863602,4.858583,4.849957,4.841936,4.834366,4.82307,4.801776,4.766289,4.730489,4.695304,4.661609,4.629174,4.599057,4.570287,4.542799,4.51575,4.488732,4.469863,4.442636,4.419904,4.403456,4.391838,4.383877,4.378235
Cyprus,5.444128,5.434684,5.426303,5.419646,5.420091,5.423169,5.419164,5.420552,5.427949,5.431859,5.434883,5.431159,5.425181,5.419193,5.418833,5.409009,5.402177,5.386776,5.371501,5.353377,5.339926,5.329576,5.319263,5.309995,5.298255,5.282135,5.261213,5.245041,5.230015
Czech Rep.,5.974886,5.963516,5.952379,5.938945,5.925537,5.910325,5.89248,5.873519,5.857814,5.840879,5.82322,5.799648,5.776395,5.751041,5.716313,5.681214,5.642611,5.601331,5.55925,5.51764,5.473714,5.428966,5.379946,5.328893,5.282495,5.235826,5.194879,5.151442,5.110849
Denmark,5.914993,5.898196,5.877998,5.859795,5.841834,5.831906,5.821327,5.810764,5.805198,5.797987,5.78861,5.774722,5.763634,5.749373,5.737079,5.728278,5.715885,5.699623,5.685019,5.668119,5.651712,5.637814,5.620529,5.600493,5.582577,5.567211,5.551023,5.538612,5.522242
Djibouti,4.956364,4.946439,4.93343,4.920962,4.91018,4.899222,4.889355,4.87891,4.864469,4.848174,4.83092,4.811944,4.795515,4.77926,4.761877,4.746692,4.730959,4.715662,4.700968,4.688485,4.681846,4.672901,4.666093,4.658647,4.650575,4.643727,4.639774,4.637903,4.638244
Dominica,4.744724,4.734462,4.730422,4.72616,4.720628,4.712788,4.705735,4.697736,4.685346,4.674295,4.67244,4.671623,4.669993,4.667212,4.666135,4.662507,4.654252,4.646328,4.636897,4.625884,4.611075,4.598801,4.583246,4.565329,4.553998,4.539671,4.530334,4.520053,4.510241
Dominican Rep.,4.54414,4.532439,4.520535,4.508092,4.492117,4.472507,4.450292,4.431072,4.4123,4.394598,4.373956,4.356965,4.34716,4.338187,4.330253,4.328759,4.330373,4.333634,4.339736,4.345736,4.356432,4.361506,4.365958,4.362525,4.360477,4.363545,4.368645,4.376166,4.383762
Ecuador,4.888779,4.887083,4.882187,4.87517,4.867526,4.859771,4.85114,4.836808,4.817847,4.797432,4.78458,4.777639,4.768486,4.759673,4.747864,4.74438,4.743075,4.739674,4.737293,4.725242,4.714781,4.704952,4.694382,4.687981,4.68082,4.672873,4.668849,4.667709,4.666599
Egypt,4.686567,4.683715,4.680588,4.679504,4.679169,4.67837,4.675554,4.669861,4.665553,4.661762,4.65676,4.650896,4.643977,4.636887,4.630311,4.622674,4.61605,4.61071,4.606406,4.602654,4.597844,4.59095,4.584205,4.580013,4.574627,4.569497,4.565256,4.563595,4.563062
El Salvador,4.740197,4.72073,4.698937,4.67625,4.656367,4.637796,4.620358,4.605581,4.590634,4.575309,4.560966,4.548183,4.538976,4.532794,4.52885,4.527349,4.527347,4.527727,4.527613,4.528329,4.524794,4.518669,4.511311,4.504105,4.497158,4.491301,4.484958,4.479251,4.473695
Equatorial Guinea,4.408834,4.400496,4.390684,4.378976,4.368805,4.355494,4.340819,4.325761,4.313535,4.301121,4.291297,4.281229,4.276601,4.270684,4.263726,4.260461,4.267071,4.295114,4.326189,4.364806,4.402326,4.448935,4.494813,4.536494,4.579226,4.615078,4.640571,4.663949,4.684142
Eritrea,4.137748,4.126448,4.114945,4.101278,4.094658,4.090617,4.088163,4.084255,4.079886,4.078028,4.074821,4.072643,4.074787,4.087217,4.101224,4.114256,4.129362,4.144534,4.158774,4.169446,4.170265,4.16938,4.16645,4.15943,4.149958,4.14071,4.131463,4.122864,4.114439
Estonia,5.652228,5.628008,5.603362,5.578728,5.554361,5.528221,5.504189,5.485265,5.468964,5.458755,5.450292,5.442139,5.429046,5.401421,5.370872,5.33413,5.297766,5.263154,5.239202,5.225137,5.202524,5.186,5.181261,5.178066,5.181025,5.179334,5.177097,5.169487,5.158978
Ethiopia,4.219565,4.207908,4.195819,4.183625,4.17495,4.165546,4.159589,4.151201,4.145634,4.140209,4.135235,4.124786,4.117709,4.115631,4.112762,4.10952,4.108547,4.107821,4.105413,4.105032,4.10336,4.10215,4.101121,4.096148,4.093547,4.093411,4.097278,4.102507,4.110213
Fiji,5.059958,5.064324,5.062898,5.054701,5.049314,5.042019,5.04065,5.039089,5.035534,5.036536,5.047376,5.058099,5.072834,5.083852,5.093859,5.105556,5.117015,5.12582,5.133162,5.143234,5.148417,5.15352,5.15566,5.158084,5.16013,5.160519,5.162842,5.160041,5.156559
Finland,6.143405,6.105411,6.070332,6.034141,5.998597,5.962791,5.928856,5.894763,5.860754,5.825991,5.788141,5.745089,5.699276,5.652864,5.608117,5.568193,5.528453,5.489192,5.456239,5.419873,5.387079,5.355953,5.326874,5.297653,5.269422,5.242926,5.219277,5.19813,5.176038
France,6.036262,6.011605,5.982942,5.953813,5.926994,5.900784,5.874692,5.85045,5.826957,5.803746,5.778323,5.755478,5.732898,5.707914,5.68466,5.661132,5.637569,5.615547,5.594913,5.57486,5.553096,5.53181,5.508677,5.487043,5.461874,5.435465,5.407258,5.383863,5.359544
French Polynesia,5.549522,5.544163,5.54065,5.538615,5.535661,5.531113,5.529167,5.524754,5.531113,5.528648,5.525553,5.530026,5.533889,5.534217,5.525511,5.524539,5.514561,5.504792,5.49709,5.494884,5.489653,5.489604,5.48978,5.491689,5.494774,5.494213,5.492271,5.490247,5.487968
Gabon,4.926718,4.929913,4.928659,4.921174,4.915435,4.913797,4.905272,4.892403,4.879589,4.865101,4.846635,4.829679,4.81817,4.810957,4.800623,4.794182,4.784871,4.778288,4.774074,4.7656,4.753996,4.745902,4.730976,4.722516,4.719378,4.717939,4.717822,4.720254,4.722539
Gambia,4.255198,4.240244,4.225189,4.207466,4.188557,4.165218,4.14183,4.120634,4.102619,4.086385,4.069461,4.054606,4.039174,4.02613,4.015625,4.004436,3.996007,3.988633,3.982212,3.979546,3.97791,3.976588,3.974587,3.975874,3.980084,3.984465,3.991533,3.997903,4.003747
Georgia,5.226279,5.212887,5.197139,5.184474,5.171001,5.156452,5.139866,5.121152,5.101071,5.078548,5.051076,5.010481,4.949707,4.881995,4.814095,4.755562,4.703992,4.66455,4.63092,4.607786,4.590133,4.579473,4.575564,4.576355,4.583827,4.592325,4.596777,4.5986,4.600235
Germany,5.817773,5.82312,5.8256,5.830352,5.836397,5.844739,5.851663,5.859627,5.866221,5.869825,5.872272,5.874365,5.872825,5.867403,5.859586,5.849976,5.835582,5.821208,5.805869,5.788377,5.76463,5.740538,5.716166,5.692797,5.665336,5.638323,5.612601,5.588346,5.564929
Ghana,4.192763,4.180722,4.169189,4.15344,4.128508,4.104322,4.0826,4.061938,4.04353,4.027636,4.020993,4.005482,3.993573,3.978721,3.963323,3.94889,3.933275,3.917693,3.905549,3.895655,3.889774,3.884753,3.881479,3.879426,3.878226,3.876989,3.875648,3.874721,3.875089
