"Proportion of the population using improved drinking water sources, rural",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Tonga,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Transnistria,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,89,89,89,89,90,90,90,91,91,91,92,92,92,92,93,93,93,93,93,93
Tunisia,64,65,67,68,69,71,72,74,75,77,78,80,81,83,84,84,84,84,84,
Turkey,73,75,76,77,79,80,81,83,84,85,87,88,90,91,92,94,95,96,98,99
Turkmenistan,,,,72,72,72,72,72,72,72,72,72,72,72,72,72,,,,
Turks and Caicos Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Tuvalu,89,89,90,90,91,91,92,92,93,93,93,94,94,95,95,96,96,97,97,97
Uganda,40,42,43,45,46,48,49,51,52,54,55,57,58,59,61,62,64,65,67,68
Ukraine,,,,91,91,91,91,91,91,92,93,93,94,95,95,96,96,97,98,98
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United States,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
Uruguay,79,79,79,79,81,82,83,85,86,88,89,91,92,94,95,97,98,100,100,100
USSR,,,,,,,,,,,,,,,,,,,,
Uzbekistan,85,85,85,85,85,85,84,84,84,83,83,83,82,82,82,82,81,81,81,81
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,
Vanuatu,56,58,59,61,63,64,66,67,69,71,72,74,75,77,79,80,82,83,85,87
Venezuela,72,72,72,73,73,73,73,74,74,74,75,75,75,75,75,75,75,,,
West Bank and Gaza,90,90,90,90,90,89,88,88,87,86,86,85,85,84,83,83,82,81,81,81
West Germany,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,
Vietnam,52,54,56,58,60,63,65,67,69,71,74,76,78,80,82,85,87,89,91,93
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,
Yemen,58,57,57,56,55,55,54,53,53,52,51,51,50,49,49,48,47,47,47,47
Yugoslavia,,,,,,,,,,,,,,,,,,,,
Zambia,24,25,27,28,29,30,32,33,34,36,37,38,39,41,42,43,44,46,46,46
Zimbabwe,71,71,71,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,69
Åland,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,
