GNI per capita (constant 2000 US$),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bolivia,,,,,,,,,,963.500792,995.4784927,1044.829933,1077.444784,1085.56874,1134.348929,1159.951016,1178.506831,1169.604283,1134.302041,1070.639403,1122.02829,921.2816339,897.207464,844.4252062,800.4685675,765.4279381,782.1313446,790.3606461,805.5019325,827.0169705,855.631155,860.1700921,875.075368,898.8637765,918.3141916,947.1120543,970.2452862,1003.2881,982.4408027,983.7587858,981.1867655,985.5601826,980.7851599,994.9109917,1024.966276,1059.425385,1086.806821,1140.656859,1153.66285,1173.634891,1219.517473
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9409377,428.929627,863.9066119,1161.257641,1606.254091,1651.285425,1650.345764,1677.247808,1726.995968,1770.188648,1864.40979,1947.343311,2047.75954,2184.629339,2315.404817,2254.382296,2246.195828,2279.799604
Botswana,,,,,,,,,,,,,,,789.68212,841.1853032,906.2025118,996.2271295,1074.931945,1110.034884,1258.150441,1352.993149,1405.37286,1398.902674,1441.966176,1520.618928,1565.756928,1916.469969,2054.086689,2278.344927,2488.735117,2514.056982,2596.637006,2323.939276,2478.288625,2433.083672,2689.195402,3073.247294,2945.468568,3004.198892,3205.828397,3107.355738,3362.364537,3495.28184,3559.063428,3751.549539,3917.660539,4039.798166,3970.615512,4152.084852,4314.707289
Brazil,1549,1581.625423,1548.134715,1555.615761,1558.148565,1504.696214,1557.468905,1708.961809,1839.763088,1959.940455,2136.9145,2344.241873,2599.994907,2780.236448,2839.287899,3039.458421,3100.62404,3104.194198,3226.967626,3418.933183,3164.60463,3077.686552,2881.349989,2967.654779,3149.887068,3366.131872,3445.14805,3368.240814,3445.500805,3263.415778,3272.675319,3217.179888,3297.188094,3447.469776,3553.138202,3573.922049,3623.012761,3558.54434,3479.176117,3593.329728,3564.129835,3608.029382,3612.424753,3780.64026,3862.185902,3988.377763,4208.056294,4370.669564,4335.725023,4627.962236,4707.566342
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19409.33142,19075.01748,19126.47888,19478.09789,18997.87973,19065.31927,19395.52004,19445.25163,18685.23843,18135.12818,18253.77631,18350.13062,18441.34689,18749.57707,18896.52592,18609.15264,18311.88135,18745.80477,18547.07114,17846.96486,17216.00028,,
Bulgaria,,,,,,,,,,,,,,,,,,,,1259.620557,1330.468178,1362.11313,1412.878484,1463.320804,1498.98787,1555.297781,1634.477038,1792.622904,1728.758176,1517.936251,1385.893422,1425.242316,1413.379012,1440.720244,1467.795262,1327.613877,1326.68298,1419.059002,1466.138539,1539.765206,1678.576238,1825.745794,1928.475675,2060.580342,2182.898246,2269.830603,2294.774812,2524.730658,2435.841365,2468.273988,2500.692411
Burkina Faso,,,,,129.3584493,128.445422,137.2307977,138.8212991,138.9273435,136.9143036,135.9590158,136.1506113,134.2791109,141.9868841,141.6059089,150.9014486,146.683497,151.7997446,154.1612324,152.2480209,154.3523486,164.9726306,161.3925039,155.0368335,163.9194786,172.6207721,167.562425,172.395947,171.5667077,166.3998089,176.5381096,172.0715641,172.7911638,170.0806638,175.4941963,190.8342464,196.6284972,205.1720693,214.1112894,211.9698206,219.6494181,223.8626664,235.062971,238.6912466,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.9414461,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8001733,230.3444968,240.8383,246.0943265,267.3383662,283.9170438,301.2197679,313.2969587,337.3251878,366.6627362,407.8474462,448.2887382,487.4358796,508.2323542,506.1678674,527.2925462,
Cameroon,,,,,,,385.5786854,406.4595514,426.6189306,434.5018215,450.1177156,457.9410802,439.7608825,476.1681075,528.8895192,483.7306933,464.7635672,652.2612961,691.7871547,583.820199,718.388761,774.2502896,809.5649963,866.6875938,913.4615706,963.5109975,915.6571856,827.0305931,776.8859618,692.2056987,633.1476996,603.0836838,568.9385875,535.8226057,538.508557,551.7842558,566.3316865,588.9202914,603.8596465,603.6640616,628.2957195,627.3511976,652.9069483,670.9816172,669.6899116,685.2125822,700.9127858,698.4052096,702.6548071,706.1771526,716.0007262
Canada,9311,9792.336604,10105.44284,10584.93151,11086.79442,11597.35738,11715.8395,12161.4181,12655.47502,12787.7055,13118.45206,13632.50886,14325.48616,14573.00784,14558.15794,15069.41673,15361.75251,15753.74618,16147.34654,16284.15795,16541.81653,15854.24303,16208.57703,16958.54234,17616.69404,17814.04634,18382.16896,19021.16534,19133.47591,18857.83977,18265.8441,18151.17007,18408.5428,19078.25215,19466.5646,19593.66623,20261.42357,20881.5635,21839.69972,22946.05941,23071.08722,23616.21393,23846.53013,24415.56026,24941.33308,25668.09365,25869.46763,25741.15226,24662.38784,25103.12309,
Cape Verde,,,,,,,,,,,,,,,,,,,,548.1903203,605.7804338,590.8569122,621.2929333,640.3842418,686.8833749,707.1507269,740.3756526,781.0883647,824.1708773,812.713055,803.9059444,807.7581322,842.1697734,873.680931,911.3068878,945.8210517,998.2916163,1057.604502,1154.79685,1201.117266,1274.19317,1299.127495,1346.792707,1378.908298,1421.64488,1533.37416,1687.662135,1757.630335,1817.772056,1856.035513,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.775845,253.4240257,247.7159583,226.6890182,225.5356673,227.1320736,231.4872053,,,,,
Chad,249,257.045701,247.7506755,236.6004199,232.9614617,224.2038242,224.5216311,218.0599201,228.9919056,228.5991985,217.9859544,215.5125233,192.5807798,197.4563116,211.0515675,212.97183,212.7111213,207.3210422,158.3268688,146.7895767,145.5665978,150.4609289,169.8316064,167.1216294,198.0921898,183.6177651,173.5469911,194.2308514,196.6160344,181.8131006,193.3487157,203.2343468,164.5444693,173.1230009,173.4541174,171.3872124,174.7226653,182.8912487,175.6471165,166.3256102,179.1675814,184.2795407,175.1342868,228.7710998,243.0145764,231.694946,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42957.42081,,,,,,,,,,,
Chile,1756,1819.572605,1872.349653,1877.990767,1826.242334,1973.430055,1991.60014,2028.337533,2054.686321,2072.18263,2252.002605,2201.399385,2062.501039,2118.234675,1810.907496,1856.535752,2110.289043,2112.913983,2262.057368,2402.84558,2452.15537,2096.002469,1967.244182,2060.061712,2127.487959,2248.417189,2414.54937,2548.176371,2801.257984,2898.881631,3079.784344,3432.371787,3632.372779,3732.656803,4089.178824,4352.457844,4580.368594,4701.121203,4578.466839,4690.895622,4802.660106,4823.345314,4868.777955,4977.212158,5120.592608,5096.201626,5362.295737,5767.229745,5694.397338,5930.139388,6310.682962
China,,,,,,,,,,,,,,,,,,165.0473947,174.8384226,186.3490344,193.5258125,208.5216589,228.6231145,260.1744477,290.4522891,310.4908334,340.7561207,373.3032549,383.1438497,392.8065068,422.823908,476.2103673,534.8093501,598.6843794,647.1888317,705.6113656,765.6671364,813.4130974,867.6596656,937.563126,1005.721378,1094.838889,1203.370775,1320.864219,1453.979532,1637.730882,1868.033338,2039.931117,2211.506877,2416.579843,2635.647875
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,1207,1234.297183,1230.804063,1275.985964,1264.566796,1297.54229,1299.711317,1363.370375,1402.552311,1443.469214,1499.499527,1575.294218,1652.672884,1717.786064,1700.822188,1744.929387,1788.779164,1898.361443,1964.128102,2006.394028,1995.012577,1933.30598,1910.58614,1922.614686,1921.906332,2009.149835,2060.492105,2116.131376,2119.861557,2202.141505,2225.711137,2302.749611,2334.942555,2464.985401,2548.358164,2544.221563,2582.340109,2564.238157,2415.149711,2465.72891,2459.271079,2474.596857,2512.824382,2602.762309,2680.98086,2818.791647,2961.726645,3008.782824,3021.829728,3089.384113,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.5610898,,,,,,,,,,,
"Congo, Dem. Rep.",271,326.0127076,332.9992905,322.745844,318.4950186,330.0096048,317.5504143,321.4602943,340.9940364,330.6191705,340.7947397,332.4299954,349.9294747,350.8606034,323.0021419,294.4148677,285.5465969,266.7054043,259.0466229,254.4483549,251.5337646,242.6979729,240.1193541,246.8506817,234.927814,248.5254433,230.5574437,224.0156517,216.1826642,193.3683006,170.4839558,145.5720441,124.3754673,108.0640905,102.9283437,107.9133757,98.93958234,95.98860151,87.39814934,78.94614489,75.50772103,78.51990617,82.25529698,83.92029165,84.93671473,89.24861468,90.94086876,87.96297516,93.3286996,97.15970151,99.54117762
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.5725768,,,,,,,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1701,1758.807834,1785.130052,1789.979137,1899.429597,1986.177905,2035.517003,2146.367858,2220.487171,2332.872446,2433.291566,2534.662935,2678.049523,2770.585369,2734.905146,2815.113537,2998.678102,3083.372214,3134.444912,3047.987894,2723.205995,2317.441005,2509.444177,2640.311437,2612.97928,2707.34483,2820.210495,2837.749707,2898.094687,3014.448852,3041.123742,3241.258081,3398.427379,3515.711171,3542.067401,3499.23248,3586.291034,3733.788013,3595.806118,3749.949255,3858.823923,3916.302754,4073.566531,4169.514048,4354.318255,4692.794606,5004.669549,5076.252715,4923.444943,5093.239306,5249.898274
Cote d'Ivoire,575,551.5462339,597.7829401,684.1372486,636.4313135,679.3968768,682.9220597,741.4089849,777.3267835,827.8891607,854.8440964,861.8539104,864.0730027,869.513173,896.979228,966.6276485,990.72343,1042.070118,1008.675024,867.4514089,849.7008919,808.6695836,723.529601,691.1734621,672.7131195,686.0807222,654.6615823,638.0060837,611.0743651,587.7287892,573.1121521,557.0356394,533.6166767,528.0736686,551.7728,587.681088,614.5731311,629.3692584,621.5187917,585.8897231,583.9746228,567.0147599,552.6305903,557.8289728,556.7762858,549.8578067,548.8277024,551.6845205,560.806821,563.0481175,525.5049877
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896.663166,4280.462533,4506.44336,4625.70043,4458.277162,4769.829902,4932.033049,5183.150149,5364.016743,5683.766475,5861.79706,6132.121125,6474.972091,6566.135611,6130.604039,6108.642206,6114.393836
Cuba,,,,,,,,,,1741.768939,1858.364949,1914.625167,1947.969407,1937.924728,2094.085948,2183.507798,2351.680147,2487.437317,2498.095799,2362.466556,2813.080843,3050.315317,3202.683838,3440.606695,3465.506151,3441.715265,3325.074682,3421.785433,3415.091086,3263.338854,2902.18298,2559.614131,2163.908536,2166.157662,2193.97123,2361.233033,2419.435286,2419.370768,2558.819828,2696.546828,2785.834237,2810.001155,2914.690629,3070.823543,3417.047481,3837.411439,4095.313823,4274.792684,4337.264775,4429.857415,
Cyprus,,,,,,,,,,,,,,,3874.304206,4694.982546,5528.871747,5928.523172,6433.816669,6745.466008,6785.61812,7102.22731,7350.816528,7908.008191,8205.860348,8399.773528,9000.450469,9669.2112,10312.93147,10852.73506,10659.46598,11307.50853,11137.98796,11517.62153,11598.73729,11643.173,11661.44904,13215.33045,12465.89749,12546.14494,13055.92894,13465.29035,13642.78798,13580.8308,13809.33633,14010.81242,14369.29347,14601.36957,14948.45776,14928.52388,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4857.436072,4804.711343,4926.444674,5199.180637,5393.346446,5350.3009,5331.969425,5398.216964,5626.39761,5756.261203,5839.625364,6072.4938,6270.083937,6722.575613,7108.731713,7312.420367,7672.444485,7115.192723,7294.758741,7404.773218
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,16451.75427,16807.85554,17399.83925,18117.50286,17755.43253,17548.85512,18571.62699,18936.62934,19326.47043,19864.42895,19582.80093,19256.12551,19852.14746,20431.93213,21194.97994,22015.6983,23130.78828,23245.21204,23156.95407,23201.7826,23480.47767,23706.92479,24188.18077,24249.29438,25533.53204,26284.23428,26820.07328,27525.25259,28098.63573,28804.58579,29346.3374,29655.51872,29765.77048,29967.15309,30901.65526,31865.40678,32991.06402,33105.93475,32821.10171,30747.25783,31241.81097,31669.15246
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.365449,1107.089646,1025.622638,985.139656,931.4064097,865.827438,825.7077471,795.8586503,789.2701795,774.6910967,766.8085731,773.8180608,826.7429865,855.2899091,864.0123921,,,,,,
Dominica,,,,,,,,,,,,,,,,,2204.231053,2425.799525,1964.227253,2248.422168,2524.179421,2624.13217,2689.517388,2811.865809,2780.082295,3093.112645,3302.903378,3647.919123,3605.495645,3876.897446,3854.088638,3941.416765,4022.04748,3990.423616,4033.226915,4062.806555,4206.307072,4467.542916,4349.362962,4153.998334,4374.605952,4261.099442,4631.014224,4721.317736,4770.967317,5228.612603,,,,,
Dominican Republic,844,951.8262619,983.2307813,1019.294405,871.6711713,952.187133,955.2184007,930.7778575,1001.460817,1167.22094,1265.894303,1386.166651,1501.210007,1544.55623,1586.320071,1650.715059,1667.546278,1689.108265,1739.194908,1766.496078,1789.758447,1794.052102,1831.195662,1816.035446,1699.628641,1749.027702,1866.647608,1844.526993,1907.446797,1775.278075,1766.223252,1911.152404,1976.657263,1997.385899,2069.46451,2196.393316,2329.653456,2445.700158,2562.321561,2671.726588,2675.206233,2790.156597,2681.862822,2622.81896,2910.538235,3189.902013,3415.985295,3589.044313,3665.633367,3913.913671,4026.955272
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,785,799.6936827,813.2992118,851.7940914,849.4275602,824.5850328,858.0512422,851.8475831,873.3345222,910.9439215,937.2689562,951.0669812,1049.168817,1100.024932,1202.425321,1248.719163,1235.716774,1275.953476,1288.845446,1308.098431,1306.159953,1238.617477,1173.331108,1167.340623,1147.472143,1167.967879,1097.59789,1154.159666,1135.328987,1140.946129,1200.498447,1219.749041,1229.346219,1269.888639,1275.775739,1280.568884,1317.427467,1316.601509,1181.157465,1177.022146,1255.821483,1308.059852,1326.781526,1413.261618,1482.463475,1535.780382,1543.663283,1659.473309,1644.954538,1694.481629,1744.331681
Egypt,438,454.6469128,482.2866807,506.2063975,538.3411586,530.6459443,522.5095055,524.036361,543.1369485,560.3545559,566.3061403,565.8116712,553.7158029,554.7499755,585.0295073,653.0540622,717.9056358,729.5857584,741.1626986,789.3974207,792.7473127,857.3116532,901.8420109,932.6393836,936.7911546,929.1087042,1041.774224,1079.855861,1101.109938,1125.562207,1132.899807,1164.378706,1172.291639,1210.939695,1251.934834,1299.412376,1353.592413,1386.9039,1441.573496,1489.618567,1517.004485,1509.917681,1525.735949,1556.84375,1596.380924,1687.345365,1781.474112,1873.774554,1913.921646,1939.597425,1928.968731
El Salvador,1447,1567.893715,1582.94372,1676.739346,1710.493287,1780.871334,1822.019457,1830.433822,1842.965797,1847.156916,1867.523746,1928.699112,1969.790994,2007.723836,2019.269213,2104.829192,2193.019951,2251.540245,2130.277191,1826.280965,1603.315641,1472.201844,1471.650854,1472.511884,1470.58532,1452.039544,1472.044142,1483.086421,1479.270964,1538.195982,1566.737264,1670.117759,1760.871615,1851.378247,1951.005113,1966.741098,2021.569099,2085.604267,2124.983585,2168.415219,2195.545718,2230.725745,2261.143057,2293.987459,2367.91905,2464.0982,2550.1266,2583.438413,2468.495353,2492.33068,2510.255522
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698.822747,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.9203565,153.2409588,185.506746,191.5499953,201.2530918,213.8542959,213.9368503,207.8102392,172.8868489,200.8289461,197.4346419,183.8300661,178.6180797,177.1985751,169.5374918,166.7909234,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851.277204,3074.108315,3380.028033,3692.044528,3703.742569,4008.46422,4241.358691,4532.379774,4845.152586,5186.425434,5715.201021,6204.675457,6566.106966,6422.438869,5665.060491,5670.839664,6104.728137
Ethiopia,,,,,,,,,,,,,,,,,,,,,141.7178349,139.0166222,145.7792423,136.9987798,117.7022389,125.0402635,137.6675092,133.7644782,128.8087923,128.2203864,115.0884031,101.5137534,110.5128263,110.3274654,113.8829268,124.6492401,124.1665421,116.9174861,119.9060804,123.8135736,130.8031685,129.6066982,123.3702422,136.9654759,150.0462922,162.5710519,177.7336929,192.631989,204.643956,219.6522569,230.7075629
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24119.58007,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115.723739,,,,,,,,,,,
Finland,7801,7971.133097,8166.143696,8539.250073,8956.754081,9131.394617,9265.095065,9425.997409,10331.23147,10919.96669,11158.26783,11936.52436,12693.35678,13036.7337,13175.07604,13165.10777,13114.09231,13464.87359,14419.8913,15152.57706,15201.77419,15532.5936,15907.29914,16335.71519,16851.63891,17292.35501,17834.47942,18748.78244,19429.70474,19345.21272,17921.81592,16996.11804,16656.95972,17405.54186,18205.1487,18936.14052,20232.52295,21077.20659,22090.08344,23349.76741,23982.98648,24440.18682,24638.25096,25976.60675,26562.37753,27758.51167,28857.48701,28940.50977,26676.73136,27556.90063,28066.14744
France,7871,8289.338604,8614.90504,9054.465355,9375.327317,9755.080799,10126.77686,10469.07806,11111.12845,11654.97363,12186.65518,12621.32635,13352.8599,13892.10078,13592.97614,14120.22955,14555.37315,14999.12662,15460.81512,15702.4956,15759.04595,15988.25753,15992.98115,16113.42156,16355.39331,16688.02835,17040.71702,17699.91044,18304.90078,18695.17961,18780.47104,19019.50803,18845.69835,19146.96646,19449.9843,19689.02031,20106.44247,20719.67399,21491.35859,22084.36465,22312.91779,22206.2314,22319.53196,22790.23212,23089.3083,23544.61579,23925.57287,23776.29915,22926.06514,23192.6615,23448.22339
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14507.54146,,,,,,,,,,,
Gabon,2081,2195.96215,2875.606755,2341.705526,2509.964123,2628.095472,2690.95269,2728.25562,2981.967499,3235.331311,3450.627944,3771.645232,3999.710832,5288.758529,6300.777071,8461.719004,7236.394608,5062.954574,4718.063297,4694.041736,4887.139769,4614.69305,4731.793111,5165.995343,4877.955943,4786.482124,3844.00417,4207.490939,4504.225336,4339.187074,4477.539398,4090.120741,4064.584572,4191.822545,4214.174697,4191.289547,4334.25611,4551.466872,3934.122561,3472.193739,3654.629729,3746.874459,3648.777659,3334.689188,3584.757632,3388.58126,3581.705286,3534.731954,3702.640384,3601.802186,3577.204628
