Growth over next 10 years,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Benin,0,0,0,0,0,0,0,0,0,0,0,0.04679229022,0.09360647563,0.1404425665,0.187300573,0.2341805054,0.2810823741,0.3280061892,0.374951961,0.4219196999,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.4912605714,0.5136166992,0.5359778005,0.5583438765,0.5807149283,0.6030909568,0.6254719634,0.647857949,0.6702489148,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.6926448618,0.431157496,0.1673407184,-0.3820858489,-0.3681702287,-0.6398174439,-0.9146919514,-1.191765044,-1.112398072,-1.03111725,-1.019188281,-0.7362317038,-1.120502014,-0.4278017754,-0.0888647354,0.37995629,0.7076232849,0.7673493679,0.7420941596,0.6283525154,0.4929197315,0.1827539701,1.350385467,1.093921152,-0.3881360748,-0.505727497,-0.4807541085,-0.06458161962,-0.1610614443,0.2848516317,0.978212356,1.476333445,1.642361606,0.9328734015,2.47928388,2.760368471,2.517514643,1.764336045,1.711641598,0.6731336005,0.09691111411,-0.04267397189,-0.7000242313,-0.07795757917,-0.6224593928,-0.9702132216,-0.6648115317,0.05792478915,0.2344601634,0.9467779681,1.157095443,1.21478404,1.429537194,1.640429429,1.744347707,1.680140501,1.524790223,1.420991761,1.463482589,1.267537141,0.9622980663,0.8346473748
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0.06588259211,0.1318085894,0.1977780204,0.2637909138,0.3298472982,0.3959472022,0.4620906546,0.528277684,0.5945083192,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,1.030154406,1.400881623,1.772969212,2.146422166,2.521245495,2.897444227,3.275023409,3.653988107,4.034343405,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.416094406,4.530921239,4.645874347,4.76095387,4.876159946,4.991492715,5.106952316,5.222538888,5.338252571,5.454093505,5.57006183,5.222725727,4.861695544,4.162542402,4.436953602,4.104036591,4.753620596,5.289501715,4.739031341,4.330199332,4.211924186,4.236643966,4.115396095,4.29690702,3.458668179,3.52452744,2.838694469,1.841875401,1.983852952,2.554537633,2.307507806,1.43135212,1.493380242,1.433050504,1.076815007,1.376197395,1.172626534,1.426040929,1.240378848,0.4590376436,-0.1529513804,0.5686125152,-0.05400197195,0.3663696336,0.7299313524,0.7735128833,0.7129075542,0.7166048781,1.033994283,1.399132793,2.09009096,1.952587164,3.029654117,2.864110204,3.172508412,2.953876914,3.240289648,3.167900023,2.941533252,2.111044087,1.631534778,1.705459862
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0.01819126833,0.03638584587,0.05458373325,0.07278493104,0.09098943987,0.1091972603,0.127408393,0.1456228386,0.1638405975,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.1820616705,0.264707309,0.3474211263,0.4302031788,0.5130535227,0.5959722144,0.6789593102,0.7620148666,0.84513894,0.928331587,1.011592864,1.011592864,1.011592864,1.011592864,1.011592864,1.011592864,1.011592864,1.011592864,1.011592864,1.011592864,1.011592864,0.8174558285,0.4619546655,0.1310913039,0.1591676937,-0.641840497,-0.2442314339,0.06465175426,0.3153177055,0.3631160722,0.4530900955,1.36669498,1.60277636,2.39074627,2.620718414,3.63215764,4.158228302,6.23263936,6.148737309,6.530785595,7.377245712,6.64157665,7.236928494,7.122615804,7.575654481,8.084977542,7.628100963,5.537323116,5.6329879,5.617362292,5.06981317,5.373599209,5.5110414,5.52659733,5.133357769,4.774521579,4.616429132,5.694053382,5.598972667,5.58261958,6.082003494,6.330112631
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0.0932319509,0.1865508238,0.2799566996,0.3734496596,0.4670297849,0.5606971568,0.6544518566,0.7482939658,0.8422235657,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9362407381,0.9046354952,0.8692342123,0.8744183404,0.8744701563,1.754826105,2.143587304,2.139436313,0.8214608302,0.7208493075,0.9283800725,0.03293747657,-0.5788173288,-0.6633955627,-1.008933829,-1.765088523,-2.249943951,-2.029598313,-0.4513958033,-0.2070436356,-0.2604219623,1.035477167,1.973416411,2.550609432,3.013102415,3.084151012,3.237154505,3.171901555,3.19788176,3.216588929,3.372400282,3.420370874,3.210012031,2.704477092,2.264549445,1.684244731,1.45522139,0.5759788999,-0.4662537999,-0.7887941317,-1.419207154,-2.409884694,-2.502839026,-2.42138919,-2.128232717,-1.561403617,-1.180275384,-0.6350132697,0.1659507314,0.4783564036,0.9629838602,1.691819606,1.906659564,2.045914751,1.822939726,1.597060134,1.290289844,1.429169452,1.358605748,1.338160288,1.348221104,1.39006985,1.349121856,1.438759426,1.729597336,1.893721827,2.22572319
Bosnia and Herzegovina,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.04966644534,-0.004495529309,-0.05862818332,-0.1127315326,-0.1668055929,-0.2208503803,-0.2748659104,-0.3288521992,-0.3828092624,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.4367371159,-0.2228080335,-0.00841928692,0.2064301113,0.4217411511,0.6375148243,0.8537521249,1.070454049,1.287621596,1.505255764,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.618377014,1.513504811,1.408740839,1.304084985,1.199537139,1.095097188,0.9907650205,0.8865405262,0.7824235938,0.6784141121,0.7699604106,0.8615899516,0.9533028108,1.045099064,1.136978787,1.228942056,1.320988946,1.413119534,1.505333896,1.597632108,1.436814954,1.276252355,1.115943907,0.9202803613,0.7249954326,0.5300883883,0.3355584972,0.1414050295,-0.05237274314,-0.2457755478,-0.1479124348,-0.001968065954,0.3635970516,0.9537682086,1.330633409,1.907433981,1.631503879,2.382595211,2.801201515,2.487479768,1.929935223,0.6524343049,0.4543848331,0.1297545197,-0.4963999259,0.0529963696,0.3866023864,0.3165379291,0.3436236792,0.5973206,0.9591469966,2.001105827,1.739955921,1.419212078,1.62384494,0.4404070825,0.325094651,1.332770547,1.744775402,1.034036821,1.382224896,0.5223213305,1.886055478,2.397780584,2.988240419,2.756298514,4.353456436,2.994723562,3.262554799,4.622599767,4.711726484,5.792894632,5.406389613,5.837607938,5.5016766,6.287846341,4.841085531,4.636244696,4.548322564,4.416525454,5.11075994,5.280418909,4.599607834,4.91726707,4.647929158,4.419584487,4.970134531,5.312464042,4.889763575,4.909645864,3.982906603,3.733777923,3.510977854,2.553943239,2.673303647,2.818278505,2.030587475,1.383746791,0.6258257137,-0.5813954014,-1.972389958,-4.711653285,-7.511248668,-7.037522882,-6.330645169,-2.259856032,1.00188462,2.174466264,2.908647245,4.076830881,5.699163168,8.981576992,12.39340977,11.99792294,11.44917735,7.049640136,4.384316964,3.956010919,3.104196838,2.853535314,2.739740731
Botswana,0,0,0,0,0,0,0,0,0,0,0,0.04679229022,0.09360647563,0.1404425665,0.187300573,0.2341805054,0.2810823741,0.3280061892,0.374951961,0.4219196999,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.468909416,0.495478701,0.5220550123,0.5486383519,0.5752287214,0.6018261229,0.6284305581,0.655042029,0.6816605373,0.7082860849,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.7349186738,0.850973381,0.8998863835,0.9978780979,1.093257146,1.168391427,1.232934487,1.295619376,1.340056268,1.429173563,1.452458119,1.453014287,1.456289408,1.447606323,1.469128582,1.473891022,2.135117389,2.837608319,3.568235657,4.196714563,4.863610747,6.179207782,8.691591167,10.27469576,11.68908798,10.84849732,11.32400129,10.22216611,10.68375815,10.36480737,10.54925986,9.535675399,7.233840028,6.689054346,5.882862804,6.918708848,6.056320587,6.798262511,6.695124842,7.153209204,6.480498415,6.115682105,5.741904516,4.463234804,3.778845396,3.567349282,3.467560495,3.372946726,2.593991547,2.140133457,2.587525699,2.844880932,3.298575184,3.779283972,4.028031071,4.147726887,4.264120731,4.170032153,3.946117577,2.842875195,2.69031733,2.645420555
Brazil,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2849701206,0.2762236911,0.2674780245,0.2587331206,0.2499889794,0.2412456009,0.2325029849,0.2237611314,0.2150200403,0.2062797116,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.1975401451,0.8484259871,0.5529235964,-0.1038178604,-0.4696642988,-0.395063519,-0.05861859679,0.6012300131,1.210325807,1.109295149,1.353464272,0.5888882499,0.3753689295,1.240721014,1.733353775,2.368815433,2.367526954,2.492323789,1.855410109,1.937067516,0.9030538599,0.9938967393,1.833895673,1.301569516,1.315243041,0.7415332394,0,-1.075229237,-0.6044122538,-0.5245439396,-0.2379462639,-0.154602381,-0.2601966786,-0.2369656081,0.2678331174,-0.6203998674,0.08191730771,-0.321743337,-1.179641833,-1.125307492,0.2385137986,0.7632642547,-0.8984087517,-2.211828378,-2.85167577,-0.4511552831,-1.728899306,-1.197927274,-0.5825747246,-0.8976689363,-2.164265615,-1.579797765,-0.4580473143,1.179474433,1.044305469,-0.5003299372,1.44797493,1.513862336,0.7299447253,1.670211154,2.149462179,1.296959617,2.040470144,2.119864402,1.880842948,1.553541161,0.4597331198,1.26195624,1.354949137,1.170717634,2.098190016,1.712039538,1.848354516,2.375165366,2.710152768,2.663169395,3.088541837,3.223230662,4.628502025,3.923883061,2.478071812,1.914705038,1.564577596,1.632519133,2.359258128,2.677156365,3.346667044,2.739823539,2.060510295,2.214271037,2.318251122,3.170202816,2.39647121,2.33121746,2.204555529,2.198094065,2.118221747,1.850893419,2.304583421,2.761076078,3.478903309,3.416724996,4.408752731,3.94733398,3.867430103,4.353275366,3.435613152,3.915449995,3.984468274,4.160864515,4.396000389,4.753115579,4.694463963,4.271404547,3.835258363,3.201878797,3.601787049,3.265136947,3.183532772,3.168885534,3.231818684,3.547658067,4.098023673,5.48014972,6.009417353,6.342602007,6.741825566,6.861312042,6.410655577,6.17533524,6.18270023,4.581373763,3.497052553,1.843113342,1.608808107,1.908782163,1.687845183,1.60164846,1.156023575,0.8713012066,-0.6569435728,-0.04354021566,-0.1151658247,0.7475575404,0.8564957615,0.5702830263,0.1616566142,0.1916059485,0.2622864692,0.07180659754,1.218783973,1.232161394,1.58165494,1.214406906,1.208580657,1.089330151,1.249045796,1.559800041,2.105509326,2.035578347,2.383119502,2.61279
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0.06588259211,0.1318085894,0.1977780204,0.2637909138,0.3298472982,0.3959472022,0.4620906546,0.528277684,0.5945083192,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.810234908,0.959909121,1.109805557,1.259924546,1.410266419,1.560831506,1.711620139,1.86263265,2.013869371,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,2.165330635,0.7151597105,0.3487509576,0.5393346517,1.147930971,1.285022917,0.9669392315,0.8851245575,1.350513205,2.132069823,3.058645276,4.092693038,4.121879425,3.878142441,3.145928258,2.467478454,2.483009315,3.274910185,3.216116901,2.638228404,4.379304251,7.569213346,10.84888201,14.08972881,17.06321415,20.74067841,21.86515634,21.71028212,21.88781035,22.23483848,20.16588112,17.09768069,13.19997968,8.838010857,6.886804351,4.73772151,3.877390093,3.028448439,2.285356341,1.890191655,1.118958538,1.056401696
Brunei,0,0,0,0,0,0,0,0,0,0,0,0.03242706451,0.06486464417,0.09731274238,0.1297713626,0.1622405081,0.1947201825,0.227210389,0.2597111312,0.2922224124,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,1.835122964,3.368240289,4.924438538,6.504065191,8.107472962,9.735019872,11.38706933,13.06399023,14.766157,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,16.49394972,14.9078973,13.34343881,11.80028026,10.27813164,8.77670691,7.295723913,5.834904337,4.393973661,2.972661099,1.570699552,1.570699552,1.570699552,1.570699552,1.570699552,1.570699552,1.570699552,1.570699552,1.570699552,1.570699552,1.570699552,1.960108687,2.358067992,2.720341852,3.281858216,2.740431826,4.067544956,4.585440672,4.726578782,6.337541646,5.058070109,1.89338043,1.435500901,0.6865108059,-0.2356396397,-0.2956838505,-2.266329129,-2.985157185,-3.437106003,-5.419108929,-4.428548614,-1.87806769,-2.354904472,-2.350601938,-2.228421092,-1.772412039,-1.131654581,-0.897280736,-1.019631063,-0.5708800612,-0.5147347322,-0.5920199595,-0.05464556478,0.2298054613,0.1492671904,-0.06754175767,0.1036423331,-0.1814778508,-0.2115877694,-0.5841308242,-0.5462326305,-0.5156296756
Bulgaria,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1413197806,0.1787958241,0.2162858924,0.2537899907,0.2913081241,0.3288402981,0.3663865177,0.4039467884,0.4415211152,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.4791095036,0.5805930097,0.6821790138,0.7838676193,0.8856589299,0.9875530494,1.089550081,1.19165013,1.2938533,1.396159694,1.498569417,1.498569417,1.498569417,1.498569417,1.498569417,1.498569417,1.498569417,1.498569417,1.498569417,1.498569417,1.498569417,1.427073841,1.355628627,1.284233738,1.21288914,1.141594798,1.070350675,0.9991567361,0.9280129465,0.8569192705,0.785875673,0.8827648264,0.9797471229,1.076822652,1.173991503,1.271253767,1.368609532,1.466058889,1.563601927,1.661238737,1.758969409,1.758383732,1.757798058,1.757212388,1.097685121,0.4424325025,-0.2085731745,-0.8553594357,-1.497953629,-2.136382924,-2.770674316,-3.40029864,-4.02584573,-4.647341988,-4.647341988,-4.050258836,-1.277698826,-0.1060683448,0.0820559867,0.2355115832,1.568233446,3.323480865,3.748213649,4.282007716,3.713627311,2.968877325,2.473721073,2.244865728,2.724817747,3.105071508,1.884328851,0.7518417206,0.2423161994,0.4323546879,0.5847096126,-1.405617025,-2.414257406,-2.040688925,-1.370477786,-0.5627562794,0.6462547179,2.413580975,2.496731886,3.256327331,3.853814354,7.189158339,6.170509093,6.219451744,6.084092307,5.886496585,5.837439468,4.444728039,5.698295501,5.06669423,6.091617032,6.009935839,6.843448258,6.365949236,5.704562888,5.411956251,5.066998689,4.783720708,4.485182489,4.453283844,4.000088459,4.238287638,3.785849006,3.159959622,3.258418871,3.226858959,2.388181864,2.354830521,2.228366007,1.671390214,1.735637586,0.657782457,0.6459234551,0.7953985155,0.5128821171,-0.04640279948,-0.7652546,-1.726070098,-2.626044131,-2.320417892,-2.341358924,-1.629276344,-2.720653071,-3.1703627,-2.603320908,-2.099280413,-0.4502967763,0.796264897,2.01845883,2.442744736,2.90320963,3.208317222,4.824370863,6.021019038,6.164309741,5.2834844,4.754446447,4.667746814
