"Children out of school, primary",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Gambia,,47722,51058,53161,55765,57930,59860,56215,53572,53831,52672,47273,46394,45505,46167,46026,49479,,,,81056,,95921,94604,,,85033,,,60774,66308,65521,71161,65001,66097,73911,65014,66809,78527,70985,85097,86417
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,56326,55744,50321,,,,,,,37834,33994,17559,14081,99,0,,4182
Germany,,,,,,,,,,,,,,,,,,,,,,,,579856,640969,657523,656634,645075,590610,5295,3679,3306,353,5472,3703,5760,9736,3705,8913,9530,7184,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137634,1052251,1231479,1174112,1114441,1271973,1057760,1077825,908297,730811,791049,,567417
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,22721,21468,18395,13884,21244,28220,38542,45696,50350,56403,31159,20527,7225,4131,2633,8293,32834,31670,41493,45892,44898,55706,69439,75347,68866,78468,76357,29480,25472,15134,20267,10270,3127,2555,5038,7963,9588,,,6088,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,3798,,,,,382,194,244,659,1457,1974,1967,1555,,,,,,,,,,,,,,,,2981,1567,,180,215,,,928,577,345,462,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,442996,448438,457874,,473314,473648,,,485209,492487,483770,462316,513143,481548,,,,,,,,,,,,,,446305,,288961,244915,267177,209260,169252,127489,101476,75096,59256,69744,31697,45144,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,515719,507191,536871,569340,578214,598834,630334,641200,,,,,,,759712,738640,703816,660232,561012,513856,470758,440459,404313,372376,387465,365285,354858,258811
Guinea-Bissau,,,,,,,,,,,,69070,74066,,92390,91682,,90912,87990,,,,,,,,,,,92755,93057,,,,,,,,,,56640,
Guyana,,21388,21395,,17863,,16578,7402,,8545,,,6566,,,,,,,,,1414,2265,1955,,3903,6790,,,,,,,1910,,,,,13675,21733,18637,19685
Haiti,,,,,,,,,,,549394,544822,503977,474487,515107,480564,473326,577586,,,,,,,,,,571243,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,160401,142211,140293,,74701,64692,58587,,63675,,,,,95291,,89884,,,,,,,114558,,,,45363,85266,41572,74936,43183,38813,45759,29720
"Hong Kong, China",,86642,78274,78883,71818,65710,64045,60441,59810,52102,26061,24029,25910,22345,18234,16222,,,,,,,,,,38448,34825,,,,,35310,32078,25679,18161,17508,15884,15155,15010,11727,5277,8567
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,55261,56681,111442,65366,17644,15178,12287,10655,9970,15417,17541,14911,13575,15181,10652,7733,7350,
Iceland,,,,,,,,227,,,,,,,,,,,,,,,,,777,,592,523,320,290,257,138,148,240,672,657,638,598,365,167,294,
India,,27994417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20007708,20305963,20700241,14747899,6184213,6853721,6314803,4866752,2278322,,,
Indonesia,,5980831,5911106,,6276900,5937605,5461254,5070586,3696782,,,2814217,1228105,644787,798401,557721,731026,961096,731659,998284,1426344,1661494,1877216,2186838,2027947,2054663,2318695,2308097,,,1599485,1272138,1236013,1090144,948474,1277402,421016,510605,320801,399571,105670,
Iran,,1811608,,,,,,,,,,,,,903177,939437,927941,943361,923041,934120,471352,,233424,,,,,497803,,1157092,1181950,,446667,462745,223213,205780,47049,23888,,14417,16597,7808
Iraq,,687632,679971,670354,661683,701631,573002,574413,562962,241980,163492,185822,,308768,,352677,343884,299859,273193,309900,,,,696195,,,844216,,,423338,481646,512093,,310817,384763,,,501445,,,,
Ireland,,25064,27067,26225,30962,32717,33493,33971,33516,34389,35738,38932,42653,46012,,,47666,43887,39359,36909,34634,35621,37732,38872,39505,40252,39697,35166,1537,332,977,4061,444,18,700,863,433,658,1706,1923,1434,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15172,13703,10832,13069,12687,15797,17230,21092,19913,20535,23155,20204,
