Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Barbados,450.1055365,464.9801692,493.8718695,530.1756391,569.0039736,601.1528498,635.0068981,670.9496459,695.7607929,731.4878957,773.4757101,837.5900628,874.4757419,958.1784845,842.7385236,1003.432519
Belarus,69.12997733,88.26239934,91.0781798,89.26793041,74.01820404,63.48191769,81.76748168,94.77788686,118.4289941,154.4034069,211.7407017,239.5668971,299.6155558,373.3470911,310.7473897,319.6404007
Belgium,2136.333514,2148.286059,1905.237829,1975.633825,2010.913339,1844.077377,1875.078284,2070.855227,3010.803757,3522.128079,3616.645099,3635.043609,4169.854734,4754.275222,4748.931622,4618.308324
Belize,119.0760944,102.4129651,109.8834459,109.1988308,109.4033757,131.5025331,152.4334321,154.9164476,166.3502663,168.3656714,175.889366,185.6591615,208.6497981,218.9570745,241.7923173,238.823592
Benin,18.01650439,18.60063418,16.33318939,17.4944475,18.03651168,15.7040473,17.42717343,17.29773751,22.99008692,24.97867046,27.02495379,28.39455309,31,33,34,31
Bermuda,,,,,,,,,,,,,,,,
Bhutan,18.82107981,27.39074265,35.291142,37.23219866,50.47953663,51.64387801,50.10962129,69.86387534,50.38862354,48.21686123,57.83109872,69.23250522,87.0551897,94.06479136,90.73845399,108.488761
Bolivia,40.18078585,44.82025956,44.90718202,54.36846843,63.08305685,61.41475262,60.61890609,59.69686121,51.06554146,52.11224368,58.25670203,59.02234855,65.08928224,85.35091165,90.42115338,96.52464129
Bosnia and Herzegovina,63.79041661,93.97065382,88.86015434,94.70603441,113.5965174,105.6377785,110.5370598,124.5030884,177.9140127,242.8577364,262.7997523,305.4227711,393.7809477,505.6025539,494.7313848,499.2078719
Botswana,124.7874986,124.9529016,137.5329506,126.2870719,130.6787148,151.8001489,180.3266888,204.155825,263.3541031,451.6075955,418.6070843,398.7511236,504.8069298,535.9908441,581.3906053,614.5987062
Brazil,315.9420931,349.9668081,355.4716199,335.5080907,241.991463,264.870296,227.7135863,203.0893158,213.6127794,257.4049315,387.5104822,491.6500091,610.0095454,714.9898562,734.056491,990.3940748
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,481.8026106,637.774438,633.8076003,575.1883,589.1639585,551.3381542,532.4258634,533.159322,582.9357207,666.8825756,691.1430825,711.2904507,782.8184935,877.0618037,833.4432093,881.5662413
Bulgaria,81.82321796,55.24467726,63.86194079,82.7472833,96.32914452,97.69217598,129.215227,153.979038,200.8137362,238.2642558,273.5491023,297.4072339,374.6623996,474.172846,462.6485152,434.893145
Burkina Faso,10.72199245,11.85997735,10.91044579,12.4663275,13.27783641,10.89618231,10.9831747,12.6621784,17.60530419,22.63921202,26.44815633,26.15978802,29.80479692,36.5127274,38.83805692,39.77877598
Burundi,9.33915462,8.253659,8.36412757,8.25611617,7.2190512,7.04259524,6.91261912,6.59199465,6.30702577,9.58782555,13.41990299,17.54028772,17.64229141,18.31932186,18.64577565,20.7200245
Cambodia,20.10800236,29.01808094,23.46128839,18.12216493,17.75781748,18.62710715,22.40788112,25.02700655,29.97632802,32.27801211,35.15074055,31.8844304,31.83455106,38.85543014,40.86631482,45.18599793
Cameroon,25.13376615,34.4743623,28.93216642,28.99836191,28.97120522,26.50891493,28.20585611,32.21794315,40.33022299,43.43561524,44.85624845,46.82470451,52.88653437,63.83446755,60.41222601,61.34140305
Canada,1820.609018,1828.837371,1873.002802,1848.571848,1936.587877,2089.213973,2148.976137,2249.068799,2676.79495,3036.640797,3454.416864,3912.321554,4340.355972,4622.626436,4518.807352,5222.1176
Cape Verde,62.84431573,57.58117005,54.24267138,63.11761687,62.23116588,57.17702162,63.57555861,68.62929321,80.89749223,100.9372815,97.87470267,121.94175,137.2683213,155.6552646,150.1867737,154.6348977
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,12.24985396,11.34755568,10.83887648,10.20982088,10.15095729,9.97048116,9.84795732,10.67120768,11.85731278,12.91477911,12.53330777,13.65555313,16.71703066,18.49351603,18.26965283,18.19331692
Chad,11.93951938,12.226303,11.49603456,12.27848409,11.32896737,10.57307874,12.08947712,18.02517262,17.27952921,23.76588462,25.62827896,24.363092,28.34740527,28.03009406,28.44285764,30.64455299
Channel Islands,,,,,,,,,,,,,,,,
Chile,332.9193452,386.9729818,417.1350196,424.9264297,395.0725132,404.8301371,370.8985199,358.5860816,345.892373,419.8608104,502.3639177,591.6870749,683.0753431,764.7971784,801.9149765,947.22032
China,21.14391059,26.43450997,30.98088366,35.37775887,38.60333443,43.40621033,47.24784068,54.09233591,61.15801551,70.11874165,80.37652629,93.39413521,114.4807539,156.5990529,191.2941086,220.8766447
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,186.3025973,230.0312022,270.3209971,238.8422663,206.0361848,184.4293485,178.1009535,174.8136712,174.9147904,205.6362188,253.6147066,272.6623679,336.5918728,376.9990035,391.8592897,472.1522232
Comoros,18.95915164,17.72332739,15.75892862,13.8508468,13.16934367,10.36120656,8.78019913,12.12543165,16.26736654,19.56455458,22.04707106,24.18664982,29.26288731,34.45666035,23.68747049,33.22185547
"Congo, Dem. Rep.",4.80033896,4.41114917,5.43813436,6.32155057,11.50030867,13.30563346,5.88624585,4.54407551,5.4578325,6.48525117,7.32550452,8.95783127,10.21864016,13.70413496,16.7295708,15.754249
"Congo, Rep.",24.29501398,25.65665091,23.38835704,23.87861305,23.49950973,21.68059924,21.02232209,22.35925675,26.96340286,34.21913702,41.45317696,50.15452945,60.21649344,80.40646768,66.96111028,72.29518609
Cook Is,267.6085792,243.3579371,190.4635361,177.510929,161.0901429,174.5537669,246.0144888,227.863957,323.837582,362.3763115,439.1615629,383.7461519,456.792023,448.6609036,434.7938111,538.693219
Costa Rica,219.9464944,221.4581128,216.309289,235.8251563,255.1493499,265.5110886,292.2939406,316.3417106,327.2017364,341.4868806,359.7761108,409.9295787,524.3388835,617.698283,666.767656,811.4380517
Cote d'Ivoire,37.92615747,44.70402422,46.61410676,52.95703912,42.93139812,31.77352881,24.69648698,23.12727034,29.72774894,36.86569398,39.02706288,44.26443267,61.25118446,71.8341187,61.04527379,59.74525371
Croatia,323.356828,369.1369524,301.7866615,372.1917655,371.9760419,377.0439186,375.6918132,374.6882405,495.3792029,613.9780675,704.8976786,789.814519,1008.04587,1224.051693,1112.002331,1066.724606
Cuba,112.6645111,120.2174861,126.9668796,134.664518,153.7635649,167.68042,179.4864157,194.7968231,201.8775296,205.9016175,301.5429965,358.1353972,585.9437956,584.6386615,672.2039327,607.0272194
Cyprus,706.3804455,754.9958554,716.3966026,764.3722736,781.0988625,743.99543,776.3148125,885.8897118,1234.936066,1341.17278,1407.99818,1465.969974,1674.059966,1917.63775,1794.39267,1704.528068
Czech Republic,374.4310488,403.3384441,369.4187991,398.1353259,383.8318353,361.4184213,404.3682423,522.5938126,666.1721871,770.8832759,881.244049,967.3809536,1140.341986,1473.828372,1494.555799,1480.002985
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,2827.299759,2878.187882,2628.595542,2670.81276,2926.94835,2608.777193,2726.07502,3018.616414,3751.231291,4382.215849,4645.653876,5008.282209,5664.948176,6345.456782,6451.703536,6421.500852
Djibouti,31.99253183,30.67193109,34.00650267,39.43436941,46.89280721,43.73829624,41.42322494,42.44570964,50.08479836,47.42566031,63.16910882,65.79296173,77.96119213,82.4769433,94.42731972,91.66213141
Dominica,185.6055652,198.8742789,212.7724088,216.1664071,226.9743995,231.2422653,236.2579724,238.3590211,242.9886534,247.6105008,261.0835718,278.9201359,308.6635028,328.0999276,342.0648028,419.2576573
Dominican Republic,108.3230105,112.4914566,132.7679037,142.9158831,150.2665023,174.7766106,174.0514671,178.2827209,132.6047416,126.0678144,198.4139953,211.0145538,231.0647034,269.10607,278.7487219,323.3456686
East Germany,,,,,,,,,,,,,,,,
Ecuador,72.90344452,80.84272201,88.45520801,83.42084538,64.90718762,53.5810289,78.24310417,107.4971837,144.951732,163.3179194,181.566437,205.0872373,228.4813241,270.0646005,320.9409073,328.1994657
Egypt,37.44497199,45.61272749,58.54551543,65.78950512,72.76944074,78.61416882,75.77551838,73.60372934,58.07410411,58.84837863,65.90719129,75.24379675,84.63868769,101.233189,113.6202679,123.1876302
El Salvador,105.6978223,134.993196,155.2978257,168.5070311,168.0738232,176.5397568,181.0417553,183.3094699,183.1065028,189.3248266,201.4539924,202.8812629,206.9868724,215.9348711,227.7441753,236.7837328
Equatorial Guinea,21.83155476,26.50894655,43.9166388,48.98316016,39.85588561,46.41342775,64.44613594,145.4983493,124.970588,189.0209717,229.5388585,278.7255209,371.5516395,750.7492863,804.46773,896.1866734
Eritrea,8.43354757,7.76044363,9.10124162,9.33540879,9.08285662,9.08761071,9.16608481,7.46286692,7.70160681,8.18099655,7.83648298,8.41136461,9.04065069,10.65961855,10.67304469,11.90349972
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,165.7135723,219.3235938,222.7252089,222.9298605,271.3709527,250.0025874,252.1908916,298.4120973,408.8651638,517.1980347,516.6204806,623.2916665,835.697326,1057.761804,967.3020095,853.3266122
Ethiopia,3.99363832,4.22214438,4.40284032,4.54183373,4.51079263,5.31784682,5.65429708,5.30305343,5.92334399,5.99189911,6.80179943,8.32978487,11.79987036,14.04323536,15.54930077,15.71461791
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,78.28403127,87.89687564,92.33541517,65.5691611,75.05774264,79.82862477,66.35811076,78.05817904,94.21143946,119.1114205,131.8765579,143.7786522,151.9280292,153.0510915,145.397122,154.2768227
Finland,2010.204221,2011.353485,1845.954734,1850.700252,1860.192885,1698.627362,1783.871216,2029.680474,2568.220292,2968.727204,3145.761192,3295.041213,3743.795262,4253.864436,4078.477307,3984.335914
France,2739.732777,2736.954977,2435.323178,2482.008249,2451.718945,2202.702362,2234.306957,2489.203158,3158.756334,3630.427195,3784.938522,3947.384764,4483.031211,4940.962108,4839.854011,4690.93185
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,136.3502566,150.2006384,117.0777612,133.8170501,115.5449066,102.3653102,106.6390224,122.283802,153.5292801,160.0679282,164.2225541,190.8992446,233.6901881,263.3327643,265.7367023,302.0678443
Gambia,21.22260284,18.85001126,17.81173875,20.51438636,19.75364092,18.78697732,18.18135894,15.76195642,15.14289327,17.24669004,18.89514097,19.24748096,21.49527066,26.37122177,26.77427946,26.12479413
Georgia,29.01632333,45.96064888,56.9572553,48.6460068,36.67806407,44.7129693,53.7079071,64.03320887,74.11171636,96.75202342,123.1314686,146.3417163,188.1498862,261.8769209,250.9573636,271.6254716
Germany,3126.314386,3102.388473,2699.915994,2734.414704,2691.206886,2387.159591,2400.534081,2610.346182,3208.97645,3527.979257,3626.474872,3747.89919,4230.816509,4718.159173,4722.743137,4668.325328
Ghana,19.95445266,20.39357869,20.48672645,21.31753527,20.4574842,12.32307303,15.16446481,14.57878352,17.95303337,25.81905572,34.81729838,47.97294447,65.56446253,68.51149554,54.4712386,67.03337705
Gibraltar,,,,,,,,,,,,,,,,
Greece,1063.911422,1112.598367,1063.95734,1054.592087,1113.659828,917.2098487,1053.467328,1220.569878,1576.808771,1805.312687,2088.954597,2288.530252,2677.09805,3078.408214,3015.473376,2729.365052
Greenland,,,,,,,,,,,,,,,,
Grenada,190.5235207,203.4322866,218.9316296,247.3141297,291.5232412,339.3473555,392.3534655,353.6918608,359.375991,335.7372325,412.2674956,435.7470169,448.1407312,474.0900717,462.1011115,439.2231409
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,53.71958113,55.65335014,63.92914194,74.56116073,79.88646585,94.91066023,103.6408409,109.0178147,114.8761079,122.8405154,136.1601263,170.3557616,183.8884144,198.5067007,189.7812136,196.8933986
Guernsey,,,,,,,,,,,,,,,,
Guinea,27.05847505,27.78167125,26.33589615,24.9694457,23.66483965,21.08740546,20.05078989,21.43139054,21.64500386,21.93895908,16.21743864,16.86670183,22.75084471,25.97621308,25.12769794,23.00746998
Guinea-Bissau,25.50951958,20.2808109,16.04043905,12.21491086,10.61591894,10.74106778,9.23203015,10.97857786,20.36264961,21.64025416,23.48284404,23.71237427,27.49815215,33.13959396,47.99698967,46.8536096
Guyana,41.51308059,45.42281674,51.03552629,49.3514836,42.83667007,54.27928,53.43308433,56.26579087,55.69764551,80.24661531,101.834354,116.7488993,122.5612952,153.5078345,166.7178913,158.783277
Haiti,22.59933187,23.84446923,24.56185038,26.99015227,27.20051074,25.6786892,22.46970429,18.88228631,14.64248738,18.39393533,19.58806347,29.34141425,34.5391947,35.33440734,40.08593274,46.40791023
Holy See,,,,,,,,,,,,,,,,
Honduras,37.9190015,35.48398984,39.47095508,49.70827984,50.72119774,62.1655117,65.71121236,73.68115665,79.69370658,85.09728331,82.70943658,89.03091094,102.2212315,115.6885845,134.4559757,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,323.2269577,315.3165681,308.8204975,335.1643859,345.1602902,326.0262016,374.7306725,496.1277381,689.7250019,812.5098623,909.2553019,907.8920497,1023.258195,1118.725978,957.0370375,942.3449994
Iceland,2213.016501,2274.576366,2649.209856,2783.538318,3218.816511,3034.094433,2674.090796,3228.474069,4026.290058,4560.14035,5321.778654,5150.587869,6175.145953,4929.152945,3698.078322,3722.253769
India,15.73576201,15.85808367,18.35371925,18.40926443,18.22755347,19.5693972,20.92409913,21.05781072,23.6566076,26.43529895,30.62026436,33.07905268,40.39964904,43.12475092,44.32984661,54.24549406
Indonesia,19.80628368,22.45919435,20.33183162,9.54915768,15.15809449,15.13273463,16.57182934,19.97728503,26.81440356,27.07512836,30.14689749,39.65636774,50.56796819,53.36093578,56.35137088,76.89321523
Iran,68.14677324,86.10193265,109.9242576,134.0692952,177.6892197,231.0040528,293.5251213,101.8146498,96.64595431,116.7508331,156.1094191,174.3561709,219.9136381,276.5624408,287.1472136,316.9253867
Iraq,,8.53208064,8.88601931,9.16248672,15.19664608,34.26055252,24.49723094,9.5306084,18.34513167,62.4109394,61.94071822,66.05678727,107.9483148,160.7317652,200.4146882,246.7532266
Ireland,1237.505598,1328.207138,1402.208425,1459.447646,1558.217226,1561.436461,1831.0002,2206.034851,2908.080552,3449.252159,3693.456464,3925.56003,4552.412765,5241.043435,4713.57134,4241.637945
Isle of Man,,,,,,,,,,,,,,,,
Israel,1280.97854,1383.877894,1438.014846,1396.72761,1322.802161,1456.730744,1502.298268,1337.657527,1367.57294,1414.331421,1485.203584,1542.732478,1737.43088,2073.08313,2004.322315,2183.22303
Italy,1437.511637,1634.46979,1604.371601,1652.734004,1643.31301,1553.920709,1610.536005,1778.171991,2183.514995,2570.223239,2711.711652,2850.588366,3094.566014,3471.678586,3323.340575,3247.679317
Jamaica,96.62394491,123.0221011,177.8424384,175.0083629,161.732701,189.4557592,178.3229206,179.7170818,162.4362919,183.4149487,170.5087824,186.7288209,230.1144195,272.3255776,227.5867562,247.2799791
Japan,2891.413366,2600.126773,2361.916497,2221.306368,2603.802091,2834.20968,2550.517828,2453.539165,2691.770292,2912.805483,2927.706235,2795.612479,2805.832815,3253.102022,3754.171933,4065.418946
Jersey,,,,,,,,,,,,,,,,
Jordan,127.2071183,132.222237,145.6608702,157.302966,160.5234482,169.2226234,181.0095556,186.2762752,185.9062966,202.6039876,205.5575573,218.1142771,251.9591288,329.5521428,373.2879092,357.4386974
Kazakhstan,48.35740082,58.26432613,67.03209249,70.21773769,49.07317418,50.96332432,51.6894117,59.8259656,76.25206654,113.3777724,153.2940204,208.5363525,231.724614,329.8068498,325.9362536,393.100636
Kenya,14.05697094,17.72537127,18.65775946,21.32192039,17.76721707,19.0362959,18.71313774,18.12122624,19.61219562,19.89318382,22.93377302,27.79488621,32.12121197,32.99259206,35.53647406,36.84523849
Kiribati,70.39629851,80.11517874,81.61977558,58.34942056,76.14007434,64.41062637,65.98524079,74.75724802,101.4568717,117.7203957,115.9758863,122.2703911,176.7829378,171.1082454,158.7822432,159.6117474
North Korea,,,,,,,,,,,,,,,,
South Korea,441.894088,493.5860003,454.3796162,312.96982,422.4772882,508.4603649,538.7915221,594.4380585,696.9207086,789.1417694,994.2125258,1191.720676,1364.581663,1237.400686,1184.231374,1438.783061
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,629.1399941,671.2025312,668.6781971,652.2087263,595.7971827,487.5397146,626.2793649,656.721671,727.1823889,747.6433639,848.9901489,973.7136332,1000.044175,1116.629404,1578.750973,1223.295735
Kyrgyz Republic,22.32242556,24.751517,20.65968797,23.35560495,15.27470778,12.93295436,14.65312724,17.44204605,20.82518398,24.56674079,28.40779214,35.79965012,48.6514657,56.32633626,57.02567097,53.47824202
Lao,15.25084643,17.57612567,21.99466057,16.03570625,10.36693736,10.82220624,12.9092507,12.86773763,17.62598519,19.43193485,20.15839978,23.16783174,27.63144142,38.74417838,39.09077981,46.16728607
Latvia,115.2474811,140.645233,160.0697665,175.703636,196.2558928,196.5855579,215.2399692,248.1673128,295.1813912,386.903805,441.3787425,590.4599032,881.7164139,974.2990638,756.4012759,717.5808549
Lebanon,360.9360821,414.4023935,501.5643981,541.8961362,490.3212355,455.223671,432.8707624,426.9104313,419.8772386,452.5540954,434.3269067,446.0587511,510.0909272,555.7630181,617.1314617,651.0425924
Lesotho,36.63066875,34.41481831,32.07559144,29.42428545,27.64470776,26.63885991,26.74114726,22.5691039,32.99371681,41.37764244,41.09428512,47.6367792,63.94193623,66.26062832,75.0272649,108.8611829
Liberia,,,,7.29474701,8.54845995,9.96210213,9.73139998,8.90498635,6.87571772,7.55627885,8.69953611,12.11914769,24.83121951,27.47533374,27.99046453,29.15712966
Libya,187.1332755,187.6535779,200.3115317,213.9441778,215.3021156,216.4320711,221.8156995,182.0256853,190.9771134,203.8009991,223.0837228,241.4043144,340.5095029,468.6251688,427.2364194,483.7248886
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,99.68036152,130.6363838,162.5783173,192.7140563,193.093468,212.2446064,219.7454974,262.4988489,351.0766576,374.0827947,445.997612,552.0712052,724.8675005,934.4067148,835.6177742,781.4196797
Luxembourg,2815.880294,2810.233395,2470.736401,2582.976759,2867.509124,3473.532246,3387.546862,4182.41167,4949.089757,6107.194566,6435.02844,6982.191064,7625.16871,8054.816359,8262.379612,8181.102611
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",200.7193262,202.2720334,177.9357822,187.229266,164.4725288,156.7261289,144.9672957,175.0911952,218.4757821,237.1510722,237.6716357,251.9930681,274.1615466,326.6404281,311.4263767,316.8707733
Madagascar,6.73619863,9.30241117,8.55261036,8.25387437,7.99496669,9.37516118,10.95218882,10.35883556,11.45986138,9.16536035,10.41381264,11.83371651,16.00357522,21.642137,17.75463612,15.90011218
Malawi,6.95467768,10.56340732,13.32004176,9.19798397,10.58562727,9.41203952,7.53352979,10.86170165,12.67205666,16.45048459,17.63333885,21.24139409,19.74197454,21.2317324,25.35577319,25.62494812
Malaysia,124.1131946,136.7341076,123.09096,95.89780454,106.7412226,124.5699464,138.1741397,149.3365576,185.0074043,190.2194138,188.2306282,230.4173094,261.8976262,306.3530623,316.4775072,367.9186029
Maldives,95.78387504,112.092734,124.29821,129.7087352,142.7904994,162.1583877,152.4089451,151.0795592,209.813447,236.0500641,270.4367633,317.1506735,339.3796061,454.9905731,355.3050825,382.4750044
Mali,14.41309263,21.58291449,18.23216139,16.9858031,16.20183902,14.79404768,16.5732468,16.78542909,21.31244621,24.49686153,25.04218023,26.5177339,29.60668871,33.62161099,33.08878336,31.65952422
Malta,591.4111004,638.7819299,635.4988657,663.1745308,657.066498,642.754225,674.5829851,838.7862382,1074.784473,1249.376869,1394.39762,1446.331856,1580.868808,1596.187505,1667.740463,1696.918727
Marshall Islands,373.825726,412.1824206,407.4290853,384.7028733,374.3551581,465.6477323,412.3574457,418.6319671,385.2564968,420.2539663,422.4396011,459.270739,489.7547901,476.0480099,540.3239631,520.3800846
Martinique,,,,,,,,,,,,,,,,
Mauritania,29.42597424,23.29863287,23.01306073,23.84502662,27.63861904,24.25812228,19.56861769,24.36051865,23.86559725,28.59776165,29.68051027,30.7300285,38.6917721,47.27623307,37.93145194,42.68553844
Mauritius,128.5998983,135.4318525,126.9678956,126.8885458,126.2693144,144.9835244,145.1509414,165.4032565,183.4644991,220.0286866,232.3532772,263.2230174,316.6177674,395.0709293,382.247705,448.9274513
Mayotte,,,,,,,,,,,,,,,,
Mexico,176.1139258,183.0096018,223.4273021,235.5432871,276.8059349,327.8492275,372.875884,395.8745849,396.9616021,439.9408929,477.8105427,514.3743484,564.1853027,597.703288,523.7396163,
"Micronesia, Fed. Sts.",189.1621115,174.6304531,148.7296704,141.9688865,155.53255,170.4453844,189.7119516,176.5635808,215.2065432,227.8436046,276.734388,274.776621,278.8147987,306.0551423,335.9372191,366.2053079
Moldova,30.07542781,40.37456551,42.71570891,30.93919198,16.55639906,23.54693119,29.01035187,37.00297429,45.67758423,61.16744631,76.08737945,100.984904,133.9265162,193.5683918,190.5065626,190.4130371
Monaco,2877.445187,2768.431167,2632.002901,2641.954887,2805.424468,2434.802714,2483.484946,2752.879199,3908.18745,4596.866048,4794.162186,4945.74145,5626.074632,6692.003003,6657.824593,6325.542419
Mongolia,19.40734558,21.04182654,18.76718799,18.15838332,17.88312033,21.64384641,23.64654231,27.34339421,27.4570274,30.32711932,33.31322447,46.9329599,73.57494515,120.3128808,96.53722063,120.1083109
Montenegro,138.7294079,101.7844527,101.2605848,103.7597133,101.6507597,116.8157271,155.4201018,175.4177335,248.6002579,287.1067202,313.4937116,354.9942965,458.4346085,573.9169205,621.2344287,578.3487717
Montserrat,,,,,,,,,,,,,,,,
Morocco,47.87469723,51.5565498,49.33083551,55.09300769,55.671864,53.75052386,57.4825891,72.83999862,87.89555503,98.73465172,98.95982891,111.895505,125.4839168,147.3690377,151.51309,147.9503457
Mozambique,7.27592516,8.42895343,10.29483756,11.38465051,13.25586434,14.10775754,11.9316812,13.06759525,13.34501943,14.22585207,18.31709601,18.07752057,17.68416765,18.09859681,22.9572644,21.33926933
Myanmar,2.56896003,2.53995786,2.02695709,2.01587002,2.59805924,3.38430644,2.62253668,3.0195901,3.99363396,4.93824009,5.13618933,5.81258398,7.52487452,10.65229369,14.28581314,17.14426649
Namibia,132.0109051,134.8541824,143.2152591,128.9117036,127.488738,126.0478395,113.1389719,105.0298864,160.1761231,209.2515413,255.5161534,271.101569,283.3106948,275.2366454,296.7259118,361.3057253
Nauru,550.374003,476.0942119,425.1396171,348.8018692,363.5953732,333.0622514,312.7743578,344.7744373,429.5952527,358.8879676,398.8186886,407.7694736,494.2064741,577.2316503,595.4797176,713.2567464
Nepal,,,,,,,,,,,,,,,,
Netherlands,2256.667297,2210.615552,1968.537034,2067.169206,2105.041776,1924.632723,2072.178821,2405.068301,3242.744569,3735.373169,3846.011288,4032.103094,4625.903792,5236.865539,5750.933649,5593.052231
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,1188.858081,1277.928324,1297.292874,1124.060572,1153.423832,1051.438727,1051.511109,1244.18121,1601.804334,1973.785223,2288.127553,2295.179455,2694.32672,2820.197989,2701.859315,3278.61661
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,57.76325346,58.3285871,47.94370702,53.09791738,51.67614217,54.27717373,54.66567741,57.19065976,61.55284211,66.25797668,71.2220624,78.21907203,92.67874475,105.2134079,103.9429156,
Niger,7.04897452,6.78057089,6.75567715,7.52020991,7.04960027,5.30065796,6.15366626,6.88367406,7.89852466,9.03538905,15.44770377,16.38586976,16.47749282,19.45087717,19.00264631,18.285209
Nigeria,36.43011089,51.22636253,53.32303494,60.83266871,16.12941034,17.10893594,18.18452113,17.8047441,38.36224218,44.81725086,53.00531272,59.14461223,67.78948131,79.29829413,66.63782501,62.7837644
Niue,350.7109093,468.4738987,413.8168253,321.5352747,384.787126,318.1503646,1446.615453,461.5479158,707.2733203,1029.069722,1045.608787,1273.003633,1585.727377,1731.061686,1824.555062,2318.358348
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,3122.078999,3180.385132,3017.106791,3154.94523,3325.038621,3155.349233,3333.373054,4140.058432,4937.068511,5436.267867,5943.567292,6247.747947,7312.73739,8070.926447,7532.606599,8091.285514
Oman,222.5980155,237.5187258,231.4479925,227.5253834,243.2873394,263.6181654,262.690943,277.7094179,293.4049183,309.4211466,330.5270551,345.2723165,402.9545194,479.0136688,520.3792966,574.3067882
