Male 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
New Zealand,,,,,,1.299999952,1.799999952,2.5,4.099999905,4.400000095,4.300000191,5.599999905,5.900000095,4.900000095,3.400000095,3.700000048,4.099999905,4.300000191,4.900000095,4.800000191,3.599999905,3,3,2.099999905,1.700000048
Norway,0.400000006,1.299999952,1.799999952,1.399999976,0.8999999762,1,1,1.600000024,2.700000048,2.299999952,3,3.099999905,2.5,3.099999905,3.099999905,3.099999905,1.799999952,2.299999952,1.700000048,1.600000024,1.5,1.5,1.799999952,1.799999952,2.200000048
Philippines,,,,,,8.199999809,7.599999905,6.300000191,6.199999809,5.300000191,6,4.900000095,4.5,4.900000095,4.5,4.599999905,5.699999809,5.599999905,5.199999809,5.599999905,5.800000191,5.800000191,6.599999905,7.400000095,2.799999952
Poland,,,,,,,,,,,,,5.699999809,6.300000191,5.400000095,5.099999905,4.599999905,5.199999809,7.5,7.800000191,8.399999619,9.199999809,9.899999619,10.80000019,10.69999981
Portugal,,,1.600000024,1.600000024,2,2,2.200000048,2,1.299999952,1.700000048,1.700000048,2,3.200000048,3.900000095,3.599999905,3.900000095,4.400000095,2.5,2.700000048,2.5,2.200000048,2.400000095,3.099999905,3.900000095,4.599999905
Romania,,,,,,,,,,,,,,1.5,2.099999905,1.299999952,1.200000048,1.200000048,1.299999952,1.5,1.700000048,2.599999905,2.5,4.199999809,3.400000095
Singapore,1.5,1.299999952,1.399999976,1.600000024,2.700000048,4.400000095,2.900000095,1.700000048,1,0.8000000119,0.8999999762,1.299999952,1.5,1.5,1.600000024,2.099999905,1.799999952,2.400000095,3.700000048,,3.299999952,4.800000191,4.199999809,4.699999809,
Slovak Republic,,,,,,,,,,,,,,,,,7,7.599999905,10.19999981,13.30000019,12.5,15.30000019,14.10000038,15.30000019,
Slovenia,,,,,,,,,,,,,5.400000095,4.400000095,2.299999952,2.400000095,2.400000095,2,4.099999905,6.5,2.099999905,1.899999976,2.299999952,3.400000095,4.699999809
Spain,6.699999809,7.5,8.100000381,10.69999981,11.30000019,12.19999981,10.39999962,9.100000381,9,8,8.399999619,9.300000191,11.69999981,12.60000038,11.89999962,10.89999962,10.39999962,9.199999809,8.899999619,8.199999809,5.400000095,5.800000191,5.699999809,5.800000191,5.199999809
Sweden,2.099999905,3,3.900000095,4.199999809,3.5,3,2.200000048,1.899999976,1.299999952,1.299999952,2.299999952,3.700000048,6.900000095,8.199999809,9,9.300000191,9.199999809,7.900000095,7.400000095,6.800000191,5.400000095,5.300000191,6,5.800000191,5.400000095
Switzerland,,,,,,,,,,,1.100000024,1.700000048,3.099999905,3.700000048,3.5,2.900000095,2.599999905,3.400000095,2.5,2.5,1.600000024,1.899999976,2.299999952,2.799999952,3.299999952
Turkey,,,,,,,,,4.800000191,3.400000095,2.900000095,2.900000095,2.700000048,2.599999905,2.799999952,1.799999952,1.5,2,2.099999905,2.099999905,2.400000095,3.400000095,3.700000048,3.200000048,3.299999952
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.199999809,4.199999809,4.099999905,3.799999952,3.200000048
United States,3.5,5.099999905,5.599999905,4.599999905,4.099999905,4.099999905,3.5,3.299999952,3.200000048,3.599999905,4.400000095,5.199999809,4.699999809,4.300000191,3.700000048,3.299999952,3.099999905,2.799999952,2.799999952,2.599999905,3.200000048,4.099999905,4.400000095,3.900000095,3.299999952
