"Suicide among men, per 100 000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.97234535
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.67622375
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.73718452
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.884473324
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.53655815
Ireland,4.257815,4.003328,3.379071,3.312277,3.295372,3.693148,4.446795,3.893486,4.123925,3.956746,4.069189,5.203468,2.9876,3.79027,3.54006,3.147818,3.492746,3.72761,4.147193,2.67232,3.140356,4.504058,4.594031,5.228618,6.608761,7.340617,8.450701,6.463584,7.106894,8.901459,9.243445,10.07419,10.92324,12.13038,9.854288,12.77354,12.74405,10.98195,11.45554,12.67582,15.01642,16.62988,17.709,14.81147,17.2518,17.80962,19.13942,20.39075,22.60519,17.90702,19.55845,20.49142,17.99144,17.11528,18.39432
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,9.721979,10.23713,9.466992,7.473373,10.13976,9.003123,7.551185,7.172948,9.083196,8.202235,8.362223,9.488293,9.961658,10.92935,12.22323,10.51637,11.64511,11.78218,11.1531,12.14614,10.02298,8.548947,10.8282,8.452549,10.25614,10.1516,10.45698,9.318308,10.95199,9.827754
Italy,,10.56834,9.419112,9.245553,8.714149,9.726276,9.809807,9.338222,8.800449,8.862763,8.415583,7.635857,7.558838,7.125845,7.526105,7.641454,7.119586,7.635119,7.370347,7.380798,7.639218,7.915759,7.756282,7.658402,6.800586,7.211964,7.248129,8.112815,8.449119,8.912259,9.027985,8.725601,9.486133,9.647466,9.777494,10.40558,10.08643,9.914082,9.319981,9.314838,9.345504,9.380347,9.862364,10.31449,9.949718,9.913965,10.01252,10.06849,9.703516,8.712358,8.631232,8.530973,8.725682,8.375617,8.633946419
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62351799
Japan,31.45158,27.70041,27.01533,29.35856,33.76961,35.86554,34.07982,33.22283,34.02403,29.81942,27.69466,24.9089,22.75598,21.05968,19.49205,19.2796,19.15462,17.67402,17.8174,17.68238,18.47334,18.70253,20.30243,20.90846,20.67025,21.86653,21.39705,22.09973,21.96293,22.31732,21.80097,21.24925,21.64479,27.17256,25.70048,23.95406,25.33022,23.01839,21.18935,18.92735,17.74604,17.65038,18.8061,18.57446,19.17557,19.12862,19.65229,20.748,28.77222,28.70927,27.44144,26.51388,27.18034,29.66257,27.8544
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2836300433
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.73993,43.36837,,,43.08025,30.60717,30.14775,31.31172,36.04646,34.24866,32.9904,35.02348,43.27874,45.19965,54.65893,57.25686,55.88801,54.42282,50.25275,0,55.28642,52.35789,52.60995,51.95907
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45754814
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.744086266
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14904,14.10982,12.94893,10.84375,10.94012,11.11413,10.50475,11.9305,13.87159,13.86809,15.5097,18.53007,18.86672,27.23122,21.82271,19.49983,0,25.43147,31.80959,32.49784
Kuwait,,,,,,,,,,,,,,,,,,,,,,,0.3662237,,,0.7020963,0.199697,0.5481814,1.576248,0.5554316,1.150244,1.03524,0.0958275,0.5089404,0.6880475,1.531896,1.000153,0.9669989,,,,,,1.402896,1.290962,1.831903,1.579613,1.331465,1.152141,1.761245,1.265265,1.369139,1.756376,,1.716213107
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.58997,29.45564,,,24.69476,18.85769,22.1455,22.76744,24.00299,25.39453,24.91979,23.53008,27.44796,29.95315,28.3238,23.81844,23.19876,22.62856,23.91368,21.69134,23.63354,22.53675,19.15894,17.17582
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02600861
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.12757,54.29832,51.78666,52.43972,53.00053,45.49139,38.77306,32.40071,34.17647,36.23455,41.49391,43.92165,54.53308,67.03622,65.94627,64.98832,58.97634,56.41026,54.36982,47.12212,50.59778,0,43.02149,39.45029,36.66391
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.463245392
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65846539
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86085796
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09806776
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5271,57.98292,,,57.3445,41.92893,48.08079,41.86627,45.26484,43.23142,51.08331,56.6729,72.05504,80.42894,77.84416,78.36723,76.52863,72.58926,73.37201,75.07941,71.12936,74.2965,67.59232,63.30873
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.57855034
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34967,9.974013,10.00163,8.331466,8.760571,10.43821,11.31281,9.417238,11.20772,9.676953,10.42244,9.458357,8.966763,12.57811737
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.469148636
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21405125
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24002647
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.83204079
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14257908
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.397085667
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.452305794
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99184227
Mauritius,,,,,,,,,,,,8.109496,4.714847,6.914414,6.4175,9.672784,8.486679,5.040606,4.105849,3.315053,3.976964,7.430753,4.729221,12.32525,7.918767,12.88013,8.530642,9.382297,13.34285,12.43535,6.507028,2.273843,3.131053,1.766145,15.18018,14.71901,3.849217,18.45087,24.74358,22.54805,19.33844,18.88888,20.53346,18.11204,19.3467,22.02524,21.04854,18.15487,19.75582,19.72894,18.36972,13.11333,17.32174,10.97633,12.40219
Mexico,,,,,,2.442184,3.054957,3.093501,3.744399,4.117249,3.810233,3.786989,3.753606,3.94489,3.859069,3.520888,3.498576,4.198729,3.522933,1.750028,2.704732,1.672822,1.668862,1.54622,4.694814,3.877176,3.485934,4.002292,3.61315,3.385037,2.958694,3.611081,3.569586,3.16798,2.735613,4.388904,4.931581,4.761468,4.675809,5.103009,5.159819,5.271922,5.644625,5.828907,6.185221,6.563968,6.434082,6.783051,6.607656,6.469207,6.586875,6.934207,6.927197,7.313923,7.273506
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.994344711
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.79197,33.56363,,,34.78332,29.58637,25.8159,26.58922,28.17586,25.35026,27.13063,27.22224,28.77981,31.21967,31.1594,31.53888,30.08745,27.69531,28.15378,26.76741,29.66905,27.17534,29.75085,27.48099
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.13042831
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.09290123
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.114463806
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27197266
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88899899
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.43633842
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.46957016
