Electricity generation total (kilowatt-hours),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Indonesia,"33,336,000,000.00 ","37,674,000,000.00 ","41,009,000,000.00 ","44,415,000,000.00 ","51,706,000,000.00 ","58,885,000,000.00 ","66,718,000,000.00 ","76,489,000,000.00 ","77,263,000,000.00 ","84,269,000,000.00 ","92,640,000,000.00 ","101,647,000,000.00 ","108,206,000,000.00 ","112,926,000,000.00 ","120,160,000,000.00 ","127,362,000,000.00 ","133,108,000,000.00 ","142,411,000,000.00 ","151,155,660,000.00 "
Iran,"57,654,000,000.00 ","62,815,000,000.00 ","67,178,000,000.00 ","74,685,000,000.00 ","81,005,000,000.00 ","84,353,000,000.00 ","88,760,000,000.00 ","96,983,000,000.00 ","102,386,000,000.00 ","110,088,000,000.00 ","119,348,000,000.00 ","128,166,000,000.00 ","138,224,000,000.00 ","145,659,000,000.00 ","156,408,000,000.00 ","169,666,000,000.00 ","184,279,000,000.00 ","196,041,000,000.00 ","206,300,000,000.00 "
Ireland,"14,515,000,000.00 ","15,147,000,000.00 ","16,011,000,000.00 ","16,396,000,000.00 ","17,126,000,000.00 ","17,879,000,000.00 ","19,181,000,000.00 ","19,958,000,000.00 ","21,077,000,000.00 ","22,038,000,000.00 ","23,977,000,000.00 ","25,315,000,000.00 ","24,632,000,000.00 ","25,301,000,000.00 ","25,569,000,000.00 ","25,970,000,000.00 ","27,037,000,000.00 ","28,226,000,000.00 ","29,750,000,000.00 "
Italy,"216,891,000,000.00 ","222,041,000,000.00 ","226,243,000,000.00 ","222,788,000,000.00 ","231,803,000,000.00 ","241,480,000,000.00 ","244,491,000,000.00 ","251,462,000,000.00 ","259,761,000,000.00 ","265,657,000,000.00 ","276,629,000,000.00 ","278,995,000,000.00 ","284,401,000,000.00 ","293,865,000,000.00 ","303,321,000,000.00 ","303,672,000,000.00 ","314,090,300,000.00 ","313,900,000,000.00 ","317,900,000,000.00 "
Japan,"841,057,000,000.00 ","870,798,000,000.00 ","876,404,000,000.00 ","887,215,000,000.00 ","943,669,000,000.00 ","968,610,000,000.00 ","989,285,000,000.00 ","1,014,639,000,000.00 ","1,019,835,000,000.00 ","1,036,789,000,000.00 ","1,057,937,000,000.00 ","1,039,719,000,000.00 ","1,058,342,000,000.00 ","1,082,614,000,000.00 ","1,107,846,000,000.00 ","1,133,584,000,000.00 ","1,139,783,306,000.00 ","1,160,042,169,000.00 ","1,154,334,000,000.00 "
Kazakhstan,"87,379,000,000.00 ","85,990,000,000.00 ","83,166,000,000.00 ","77,889,000,000.00 ","66,777,000,000.00 ","66,739,000,000.00 ","58,747,000,000.00 ","52,000,000,000.00 ","49,800,000,000.00 ","47,300,000,000.00 ","51,635,000,000.00 ","55,600,000,000.00 ","58,700,000,000.00 ","63,866,000,000.00 ","66,942,000,000.00 ","67,919,700,000.00 ","71,668,461,500.00 ","76,621,528,000.00 ","79,980,400,000.00 "
"Korea, Rep.","118,738,000,000.00 ","132,228,000,000.00 ","147,843,000,000.00 ","163,449,000,000.00 ","184,931,000,000.00 ","205,102,000,000.00 ","227,554,000,000.00 ","248,653,000,000.00 ","240,587,000,000.00 ","266,818,000,000.00 ","295,156,000,000.00 ","313,963,000,000.00 ","336,237,000,000.00 ","352,352,000,000.00 ","372,148,000,000.00 ","396,611,000,000.00 ","415,949,000,000.00 ","439,984,000,000.00 ","462,863,000,000.00 "
Kuwait,"18,477,000,000.00 ","10,780,000,000.00 ","16,885,000,000.00 ","20,178,000,000.00 ","22,802,000,000.00 ","23,724,000,000.00 ","25,475,000,000.00 ","26,724,000,000.00 ","29,984,000,000.00 ","31,576,000,000.00 ","32,853,000,000.00 ","34,829,000,000.00 ","36,892,000,000.00 ","39,802,000,000.00 ","41,256,000,000.00 ","43,734,000,000.00 ","47,607,000,000.00 ","49,320,800,000.00 ","52,033,500,000.00 "
Lithuania,"28,405,000,000.00 ","29,363,000,000.00 ","18,707,000,000.00 ","14,105,000,000.00 ","9,998,000,000.00 ","13,840,000,000.00 ","16,789,000,000.00 ","14,861,000,000.00 ","17,630,000,000.00 ","13,535,000,000.00 ","11,425,000,000.00 ","14,737,000,000.00 ","17,721,000,000.00 ","19,488,000,000.00 ","19,274,000,000.00 ","14,784,300,000.00 ","12,481,900,000.00 ","14,007,600,000.00 ","14,010,000,000.00 "
Malaysia,"25,262,000,000.00 ","28,335,000,000.00 ","31,887,000,000.00 ","35,579,000,000.00 ","40,058,000,000.00 ","46,632,000,000.00 ","52,819,000,000.00 ","58,674,000,000.00 ","60,471,000,000.00 ","62,553,000,000.00 ","66,678,000,000.00 ","72,280,000,000.00 ","75,328,000,000.00 ","84,022,000,000.00 ","90,661,000,000.00 ","96,225,000,000.00 ","100,831,000,000.00 ","104,950,000,000.00 ","106,365,900,000.00 "
