RTI 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Chile,,,,,,5.469033,8.700555,10.5531,10.73741,8.9255,16.0878,15.56024,11.40273,12.0461,12.67888,9.323264,28.16723,15.97915,61.81433,37.13209,32.10204,38.7833,41.2466,33.21421,23.70697,21.46281,17.41757,20.06624,25.24883,24.43447,26.40914,25.56721,20.27908,14.77238,16.00006,11.63036,10.03571,9.860094,12.6371,12.24769,12.41707,19.21058,20.34216,24.35012,23.82346,21.86689,21.2594,21.82371,23.78494,19.09398,26.59745,23.14003,24.50031,26.92763,25.35268,25.599,,,
Colombia,,,,12.74671,12.2557,16.72111,13.31925,13.80983,14.92382,20.1747,18.0435,17.64657,22.36936,21.74087,24.08533,24.31046,26.26999,27.02024,27.66608,22.38752,,,29.3554,,28.75039,29.31032,30.4455,31.10184,,,,,,,42.68664,37.66334,33.61168,24.39879,25.14253,25.16155,27.4758,26.94198,37.08999,40.04692,43.4571,43.51142,40.65717,33.33455,40.83883,35.23272,34.51094,34.36597,33.77678,,32.92558,31.62593,30.27073,,
Costa Rica,,,,,,,,,,,,,13.90755,16.99081,15.60741,43.21552,38.18901,30.23196,34.38524,31.16083,34.41489,42.45537,49.67797,34.24465,39.89933,56.79001,36.76363,62.77985,81.19155,59.64279,57.35886,40.54573,40.37451,19.56402,39.38213,42.68061,35.68067,37.77279,36.85473,42.78403,34.84486,34.92124,36.45576,44.02129,53.48886,42.65912,26.23285,32.43331,31.07853,37.35157,37.79286,32.84466,29.92485,30.48071,30.60888,27.50115,33.25419,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14847,24.53422,23.8597,27.81947,26.42349,32.04057,23.60869,21.85489,14.48431,17.84397,15.91142,13.56549,15.7836,17.13024,20.89057,15.90737,14.47027,13.06875,18.79078,15.17965,14.66709,15.27873,13.0588,14.61047
Cuba,,,,,,,,,,,,,,,16.85932,,,,19.26433,19.00734,24.42528,27.22279,22.2488,16.83357,22.36545,26.70601,26.80317,31.43024,,,,,,,,,,,,,,,21.94071,17.30237,21.50196,20.81752,21.16857,21.35218,20.17477,15.65211,19.78926,17.0322,16.33797,13.75133,15.21882,14.67435,12.72521,12.30952,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53753,9.674457,,,,30.2827,21.4547,14.95414,17.90642,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77863,18.58271,20.64322,20.39729,21.77031,18.47438,18.5852,19.41301,19.32684,17.332,15.77805,14.48177,13.31349,12.07181,12.1255,11.74569,11.00237,10.13002,9.99991,8.271682,7.529457,9.172674,10.31938
Denmark,,21.1046,19.62513,22.53958,30.68963,30.65623,32.22431,35.519,32.55368,39.20935,37.51699,46.94279,40.33018,42.05465,43.88007,45.37202,47.15569,57.11547,50.84513,53.28218,46.76952,48.60681,49.88619,46.33379,30.72941,32.01147,30.14151,27.75632,29.63478,19.72998,22.21771,18.70347,20.80791,21.71126,16.82236,19.28045,22.13002,19.82545,20.93883,19.94083,19.39742,17.94356,16.03817,18.12601,16.57005,18.40896,14.00225,12.37604,13.07795,8.627751,12.07747,10.74101,7.98872,8.504167,8.511387,7.74273,6.880851,,
Egypt,,,,,,,,,,,,,,,,,,,,,3.862513,3.437257,4.461484,2.898642,3.561649,5.228034,4.259519,3.887946,4.074973,9.250718,7.071357,,,,,,,8.776649,,,,,,,,,,,,,11.35496,,,,,,,,25.41811
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0191,72.65279,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17901,25.94947,,,20.76853,25.29296,22.27472,26.74556,28.9324,32.64865,35.17721,25.31707,16.46545,26.40938,18.41264,15.41904,19.27295,18.20168,13.13741,14.62229,13.36078,13.43064,10.14207,14.70361,12.14846,16.2703,14.68749,16.39317
Finland,,,13.8324,11.72343,15.39086,16.21347,20.47065,18.95288,20.38056,21.65341,26.02391,30.63163,31.0744,40.1501,37.07898,44.79271,48.54131,46.32495,39.67899,43.86088,41.49358,45.86432,45.98457,39.2303,30.10436,35.69309,31.72597,26.69325,24.79926,26.82554,22.59975,23.30832,20.2855,21.77118,21.43146,19.21457,20.01622,20.31606,20.83265,24.44012,21.10891,19.7158,20.9805,16.50882,15.38407,15.16756,13.63846,16.30489,12.96568,13.10681,13.96919,12.677,12.60419,11.12113,11.63027,8.709068,9.218105,8.959662,9.868105
France,10.77339,,12.48265,16.32047,20.3771,22.43114,23.2141,22.66231,22.74741,23.65217,23.3914,26.75213,28.37863,27.33831,30.10937,33.36903,32.28348,37.61973,37.15229,31.76417,32.92531,33.45001,35.652,33.24074,29.10689,28.98455,30.68442,27.76446,26.17208,24.51855,23.95818,23.76021,22.97301,23.20786,21.94333,20.55805,21.4238,19.13212,21.00627,19.68189,18.78077,17.2052,16.22421,16.10374,16.0974,15.29103,15.06192,14.10782,15.19314,13.66515,13.04127,12.46166,12.32154,10.49991,8.5397,8.603286,7.697854,7.347092,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.597906,6.743996,,,12.27427,16.06067,15.61707,19.33531,21.39052,16.55248,9.968687,15.52917,,2.369285,1.696515,5.155724,7.356615,6.829009,5.77827,6.1253,10.53674,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.48653,14.0402,13.35034,12.12258,11.51088,10.93639,9.593919,9.720437,8.716537,9.262754,8.714173,8.188143,7.610248,8.233825,6.946807,6.817454,6.310627,,
Greece,,,,,,,,,,,,7.633618,10.48652,10.31509,15.01603,14.21656,14.10556,16.64219,18.99663,18.37664,17.44473,18.65403,19.30723,22.56475,20.99468,23.84246,25.94623,28.23668,31.20392,27.05272,23.85978,22.37796,28.36646,29.79768,28.35199,26.92299,26.87225,25.05758,25.14384,27.62239,29.81231,27.90831,27.54665,24.36467,27.69351,29.83611,33.842,28.26371,29.40681,26.54225,26.57013,24.26499,22.1319,19.04618,20.40411,18.43723,17.94537,17.31955,16.95551
Guatemala,,,,,,,,,,,,,,28.70724,23.38146,19.7862,6.025838,6.86933,11.72097,15.54593,20.87709,12.56688,,,7.810229,,,8.184641,,37.33444,35.44624,27.51199,,,0.9489841,,10.35198,8.660996,8.812516,8.854836,9.002033,10.54372,9.153203,11.40602,7.987803,11.73131,11.84714,9.994166,10.27888,7.002445,9.257806,6.472161,8.743256,8.990297,6.753523,6.967583,7.212303,,
Hungary,,,,,,5.979557,8.663947,7.235038,6.130578,9.082932,9.175817,8.163222,8.987638,12.22816,13.08854,11.71527,12.86137,14.68814,20.54814,24.42855,26.58563,31.51523,32.75946,26.52729,29.44153,30.63975,30.26714,33.72842,38.2829,37.85384,33.00303,30.32536,31.11258,33.50905,27.6463,32.68054,32.2018,30.01282,32.90632,38.3401,39.87222,32.71281,34.68386,27.50224,24.22618,22.3452,18.84874,19.53318,19.08164,18.00108,15.60171,18.64515,18.5291,18.49762,18.29588,17.81344,18.08238,16.24898,15.26883
Ireland,7.590951,9.603281,11.43251,9.188397,12.90832,11.97166,14.12272,11.47869,12.00168,15.23501,16.64801,16.23971,15.96819,15.83196,16.18235,19.50451,21.45363,22.37546,25.02011,28.94366,32.71788,33.83576,35.27841,33.91707,31.46881,32.29377,27.08121,32.66847,30.00109,32.10971,28.87681,31.41062,24.50159,24.90681,22.51461,21.81822,21.88139,18.92971,19.74883,20.85826,19.1193,18.33076,16.436,17.73833,19.02892,16.45452,16.13774,15.07725,15.00512,16.24617,9.898683,9.324985,12.08849,8.339668,10.47829,9.749137,10.69683,8.548869,8.080942
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,49.38586,40.58786,40.93228,34.4527,35.08709,28.51469,24.31648,21.42571,26.55861,21.52535,24.89726,25.09744,24.10239,20.5815,20.97157,17.13183,12.47513,11.73275,18.91298,20.94115,20.03803,18.60607,16.52094,8.525187,8.612267,6.59245,7.861685,6.790721,5.01279,6.245384,6.273325,4.868799,,
Italy,,16.88078,19.10496,21.20387,23.43718,26.3556,26.7257,27.02188,27.16649,26.77719,28.28269,31.16647,35.09263,39.04335,38.57264,37.58974,37.60684,38.5584,40.49966,41.97132,44.4716,43.97237,47.06232,46.58401,40.48277,38.11078,33.7532,31.48353,31.48364,31.91038,32.68333,30.95147,30.5454,29.04514,25.96263,25.63849,26.38736,24.72048,24.56482,23.07053,23.61856,23.04387,22.78055,20.08045,20.96775,19.59716,18.08989,19.14889,18.52388,17.1763,15.55922,14.7872,13.56359,12.15938,,,10.13905,9.505777,
Japan,4.996974,5.066514,6.331554,9.16762,11.34189,11.31478,13.14323,16.27962,18.55729,22.67575,27.17773,29.11027,27.73672,29.39388,32.69457,32.74379,37.52919,36.82418,40.41864,45.2024,48.08446,45.95334,42.88393,40.47413,31.71486,26.92456,24.71813,21.80012,21.90272,23.27575,22.2386,21.68972,22.23123,22.87232,20.87241,21.53449,21.0526,21.11155,22.20034,22.76512,22.87328,22.70532,23.08705,22.55172,22.03472,22.1498,20.39468,19.72911,19.27724,18.33653,17.50744,16.39525,15.26405,14.55965,13.83461,12.71744,11.67418,10.62181,9.369182
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.54216,17.41502,,,15.13124,13.21045,14.97427,19.85971,21.7284,24.08508,23.8826,23.86954,20.26355,13.84331,15.49936,14.65692,13.62542,16.0497,11.39862,12.04883,13.48936,13.92693,13.83493,18.95631,23.39733,29.01147,24.62082,21.01831
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98201,28.00383,36.30228,36.67756,50.16253,71.16007,66.88737,69.01938,70.6851,75.32935,90.19405,85.83583,78.61769,61.23776,66.53511,63.71883,53.09811,51.05941,50.41189,47.60842,44.15366,42.33222,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,165.1213,,,91.42095,105.6256,154.9951,141.8549,109.4016,171.0258,110.6924,113.0741,215.6492,103.4217,95.00269,97.81078,114.6562,,,,,,64.31435,44.77462,80.22728,62.21637,74.0713,34.79475,49.13602,73.06072,47.30514,48.76609,,,,,,44.29031
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.11172,21.52833,,,19.98921,22.16538,26.6835,25.01278,30.89329,31.53379,36.32461,26.62866,20.89712,13.56884,16.68963,12.59464,11.70721,11.36393,14.28955,11.50569,13.54747,17.26073,18.60602,23.54126,20.03685,21.72135,21.66812,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.99834,32.01694,27.65099,33.81049,26.86543,29.74297,23.51782,24.89339,32.92202,34.92664,38.91859,43.04719,32.69531,30.5917,35.77416,27.34756,21.6762,20.81598,23.10958,29.02253,24.05879,20.62554,22.53851,19.06742,22.40825,18.44074,18.64489,20.13513,17.00397
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.52597,31.47359,,,29.03382,27.00733,31.43352,38.23236,45.57837,45.99847,48.08865,32.60637,36.59064,31.57581,27.73302,21.08446,24.19325,29.13247,20.98687,22.75318,20.85584,22.27787,21.52112,23.23215,22.16183,22.61366,24.65165,15.27066
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85573,9.963152,10.62395,12.98642,8.483855,12.18136,15.7062,13.63969,12.2154,11.95357,9.850959,11.74016,10.59416,,,,,
Mauritius,,,,,,,,,,,,32.78979,27.85253,15.5542,26.25415,22.49321,23.62213,12.00806,8.506408,30.9454,46.82463,35.78408,41.35284,37.13881,75.19228,80.22278,61.73431,51.19111,65.88979,43.62109,8.885095,10.9323,4.205119,0,1.34504,4.676449,7.307406,16.06199,45.61164,40.80827,53.12432,50.62962,44.35541,33.03099,34.34225,35.80024,21.98438,17.30398,37.21754,36.6626,25.35834,34.12581,31.0028,30.2603,27.50042,16.03983,29.08206,18.94069,27.17599
Mexico,,,,,,2.529653,4.073612,3.912645,5.160305,6.600606,5.562318,5.715851,5.269895,11.341,15.85776,12.70367,14.91184,14.28096,16.66345,17.92477,18.10425,19.96841,20.65034,21.20022,31.4637,33.24357,35.60571,39.58724,38.27301,42.53089,41.88723,59.66315,53.68069,55.67402,32.19463,40.13598,39.54381,38.75548,41.30301,44.80261,42.51004,43.26439,38.77143,39.29985,38.35933,35.37878,34.20657,33.35207,23.5308,22.68004,18.18522,18.57621,19.70426,18.79049,19.04309,18.97203,18.6252,15.75766,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9545,35.91953,,,24.38934,22.76104,22.45055,24.04142,27.65857,31.02485,31.47171,25.20496,18.068,21.77714,16.67077,18.56655,21.78227,19.16886,16.02367,17.68142,19.57484,14.46451,17.79959,18.60933,15.59522,16.4944,16.49689,12.63931
Netherlands,17.21627,18.65958,19.04947,24.02083,25.59687,30.13194,29.66197,33.16853,29.29467,29.42852,35.59298,33.15519,35.09501,33.9791,37.77828,38.74462,43.69914,40.41743,40.9239,42.91376,43.45984,44.43167,42.77054,40.96757,32.86168,31.69183,30.59291,32.31375,26.55704,23.72673,24.0289,21.97818,20.50089,20.56144,19.98894,16.76746,16.50205,16.25238,14.10271,15.94429,14.03943,13.2641,15.20624,13.74831,13.25873,13.45174,11.50281,10.73766,10.38088,10.67698,9.664157,9.256933,8.911372,9.759277,8.107391,7.326845,8.380733,7.521976,6.449529
New Zealand,23.50198,30.60103,25.31153,24.77782,28.66985,27.58673,24.65229,36.85994,36.18784,34.61804,26.03025,31.54041,32.57167,29.9161,30.29724,33.55809,36.41872,35.33567,35.45914,36.66308,30.47681,32.10262,34.03275,34.91866,28.6527,30.99478,25.87318,37.03908,27.41008,18.08774,22.45277,26.69788,21.52533,24.45134,22.01316,24.08928,21.48972,23.70065,17.0616,22.11396,17.14937,17.79971,18.04721,14.72378,15.06154,13.52487,14.61778,16.75532,15.07797,20.3534,12.8962,13.15907,13.58946,14.02755,11.21733,10.2746,12.69959,,
Norway,,3.706927,5.373802,8.599504,6.520403,9.974966,12.40726,10.56828,10.65068,11.79397,12.62273,17.98497,14.23171,17.74625,19.39412,18.0423,22.0905,21.65898,19.25325,21.19059,25.13028,21.4532,21.31095,23.3592,23.19037,22.26364,19.37202,17.54105,17.93626,16.37847,12.50801,13.69774,14.2214,13.27788,15.49957,13.7007,15.3141,12.36027,10.68406,12.13577,9.483116,9.353594,11.52394,10.64031,8.892244,10.01693,11.31078,10.10553,11.69514,8.865473,7.866647,8.714297,7.929214,7.874721,7.85123,6.359437,7.36074,6.801375,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.25232,41.82033,49.25916,50.55046,30.53628,31.14947,,,,,,,28.15374,41.97622,41.80271,39.43619,30.44988,30.76526,28.2677,24.47206,27.48223,,21.7507,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.24498,19.60045,16.90446,18.44628,15.04743,18.30401,15.05753,15.14865,15.49608,14.08524,13.34983,18.44339,18.44831,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.72424,12.1121,,,,19.06674,20.38407,22.4663,21.72834,21.78596,21.74812,21.32489,,,,,
Poland,,,,,,,,,,4.608099,5.108942,8.687184,7.543438,9.004351,10.8863,13.18398,15.03872,16.9476,17.81015,17.4477,20.26395,20.77398,,,,,,,,,,,,27.61616,25.89108,24.93557,24.68665,24.64209,25.27092,31.78507,33.60089,33.94405,29.50744,25.89111,27.31771,26.78654,25.00679,,,24.08187,23.0622,20.48385,20.56911,19.07145,19.71778,18.37631,17.86743,18.82465,18.64092
Portugal,,,,,,10.61819,11.28108,11.2933,12.17204,17.19576,13.65287,17.4948,17.32803,16.64251,19.02795,22.67319,24.02007,27.9406,28.15748,30.53161,33.22667,41.78736,41.53447,48.07204,44.98808,54.88183,52.91364,41.13077,46.71819,45.35789,42.7551,46.58537,49.97243,43.86716,41.04928,39.37777,40.06179,40.15131,40.74687,43.26645,40.06122,37.10283,38.556,33.08667,30.71903,33.18035,28.75024,27.55493,24.51612,20.0687,16.99805,23.62429,25.18995,23.40235,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67721,35.75893,30.13118,28.67836,25.40162,32.61146,29.66047,31.54811,28.84904,26.17135,15.87161,17.16128,18.10246,15.76757,15.92297,16.93306,17.13441,16.53525,18.93721,18.59505
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50225,20.16228,19.00094,17.66059,16.32501,15.66807,15.57377,15.45871,17.75342,21.20379,23.29524,26.06764,23.90009,23.48368,21.88612,20.13187,18.49029,17.18328,18.28846,24.89613,26.6514,27.58298,28.17001,28.95355,28.07131,26.54091,24.50736,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7751,12.64492,11.00431,14.89782,9.943068,7.560866,9.639565,14.47214,14.32419,16.3613,14.80592
Singapore,,,,,,,,,,,,,,34.73821,48.4286,59.93182,53.86784,57.98448,88.05832,76.87959,60.7377,67.12403,70.07225,70.98698,47.4559,55.56191,45.18294,37.69053,48.51949,38.25153,40.63667,44.00474,35.85651,46.14875,31.34354,32.84723,23.682,25.64177,19.15501,21.63049,23.163,16.41155,16.43932,18.76951,17.26476,13.02491,12.80995,19.52497,14.61668,15.67615,12.31739,10.37006,13.75713,11.86857,8.791607,9.089799,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.14247,20.40514,23.69597,21.53478,20.07519,22.39746,24.53003,18.8213,20.73398,18.60327,16.90575,17.46883,15.00682,17.16128,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.84684,29.46201,30.36623,33.52166,32.20701,34.67809,25.56166,38.75097,35.61702,31.49351,30.68114,20.69051,21.66837,21.14031,22.01838,19.8802,16.15033,19.74137,15.85855,12.77603,12.26801,10.98434,12.94678,9.466063
Spain,,4.06357,2.359151,4.03057,4.755587,4.872006,6.124598,5.169662,6.208582,5.294542,8.57717,9.513637,10.24266,9.557785,8.737355,12.12123,15.36552,13.23845,18.50312,20.48125,17.33205,24.25903,22.55194,21.64736,22.83649,26.94132,29.54645,29.80831,30.64145,28.2529,25.03007,22.97216,18.62176,19.23881,20.69235,19.81668,22.63609,22.54175,22.82115,25.03498,24.79309,22.08607,18.6302,18.35748,16.94306,17.80758,17.73899,18.15665,17.88562,17.46631,17.01611,15.72214,15.91802,14.53802,12.91188,12.1674,,,
Sri Lanka,7.560909,14.08692,12.11797,12.82066,13.65452,12.19556,11.52793,11.3798,14.98546,10.07938,8.856234,7.677897,12.60644,8.894882,5.621836,4.322225,4.787517,6.502573,6.542515,,,,,,,,,7.050422,,,16.89455,19.91008,,23.9693,19.90694,15.53437,9.425552,,,,,,,,,,,,,,,,,,,,,,
Sweden,,17.89569,17.66153,20.00378,24.02687,23.35804,20.19806,23.40897,22.33041,24.87167,27.56648,30.54934,27.90282,30.76932,31.37213,30.47361,29.9954,24.27215,31.49793,28.41381,29.2747,28.11905,25.51256,25.23282,24.14052,24.44859,25.86786,21.71275,21.42739,19.01953,15.9879,13.96593,15.1578,13.28193,14.38025,13.86053,13.09349,11.93085,13.40371,14.46461,11.75276,10.99234,11.76073,9.387454,8.70572,8.367085,8.957335,7.597249,7.225107,8.338352,8.185614,7.482345,6.376504,6.438327,7.18781,5.957616,5.334587,6.089303,
Switzerland,,23.74879,26.04874,24.80819,26.50002,34.83632,31.94119,36.31013,34.88448,35.28611,41.29625,45.21659,44.84602,45.46695,49.27583,45.05487,44.99453,50.06704,46.87324,41.14376,53.34788,57.37184,52.60253,45.30071,43.13611,35.09542,33.0761,34.41364,37.96152,33.85624,30.0642,28.83039,30.98536,29.21918,24.32737,19.99767,21.07417,20.82943,21.42605,18.45597,17.61131,15.19346,14.71051,12.89059,12.78081,14.62438,14.04285,11.18046,11.68487,9.722105,12.02901,9.436095,8.185893,9.87177,9.55632,7.267826,7.703848,7.431665,
Trinidad and Tobago,,4.799677,4.587049,36.43838,29.0638,40.14129,15.72916,20.92692,47.22005,,40.69859,48.6312,32.01731,21.35543,,,,42.15883,28.4842,,35.69175,38.72436,46.92538,47.78539,43.61538,45.68773,45.95782,48.63753,31.12396,35.70057,28.68262,30.66945,55.04032,29.00267,32.56284,41.79396,28.87313,32.09219,21.84404,21.78439,30.30962,35.99518,20.39193,21.71911,21.15484,22.9038,31.67667,26.74631,21.09778,24.0699,22.86781,29.27633,24.59501,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8964,13.79866,,,17.509,16.80476,22.78411,22.19508,17.72551,21.62409,18.46975,32.47464,18.44284,22.57586,12.93374,11.43751,8.424228,10.93042,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.842,14.89628,,,12.3152,13.03455,12.67468,16.50169,19.79508,21.42583,20.59817,17.38982,14.93194,15.23144,14.36331,12.24998,12.15497,10.96102,10.16582,9.898871,13.64523,15.31585,15.19619,15.18746,19.96591,18.67289,,
United Kingdom,17.49208,18.82233,16.08996,18.21374,20.23144,20.23853,21.1699,20.71653,22.40416,24.40021,25.89172,26.44427,24.51442,24.0481,27.06099,27.45204,26.45756,25.77296,23.82452,24.21341,23.7991,24.55766,24.08925,23.0595,22.68118,19.4242,19.78831,18.50197,20.8252,17.23355,17.47051,11.7835,13.88888,13.17329,13.41282,13.02826,13.11796,12.64075,11.8934,12.91338,12.73155,11.00742,10.46743,9.039446,8.35041,8.158308,7.17354,7.3466,6.74085,6.613591,6.171233,6.154421,5.86632,5.675683,5.539668,5.24617,4.958411,5.264477,
United States,39.96195,40.35758,39.13652,39.17542,35.77163,36.52054,36.50302,35.71724,33.31437,32.81968,32.28914,31.72459,33.2966,34.10818,35.67466,36.02113,36.90649,36.70592,36.33723,34.78125,34.12145,32.84897,33.19316,30.86935,23.97091,22.79055,22.82134,22.52098,22.42937,21.44031,20.12731,20.11801,18.23401,18.54538,19.36567,19.16646,19.38505,20.1841,20.46137,20.40998,20.29008,19.05094,18.50723,18.91322,19.20402,19.3566,19.51163,19.84827,19.65254,18.96288,18.22404,17.86131,18.49504,17.87244,17.56582,17.44628,,,
Uruguay,,,,,,7.254757,9.073994,15.117,9.136762,9.88522,9.780289,,,11.41133,11.99672,13.64469,13.5401,9.553566,11.02081,11.95965,12.70292,11.08758,12.9321,9.255667,10.4153,13.56455,6.428267,9.117012,9.546843,,15.79851,19.5539,18.50706,18.34248,15.06683,12.40723,17.3351,14.08663,19.4013,24.50006,21.93544,,,20.81597,16.10524,20.15665,19.54731,19.65606,18.52176,20.79415,17.35411,18.4039,,,15.392,,,,
