Suicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.321,9.876895,,,9.515344,9.179073,9.164461,9.257819,10.45176,7.567586,7.446609,9.784887,,7.70326,7.180542,9.758697,8.640116,6.044553,9.068273,6.439916,4.95312,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.60507,30.87273,29.59944,27.42218,26.05786,26.41122,24.48116,23.61318,22.55654,21.85461,21.99916,21.4649,21.85536,21.45705,21.22463,19.83368,19.3591,,
Greece,,,,,,,,,,,,10.03715,6.486018,8.65815,6.780943,5.93148,5.774633,7.491949,8.224975,7.888436,6.825845,7.395395,7.150187,7.480653,7.707192,5.430178,5.996785,7.340072,6.008119,6.435074,7.017844,6.447443,6.888765,6.757416,7.06048,7.802464,7.781923,7.54059,7.851813,6.638205,5.835592,7.131632,6.559756,6.663906,6.221034,5.876566,5.683675,4.702955,6.020913,5.024615,5.136235,4.056345,5.219831,4.40716,4.857511,5.403686,4.867817,3.618044,4.224186
Guatemala,,,,,,,,,,,,,,4.157513,2.999777,6.027574,3.260448,8.693123,3.886128,4.840088,3.29935,4.079731,,,0,,,0.3214122,,0.4907063,2.197763,1.623062,,,4.085646,,3.447816,3.235115,2.849053,3.599818,1.872735,2.75492,3.234165,3.187851,2.26622,2.572322,3.180954,2.161919,3.174783,2.816458,2.625274,3.110132,4.588618,2.753895,2.676143,2.658145,3.487233,,
Hungary,,,,,,58.40835,54.73795,53.37319,55.69664,57.8088,52.95643,56.3921,56.22765,56.07331,61.92992,63.38284,60.81461,64.92042,71.26947,69.58714,76.60149,77.84979,73.8728,80.62421,87.84481,81.59577,89.90494,90.63358,93.33124,93.61416,90.26839,93.79581,91.62835,87.92998,86.37499,81.70045,83.91448,84.26365,75.52766,75.12698,76.1397,70.0882,67.90327,64.26096,62.48705,58.15134,60.6876,59.09392,50.87228,56.49772,55.47774,46.15199,43.7826,46.1498,41.56034,39.89863,38.16621,38.86423,39.14992
Ireland,5.943331,4.985984,6.375344,5.498866,3.885507,4.313114,5.531165,5.45476,6.123136,5.252025,7.139576,4.981942,3.493835,5.320259,5.106035,3.112617,8.395577,5.110201,3.814426,3.362033,3.161576,4.164174,4.077269,6.47789,4.908375,5.671142,10.44299,5.664348,6.072814,11.58455,8.023665,8.036628,12.37027,12.77997,11.70967,15.1465,13.19451,11.92038,12.27562,11.98834,12.41922,11.51019,13.5745,10.25273,10.91437,11.51341,8.866014,11.73316,10.38361,11.15712,10.06849,11.06359,10.30693,10.32414,9.664076,9.550978,9.638667,10.02105,7.499166
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,19.37488,22.42019,17.50934,16.83715,17.54741,16.55569,16.66014,12.91312,20.19789,15.29598,18.93555,19.6095,19.57511,17.74207,24.47216,16.95844,19.53725,19.79664,17.38677,18.30327,16.98479,14.18938,15.48933,12.67268,11.13799,11.83566,11.76254,9.047259,11.7402,10.71389,8.742486,8.201782,,
Italy,,16.08028,14.22615,14.81836,13.91242,15.93528,16.46724,16.0645,14.77163,14.57743,14.92804,13.67198,13.41542,13.27896,14.26176,13.84881,13.90349,13.95736,13.67552,13.69145,14.89259,14.64643,14.97566,15.6129,13.8955,13.93427,14.70218,15.25477,15.55112,15.73053,16.57571,15.61835,17.12996,18.32958,18.58093,20.30041,18.95379,17.93276,17.53754,16.21348,16.13092,16.19839,15.49873,16.05108,14.74903,14.80847,14.62305,14.64988,14.35593,12.75899,12.05588,11.86724,11.56317,11.35702,,,10.20623,9.8669,
Japan,75.44887,64.21264,61.63308,61.67446,61.41771,63.69743,65.84495,61.2902,63.42696,60.26566,55.49868,53.74597,51.23268,48.51363,49.19262,50.1699,48.935,46.18994,47.92842,47.54755,48.10796,46.77055,49.89988,51.4704,49.78391,48.36209,46.02634,44.94722,42.85176,42.22541,41.03236,38.81428,37.37597,42.69744,42.17476,39.92017,42.62623,40.30531,39.08956,37.17397,34.63396,32.3707,32.56363,29.95362,29.25796,29.25069,30.02623,30.97662,40.02799,37.50768,35.66562,34.28524,33.42859,34.04679,31.43446,30.55756,30.43745,32.14945,30.50087
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4911,34.3883,,,36.8301,33.3894,33.34287,34.12905,37.16913,32.48956,30.66604,33.17796,38.18978,40.98656,43.42352,40.44603,40.64173,42.24311,38.30726,39.3105,38.92425,38.20447,36.25798,32.05289,27.4004,28.70657,27.65534,26.75667
