Prostate Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Japan,0.31,0.43,0.52,0.71,0.77,0.87,0.99,1.16,1.35,1.41,1.4,1.46,1.63,1.66,1.91,1.75,1.88,1.79,2,2.14,2.05,1.91,2.07,2.29,2.34,2.4,2.4,2.54,2.54,2.74,2.74,2.85,2.98,3.03,3.11,3.42,3.44,3.54,3.49,3.84,3.74,3.97,4.09,4.1,4.36,4.82,5.15,5.16,5.41,5.35,5.51,5.41,5.49
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,4.56,,,4.77,5.38,5.11,4.85,6.08,4.86,5.51,5.82,5.57,5.5,5.57,5.54,5.11,5.16,5.08,5.65,5.54,6.18
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.52,0.53,0.86,0.52,1.01,0.81,1.2,1.27,1.48,1.79,2,2.19,2.24,2.53,3.23,3.56,3.92
Kuwait,,,,,,,,,,,,,,,,,,,,,,,1.58,,,9.8,5.31,4.07,5.49,1.99,5.63,3.81,3.73,8.68,7.76,5.16,6.41,3.48,,,,,,3.34,5.22,3.52,7.62,8.77,6.46,4.05,4.76,5.25,4.02
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,3.06,,,3.5,3.86,3.69,3.65,3.08,3.66,4.44,2.9,4.45,5.05,3.99,3.68,3.29,3.86,4.09,4.71,3.11,4.05
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,8.86,10,10.37,10.1,10.95,10.07,10.76,11.37,10.25,12.96,11.56,12.54,11.92,10.34,12.71,14.15,13.39,11.84,14.13,14.51,16.12,17.51
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13,9.39,,,10.59,10.84,11.02,11.05,11.24,11.21,12.19,14.08,15.28,14.55,15.22,16.15,15.36,15.87,16.62,17.36,17.82,17.45
Luxembourg,,,,,,,,,,,,,,,,,,17.26,11.56,18.02,13.19,11.94,12.15,14.97,19.53,17.05,22.39,15.17,16.09,9.93,16.7,15.39,24.19,16.98,15.03,16.59,19.25,24.73,17.61,17.04,16.61,15.66,16.77,19.74,14.14,15.27,14.11,14.31,13.84,14.25,16.81,12.73,10.53
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,6.53,5.94,6.58,5.81,6.87,7.88,9,9.41,8.31,9.25,9.05
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Malta,,,,,,,,,,,,,,,,6.66,,8.71,13.95,5.8,7.08,8.53,2.72,4.85,8.62,6.94,7.37,5.17,7.87,8.06,10.23,9.86,11.81,11.66,8.14,8.84,9.77,10.24,8.64,9.62,6.83,10.66,15.15,15.58,13.04,12.91,14.69,9.97,14.4,14.64,13.45,9.92,9.99
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Mauritius,,,,,,,,,,,,3.19,3.04,1.01,2.85,9.31,3.91,3.5,4.03,6.74,3.35,8.27,6.71,11.06,5.85,6.43,17.42,2.06,2.48,9.68,1.08,2.27,11.05,3.02,4.95,5.4,5.42,1.71,3.02,4.17,5.7,6.88,7.09,7.04,8.97,5.1,8.71,6.43,8.24,9.59,6.15,9.54,12.12
Mexico,,,,,,2.39,2.97,3.38,4.23,3.85,4.18,3.32,2.5,4.4,4.43,4.34,3.98,4.13,3.9,4.75,5.52,5.64,5.67,5.24,5.83,5.42,5.88,5.85,5.56,6.34,6.21,6.73,6.94,7.14,7.62,8.77,8.57,8.8,9.18,9.84,9.83,9.95,10.59,11.12,12.09,11.27,11.22,11.36,11.24,11.51,11.31,11.29,11.37
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,2.92,,,3.58,4.26,4.37,4.64,4.79,5.12,4.56,6.19,4.62,6.25,4.93,4.54,4.96,4.51,3.8,3.93,4.41,4.24
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
Netherlands,11.38,11.72,12.05,12.43,11.97,13.06,12.33,13.12,12.94,12.44,13.19,13.6,14.12,13.68,13.64,14.75,14.75,14.64,16.71,14.21,14.65,14.7,14.85,14.75,14.48,16.38,16.38,14.15,15.39,15.8,16.21,15.91,16.34,16.23,16.7,16.54,17.2,18.06,17.88,18.28,18.7,17.87,18.61,19.29,19.21,19.58,19.52,18.34,18.18,17.94,17.42,16.44,16.44
New Zealand,12.77,12.84,14.94,13.28,14.23,15.52,14.3,13.79,13.8,14.6,12.47,13.18,14.09,16.8,13,15.03,14.52,14.02,15.09,14.25,16.03,15.17,15.15,17.07,18.78,17.44,16.04,15.77,15.04,15.77,17,15.76,15.37,16.67,16.9,17.14,17.14,16.53,18.16,18.54,18.72,17.71,19.51,20.31,19.25,20.54,17.97,18.91,17.94,18.46,19.47,18.91,18.15
Nicaragua,,,,,,,,,,,,,0.46,1.07,1.22,0.4,,,0.71,1.84,,,,0.81,0.26,0.41,,0.13,,,,,,,,,,,5.46,4.65,5.86,5.38,7.17,4.82,8.84,,8.28,10.98,13.2,8.98,10.35,11.02,8.62
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2
Norway,,10.98,13.54,13.41,13.93,13.62,16.6,14.07,14.6,13.35,15.51,14.93,15.65,18.68,16.14,16.16,16.03,15.81,16.61,16.37,16.98,19.06,16.17,15.86,17.21,18.28,19.67,19.88,19.7,20.57,21.25,19.51,18.3,20.61,20.05,22.06,20.7,20.7,22.2,21.46,21.45,21.78,23.23,24.39,23.57,22.76,24.96,23.91,23.69,23.12,23.31,21.14,21.48
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
