Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92.87,91.01,94.47,94.82,92.2,94.8,95.28,103.44,101.94
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.43,93.15,95.72,104.89,114.2,125.23,124.66,134.37,114.23
Bangladesh,,,,,,,,,,,,,,,,,,,,,136.6666667,132.7586207,137.7358491,129.6296296,135.8490566,162.2641509,132.7272727,128.8135593,128.5714286,124.6153846,117.3913043,126.8656716,123.5294118,124.2424242,114.2857143,111.84,110.98,114.29,113.79,108.7,100,103.44,100.75,91.6,85.67,80.25,75.37,67.67,59.48,64.54
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,98.86,100.89,101.82,109.35,113.68,113.29,116.37,122.37
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3307,105.5767,104.305,103.2029,102.3464,104.2141,102.3622,100,99.80468,101.3,100.5112,100.609,99.43289,98.83217,100.8019,99.67556,103.0534
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.76,82.44,78.45,76.06,74.37,79.39,73.69,75.88,79.51
Benin,,,,,,,,,,,,,,,,,,,,,86.36363636,73.84615385,93.42105263,94.28571429,98.48484848,93.93939394,82.55813953,78.84615385,86.23853211,82.17821782,107,94.23076923,85.18518519,82.35294118,80.53097345,106.61,94.17,99.1,99.13,100,100,88.14,88.41,101.03,97.03,89.48,93.81,96.57,86.23,83.08
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,108.87,107.81,107.97,125.98,135.54,144.79,138.38,165.68,152.02
Bolivia,,,,,,,,,,,,,,,,,,,,,187.5,168.9655172,185,159.0909091,182.9268293,184.4155844,136.8421053,133.7662338,121.686747,113.1868132,102.020202,101.0869565,82.29166667,79,91.26213592,89.38,100,103.77,98.04,97.96,100,95.77,96.2,98.53,104.05,111.83,139.81,142.07,143.92,136.92
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,83.50515464,74.25742574,67.74193548,62.88659794,68.60465116,82.8125,82.66666667,89.13043478,101.1235955,102.247191,98.13084112,91.81818182,84.16666667,85.47008547,89.56521739,89.34,93.75,98.18,100,100,100,100.37,98.34,95.89,95.45,90.43,95.47,101.3,89.98,79.12
Brazil,,,,,,,,,,,,,,,,,,,,,73.88535032,61.93181818,59.64912281,57.66871166,62.17948718,62.06896552,73.38709677,65.24822695,84.29752066,74.26470588,66.44295302,78.90625,81.96721311,87.27272727,100.952381,110.38,108.33,114.42,114.29,103.16,100,99.64,98.38,96.98,97.86,99.18,104.42,106.61,110.39,107.78
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.32,88.2,110.05,123.16,160.25,193.75,189.2,245.52,168.62
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,64.95726496,63.36633663,63.7254902,73,85.26315789,85.10638298,96.55172414,106.7961165,112.7272727,118.75,118.8034188,114.159292,115.5844156,110,121.7821782,130.97,122.61,121.7,124.49,112.37,100,92.05,91.79,111.46,101.47,82.53,80.92,84.29,80.47,78.64
Burundi,,,,,,,,,,,,,,,,,,,,,230.9210526,170.8609272,181.8181818,212.1323529,265.5021834,243.1451613,296.2264151,179.0849673,217.8913738,177.5,128.2798834,136.3914373,97.94520548,120.4081633,171.3692946,163.57,118.94,109.54,121.18,115.93,100,85.79,86.75,89.81,93.24,113.05,122.29,121.66,133.26,137.88
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,103.42,104.95,100.64,94.54,88.8,85.83,83.32,80.71,85
Cameroon,,,,,,,,,,,,,,,,,,,,,80.20833333,70.85714286,114.5251397,88,80.39215686,77.20588235,101.9607843,89.65517241,84.67741935,66.43835616,81.25,102.5862069,64.45783133,74,84.74576271,90.4,82.26,87.07,83.49,70.27,100,94.61,103.62,110.06,116.64,128.54,134.66,133.26,138.57,121.58
Canada,,,,,,,,,,,,,,,,,,,,,114.0611,106.8342,103.2491,103.8465,102.3503,99.86263,98.49959,101.5128,103.8148,106.0102,103.2723,101.035,99.20403,98.42035,99.10902,103.1944,104.2229,103.0751,106.7816,105.0641,100,101.143,105.463,111.4453,115.6111,119.7201,119.8083,123.5483,126.5885,114.7701
Cape Verde,,,,,,,,,,,,,,,,,,,,,100,218.0555556,135.7142857,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101.03,101.29,94.65,88.15,102.06,108.82,103.45,110.47,136.17
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97.07,96.11,98.94,96.25,95.59,97.38,95.15,86.78,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,260.6060606,252.2522523,270.0787402,260.1626016,269.3693694,257.8947368,234.6153846,243.6708861,278.0141844,295.7746479,237.5,268.9393939,280.7407407,273.8461538,200,192.97,166.92,150,123.68,107.14,100,97.93,96.02,96.33,98.62,90.92,87.2,83.63,75.38,78.5
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.62,91.85,92.56,100.84,95.61,100,85.16,82.18,99.74,118.57,138.3,153.1,153.05,176.52,136.01
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,243.3333333,203.2258065,196.2962963,212.244898,202.0408163,185.7142857,175,155.2238806,142.3076923,125.2525253,113.7254902,113,110.2040816,101.0416667,114.5833333,135.58,109.52,113,100,100,100,93.29,97.17,102.78,124.87,139.76,183.21,189.46,164.78,166.74
China,,,,,,,,,,,,,,,,,,,,,117.4418605,120.2380952,117.2839506,100,96.59090909,92.55319149,85.10638298,94.50549451,90.72164948,102.173913,102.1052632,101.0309278,103.0927835,101.0416667,102.0408163,101.94,105.94,110.2,110.64,104.12,100,102.19,102.23,98.02,92.39,86.19,82.6,80.46,73.87,79.73
Colombia,,,,,,,,,,,,,,,,,,,,,112,98.71794872,101.2345679,102.6315789,112.5,103.9473684,130.5555556,95,89.77272727,88.17204301,81.25,85.71428571,75.78947368,78.49462366,90.81632653,86.79,89.81,89.91,82.52,88.89,100,94.25,92.49,95.19,102.3,110.99,115.22,124.41,138.11,114.35
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.16,85.26,87.97,90.24,96.64,100,62.63,59.23,67.14,57.16,53.16,56.51,62.77,60.34,65.69
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,84.12322275,82.74932615,81.01265823,82.95081967,77.8280543,84.7826087,84.7715736,84.61538462,96.62921348,114.8148148,86.20689655,80.88888889,97.07112971,90,66.49874055,79.76,53.76,67.3,65.56,103.74,100,101.64,98.7,97.15,96.65,112.42,126.4,124.68,145.23,112.02
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,96.84210526,100,140.625,130,138.5964912,111.7647059,66.66666667,73.80952381,60.71428571,76.25,63.24786325,63.47826087,61.01694915,62.33766234,53.57142857,52.03,64.17,63.64,39.2,64.42,100,91.34,90.8,99.88,118.38,156.01,177.21,176.67,212.86,147.47
Costa Rica,,,,,,,,,,,,,,,,,,,,,81.37254902,73.45132743,74.07407407,73.58490566,82,84,112.5,92.55319149,91.83673469,85.4368932,75,79.62962963,84.11214953,87.85046729,98.01980198,104.59,99.08,105.66,108.91,107.14,100,98.37,96.88,95.46,91.86,88.33,85.75,84.91,81.71,87.16
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,202.8169014,187.0967742,179.3103448,190.5660377,228.5714286,252.0833333,259.6153846,213.3333333,195.1612903,165.0793651,143.0555556,156.0606061,162.5,77.41935484,122.8915663,122,118.52,117.35,116.67,118.18,100,108.32,140.33,138.73,129.96,129.89,131.5,137.05,137.98,140.39
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,114.04,105.06,120.98,133.34,129.85,164,172.56,111.13,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,93.2412,90.85039,91.7956,92.54013,91.94617,93.24119,99.38897,102.6731,100.6722,99.84152,101.6944,102.997,103.9586,104.2107,104.0832,102.1415,102.0993,100.543,99.30115,99.83112,100,100.7303,100.7352,102.1082,102.5917,103.8055,103.1783,99.91676,102.3309,102.869
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.23,99.9,96.93,98.73,87.42,86.58,83.7,84.96,76.99
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.63,100.27,98.88,98.76,94.88,93.23,91.24,86.16,91.88
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,175.3623188,181.0810811,153.3333333,160,140.7407407,145.4545455,144.3037975,136.8421053,158.974359,150,96.03960396,104.3478261,93.5483871,88.46153846,94.33962264,98.15,96.33,100,101.01,102.06,100,100.95,101.52,97.93,96.72,95.8,94.88,98.05,93.63,96.79
Ecuador,,,,,,,,,,,,,,,,,,,,,212.987013,180.6818182,198.7179487,208.4507042,180,168.75,109.6385542,115.1162791,103.7974684,115,114.2857143,97.77777778,94.18604651,85.71428571,87.75510204,80.56,88.68,90.48,81,85.57,100,84.59,86.81,89.77,91.48,102.39,109.9,112.99,123.98,109.73
Egypt,,,,,,,,,,,,,,,,,,,,,214,220,200,200,190.5660377,188.4615385,163.2653061,117.2413793,96,94.80519481,101.2195122,125,125,123.4567901,120,116.28,111.11,107.14,98.02,96.88,100,94.99,92.74,98.1,105.3,123.39,136.96,131.02,144.88,128.06
El Salvador,,,,,,,,,,,,,,,,,,,,,93.97590361,74.73684211,66.99029126,62.22222222,59,64.77272727,128,88.46153846,88.46153846,83.52941176,84.21052632,84.28571429,74.3902439,77.10843373,97.64705882,121.11,113.98,113.68,111.22,105.21,100,102.45,101.63,97.69,96.76,96.76,95.46,94.56,91.91,99.13
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,37.75510204,43.91891892,39.69072165,40.74074074,48.32214765,37.66233766,34.04255319,37.7593361,31.60377358,36.97478992,36.76,37.35,36.9,37.14,79,100,89.51,90.87,101.68,120.27,155.34,176.42,180.2,226.15,150.78
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.71,98.29,100.91,95.28,96.12,100,103.34,91.08,91.34,92.12,92.21,91.16,82.3,76.58,73.33
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.25,113.4020619,150.96,114.81,126.92,150,125,100,91.49,93.5,96.76,102.68,107.97,107.57,111.49,111.51,121.07
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,135.1555812,105.4462902,102.2283277,117.2866118,109.6894698,100,145.3976241,162.256813,141.5936289,,,,,,,,,,,,100,101.58,98.79,96.42,92.45,91.75,99.2,92.06,90.15,109.83
Finland,,,,,,,,,,,,,,,,,,,,,90.9253,93.03344,88.82702,87.83173,90.21058,89.79709,100.9725,104.4115,110.1472,112.1069,110.6578,107.999,104.8467,101.5058,103.2853,110.6269,109.8732,106.4241,110.2596,104.7668,100,98.39464,95.90225,92.31263,89.62382,85.64706,82.87815,82.94756,81.0454,83.09895
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2431,109.0656,109.3147,108.3902,107.4918,106.4339,105.1481,103.2886,104.4045,104.9123,100,101.7936,103.5713,103.568,104.1188,103.9789,102.2962,101.3652,99.78323,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.81,98.7,95.48,91.86,88.69,88.69,86.72,83.24,90.09
Gabon,,,,,,,,,,,,,,,,,,,,,306.1728395,357.5757576,331.8181818,326.6666667,282.4561404,228,142.1052632,136.3636364,139.3617021,136.8421053,156.6037736,142.4528302,134.5454545,129.7619048,118.8679245,125.44,147.37,146.08,102.94,105.05,100,91.93,92.69,101.68,118.3,155.96,178.87,180.66,221.76,155.26
Gambia,,,,,,,,,,,,,,,,,,,,,182.3529412,136.5384615,128.8888889,103.7037037,82.45614035,85.33333333,98.55072464,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.4,96.43,101.23,96.42,88.66,82.35,87.36,83.43,85.52
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,95.71545,89.40731,92.70605,94.28936,92.14989,93.32063,107.3841,111.3744,111.3552,108.346,109.9187,107.4246,110.0359,111.0399,107.9369,107.4751,107.2472,104.8417,106.6834,107.0493,100,101.9013,104.4147,107.1532,107.1786,105.2436,102.2478,102.7866,100.2352,105.857
Ghana,,,,,,,,,,,,,,,,,,,,,209.5238095,185.7142857,125,170.3703704,132,123.3333333,135.4166667,131.9148936,125.8426966,105.7471264,100,102.020202,95.09803922,89.21568627,94.23076923,106.67,108.57,114,124.21,109.57,100,106.92,136.68,136.42,127.01,128.07,132.89,143.13,164.52,178.44
Greece,,,,,,,,,,,,,,,,,,,,,126.3882,120.7338,113.0883,111.6624,116.7998,115.6431,104.6042,101.3538,101.5664,103.1513,96.4691,93.21296,88.11105,87.45239,87.01934,89.64745,94.70927,94.35017,91.15167,92.26793,100,97.62202,98.43367,97.50188,99.314,94.6344,95.20657,95.5726,94.91531,90.80991
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,89.7,91.63,94.99,88.57,81.42,87.33,89.8,92.36,98.37
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.88,106.33,105.09,104.17,91.66,89.62,87.63,82.32,76.95
Guatemala,,,,,,,,,,,,,,,,,,,,,132.9268293,119.2771084,125,134.6153846,101.0416667,93.47826087,156.5789474,90.36144578,142.5287356,91.95402299,115.2941176,90.42553191,95.95959596,98.95833333,106.122449,117.92,103.74,112.12,111.34,103.13,100,96.75,95.78,92.99,92.14,91.3,89.59,87.93,85.6,91.37
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8421053,122.3076923,108.8888889,120.5882353,121.6216216,116.8067227,93.19727891,86.07594937,100,89.61,78.18,87.25,80,76.92,100,93.98,98.68,107.33,139.18,149.41,184.84,181.75,170.67,143.27
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.73,101.77,97.25,87.25,98.08,100,89.12,92.84,98.59,101.34,91.54,89.17,86.15,65.87,65.98
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97.29,98.48,96.79,93.13,93.13,105.33,95.62,104.62,124.05
Haiti,,,,,,,,,,,,,,,,,,,,,224.6153846,175.3623188,169.0140845,169.7368421,188.4615385,203.8961039,205.4794521,201.4705882,195.7746479,130.6666667,132.2916667,110.7526882,104.7619048,106.0240964,110.5882353,113.19,102.06,107.61,110.31,108.51,100,101.19,100.19,98.74,95.99,92.44,88.95,86.43,62.12,70.59
Honduras,,,,,,,,,,,,,,,,,,,,,113.1868132,88.78504673,82.30088496,89,102.0408163,96,125,114.1176471,83.87096774,79.41176471,78.02197802,83.69565217,78.94736842,87.35632184,89.13043478,96.33,89.62,110.78,113.4,106.32,100,94.83,91.98,87.98,87.17,87.17,83.17,81.61,76.65,81.93
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,100,97.8021978,100,98.7804878,100,103.6144578,100,100,97.89473684,100,100,100.9708738,100.9615385,101.9417476,100,99.1,100,100.93,101.96,101,100,100.83,102.15,100.97,99.27,97.96,96.81,96.78,96.36,97.57
Hungary,,,,,,,,,,,,,,,,,,,,,117.4291,116.5237,113.8149,110.9581,108.5733,107.568,103.675,104.658,107.1824,110.2271,110.6995,99.1667,98.50126,101.5602,102.4702,104.2878,101.8705,103.1459,104.4927,102.7989,100,99.76787,100.1955,99.69804,98.98399,96.88063,95.50271,95.45465,93.84783,95.56723
Iceland,,,,,,,,,,,,,,,,,,,,,98.45242,100.3841,100.9422,96.61697,93.74697,94.77158,102.833,108.5822,103.968,97.70985,99.68893,108.9285,106.4581,100.9074,99.69381,100.4432,96.26262,96.84211,104.9529,104.6292,100,102.4551,103.7275,97.24958,95.1048,94.72925,101.2204,100.9651,94.79591,84.30532
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,99.04,113.59,117.58,105.21,100,97.83,88.62,96.23,86.17,105.2,110.78,114.17,100.31,99.43
Indonesia,,,,,,,,,,,,,,,,,,,,,,182.5581395,182.1428571,172.1518987,173.0769231,156.7567568,108.4507042,96.20253165,81.81818182,81.72043011,94.89795918,91.26213592,88.57142857,88.34951456,84.90566038,90.35,97.32,99.05,81.82,66.33,100,95.04,101.11,99.03,101.17,58.19,60.03,61.55,65.04,63.2
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.12,89.85,97.1,111.61,141.29,160.01,161.65,186.25,132.42
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,88.87,90.91,99.34,119.63,156.52,177.58,175.67,203.34,140.76
Ireland,,,,,,,,,,,,,,,,,,,,,107.6908,103.5808,106.641,110.8334,109.1305,110.9294,115.8013,115.8013,116.4407,116.677,111.5008,108.1904,107.6828,110.0413,106.0001,103.9491,104.928,105.6048,105.9735,103.2235,100,102.0498,104.0572,103.4793,101.9795,101.6162,98.67738,96.01028,92.15546,96.6038
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,80.50676,80.34025,83.03874,84.87002,83.37194,84.30966,87.57053,84.77315,89.22953,88.96149,89.46889,94.42911,95.04461,98.78671,95.30479,92.14529,92.74802,96.2723,98.8221,102.9935,100,97.84718,97.8765,96.47604,94.57219,95.19546,93.76157,91.679,92.94483,102.6736
Italy,,,,,,,,,,,,,,,,,,,,,78.82513,74.9971,76.8941,78.82083,77.57185,78.05115,90.42145,92.71481,93.58647,92.44136,95.11217,98.63799,99.94415,99.63779,99.2841,96.59487,100.725,102.2186,107.3824,108.4109,100,101.6375,103.6132,103.9212,102.7789,99.81873,95.81396,97.77207,94.69694,103.2717
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.03,95.55,94.52,99.26,86.07,89.95,102.64,83.95,77.11
Japan,,,,,,,,,,,,,,,,,,,,,79.78677,79.43584,76.50811,78.00858,81.25429,82.08858,108.616,112.3033,115.0337,111.7013,104.9759,108.1695,111.0445,113.9789,117.3055,114.9227,109.7055,104.0282,110.8115,109.8289,100,100.5638,100.9032,97.632,92.47034,83.31286,75.39542,71.67014,61.99663,74.36524
Jordan,,,,,,,,,,,,,,,,,,,,,87.96296296,83.05084746,88.49557522,89,86.66666667,86.86868687,100,90,98.8372093,104.8780488,93.68421053,103.2258065,105.6818182,104.5454545,112.9411765,115.63,113.59,112.87,107,107.14,100,99.06,96.77,88.38,87.36,88.5,88.47,92.37,117.99,120.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,100.7246377,88.11188811,81.61764706,77.37226277,87.02290076,76.69172932,85.49618321,77.86259542,81.06060606,79.36507937,70.14925373,78.68852459,81.03448276,94.87179487,107.2289157,103.88,108.25,114.02,109.91,98.08,100,93.86,90.46,90.38,90.17,90.74,89.31,85.08,83.17,94.68
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,77,74.43,72.21,67.55,59.82,64.49,64.9,57.36,60.94
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102.78,98.27,92.53,87.36,84.68,82.36,78.65,76.52,83.88
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,114.2857143,111.8644068,117.4311927,118.2692308,119.8113208,120.7920792,131.5789474,134.3137255,138.0530973,138.2608696,133.3333333,134.1880342,134.2105263,132.4324324,137.2727273,138.46,125.89,121.9,117.24,114.94,100,95.56,94.93,89.04,85.35,79.04,73.83,71.96,62.28,68.55
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.51,88.94,101.38,121.83,164.53,185.66,190.07,233.23,156.1
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.1,102.18,100.76,95.7,95.18,118.57,114.72,110.81,103.87
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.95,104.54,104.68,103.5,95.72,99.54,101.59,101.04,109.06
Lesotho,,,,,,,,,,,,,,,,,,,,,131,116,106.5217391,102.020202,102.4390244,100,93.15068493,63.73626374,101.0638298,100,100,88.70967742,100.8196721,100,100,100,100,100,100,99.06,100,101.11,101.57,95.8,89.25,85.59,82.1,78.2,71.14,78.25
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.86,104.48,109.98,112.72,114.48,120.21,120.18,119.78,111.36
Libya,,,,,,,,,,,,,,,,,,,,,,,104.6687456,97.16097598,100.0924855,102.2613042,,,,,,,,,,,,,,,100,88.16,87.43,96.75,116.78,158.88,178.47,173.1,203.43,140.41
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.63,102.44,99.04,96.04,93.78,93.36,91.35,88.01,90.4
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,83.33333333,82.60869565,92.1875,100,106.779661,96.55172414,112.0689655,94.36619718,94.36619718,70.51282051,80.95238095,72.09302326,71.11111111,71.59090909,77.65957447,79.61,81.55,84.69,93.75,88.89,100,89.27,85.51,84.98,79.82,75.81,74.99,75.28,71.15,75.51
Malawi,,,,,,,,,,,,,,,,,,,,,163.3333333,195.2380952,200,185.9649123,191.0714286,167.3469388,144.8275862,137.3134328,129.3333333,138.1578947,148.2352941,157.4712644,127.7777778,114.1176471,89.32038835,105.66,112.38,117.14,103.09,106.12,100,101.16,92.86,88.12,83.97,82.05,85.39,84.78,76.21,94.18
Malaysia,,,,,,,,,,,,,,,,,,,,,71.42857143,62.28070175,64.48598131,70.58823529,86.31578947,80.21978022,75.30864198,87.5,88.88888889,94.23076923,102.7272727,109.1743119,109.0909091,108.5714286,110.1851852,108.55,112.07,111.21,107,105.1,100,99.6,99.95,102.31,101.87,102.21,101.61,101.97,104.34,99.66
