,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.568670605,0.583085619,0.617528606,0.637631728,0.666242631,0.715693549,0.757648496,0.795960729,0.858857381,0.886345669,0.901002979,0.970149192,1.167925629,1.414236623,1.672229463,1.928634595,2.31662289,2.518788893,2.921278572,3.301181167,3.809998717,4.503995253,5.226111507,7.015101447,12.68608639,20.71234886,27.39917201,32.48613637,36.46462266,38.57892994,52.02267179,60.09876421,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.035841352,2.267266945,2.699722945,3.205707538,3.611149062,4.070220497,4.28157071,4.569947823,4.833415973,5.027873669,5.290562731,5.363407999,5.512895439,5.729128641,5.980912683,6.293182937,6.633046094,7.040908377,7.324130255,8.067351908,9.001970554,10.72938634,12.96112619,16.17797005,23.31738873,31.07157629,37.45098132,41.11199633,47.07605738,57.06663347,67.47441624,73.27098637,..
Brunei,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.142263747,4.546891202,5.086606163,5.750461073,7.034726617,7.316537814,8.061494981,8.762261401,9.330816177,9.72105371,10.4286368,11.35418297,..,14.30828255,15.93174433,19.20184185,22.72530539,26.88807976,35.25981775,40.41726419,39.25208042,39.90645475,44.55410883,52.62858017,67.78944162,67.22648917,72.51609511,78.0848626,84.74150084,87.49685824,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.120779515,10.24599413,12.88916423,12.70856757,15.18352228,15.68627451,16.77664691,17.86312381,19.45156616,20.99988865,22.46254365,24.95323469,25.55008109,27.3965808,28.4634915,29.57223474,30.75994048,32.00151987,33.09734713,34.93992976,38.78405214,44.91049628,56.09355247,69.50500699,80.76672632,95.82998329,112.8545736,138.4816577,..
Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0394,0.0417,0.0627,0.0613,..,..,0.0955,0.100367291,0.10218395,0.103787022,0.103125226,0.121007354,0.141955836,0.152896288,0.168171315,0.182417307,0.195354987,0.210314824,0.225768071,0.26389469,0.292493453,0.327130344,0.347195788,0.392668075,0.454401905,0.660355937,1.094621802,1.365453469,2.329422666,3.562303742,5.201508064,7.740105164,..
Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0734,0.0695,..,..,..,..,0.0469,0.049940276,0.0533,0.0807,0.108700503,0.131237803,0.136098636,0.136331766,0.138217225,0.139667504,0.175705293,0.216669096,0.262477025,0.262582128,0.285453121,0.249289283,0.25847665,0.286490904,0.302701635,0.5446842,0.788965392,1.050966722,1.205066558,1.695845849,2.342599517,..,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0287,0.0295,0.0309,0.0321,0.0387,0.0392,0.0841,0.155182441,0.198584877,0.329686353,0.447071415,0.698044617,0.932604234,1.263164764,1.972987141,3.133166772,3.927304025,6.513572542,7.846157076,8.260964536,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.166001099,0.167950076,0.170060711,0.177189785,0.188109923,0.189510395,0.195787656,0.22146367,0.253159038,0.275501638,0.283985108,0.298901427,0.313129782,0.312346538,0.32379174,0.328607721,0.332791102,0.421692221,0.428847238,0.436638401,0.486520411,0.513663962,0.537444809,0.653807311,0.649396884,1.250121526,3.224005256,4.885846089,6.900519522,9.39739393,13.22178308,..,..
Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.66719807,36.62726422,37.48529165,38.5713097,39.52300531,40.57658683,41.34337349,41.01040394,41.12328724,46.01692864,48.15614062,49.64143261,51.00821469,52.71783231,54.76082764,57.13930769,58.89161684,60.56607246,62.6002397,65.66449732,68.66791579,72.36401781,76.2158521,81.46020054,89.48116016,96.09128461,102.2299152,103.6094637,107.1862156,111.2351121,116.9751176,..,..
Cape Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.536276013,..,..,..,..,0.497524479,0.532700252,0.567874346,0.618334097,0.701183688,0.715136321,1.142120687,1.687046047,1.88486605,1.957741572,2.320796828,2.499945026,3.119693316,3.992043135,4.712090023,5.363366658,6.143597335,7.912465922,9.532499535,12.47876023,16.50543612,20.73110196,23.95061519,25.8557916,28.11412623,30.21524959,34.79545358,..
