Water resources: total renewable per capita (actual) (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
"Micronesia, Fed. Sts.",,,,,,,,,,
Monaco,,,,,,,,,,
Mongolia,34467.76,30128.56,26183.44,22733.07,19835.93,17106.35,15110.04,14347.42,13867.5,13360.82
Montenegro,,,,,,,,,,
Montserrat,,,,,,,,,,
Morocco,2362.51,2056.96,1801.3,1597.11,1405.39,1242.13,1128.13,1045.7,983.2,939.94
Mozambique,27282.923,24551.917,21982.708,19372.473,17066.922,16255.739,15162.115,12863.378,11346.726,10352.646
Myanmar,47538.0293,42539.4774,37707.9067,33479.5361,30138.3529,27396.7523,25269.0763,23608.9219,22357.1896,21612.6118
Namibia,28187.189,24880.583,21615.3097,18976.5008,17109.4288,14328.0728,11658.7855,10113.7836,9120.8978,8656.0097
Nauru,,,,,,,,,,
Nepal,20176.77,18383.56,16571.16,14838.64,13246.66,11806.61,10461.9,9232.8,8245.99,7604.54
Netherlands,7706.59,7219.79,6839.15,6556.4,6368.24,6207.07,6004.95,5814.43,5651.07,5555.89
Netherlands Antilles,,,,,,,,,,
New Caledonia,,,,,,,,,,
New Zealand,131997.1,120935.57,111488.57,105166.43,103682.83,98943.36,93070.22,87208.74,82823.97,78993.42
Nicaragua,104922.093,90169.841,77116.791,65996.999,57128.882,50676.515,45261.426,40512.698,37421.751,35552.613
Niger,10335.81,8787.878,7488.256,6388.762,5479.941,4724.935,4024.421,3371.464,2818.067,2449.638
Nigeria,6451.55,5729.13,5066.5,4408.75,3809.07,3309.96,2859.05,2484.53,2179.14,1977.61
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,105010.54,100935.95,97089.1,94474.05,92908.63,91288.36,89128.22,86637.85,84003.39,81822.22
West Bank and Gaza,726.9752,721.9151,739.3829,625.8379,526.4819,435.2804,359.323,296.6941,247.1216,215.2076
Oman,2358.12,2062.66,1740.52,1381.43,1060.12,845.95,707.82,613.72,572.8,549.81
Pakistan,4638.52,4090.746,3583.668,3118.655,2650.098,2202.247,1892.021,1676.181,1501.436,1399.687
Palau,,,,,,,,,,
Panama,123998.243,107118.943,92964.641,81615.409,72552.872,65256.897,58917.163,53216.031,48314.714,45012.407
Papua New Guinea,371287.47,335374.47,299423.24,267671.76,238179.2,209304.29,184122.48,161183.08,141534.86,129158.17
Paraguay,167150.04,146243.24,128820.32,113909.65,99149.64,85758.8,75195.12,66945.64,60314.42,55853.83
Peru,181906.16,157672.53,137120.69,119472.79,105108.57,93673.44,84539.9,77722.57,72679.51,69340.29
Philippines,16639.5,14295.44,12386.73,10788.47,9477.71,8402.8,7468.92,6691.9,6025.92,5552.74
Poland,2023.59,1926.94,1856.88,1779.67,1698.76,1636.31,1605.51,1596.6,1606.74,1615.09
Portugal,7669.75,7748.31,7842.8,7328.59,6925.22,6860.6,6880.95,6808.24,6640.01,6494.2
Puerto Rico,2901.61,2689.09,2541.22,2332.1,2165.94,2065.04,1975.02,1890.41,1829.42,1789.03
Qatar,1095.4557,688.272,430.6312,304.7899,209.4603,141.6195,117.5883,104.9418,84.4233,70.6186
"Korea, Rep.",2636.16,2331.51,2093.33,1911.44,1776.22,1672.56,1594.02,1522.29,1474.14,1450.55
Moldova,,,,,,,2641.222,2706.162,2888.834,3039.625
Reunion,14103.01,11914.26,10549.1,10203.29,9546.17,8707.11,7975.28,7269.23,6674.72,6279.89
Romania,11369.354,10879.249,10250.554,9787.569,9444.388,9224.334,9182.202,9440.297,9664.746,9842.682
Russia,,,,,,,30184.549,30317.773,30837.95,31470.529
Rwanda,3159.49,2788.44,2363.03,2018.86,1719.14,1399.26,1438.05,1492.92,1084.28,1003.77
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,470.9391,506.6176,541.4185,546.361,561.6662,581.4376,580.72,542.0543,507.6571,482.1794
Saint Lucia,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,33812.079,32230.879,28349.979,25046.531,22131.53,20094.944,18030.834,16420.484,15023.5,14053.092
Saudi Arabia,553.68,467.66,383.25,297.13,221.7,167.7,140.02,125.04,109.5,99.27
Senegal,11201.29,9669.79,8286.95,7173.45,6240.83,5373.03,4646.21,4063.56,3562.6,3213.92
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,19991.85,19137.57,19554.69,19912.14
Seychelles,,,,,,,,,,
Sierra Leone,68590.75,62718.95,57271.67,52363.28,47666.06,42091.58,38689.62,37948.13,32492.59,27861.48
Singapore,344.25,305.92,278.68,258.85,238.05,212.46,188.56,162.04,144.1,136.92
Slovak Republic,,,,,,,,9309.55,9299.27,9298.23
Slovenia,,,,,,,,16149.006,16008.712,15928.381
Solomon Islands,356013.6,306338.53,258897.8,216349.64,181930.66,155004.88,134620.3,116799.23,102068.07,92351.17
Somalia,4980.11,4393.25,3998.46,2900.24,2201.44,2238.21,2255.86,2285.13,1961.54,1740.59
South Africa,2728.89,2398.83,2106.57,1851.34,1633.09,1455.62,1299.16,1156.44,1073.4,1035.57
Spain,3589.55,3406.86,3229.59,3056.11,2934.99,2887.56,2855.09,2819.27,2693.99,2540.62
Sri Lanka,4902.89,4344.42,3881.63,3522.14,3250.51,3038.98,2852.3,2721.33,2647.3,2603.15
Sudan,5386.98,4797.96,4207.43,3614.52,3070.27,2663,2365.02,2077.66,1855.99,1710.53
Suriname,398076.18,347285.48,326687.99,340405.58,334627.95,310846.24,299273.4,287934.14,275093.85,267971.08
Swaziland,12173.33,10791.203,9374.564,8034.26,6922.189,5816.697,4972.842,4514.844,4140.273,3978.426
Sweden,22974.67,22129.75,21434.21,21100.36,20906.18,20681.78,20050.34,19648.98,19506.79,19166.84
Switzerland,9621.79,8897.09,8529.76,8452.72,8386.53,8045.01,7680.96,7433.26,7304.94,7176.58
Syria,3419.4649,2913.9067,2465.9777,2082.1471,1736.1383,1450.6292,1245.8453,1094.8431,964.7151,865.4875
Tajikistan,,,,,,,2895.703,2691.527,2529.356,2406.685
Thailand,13925.5834,11966.553,10447.3687,9298.1388,8454.1979,7844.6014,7373.8045,6968.2664,6646.8867,6461.5144
"Macedonia, FYR",,,,,,,3308.84,3227.02,3165.85,3142.83
Timor-Leste,,,,,,,,,,
Togo,9113.73,7854.72,6462.31,5733.32,4914.85,4079.93,3527.53,3033.39,2559.39,2293.13
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,4418.892,4147.979,3883.302,3710.446,3422.71,3196.662,3091.396,2990.619,2931.02,2890.625
Tunisia,1050.0555,952.9663,862.6472,771.1356,675.6548,597.4316,537.9246,498.0635,469.8233,449.8189
Turkey,7187.2866,6356.1002,5598.0235,4942.8954,4391.5298,3934.498,3591.1428,3288.5421,3044.9843,2889.0272
Turkmenistan,,,,,,,6363.139,5703.269,5339.195,5045.458
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,9117.32,7698.43,6595.02,5709.67,4910.73,4143.94,3440.18,2923.44,2510.98,2207.46
Ukraine,,,,,,,2708.578,2776.588,2905.635,2997.373
United Arab Emirates,1379.792,920.629,473.121,208.85,127.071,94.787,72.458,54.863,41.632,35.306
United Kingdom,2766.38,2673.6,2626.36,2611.71,2608,2588.39,2555.51,2522.31,2475.23,2429.26
Tanzania,9013.628,7763.501,6640.49,5659.373,4840.98,4147.262,3534.65,3056.949,2703.065,2439.765
Virgin Islands (U.S.),,,,,,,,,,
United States,15909.57,14962.95,14248.73,13600.89,12948.44,12294.46,11660.52,11052.63,10490.59,10074.58
Uruguay,53401.58,50566.6,49291.04,48681.02,47091.23,45628.34,44137.01,42568.25,41786.97,41726.76
Uzbekistan,,,,,,,2343.638,2128.084,1980.625,1868.385
Vanuatu,,,,,,,,,,
Venezuela,150926.903,126902.424,107471.611,90253.444,77143.841,67500.684,59633.599,53595.401,48682.147,45351.788
Vietnam,25209.544,22288.721,19838.732,17846.458,16114.573,14407.25,12892.838,11766.55,10943.103,10338.159
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",385.57,348.04,316.64,278.6,232.38,192.43,154.94,126.24,108.83,96.63
Zambia,31608.83,27137.38,23065.07,19507.45,16578.65,14150.91,12270.14,10798.4,9678.32,8994.4
Zimbabwe,4994.62,4240.9,3590.69,3040.76,2541.6,2100.42,1808.29,1640.06,1555.29,1511.92
