"Crude oil production, per capita (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,0.04427297316,0.03568719445,0.03299812056,0.03094082118,0.03004552851,0.02816702151,0.02519547583,0.02237672974,0.02029826621,0.02015283516,0.02241561727,0.02334894559,0.02239887694,0.02666100907,0.03063550236,0.03036222778,0.02637641845,0.03119790543,0.03957820547,0.04008141482,0.04199242724,0.0450281447,0.06924963889,0.08512143487,0.08102097408,0.08213634739,0.07619240722,0.07911042828,0.08149283636,0.08592965982,0.0919111855,0.09575270035,0.1045557698,0.0988891731,0.08817787533,0.08047544175,0.07216881755,0.09619319977,0.09625964402,0.09386620319,0.1041567136,0.0976437872,0.09850367365,0.08742312074,0.07588999416,0.08432895936,0.08730324096
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,1.435994748,1.458144126,1.488132238,1.527138462,1.542027255,1.560798548,1.610805233,1.570211935,1.411579865,1.260040482,1.295566398,1.461316512,1.664806119,1.699618655,1.997762686,2.361283851,2.691092685,3.231315902,3.503693277,4.026042595,4.127017187,4.317382596,4.418896294,4.602255651,4.937419482,5.094535773,5.08260447
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,245.7871395,234.379203,214.8904716,207.4636727,202.2766885,201.5542004,200.3847356,192.2568801,165.2446201,130.93295,100.9248826,98.47908498,85.48407027,87.52284309,99.04322782,63.06169443,40.55056868,28.1796066,34.71893035,36.58344001,31.85238212,32.35357755,26.90062436,31.08533551,32.83371532,22.41561581,4.538141396,28.04229474,53.77687392,61.24682552,64.43162082,64.56888806,62.61227427,62.37098405,55.22044124,56.71202131,53.17186665,47.93133177,54.43274996,56.36186305,57.58930096,56.90482356,53.07157209,53.29453855,45.70608349,44.83060623,49.6945339
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,35.72514709,42.43622708,46.82003977,67.54900235,77.25596741,80.01249843,62.83204634,49.2264398,46.21013946,31.14209957,29.00722259,36.345695,37.14755725,34.18710077,34.56601427,28.82377916,18.37909861,16.38185169,15.30746962,13.01016025,12.56974468,12.64070832,11.60910146,11.93829144,12.91716496,15.51336332,15.35380917,15.45444838,14.37860828,14.40124039,14.21835612,14.10464053,14.15665505,13.80470778,13.04530375,13.29432605,12.58112089,11.88793354,12.60234565,13.5416859,14.19719641,14.40673181,14.11754623,13.86688832,12.30842766,12.18607165,3.492568498
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,0.01846753648,0.04040772011,0.07882664022,0.2947756144,0.3887261252,0.3702224282,0.3217553444,0.3802515682,0.6349266969,0.678162496,0.7822822692,0.9976957371,0.9558581113,0.8726933403,0.9987212494,1.232338558,1.393559639,1.34872873,1.472699486,1.413073026,1.495594645,1.579983512,1.622858761,1.644792856,1.627994608,1.552009799,1.53986975,1.608193761,1.590512771,1.537893002,1.524166993,1.417424331,1.366704438,1.301501182,1.330208403,1.373509988,1.387439047,1.250352228,1.163230074,1.171032403,1.165429166,1.094476471,1.050149594,0.9212436105
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
