"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Azerbaijan,0,,,,109.7857601,159.6097527,498.5368569,1993.295476,2989.680349,7977.324202,11984.20767,25030.21729,413988.8918,,,689640.7658,1043525.574,1282575.145,1527566.88,2484249.496,4226380.18,
Bahamas,0,,,,,2685.916349,4955.69733,3914.635311,6786.549283,11067.34825,23812.08,35589.508,55044.18,62040.2,69242.58,79839.5,84257.16,88792.47,105236.6794,114635.6904,147437.11,
Bahrain,0,,,,,1935.529548,4847.986562,9762.323784,19670.84228,29585.55256,39272.69035,96624.72893,115898.2636,139495.8442,144150.8322,154410.9518,229174.2544,304658.7303,546700.5005,619876.34,694009.25,
Bangladesh,0,,,,,,,919.0578082,4598.769634,46014.12635,92061.60448,171274.5912,187865.9734,223717.2149,275930.8387,339712.8949,1423535.01,2591222.49,3636957.5,4557934.495,5501608.847,
Barbados,0,,,,,20.42063646,1029.108555,2076.776033,5239.700522,6338.829065,10630.0267,32012.60489,74827.6534,106919.4896,134433.606,151673.3438,170769.06,175736.846,180999.7,187379.25,191878.362,
Belarus,0,,,,50.01954008,300.1364226,3001.420967,5002.278981,7503.166021,50020.21095,187115.3088,430483.4926,891819.5543,,,,1583845.326,1916460.916,2226558.7,2643159.189,3041748.457,
Belgium,100.1607159,2002.512292,10008.57352,20008.59613,69999.86776,99958.36999,299755.9075,499407.4797,798808.6468,1397655.418,2994875.942,3194940.666,4750689.783,5148463.068,5578276.43,6228738.403,6722850.507,7300197.667,6997430.22,7462656.6,8034049.5,
Belize,0,,,,,100.0149811,1998.702273,2995.258017,4987.367241,9966.448425,14940.12309,,14930.65214,,15924.04568,25876.02952,29856.45684,31833.2664,33843.7047,35823.1854,43627.78,
Benin,0,,,,,,98.5720393,1475.992812,2946.708252,9804.784976,14681.22699,24426.54111,48770.25995,68162.35947,87484.20322,97027.45148,121055.3882,145215.0567,154585.63,192679.6704,277001.6196,
Bermuda,0,,,,,4198.974275,9997.083556,14994.92026,19992.61614,24989.21415,26987.11504,29984.3218,32981.78894,35979.08686,38976.21356,41971.20329,44965.05017,47957.62016,53212.711,53947.665,54686.8161,
Bhutan,0,,,,,,,,,764.0405487,2290.443266,5084.448272,10155.76585,15216.83647,20280.46648,25363.70547,30484.22806,40763.9952,45939.2765,51169.7805,98727.84,
Bolivia,0,,,,,4991.143321,14975.93888,34950.84967,49938.52938,79907.9941,119853.949,179745.4385,269533.0445,309314.736,398834.7418,478149.0693,577075.3914,993595.671,1041679.868,1397602.063,1985969.8,
Bosnia and Herzegovina,0,,,,,,500.0015126,2000.03625,5000.162348,7000.266293,40001.29955,45000.19208,99995.49794,149986.1224,584937.196,806362.7781,950025.1224,1055106.293,1308125.242,1421923.564,1955277.48,
Botswana,0,0,,,,1023.069498,2556.590625,5110.253386,10214.23184,19396.93374,51026.70221,61222.42496,61220.9636,61221.22858,61214.57985,61194.84516,81547.55042,101774.112,122176.375,121866.924,120416.7,
Brazil,0,5002.849364,20012.60461,40028.64295,60049.75548,170164.1922,740838.3146,1311723.746,2503663.726,3505320.092,5007203.697,8009871.983,16403933.51,23989344.64,35071405.33,39099569.36,52963579.27,58609644.02,64799077.08,75791320.44,79245740.06,
Brunei,0,,,,,2945.606553,9817.159582,14721.48951,19621.97272,24520.79006,29421.08909,43190.30257,52364.57011,68341.68868,105770.6129,132417.8564,156223.2226,168672.8084,176959.7,192000.13,199460,
Bulgaria,0,,,199.9996959,1649.997852,10000,60000.10879,100000.3781,150000.904,234601.9775,430004.619,605007.2317,716654.0728,943950.0868,1412178.334,1545501.266,2083090.968,2570191.201,3011477.437,3394203.3,3464629.684,
Burkina Faso,0,,,,,,105.5818327,2111.858378,5278.735305,7383.795859,9476.245219,19950.74978,26160.06094,50024.56553,55199.66309,66720.6348,92515.77814,112958.4525,142740.3736,180624.6127,230561.996,
Burundi,0,0,0,0,0,0,49.3426295,493.2484374,985.9775587,2463.476332,4924.084088,6889.713124,7869.367063,13764.59892,24572.22989,39313.07788,49150.85726,53954.467,64341.4185,155246.207,176039.829,
Cambodia,0,,,,,,,685.6773972,1956.733726,3908.093538,5852.884028,9737.776089,29156.50078,33937.10811,39639.49369,42386.49173,63302.55099,66982.2993,70495.4844,74082.8859,178142.013,
Cameroon,0,,,,,,,990.3964379,1979.30559,19778.38193,39528.06399,44438.30338,59212.11629,98622.85352,167545.9512,246216.1579,364127.1287,537655.6446,637798.452,736321.0752,783955.56,
Canada,100000,160003.0915,260011.862,340021.5353,690036.061,1220000,1999829.101,4499135.148,7497596.156,10994823.89,15732358.25,18642276.07,19267447.73,20292696.8,21068712.44,23134293.76,23622656.07,24139408.49,25562540.72,27041384.74,27757539.89,
Cape Verde,0,,,,,,,994.9396737,1991.174037,4979.549509,7968.417048,11952.30849,15930.82123,19895.81351,24827.45709,28723.32533,32564.77441,40009.85687,97474.2,122905.25,148799.7,
Cayman Islands,0,,,0,0,1294.945322,,,,,,,,,,19879.81135,23901.84,28433.08,33729.95,35967.135,37111.8,
Central African Rep.,0,,,,,,199.2604474,497.2013376,992.353567,1485.397877,1976.44249,2958.784336,4921.992109,5895.927518,8829.450907,10775.77774,12718.737,15637.47665,42379.61,77726.304,101224.173,
Chad,0,,,,,,,49.02422599,328.2409939,979.2054827,2935.952574,3912.643841,14665.94257,29320.70243,34196.42943,39070.96726,58593.16037,87872.76326,126779.7678,164056.335,190862.536,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,4999.300088,9998.95412,19998.57364,49997.90424,99997.7377,156872.9281,249999.3018,625014.6492,2559690.12,2980402.2,3488262.011,4065562.38,4545719.353,5082119.652,5681323.213,5971338.186,6264756.189,6578825.956,7701159.6,
China,0,,,2005.081341,14035.15972,60149.50994,160399.1262,400999.741,2105102.278,8919464.192,22538411.74,33732185.84,59097714.83,80190592.55,94940305.78,111449553.6,138335407.2,211437109.6,300190268.4,385788649,460077957.1,
Colombia,0,,,,38366.09143,68549.33023,122478.2452,207959.6138,432910.8367,663857.7811,877807.0837,1153741.752,1889594.256,3083539.288,3865021.81,4737587.799,6703780.951,9668807.286,11521480.19,13696213.2,16897616.97,
Comoros,0,,,,,,,0,202.1378162,811.7315435,1528.456676,2559.025569,3291.320451,5167.771857,8307.422248,20860.10028,21991.78939,23230.90276,24264.0354,25728.45182,37472.25,
"Congo, Dem. Rep.",0,,,,,,49.01228138,97.93817024,195.6837994,488.6943413,2928.994739,5851.435101,48707.07291,72986.5593,109395.7539,136682.5466,174933.3859,224857.0475,274889.5644,359544.1024,474953.724,
"Congo, Rep.",0,,,,,,99.10893872,100.2862704,101.5434398,513.0399288,826.4245721,1035.451134,5171.81554,15480.26401,37128.28774,51705.22096,72861.1449,102953.8625,164483.4145,177365.43,202144.95,
Costa Rica,0,,35.90306276,2692.60299,9473.632245,14459.46336,29917.19793,59839.58636,99737.97497,149594.3018,227322.3564,382660.9077,812345.9647,845967.4375,880679.9824,951087.4491,1099836.82,1264540.672,1460193.84,1576018.207,1700493.755,
Cote d'Ivoire,0,,,,,29.39191584,1269.028379,2916.913642,9681.859769,19278.0217,38380.17105,66853.12112,85547.49574,132429.5848,150593.3989,187280.5558,279452.9988,335641.572,379740.14,445050.598,513182.8,
Croatia,0,,,4499.976669,12499.94365,24000,40000.28346,80001.17613,150003.2405,200005.1543,299387.3758,518011.3274,793163.9088,1013873.543,1375347.25,1472074.16,1683953.822,1834132.328,2235703.822,2481993.173,2656088.656,
Cuba,0,,,,,9.991451974,3498.161974,7498.963735,25008.16117,34831.15122,60094.60412,120286.1558,421379.2423,587442.9555,944634.5653,1095945.087,1257142.926,1317309.51,1457937.507,1613934.592,1790018.661,
Cyprus,0,,400.837368,461.5696371,929.5873953,3508.270767,5880.154276,38999.80895,80731.34098,104974.3533,143903.2198,180938.9808,277500.3168,300338.5206,343647.1698,338783.5922,375595.8576,433396.1079,455679.1231,543164.6013,584862.9355,
Czech Rep.,0,,,59991.72782,129983.5294,149999.3895,200053.3022,300199.8711,400448.7694,701068.3769,1001808.713,1502888.876,2443133.35,3498369.161,3621591.075,3604819.023,4917040.923,5355813.533,6534622.962,6726321.261,7220731.641,
Denmark,5001.057404,10003.68707,20011.34432,30023.24887,70066.27437,200210.5259,300334.784,600693.5056,1201363.978,1627645.852,2091612.337,2300828.651,3450550.748,4106209.786,4370446.604,4484047.966,4716051.026,4650401.239,4673814.662,4797800.582,4924085.982,
Djibouti,0,,,,,100.4390844,200.8458518,552.1871673,652.3986498,752.5731872,1423.607718,2575.086608,3726.711669,4880.080404,6201.611319,7708.680264,10461.10042,13599.1386,19337.3736,34883.6,57766.54,
Dominica,0,,,,,391.6190393,829.6624368,,2059.99883,2052.603029,6141.478249,9198.413516,12768.63494,16345.33054,20946.9111,26566.20612,27066.54575,27561.42601,28054.2444,28540.8244,32150.6965,
Dominican Rep.,0,,,,,1364.265095,6040.03312,11686.99628,19472.60771,93441.04862,318305.9447,386519.9714,604633.9602,710491.8803,809421.928,1063834.102,1395168.676,1683343.076,2012242.174,2715687.374,3924269.596,
Ecuador,0,,548.9236772,1796.404135,3892.18195,4990.243508,9980.98593,12977.06805,14982.10478,100024.7341,180507.511,335195.0513,543993.6245,579294.1006,638575.1949,804812.7948,982058.976,1495769.868,2642667.12,3508345.236,4194774.31,
Egypt,0,,,585.6741045,3895.842275,19438.16077,38798.21271,58087.94432,96649.3734,193021.6136,433805.6595,577933.1213,1908749.79,2887024.578,3752002.714,8680587.574,9485956.745,12349122.31,14106025.97,19355094.09,21691775.99,
El Salvador,0,,,,,,5003.16877,15004.19874,24996.82336,49974.08761,69940.98885,89490.405,113776.427,150213.075,192921.344,254121.546,334096.785,372763.0348,617866.5024,746027.2253,984685.887,
Equatorial Guinea,0,,,,,,,195.9035255,460.8248419,490.9773352,688.7472064,887.7707287,1780.814844,2977.393631,4977.450183,6987.720246,8004.899311,10026.87594,12054.3514,14507.7495,42024.06,
Eritrea,0,,,0,0,0,0,300.7550535,300.8039833,902.4946885,5014.014341,6016.665295,9024.500755,30080.71107,50137.07069,80233.09,100321.4242,120436.5125,200869.3526,,283698.504,
Estonia,0,,1000.385051,4502.742487,17013.73145,40036.87691,50046.95448,80069.78776,150109.5798,200106.8716,391718.3086,429663.8819,563278.5888,612706.006,717374.868,827029.1265,853598.5338,888847.6387,947285.941,972681.025,993784.74,
Ethiopia,0,,,,,10.01040505,1001.191136,3003.958923,6008.211864,8010.169481,10009.65754,25011.66899,49987.00597,74897.73726,112658.8776,163127.8627,236029.9294,287558.2132,357508.8855,438413.8554,622121.5575,
Faeroe Islands,0,,,,,0,1006.724482,2012.883633,5029.251701,10049.50054,15056.94536,20048.43662,25020.7867,27967.00892,31879.57418,32768.45203,33621.99102,36905.0056,36724.7529,36556.275,36628.416,
Fiji,0,,,50.42100933,60.54893164,70.70324871,505.6466267,1772.365595,5069.680124,7604.980849,12150.23931,15138.43799,50226.29446,54969.60103,60719.56835,69535.64174,79492.73397,91025.98644,102925.422,114637.4435,127544.3286,
Finland,20000,69999.97205,94999.98113,129999.9486,250000,710000,860008.5578,1000031.718,1311065.668,1667071.049,1927000.745,2235090.679,3244677.512,3606773.859,3783149.901,3905985.922,4194844.618,4273610.162,4448176.658,4406241.295,4661254.019,
France,29929.40697,79803.35015,159587.3165,339087.812,518583.7347,947462.4102,1500227.336,2479408.585,3696826.482,5361267.71,8448513.599,15635143.67,18039953.46,21750455.68,23723604.53,26149202.12,28767899.07,40807003.5,43891158.31,44697966.37,50292729.03,
French Polynesia,0,,,,,,200.2947491,481.6529103,3016.267796,8054.28569,15106.79867,15094.33648,20090.53039,35078.67232,45001.43076,54904.56812,64808.42623,74718.5355,89600.0367,119387.51,132674.36,
Gabon,0,,,,,,0,551.2282946,2003.962208,3005.20181,15022.66886,17022.66697,25030.25667,35039.62784,40043.79233,67073.39897,76694.67448,82101.21093,90064.251,98993.438,108844.9749,
Gambia,0,,,,,103.8063837,411.2845942,611.1976753,2524.747823,9021.446177,11956.45441,17855.17205,24724.32006,34549.12238,48313.15924,57124.74434,81040.64784,98744.29731,112564.1616,128316.3042,159012.248,
Georgia,0,,,,,600.0435597,2000.200327,3000.556294,5001.383076,20005.89126,23004.92017,46494.62149,73455.66651,116934.8426,175641.9323,272177.6828,334405.9662,364757.9656,439841.2018,877787.541,1170753.636,
Germany,99578.34918,199348.1259,349460.0242,375201.8853,751826.6128,1505648.269,2511060.075,5524971.151,8134457.604,17164904.18,24882867.42,26075390.96,40243315.09,46108618.05,53418007.22,56713741.77,59558077.18,62019248.83,64330711.38,65100238.35,67488021.3,
Ghana,0,,,,,59.13520564,984.5347038,4916.896931,5893.911854,19631.89559,29441.1245,39266.11242,167006.3279,245899.9372,362586.1471,396267.578,603743.2541,874427.5155,993380.3152,1296047.469,2329419.097,
Gibraltar,0,,,,,,,725.1362782,1137.490002,1615.689274,5232.120394,5846.401871,6625.063402,8047.354039,9468.889766,11359.64055,13243.96557,15119.6656,16986.46,19037.5299,19008.6,
Greece,0,4999.453078,4998.774359,19993.31664,39988.65855,79997.63871,150066.0424,200220.9944,350682.5429,752211.5308,1004073.363,1206395.24,1624458.098,1977770.816,2387743.306,2683947.36,3618224.25,4038551.26,4313470.274,4802476.704,5043549.624,
Greenland,0,,,,36,30,1000,4434,8187,12102.21603,17841,20000,24999.55845,30999.45466,31999.43901,33000.57703,34002.37447,35002.8812,36006.5394,36004.1032,36096.48,
Grenada,0,0,0,0,0,0,300.1400755,1001.179152,1502.95486,2506.652817,4125.760671,5216.871462,15047.22829,19054.44393,20051.07932,21047.94146,22045.78742,23040.7272,24042.9914,25035.3285,34961.3502,
Guam,0,,,,500.0034845,960.0065953,2000,3499.953109,6799.864961,12999.57514,24999.03321,39998.22338,49998.75231,54998.9885,59998.91515,64998.4576,74996.49188,79994.46194,84993.22138,89994.42938,,
Guatemala,0,,,,,300.27048,2001.626669,10007.33351,50033.21191,65039.59514,80045.56794,200112.8614,400237.9649,550346.6682,632642.964,724877.778,847268.76,975195.466,1136340.218,1305126.939,1510837.545,
Guinea,0,,,,10.02747696,50.58036238,152.1292385,303.570016,503.2575749,5002.225606,7962.719391,14872.50219,34593.80023,39431.76738,45230.58376,49027.6298,58661.64904,73116.59776,87943.812,91755.4398,99815.9,
Guinea-Bissau,0,,,,,,,191.8534883,287.1815704,1432.323446,2854.786491,3789.115305,13191.76374,17804.92073,24243.8238,26004.87836,28708.01544,31421.9579,34234.35948,34183.44792,37122.988,
Guyana,0,,,,,,480.0699107,962.0058426,1929.052729,29013.72623,48468.91078,97114.53759,,,,,,,136787.196,179970.107,225593.407,
Haiti,0,,,,,,601.1279518,,2002.092274,6002.690675,19994.21129,29965.74294,79830.48896,149504.3428,497598.4909,596000.2725,644202.1281,691808.616,739961.232,799003.521,836434.7739,
Honduras,0,,,,,2050.256728,2494.428128,9978.68187,17963.39545,34931.68716,74857.58384,89831.79374,168247.4026,317248.176,377615.168,447150.795,547385.982,672928.986,701063.232,730092.454,842898.1116,
"Hong Kong, China",0,7084.442624,50242.04748,79723.81115,168388.9794,197763.1448,297670.6471,674684.5425,954777.7353,1420892.265,1887645.221,2640819.467,2945441.715,3561208.583,3839563.985,3874809.771,4154457.312,4453561.44,4619887.456,4849655.344,5078296.08,
Hungary,0,350.4685958,5005.882194,20015.07085,50014.00934,69993.81455,99967.29786,199904.1595,399784.4315,599691.8776,714705.1036,1479684.295,1693550.809,2192095.162,2804623.018,3930878.959,4736247.344,5352690.876,5612256.16,6182388.871,6516325.092,
Iceland,0,1299.994949,3999.984608,7000,18000.06795,30000,39995.11386,74972.24634,99947.05426,114965.3126,125055.5882,140272.1554,226902.7096,240876.5336,245771.7552,258166.41,269434.051,276983.226,282706.06,293454.99,304129.2,
India,0,,1012.972197,2025.163468,10122.05303,252973.9048,455255.9957,708073.4736,1415953.222,2831310.292,5559654.504,7072638.388,16742760.42,18650651.23,22191838.75,27225078.6,32460714.65,46371879.35,52159829.14,61836308.89,91846074.53,
Indonesia,0,,,,2082.275269,52062.38604,114526.003,399689.7461,530627.5132,935987.8514,1975110.813,4364313.796,4674319.92,5295346.418,5840411.903,8187516.65,10955189.12,13450875.26,18602209.18,20647905.64,23747222.76,
Iran,0,,,,240.1345286,2497.69939,9624.739265,28968.07944,63016.37512,243337.8048,610421.4229,984239.8994,3109384.141,4719208.688,5160109.893,5648292.567,6182990.734,6764941.661,7402423.398,8096282.284,9616571.9,
Iraq,0,,,,,,,,,,,24552,126165.335,155489.892,239566.707,246235.149,267999.1841,269333.4033,298211.36,325680.9084,791789.775,
Ireland,0,2009.231629,6022.681978,10025.3533,20027.23206,40023.36478,80020.65144,150033.2375,300093.7518,410121.1466,678992.5028,894504.8294,1017399.389,1376004.609,1511291.552,1730161.276,2316927.83,2598356.719,2844162.644,2972927.558,3122225.15,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,4984.767486,9963.546097,14931.4148,19886.47608,29796.53855,49610.88781,118973.4297,247721.064,594214.4355,791705.4789,1255548.658,1065537.824,1108793.972,1244593.134,1473531.857,1663958.671,1883406.45,3330549.497,4212131.224,4583111.009,4985164.8,
Italy,9970.983575,19935.58529,39857.00833,69726.85574,109546.7053,298747.6813,582644.3048,1295197.449,2591587.754,8177530.571,13170038.83,15570838.31,16122682.31,16803802.01,19366881.14,20534922.1,22445289.79,24268109.62,26669675.6,29419417.75,32503695.21,
Jamaica,0,,,,898.0932422,2695.064282,14688.03521,20015.67672,50132.02062,60258.58393,80438.42113,100605.4512,160184.048,206408.982,266489.7,343251.584,442198.776,571607.862,641986.552,663578.082,715414.572,
Japan,24809.26759,49618.69637,119085.625,496193.3249,992389.4046,1984770.771,5458136.831,11462237.15,16811229.5,26852833.05,37704451.75,48509407.43,58731229.16,61117628.08,78803167.5,84583505.61,86862682.19,94001006.1,95414658.56,98710329.9,98951089.44,
Jordan,0,,,,,1018.111538,2026.7654,27609.94862,61141.92359,120068.784,126628.0229,231053.4666,301178.5249,431494.4971,607463.4462,690873.2149,762013.8524,1133488.6,1345258.96,1566653.92,2351146.26,
Kazakhstan,0,,,,83.99852535,1799.996383,5000.440451,10002.60454,20008.02277,70024.01706,99999.6189,149889.0245,249568.8302,299243.4831,398976.9477,449344.4853,500463.5528,622138.9386,1722087.95,2883079.472,5448964.78,
Kenya,0,,,,,199.517221,2491.887637,9958.755746,14925.82776,34804.84728,99405.43189,198802.5125,397694.1423,994519.1173,1049230.023,1104727.715,2752918.184,2980077.057,3334084.741,3962003.675,10492784.64,
Kiribati,0,,,,,,,,499.9260145,999.8424949,1499.767921,1999.69613,2178.675,2663.28,3163.93,3679.52,4209.03,5702.58,6757.24,7842.16,8959.14,
"Korea, Dem. Rep.",0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Korea, Rep.",9999.42163,20005.34167,43031.51104,110119.5619,138137.1351,366089.6327,730088.5593,1628562.466,3085402.003,10774894.38,20556467.93,26155173.56,27573995,30539268.24,34045918.17,34577432.61,36916099.47,37429495.68,38664500.31,39138561.17,40329659.81,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,1635.815253,2483.447139,3303.005911,13931.20931,36506.36894,53834.92024,88333.36742,130641.9867,171855.7945,212134.778,476462.5571,501985.679,586970.7231,677008.0331,772692.8588,872989.0275,975165.7428,1046799.99,
Kyrgyzstan,0,,,,,,,,3512.179378,10028.53267,51599.86462,149785.0318,150043.9692,195764.6172,255454.1655,531154.3974,625649.1846,721031.5839,817044.328,,1066844.6,
Laos,0,,,,,,,,494.5616849,1972.500556,5904.277823,9826.070812,14725.6176,18639.08737,20482.69135,48923.96614,68340.1669,97274.714,213781.0355,366728.58,434062.58,
Latvia,0,,,,,,20014.10877,50083.63721,80223.48221,105405.3966,150707.8613,170903.7177,515664.596,629773.905,894758.5482,1060542.88,1229778.804,1350077.748,1508075.472,1549045.3,1601214.66,
Lebanon,0,,,,,2480.1124,4960.699994,44645.982,99207.16937,198406.0448,297617.8351,257959.2683,270795.28,314833.68,359823.78,410915.388,614618.55,774875.0128,938805.9495,993847.232,1310555.07,
Lesotho,0,,,,,,52.0585535,104.1618547,208.2795231,1040.759568,4159.612819,5194.230359,21790.08615,31093.98802,44533.11376,53301.47269,62143.63187,72565.19248,76161.3496,79950.2772,83812.8748,
Liberia,0,,,,,,,105.973787,104.1586643,307.1177289,504.0473696,993.8414409,980.1175062,967.9908421,959.0894248,,,19172.44992,19389.838,19563.2379,279588.54,
Libya,0,,,,,,,,,6860.344546,9784.553085,19541.02349,121968.2623,155954.1867,199704.1696,226044.9655,253492.7237,284408.5252,553465.8,676368.036,889715.68,
Liechtenstein,0,,,,,,,,,,11996.34848,14996.39065,19997.62117,19998.82381,21996.15955,21987.32573,22471.74577,22951.18984,24864.7,26829,28825.6,
Lithuania,0,,,,,,9998.385408,34999.41295,70004.63435,103000.6138,224949.1619,249814.4854,612498.9138,893161.747,1071832.338,1237183.926,1491675.905,1686142.457,1855281.008,1996639.567,2064627.153,
Luxembourg,0,,598.6671705,1197.075138,1994.901088,6483.438295,22949.25789,29953.28672,49943.97371,74881.24025,99672.25346,158941.4966,176444.1888,243478.47,297045.0144,320037.9,337596.4086,375433.4888,400280.0163,434486.8647,456703.2,
"Macao, China",0,,,,144.979259,1115.648921,2944.061707,9717.746797,29234.32656,39085.80062,58771.00826,99153.03501,113140.5532,118273.7332,148015.2425,167826.6451,228875.888,239336.8984,255291.1812,286845.3,308796.608,
"Macedonia, FYR",0,,,,,799.9987777,1499.610902,9993.992499,19981.05594,29964.24375,49937.28916,69921.20285,350456.7915,386705.0833,496874.7316,539079.8305,584732.6442,743395.686,944982.0496,1064789.311,1069432.197,
Madagascar,0,,,,,,500.5981783,2004.082653,9028.017954,25109.50972,30174.61452,35260.10269,55506.76735,71286.21253,91190.43037,101542.5342,111952.8612,123372.5415,322513.653,328023.645,352134.923,
Malawi,0,,,,,,,481.7502031,1916.311335,9532.816899,14235.92294,18910.50217,25452.37839,33861.94253,43343.62457,49301.47937,56098.29046,131255.2611,98035.791,154532.503,336759.0066,
Malaysia,0,,201.2247157,5031.402623,20126.12291,30184.79892,181034.7569,502584.8342,1507160.455,2813985.08,5007215.342,6397588.632,7927815.246,8763835.123,10812546.18,12692330.63,13728623.95,15067486.09,15346120.46,15623711.81,15989772.57,
Maldives,0,0,0,0,0,0,576.3116559,801.4667657,1503.058899,3008.074541,6021.774265,10048.50787,15094.92283,17132.79989,19171.0311,20281.822,33044.93714,49476.857,71370.624,77311.272,89395.455,
Mali,0,,,,,,207.4290946,1046.044741,2110.526697,6681.645607,16101.00488,21638.08339,27249.75377,38423.44085,55280.86705,66813.89414,99176.74784,113568.3666,227021.843,286268.4096,414984.843,
Malta,0,,,,,869.7793719,4093.354609,15349.12989,25575.96946,30677.50797,52116.50116,71465.98356,116328.9648,128074.6068,140966.7546,168793.258,166119.0444,193513.152,207304.1568,244398.492,262404.45,
Marshall Islands,0,0,0,0,0,0,19.04447132,,,503.1300719,800.0460282,889.6749848,1215.972573,1336.064611,1870.732015,2018.360367,1981.677651,1947.700975,1917.837125,1893.444658,,
Mauritania,0,,,,,,,101.199393,1012.968413,3041.860603,5074.898031,7112.36013,10171.63316,12219.83382,14273.31632,20415.54671,30662.99555,46057.28973,61621.2498,77009.964,103793.19,
Mauritius,0,,,,,,2114.168602,5528.656659,30102.30336,55104.07001,87089.12599,106097.8193,125177.883,150339.4109,170520.7329,190675.7711,211536.228,257936.43,280007.4669,290741.1859,368055.4276,
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,5052.916492,15148.3712,25222.53848,39304.8672,94638.79747,188098.0741,598714.5707,1227834.247,1829828.961,5079330.969,7131596.66,12213464.21,13403431.4,14829811.35,18325854.58,21049442.56,22728838.7,24017156,29509589.39,35217856.09,
"Micronesia, Fed. Sts.",0,,,,,,300.0139019,616.0285338,2000.074349,3000.055952,4000.149394,5000.279632,6000.55701,10001.1079,12001.32214,13000.47525,13998.46996,14995.77745,15992.1783,16988.766,22212.8,
Moldova,0,,,,35.99579876,150,200.044535,1200.641618,11009.89283,25031.56654,52683.11562,60110.67841,150308.5467,288628.2339,406883.0898,551104.1465,728899.4102,750829.93,850240.3001,1333055.61,1429154,
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,,,,,203.1983865,422.304435,2644.509633,3451.182416,12146.68388,30278.40316,40248.33292,50150.09215,,,,,,333167.5026,341669.034,355524.129,
Montenegro,,,,,,,,,,,,,,,158922.6221,180610.9324,201821.9767,232600.6174,257803.0398,282790.9704,328374.8,
Morocco,0,,,,,999.1835063,1550.739314,5994.822047,39961.87478,49947.06678,199764.9505,399489.0022,699016.3577,998307.8576,3491916.582,4584535.729,6070167.842,6667407.785,10367400.94,13065058.41,15656191.88,
Mozambique,0,,,,,,499.4408526,1996.94662,3493.185918,9976.607051,19946.55939,29912.30889,49845.67588,82737.29317,137562.9588,177450.0845,179473.0354,198483.0666,348393.24,612610.6676,975394.9005,
Myanmar,0,,,,,,,,,67.50563579,,131.1117995,194.5206687,11031.89032,11212.29685,30219.39594,84844.13079,101867.6035,103950.693,104723.0228,,
