Suicide 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Ireland,2.632547,2.978489,2.097272,2.779827,2.738287,3.631729,4.02808,3.148847,2.387988,3.278104,4.13346,5.325009,2.565758,2.601217,2.158104,2.48053,1.459135,3.476518,3.81976,2.541703,3.050295,7.274313,4.148786,4.53964,6.593192,8.406543,8.741422,6.79138,7.840224,6.836302,11.16514,10.59584,12.4094,11.58737,9.8371,12.41586,11.16904,11.02426,9.590112,11.93337,12.04901,17.26353,11.96827,14.11721,16.54684,17.90125,16.9177,17.46506,18.56876,12.98506,16.94486,17.12751,14.66594,14.54613,15.46003,14.88266,12.53418,14.17196,11.6775
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,10.03345,7.35452,9.007144,6.311434,7.895718,6.798826,5.810388,7.865565,7.689133,7.780557,6.722917,6.749758,6.104997,8.310374,8.785537,8.418149,7.936951,8.79623,8.163265,9.196077,5.600243,6.102939,8.11734,5.702028,7.048289,8.352458,6.228642,7.970655,7.308863,6.678968,6.751467,6.081507,,
Italy,,6.754427,6.184774,6.072623,5.95402,6.135146,6.354175,5.559796,5.662383,5.596795,5.174072,5.043039,4.920403,4.642968,4.876041,5.337406,4.673147,4.798435,4.89703,4.790728,5.005073,5.717282,5.452454,5.050979,5.016004,5.139074,5.065539,6.036721,5.981088,6.698804,6.264764,6.204979,6.50651,6.039121,7.051203,6.836683,6.953537,6.678346,6.443338,6.602313,6.886643,7.168752,7.408547,7.58989,7.496843,7.542381,7.788869,7.565978,7.391711,6.913804,6.940977,6.704657,7.045141,6.858342,,,5.878649,5.725131,
Japan,19.25097,17.75361,17.43642,18.58905,20.9446,20.93792,19.82783,19.81762,19.95583,18.87772,17.07683,16.27406,15.07478,14.71867,13.45048,13.24697,13.97735,12.97712,13.21573,14.16559,14.84931,15.30795,16.52929,17.54659,18.51414,19.54313,19.3276,19.58637,19.61091,19.78872,19.60975,19.17465,19.55697,22.97909,21.82773,19.78288,21.03529,18.96509,17.48581,16.15722,14.93648,14.51032,15.29583,15.56944,15.47721,15.76415,16.15506,17.39849,22.50358,23.05669,21.94439,21.7834,22.6658,26.14899,24.35557,25.51596,24.53658,25.30481,25.84254
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.11786,39.1101,,,37.53859,25.07498,22.80983,23.55964,28.15642,27.05803,26.13152,28.75517,34.12476,33.80988,42.88955,46.33194,46.38411,41.34801,40.42614,44.79324,43.84178,40.3919,43.37981,45.11284,38.00775,38.30431,41.21406,38.43939
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99956,11.30533,10.68085,9.059886,9.589796,9.457858,9.487961,10.66256,12.37416,11.87679,12.81694,15.56306,15.92696,22.83725,18.1349,16.1753,15.88696,19.36967,23.47117,22.74785,23.05845,18.44028,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,1.076152,,,0.6460455,0.6055093,0.7945886,1.627755,0.3453227,1.337947,0.8647478,0.2947335,1.317361,1.953595,2.057216,1.44491,1.094486,,,,,,2.447623,3.789919,1.460183,3.191621,2.529912,3.150503,4.421322,2.073339,2.48763,2.917673,,,,,,2.858457
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.12012,28.09617,,,23.23615,17.62282,18.01438,17.97337,20.0931,21.64349,22.60068,16.62341,22.09799,22.92835,22.12088,16.55699,15.3612,16.99449,18.96544,15.94251,16.48493,17.42483,14.95228,14.93536,14.78186,13.84002,12.44129,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.05294,50.29804,52.52116,46.92103,45.1773,40.25214,31.47388,27.84159,27.33119,34.10781,34.55357,38.24717,40.88676,57.06993,56.67583,53.13096,46.82515,44.60411,45.73598,40.45945,39.42611,37.60402,35.36504,30.05645,28.33114,27.25953,23.81361,24.57,26.5413
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.74675,52.62986,,,57.11978,40.40648,44.28802,40.15888,42.47918,37.689,43.63935,48.22178,59.52115,68.84447,66.04633,64.77061,66.89008,55.68999,58.62526,60.2305,57.37127,58.66953,54.37423,50.31667,47.46519,33.69863,36.90798,42.2545
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22923,6.961048,9.365328,7.395014,7.756271,8.960732,10.59348,7.405015,7.57019,11.48856,5.791858,7.345484,6.032662,,,,,
Mauritius,,,,,,,,,,,,8.364044,2.684266,2.661044,4.433208,5.287474,9.983502,1.77152,0.8081021,4.221369,3.167227,1.621049,2.453019,5.981692,3.195716,9.535692,7.351427,6.563456,11.92748,12.72543,5.642833,2.244266,2.742271,1.524757,13.67688,16.32403,4.818585,19.91376,27.32412,20.83165,21.43461,20.28209,24.06475,21.56229,18.59981,21.85872,23.72511,19.23924,18.51734,26.82731,17.5654,14.4702,15.38582,9.886547,13.53351,11.22063,11.40654,15.72831,8.493299
Mexico,,,,,,1.809677,2.331887,2.526636,3.29479,3.076739,3.224868,2.921311,2.644027,3.14365,3.241351,3.002751,2.578386,3.309438,3.181928,1.325677,2.01439,1.204948,0.9924388,1.143257,3.275418,2.929822,2.926586,2.706348,2.744357,2.457283,2.397767,2.815576,2.813601,2.583376,2.05823,3.361948,3.506581,3.697626,2.952324,3.592942,3.582304,3.704924,3.903718,4.203242,4.319474,4.411084,4.406269,4.761977,4.702879,4.583791,4.653339,4.913677,5.012164,5.377225,5.267231,5.561986,5.197773,5.506886,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2699,32.69826,,,34.49538,25.74638,24.63777,25.29942,24.51657,22.25365,24.71193,20.99974,24.40876,22.9309,26.78798,26.99715,27.58385,19.55717,20.3492,17.61563,25.0154,21.03973,23.97611,20.83132,20.88802,23.54287,20.4055,22.04999
