"TB incidence, all forms (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Czech Republic,"2,143","2,172","2,146","2,103","2,048","2,087","2,041","2,030","1,898","1,746","1,560","1,397","1,284","1,189","1,122","1,065",979,893
Cote d'Ivoire,"22,577","25,902","28,590","31,619","34,745","38,224","41,525","45,838","50,745","56,358","62,772","69,211","75,260","79,773","81,909","82,309","81,652","80,995"
"Korea, Dem. Rep.","69,382","70,452","71,556","72,669","73,758","74,796","75,778","76,704","77,562","78,342","79,037","79,641","80,159","80,602","80,992","81,343","81,659","81,944"
"Congo, Dem. Rep.","62,433","71,788","79,668","88,656","97,836","107,722","116,648","127,996","140,811","155,849","173,837","192,965","212,141","227,995","237,622","242,326","243,855","245,333"
Denmark,779,737,703,661,636,608,590,574,553,523,502,485,482,464,456,450,444,438
Djibouti,"3,265","3,443","3,588","3,714","3,848","4,009","4,206","4,432","4,678","4,928","5,170","5,399","5,620","5,836","6,055","6,283","6,522","6,769"
Dominica,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9
Dominican Republic,"8,323","8,239","8,155","8,070","7,984","7,896","7,808","7,718","7,627","7,535","7,441","7,347","7,251","7,154","7,057","6,960","6,862","6,764"
Ecuador,"17,133","17,016","16,889","16,749","16,592","16,416","16,221","16,010","15,786","15,551","15,308","15,060","14,806","14,550","14,291","14,033","13,774","13,517"
Egypt,"20,170","20,240","20,779","20,389","20,498","20,390","20,133","19,226","18,681","18,370","18,203","17,918","17,603","17,201","16,716","16,356","16,122","15,873"
El Salvador,"4,204","4,099","4,002","3,911","3,823","3,736","3,652","3,568","3,485","3,401","3,315","3,227","3,138","3,050","2,962","2,877","2,795","2,715"
Equatorial Guinea,365,413,452,496,542,593,641,705,779,865,965,"1,068","1,168","1,247","1,290","1,305","1,302","1,299"
Eritrea,"2,272","2,326","2,367","2,404","2,449","2,512","2,596","2,700","2,824","2,968","3,130","3,311","3,512","3,729","3,953","4,178","4,402","4,629"
Estonia,500,492,536,623,709,769,817,895,923,942,897,844,751,683,627,573,541,509
Ethiopia,"81,263","93,143","102,890","113,990","125,506","138,315","150,439","166,228","184,301","205,283","229,766","255,109","279,806","299,420","310,363","314,615","314,563","314,267"
Fiji,366,350,336,323,311,299,286,274,262,251,240,229,219,209,199,190,182,174
Finland,874,780,701,625,611,647,654,643,615,599,540,500,453,404,365,326,320,313
France,"14,810","14,048","13,431","12,656","12,189","11,651","11,306","10,981","10,563","9,977","9,580","9,280","9,242","8,926","8,799","8,720","8,636","8,548"
French Polynesia,66,54,92,87,99,116,96,101,117,103,69,69,71,56,67,70,77,71
Gabon,"1,408","1,415","1,443","1,508","1,605","1,597","1,798","1,934","2,270","2,434","3,008","3,265","3,503","3,539","3,760","4,192","4,793","5,408"
Gambia,"1,783","1,888","1,999","2,115","2,238","2,368","2,505","2,648","2,799","2,956","3,118","3,287","3,461","3,641","3,827","4,018","4,214","4,415"
Georgia,"2,106","2,001","2,074","2,227","2,427","2,727","3,047","3,288","3,529","3,710","3,887","3,919","3,861","3,797","3,751","3,743","3,722","3,703"
Germany,"15,522","15,065","14,889","14,720","14,039","13,201","12,551","11,922","11,263","10,514","9,272","8,187","7,282","6,943","6,446","5,909","5,411","4,910"
Ghana,"34,713","35,517","36,338","37,164","37,978","38,771","39,538","40,282","41,013","41,744","42,483","43,234","43,991","44,748","45,495","46,226","46,937","47,632"
Greece,"3,404","3,238","3,108","2,944","2,850","2,737","2,668","2,601","2,509","2,374","2,280","2,204","2,187","2,103","2,064","2,037","2,010","1,984"
Grenada,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Guam,69,69,67,78,104,68,67,67,66,66,60,70,57,65,56,70,49,59
Guatemala,"6,633","6,725","6,819","6,915","7,011","7,108","7,205","7,302","7,402","7,505","7,614","7,728","7,847","7,970","8,096","8,223","8,351","8,479"
Guinea,"7,197","7,881","8,651","9,495","10,389","11,314","12,259","13,229","14,233","15,289","16,412","17,612","18,891","20,261","21,736","23,330","25,056","26,928"
Guinea-Bissau,"1,602","1,685","1,774","1,870","1,969","2,070","2,173","2,279","2,388","2,503","2,627","2,760","2,902","3,053","3,211","3,376","3,548","3,727"
Guyana,196,225,189,250,303,408,473,483,526,533,581,666,764,848,871,908,904,898
Haiti,"21,729","22,172","22,614","23,057","23,501","23,947","24,397","24,850","25,303","25,754","26,201","26,643","27,082","27,520","27,962","28,412","28,869","29,333"
Honduras,"4,779","4,771","4,760","4,745","4,726","4,701","4,670","4,636","4,597","4,557","4,515","4,473","4,430","4,387","4,344","4,301","4,259","4,218"
Hungary,"4,254","4,328","4,569","4,765","4,912","4,988","5,017","4,885","4,548","4,096","3,681","3,367","3,149","2,889","2,536","2,220","1,945","1,672"
Iceland,15,15,13,13,12,12,10,11,11,12,10,10,8,7,8,10,10,11
India,"1,443,567","1,474,771","1,506,338","1,538,106","1,569,868","1,601,462","1,632,821","1,663,943","1,694,808","1,725,418","1,755,777","1,785,851","1,815,627","1,845,155","1,874,508","1,903,739","1,932,852","1,961,825"
Indonesia,"626,867","621,961","616,801","611,432","605,907","600,266","594,523","588,686","582,785","576,852","570,906","564,955","558,989","552,983","546,901","540,720","534,439","528,063"
Iran,"20,308","21,485","24,034","23,332","24,335","24,684","24,512","22,133","20,902","20,434","20,429","20,086","19,541","18,617","17,318","16,432","15,938","15,447"
Iraq,"10,371","10,681","11,016","11,372","11,741","12,117","12,501","12,891","13,281","13,663","14,033","14,389","14,733","15,064","15,380","15,682","15,968","16,241"
Ireland,861,831,819,777,712,639,582,567,576,563,549,514,500,494,499,526,546,567
Israel,641,624,615,598,595,585,582,579,569,548,535,527,532,520,519,520,521,522
Italy,"7,864","7,431","7,080","6,652","6,389","6,092","5,899","5,718","5,491","5,176","4,960","4,793","4,761","4,586","4,507","4,454","4,396","4,336"
Jamaica,155,156,158,160,161,163,164,166,167,168,170,171,172,173,175,176,177,178
Japan,"58,085","56,533","55,276","52,967","50,773","48,402","47,566","47,914","47,425","46,380","43,196","40,220","37,326","35,177","33,074","30,708","28,857","26,994"
Jordan,538,543,540,566,561,578,560,511,470,433,417,392,394,387,409,429,435,441
Kazakhstan,"9,647","8,988","8,836","8,750","8,858","9,834","11,374","13,932","16,953","19,594","21,110","21,813","22,121","22,210","21,725","20,850","20,374","19,894"
Kenya,"26,256","27,619","33,698","41,289","50,997","61,306","72,749","87,461","102,240","116,314","126,537","130,816","137,823","147,257","152,921","144,631","135,441","132,357"
Kiribati,369,368,366,363,361,359,357,356,354,354,353,352,352,351,351,350,348,347
Kuwait,954,880,795,699,634,589,579,588,603,607,615,622,642,640,648,658,667,674
Kyrgyzstan,"2,412","2,568","2,610","2,680","2,957","3,532","4,382","5,186","5,983","6,341","6,672","6,753","6,743","6,551","6,449","6,449","6,449","6,451"
Laos,"7,278","7,425","7,571","7,714","7,850","7,976","8,092","8,198","8,294","8,379","8,454","8,518","8,572","8,622","8,671","8,726","8,786","8,851"
Latvia,916,949,978,"1,041","1,240","1,498","1,791","2,007","2,050","2,044","1,983","1,952","1,852","1,710","1,577","1,443","1,325","1,208"
Lebanon,"1,487","1,510","1,542","1,576","1,635","1,594","1,457","1,257","1,164","1,089","1,018",878,769,697,670,668,715,762
Lesotho,"2,945","3,263","3,582","4,072","4,751","5,570","6,350","7,315","8,411","9,635","10,428","11,008","11,836","12,378","12,639","12,658","12,724","12,782"
Liberia,"4,244","4,266","4,279","4,322","4,448","4,696","5,098","5,642","6,269","6,885","7,420","7,838","8,159","8,434","8,750","9,172","9,726","10,393"
Libyan Arab Jamahiriya,"1,306","1,312","1,349","1,325","1,335","1,330","1,315","1,258","1,224","1,206","1,197","1,181","1,162","1,138","1,109","1,087","1,074","1,060"
Lithuania,"1,472","1,545","1,687","1,880","2,134","2,372","2,637","2,854","2,916","2,826","2,687","2,558","2,535","2,347","2,247","2,175","2,241","2,305"
Luxembourg,88,84,81,77,75,72,71,69,67,64,62,61,60,59,58,57,57,57
Madagascar,"21,339","22,422","23,565","24,772","26,045","27,386","28,801","30,289","31,852","33,487","35,194","36,974","38,829","40,762","42,779","44,882","47,076","49,360"
Malawi,"24,371","27,638","30,744","33,822","37,049","39,378","40,183","42,543","45,061","47,100","49,371","49,500","51,006","51,573","52,209","51,713","49,990","48,144"
Malaysia,"21,435","21,843","22,239","22,629","23,021","23,422","23,834","24,250","24,662","25,057","25,426","25,765","26,078","26,370","26,649","26,920","27,183","27,439"
Maldives,278,270,262,254,246,237,228,220,211,202,194,186,178,170,163,156,149,143
Mali,"21,082","21,815","22,584","23,386","24,221","25,087","25,986","26,920","27,896","28,924","30,013","31,165","32,381","33,659","34,996","36,389","37,838","39,345"
Malta,41,39,37,35,34,33,32,31,30,28,27,26,26,25,25,25,25,24
Mauritania,"4,429","4,636","4,855","5,086","5,331","5,589","5,861","6,148","6,451","6,770","7,107","7,463","7,837","8,228","8,633","9,051","9,481","9,923"
Mauritius,293,292,292,292,293,293,292,292,291,291,290,289,288,287,286,285,284,282
Mexico,"51,481","49,059","46,751","44,553","42,461","40,469","38,578","36,775","35,031","33,315","31,611","29,921","28,261","26,664","25,160","23,766","22,479","21,283"
"Micronesia, Fed. Sts.",182,179,177,174,171,166,161,155,148,142,137,132,127,123,119,116,112,108
Monaco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mongolia,"4,552","4,649","4,731","4,800","4,858","4,908","4,950","4,983","5,011","5,040","5,073","5,111","5,155","5,203","5,252","5,301","5,351","5,400"
Montserrat,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Morocco,"36,934","36,556","36,148","35,714","35,259","34,788","34,305","33,811","33,307","32,790","32,262","31,723","31,178","30,635","30,104","29,590","29,095","28,617"
Mozambique,"24,543","27,849","30,713","34,146","37,760","41,715","45,370","50,052","55,355","61,506","68,716","76,205","83,498","89,238","92,311","93,283","92,868","92,295"
Myanmar,"68,616","69,685","70,722","71,733","72,731","73,722","74,712","75,695","76,655","77,569","78,422","79,207","79,933","80,620","81,296","81,983","82,687","83,403"
Namibia,"4,566","5,250","5,794","6,396","7,014","7,707","8,368","9,234","10,220","11,343","12,619","13,888","15,067","15,925","16,296","16,312","16,111","15,905"
Nauru,8,13,13,13,4,13,13,13,12,2,4,3,6,3,11,12,13,3
Nepal,"46,445","46,666","46,907","47,158","47,409","47,649","47,877","48,093","48,288","48,452","48,581","48,670","48,724","48,753","48,766","48,772","48,772","48,766"
Netherlands,"2,115","2,009","1,923","1,815","1,751","1,677","1,632","1,590","1,534","1,453","1,397","1,354","1,348","1,300","1,279","1,265","1,250","1,234"
Netherlands Antilles,27,25,24,23,22,21,20,19,18,17,16,15,15,15,14,14,14,14
New Caledonia,159,156,156,116,108,97,116,98,100,87,104,68,72,42,68,52,53,52
New Zealand,346,351,325,331,356,384,374,364,397,405,410,368,383,381,382,368,334,299
Nicaragua,"4,458","4,357","4,262","4,169","4,075","3,977","3,875","3,771","3,665","3,558","3,450","3,342","3,234","3,127","3,023","2,922","2,825","2,731"
Niger,"9,775","10,302","10,867","11,470","12,114","12,799","13,529","14,306","15,129","15,996","16,909","17,868","18,876","19,937","21,056","22,237","23,485","24,802"
Nigeria,"123,296","140,688","154,662","170,544","187,013","205,460","222,998","246,072","272,605","303,464","339,454","376,658","412,846","441,419","457,037","462,603","461,640","460,149"
Niue,1,1,1,1,1,1,2,0,0,1,0,0,4,0,0,0,0,0
Northern Mariana Islands,31,47,74,51,51,53,57,103,108,73,83,64,59,50,59,63,57,49
Norway,443,420,401,378,365,349,339,331,319,302,291,282,281,271,268,265,263,261
Oman,482,445,376,328,296,302,300,304,287,294,296,310,287,287,277,305,318,332
Pakistan,"204,820","210,524","215,827","220,928","226,120","231,604","237,467","243,619","249,874","255,958","261,684","266,992","271,973","276,764","281,573","286,555","291,743","297,108"
Palau,10,7,4,28,46,21,6,17,10,36,10,10,12,10,6,11,13,12
Panama,"1,144","1,167","1,192","1,216","1,241","1,267","1,293","1,319","1,346","1,373","1,400","1,426","1,453","1,480","1,507","1,533","1,560","1,586"
Papua New Guinea,"10,307","10,577","10,854","11,141","11,439","11,748","12,068","12,399","12,738","13,081","13,426","13,773","14,120","14,466","14,808","15,144","15,473","15,796"
Paraguay,"2,560","2,621","2,682","2,743","2,803","2,863","2,923","2,983","3,042","3,101","3,160","3,219","3,278","3,337","3,395","3,454","3,512","3,570"
Peru,"69,063","66,718","64,409","62,135","59,893","57,683","55,509","53,376","51,289","49,253","47,273","45,350","43,488","41,687","39,950","38,278","36,669","35,123"
Philippines,"240,889","242,185","243,429","244,606","245,697","246,693","247,584","248,379","249,118","249,848","250,599","251,377","252,160","252,917","253,609","254,203","254,694","255,084"
Poland,"19,858","20,008","20,290","20,356","20,117","19,519","18,424","17,342","16,042","14,805","13,524","12,671","12,162","11,570","10,811","10,136","9,860","9,584"
Portugal,"6,735","6,472","6,198","6,069","5,944","5,873","5,692","5,578","5,347","5,033","4,696","4,617","4,488","4,232","3,847","3,617","3,385","3,149"
Puerto Rico,385,349,402,420,427,429,420,387,355,310,267,229,197,198,189,188,174,161
Qatar,282,285,293,320,372,401,383,356,356,390,405,415,415,410,432,463,526,588
"Korea, Rep.","70,946","62,852","56,587","49,299","47,082","44,219","42,424","39,654","36,967","32,769","33,691","34,743","39,234","38,162","39,381","40,867","42,044","43,222"
Moldova,"2,832","2,723","2,870","3,141","3,486","3,971","4,474","4,847","5,203","5,461","5,711","5,746","5,646","5,537","5,453","5,426","5,384","5,348"
Romania,"17,068","18,326","19,833","22,007","23,901","25,309","26,217","27,133","27,841","29,152","30,190","31,528","31,841","31,835","30,493","29,006","26,810","24,635"
Russian Federation,"66,955","62,912","68,186","76,507","89,486","108,860","128,565","139,131","148,651","157,465","166,211","163,951","157,162","152,646","152,278","152,537","154,940","157,321"
Rwanda,"12,165","13,027","13,041","12,918","12,945","13,592","14,920","17,368","20,647","24,435","28,421","32,063","35,189","37,326","38,304","38,610","38,573","38,606"
Saint Kitts and Nevis,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Saint Lucia,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24
Saint Vincent and the Grenadines,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Samoa,51,50,49,48,47,46,45,44,43,42,41,40,40,39,38,37,36,35
San Marino,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sao Tome and Principe,157,158,158,158,159,159,159,159,159,160,160,160,160,160,160,160,159,159
Saudi Arabia,"6,957","6,407","6,360","6,632","7,297","7,804","8,399","8,906","9,473","9,780","9,879","9,748","9,617","9,604","9,756","10,189","10,808","11,442"
Senegal,"15,368","16,123","16,903","17,713","18,556","19,436","20,356","21,316","22,318","23,367","24,465","25,613","26,815","28,068","29,375","30,734","32,146","33,613"
Seychelles,31,31,31,31,30,30,30,30,30,30,30,29,29,29,29,29,28,28
Sierra Leone,"8,454","9,060","9,645","10,232","10,860","11,568","12,371","13,276","14,322","15,563","17,045","18,828","20,931","23,303","25,836","28,431","31,035","33,662"
Singapore,"1,493","1,541","1,614","1,566","1,598","1,632","1,723","1,791","1,752","1,680","1,505","1,419","1,373","1,337","1,290","1,210","1,193","1,176"
Slovakia,"2,085","2,191","2,352","2,416","2,329","2,194","1,982","1,864","1,680","1,549","1,413","1,356","1,308","1,161","1,040",934,915,896
Slovenia,824,773,743,720,675,641,624,593,538,493,457,423,386,343,315,288,273,259
Solomon Islands,980,956,934,912,890,869,848,828,807,787,767,748,728,709,690,671,652,634
Somalia,"16,705","16,520","16,207","15,857","15,599","15,526","15,669","15,999","16,469","17,003","17,547","18,087","18,638","19,202","19,783","20,385","21,004","21,634"
South Africa,"109,968","112,946","116,386","120,397","125,241","131,598","140,876","155,500","178,852","214,159","261,399","314,405","363,260","401,071","426,935","443,505","453,929","460,600"
Spain,"21,644","20,469","19,516","18,346","17,633","16,827","16,305","15,820","15,219","14,405","13,896","13,563","13,640","13,315","13,255","13,242","13,189","13,103"
Sri Lanka,"10,353","10,481","10,605","10,724","10,836","10,938","11,031","11,116","11,191","11,260","11,321","11,377","11,426","11,473","11,519","11,568","11,620","11,676"
Sudan,"45,221","47,271","49,456","51,769","54,194","56,718","59,348","62,089","64,919","67,808","70,734","73,679","76,656","79,711","82,914","86,319","89,953","93,808"
Suriname,265,249,199,207,200,211,241,284,340,357,344,347,355,384,410,453,493,533
Swaziland,"2,310","2,365","2,361","2,470","2,755","3,230","3,896","4,736","5,688","7,181","8,481","9,848","10,827","11,856","12,552","12,830","13,257","13,674"
Sweden,594,599,620,626,610,567,539,497,490,476,458,421,410,418,476,512,528,544
Switzerland,"1,253","1,212","1,088","1,013",957,899,835,806,803,731,656,596,600,596,567,534,497,460
Syrian Arab Republic,"7,711","7,513","7,313","7,113","6,911","6,708","6,505","6,303","6,107","5,919","5,742","5,576","5,419","5,268","5,121","4,977","4,836","4,698"
Tajikistan,"5,927","5,148","3,668","2,651","2,918","3,742","4,777","5,113","5,862","6,385","7,250","8,477","9,697","10,536","11,683","12,591","14,042","15,542"
Thailand,"77,232","78,166","79,086","79,999","80,912","81,829","82,756","83,689","84,607","85,483","86,300","87,048","87,735","88,378","89,002","89,625","90,252","90,878"
"Macedonia, FYR","1,023","1,017","1,027","1,019",995,949,934,924,901,814,723,671,653,634,620,608,603,597
Timor-Leste,"2,383","2,462","2,553","2,641","2,706","2,738","2,726","2,681","2,628","2,604","2,636","2,732","2,885","3,072","3,263","3,437","3,586","3,718"
Togo,"12,185","12,759","13,332","13,928","14,582","15,322","16,163","17,099","18,109","19,158","20,218","21,280","22,351","23,441","24,569","25,747","26,979","28,263"
Tokelau,1,1,1,1,0,2,0,1,1,0,0,0,1,0,1,0,0,0
Tonga,32,31,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24,24
Trinidad and Tobago,138,139,140,141,142,143,144,144,145,146,146,147,147,148,148,149,149,150
Tunisia,"2,583","2,485","2,684","2,809","2,899","2,827","2,798","2,730","2,639","2,535","2,430","2,321","2,292","2,311","2,387","2,453","2,566","2,682"
Turkey,"28,324","27,858","27,944","27,463","26,546","24,902","25,543","26,463","27,217","24,401","21,327","19,798","19,751","19,859","20,478","21,109","21,619","22,136"
Turkmenistan,"2,356","2,328","2,470","2,472","2,436","2,198","2,558","3,211","3,911","4,118","4,156","4,013","3,921","3,727","3,563","3,373","3,387","3,399"
Turks and Caicos Islands,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Tuvalu,28,27,27,26,25,25,24,23,23,22,21,21,20,20,19,19,18,18
Uganda,"29,080","46,176","52,113","58,808","62,850","67,739","68,811","72,157","75,857","77,621","83,984","91,598","101,471","107,400","107,802","107,001","104,528","101,785"
Ukraine,"21,320","20,503","21,904","23,469","24,797","26,181","29,280","31,788","35,563","37,396","40,989","43,915","45,529","46,172","45,962","47,649","47,278","46,916"
United Arab Emirates,555,552,552,545,551,554,568,584,594,592,599,608,634,638,653,668,682,692
United Kingdom,"6,722","6,852","7,065","7,106","7,019","6,928","6,987","6,987","6,966","6,915","6,860","7,122","7,190","7,567","8,043","8,698","9,003","9,308"
Tanzania,"45,408","51,686","57,990","64,563","72,318","81,159","89,157","96,910","102,366","107,855","114,827","120,263","125,247","125,842","126,389","124,868","122,692","120,291"
Virgin Islands (U.S.),20,19,18,17,16,16,15,15,14,14,13,13,12,12,12,12,11,11
United States of America,"24,030","25,049","24,867","24,211","22,954","21,715","20,296","18,881","17,697","16,600","15,853","15,073","14,604","14,143","13,833","13,495","13,112","12,718"
Uruguay,861,856,851,847,842,837,833,828,823,817,810,801,791,781,771,761,753,745
Uzbekistan,"14,026","13,412","13,582","16,147","16,440","17,491","16,702","18,941","20,448","21,589","22,928","25,532","27,898","29,303","29,737","31,240","31,033","30,813"
Vanuatu,207,206,205,204,203,201,198,195,192,189,186,184,183,181,180,178,176,174
Venezuela,"6,966","7,114","7,258","7,401","7,542","7,682","7,821","7,959","8,096","8,232","8,367","8,501","8,634","8,767","8,899","9,030","9,161","9,290"
Viet Nam,"133,898","135,536","137,147","138,678","140,063","141,262","142,255","143,066","143,754","144,399","145,058","145,748","146,453","147,156","147,831","148,461","149,044","149,588"
Wallis et Futuna,9,24,4,12,12,7,9,16,8,8,8,1,21,17,7,8,7,2
West Bank and Gaza,745,762,798,799,820,832,838,815,806,808,815,817,817,813,803,799,800,799
Yemen,"16,384","16,884","17,856","18,056","18,655","18,983","19,082","18,483","18,169","18,061","18,095","18,016","17,904","17,700","17,402","17,228","17,183","17,121"
Zambia,"24,152","29,138","35,224","40,464","45,189","49,605","52,618","56,070","58,229","61,680","62,905","66,869","68,666","72,207","70,164","67,445","63,960","60,337"
Zimbabwe,"34,456","39,260","43,010","47,172","51,360","55,937","60,101","65,566","71,713","78,701","86,666","94,532","101,741","106,774","108,574","108,066","106,206","104,400"
