"Electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bulgaria,,,,,,,,,,,,19581869473,21357393521,23176543104,24674685393,26472890717,28431886633,30198216544,32143380571,33330493128,35213003974,36667993557,39206666636,40955347851,42732252106,41919391823,41615104949,43272967028,44057384858,44056287703,41966852156,38129634780,32317091588,32557693360,32324405967,35190789340,35991264939,32547166842,31971543309,29149181888,29411477043,30628523659,30295883671,31150797130,30681586848,31897764521,33152042385,34043197518,34876647705,33192164439,33548133787,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000000,220000000,274000000,309000000,359000000,398000000,453000000,636000000,662000000,728000000,886000000,1088000000,1376000000,1591000000,1803000000,2065000000,
Cameroon,,,,,,,,,,,,1019000000,1068000000,1079000000,1229000000,1303000000,1272000000,1223000000,1265000000,1297000000,1346000000,1763000000,2027000000,2020000000,1997000000,2253000000,2167000000,2228000000,2323000000,2403000000,2345000000,2334000000,2360000000,2457000000,2213000000,2177000000,2314000000,2516000000,2539000000,2681000000,2719000000,2631000000,2536000000,2808000000,3320000000,3306000000,4477000000,4753000000,5143000000,5243000000,5319000000,
Canada,100839000000,102483916901,107894200106,113147875174,124910716022,135973034549,147756766123,156432700355,168090438027,182114453015,194630845951,205066220180,221291008243,232884731328,247540873663,241534563696,258603522392,278714318381,293266672666,300323566201,312918729628,326883419729,323639276411,338822891189,364960663260,382473689371,400671266144,417884445236,439891169556,448289158414,446240812847,451758156706,456459313251,466046320990,473591507759,483580348239,490256794912,495769325801,493429535886,505142812736,521056269160,520470825526,530525601966,543387662944,550561186011,559123895136,546878965212,555560922177,548219674512,509122941227,514929102225,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,7569000000,7960000000,7780000000,8349000000,7745000000,8269000000,8671000000,9249000000,9864000000,10309000000,10645000000,10421000000,10794000000,11678000000,12112000000,12796000000,13331000000,14409000000,15785000000,16429000000,17732000000,19991000000,21123000000,22506000000,25100000000,28103000000,30598000000,32606000000,36284000000,38345000000,40787000000,42785000000,45929000000,49077000000,50096000000,52701000000,55202000000,55777000000,55666000000,56425000000,
China,,,,,,,,,,,,126470356563,139355465876,152642283070,154617411429,179693096166,186669974022,205564691377,236097887790,259400954873,276885122883,284865304538,302361878623,324974445375,350001985002,383339693708,420230258558,465756968079,512751891564,549901961929,584694860382,637160692036,710540353644,787550376253,873517954616,934992012009,1006638685904,1055448208818,1087301790971,1150999291686,1260660611862,1376355005324,1537258326914,1785146383092,2063678185621,2332556732492,2684311219672,3079379743513,3264285572303,3514182722345,3948255236313,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,9086000000,8987000000,9932000000,11089000000,10975000000,11587000000,12943000000,14621000000,15980000000,17143000000,17440000000,18529000000,19068000000,21129000000,22619000000,24743000000,24492000000,25605000000,27637000000,28852000000,29410000000,26805000000,30628000000,32551000000,33525000000,33780000000,34621000000,34308000000,32281000000,33511000000,34858000000,35695000000,36357000000,38381000000,38776000000,41536000000,43260000000,43759000000,47726000000,46867000000,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,3337000000,3354000000,3630000000,3772000000,3830000000,3813000000,3840000000,3703000000,3668000000,3978000000,3668000000,3613000000,3921000000,4116000000,4427000000,4623000000,4598000000,4733000000,5672000000,4530000000,4506000000,4302000000,3982000000,4078000000,4527000000,4483000000,4181000000,4189000000,4388000000,4549000000,4627000000,4475000000,4639000000,4680000000,4901000000,5758000000,6152000000,6114000000,6668000000,6277000000,
"Congo, Rep.",,,,,,,,,,,,77000000,81000000,91000000,95000000,102000000,109000000,115000000,121000000,131000000,148000000,128000000,197000000,193000000,298000000,232000000,372000000,390000000,375000000,390000000,410000000,448000000,442000000,411000000,380000000,410000000,430000000,370000000,327000000,211000000,299000000,337000000,382000000,391000000,370000000,425000000,471000000,486000000,543000000,600000000,588000000,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,1148000000,1267000000,1347000000,1468000000,1531000000,1647000000,1760000000,1925000000,1997000000,2226000000,2365000000,2356000000,2382000000,2637000000,2757000000,3027000000,3303000000,3383000000,3272000000,3344000000,3592000000,4619000000,4495000000,4384000000,4526000000,4540000000,5057000000,4996000000,5578000000,5971000000,5994000000,6392000000,6844000000,7096000000,7376000000,7921000000,8305000000,8432000000,8342000000,8643000000,
Cote d'Ivoire,,,,,,,,,,,,517000000,581000000,669000000,717000000,808000000,937000000,1044000000,1188000000,1528000000,1469000000,1586000000,1635000000,1627000000,1257000000,1499000000,1563000000,1825000000,1941000000,1849000000,1913000000,1835000000,1961000000,1914000000,2012000000,2504000000,2370000000,2603000000,2915000000,2819000000,2863000000,3071000000,3044000000,3069000000,3121000000,3154000000,3408000000,3587000000,3836000000,4056000000,4137000000,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13510019079,12356446835,10457339267,10143824703,10267983793,10694002290,11356808580,11974216107,12149713461,12409846907,12797912534,12913929342,13764171597,14022189277,14747875014,15439951337,16120425251,16542605298,17136445927,16371685097,16792056098,
Cuba,,,,,,,,,,,,4486000000,4648000000,5023000000,5326000000,5882000000,6406000000,6952000000,7658000000,8444000000,8274000000,9533000000,10008000000,10493000000,11199000000,10126000000,10933000000,11226000000,11930000000,12450000000,12847000000,11195000000,9711000000,9065000000,9738000000,10010000000,10660000000,11432000000,11540000000,11977000000,12661000000,12927000000,13273000000,13401000000,13223000000,13008000000,13820000000,14651000000,14869000000,14979000000,14629000000,
