50+ yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Guadeloupe,68.754,72.214,80.941,78.378,86.005,84.588,83.396,82.938,83.152,83.682,82.707,88.374,85.132,82.762,79.658,77.556,77.023,76.478,76.518,76.093,76.024
Guam,126.776,123.081,117.081,118.21,118.721,117.043,113.405,109.45,106.243,103.553,98.404,96.806,96.953,96.134,97.263,95.426,94.028,92.627,91.542,91.701,92.247
Guatemala,97.396,97.16,97.187,97.984,98.43,98.643,99.138,98.987,98.372,95.933,93.597,91.698,88.904,85.335,81.536,78.18,76.38,76.223,76.929,78.286,79.709
Guinea,107.065,102.083,98.284,95.379,93.381,92.234,90.992,88.918,87.324,87.036,87.018,88.128,89.164,90.093,90.92,91.742,92.562,93.222,93.597,93.763,93.738
Guinea-Bissau,85.538,85.417,86.465,87.517,88.102,88.373,88.508,88.699,88.652,88.893,89.289,89.277,88.669,88.231,87.935,88.971,89.724,90.277,90.816,91.317,91.688
Guyana,84.043,88.012,88.644,92.391,95.859,96.126,96.183,92.641,88.417,83.806,80.363,106.32,104.181,100.501,100.513,99.29,95.478,94.378,92.355,90.615,90.909
Haiti,84.962,87.768,89.144,90.083,90.187,90.536,89.918,88.961,88.349,88.667,87.814,87.544,87.59,86.761,86.091,85.531,86.074,87.563,88.573,89.095,89.165
Honduras,93.815,94.178,93.298,92.98,92.818,93.151,93.983,95.328,96.232,96.422,96.362,95.888,95.272,93.729,91.638,89.748,88.746,88.668,89.174,90.053,90.874
Hungary,80.174,81.303,82.271,81.607,79.608,78.567,77.434,75.404,73.73,72.261,71.765,72.087,71.989,71.905,72.852,74.53,76.553,77.665,78.791,79.964,80.663
Iceland,86.703,93.763,100,90.01,92.607,91.806,91.147,90.343,89.802,90.252,92.237,94.114,98.075,101.307,103.866,106.591,108.684,109.818,109.719,108.524,106.831
India,105.946,107.74,108.63,109.347,110.039,110.148,108.848,106.35,103.741,101.202,99.295,98.773,98.159,97.589,97.007,96.453,95.97,95.661,95.484,95.562,95.504
Indonesia,96.032,93.866,93.168,93.038,92.778,93.063,92.707,91.295,89.932,88.378,87.612,89.136,90.548,91.576,91.856,91.396,90.733,89.952,89.208,88.807,88.651
Iran,103.193,101.269,99.79,98.949,98.81,108.334,113.508,116.899,121.372,112.267,106.41,104.422,100.415,98.843,97.036,97.006,96.13,94.12,93.863,93.51,92.612
Iraq,88.476,89.071,93.713,98.129,100.947,101.998,99.598,91.025,78.79,74.41,79.291,84.231,82.932,86.692,89.588,91.375,92.382,92.725,92.825,92.767,92.649
Ireland,99.182,99.727,96.562,96.364,94.888,90.549,90.262,89.146,87.517,88.1,89.707,90.97,91.881,91.935,92.585,93.204,93.289,92.832,92.175,91.66,91.3
Israel,101.996,100.963,101.781,101.736,98.524,93.589,88.869,87.341,85.823,82.973,83.096,83.74,84.254,85.27,86.483,88.172,89.817,90.958,91.762,92.563,93.512
Italy,82.881,83.065,83.387,83.075,81.517,80.252,79.372,79.539,79.666,79.699,80.84,81.631,82.45,83.563,84.897,86.093,86.867,87.284,87.436,87.405,87.312
Jamaica,82.378,84.985,84.309,87.477,88.159,88.036,88.916,89.391,88.219,92.768,94.136,91.78,91.068,89.081,86.318,83.295,79.956,78.25,78.218,79.091,79.941
Japan,89.69,90.527,89.36,87.006,82.641,79.565,81.014,82.323,83.128,83.889,84.978,84.821,84.404,84.108,83.881,84.014,84.019,83.905,83.723,83.65,83.681
Jordan,119.566,113.569,107.748,102.801,97.753,93.283,103.4,108.877,102.915,109.818,105.337,102.396,100.953,99.195,98.891,98.775,99.25,98.686,97.817,97.113,96.188
Kazakhstan,95.121,79.818,70.818,63.25,58.526,55.712,59.913,63.201,67.799,68.612,67.261,66.354,64.65,63.93,63.536,63.585,64.05,65.712,68.261,70.189,71.213
Kenya,84.019,87.307,92.103,95.896,97.915,99.185,98.804,97.293,95.056,93.445,91.558,88.854,86.517,86.71,89.747,94.082,96.946,98.697,99.43,99.391,98.932
Kuwait,112.687,115.48,132.547,136.312,126.322,130.192,158.121,173.504,173.142,162.881,180.975,172.954,172.314,172.916,178.765,177.79,172.907,166.386,158.959,151.34,142.678
Kyrgyzstan,96.179,83.081,73.629,66.102,61.026,58.941,63.576,67.261,72.265,75.055,76.288,77.334,78.409,78.736,79.851,80.19,80.465,81.066,82.158,83.24,83.948
Laos,103.32,93.701,88.682,86.153,85.07,84.841,85.152,85.92,86.494,86.193,85.315,87.036,88.051,88.427,88.35,88.377,88.709,89.543,90.449,91.182,91.653
LATIN AMERICA AND THE CARIBBEAN,93.069,93.7,93.457,92.838,92.047,91.36,90.516,88.91,87.927,87.502,87.401,87.359,87.096,86.783,86.404,86.098,85.86,85.76,85.631,85.552,85.543
