,1700,1900,2030
"Macao, China",22.506,22.506,22.506
"Macedonia, FYR",41.57381,41.57381,41.57381
Madagascar,-18.958,-18.958,-18.958
Malawi,-15.811,-15.811,-15.811
Malaysia,3.269,3.269,3.269
Maldives,3.25,3.25,3.25
Mali,12.508,12.508,12.508
Malta,35.887,35.887,35.887
Marshall Islands,9,9,9
Martinique,14.654,14.654,14.654
Mauritania,17.925,17.925,17.925
Mauritius,-20.232,-20.232,-20.232
Mayotte,-12.83333333,-12.83333333,-12.83333333
Mexico,16.759,16.759,16.759
"Micronesia, Fed. Sts.",7.357,7.357,7.357
Moldova,47.166,47.166,47.166
Monaco,43.746,43.746,43.746
Mongolia,47.493,47.493,47.493
Montenegro,42.78899,42.78899,42.78899
Montserrat,16.75,16.75,16.75
Morocco,33.593,33.593,33.593
Mozambique,-18.499,-18.499,-18.499
Myanmar,17.679,17.679,17.679
Namibia,-17.979,-17.979,-17.979
Nauru,-0.5333333333,-0.5333333333,-0.5333333333
Nepal,27.712,27.712,27.712
Netherlands,51.874,51.874,51.874
Netherlands Antilles,12.192,12.192,12.192
New Caledonia,-21.329,-21.329,-21.329
New Zealand,-36.892,-36.892,-36.892
Ngorno-Karabakh,,,
Nicaragua,12.211,12.211,12.211
Niger,13.876,13.876,13.876
Nigeria,6.543,6.543,6.543
Niue,-19.03333333,-19.03333333,-19.03333333
Norfolk Island,-29.03333333,-29.03333333,-29.03333333
Northern Cyprus,,,
Northern Mariana Islands,15.178,15.178,15.178
Norway,59.977,59.977,59.977
Oman,20.445,20.445,20.445
Pakistan,31.173,31.173,31.173
Palau,7.5,7.5,7.5
Panama,9.206,9.206,9.206
Papua New Guinea,-6.6,-6.6,-6.6
Paraguay,-25.583,-25.583,-25.583
Peru,-11.794,-11.794,-11.794
Philippines,13.922,13.922,13.922
Pitcairn,-25.06666667,-25.06666667,-25.06666667
Poland,50.244,50.244,50.244
Portugal,38.816,38.816,38.816
Puerto Rico,18.225,18.225,18.225
Qatar,25.309,25.309,25.309
Reunion,-20.954,-20.954,-20.954
Romania,44.526,44.526,44.526
Russia,55.675,55.675,55.675
Rwanda,-2.032,-2.032,-2.032
Saint Barthélemy,17.9,17.9,17.9
Saint Helena,-15.95,-15.95,-15.95
Saint Kitts and Nevis,17.327,17.327,17.327
Saint Lucia,13.898,13.898,13.898
Saint Martin,18.08333333,18.08333333,18.08333333
Saint Vincent and the Grenadines,13.254,13.254,13.254
Saint-Pierre-et-Miquelon,46.83333333,46.83333333,46.83333333
Samoa,-13.633,-13.633,-13.633
San Marino,43.76666667,43.76666667,43.76666667
Sao Tome and Principe,1,1,1
Saudi Arabia,23.069,23.069,23.069
Senegal,14.772,14.772,14.772
Serbia,44.04673,44.04673,44.04673
Serbia and Montenegro,,,
Serbia excluding Kosovo,,,
Seychelles,-4.664,-4.664,-4.664
Sierra Leone,8.701,8.701,8.701
Singapore,1.355,1.355,1.355
Slovak Republic,48.78538,48.78538,48.78538
Slovenia,46.1279,46.1279,46.1279
Solomon Islands,-9.625,-9.625,-9.625
Somalia,10.633,10.633,10.633
Somaliland,,,
South Africa,-29.13,-29.13,-29.13
South Ossetia,,,
Spain,37.398,37.398,37.398
Sri Lanka,6.868,6.868,6.868
Sudan,14.043,14.043,14.043
Suriname,5.605,5.605,5.605
Svalbard,78,78,78
Swaziland,-26.545,-26.545,-26.545
Sweden,59.278,59.278,59.278
Switzerland,47.408,47.408,47.408
Syria,33.458,33.458,33.458
Taiwan,23.64485,23.64485,23.64485
Tajikistan,37.806,37.806,37.806
Tanzania,-2.154,-2.154,-2.154
Thailand,13.77,13.77,13.77
Timor-Leste,-8.833333333,-8.833333333,-8.833333333
Togo,6.194,6.194,6.194
Tokelau,-9,-9,-9
Tonga,-21.173,-21.173,-21.173
Transnistria,,,
Trinidad and Tobago,10.418,10.418,10.418
Tunisia,36.816,36.816,36.816
Turkey,41.202,41.202,41.202
Turkmenistan,39.12938,39.12938,39.12938
Turks and Caicos Islands,21.75,21.75,21.75
Tuvalu,-8,-8,-8
Uganda,0.228,0.228,0.228
Ukraine,50.281,50.281,50.281
United Arab Emirates,23.39,23.39,23.39
United Kingdom,51.51,51.51,51.51
United States,34.36,34.36,34.36
Uruguay,-34.822,-34.822,-34.822
USSR,,,
Uzbekistan,41.272,41.272,41.272
Wallis et Futuna,-13.3,-13.3,-13.3
Vanuatu,-15.233,-15.233,-15.233
Venezuela,9.843,9.843,9.843
West Bank and Gaza,31.41666667,31.41666667,31.41666667
West Germany,,,
Western Sahara,24.61913,24.61913,24.61913
Vietnam,10.798,10.798,10.798
Virgin Islands (U.S.),17.736,17.736,17.736
Yemen Arab Republic (Former),,,
Yemen Democratic (Former),,,
"Yemen, Rep.",15.228,15.228,15.228
Yugoslavia,,,
Zambia,-12.942,-12.942,-12.942
Zimbabwe,-17.876,-17.876,-17.876
Åland,60,60,60
