Cervix Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Ecuador,,,,,,,,,,,,2.54,,3.15,4.36,,,,3.6,3.74,4.07,3.48,4.99,4.43,6.32,4.2,,5.25,5.83,6.47,6.24,5.11,5.86,6.1,5.72,7.6,5.7,6.71,5.61,7.15,6.76,6.18,6.47,5.8,5.67,8.97,8.75,6.42,6.86,5.72,5.83,4.62,4.48
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
El Salvador,4.55,6.11,5.58,4.75,5.18,4.12,5.13,2.84,3.91,2.85,2.43,2.78,3.56,3.76,5.09,4.07,3.15,3.82,2.5,4.93,6.49,5.1,5.13,3.74,4.7,,,,,,,5.12,5.34,5.53,4.97,,,,,,6.28,5.59,4.93,4.43,,7.12,8.73,7.15,12.55,12.18,10.23,8.53,7.51
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06,5.22,,,6.22,7.31,6.01,5.81,6.29,5.27,7.31,6.52,8.55,5.7,5.17,6.41,7.38,6.24,5.56,5,4.86,4.9
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7
Finland,,,2.98,4.41,4.49,4.59,4.99,4.92,5.38,5.07,5.23,5.41,4.62,6.23,6.2,5.2,5.45,5.39,4.71,5.23,4.68,5.12,3.85,3.18,3.24,2.95,2.96,3.26,3.01,2.76,2.94,2.22,2.43,2.21,2.05,2.12,1.94,1.61,2.02,1.54,1.34,1.76,1.23,1.6,1.18,0.89,1.22,1.41,1.19,1.3,1.48,1.24,0.86
France,1.9,,2.2,2.53,2.24,2.59,3.07,3,2.75,2.87,3.05,3.01,2.84,2.82,2.75,2.94,2.87,2.57,3.17,2.72,2.51,2.66,2.56,2.54,2.54,2.41,2.38,2.34,2.39,2.04,2.45,2.22,2.13,2.11,2.12,2.01,2,1.94,1.88,1.97,1.7,1.75,1.66,1.66,1.68,1.57,1.35,1.51,1.59,1.48,1.39,1.45,1.42
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
Germany,,,,,,,,,,,,,,,,,,,,,,,,6.71,6.48,6.28,5.97,5.86,5.53,,4.85,4.77,4.33,4.39,4.33,4.23,3.95,3.81,3.67,3.68,3.52,3.36,3.37,3.23,3.16,2.83,2.73,2.66,2.56,2.57,2.39,2.32,2.2
