Male above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Cuba,7.390451275,7.266229899,7.810359002,8.601087494,9.341155235,9.887123746,10.56649257,11.27315727,11.84754037,12.21248631,13.82231033,14.60894352,16.38176638,18.32591273,20.32142857,24.16022993,28.71449381,32.18070273,33.3779648,34.23244744,36.21083212
Cyprus,8.641975309,9.338521401,8.928571429,9.440559441,13.28903654,13.1147541,12.78688525,12.8125,13.52941176,13.1147541,13.98963731,15.97051597,17.05607477,18.44444444,20.46413502,22.02020202,22.7184466,23.16384181,24.54545455,26.01769912,27.75862069
Czech Rep.,11.11111111,11.33495683,12.39473116,14.06117247,15.54338669,15.86419753,13.88721654,14.31427429,14.57708458,14.81259968,15.25321543,16.88781665,19.11276138,21.19102862,22.30119093,23.36914812,24.55666924,27.04854369,29.72287276,30.90624388,31.88690359
Denmark,12.75389702,13.53315168,14.52464789,15.175922,15.99182004,16.77316294,17.23320158,17.74513696,17.75848461,17.24806202,17.43745262,19.15608663,21.50735294,22.99270073,24.30278884,25.98056855,27.25644699,27.92696026,27.67408471,26.78185745,26.51734104
Djibouti,0,0,2.325581395,3.50877193,2.5,3.539823009,2.994011976,3.5,3.584229391,3.55987055,4.132231405,4.5,5.02283105,5.263157895,5.836575875,6.451612903,7.370184255,8.188976378,9.361069837,10.63829787,12.34735414
Dominican Rep.,4.376012966,4.362880886,4.225352113,4.330512693,4.334763948,4.652908068,4.998333889,5.53736231,6.119162641,6.761044667,7.353271869,7.984156765,8.589793533,9.508076358,10.75794621,12.29713903,13.83820442,15.31092965,16.68971876,18.20800485,19.8313507
Ecuador,7.42280285,6.905503634,6.402164112,6.162790698,5.933333333,5.758710049,5.56803995,5.572552448,5.843653251,6.296877725,7.007606409,7.891924897,8.889211137,10.31506849,11.69880146,13.20189668,14.74698795,16.30141802,17.85919375,19.46962829,21.17872005
Egypt,4.758343461,4.919786096,4.980925646,5.008854035,5.044327236,5.109084496,5.178996541,5.286326298,5.472243241,5.728146282,5.996038483,6.215387786,7.02278934,7.716511512,8.586971909,9.558711544,10.47918246,11.46123911,13.0215649,15.11495998,17.6709578
El Salvador,5.806451613,5.666666667,5.478451424,5.282784338,5.107526882,5.202863962,5.36883457,5.89922163,6.442901235,6.998556999,7.746232036,8.64283235,9.489551216,10.17062563,10.7547781,11.39122316,12.07411835,12.95921319,13.82709096,14.77398015,16.38678223
Equatorial Guinea,8.256880734,7.75862069,7.37704918,6.818181818,7.042253521,7.01754386,8.490566038,6.493506494,5.913978495,4.932735426,4.633204633,4.304635762,4.069767442,4.627249357,5.733944954,6.625258799,7.358490566,7.439446367,6.869009585,6.994047619,7.788595271
Eritrea,4.601769912,4.146730463,3.95480226,3.611457036,3.586956522,3.707224335,5.665024631,4.360465116,3.870967742,3.457106274,3.299776286,3.327256153,3.304821151,3.102866779,3.036680698,3.160762943,3.759024147,5.155820348,7.020148462,8.366297468,9.46425238
Estonia,10.66098081,10.33797217,10.92278719,11.38353765,11.87800963,12.25416036,11.34020619,11.11111111,12.5170068,14.3928036,16.08832808,16.61290323,17.37012987,18.38709677,19.15584416,20.22653722,21.11292962,21.79700499,22.85714286,24.70389171,27.21088435
Ethiopia,4.062192051,3.768894193,3.606263982,3.880573375,4.08333914,4.241904878,4.338172502,4.316440778,4.302286763,4.308638484,4.399655893,4.558680892,4.73476338,4.822822321,4.966068606,5.261923901,5.694503752,6.264383946,6.95579628,7.866472795,9.119809489
Fiji,5.960264901,4.678362573,4.433497537,3.813559322,4.166666667,4.436860068,4.953560372,4.456824513,4.657534247,4.615384615,5.405405405,5.952380952,7.126436782,8.163265306,9.977827051,10.94091904,11.77730193,12.12765957,13.85927505,15.84582441,17.71058315
Finland,8.298538622,8.472906404,9.090909091,9.986382206,11.5902965,12.39015817,12.67301038,13.43723673,14.622057,15.36604988,16.61392405,18.4651344,22.01449828,24.44694413,26.20281273,27.63061074,28.40323767,28.25525636,28.48148148,28.81103243,29.12149533
France,13.61511686,13.18665585,13.67494357,14.45544554,15.05124687,15.23466264,14.2401337,15.28024911,16.35916359,17.44194304,17.95121951,18.35722719,20.68218378,22.71091692,24.45868316,26.19217967,27.58959857,28.69626111,28.93479313,29.34442034,29.70559047
French Guiana,0,0,6.25,5,4.166666667,3.571428571,5.882352941,6.52173913,4.918032787,4.109589041,4.651162791,4.901960784,6.140350877,7.633587786,9.027777778,10.625,11.86440678,13.08900524,13.59223301,14.22018349,14.9122807
French Polynesia,3.333333333,2.941176471,4.87804878,4.347826087,3.50877193,4.47761194,3.797468354,4.395604396,4.807692308,6.25,5.691056911,8.270676692,7.971014493,10.81081081,11.68831169,13.20754717,17.36526946,18.12865497,19.65317919,20.9039548,23.59550562
Gabon,10.82251082,9.913793103,10.50420168,10.12145749,9.727626459,9.310344828,8.682634731,8.439897698,7.423580786,6.355140187,6.045751634,5.865102639,6.008010681,6.690997567,7.390817469,7.995846314,8.834951456,9.532538955,10.61792863,11.91666667,13.62179487
Gambia,4.06504065,5.109489051,4.545454545,5.464480874,4.739336493,4.330708661,4.304635762,4.709141274,4.740406321,4.638218924,4.643962848,4.623513871,4.61361015,4.563894523,4.537205082,4.882017901,5.305821665,5.917955615,6.447613143,7.064905227,7.886266094
