Male above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Madagascar,4.857142857,4.929275611,4.990403071,5.354706685,5.843373494,5.781414995,5.564534749,5.500101854,5.245436824,5.004577357,4.688115561,4.444444444,4.367334729,4.736795852,5.199781062,5.760854293,6.39857243,7.168709866,8.026322887,8.699803991,9.77209456
Malawi,4.610951009,4.202232436,3.891509434,3.713389121,3.402298851,3.93236335,4.187437687,3.788521346,3.939720129,4.668794892,4.48958689,4.461515733,4.562347815,4.501894361,4.374086702,4.335110958,4.320418204,4.460501633,5.153397566,5.92212637,6.799157531
Malaysia,7.438016529,6.053811659,5.460256101,5.186721992,5.624543462,5.593385214,5.586027714,5.308501204,5.281498421,5.409538373,5.778491172,6.318618042,7.389892716,8.846128587,10.59876543,12.40328253,13.93230631,15.40130152,16.86297192,18.69681124,20.56192199
Maldives,6.976744186,6.382978723,7.692307692,6.896551724,6.25,6.756756757,6.172839506,4.255319149,5.454545455,5.511811024,5.755395683,6.040268456,5.696202532,6.470588235,7.222222222,7.894736842,10.3960396,12.07729469,15.74074074,19.00452489,22.32142857
Mali,4.439359268,4.622561493,4.817404817,4.926811853,4.919645786,5.001506478,5.004170142,5.002552323,4.747498255,4.507936508,4.290111581,3.886986301,3.449848024,3.182308522,3.190848886,3.402687473,3.78676109,4.28609938,4.862142975,5.67002442,6.610277916
Malta,8.441558442,9.868421053,10.59602649,11.11111111,11.72413793,12.24489796,13.20754717,12.4260355,12.99435028,13.44086022,14.58333333,16,19.30693069,22.85714286,24.88262911,26.76056338,27.57009346,28.97196262,31.27962085,33.65384615,35.4368932
Martinique,5.714285714,5.882352941,5.755395683,6.040268456,6.875,8.125,9.554140127,10.97560976,12.06896552,13.48314607,14.44444444,16.30434783,17.89473684,20.10309278,21.53846154,24.61538462,26.53061224,28.42639594,28.35051546,28.79581152,31.1827957
Mauritania,3.134796238,3.542234332,3.738317757,4.417670683,4.181184669,4.223227753,4.188481675,3.981797497,4.008016032,3.856266433,3.731911653,3.639973527,3.634232122,3.959873284,4.530120482,5.195381883,6.098063453,7.041169681,8.176555716,9.293552812,10.41257367
Mauritius,4.453441296,3.521126761,3.343465046,3.183023873,3.155339806,3.636363636,5.020920502,5.731225296,6.072106262,6.737588652,7.382550336,8.225806452,9.953343701,11.96969697,13.75739645,15.86608443,18.4057971,20.28776978,21.58273381,22.39884393,23.15484805
Mayotte,0,0,0,5.882352941,0,4.166666667,3.448275862,2.777777778,4.347826087,3.225806452,4,3.448275862,5,5.357142857,5.6,6.52173913,7.382550336,9.87654321,10,12.63736264,14.81481481
Mexico,5.124673818,4.95142003,5.093180856,5.285488603,5.192849697,5.124378109,5.033498398,5.400664452,5.811225847,6.247246453,6.811541271,7.761573094,8.858737561,10.45834433,12.20776132,14.16425918,16.60159401,19.77507029,22.48055902,24.58443939,26.43294824
"Micronesia, Fed. Sts.",0,0,0,3.703703704,3.125,6.25,5.263157895,4.444444444,4,5.454545455,3.773584906,5.454545455,3.703703704,5.172413793,8.196721311,8.196721311,9.230769231,7.692307692,9.230769231,12.12121212,14.92537313
Moldova,9.057639524,8.061889251,7.336182336,7.628205128,8.090422368,8.91966759,8.865435356,9.445277361,10.33653846,10.74698795,11.68963757,12.03807391,13.3254717,15.66118221,17.71678104,19.38579655,19.74734043,19.82105988,20.67238913,23.04283604,26.95852535
Mongolia,4.582210243,4.784688995,4.641350211,4.243542435,4.16,4.016620499,4.316546763,4.483837331,5.063291139,5.026455026,4.725738397,5.067300079,5.314371257,5.957446809,7.484828051,9.502262443,11.4589856,13.73390558,16.12318841,18.76116736,22.0188902
Montenegro,9.42408377,9.223300971,8.849557522,9.349593496,9.842519685,9.62962963,8.802816901,9.440559441,10.68965517,12.14057508,12.79761905,14.93506494,15.40983607,17.41935484,19.2926045,20.57877814,21.15384615,21.72523962,23.1511254,25,26.71009772
Morocco,4.374023655,4.085257549,4.059865818,5.3311308,6.412930136,5.330095965,6.529069173,5.940949475,6.183317168,6.441740688,6.838745879,7.043379756,7.637141419,8.829995841,10.68043331,11.98141746,13.25401795,14.55930912,16.01154344,18.19427453,20.43114699
Mozambique,4.253968254,4.257193188,4.284949116,4.347826087,4.414628868,4.466692337,4.465037911,4.509773742,4.633204633,4.495859077,4.45939781,4.446208813,4.527110019,4.721502082,4.88532273,4.95894485,4.976892997,5.135918613,5.617177165,6.368576604,7.303370787
Myanmar,5.161062779,5.429333333,5.692381409,6.00120368,6.186830015,6.318495467,6.575458052,6.775082392,7.051822465,7.238878367,7.169565217,7.248395812,7.616189472,8.897896159,10.34393587,11.907222,13.67976751,15.79196377,17.78839772,19.91486575,21.64208201
Namibia,6.22406639,5.639097744,5.387205387,5.341246291,4.699738903,4.708520179,4.665314402,4.830053667,4.630969609,4.671717172,4.596412556,4.85338726,4.853479853,5.192629816,5.542725173,6.200997862,6.795469687,7.619647355,8.59375,9.994256175,11.52993348
Nepal,3.479682391,3.938024532,4.24350585,4.526525439,4.7299509,4.813302217,4.869204869,4.917465081,4.983012458,5.0683161,5.241141732,5.511636498,5.66572238,6.004962779,6.4673197,7.05199851,7.840399002,8.933119517,10.3824891,12.1184687,14.07037268
Netherlands,11.03174603,11.80205415,12.36878936,12.78330344,13.04548248,13.28239788,13.51274384,14.25980187,14.69155844,15.17214295,15.88974978,17.25120833,20.19614965,22.46816613,24.74480817,27.15047531,29.08568143,29.82697376,29.51496388,29.13213628,29.07326092
Netherlands Antilles,5.555555556,5,4.545454545,5.479452055,6.329113924,7.317073171,8.43373494,9.090909091,9.677419355,9.89010989,11.9047619,13.48314607,13.82978723,16.84210526,18.36734694,23.46938776,26.04166667,29.16666667,30.52631579,33.69565217,34.48275862
New Caledonia,5.882352941,5.555555556,4.87804878,4.347826087,3.773584906,5.970149254,5.479452055,6.329113924,5.813953488,7,8.181818182,9.482758621,11.02362205,11.76470588,13.28671329,15.78947368,17.72151899,19.13580247,20.23809524,22.5433526,23.59550562
New Zealand,12.70833333,11.80297398,11.0738255,10.47040971,11.07954545,11.24837451,12.02815099,12.7228027,13.82405745,13.90874107,14.40588854,15.33530572,17.03529412,18.72187219,20.88197147,23.16360601,24.62535439,25.29691211,25.60124127,26.21136971,27.21471471
Nicaragua,4.192546584,3.738317757,3.615819209,3.782735209,3.666666667,3.642857143,3.806015961,4.150943396,4.364694471,4.696251616,5.078740157,5.578130772,5.900728914,6.815245478,7.944208611,9.10396324,10.43669322,11.86305732,13.68448231,16.01216114,18.31198191
Niger,1.470588235,1.707498144,2.108626198,2.557127312,2.825382121,3.011093502,3.049813623,3.340230565,3.512820513,3.426588592,3.303085299,3.296200214,3.303605075,3.300364394,3.541051901,3.864593927,3.724508487,3.712704897,3.845300927,4.01668469,4.387131989
Nigeria,4.447409384,4.584857444,4.665077151,4.560810811,4.474722123,4.400885236,4.336197115,4.383619976,4.372894666,4.365764554,4.428328466,4.534751773,4.581259059,4.726646968,4.930200955,5.194928085,5.551076211,6.133446553,7.00094897,8.05189739,9.194344056
Norway,12.61595547,13.48973607,14.85426009,15.63342318,16.38154484,17.09401709,17.97530864,18.76519203,18.30314585,17.42354032,16.58404687,17.39130435,19.28807947,20.78853047,22.42774566,24.04779686,25.81699346,26.953125,27.21563154,27.35072066,27.78904665
Oman,4.329004329,4.347826087,4.316546763,4.761904762,4.619565217,3.887688985,3.04,2.303030303,2.243902439,2.654176425,3.09352518,3.903095559,4.764813684,6.106442577,7.660455487,9.942084942,12.09640746,13.47150259,15.59518872,18.76,21.25340599
Pakistan,10.79873883,10.11985111,9.585170114,9.237606838,8.796773607,7.98165624,7.20699977,6.554598933,6.069719527,5.873558625,5.837450657,6.000374365,6.143283708,6.462839148,6.991558207,7.696925653,8.578442148,9.634403594,10.86635689,12.40889736,14.39390401
Panama,6.12244898,6.586826347,6.620209059,6.466165414,6.25,6.4,6.747230614,6.884057971,7.113654947,7.4019245,7.790463398,8.466257669,9.343148358,10.41009464,11.79664363,13.46691519,15.31971581,17.09292413,18.52310231,19.8632891,21.13564669
Papua New Guinea,6,4.291417166,3.803339518,3.1543052,3.279938978,3.201634877,4.873752202,4.724409449,4.396632367,4.09598676,4.004368402,3.920308483,4.055984005,4.435897436,4.932526757,5.657167163,6.329610033,7.045330421,7.708049113,8.487679175,9.511410629
Paraguay,3.739612188,4.247572816,4.366347178,4.646840149,4.758064516,5.039034776,5.210918114,5.448717949,5.633147114,5.766062603,6.097560976,6.630944407,7.302853636,8.361678005,9.371700106,10.30799801,11.22617086,12.01079622,13.2972973,15.13502198,17.09453953
Peru,5.254942768,5.242673993,5.218956209,5.157493943,5.15711923,5.169480434,5.159367118,5.328578706,5.672461116,6.165751373,6.729516364,7.328605201,8.097686375,9.09614646,10.29054218,11.7592539,13.3411189,15.06532609,16.99298503,18.80197105,20.74955685
Philippines,4.252538454,3.940674312,4.005310909,4.173759536,4.434300619,4.51305292,4.416130628,4.352682593,4.297420912,4.604218644,4.989530667,5.526798357,6.152965131,7.058134998,8.058475512,9.141213301,10.29482148,11.53373861,12.9721569,14.59103124,16.43202696
Poland,6.965931186,7.094414387,7.699281679,9.265447874,10.82955119,11.49918424,10.77198246,11.15643259,12.1203963,12.95783646,13.72538499,14.08229561,16.10774851,19.1120647,21.89408238,23.21136607,23.93675342,25.54012346,28.18865847,31.51117283,33.92903731
Portugal,8.827893175,8.957025592,9.832586654,10.65268065,12.191582,12.90845886,13.62281822,14.69066832,16.62855955,18.04837709,19.14505673,19.76880878,20.86220169,22.29665072,24.08899118,26.31578947,28.50204002,31.09062377,33.51877608,34.93537964,35.24691358
Puerto Rico,6.093189964,6.951871658,7.712082262,8.208366219,9.459459459,9.046624913,11.003861,11.57575758,12.52194266,13.21388578,14.30125068,15.66329249,17.53653445,18.91337775,20.24291498,21.75438596,23.0692576,24.19113987,25.64870259,27.09483191,28.36951035
Qatar,0,0,0,2.325581395,1.428571429,2.654867257,2.054794521,1.652892562,1.923076923,2.305475504,2.729528536,2.160493827,1.845342707,3.396851698,3.032659409,4.639175258,6.862745098,9.590878605,13.27319588,18.05728518,22
Reunion,4.201680672,3.571428571,4.268292683,3.703703704,4.035874439,5.084745763,5.241935484,6.296296296,6.779661017,7.407407407,7.954545455,8.638743455,9.803921569,10.90487239,12.7753304,15.53191489,17.38241309,18.32669323,18.71345029,19.57773512,20.72243346
Romania,7.499682217,8.51590106,9.186059459,10.89406461,11.89422884,12.70311604,11.59393829,12.48328132,13.79039301,15.40535682,16.67128988,16.70619486,17.47110809,19.03203412,20.47802309,20.66218314,23.28244275,25.65667575,28.73498709,30.64814815,33.26948402
Russia,6.429511321,6.338446415,6.251636309,6.63604771,7.627004447,8.663342134,8.354073726,8.480225819,10.88424576,11.83942067,13.62522249,12.52221319,13.44513183,15.35205727,17.52645184,19.05732987,19.47768763,20.28059453,21.45142938,23.6215755,25.96723985
Rwanda,3.461178672,3.428571429,3.50877193,3.539823009,3.485254692,3.487838458,3.08988764,3.596878181,3.697284806,3.376822717,3.39869281,3.271135683,3.23098535,3.398143283,3.879577902,4.333845939,4.671588595,5.035551929,5.832529216,7.368421053,9.014947544
Saint Lucia,2.5,2.380952381,4.761904762,4.255319149,5.882352941,5.660377358,5.263157895,6.451612903,8.823529412,9.85915493,9.090909091,8.641975309,8.235294118,9.090909091,11.82795699,11.70212766,15.30612245,15,18.86792453,20.19230769,22.11538462
Saint Vincent and the Grenadines,3.225806452,3.03030303,2.702702703,5.128205128,4.761904762,6.666666667,6.12244898,7.692307692,7.407407407,7.843137255,7.407407407,7.547169811,8.928571429,9.090909091,12.72727273,13.20754717,16.36363636,17.54385965,18.6440678,18.6440678,20
Samoa,2.380952381,0,1.818181818,1.5625,2.739726027,2.631578947,2.53164557,2.469135802,5.813953488,5.747126437,5.555555556,5.376344086,5.376344086,5.319148936,7.216494845,7.368421053,8.910891089,9.803921569,9,9.900990099,13.7254902
Sao Tome and Principe,3.03030303,3.03030303,2.941176471,0,5.714285714,5,6.12244898,5.769230769,5.263157895,4.838709677,5.797101449,5.194805195,4.87804878,4.444444444,4.12371134,4.716981132,5.217391304,5.691056911,9.022556391,10,12.75167785
Saudi Arabia,5.353846154,5.323819978,5.23255814,4.995904996,4.771573604,4.436860068,3.894351263,3.387210119,3.15684537,3.346089687,3.854835909,3.924273779,4.410227827,5.547761765,7.207578254,9.415441983,11.95764463,14.09102091,16.04599442,17.210601,18.4370967
Senegal,5.132450331,4.870848708,4.69151671,4.510022272,4.347826087,4.344328238,4.312762973,4.270896888,4.206349206,4.208092486,4.13961039,3.963577933,3.703122548,3.448755389,3.458609065,3.694050992,4.188264566,4.958520072,5.893788106,6.975400363,8.201696366
Serbia,9.299479963,8.441926346,9.117725932,10.28732683,11.98316415,11.82872013,11.22886133,11.82608696,13.40770364,15.55643408,16.88234123,16.95054381,17.60606682,19.37140509,20.37113402,21.11595105,22.03637884,23.31365936,24.88282914,26.56317378,28.02533858
Sierra Leone,4.621848739,5.392156863,5.716878403,6.035205365,6.086286595,5.960729313,5.926860025,5.662514156,5.188916877,4.609010875,4.148365056,3.708182185,3.409490334,3.119151591,3.094507945,3.237139272,3.542234332,4.013239553,4.607508532,5.281566981,5.960695144
Singapore,2.830188679,2.61627907,3.016241299,4.132231405,5.178907721,6.298533218,6.574675325,7.246376812,7.778510218,8.670849971,9.82230997,11.41127154,14.97326203,19.63722397,25.00958957,29.81273408,33.21046812,35.02762431,35.51994037,35.86915177,36.71723065
Slovak Republic,8.858501784,8.382909681,8.893280632,9.836065574,12.58396776,12.45186136,11.72864732,11.88118812,12.49027237,12.53353775,12.47608113,12.97856049,14.44359756,17.00189753,19.31818182,21.05263158,22.31245166,24.53721938,27.71084337,30.47227926,32.5210084
Slovenia,9.915014164,9.68622101,10.62416999,11.74968072,12.5,12.69276394,11.55152888,11.55115512,12.64737406,13.94129979,15.51189245,16.71794872,18.82591093,21.77822178,24.20634921,26.41509434,28.1,29.8281092,31.7671093,33.12693498,33.8894682
Solomon Islands,4,5.263157895,6.451612903,6.849315068,6.976744186,5.769230769,5,5.673758865,4.938271605,5.291005291,4.62962963,4.489795918,4.693140794,5.161290323,5.263157895,5.6,6.650246305,8.616780045,9.635974304,11.29032258,12.54826255
Somalia,4.096170971,4.32,4.379038047,4.530950862,4.445694992,4.47394297,4.402515723,4.358892778,4.323827047,4.187344913,4.127938764,4.010630587,4.028436019,4.223765722,4.452111056,4.666281422,4.96807152,5.349419531,5.891997131,6.150405368,6.633612583
South Africa,5.237676056,5.231650182,5.161512818,5.127424104,4.633101232,4.319300164,4.211035818,4.162089589,4.339456605,4.715175899,5.018814889,5.502493449,6.079588805,6.86074759,7.556578443,8.03611569,8.465181161,9.04459059,9.917148775,11.1783868,12.50879415
Spain,9.343583678,10.01836937,10.87427257,11.37766915,12.43784112,12.87106017,13.22466721,14.71774194,16.60446781,18.38353466,19.12778905,19.1220203,19.92039,20.71129707,22.30171202,24.7905312,27.8298283,31.16216109,34.14057885,35.5365444,35.53487285
Sri Lanka,13.62827924,9.341117598,7.02887538,6.160729651,6.120235513,6.542056075,7.029419422,7.723230601,8.297994269,8.790128849,9.002459104,9.443926685,11.38106144,13.50621807,15.58135145,17.71407228,19.44547823,19.62207949,20.42839772,22.73584906,24.4714436
Sudan,5.127645647,4.833074534,4.597701149,4.409759054,4.362862463,4.362224506,4.368129195,4.415175613,4.474322239,4.571539106,4.743465634,5.0005134,5.337931034,5.702757789,6.151102341,6.707978854,7.417412531,8.347815482,9.458837075,10.73764883,12.1255013
Suriname,8.411214953,6.349206349,6.206896552,5.487804878,5.347593583,5.494505495,5.434782609,5.759162304,6.763285024,7.239819005,7.264957265,7.228915663,8.015267176,9.124087591,10.56338028,13.14878893,14.66666667,16.17161716,17.26384365,19.09385113,20.52117264
Swaziland,3.759398496,4.054054054,4.142011834,3.743315508,3.333333333,4.048582996,3.846153846,3.603603604,3.921568627,3.887688985,4.238921002,4.197080292,4.429301533,4.724409449,4.96350365,4.794520548,4.6875,4.625,5.054151625,6.177156177,7.936507937
Sweden,14.02805611,14.73189608,16.05898123,16.83501684,17.97808765,19.21000981,19.81063365,21.21726479,20.19389927,19.45908778,19.61635077,21.10888444,23.01690507,24.11092295,25.05685342,26.15914153,27.22742675,27.91018318,27.93459217,27.9369352,28.59312702
Switzerland,12.5994695,12.77915633,13.29457364,13.4595163,14.14375621,15.05829016,15.70221066,16.30193467,16.54456654,16.73457509,17.61185523,19.09865348,21.17044229,22.90339703,24.94117647,27.32423384,29.01831129,29.4858871,29.19689767,28.92644135,28.72628726
Syria,7.084468665,6.527033609,5.717916137,4.989075018,4.429987608,4.091266719,3.852967228,3.89205067,3.991269099,4.030397612,4.201176329,4.309541075,4.497447632,5.020920502,5.855722132,7.099126367,8.638794048,10.57528582,12.92544571,15.61476547,17.99098035
Tajikistan,7.827260459,7.638888889,7.389162562,7.148659626,6.565307533,5.764705882,5.066530194,4.799647732,5.279149259,5.264980949,5.205302296,4.723680148,4.524627721,4.830287206,5.739673391,6.976744186,7.766990291,8.524788392,9.293752425,10.87488241,13.58386801
Tanzania,3.40391316,3.53381699,3.58735306,3.698534543,3.752429362,3.825136612,3.864944089,3.903931751,3.967939052,4.054418103,4.192995925,4.31847462,4.380146895,4.388389772,4.430740356,4.561735887,4.84398923,5.299271113,5.911234576,6.610967704,7.399727149
Thailand,4.497533611,4.572481367,4.780100937,4.927572118,5.034042781,5.200510132,5.407460606,5.947170391,6.916344825,7.909148943,8.944071004,9.444889409,10.64712554,12.7115435,15.15134209,17.45857597,19.31143979,20.70963271,21.71010719,22.60903362,23.37785461
Timor-Leste,4.545454545,3.829787234,3.543307087,3.914590747,4.220779221,4.117647059,3.378378378,3.28358209,3.421052632,3.669724771,3.855421687,4.554455446,4.362416107,4.26742532,4.733009709,4.631578947,4.717853839,5.0330033,5.133928571,6.115591398,6.993865031
Togo,6.880733945,6.205923836,5.447470817,5,4.770992366,4.64344942,4.585152838,4.484848485,4.432989691,4.427202191,4.547206166,4.723346829,4.943418702,5.25198939,5.608591885,6.076388889,6.726368159,7.635694572,8.835134671,10.26095361,11.74496644
Tonga,0,0,0,0,1.960784314,2.173913043,4.081632653,4.347826087,6.12244898,6,6.12244898,6,7.547169811,7.407407407,7.272727273,8.771929825,8.333333333,10,10,9.523809524,10.9375
Trinidad and Tobago,5.678233438,5.555555556,5.035971223,5.122494432,6.485355649,6.986027944,7.578558226,7.167235495,6.867671692,6.763285024,6.973058637,7.511737089,8.769230769,10.13615734,12.14392804,14.7761194,16.56626506,18.04281346,20.24922118,23.76395534,26.60098522
Tunisia,6.988636364,6.054279749,6.100422337,5.874894336,5.829066562,6.437021573,6.360856269,6.763675559,7.394026975,8.647450111,8.866065814,8.787452242,9.186804756,10.46469082,11.99579095,13.4449518,15.12106737,17.24361048,20.01277751,22.99778411,25.9335119
Turkey,4.364450247,4.541774611,5.26205597,5.51200392,6.500706599,6.314739143,5.677286566,5.770491803,6.229253478,6.934318395,7.218404541,7.522074438,8.196548822,9.21262591,10.57554984,12.29399377,14.2002128,16.50319737,18.76748326,20.9122455,22.35996517
Turkmenistan,9.612141653,8.597285068,7.307692308,6.573275862,6.035283194,5.483870968,4.619758351,4.342353682,4.869950194,5.125725338,5.535553555,5.146443515,5.137254902,5.908419498,7.312806158,8.895602551,10.37735849,11.91759113,13.5235732,15.50883608,18.09408926
Uganda,4.393468118,4.08997955,3.915752002,3.941752448,3.942041338,3.986710963,4.018424396,4.032586558,4.034908761,4.075174993,3.825002052,3.664994426,3.425466572,3.203615365,3.055866403,3.113799283,3.434926676,3.989027984,4.644629401,5.422708488,6.301929925
Ukraine,8.609809435,8.646766737,8.726601635,9.35410932,10.40975564,11.35822438,10.7063197,11.16048539,13.39704896,13.87363798,16.26314394,15.81472596,16.01088721,17.04009434,18.54338061,19.8066126,20.37285768,21.43730547,22.93577982,25.22713864,27.32402913
United Arab Emirates,5.555555556,5,4.545454545,3.529411765,4.225352113,2.7100271,1.709401709,1.857923497,1.721311475,1.681195517,1.690269529,1.690039554,1.901743265,2.984642133,4.321152307,5.276195194,7.900834106,12.42925555,14.94347379,15.45667447,15.32152842
United Kingdom,13.62008627,13.76688506,14.05167979,14.63192627,15.83623306,16.63925138,16.87771412,17.69863213,17.9403307,18.17247368,18.50406051,19.21981004,20.75887715,21.37289976,22.24435178,23.64569416,24.80375833,25.24447558,25.17360115,25.54452093,26.27285591
United States,11.90775203,12.27898764,12.11638146,12.03057967,12.35151621,12.78560876,13.4217266,14.18965897,14.46388429,14.24592151,14.31618649,14.90838144,16.4043267,18.30239694,20.45618527,22.30404107,23.33137919,23.8940624,24.25732358,24.75313571,25.41027103
Uruguay,11.20917917,10.98072087,10.93627065,11.3179449,11.82795699,12.84796574,13.28671329,13.95507148,14.51292247,15.02557545,14.80099502,15.14018692,15.54054054,16.17380809,17.10059172,18.35075494,19.26605505,20.625,22.26606539,23.12886888,24.52085682
Uzbekistan,9.649983644,9.215798512,8.724021266,8.328304164,7.597324644,6.351056082,5.150433452,4.749693388,5.16765286,5.277509016,5.684125051,5.418003974,5.529820498,6.375563756,7.911392405,9.625932088,11.00802855,12.63560944,14.310944,16.51128833,19.41137198
Vanuatu,0,0,0,2.631578947,4.166666667,3.773584906,6.666666667,5.555555556,5.194805195,5.747126437,5.154639175,5.454545455,5.6,5.035971223,6.962025316,6.395348837,8.021390374,8.415841584,8.796296296,11.20689655,12.65306122
Venezuela,3.255813953,3.821857233,3.986538959,4.220779221,4.475962424,4.621588089,4.684637529,4.915409236,5.351942966,5.776140855,6.251526252,6.983323407,8.103471936,9.407487722,10.78542801,12.43913487,13.97245477,15.28556594,16.87031729,18.54648882,20.31828453
Vietnam,6.348273328,6.590909091,6.762967827,7.03928289,6.949716482,6.934475087,5.998531287,6.039532733,6.008048164,6.313003323,6.646251265,7.149076134,7.398318564,8.614151513,10.74422619,13.64218574,16.55108029,19.14802705,21.09029832,22.4870354,24.71483574
Virgin Islands (U.S.),0,0,0,0,3.333333333,5,6.25,6,9.615384615,9.433962264,11.76470588,14,20.75471698,21.56862745,24,26.66666667,30.43478261,27.90697674,25.64102564,27.02702703,26.47058824
West Bank and Gaza,7.85440613,6.839186691,5.954465849,5.483870968,5.150976909,4.6875,4.836601307,5.245901639,4.627949183,4.751131222,4.119850187,3.815995818,3.832442068,4.089506173,4.700710179,5.543901708,6.276824034,7.122022363,8.010680908,8.911298621,10.30314658
Western Sahara,0,0,0,0,2.380952381,2.43902439,5.063291139,4.081632653,4.310344828,3.731343284,3.614457831,3.846153846,4.270462633,5.454545455,7.387862797,9.226932668,11.82033097,14.70588235,17.03539823,19.35483871,20.88607595
"Yemen, Rep.",5.782469022,4.893350063,4.362670713,3.968525488,3.658536585,3.383565539,3.133971292,2.908233445,2.642178186,3.708878445,3.517151541,3.487169847,3.523079432,3.765124555,4.095947893,4.422851399,4.811620517,5.447345398,6.424237281,7.773391236,9.41547597
Zambia,4.288164666,4.018195603,4.03172505,3.981797497,4.035002431,4.105090312,4.076655052,4.091313371,4.043743642,4.06360424,4.208301307,4.34485118,4.352425571,4.179463213,3.966942149,3.832347973,3.898579735,4.235375803,4.802102413,5.460700618,6.27612196
Zimbabwe,4.817518248,4.87804878,4.810261892,4.586739328,4.50867052,4.388816645,4.391052196,4.225352113,4.287636993,4.444060176,4.790812141,5.17612039,5.001634521,4.607757364,4.074990236,3.640951694,3.507395787,4.208311415,5.988678121,8.743529412,11.83230092
