Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burundi,116.0098612,98.311239,105.3729712,107.8375504,112.58149,114.9206456,117.9242338,131.5715697,128.6699887,124.6500069,149.15308,151.6801577,140.8822549,149.5418861,147.1445375,146.3148368,155.3174989,169.6562102,164.1488202,162.5554908,159.5632026,173.6195409,166.386831,166.9876384,161.8115391,175.0783178,175.0800362,179.0586489,182.5993009,180.1112844,181.9453709,186.9548432,185.2494132,170.8145217,161.983591,147.4483698,134.4704068,131.4495757,136.7637062,134.0865171,131.0463341,131.1620296,133.7748047,128.6077932,130.9790183,128.2961159,131.1716587,133.286878,135.862446,136.6612801,138.2482379,140.8125043
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.7954474,222.0830303,229.8906408,236.2080833,243.6909759,250.4546803,274.8197687,293.5684654,311.9854949,327.8875011,350.8889852,382.1903258,427.5292527,468.031827,510.0197663,538.1334555,532.6175229,557.976913,590.4521124
Cameroon,469.2004319,464.7532472,468.5238567,475.2823344,481.0087671,479.4559002,489.8299735,425.9621712,441.9764664,452.1452746,454.3443481,458.0784442,458.0538316,469.7204383,505.8821893,546.8745512,501.7814246,553.7315707,655.2676465,674.0747579,641.4318341,729.4355953,762.1234023,791.6323343,826.8077331,867.9212259,899.8275579,854.8123204,764.9579675,729.3669958,665.4106421,622.2354314,586.4431124,552.4920757,524.6822672,528.3640454,541.3029119,555.517306,570.0967274,581.6360839,592.3720003,605.161077,615.2922429,625.7819278,634.5093706,634.7228138,640.7628163,647.9445442,650.0360972,648.4856617,653.0286932,665.7982328
Canada,9374.882816,9479.824032,9967.365638,10290.362,10774.65331,11283.60611,11804.66776,11932.16501,12362.93157,12837.46788,12986.31241,13320.19496,13823.29238,14537.58953,14806.31259,14793.71474,15358.40595,15703.90339,16161.76834,16610.16721,16751.33878,17124.39055,16435.46551,16713.69949,17516.23999,18183.73352,18437.71141,18971.40746,19659.67026,19817.99342,19561.87934,18893.80497,18826.65615,19057.23091,19781.71278,20169.53897,20276.45211,20911.11206,21580.31775,22586.44127,23559.50369,23738.89538,24214.92928,24425.87539,24936.82539,25437.65134,25943.73602,26229.74308,26101.76407,25069.86915,25575.21698,25933.28833
Cape Verde,,,,,,,,,,,,,,,,,,,,,559.9206642,601.8469925,607.8207683,650.5360837,660.1820209,704.3070693,715.1818663,738.9140155,776.543433,811.7141341,804.3764952,798.493307,802.3364283,837.8068344,871.9461404,913.9044579,952.8352477,1003.94853,1066.937087,1171.027518,1233.257523,1285.841106,1330.908785,1371.15693,1409.156806,1481.686684,1613.584414,1735.883891,1827.021304,1878.471315,1958.888455,2038.880104
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,355.8227575,367.1653474,347.3010458,338.5146939,338.9837336,335.4894692,330.8231802,339.1045646,336.6768872,353.1305226,354.1439659,351.2215257,344.5742119,344.4342887,359.1182027,353.1771385,364.3967639,369.8758014,365.6224913,347.7575978,323.3966171,309.4026908,323.4040156,288.2819587,306.6463819,310.338116,313.8412927,291.8900705,290.7425203,290.2125685,277.5680849,269.3737568,245.7274127,240.249786,245.6903838,257.0281895,241.0434361,248.1671687,254.3143158,258.1975432,247.0281844,244.1919456,238.7862042,218.3631403,217.0755276,218.6561387,223.0974528,227.270618,227.6029896,227.1749071,229.5813971,232.623253
Chad,253.9441747,252.0936939,259.9471639,250.305059,238.8161481,235.2016803,226.1765228,223.2632112,217.6832943,227.7435682,226.862459,216.6275841,213.8611828,191.2121433,196.012722,208.9584178,210.7317473,211.1847657,206.1136326,158.7065245,145.9974612,144.2875656,148.5237038,167.6670557,166.7207562,197.5315344,183.9986147,174.1621285,194.8745103,198.0353201,183.9441217,193.6350667,202.9054101,165.9573803,177.3187634,174.0664733,172.4750383,176.6110338,182.9623533,175.8331812,168.4499977,181.5604881,189.9901139,210.2762831,271.4740773,308.4009003,299.8800932,292.1434649,283.2750275,272.6255027,300.1061535,301.4017086
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40765.90844,42080.5626,44310.90232,43441.71524,42548.75816,41008.40348,40905.62335,41246.18599,42994.34591,45226.0317,,,,
Chile,1841.080148,1867.609086,1915.332698,1982.230412,1986.327014,1948.831838,2096.923149,2128.054026,2163.994925,2196.266535,2201.351475,2356.71427,2296.669104,2146.52576,2164.774047,1889.540331,1925.67926,2064.235739,2188.198883,2345.43174,2500.267727,2579.571319,2277.388436,2156.144227,2290.183269,2412.896975,2505.825152,2626.629012,2771.190084,3011.177964,3067.65058,3252.58105,3585.435758,3766.798632,3912.849555,4258.237391,4504.721321,4734.56415,4822.819463,4984.1018,5144.589254,5254.015345,5306.721216,5455.926747,5723.690145,5979.068028,6190.109402,6410.806732,6581.357952,6451.631126,6781.696484,7122.938458
China,105.4589882,77.66230912,72.32492731,77.86736518,88.13005164,100.1375243,107.805084,99.08012306,92.5691207,105.288508,122.2901546,127.3050316,128.9349799,135.980158,136.2632825,145.5248126,140.9977374,149.6600682,164.9481542,175.1324228,186.4396607,193.638156,208.1708635,227.5496401,258.7202307,289.6759682,310.514347,341.0212935,373.4945008,382.8921553,391.6529529,421.8891748,475.9288697,536.3572647,599.8022805,657.9926002,716.2451166,774.884634,827.348598,882.5523218,949.1780621,1020.519994,1105.952557,1208.993961,1323.219929,1464.107627,1640.861518,1864.102702,2032.61498,2208.403948,2426.332466,2639.54156
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
