Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.762401,1380.237581,1369.632077,1442.886916,1479.572876,1535.408901,1614.51344,1702.497204,1805.409821,1842.905408,1899.459885,1973.732739
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21085.45971,21210.33041,21078.64108,20798.95413,19398.22222,19434.40002,18905.85819,18906.40295,21586.83197,23107.46608,24715.55216,25034.0479,25100.0281,25308.08492,23116.34061,23114.58667,24286.1158
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0584447,403.4457874,448.7108713,451.6883377,468.3466561,424.5762424,361.4138827,305.4537963,244.189418,228.6509637,241.2524383,261.333537,262.8158265,268.4053375,279.620275,291.7193318,289.0037341,306.0954277,323.6638562,319.4720621,325.8628655,350.3441065,376.1870312,382.4003295,376.0840211,393.1914713
Lao,,,,,,,,,,,,,,,,,,,,,,,,,206.459758,211.1536744,215.515102,206.6497011,196.9198753,218.6268144,226.7940561,229.959857,236.0549501,243.2833933,256.3399895,267.6619733,279.6257584,292.3715439,297.7823269,313.4144671,325.5930951,338.4722045,352.7798199,368.4631248,386.0090906,407.2442907,435.6645778,461.6632892,490.2975328,519.3051858,555.5194618,591.8581836
Latvia,,,,,,1558.054419,1610.394364,1784.940025,1889.230705,1959.062758,2101.863674,2248.106062,2344.534427,2459.545365,2556.612907,2711.310161,2846.472753,2920.949257,3001.370648,3082.812618,3201.325059,3326.567214,3389.066603,3545.045709,3725.557251,3687.353007,3829.752077,3879.472234,4035.933156,4243.771505,3912.245399,3435.705852,2364.538008,2291.456926,2381.162683,2392.537411,2511.364882,2746.617228,2903.583612,3064.871174,3300.934656,3593.665247,3853.077108,4153.934086,4538.847782,5046.862474,5695.361455,6296.227116,6055.664808,4993.181194,5011.201551,5330.567994
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4304.222843,2461.627531,3066.729316,4129.431972,4170.909613,4299.352406,4484.612871,4642.360019,4775.778817,4591.051699,4694.885926,4615.528049,4612.198672,4718.173498,4794.649971,4865.705023,5147.690669,5129.401773,5103.490175,5436.651885,5895.082206,6350.330241,6745.659909,6896.230909
Lesotho,132.2258307,132.3792823,149.9592656,162.8366572,172.9652023,173.3141646,169.244984,183.9763249,179.6037517,178.686999,178.8732669,184.2238454,180.1315445,222.9811832,242.0865338,204.5401067,221.598296,263.0654634,303.1206852,303.652696,287.5269949,281.902671,281.5476568,265.6032705,286.0878672,293.5140833,288.8752613,262.9086977,280.7298993,294.3315742,307.6918799,309.2657103,326.1564687,330.938784,343.4238701,343.106329,352.3271085,357.4044134,369.934015,364.9195464,379.7756226,390.6006034,390.5998486,403.8157931,409.2815293,416.5360078,430.3513273,446.3204159,465.6937471,474.1677211,495.6616443,518.984126
Liberia,608.0254331,608.1567607,601.5957155,600.3673639,615.7711765,629.1689273,660.4532798,686.8898309,700.89646,732.1059078,759.9507565,775.5930142,785.5523635,746.4991416,759.9227427,712.5492516,729.0347528,719.8268559,733.0569765,734.5005098,682.4003209,645.5258338,608.244717,577.91413,551.974036,539.3901312,527.9864537,524.7438983,519.3949633,386.2721767,192.0145425,167.5149286,110.7091446,75.06432943,58.4599316,54.50519236,58.08325438,111.8601987,134.7861016,155.2565309,185.8134039,219.7689494,284.3651077,188.4030778,175.5789124,186.8010756,196.9509939,217.1365282,228.1123148,247.4982622,263.7055952,279.2204061
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6366.402935,6479.712522,6084.628534,5891.721227,6529.360896,6681.912629,7194.621728,7458.766454,7736.544274,7865.254376,7885.468037,,
Liechtenstein,,,,,,,,,,,32622.11206,32495.67745,32447.18017,32452.21485,32477.17062,32500.34807,33504.54266,34539.91287,35609.02501,36719.00802,37874.39217,39097.85229,37898.7906,37543.87223,38591.08105,40723.64189,41781.44111,45037.38546,46959.86859,48438.1595,48888.63365,49118.48924,50223.9128,51714.9956,54551.23254,57024.68607,60209.33431,63781.81195,67918.1813,74111.48558,75606.2032,74180.37242,72597.82664,70395.67093,71777.36546,74525.01466,80275.88488,82308.43696,83186.91152,81647.10003,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4290.780128,4040.370706,3184.88596,2680.758496,2435.800253,2535.380653,2687.135042,2909.227045,3153.932319,3142.298633,3267.347443,3505.702768,3759.516239,4162.578654,4492.771404,4873.504234,5287.136551,5839.145602,6041.40902,5179.581644,5332.530607,5793.289777
Luxembourg,13702.912,14098.6311,14116.20888,14450.75305,15413.83461,15127.46998,15185.05726,15167.99777,15762.37749,17249.59136,17466.69322,17762.36885,18706.07015,20038.46,20612.02061,19048.2948,19434.61321,19705.44245,20471.66642,20902.82908,21003.69501,20826.49357,21044.81661,21668.11224,22985.0677,23581.12705,25819.34721,26666.08424,28713.8011,31222.04114,32473.98605,34811.59628,34977.32639,35960.6155,36829.65055,36836.02214,36888.60393,38592.16632,40589.27007,43416.66048,46453.24578,47059.30298,48473.59546,48685.68121,50096.42191,51927.36096,53628.23455,56285.27685,54881.98403,51678.20312,52222.57667,52056.01781
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,10028.38084,10594.62361,11008.99817,10616.43523,10851.41843,11887.07245,12307.1575,12458.48966,13033.75616,13158.10771,14577.02034,15044.12439,15422.24854,15670.4786,15361.73198,15083.07103,14169.15475,13605.60248,14128.87518,14261.29034,15212.8881,16755.03051,20776.99739,22024.05015,24595.65317,27440.57214,27656.90664,27459.57241,34083.96421,40258.80862
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059.418592,1918.851096,1782.227555,1640.555372,1603.851844,1578.21368,1588.982543,1603.972796,1650.335836,1714.397671,1785.326792,1698.629946,1707.892277,1751.17665,1827.504436,1902.296519,1993.12215,2110.685735,2210.198276,2185.338849,2220.04388,2283.798023
Madagascar,409.1168324,407.6519958,406.9721425,393.4847439,399.1438589,387.6113485,385.8594581,397.0740148,413.53477,417.9926566,428.6508881,433.7869909,416.8795563,395.0599314,392.0746672,386.1936065,364.0595307,362.3713638,343.036006,366.6858676,359.9436907,316.7581406,303.2762338,298.4251841,295.8589576,291.4985944,289.2287118,284.5644347,285.9508944,289.0868754,289.4941085,263.2905835,258.5376868,256.0721212,248.1562506,244.6940024,242.2391988,243.3822039,245.0811228,248.5521079,252.3825167,259.4294043,219.7202784,234.008294,238.996113,242.6160692,247.3222293,255.0941521,265.3663611,245.9461456,242.6858167,238.1727482
Malawi,98.63484519,103.746162,101.9965304,98.18027624,98.36036919,109.0299984,120.4460898,126.0086103,120.4364023,124.1312593,121.2422747,136.7823178,140.8933527,139.6359764,144.9055449,148.8031497,151.131402,153.2753119,162.6546645,164.4457194,160.2232084,147.7407881,147.7910253,149.332191,152.2302026,152.5990162,144.4648578,138.3718826,134.6783539,129.9353945,132.5055352,141.0247834,129.360236,141.3153563,126.188337,145.6410746,153.3909449,155.3738924,156.9657643,157.1518033,155.2715445,143.700152,142.3914479,146.3657361,149.4329748,149.4843299,148.2569961,157.6213676,165.6965065,175.1996212,180.9022956,182.8754793
Malaysia,812.6158346,846.5127065,871.7634759,905.7198234,924.6279113,966.2884364,1012.766153,1023.951967,1077.494233,1102.056987,1139.287768,1175.357189,1254.427269,1367.737166,1446.402359,1424.167388,1552.595897,1635.180089,1704.361802,1820.607315,1909.618067,1992.32596,2057.941244,2130.40189,2234.910073,2149.417362,2112.890278,2162.540715,2308.568393,2445.909291,2592.517053,2764.200613,2932.017288,3140.825774,3344.567799,3581.946302,3842.637758,4022.843596,3636.473102,3767.637015,4005.556325,3933.935077,4052.878748,4194.260799,4385.96954,4529.601248,4695.229726,4905.121369,5057.826663,4901.547097,5168.686016,5345.213415
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.965592,1805.371141,1954.402059,2106.196296,2218.617325,2284.973955,2325.14865,2427.824507,2728.91492,3023.911169,2721.81492,3209.469325,3500.111026,3874.825542,3642.543754,3800.488287,4030.635872
Mali,,,,,,,,163.4999334,167.053427,164.8478041,172.1268594,173.5459457,180.434843,174.5781961,168.7590006,184.9348312,206.3328328,215.4988549,208.5116941,225.9184264,211.9885663,198.5499525,185.3905593,190.2535609,194.675116,169.4834055,180.86,177.317128,177.3656385,195.0948012,187.9581875,186.9329547,197.7157132,188.5664649,185.2889307,191.5799132,192.4900901,199.984459,206.2589562,213.9847903,214.4665918,233.3020271,235.6609022,245.4620828,243.1253151,249.9919308,255.1821602,258.0305073,262.7028131,266.2421489,273.2537959,272.309384
Malta,,,,,,,,,,,2074.143532,2124.691745,2250.59689,2345.849174,2583.031438,3065.677837,3569.158575,3988.430499,4387.67494,4799.084826,5083.817093,5213.701291,5219.636331,5115.065266,5162.190472,5203.428664,5316.020449,5496.555813,5910.323351,6331.806858,6664.644459,7011.202376,7268.309759,7522.272236,7877.446011,8320.717842,8582.794968,8972.622255,9375.555737,9770.355503,10377.03732,9912.989689,10116.00482,10062.9613,9945.301724,10244.27105,10405.84596,10781.04969,11172.28154,10822.30802,11062.23272,11213.537
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,1814.210514,1819.747737,2007.9701,1990.224514,1779.771581,2113.507999,2204.78313,2273.261769,2149.517766,2137.689731,2087.435269,2195.722491,2296.391941,2406.123996,2581.130408,2298.033405,2137.102063,2067.001174,2011.641453,2127.485462,2242.192582,2303.718569,2310.920837,2310.706943,2368.148833,2404.736431,2464.990651,2399.438278,2344.615002,2437.282445,2522.824763
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,373.8768493,419.9330425,411.1976827,391.799003,486.3427398,549.0964132,535.0665591,538.7700101,577.1833292,568.0101827,618.0885057,611.4916358,589.5397521,546.2434475,594.9335315,548.050216,577.7009671,550.5126173,532.0007718,541.5331574,543.8493166,546.6491043,518.7778954,523.1012913,492.2848156,493.3351113,507.7229519,503.8970039,499.3001375,509.5373674,487.3070393,482.7378614,478.453331,492.6801393,464.4188105,495.871645,510.1200356,475.82487,483.3906596,505.9877562,489.511645,485.096439,474.3767771,488.4919086,502.1870326,532.3746624,616.1063541,609.9344005,615.5627259,593.2220962,609.1711718,623.3743766
Mauritius,,,,,,,,,,,,,,,,,1627.270186,1705.832053,1742.702162,1775.573589,1572.824506,1643.006452,1712.993608,1702.299759,1767.393852,1877.717489,2043.189756,2207.444017,2339.057639,2424.676616,2574.743485,2660.074768,2796.282419,2903.761113,2981.823752,3083.050001,3222.201384,3363.089471,3529.939775,3576.344285,3861.038542,3917.470035,3966.162596,4068.786714,4265.679685,4284.358738,4419.912257,4650.98538,4875.992739,4998.390059,5180.967874,5370.831613
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2455.952465,2496.598061,2531.238029,2652.438985,2878.955496,2977.541328,3068.06785,3156.067772,3356.690124,3373.136024,3488.715018,3513.3859,3689.330523,3860.864482,3963.775782,4070.898015,4131.04749,4153.553173,4405.422665,4710.968323,5024.444802,5345.375348,5203.014887,4887.022553,4965.133903,4993.468346,4709.208893,4698.824757,4660.371782,4758.729024,4902.644991,5013.476791,5100.450456,5107.364167,5242.02183,4831.8194,4994.343301,5244.289724,5413.091187,5536.469198,5816.614481,5728.967655,5702.903705,5709.419562,5868.919741,5982.653839,6211.927234,6333.082389,6327.013175,5875.619997,6124.709571,6288.25324
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,1861.101968,1839.774008,1845.609876,1868.759008,1894.105464,1984.715415,2012.001496,2124.090865,2071.909865,2189.552,2108.231086,1979.562132,2044.550554,2079.95493,2177.589076,2211.77391,2215.996112,2244.02122,2159.529606,2196.247196,2185.269074,2134.368831,2074.554992,2088.663595,2134.037162,2168.464762
Moldova,,,,,,,,,,,,,,,,,,,,,825.6041975,812.0827412,898.1796822,927.6739352,949.0565845,890.2827617,952.156819,955.6444557,964.6472866,1007.135594,978.9750363,820.1200908,580.9948302,574.64262,398.2604702,394.704398,374.9297106,381.7709755,357.6285799,346.0159723,354.001668,376.4364351,406.7394258,434.8071406,468.1844927,504.5300652,530.0947081,547.6737738,591.3234616,556.6078798,596.6866117,635.5064743
Monaco,,,,,,,,,,,50458.24756,52478.16721,54207.35513,57001.73469,58842.07457,57688.28475,59786.41863,61568.19927,63665.0413,65442.48397,65841.1961,65491.66675,65911.38231,65414.04368,65093.1709,64977.97348,65418.23129,65942.13769,67895.89206,69661.31777,70463.65961,70192.94813,70222.06249,68695.22837,69311.89485,69836.00825,69618.4739,70151.54957,71618.37019,73141.26468,75382.44663,76677.97416,77348.89874,78229.93981,80255.75389,81827.95612,85942.67113,98397.08986,108111.2128,105147.4377,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,425.9844525,450.0633047,464.4549083,479.4009569,493.3089078,524.5320053,527.2296939,538.9762576,547.8566345,519.8379689,467.4153036,419.3664574,402.6135239,408.1279567,430.8082538,436.7934434,449.8963956,460.7432676,470.5228935,471.4733258,480.7797097,498.5508654,527.8217749,577.1044579,610.97706,653.8074697,709.7234231,760.4424582,738.5616914,772.9330643,893.9924451
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.366112,1648.241335,1501.810446,1555.912521,1578.785104,1613.145685,1656.357038,1730.858652,1804.052554,1958.154415,2164.611629,2309.471973,2173.513957,2224.129841,2292.503028
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,646.0710542,613.3239655,671.5783913,685.3561316,675.3604773,669.291332,640.8286795,685.1039305,731.6628522,771.1255296,786.2575819,809.4451563,809.1624781,818.1892117,843.5957038,885.635467,957.5849237,990.7452581,987.7274864,1008.907798,1018.716601,964.5473672,1029.264394,996.5520301,1013.153605,1050.897032,1111.688762,1059.477547,1145.257613,1148.89678,1172.395612,1230.423823,1160.35428,1129.622983,1226.906463,1128.767079,1248.155351,1203.192648,1277.778795,1267.801053,1271.811092,1351.267218,1379.685835,1450.122724,1502.883173,1530.850723,1632.1342,1658.8554,1733.533863,1797.40725,1844.351028,1908.304416
Mozambique,,,,,,,,,,,,,,,,,,,,,202.7213556,207.7908938,189.052982,156.1612678,143.728719,143.6886148,139.8652569,160.656008,174.2075826,184.9502389,184.4697292,189.0385728,173.7414103,181.9610984,187.2772069,186.0090145,193.938044,208.0954968,224.7593625,236.9698262,233.4392656,254.3569539,269.4522055,278.1361218,292.2787143,312.1619264,323.7736997,339.063814,353.7610957,367.5217573,383.583257,401.5652651
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,2263.396219,2235.444201,2179.848565,2091.405189,2029.259351,1974.081631,1988.7381,1972.390015,1903.368167,1857.549304,1831.058928,1912.618009,1986.003539,1889.241147,1969.553208,1991.601861,1995.28225,2019.019873,2026.842043,2040.346797,2061.620971,2042.263093,2099.894122,2150.84065,2373.428467,2390.598795,2512.927204,2598.512655,2635.61212,2575.443906,2695.878327,2749.274482
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,139.0810064,139.2022949,139.2724269,139.2591992,146.8740867,142.2427929,149.1698455,143.7733322,141.6685021,144.7873186,145.249731,140.3100327,141.4128351,137.5241699,142.870728,141.6020554,144.4023785,145.2990588,148.1649713,148.1351754,141.3197362,149.5294356,151.5499571,143.596151,153.8119027,159.4429257,162.8249453,161.7148596,170.074292,173.2370545,176.9264061,183.6400765,186.5201625,188.9529063,199.4516947,201.2977806,206.8237863,211.9611335,213.0659607,217.1422754,225.1686785,230.5017575,225.5201444,229.2083438,234.7833261,237.1098462,241.0469797,244.5372613,254.694255,261.4691799,269.24519,274.8728621
Netherlands,8562.936112,8476.022518,8927.992592,9127.678872,9751.653223,10450.06487,10597.29274,11031.12197,11617.6105,12222.20686,12759.17567,13154.39029,13348.4483,14004.21649,14486.25445,14375.36205,14945.81912,15142.65945,15400.55054,15603.85386,15984.14637,15750.46568,15483.87483,15744.56424,16162.33112,16502.21441,16868.25522,17085.26786,17559.44573,18225.89395,18858.00124,19166.32186,19346.48928,19453.72947,19909.36695,20428.58654,21027.24752,21814.30431,22530.81727,23429.80294,24179.73141,24460.06539,24322.98355,24289.73919,24746.84398,25194.34122,26007.67914,26968.6177,27348.47436,26210.30536,26501.04582,26634.86005
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,7553.994849,7083.416309,7258.537309,8032.850026,8968.048242,11295.56088,11489.35347,11328.59581,9639.772852,10471.32014,10816.00204,10804.56668,10831.7742,11760.26152,10059.84158,9908.476256,9150.890738,9338.087513,9094.680918,8937.756907,9194.423626,9043.372061,9391.085579,12406.20836,13394.3303,13562.65255,13882.8813,13595.22649,13293.25724,13242.9054,13601.45546,13385.23144,13339.56718,12701.14853,12557.35066,12579.59511,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,10108.8051,10128.74119,10365.82802,10426.73034,10855.63354,10811.46864,10966.71981,11418.25346,11436.54888,11697.77172,11773.48133,11723.58094,11730.75238,11627.10652,10933.8371,10941.83261,11507.24613,11955.70046,12291.83756,12534.37977,12589.6147,12531.64223,13111.0032,13375.78052,13774.3236,14202.16315,14529.66965,14853.266,15171.59429,15103.23038,15392.50271,15011.18385,14778.16393,14629.2181,14646.42094
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,1186.478944,1235.360895,1338.598294,1428.324083,1540.420451,1629.626468,1633.606596,1695.648002,1667.311201,1718.422605,1689.469718,1692.843461,1678.365249,1732.279049,1918.534579,1857.936392,1896.034909,1993.383834,1782.947759,1272.904881,1293.989049,1325.730988,1279.41649,1303.467248,1250.989036,1171.440223,1133.639581,1101.837383,944.7085246,909.0340455,888.0689688,865.7075985,848.1214743,824.4154524,832.0932981,862.0452469,898.118078,916.0091673,933.1650014,982.2554692,1006.62731,1021.348188,1015.033607,1027.131293,1068.013361,1099.721345,1130.956438,1172.860136,1191.478584,1158.878313,1179.183343,1221.491965
Niger,313.9101777,318.8954331,341.5392326,362.8285596,352.629462,365.9342254,353.7976187,343.7856078,334.9259792,307.2256399,307.3022132,315.2349613,290.2173268,233.7258658,246.8273325,232.9369627,227.6638099,238.1697606,262.4046791,273.0997389,259.4851454,253.8362759,250.8967598,232.4824033,188.1170719,197.1190192,203.9097807,198.4229121,206.1466034,202.054721,193.4979576,192.2191654,173.9879134,170.7758392,171.746869,170.3290646,170.1947187,168.9068441,180.1044006,172.9273576,164.6489476,170.331118,169.4740445,172.3869354,166.6644296,168.1737544,171.7644805,171.4210995,179.8311403,171.996392,179.2932276,177.0587161
Nigeria,279.5005049,274.1474274,279.3047348,296.7226508,304.6519138,312.5701584,292.7300751,241.1966624,232.8588716,282.622515,345.0830918,384.8992407,388.2899816,399.0930205,432.1280419,398.3636999,421.9079057,433.9960196,396.6853107,411.0679581,416.340061,352.0789347,342.3438615,316.228174,293.5968613,314.0696989,313.8150144,303.6635208,325.2048244,339.8176736,358.5537404,366.4613075,368.1038996,367.2846662,359.0260513,359.4315487,366.2201056,367.4600805,365.7525573,361.20193,371.7680804,374.1686638,370.8107292,399.0619903,430.5797415,442.7179313,458.6349173,476.214166,492.2669892,513.5003377,540.6852114,565.9947974
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,10695.36321,11276.38808,11500.92865,11846.33136,12346.17472,12898.09416,13280.03272,13993.29207,14189.74105,14708.60907,14893.97936,15620.75384,16318.3802,16930.39991,17468.19256,18245.06453,19211.6165,19922.43342,20611.39113,21436.45188,22330.13757,22597.81785,22543.11642,23337.44563,24643.33056,25885.10626,26834.3448,27184.47301,26991.89658,27148.84541,27576.87467,28298.09714,29126.48798,29760.45012,31086.28675,32219.95618,33691.88676,35316.75083,36048.93156,36528.21443,37472.67167,38025.499,38389.08411,38539.90181,39830.41204,40584.24403,41245.80863,41904.21021,41399.70903,40199.34622,39970.29253,40034.85063
Oman,966.5243215,955.1143718,1120.734575,1142.951196,1115.217277,1091.500026,1117.944791,1807.059518,3191.598135,3887.369592,4282.057639,4170.299973,4411.610277,3633.406382,3876.827306,4598.218289,5264.923927,5038.650222,4589.886491,4525.908109,4535.628011,5017.774502,5294.222108,5851.689168,6490.810471,7059.81007,6901.134369,6411.027999,6548.382335,7050.864758,6773.154517,6893.100152,7162.823979,7300.882532,7343.329187,7539.618642,7677.390598,8112.810302,8340.057326,8342.813461,8774.93385,9369.334408,9511.05587,9404.444312,9550.963194,9723.216887,10006.30307,10392.28594,11385.6398,11191.81101,11345.42955,11701.49655
Pakistan,187.4651214,193.9864663,197.7840234,209.6807192,219.922976,236.7000443,243.993907,250.4985864,261.5648227,268.6497833,291.1318585,284.5827678,279.0451104,290.4239648,292.0856028,295.3833393,301.1606918,303.2928885,317.263003,318.4889831,339.4258819,354.0501924,364.4733261,376.0340524,381.8105677,397.1574754,405.2521461,417.4409804,435.1088632,442.8610357,449.2745916,459.1833646,481.8264339,478.0631904,483.5766621,494.7209888,505.2459234,496.9950607,496.5318923,502.1246594,511.7025555,511.1109972,517.5966508,532.9973575,562.283992,594.766855,620.2956378,643.8585182,642.4275373,653.6111759,664.7112698,672.1547506
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7256.43148,6611.258295,5638.089972,5884.424243,6355.627,6842.128803,6834.185591,6820.326947,6331.028107,6251.982057,6258.180548,5986.383096,5871.065445,6126.092574,6429.585897,6587.7246,6519.923561,6088.915614,5775.136249,5756.810516,6050.217067
Panama,1710.511353,1840.06282,1936.782734,2039.608169,2070.577235,2194.360962,2290.932004,2415.087873,2508.044703,2644.525554,2734.769954,2916.337375,2967.853799,3045.6105,3038.791358,3007.975438,2980.118126,2939.522931,3147.063123,3210.478243,3170.321512,3383.837548,3486.051055,3257.461907,3274.608714,3364.432072,3412.434303,3282.279914,2785.487049,2771.754635,2935.477573,3146.642997,3335.373924,3445.733705,3472.019002,3461.541479,3487.450297,3638.829767,3828.978102,3901.628204,3930.98941,3879.405698,3892.880356,3983.350796,4207.060947,4431.128087,4726.880151,5210.719076,5643.895786,5767.710644,6109.58737,6654.394909
Papua New Guinea,425.5577906,444.1645042,464.1003638,474.0505374,504.6615037,545.0844547,564.4179825,574.2736127,585.2838418,618.0775402,667.3020378,689.9518225,708.2310232,732.7180686,730.2976905,703.5632174,661.1775772,648.9254517,685.8852249,680.0777264,646.7762937,627.6843086,612.9076274,615.6922815,597.3648803,605.3582071,618.0175167,619.7189206,622.4718967,598.9433196,566.8707368,605.8515285,672.8191719,775.5572225,800.9902466,754.7246551,792.0837156,741.2829595,694.6610932,689.1339987,654.6687817,637.3149128,620.410249,618.208302,619.5391243,626.3082483,627.1163523,656.3571364,683.9764815,705.0075736,744.2105476,793.197745
Paraguay,662.8561606,691.1713654,682.1858325,690.0390576,698.0194146,716.0939457,705.2648869,745.0518511,748.3209841,759.1165562,776.2301912,798.5748075,829.7939995,868.5250275,917.7407795,952.1043261,993.7703233,1074.74443,1165.951729,1263.936796,1411.486717,1488.68149,1391.885756,1310.305714,1311.282454,1324.274097,1286.921191,1305.470527,1350.705039,1391.025628,1396.742875,1394.924917,1406.982974,1426.760892,1445.128954,1488.949911,1461.484586,1472.343823,1449.257221,1397.892359,1323.481934,1323.463415,1243.338276,1244.504616,1263.919877,1331.107082,1352.975654,1450.184566,1483.739071,1406.361701,1578.636338,1657.583233
Peru,1647.251268,1718.651031,1808.999492,1822.618041,1887.525237,1924.819955,2028.185677,2046.600496,1997.485076,2016.454263,2075.557615,2102.927864,2103.966715,2156.477435,2291.862952,2305.761974,2287.834789,2235.884108,2183.31242,2250.404916,2261.396653,2364.52631,2294.36208,1976.501875,2031.675842,2041.393821,2195.472871,2319.072806,2071.753629,1790.976433,1664.248311,1666.742865,1627.86557,1673.751133,1854.116253,1978.016368,1992.578021,2093.207824,2045.292819,2031.631231,2060.576257,2036.157948,2110.139623,2167.734164,2248.410429,2374.297077,2529.840728,2725.815245,2961.787982,2955.186222,3180.374608,3359.517402
Philippines,691.6812069,706.5513986,716.10745,741.9421791,743.2724445,758.330884,768.1780039,785.4097058,800.5564433,813.9679888,820.633505,840.6701446,861.4201371,911.8395306,917.7806572,941.7608066,996.1570299,1022.763155,1045.876294,1074.301998,1098.398297,1104.660503,1113.174592,1103.019915,994.458451,896.9576615,902.8139894,916.8221214,953.239354,986.6175824,991.400335,961.9688431,942.6405175,940.557041,959.6490898,982.0315551,1016.311842,1045.458888,1016.775298,1025.551505,1048.070513,1055.807441,1071.690095,1102.215971,1153.022382,1185.37688,1225.045039,1283.46737,1314.225968,1307.139627,1383.404865,1413.366295
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.70685,2872.966412,2936.202295,3038.226011,3192.290062,3409.582827,3619.549273,3873.504441,4065.014617,4249.276744,4454.08022,4532.00606,4599.555503,4780.653149,5039.11715,5223.679776,5552.50127,5932.47441,6235.755172,6332.960478,6574.296118,6854.462537
Portugal,2368.672136,2479.731321,2624.742618,2767.720036,2940.75234,3173.310788,3327.716125,3601.547409,3938.007635,4057.773988,4610.253997,4936.848301,5340.804934,5937.174141,5921.846426,5453.155504,5665.976525,5920.225203,6021.614369,6293.342302,6511.367048,6559.603351,6658.84317,6616.546056,6467.238496,6630.640111,6898.934283,7341.160295,7899.154784,8420.188639,8771.92762,9169.192716,9267.159781,9066.313494,9134.125285,9500.348837,9823.834262,10222.96148,10707.74758,11097.15537,11470.89792,11621.11519,11624.76812,11438.67936,11549.79944,11586.96254,11716.00896,11965.99661,11949.11464,11590.61176,11747.58549,11551.91534
Puerto Rico,3767.414748,4055.068808,4270.351572,4612.412199,4844.565055,5203.118256,5504.70693,5804.752217,6043.083402,6524.046606,7002.48479,7327.090483,7714.155822,7999.260272,7839.005831,7499.967004,7766.223052,8154.240921,8580.010969,8993.062098,9022.369029,9016.138181,8648.300285,8600.229547,9138.378665,9235.880436,9894.646373,10283.97871,10852.0319,11284.83591,11607.88682,11791.66561,12250.47182,12712.00828,13121.58962,13592.41549,13751.69946,14289.41974,14993.24588,15722.53514,16192.12697,17177.4989,17312.68028,17311.04343,17831.02487,18004.27601,18053.78721,17717.88366,17487.72122,17183.31975,16910.46054,
