Under five mortality,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,403.44,403.44,403.44,404.69,405.96,407.24,408.51,409.79,405.96,402.19,399.7,395.95,392.21,393.46,395.95,397.2,399.69,400.9,392.11,383.46,374.86,366.3,357.85,350.61,,,,,,,,,,238.82,229.61,205.35,195.97,194.09,194.09,201.61,220.33,212.85,199.73,179.05,171.55,171.55,179.05,188.45,184.69,197.85,173.43,162.22,149.27,149.27,140.16,125.89,143.79,160.37,143.79,140.16,154.8,131.19,131.19,122.37,124.13,113.71,115.43,117.16,103.53,110.29,95.24,91.99,93.6,91.99,88.79,85.73,81.22,84.24,76.57,93.6,82.73,,,,,,57.5,57.5,58.7,58.6,58.4,73.3,72.5,71.5,70.3,68.6,66.4,63.6,60,55.8,51.3,47,43.2,40,37.7,35.8,34.4,33.1,31.9,30.8,29.7,28.6,27.6,26.6,25.7,24.9,24.1,23.4,22.7,22,21.4,20.8,20.2,19.7,19.2,18.6,17.9,17.1,16.4,15.8,15.4,15,14.6,14.2,13.7,13.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.5,,,,,,,,,,,,,,,,,,,,109.6,108.04,105.22,102.27,99.28,95.57,92.43,89.22,85.95,82.78,79.1,76.08,73.11,69.69,66.85,63.58,60.86,,,,,,,,,,87.8,84.2,80.9,77.7,74.7,71.8,69,66.3,63.8,61.3,58.9,56.6,81.6,52,49.7,47.4,45.1,42.8,40.7,38.6,36.7,34.9,33.3,31.7,30.1,28.6,27.2,25.9,24.6,23.4,22.2,21.1,20.1,19.1,18.1,17.2,16.4,15.6
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,,,,,,,,,,169.68,156.65,182.81,175.3,195.97,222.2,184.69,199.73,207.23,177.18,180.93,179.05,214.72,188.45,195.97,201.61,197.85,179.05,179.05,209.1,162.22,177.18,160.37,179.05,156.65,151.1,175.3,158.51,201.61,179.05,149.27,156.65,162.22,169.68,117.16,117.16,118.9,115.43,110.29,100.18,105.2,93.6,100.18,100.18,98.52,93.6,96.88,75.01,79.68,95.24,95.24,89.08,70.99,79.48,76.05,69.76,70.23,72.27,71.57,68.14,63.78,54.35,53.64,53.3,58.03,53.59,55.81,50.67,50.45,50.47,50.17,52.49,51.49,50.27,41.42,37.93,38.52,35.78,33.93,31.51,31.6,31,30.3,29.5,28.7,28,27.3,26.6,26,25.4,24.9,24.3,23.7,23.2,22.7,22.4,22.1,22,21.9,21.7,21.4,20.9,20.2,19.4,18.4,17.3,16.2,15.3,14.4,13.6,13,12.5,12.2,11.8,11.6,11.3,11,10.6,10.2,9.7,9.2,8.6,8.1,7.7,7.3,7,6.8,6.6,6.5,6.4,6.2,6.1,6,5.9,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.2,4
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.32,,,,,,308.99,325.26,315.5,299.15,302.43,307.34,295.89,302.43,326.89,305.71,289.32,292.6,294.24,307.34,299.15,300.8,321.99,297.52,312.26,320.37,317.13,294.24,305.71,284.37,385.13,436.85,394.8,422.24,440.1,402.88,383.5,410.94,389.96,414.12,396.42,407.72,398.04,420.61,373.78,401.27,407.72,,,394.8,407.72,393.18,393.18,368.92,443.35,451.47,391.57,388.35,406.11,412.55,385.13,428.73,406.11,420.61,406.11,438.48,451.47,410.94,402.88,393.18,410.94,414.12,438.48,470.96,422.24,394.8,401.27,418.99,409.33,389.96,406.11,406.11,415.74,410.94,401.27,414.12,406.11,396.42,404.5,383.5,420.61,394.8,420.61,377.02,407.72,391.57,373.78,370.54,364.1,356.05,375.39,339.88,351.19,349.57,341.52,375.39,328.51,339.88,323.63,339.88,307.34,336.63,294.24,308.99,279.42,354.43,312.26,302.43,313.89,253.24,,,253.24,227.77,201.61,184.69,192.21,195.97,186.57,173.43,156.65,154.8,160.37,138.36,134.77,147.43,136.56,134.77,113.71,101.85,103.53,96.88,103.53,112,127.65,263.54,115.43,104.5,92.09,86.87,75.32,69.81,59.54,56.57,54.9,53.4,51.8,49.9,47.9,45.5,42.9,40.2,37.9,35.9,34.2,32.7,31.5,30.5,29.8,29.3,29,28.7,28,26.8,25.1,23.1,21.1,19.4,18.1,17.1,16.3,15.5,14.7,14,13.3,12.6,11.8,11.1,10.5,10,9.5,9,8.5,8,7.4,6.8,6.4,6,5.8,5.6,5.5,5.4,5.3,5.2,5,4.9,4.8,4.6,4.6,4.5,4.4,4.2,4,3.9
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.49,,,,,,,,,,,,,,,,,,,,142.96,141.16,137.26,133.93,130.48,126.9,123.24,119.46,115.6,111.82,108.09,104.46,100.28,96.78,93.32,89.91,86.57,83.25,80.12,77.15,74.82,72.64,71.06,,,,,,,,,,107.6,105.1,102.9,100.7,98.7,97,95.6,94.8,94.5,94.8,95.2,95.5,95.2,94,91.7,88.4,84.1,79.2,74.1,68.9,63.9,59.3,55.2,51.7,48.5,45.7,43.2,40.9,38.9,37.2,35.6,34.2
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.25,126.56,123.51,120.35,117.08,113.69,110.25,106.7,103.09,,,,,,,,,,29.4,30,30.6,31.2,31.7,32,32.2,32.1,31.9,31.5,31,30.5,29.9,29.4,29,28.6,28.2,27.8,27.3,26.5,25.6,24.5,23.5,22.5,21.5,20.6,19.7,18.7,17.9,17.1,16.5,16.1,15.8,15.6,15.6,15.5,15.4,15.3,15.1,14.9,14.6,14.3,13.9,13.6,13.3,12.9
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.78,439.75,439.68,439.56,439.39,439.15,438.84,438.46,438.01,437.5,436.91,436.26,435.54,434.75,433.89,432.97,432.01,431.01,429.99,428.96,427.92,426.89,425.86,424.83,423.79,422.76,421.73,420.7,419.67,418.63,417.6,416.57,415.54,414.51,413.47,412.44,411.41,410.38,409.35,408.31,407.28,406.25,396.62,387.23,376.82,367.75,358.83,350.11,340.42,331.98,323.7,315.56,306.53,,,,,,,,,306.6,281.9,259.2,238,218.5,200.3,183.1,167.3,152.5,138.7,126.1,114.3,103.5,93.7,84.6,76.4,69,62.5,56.6,51.6,47.2,43.4,40.1,37.1,34.5,32.3,30.3,28.7,27.2,26,25,24.2,23.7,23.4,23.2,23,22.6,21.9,20.9,19.6,18.1,16.6,15.3,14.2,13.3,12.7,12.2,11.9,11.6,11.3,10.9,10.4,9.9,9.2,8.5,7.8,7.2,6.6,6.1
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,507.88,510.9,515.42,518.51,521.6,524.7,529.34,532.48,535.66,540.44,543.62,545.21,546.81,550.09,551.72,553.36,555,556.64,559.91,561.5,563.05,562.91,564.37,564.07,565.35,564.87,565.97,565.31,566.23,565.38,566.12,561.75,558.97,554.46,550.01,545.53,542.63,538.13,533.65,530.77,526.4,522.05,519.25,514.92,510.61,506.36,503.64,499.46,495.29,492.6,488.46,477.26,464.89,454.14,442.3,432.03,420.68,410.79,399.88,390.41,379.92,370.78,360.68,351.91,342.18,333.7,,,,,,,,,352.4,341.9,331.7,322,312.5,303.4,294.6,286.3,278.6,271.1,263.8,257,250.8,245.1,240,235.4,231.7,228.7,226.4,224.7,223.6,222.6,221.6,220.4,218.9,216.7,214,210.7,207,202.8,198.4,193.8,189,184,178.8,173.3,167.6,161.7,155.7,149.7,143.7,137.6,131.7,125.7,119.9,114.2,108.6,103.2,97.9,92.9,88.1,83.6,79.2,75,70.9,66.9,63,59.3,55.7,52.3,49.1,46.1,43.4,41.1
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.08,490.44,518.05,409.33,435.23,427.11,675.58,394.8,654.47,313.89,393.18,469.33,333.4,571.64,438.48,651.22,304.08,597.63,483.95,506.68,509.93,326.89,537.54,388.35,375.39,483.95,321.99,381.88,415.74,357.67,321.99,352.81,359.26,315.5,292.6,364.1,284.37,266.83,277.76,240.65,260.17,270.05,249.7,203.48,195.97,216.59,233.32,222.2,167.6,145.1,126.4,111.4,99.7,90.7,83.7,77.9,73,68.6,64.7,61.2,58.2,55.5,53,50.5,48.1,45.7,43.3,41,38.8,36.7,34.6,32.6,30.7,28.9,27.3,25.9,24.6,23.6,22.7,21.9,21.1,20.4,19.6,18.8,18.1,17.4,16.8,16.3,16,15.8,15.8,15.9,16,16.2,16.4,16.5,16.6,16.5,16.2,16,15.7,15.4,15.1,15,14.8,14.7,14.6,14.4
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.67,365.66,365.63,365.57,365.48,365.33,365.13,364.88,357.54,350.25,344.11,336.9,329.7,322.57,316.55,309.48,302.48,295.52,289.7,282.88,276.18,269.56,264,257.56,251.18,244.92,238.73,233.55,227.53,221.58,215.73,210.81,205.13,199.51,193.97,189.32,183.89,178.58,173.32,168.95,163.84,158.82,153.87,148.98,144.93,140.18,135.53,130.94,127.12,122.67,118.28,113.99,110.4,106.25,102.16,98.13,94.81,,,,,,,,,,63.32,46.42,39.53,40.24,40.64,33.42,29.77,28.91,27.28,26.82,25.85,27.88,23.51,23.15,23.06,22.72,25.41,24.64,23.79,24.38,22.73,23.3,22.3,21.3,20.6,20,19.4,18.8,18.1,17.4,16.9,16.6,16.6,16.8,17.1,17.5,17.9,18,17.8,17,15.8,14.4,13,11.8,10.9,10.2,9.4,8.7,7.9,7.2,6.6,6.1,5.6,5.2,4.9
