"Traffic mortality per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5101,12.25101,,,11.63048,14.93416,13.17954,16.18327,16.49599,15.75524,14.46202,14.97465,12.25994,2.063191,3.273049,5.844275,5.534732,5.526056,4.582434,5.225703,,5.963239,,5.218420029,,,13.6
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55216,,22.00443649,,,14.7
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.718894,,15.4926,12.1864,,,,,,,,,13.45092,13.9832,2.551289,10.49197,11.48008,14.97628,,14.63179684,,,13.8
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97198,,17.75008774,,,15.9
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.353331,,12.862216,,,11.9
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11724,13.86992,,,10.5559,10.95829,11.68044,15.96307,20.47737,22.61378,23.83621,20.81534,16.29119,15.60346,17.11212,,16.07191,17.60723,16.46549,14.49243,14.29857,20.56625,20.66488,21.02702713,,,17.87411
Belgium,,,,,10.51561,10.75068,12.3326,13.79037,15.91398,15.63971,18.60953,18.04019,17.50025,18.36783,22.57327,23.62655,22.92246,24.33861,25.80766,26.30646,28.73109,28.49188,28.74881,27.11856,25.0166,22.81222,23.90145,23.29734,23.32021,22.25426,23.757,22.35518,20.85648,21.568,18.75999,17.26245,19.55577,18.36722,17.62222,17.6146,17.52488,16.79393,15.74826,16.31411,17.5392,15.41762,14.15553,13.87388,15.09262,14.45668,,,13.19006,,10.69979,,,9.7
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.09927,,42.74856186,,18.4,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.62802,,25.50226974,,,37.5
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50073,,17.9458847,,,18.2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24257,,19.60947037,,,19.9
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.936724,,3.761750937,,,10.5
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96125,,26.70654106,,,41.7
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34829,17.77342,19.0379,20.64896,24.79637,22.25085,21.88133,22.03043,21.33396,20.27072,18.9033,18.94869,19.58173,22.00042,20.56833,21.45848,18.57364,17.31357,16.38663,16.82649,17.52588,17.54428,18.45558,18.61452,19.1,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.71834,,16.59905243,,,15.4
Bulgaria,,,,,,,,,,,,,,,6.465355,7.088574,12.59778,13.03483,13.66308,12.64132,12.51288,13.06207,13.16458,12.67616,11.15757,12.90759,12.08128,12.57081,13.33871,13.64379,12.92256,12.96673,13.98635,11.15722,12.44767,11.95463,11.431,12.19611,11.83776,12.77829,15.58512,10.61078,12.91235,12.08595,13.73107,12.69285,10.24121,9.333709,9.759971,10.33553,10.16655,11.31925,10.58777,10.17329,10.48706,9.534837,11.91374,12.20071
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.59046,,33.69688034,,,36.6
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.93571,,43.82777786,,,30.1
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70451,,22.96832657,,,13.2
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.20755,,29.70799255,,,32.8
Canada,17.03291,19.39692,20.83004,21.6911,19.47973,20.16098,23.04197,23.35089,21.60296,22.17851,21.85448,22.49627,24.77113,25.00628,26.65117,27.15522,28.13137,27.87397,27.04521,27.47488,25.03651,26.31777,28.54163,28.93163,27.39403,25.05884,21.66928,21.53075,20.94056,23.06716,21.35058,20.67247,15.74124,15.93129,15.17957,15.51707,14.98035,15.83725,14.91678,15.57168,13.39668,12.47864,11.30915,11.63316,10.25532,10.1979,9.527239,9.392056,8.789446,9.21307,8.542475,8.149687,8.469238,8.127145,7.916584,,8.3,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72905,,18.90008354,,,30.9
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.31264496,,,38.4
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.56987,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.27388,,35.50316238,,,40.6
Chile,,,,,,4.731295,6.890125,8.167869,7.845099,6.952283,9.868267,10.28925,6.346007,7.770121,6.664927,6.448715,17.94865,8.433434,29.02963,21.84537,18.78469,22.75071,23.00672,17.93535,12.77129,10.728,9.648987,9.942424,12.51055,13.02422,14.44251,14.14884,11.24397,9.136812,8.163351,7.086775,7.076503,7.445529,7.564488,7.803491,7.802286,9.989523,11.91494,12.55612,12.75166,11.89247,11.9944,12.24255,12.88978,10.50846,13.81002,12.38911,12.04353,13.51044,13.25428,13.12971,13.7,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.95974,,20.96404076,,,15.9
Colombia,,,,9.660851,7.749963,9.579211,9.29331,9.009475,10.36713,10.15213,9.626171,9.841928,13.41976,13.51712,14.2298,14.07782,13.93845,13.50648,14.73689,12.04709,,,15.01609,,16.93986,17.17559,17.72424,18.47542,,,,,,,19.89952,19.07253,16.77302,14.96275,14.64471,14.20687,14.44291,15.90748,18.02903,18.68341,20.22034,20.43047,19.28892,17.9773,20.48326,18.14569,17.04606,16.99446,16.32061,,14.68263,14.17073,14.47129,12.7
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55607,,18.19371986,,,38.6
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.87659,,39.63044739,,,38.4
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8744,,28.06093025,,,36
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.544073,,8.616690636,,,47.4
Costa Rica,,,,,,,,,,,,,7.055689,9.525974,9.182001,15.32448,17.09856,13.20588,15.31679,15.09236,18.12374,21.28377,21.43076,18.71556,23.06605,22.52992,23.10834,25.9314,28.34046,25.36454,23.48501,16.57022,15.84745,9.949329,15.73242,17.74435,15.89821,17.07634,15.50634,16.47617,16.99837,16.36676,17.40056,16.63089,19.66909,17.42959,13.20106,17.3445,17.87981,19.13585,18.76488,18.0148,17.79528,15.77099,15.45831,14.14505,16.17394,16.5
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.62996,,62.63657379,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01006,18.66997,18.55755,18.44496,18.04237,19.80966,17.9447,15.968,11.27403,11.20034,12.52053,11.26074,11.44397,11.86927,11.16951,12.38826,11.49109,11.64576,13.99524,13.18688,12.1263,12.36512,12.99124
Cuba,,,,,,,,,,,,,,,10.52142,,,,10.97538,11.99463,13.61889,12.57365,11.10487,10.62379,11.46613,13.6372,13.74609,17.78612,,,,,,,,,,,,,,,17.10344,16.24582,17.93267,17.62556,16.2702,15.44733,15.06762,12.86249,13.87329,12.28916,11.16916,9.879078,9.685454,9.817932,8.256732,7.299817
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61445,12.63361,,,,14.66088,13.67274,10.30356,11.54789
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.951694,9.235126,9.893667,10.56023,12.25697,12.82156,14.29587,13.84773,13.25387,12.68454,11.46715,11.87219,10.46295,8.59016,9.666009,8.791438,,8.63824,8.141377,7.717704,6.440434,8.056326
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.059328,,,,,
Czechoslovakia,,,,6.902827,7.884117,8.788874,10.52884,10.65302,10.17579,14.16463,13.87778,13.85508,13.25182,13.36472,15.95501,15.48347,15.96852,17.06157,21.37636,23.39052,20.12959,20.79497,19.90439,19.213,17.55238,17.67994,18.37497,17.04268,16.9821,14.59831,12.96316,12.36058,10.80221,11.33349,9.992472,10.64264,9.979617,9.753343,10.50158,11.15499,13.67275,13.97535,,,,,,,,,,,,,,,,
Denmark,,9.607082,10.01406,11.82109,15.06375,15.06256,14.08508,13.9655,13.92481,16.82468,16.05908,17.47894,16.80056,16.55036,18.67666,20.20279,20.51896,21.59402,22.71833,23.58227,22.85197,22.98812,21.97184,22.09056,14.82772,15.43849,15.83321,15.27091,15.56419,13.63806,12.85518,12.42064,11.69537,11.62444,12.05005,13.80323,12.61526,12.15371,12.6323,11.23459,10.59176,10.39152,10.02617,9.466303,9.380424,10.13959,9.059997,8.131225,8.720141,9.468968,8.241325,7.355563,6.913153,7.067997,5.934538,5.503411,5.042381,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.54337,,34.83585358,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.19312,,6.593111038,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.18263245,,,19.6
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5054,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,14.04122,13.62418,,,16.25518,,,11.77013,12.13205,11.26368,11.14775,11.43583,10.44428,10.44349,10.07491,10.67829,11.12905,19.48139,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67345,,15.46362114,,,12.9
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.97816,,36.22414017,26.10994,28.50739,15.3
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.96766,,40.30931854,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.47836,,21.64807129,,,62.9
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.35647,20.64716,,,13.82204,14.65347,16.11345,20.25184,26.03761,32.9795,33.92746,20.37804,24.53186,27.50051,25.60818,16.01143,21.71957,21.59822,17.52703,15.51492,14.77341,15.96151,11.9512,11.6821,12.58186,15.16303,13.23296
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.71622,,28.66166496,,,44.5
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.380121,,3.965080738,,,7.5
Finland,,,7.923275,8.788895,9.513188,10.76397,12.04234,12.88027,12.7361,14.65076,17.63703,18.16389,18.65345,21.06928,22.29412,23.52922,24.37011,22.64248,21.57503,22.74418,22.79705,25.10044,24.30507,22.77312,17.03484,18.44762,15.92405,14.03017,12.48042,12.74359,10.9017,10.98563,10.68132,11.69754,9.711271,10.14363,11.27954,10.4206,12.23222,13.85027,12.52762,11.45089,10.86676,8.497335,8.747498,7.658574,7.434973,7.585092,7.0938,7.493423,6.761196,7.777264,7.233387,6.751605,6.563389,6.369313,5.530886,6.665033
France,7.470724,,9.060669,12.47738,17.06477,18.22305,18.48939,19.0409,17.6336,18.0124,17.72276,19.296,20.57933,20.62049,22.64299,24.5329,24.48572,26.82307,28.48347,21.81498,22.49982,24.39636,26.32404,24.65696,21.63322,21.17231,22.18755,20.92174,19.46367,19.73429,19.67315,19.60662,19.43157,19.22735,19.09898,17.26518,17.96288,16.06111,17.24021,17.37753,16.93816,15.84222,14.7349,14.50027,13.56464,13.30387,12.60707,12.43743,13.49343,13.19573,12.10983,12.2529,11.51546,9.294787,8.344987,8.1816,7.178921,6.983712
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.93816,,29.35261154,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00336,,25.88965797,,,42.7
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.832595,4.026381,,,9.507991,10.40769,10.41735,16.33464,17.36101,13.21752,6.129492,10.3131,,2.293062,2.36405,5.678706,6.738991,5.140514,6.317482,4.87414,7.163404,5.563831,,7.012870789,,,15.9
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82095,13.34043,12.59103,11.82498,11.61593,11.24467,10.53528,10.27139,8.916902,9.216349,8.869283,8.127187,7.9865,7.502442,6.545592,5.922826,5.558764,5.8
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.80567,,24.61300278,,,36.9
Greece,,,,,,,,,,,,5.946366,7.642174,7.852152,10.67891,10.71368,11.80919,12.18958,11.09987,11.03884,11.28076,11.76447,12.40097,14.67518,14.12224,16.29724,17.29718,18.4979,20.15382,18.59041,16.41965,14.48535,18.98709,19.92363,20.14557,19.59796,18.23681,17.66523,17.53766,18.97847,20.368,20.30753,20.00797,17.38394,19.24303,20.66724,21.11376,19.42368,18.89504,18.28534,17.50561,16.19714,14.67223,14.39034,15.84867,15.21512,14.5029,14.58466
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583354,,3.693677187,,,
Guatemala,,,,,,,,,,,,,,14.37634,10.23647,9.840908,8.141953,6.772989,7.763412,8.470278,11.19165,9.799428,,,3.72132,,,6.590811,,24.42679,22.6939,15.22343,,,1.596873,,5.747375,6.913743,6.003529,5.40635,4.604796,5.788192,6.171083,6.934037,5.504648,6.498038,5.489912,6.268979,5.909523,3.707271,4.781958,3.872403,4.115491,4.124816,3.997441,3.568277,3.399405,19.4
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.02871,,34.41266632,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.76315,,30.98948479,,,41.4
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.50541,,29.0024929,,,21.3
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.57177,,8.17910099,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.94542,,14.56089497,,,15.9
Hungary,,,,,,5.056459,7.775088,7.434113,5.303841,6.954523,6.537456,6.978858,7.734964,9.228502,9.464058,8.560133,8.452157,9.211913,12.00757,13.20667,15.7233,17.4446,17.28711,15.76864,15.99973,16.32033,14.50588,16.02238,18.01053,16.75864,15.93998,15.73157,15.21635,15.49085,15.36983,17.08368,16.02756,15.74795,16.60486,21.01613,24.27948,21.91531,21.83017,17.07039,15.97057,16.39814,12.39183,12.59949,12.41131,11.68738,11.14854,11.47379,13.98513,12.80302,12.93494,12.69491,12.9453,12.55202
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.205361,,7.507259369,,9.5,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87514,,20.98031998,,,19.5
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.49247,,24.69155693,,,17.6
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.29716,,59.52505112,,,42.6
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.13871,,117.9309311,,,44.6
Ireland,5.015838,5.685643,5.85982,6.137141,6.92465,7.602055,8.931951,6.499073,8.681737,8.625353,8.764319,10.40134,9.735132,10.21084,10.37499,10.61158,12.38481,12.81106,14.41137,15.06582,16.17128,18.45679,20.62658,20.23926,18.17043,18.71522,16.42073,17.78031,18.82898,18.5661,16.60241,17.97228,15.38015,15.40381,13.93588,13.29671,11.911,12.58894,13.05813,13.15566,13.13516,11.98659,10.57577,11.17241,10.83434,11.41558,11.60495,11.32491,11.45765,10.14763,10.17363,9.586349,8.855755,7.095958,7.129647,7.635256,6.521634,5.537005
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,18.57836,15.59185,16.47836,14.69026,14.19586,10.81511,10.46073,10.02314,11.11794,10.21662,9.74307,10.06889,10.95552,10.0514,9.957077,8.002667,5.927305,6.456998,9.975184,10.55849,10.65369,9.019613,8.81268,6.395327,5.938693,5.566803,6.466595,6.0318,5.079461,5.284873,5.21968,4.579195,5.9
Italy,,9.568096,10.84834,12.47536,14.12141,16.28921,15.94078,16.2171,16.36342,15.70895,17.10717,18.6745,20.45784,21.55889,21.52788,20.36752,19.88791,20.93715,21.3427,22.30573,23.11673,23.04375,24.64838,24.12926,20.80149,20.3043,18.91504,17.38934,17.08597,17.65619,17.91876,16.72427,16.01716,15.81028,14.54738,14.33553,14.56948,13.97444,13.66428,13.43912,14.01675,14.89211,15.01842,13.09852,12.90947,12.52766,11.72184,11.97515,12.61271,12.14125,11.62597,11.80379,11.60462,10.31275,11.22749805,,9.150822,8.67515
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.031061,,14.00629807,,,13.5
Japan,3.675392,4.0023,4.584348,5.868596,7.021731,7.084397,7.832622,9.117319,10.31601,12.6586,15.27216,16.6743,15.21414,16.43175,17.884,17.1076,18.63798,17.96611,18.66229,20.48304,21.11685,20.38768,19.28418,17.7287,14.27211,12.91,11.67954,10.71794,10.58406,10.38339,10.21301,10.21706,10.43345,10.76873,10.22058,10.21532,9.840143,9.849574,10.37057,10.89552,10.85745,10.53996,10.53595,9.899774,9.509398,9.373877,8.679833,8.394256,7.9786,7.652128,7.441552,7.162329,6.68835,6.036491,5.706113,5.205573,4.696431,4.18961
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63572,,27.1492939,,,43.5
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.48809,15.80588,,,12.16183,11.76167,13.09295,18.6928,23.45893,22.67329,22.36607,20.72958,18.94508,13.85826,14.15508,13.17388,12.91662,14.59251,10.90917,11.36703,13.13131,12.72095,13.71523,20.14143,24.62684,31.48442,31.10798
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.29053,,31.48476219,,,43.9
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.223236,,5.257735729,,,7.2
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58540535,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.70516,16.06735,19.59497,19.7663,26.48346,33.42765,32.82025,31.45924,31.2993,34.65981,38.96643,38.05593,32.70983,24.74884,25.05267,24.03679,19.46696,17.37821,17.13815,14.85117,13.92392,13.5954,11.8
Kuwait,,,,,,,,,,,,,,,,,,,,,,,47.74715,,,45.8505,44.59936,54.05017,49.93796,48.18676,50.51705,43.69324,44.91006,48.02085,36.79192,38.2453,30.00162,30.66388,,,,,,26.81076,24.16578,26.05844,24.40817,27.1278,18.65125,21.34232,23.67623,18.56857,18.09702,,18.85107231,,20.3,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.80675,21.38797,,,16.01562,16.42885,18.74667,20.77054,29.57187,26.15095,27.65741,20.55894,16.65983,12.57758,12.96299,12.7841,12.16462,9.937393,9.697718,9.201426,11.03014,13.1162,15.32922,16.46806,14.83254,15.5781,19.26479
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7961,,,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75648117,,,24
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.21941,27.28039,25.90796,26.96117,25.21344,21.69342,18.26455,20.1174,24.08804,33.777,38.08967,39.26535,30.3957,28.93346,34.2765,29.42352,23.70779,21.4723,26.94076,25.35747,25.28626,22.68172,21.62323,20.07662,18.64803,17.49643,15.96771,16.33897
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.48821,,44.47524643,,,30.8
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75045,,17.26665115,,,34.6
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.29747,,34.08774567,,,42.5
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.63529,,24.51953506,,,50.4
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63535,25.7917,,,20.29047,18.54,18.15171,25.05287,30.38601,29.30099,36.43695,24.30849,28.4105,22.56774,20.76738,21.11298,21.27326,25.48367,20.08943,19.75603,19.44489,19.57715,19.91964,19.40611,21.24141,21.57209,21.286
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84822,,11.499053,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.024763,7.376386,6.314382,5.108416,4.553171,7.491394,6.996983,7.039686,5.568626,5.097557,4.716218,6.699249,5.894567,8.768808365,,6.5,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.12114,,23.91659546,,,40.4
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.56672,,25.79216957,,,33
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46271,,16.94842148,,,26.3
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94681,,29.66745758,,,26.3
