,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
France,3194.2,3260.63,3238.33,3225.89,3237.96,3222.63,3278.5,3277.74,3280.85,3301.66,3283.99,3252.65,3269.29,3274.26,3246.03,3279.01,3339.74,3383.99,3379.15,3373.96,3416.53,3418.45,3456.62,3445.22,3487.24,3463.4,3532.11,3560.74,3557.4,3506.92,3540.26,3548.48,3542.37,3510.9,3517.22,3519.72,3549.91,3597.23,3597.8,3602.8,3643.8,3664.97,3598.98,3568.61,3586.44,3540.73,3532.24
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,2570.97,2563.76,2528.83,2590.32,2685.46,2847.6,2831.29,2813.3,2806.8,2876.12,2834.83,2845.9,2847.23,2885.5,2833.43,2845.24,2803.95,2811.53,2811.75,2729.7,2710.04,2754.26,2754.15,2767.52,2769.21,2805.23,2830.41,2192.78,2780.29,2833.81,2244.91,2382.34,2331.64,2830.41,2457.78,2825.02,2812.58,2793.79,2369.23,2809.63,2863.71,2880.02,2885.51,2902.36,2909.25,2920.73,2942.21
Gabon,1977.31,2001.4,1960.82,1965.56,1992.48,2042.4,2120.67,2184.47,2148.46,2173.79,2208.29,2166.64,2147.6,2313.82,2416.44,2481.73,2483.14,2545.36,2471.21,2443.5,2449.32,2542.47,2555.38,2615.65,2579.57,2582.97,2526.4,2582.53,2554.85,2424.48,2597.87,2540.15,2560.05,2475.59,2560.57,2610.87,2618.22,2646.1,2691.89,2689,2666.8,2618.36,2639.4,2673.5,2694.12,2741.28,2754.9
Gambia,2385,2370.57,2365.48,2347.26,2491.29,2387.48,2422.43,2434.34,2421.86,2320.56,2344.44,2130.8,2103.87,1980.54,1823.06,1844.2,1817.58,1871.5,1862.95,1921.08,1993.16,2037.73,2118.68,2160.32,2362.56,2566.58,2526.42,2504.02,2465.63,2520.92,2472.31,2409.18,2354.75,2251.6,2269.45,2212.18,2253.22,2244.89,2248.42,2288.24,2303.42,2254.76,2245.4,2276.92,2284.94,2366.26,2384.59
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815.97,1569.77,1776.61,2225.79,2339.22,2386.02,2428.76,2391.82,2373.94,2529.16,2608.94,2708.69,2827.74,2855.09,2724.68,2859.39
Germany,2887.74,2943.75,2928.04,3017.24,3044.24,3045.86,3043.46,3097.99,3085.88,3146.43,3173.62,3162.61,3205.71,3168.16,3160.73,3206.51,3167.13,3279.43,3307.85,3338.15,3334.4,3362.76,3378.22,3411.66,3462.96,3462.9,3473.05,3513.89,3452.15,3306.51,3403.52,3446.37,3292.33,3305.25,3353.76,3403.06,3283.05,3389.82,3384.63,3432.82,3477.81,3520.67,3495.02,3496.27,3524.31,3519.28,3546.96
Ghana,2095.43,2014.28,1902.46,1919.5,1934.19,2139.02,2241.13,2132.81,2142.03,2307.99,2294.57,2186.97,2213.15,2262.9,2102.13,1959.56,1779.15,1742.82,1723.24,1690.97,1678.71,1597.95,1602.59,1940.33,1933.3,1947.94,2045.41,2050.7,2045.81,1854.5,2255.72,2253.12,2414.54,2435.2,2478.73,2486.8,2483.87,2519.49,2561.06,2596.35,2603.44,2675.33,2714.63,2767.06,2794.56,2845.26,2907.02
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2824.27,2779.92,2793.98,2877.15,2924.12,2947.03,3007.77,3043.3,3041.04,3146.1,3171.19,3134.22,3419.93,3355.32,3341.87,3323.88,3340.16,3341.18,3337.45,3194.53,3367.56,3405.34,3432.56,3549.67,3510.29,3337.56,3460.58,3543.93,3627.95,3539.05,3535.33,3602.77,3543.05,3578.26,3507.69,3511.75,3521.06,3589.4,3668.3,3619.92,3672.05,3690.86,3680.44,3712.85,3697.14,3677.78,3724.69
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,1731.6,1813.04,1856.3,1932.32,1984.69,2057.36,2070.43,2104.74,2155.42,2240.89,2198.78,2170.83,2148.06,2059.99,2050.09,2101.67,2249.78,2277.25,2289.77,2257.53,2252.34,2190.39,2105.78,2102.27,2105.55,2140.52,2358.05,2400.92,2453.58,2495.68,2463.5,2457.96,2474.69,2456.97,2406.75,2375.52,2399.01,2327.76,2253.06,2253.6,2326.56,2323.87,2359.38,2404.72,2384.04,2434.44,2454.18
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,1816.66,1847.12,1892.81,1952.74,1960.06,1965.95,1973.29,1984.86,2015.79,2027.45,1998.07,2005.8,2059.54,2039.08,2119.98,2067,2105.73,2122.04,2129.41,2157.75,2386.7,2259.29,2115.16,1995.04,2182.32,2329.44,2329.94,2346.32,2216.18,2352.99,2317.83,2202.93,2290.18,2281.16,2227.76,2184.82,2098.19,2101.93,2085.75,2092.47,2135.08,2203.05,2139.03,2133.14,2165.06,2187.66,2159.26
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,2234.07,2208.11,2197.57,2316.81,2266.57,2249.27,2232.33,2207.21,2162,2212.83,2239.88,2219.04,2351.26,2321.59,2337.79,2326.13,2326.01,2338.15,2363.61,2286.47,2346.68,2250.63,2243.08,2330.65,2316.01,2360.9,2349.96,2424.62,2421.13,2383.78,2402.93,2457.49,2480.76,2480.24,2492.33,2454.39,2387.09,2373.55,2423.13,2464.81,2430.06,2411.48,2451.92,2483.24,2497.52,2521.74,2568.03
Guinea-Bissau,1739.77,1702.39,1737.56,1775.75,1833.48,1853.15,1829.22,1728.58,1830.13,1734.83,1857.22,1797.39,1789.77,1822.96,1880.99,1912.5,1942.6,1999.17,1930.37,1976.73,2081.21,2089.97,2099.95,2103.25,2324.18,2220.81,2251.08,2211.83,2191.75,2239.46,2302.52,2335.88,2230.04,2292.27,2289.34,2197.73,2147.43,2093.55,2135.27,2246.93,2222.39,2198.95,2211.04,2234.95,2273.91,2284.13,2306
Guyana,2272.02,2279.12,2232.31,2298.26,2228.43,2265.32,2254.71,2250.92,2276.79,2272.87,2278.01,2288.58,2404.09,2450.97,2463.97,2518.5,2515.03,2496.39,2405.82,2440.97,2499.69,2440.81,2492.98,2429.26,2409.03,2424.77,2450.14,2368.2,2337.14,2309.69,2280.89,2317.56,2435.68,2419.79,2508.16,2542.3,2656.93,2670.87,2695.85,2785.3,2790.91,2750.7,2749.75,2733.68,2753.75,2747.08,2758.51
Haiti,1903.67,1934.37,1929.36,1864.98,1936.3,1902.36,1890.96,1861.16,1870.25,1865.28,1868.53,1891.77,1946.27,1918.77,1918.05,1955.35,1918.65,1946.25,1954.22,1940.55,1978.03,1946.86,1931.77,1870.7,1890.91,1864.77,1785.24,1727.64,1684.04,1734.77,1741.07,1708.44,1711.04,1678.32,1717.78,1784.49,1830.09,1889.07,1916.33,1929.26,1897.44,1864.14,1842.08,1835.63,1825.04,1848.56,1869.77
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,1882.37,1852.02,1864,1863.15,1918.84,1977.14,2028.95,2043.35,2088.88,2075.67,2032.7,2004.51,2038.68,2011.58,2077.85,2106.14,2091.7,2055.45,2041.88,2071.55,2124.88,2032.15,2098.71,2098.57,2141.22,2158.76,2185.02,2242.39,2287.48,2311.29,2277.6,2318.85,2328.87,2357.48,2391.78,2412.52,2415.54,2426.75,2450.26,2420.88,2544.9,2556.5,2563.24,2561.59,2580,2600.4,2623.41
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,3073.31,3072.03,3097.13,3132,3112.1,3198.71,3227.9,3210.89,3272.8,3304.49,3314.71,3311.11,3321.21,3351.91,3429.44,3316.26,3367.18,3430.16,3418.57,3497.46,3448.46,3528.35,3522.03,3525.56,3576.72,3585.94,3750.01,3648.14,3754.73,3694.35,3513.03,3590.92,3421.92,3343.99,3256.05,3241.87,3313.78,3320.07,3327.66,3381.01,3393.97,3404.12,3400.83,3459.7,3387.16,3463.01,3465.18
Iceland,3255.84,3323.07,3103.88,3142.18,3155.77,3084.72,2978.8,2935.3,2892.12,3015.54,2951.14,3068.08,2945.07,2948.32,2975.4,3038.24,3047.46,3107.84,3203.26,3167.41,3299.95,3191.32,3187.29,3204.13,3163.39,3294.09,3207.87,3113,3147.55,3055.6,3117.66,3107.57,3085.89,3122.93,3110.75,3032.97,3107.91,3116.3,3143.08,3153.31,3138.73,3224.62,3262.66,3310.98,3309.09,3319.11,3361.9
India,2029.63,2050.59,1956.32,1998.78,1945.06,1949.3,1982.42,2012.67,2058.92,2133.57,1986.08,1981.49,2061.85,1949.7,2081.89,1933.92,2137.16,2189.15,2025.58,1990.72,2076.24,2083.27,2251.27,2207.89,2169.72,2173.94,2192.04,2294.64,2369,2219.5,2315.54,2356.37,2184.85,2252.52,2332.94,2342.35,2332.98,2304.68,2395.88,2313.93,2259.01,2265.35,2339.6,2234.81,2235.12,2315.44,2351.86
Indonesia,1742.85,1750.28,1742.75,1791.31,1785.25,1773.4,1784.16,1807.05,1844.02,1882.16,1919.15,1952.44,2036.55,2056.86,2046.19,2023.95,2074.04,2115.32,2178.08,2219.7,2302.09,2307.95,2372.3,2400.8,2416.09,2450.5,2501.33,2599.35,2618.91,2356.46,2379.08,2445,2463.82,2508.53,2584.48,2582.31,2535.51,2523.15,2508,2498.5,2447.46,2506.63,2506.65,2527.52,2527.43,2539.76,2538.42
Iran,1768.91,1765.47,1808.65,1878.3,1887.99,2032.31,2046.4,2169.44,2036.77,2089.86,2019.87,2151.82,2299.16,2371.39,2396.95,2421.71,2451.39,2484.07,2552,2670.72,2725.85,2705.19,2767.52,2728.87,2705.13,2716.38,2797.85,2703.08,2886.73,2911.81,2964.27,3028.87,3082.16,3042.03,3004.95,3033.05,3083.38,3053.16,3084.67,3065.28,3079.89,3045.16,3041.56,3107.57,3075.12,3008.39,3043.61
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,3352.83,3363.86,3386,3390.68,3396.64,3389.16,3421.63,3419.4,3433.24,3444.4,3488,3449.22,3490.25,3526.33,3472.72,3432.45,3520.8,3602.8,3565.86,3591.76,3561.25,3615.28,3547.45,3537.85,3571.53,3611.38,3589.32,3594.66,3601.07,3635.74,3595.61,3635.83,3540.91,3582.18,3517.4,3611.93,3686.84,3687.58,3725.87,3724.3,3721.7,3576.78,3590.91,3546.08,3432.74,3552.36,3612.26
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2827.82,2841.68,2765.97,2793.9,2769.68,2896.11,2953.3,3034.22,3080.88,3079.34,3250.73,3205.49,3279.31,3192.59,3173.63,3206.45,3201.78,3120.87,3107.4,3083.84,3130.37,3274.37,3261.42,3245.7,3305.15,3343.44,3430.91,3349.6,3330,3386.64,3406.99,3430.71,3371.78,3325.1,3432.2,3467.63,3470.05,3459.24,3433.19,3494.42,3545.13,3633.97,3572.9,3556.88,3573.01,3518.8,3527.47
Italy,2955.51,3020.03,3086.61,3074.21,3126.64,3148.31,3226.04,3285.38,3330.5,3451.84,3435.55,3478.36,3556.53,3473.26,3381.47,3383.85,3321.52,3499.37,3604.63,3597.93,3505.94,3387.19,3353.66,3400.97,3406.99,3487.51,3506.16,3523.85,3538.96,3573.58,3628.71,3528.26,3458.48,3470,3486.04,3543.88,3564.36,3662.95,3689.31,3709.34,3690.81,3692.68,3675.11,3705.92,3674.63,3649.35,3645.65
Jamaica,1915.48,2019.67,2029.5,2169.76,2174.84,2202.23,2330.52,2342.27,2344.65,2492.9,2561.63,2657.11,2535.7,2620.15,2645.58,2683.62,2637.94,2705.26,2580.71,2651.21,2584.13,2516.03,2528.04,2606.8,2533.55,2567.53,2622.18,2544.43,2603.1,2531.47,2467.41,2516.23,2602.4,2713.65,2680.34,2712.89,2699.79,2720.36,2738.57,2748.77,2827.79,2820.1,2836.86,2812.2,2844.1,2846.5,2851.57
Japan,2505.53,2553.69,2588.66,2612.96,2602.37,2624,2671.27,2682.98,2678.6,2723.44,2712.97,2766.66,2759.46,2725.28,2700.93,2731.57,2753.42,2769.46,2786.52,2777.45,2729.26,2792.18,2807.85,2805.77,2839.97,2852.36,2874.03,2919.2,2946.6,2925.94,2911.41,2920.25,2903.62,2909.43,2904.89,2940.22,2922.13,2872.7,2875.33,2879.27,2868.37,2835.6,2826.57,2830.58,2820.88,2785.53,2812.14
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,2105.95,2143.88,2168.93,2088.35,2158.34,2171.68,2045.72,2217.97,2252.23,2205.72,2239.88,2241.12,2194.89,2223.28,2190.72,2331.18,2404.94,2498.66,2557.51,2606.03,2654.75,2656.94,2637.34,2674.42,2726.34,2690.17,2743.97,2765,2721.37,2850.73,2881.05,2788.34,2762.17,2653.7,2697.47,2651.44,2739.38,2710.46,2620.97,2672.47,2750.93,2794.33,2894.49,2932.42,2934.84,2981.81,3015.43
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3043.87,3256.79,3440.32,3135.39,3051.5,3163.87,2565.33,2236.85,2397.39,2579.21,2921.92,2970.72,3032.92,3214.41,3372.02,3490.13
Kenya,2283.6,2285.05,2177.78,2203.41,2339.21,2330.28,2315.83,2308.12,2348.47,2315.34,2303.13,2356.67,2317.54,2327.8,2297.3,2365.64,2381.84,2382.32,2327.06,2310.34,2278.98,2263.16,2216.92,2044.39,2289.17,2235.61,2140.54,2078.68,2080.37,1973.37,1976.62,1982.58,1899.05,2029.63,2066.52,2041.63,2020.08,2035.97,2092.65,2047.85,2052.31,2018.28,2002.07,2002.36,2016.06,2075.13,2089.31
Kiribati,2424.01,2509.28,2518.8,2549.06,2537.42,2602.67,2691.44,2626.42,2613.19,2688.73,2742.65,2785.47,2888.66,2847.25,2913.97,2802.2,2776.95,2873.13,2961.44,2893.96,2821.15,2780.13,2709.71,2639.58,2637.24,2630.22,2615.49,2583.85,2524.53,2592.01,2676.41,2690.39,2709.67,2689.24,2779.44,2770.6,2740.77,2791.93,2797.52,2807.44,2819.25,2822.02,2819.04,2834.23,2884.82,2895.99,2899.07
"Korea, Dem. Rep.",1955.45,1973.32,2076.5,2148.15,1992.63,2046.9,1936.23,1949.3,2118.49,2096.99,2122.51,2110.51,2177.51,2082.05,2153.93,2266.95,2221.79,2221.19,2362.89,2210.53,2311.06,2019.8,2039.24,2077.4,2076.81,2183.09,2184.06,2132.28,2237.24,2375.74,2378.04,2259.34,2225.21,2275.37,2221.88,2116.42,2130.06,2105.19,2134.4,2130.98,2092.52,2125,2125.59,2157.29,2175.5,2176.63,2087.04
"Korea, Rep.",2141.07,2179.84,2207.92,2251.17,2366.88,2440.05,2507.97,2610.13,2721.69,2815.28,2898.24,2974.29,3057.5,3026.31,3105.47,3157.48,3109.13,3175.77,3140.72,3023.44,2969.2,2938.79,2950.73,2998.27,2951.02,2995.35,3072.6,3085.74,3065.41,2955.69,2950.44,3005,2961.84,2982.61,3021.86,3054.59,3059.79,2959.85,3063.86,3061.2,3045.98,3042.26,3022.78,3059.75,3066.02,3080.53,3073.71
"Korea, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,2409.86,2510.04,2456.19,2609.05,2610.43,2706.24,2638.91,2629.45,2572.72,2573.33,2544.34,2598.72,2586.05,2626.55,2631.73,2704.22,2791.08,2845.74,2905.52,2937.73,2983.84,3005.25,2988.1,3028.31,2979.42,2976.66,2980.31,2992.25,3004.37,2216.24,1992.96,2655.9,2858.54,2932.58,3009.17,3066.79,2954.54,3011.72,2933.24,3017.51,2972.19,2918.65,2931.99,2984.42,3007.37,3043,3064.09
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2668.86,2410.85,2410.11,2369.99,2509.79,2640.23,2494.8,2517.12,2395.98,2449.29,2471.04,2612.24,2726.8,2744.35,2629.37,2643.69
Laos,1951.19,1921.37,1944.34,1991.17,2011.87,2031.61,2028.43,2034.38,1981.42,2016.73,2015.95,2002.03,1989.59,1952.72,1933.27,1949.46,2034.02,1971.86,1946.99,1965.68,1965.54,1979.51,1947.83,1918.95,1924.06,1948.64,1977.21,1919.52,1953.9,2035.96,2017.83,1984.03,1984.36,2014.91,2004.65,2055.37,2054.71,2067.2,2046.75,2119.26,2108.04,2137.81,2167.81,2187.03,2220.22,2222.26,2240.35
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271.85,3261.94,3288.42,2948.86,3081.38,2922.01,2848.36,2851.8,2798.87,2897.57,3070,2937.53,2963.11,3053.77,3041.32,2962.25
Lebanon,2314.21,2360.85,2329.07,2357.88,2366.65,2351.39,2385.53,2426.38,2371.31,2356.26,2358.57,2354.95,2353.81,2354,2292.73,2320.37,2462,2501.73,2567.95,2637.95,2605.69,2673.92,2716.76,2731.87,2712.25,2720.49,2765.05,2869.49,2955.56,2936.36,3074.76,3020.77,3029.54,3010.82,3000.42,2974.83,3064.53,3036.55,3072.9,3031.97,3063.79,3110.91,3099.8,3122.17,3128.14,3084.82,3107.09
Lesotho,2012.71,2003.6,2079.73,2025.79,2072.48,1998.12,2007.99,2003.85,1981.45,2012.88,2082.33,2028.34,1972.82,2096.98,2080.27,2186.48,2291.25,2374.05,2308.37,2278.19,2335.02,2280.74,2340.43,2297.84,2298.35,2300.45,2266.11,2282.01,2315.07,2324.93,2385.78,2395.45,2405.19,2442.17,2333.2,2378.12,2413.15,2422.52,2431.33,2417.92,2427.06,2444.43,2446.18,2449.12,2470.76,2457.83,2476.17
Liberia,2121.66,2145.61,2214.33,2219.77,2192.45,2315.01,2205.22,2247.16,2115.57,2370.8,2454.93,2340.97,2376.2,2385.64,2262.21,2387.14,2522.82,2501.76,2546.03,2460.93,2495.49,2538.56,2426.02,2395.5,2415.99,2469.99,2447.66,2517.19,2519.33,2071.53,2298.54,2301.66,2172.75,2175.4,2114.77,2119.85,2264.66,2202.49,2148.13,2181.43,2073.73,2065.35,2048.16,2082.25,2140.07,2146.35,2203.79
Libya,1636.51,1644,1724.18,1752.53,1880.9,2024.57,2114.08,2213.09,2261.29,2356.03,2415.51,2497.05,2840.41,2998.43,3073.78,3203.53,3206.67,3268.67,3279.82,3265.57,3297.79,3276.25,3285.57,3202.25,3156.2,3141.34,3130.66,3159.72,3175.2,3187.18,3186.16,3175.28,3177.13,3203.74,3167.52,3175.74,3172.22,3114.84,3102.51,3117.99,3099.21,3107.28,3088.14,3113.98,3149.03,3141.45,3142.93
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970.33,2775.55,2881.72,2842.52,2995.34,3162.6,3231.66,3164.35,3348.56,3362.5,3342.5,3350.58,3442,3407.81,3412.62,3436.38
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3613.04,3606.73,3699.17,3694.94,3720.7,3705.24,3670.28,3681.07
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439.29,2364.45,2700.23,2580.51,2574.49,2766.06,2879.54,2837.42,2806.25,2700.22,2807.17,2823.26,2970.93,2868.64,2974.01,3105.47
Madagascar,2460.82,2428.24,2485.35,2541.38,2518.27,2474.59,2507.17,2567.25,2577.44,2540.43,2615.38,2568.23,2540.76,2601.89,2596.32,2644.94,2523.26,2514.64,2472.99,2491.17,2503.88,2327.03,2487.66,2463.45,2456.08,2453.29,2363.19,2258.53,2265.05,2267.53,2167.25,2173.43,2171.34,2099.18,2095.44,2088.79,2091.74,2086.29,2076.62,2084.61,2071.85,2030.64,2061.9,2065.02,2105.79,2131.54,2159.66
Malawi,2009.3,2011.03,2105.96,2219.89,2253.07,2234.49,2193.96,2265.01,2245.03,2353.59,2409.74,2373.08,2433.31,2420.24,2388.83,2381.54,2355.25,2327,2273.84,2230.3,2267.66,2265.98,2158.57,2070.28,2080.09,2020.19,1996.51,2005.4,1945.78,1913.64,1909.3,1792.11,1865.32,1880.16,1969.01,1970.05,2002.15,2049.36,2096.14,2098.5,2093.37,2067.48,2057.95,2060.42,2084.29,2124.56,2171.62
Malaysia,2427.18,2447.01,2468.21,2442.16,2439.44,2434.65,2446.61,2499.11,2568.89,2599.67,2539.82,2564.48,2614.79,2649.46,2606.62,2627.17,2651.12,2683.8,2742.59,2776.44,2753.32,2751.41,2778.16,2787.85,2682.49,2670.3,2619.45,2636.26,2644.14,2666.31,2677.76,2802.68,2834.96,2874.89,2958.23,2966.75,2949.34,2930.15,2914.33,2876.89,2857.93,2806.38,2827.37,2860.69,2883.28,2917.5,2923.14
Maldives,1417.73,1449.53,1434.39,1443.27,1532.86,1581.88,1594.3,1585.17,1590.26,1672.79,1670.66,1624.82,1773.93,1759.84,1744.31,1866.9,1895.07,1989.85,2081.98,2205.31,2232.66,2286.09,2275.94,2289.11,2307.99,2346,2277.73,2307.54,2453.5,2349.3,2426.65,2415.58,2420.93,2511.27,2426.63,2444.62,2429.64,2475.19,2513.2,2517.34,2557.41,2574.14,2588.38,2615.95,2667.95,2673.75,2685.39
Mali,1644.87,1685.33,1740.13,1680.29,1651.43,1645.78,1674.95,1777.84,1650.25,1860.3,1610.09,1571.95,1545.97,1672.23,1743.6,1715.8,1639.19,1553.09,1650.6,1573.87,1506,1690.61,1637.06,1734.78,1976.71,2077.75,2056.48,2191.71,2180.27,2201.39,2175.87,2172.26,2174.54,2168.12,2184.97,2228.41,2230.78,2319.24,2303.15,2334.97,2398.59,2423.78,2484.79,2493.49,2537.77,2586.29,2614.23
Malta,2855.49,2880.58,2943.74,2990.75,3089.19,3000.5,3016.66,3140.85,3163.24,3153.72,3178.88,3168.63,3122.99,3098.62,3263.28,3332.33,3306.9,3294.17,3256.35,3315.85,3254.51,3149.04,3178.44,3073.79,3162.13,3035.72,3140.34,3257.71,3292.24,3147.93,3292.42,3268.61,3270.94,3308.1,3435.59,3457.13,3458.36,3513.4,3571.3,3459.56,3459.26,3495.57,3485.61,3580.14,3571.07,3593.79,3610.6
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,2259.74,2229.2,2199.61,2185.92,2166.38,2191.57,2184.26,2144.25,2136.2,2006.31,1963.96,1905.68,2007.97,2009.7,1979.16,2011.62,2052.42,2127.03,2070.03,2145.35,2190.54,2215.79,2496.52,2449.72,2492.96,2501.35,2551.46,2563.89,2596.76,2550.52,2573.77,2600.34,2668.41,2593.91,2663.29,2697.51,2726.04,2753.1,2759.78,2757.93,2760.07,2777.95,2705.89,2783.89,2799.25,2828.36,2841.06
Mauritius,2372.2,2409.92,2364.64,2385.69,2299.34,2333.82,2286.31,2279.27,2217.04,2349.86,2374.2,2376.9,2381.96,2423.27,2475.71,2485.34,2541.92,2600.87,2660.84,2622.02,2684.18,2635.04,2602.7,2650.37,2686.67,2755.77,2758.53,2744.71,2759.33,2734.48,2763.26,2774.44,2768.09,2810.39,2808.57,2813.75,2806.27,2852.37,2839.96,2856.13,2905.15,2914.52,2920,2940.19,2927.12,2915.24,2965.39
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2347.41,2333.3,2347.72,2401.53,2418.35,2460.97,2508.82,2544.51,2564.07,2592.36,2588.66,2628.72,2669.97,2693.65,2772.3,2745.05,2785.39,2867.72,2907.4,3063.84,3208.16,3206.66,3186.48,3128.1,3184.6,3142.28,3035.44,3102.19,3069.94,3065.75,3093.96,3109.06,3123.97,3121.94,3090.35,3118.59,3094.44,3100.44,3112.4,3171.7,3224.21,3246.8,3256.64,3258.08,3223.35,3245.19,3266.31
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3196.07,3180.66,2807.05,2643.4,2572.11,2710.31,2680.13,2615.67,2543.54,2709.94,2796.63,2734.26,2836.05,2942.56,3008.15,2771.3
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,2015.68,1952.16,2048.03,2212.31,2289.08,2314.04,2289.88,2197.05,2217.23,2255.24,2203.83,2196.06,2234.04,2221.94,2239.99,2340.98,2277.93,2361.28,2384.89,2385.34,2367.77,2367.64,2410.44,2360.53,2251.33,2312.17,2235.32,2263.17,2224.5,2227.03,2164.67,1852.01,1860.28,1865.43,2058.33,2069.54,2058.52,2120.61,2156.73,2184.16,2221.66,2229,2237.48,2241.65,2226.65,2248.95,2285.34
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.76,2447.22
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2173.89,2196.84,2196.64,2265.21,2273.49,2209.85,2243.88,2260.37,2470.12,2447.99,2447.55,2519.34,2528.41,2550.2,2656.31,2585.73,2679.77,2681.27,2718.37,2692.87,2735.9,2776.43,2778.64,2831.1,2831.17,2962.29,2950.92,3032.43,2962.41,3068.5,3047.79,2893.12,2863.1,2986.31,2940.92,3059.57,3095.13,3139.13,3066.86,3049.6,3102.86,3130.88,3173.53,3233.45,3188.62,3265.41,3236.03
Mozambique,1852.71,1880.78,1826.05,1871.19,1885.38,1863.39,1867.38,1787.76,1860.94,1819.52,1890.32,1838.09,1960.77,1891.54,1849.51,1902.73,1845.46,1835.14,1851.27,1879.46,1816.38,1753.5,1715.83,1779.48,1836.7,1706.86,1767.71,1828.7,1753.18,1829.33,1702.47,1702.72,1703.53,1697.91,1855.93,1931.88,1963.11,1929.48,1978.84,1958.57,1939.26,1951.19,1998.16,2018.64,2054.91,2090.81,2066.59
Myanmar,1674.11,1685.02,1731,1777.8,1797.4,1809.3,1841.75,1866.69,1961.23,1971.65,1985.54,2008.65,2037.51,2038.16,2029.6,2021.17,2062.19,2098.65,2172.12,2179.86,2231.09,2277.9,2252.89,2307.36,2249.35,2265.14,2278.35,2259.3,2115.82,1865.11,1810.05,1842.76,1948.11,1967.27,2037.37,2015.07,2058.21,2032.1,2074.4,2101.52,2150.33,2226.91,2270.18,2350.79,2410.19,2440.43,2464.91
Namibia,2207.92,2248.69,2245.03,2248,2253.48,2243.86,2238.99,2226.42,2224.48,2195.52,2207.84,2184.72,2176.01,2160.92,2142.35,2159.21,2189.45,2210.34,2232.9,2254.1,2234.47,2210.75,2181.17,2170.98,2105.18,2087.74,2135.8,2107.5,2029.92,2057.41,2072.43,2046.02,2022.09,2030.2,2067.13,2091.15,2150.41,2156.41,2220.78,2274.91,2280.85,2300,2287.61,2278.65,2298.49,2365.73,2382.88
