Military expenditure (% of GDP),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
El Salvador,5.088426419,5.478869478,4.198159078,3.522227979,2.999917882,2.388590054,1.971768419,1.696754126,1.557039816,1.451497451,1.337199387,1.31277437,1.219882042,1.385430052,1.425905345,1.103231938,1.025426786,0.9945126303,0.9972669495,0.9947823665,0.9752228081,1.040607909,1.045366088,0.9629523599
Equatorial Guinea,,,,,,,1.892178296,2.102610177,,,,,,,,,,,,,,,,
Eritrea,,,,,,22.03057304,13.4037616,20.84178088,21.95708388,12.8271012,35.27382517,39.61541886,36.40299095,24.22728024,22.31535434,20.86610913,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,0.9612038362,0.8769434874,1.051177856,1.071082519,1.29141166,1.378283766,1.506268418,1.671745082,1.743339516,1.703617237,1.913834548,1.874425531,2.022477127,2.122151422,2.268857649,1.740618005,1.665310192
Ethiopia,5.680590916,6.8629723,6.497158336,3.959043639,2.453492825,2.187792482,2.044696581,1.585374587,1.498210916,2.6170036,5.875679764,9.507042254,7.614632097,4.349743484,3.720141954,3.264234701,3.099435161,2.784749969,2.284240096,1.877448481,1.500992261,1.192634146,1.120545025,1.084011457
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2.223481985,2.456849794,2.282828283,2.345739471,1.993658515,1.959151299,1.844783715,1.761160634,1.542838019,1.478614667,1.36403682,1.22604763,1.902479248,1.97650996,1.677510099,1.61027625,1.715759387,1.433805394,1.742541049,2.224997187,1.492425678,1.774170141,1.593560046,
Finland,1.590122409,1.512617005,1.54171705,1.75669174,1.884269243,1.849512596,1.745396136,1.459443704,1.57569277,1.5831626,1.509890166,1.268792767,1.279170922,1.186749756,1.191818777,1.378400478,1.399524516,1.401266603,1.3760444,1.225045877,1.32924005,1.501872268,1.428325015,1.490831076
France,3.606434077,3.507289487,3.423283069,3.428948051,3.286687094,3.283614317,3.245062968,3.038752136,2.950249073,2.905971932,2.72590156,2.670799884,2.549451276,2.486504327,2.506987691,2.562123174,2.578565303,2.47635833,2.416808283,2.346469476,2.331011615,2.55313249,2.303200573,2.248842
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,1.801452248,1.910440849,1.920167578,1.790230457,1.714089818,1.312651775,1.161975358,1.063920092,,,0.9483780827,
Gambia,0.81053131,0.9607128269,1.092743107,0.5789087422,0.4910445518,0.3385761865,0.3103708256,0.3679121415,0.4632778006,0.519690013,0.4819282419,0.431932624,0.4245071896,0.3570262979,0.3907203158,0.4102058918,0.3336981033,0.4692743577,0.4176458022,0.5453404758,,,,
Georgia,,,,,,,,,2.210173027,1.253587669,1.136973956,0.9243748559,0.6155824908,0.7401860053,1.000532997,1.068414394,1.374144337,3.338799775,5.221207622,9.156291954,8.519069894,5.604358946,3.904863214,2.963372762
Germany,2.588404421,2.482081768,2.468362241,2.184934185,2.032759039,1.853910071,1.691392661,1.631539086,1.599893333,1.539841054,1.521763535,1.529997,1.492258852,1.45810933,1.461776569,1.446332945,1.394088446,1.375651861,1.312286616,1.280214124,1.326865551,1.438871341,1.374031008,1.305546911
Ghana,0.4756486905,0.423365833,0.4685568796,0.617912171,0.6421977193,0.6972960409,0.6916426513,0.7611233665,0.6438127828,0.6589482336,0.7689639223,0.7677431268,1.020163889,0.609392525,0.5996479882,0.6983314112,0.6346392089,0.5983911298,0.3710234572,0.5096194651,0.3976323485,0.434443283,0.3887701987,0.2514173866
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Greece,3.782205719,3.390787289,3.422047924,3.138198037,3.269513284,3.243213495,3.226159164,3.202538596,3.342447513,3.396741044,3.566215074,3.596519164,3.624758601,3.410106755,3.241125519,2.611413874,2.749705596,2.927744022,2.902923611,2.798836803,3.099343076,3.286105077,2.378607748,2.722139303
Greenland,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,1.591628178,1.536863628,1.471576784,1.080285168,1.25404233,1.07871279,1.079427888,0.9899398043,0.8211267647,0.742537209,0.7208367473,0.6756009097,0.8180681647,1.051859533,0.7624296337,0.8158851693,0.4794158373,0.3841545399,0.4320470109,0.3984564492,0.4255225664,0.3906267758,0.4106723168,0.4258684841
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,2.380191876,1.694382077,1.340506105,1.355911028,,,1.172671371,1.255008515,1.595106264,1.476946538,3.035305394,3.21506107,2.441199257,2.231020999,,,,,,,
Guinea-Bissau,,2.072211088,,,,,0.8559258379,0.8709477188,0.7017769413,0.6768955948,1.404761905,,4.423728814,3.10692268,3.12507235,1.579296087,,2.115090581,,,,,,
Guyana,2.027549604,1.200387296,0.906479446,0.6030177247,0.9832436078,0.9759655286,1.014665141,0.9153628786,0.7875685127,,,,1.50293814,1.756524642,1.905653735,1.874947864,1.790783301,1.909348408,1.118973572,1.221067099,1.350940601,1.403486689,1.274148394,
Haiti,,,,0.08740388339,0.08262466177,0.09152922891,0.07540911793,0.09207198802,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,0.7303980468,0.822525733,0.809032451,0.9984747042,0.682940611,0.6416371971,0.6922359688,0.7762220248,0.9538259245,1.106210885,1.105190423,1.068781176
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,
Hungary,3.803344155,3.089562366,2.793214803,2.396589373,2.340996783,2.123928019,2.037847071,1.560748409,1.470967672,1.689159066,1.470833693,1.673311647,1.72694773,1.803680083,1.633052298,1.677747943,1.50365705,1.446761312,1.253027874,1.305245667,1.211068526,1.165443397,1.050166553,0.9893018118
Iceland,,,,,,,,,,,,,,,,,,,,,0.04642419693,0.0820538039,,
India,3.479115121,3.426785013,3.138794091,2.90855344,2.711269287,2.82715753,2.668348685,2.57596467,2.473090573,2.645648024,2.72821389,2.971874917,2.960363724,2.934000054,2.833250107,2.681559939,2.828318594,2.753583517,2.526366182,2.342047166,2.550593128,2.902118392,2.746884736,2.579101576
Indonesia,0.9420770143,0.8558774091,0.8692711858,0.8157024308,0.8360632427,0.7538447786,0.7799179182,0.755532102,0.756710891,0.7382561934,0.6428435768,0.5809599304,,0.4776708323,0.7853627011,0.9870512542,0.9457161566,0.7507890802,0.7164254804,0.7747868254,0.6334809849,0.6124108876,0.6586422693,0.6729961042
Iran,1.951789923,2.410274784,2.050125488,1.655580071,1.38891239,1.51628681,2.361287203,1.787789046,1.917471076,2.127595639,2.352840991,2.974176928,3.682686251,3.875332137,2.314574478,2.740885376,3.052490982,3.507930929,3.681952854,2.730675815,1.919834009,,,
Iraq,,,,,,,,,,,,,,,,,2.382959675,3.57711739,2.742231812,3.408413108,3.320449801,4.621383386,4.415103095,5.065756741
Ireland,1.087600265,1.00926408,1.26156618,1.242041092,1.210999466,1.150962145,1.144651875,1.04722129,1.015094904,0.9430384439,0.8425245572,0.7690533297,0.7123082989,0.7263671256,0.6563313691,0.6064627666,0.5891330357,0.5634354248,0.5322576703,0.5280812483,0.6005885922,0.6345090247,0.6166983635,0.5976808704
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,
Israel,15.57259015,13.27584754,12.89508769,16.02684364,11.82962581,12.1333937,11.02571666,8.925470007,9.118551907,9.149196609,8.657760738,8.36723659,7.952124265,8.392789106,9.636057917,9.619576279,8.722139568,8.027837288,8.101779004,7.465419395,7.114939701,7.002204175,6.549769317,6.767955324
Italy,2.284160357,2.227212563,2.062302505,2.036024536,1.965660723,2.004464344,1.922672552,1.711900407,1.851048817,1.895694734,1.917163157,1.961202613,2.02997288,1.958370676,1.988442748,1.996869795,1.965761191,1.876871723,1.783686646,1.690581555,1.787519251,1.814706102,1.727245941,1.567629581
Jamaica,,0.5334958103,0.5971409185,0.5527605012,0.9497971905,0.6473885378,0.4927082057,0.5800358075,0.6549985679,0.7374479818,0.5448700997,0.5110297743,0.4869013654,0.509347226,0.5880262488,0.5835600072,0.538023527,0.5175070028,0.5860122699,0.6260021668,0.9286132813,0.9123869801,0.7726739313,
Japan,0.9458428986,0.9285379525,0.9121208456,0.9086314632,0.9242534049,0.9406556887,0.942624753,0.9395924194,0.9405494606,0.9407522922,0.9644082237,0.977217019,0.9679127604,0.979144809,0.992893877,0.9930745379,0.9743405781,0.967646551,0.9526591367,0.9285049258,0.9503016005,1.019445017,0.9954891638,1.020592084
Jersey,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,9.715597951,9.274482526,8.020087696,10.33238766,6.92444056,6.977402161,6.539635648,4.454248523,6.025690606,6.12975689,6.273268727,6.280882488,6.249062641,5.889466493,5.444859758,6.002434167,5.141721289,4.79532279,4.655577065,6.03391737,6.105142554,5.89514938,5.175349102,4.742012105
Kazakhstan,,,,,,1.019607043,0.8973506431,1.064889222,1.15133346,1.070482928,1.09619801,0.8529815399,0.7846450804,0.9998174795,0.9983377015,1.029927459,0.9880523517,1.036809572,0.9790741311,1.29963173,1.152438368,1.105385125,1.013040397,0.9633498918
Kenya,3.003700068,2.75991012,2.875271701,2.354278361,1.900769238,1.837767528,1.641550318,1.648143537,1.418027378,1.340623876,1.220133986,1.17804328,1.303318732,1.504477951,1.626853318,1.650141105,1.614182837,1.690723834,1.669946449,1.81624019,1.901123214,1.896676873,1.87146166,1.535360359
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,4.34099255,4.190535271,3.833075867,3.566695795,3.520817752,3.417900717,3.19304473,2.993698941,2.942511353,2.875992497,3.027456152,2.715582788,2.58754451,2.564877209,2.44858397,2.461695053,2.469607,2.622852752,2.645300028,2.642528869,2.799254675,2.922058656,2.716839847,2.757434516
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,8.244994294,8.539948492,48.70741634,117.3876949,31.78580571,12.44761601,13.26558312,13.58146414,10.29768926,8.092108836,8.802215659,7.590712178,7.147796024,7.700214933,7.402933563,6.539566833,5.805788662,4.344508965,3.559552087,3.61867346,3.031297325,4.055384212,3.796935511,3.194763624
Kyrgyz Republic,,,,,1.645757524,1.531364969,2.587526624,3.456156976,2.98726885,3.112198842,2.668117748,2.599293152,2.851987815,2.346944438,2.726668988,2.871055109,2.848944541,3.077328661,3.168714263,3.387651808,3.416636568,3.518486216,4.206575054,
Lao,,,,,8.977216478,7.939011785,7.393031462,6.172926377,4.114298763,3.452662184,2.605123174,1.064921214,0.7845507716,0.7132940172,0.6503795564,0.5404826316,0.4830479963,0.4288483286,0.3848228556,0.345220504,0.3151074234,0.2395647688,0.2259320361,
Latvia,,,,,,0.81799591,0.9302325581,0.8914383163,0.6826826176,0.6202812316,0.6354249404,0.7760836801,0.8924895322,1.045996248,1.580320666,1.68940639,1.667909977,1.699948118,1.843961474,1.67119875,1.729651515,1.406427296,1.083548244,1.045123932
Lebanon,1.187315632,,7.551951549,5.154888707,7.979787638,6.012986178,6.640833614,6.368134463,5.373543175,4.305154639,4.023098398,4.77062121,5.388162952,5.430901642,4.738154613,4.597853014,4.380917588,4.402973752,4.496541122,4.598522754,3.887970008,4.083648312,4.185240222,4.157609544
Lesotho,4.56990514,5.761192452,5.103642643,4.317114699,3.406362144,3.095198199,3.501961693,4.232416923,3.564798609,3.419768919,3.481759517,4.347490223,4.095762803,3.401048252,3.060241212,2.88892717,2.546240718,2.459165611,2.470009014,2.496731368,1.682409257,2.772141693,3.24025951,2.35000832
Liberia,2.407781951,,3.694068678,7.183908046,10.15659955,19.01496259,29.72768533,,,,,,,,,0.1787041993,0.6825000285,1.479999625,0.6506842942,0.472613203,0.4593550251,0.817723324,0.8572601161,
Libya,,,,,,,,,,4.078026716,5.297441532,3.783860245,3.202488264,2.884391719,2.281746032,2.272727273,2.059907834,1.521885522,1.116182573,0.9212328767,1.180701754,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,0.7782571182,0.4957406531,0.4531205895,0.5013884604,0.7454066168,1.228446648,1.050460858,1.703223662,1.768204799,1.699631842,1.697700467,1.492875348,1.443233732,1.4179977,1.373276943,1.409187912,1.366825937,1.128661862,1.037677113
Luxembourg,0.9210620593,0.76323997,0.7631300631,0.7854330496,0.8007440193,0.6845374974,0.7212798818,0.6882722381,0.6900219034,0.7246950495,0.740757755,0.6637568638,0.6318009509,0.7930073586,0.6793846359,0.6812648301,0.6883766331,0.6472385041,0.5807748775,0.5574745602,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,2.960142896,2.237948913,2.206391985,1.80326212,1.946782859,6.584388538,2.804035581,2.435279506,2.452819109,2.121320987,1.921208277,1.992388812,1.755769094,1.704265191,1.42291347,1.303314562
