Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bulgaria,,,,,,,,,,,,,,,,,,,,,100.1016565,107.1985723,116.0366062,144.0500321,146.9172618,153.398306,144.8087088,112.5961869,147.7668071,144.3889705,48.87509969,68.99041792,74.91394658,78.28656184,88.51219242,84.28285334,112.0882755,98.17506887,70.81503223,71.49438266,88.31174059,89.38842665,85.65309401,89.09598693,96.45080254,103.4847328,115.4313052,115.1159037,114.3665437,82.06303707,96.55021761,
Burkina Faso,4.532268083,9.121033046,11.2212492,11.77339892,12.63608263,12.39769573,12.45621897,12.08360064,14.11624276,15.56246952,14.80377633,15.09309277,15.38011385,18.2405396,24.00753729,20.72122504,20.18867501,23.38390648,18.30861375,21.59248893,23.28194249,23.20013471,22.97112093,21.80892977,22.74176621,25.95807517,23.96458569,24.85392268,22.78242769,18.58083356,22.18417616,20.38241217,23.65791888,24.78540034,24.05943153,30.72060408,34.02197671,33.46044024,37.46999795,30.94875075,31.40624669,31.2495576,29.96499019,29.1670144,34.23943115,31.83822602,33.04341909,34.00498968,33.6932592,34.03539293,37.82575656,
Burundi,14.28571503,12.3152714,13.11475371,11.73791632,9.971236499,16.98167005,18.13296123,19.06929043,20.54770742,17.54132368,19.24092829,19.14236769,23.34292257,20.08948289,21.45312253,22.2054301,26.4084817,29.93210182,27.47618458,32.77406933,25.33361361,24.35383229,29.70720474,24.19370542,29.27637915,26.17438451,29.6240698,26.77940545,31.13442328,23.78977102,27.02938446,29.55289101,27.05353728,28.12602041,37.18795936,33.88548366,19.10167237,21.27667736,24.95046812,21.28509442,27.92419961,26.85200927,25.37923504,32.65225696,33.57908835,41.11709213,53.22317936,38.57387072,39.36418279,35.02407924,37.85315092,
Cambodia,25.89686069,24.88888917,23.63636337,26.90196051,21.71532887,23.94736842,19.46875,18.59050459,19.23592559,16.95827288,12.94541366,7.010949388,17.2089987,23.474206,33.81800748,,,,,,,,,,,,,,,,,,,29.79799416,44.2066501,59.33966821,48.93495574,52.27371293,63.00422806,77.33330919,91.07747985,90.29486184,98.99561495,100.4227576,112.241985,111.5278646,116.3476228,110.2809136,108.3521562,97.84352123,111.4543957,
Cameroon,29.25295255,29.50133691,29.31194299,36.29756337,30.77962685,34.16721901,30.70908147,31.98198583,35.78817151,37.27326869,40.36095345,37.08389882,36.63171147,39.0270774,40.54739136,38.01203038,36.54110679,42.75479263,42.13293573,41.41346177,44.29769211,33.15721919,31.06686934,29.8028116,25.60928304,22.98660546,23.40611088,20.55684197,17.61746151,26.41817711,30.50689136,24.18297335,26.35063113,22.0585754,27.86192847,32.63398482,30.77369456,32.71158504,32.87764802,27.83590509,32.97257272,37.51735657,33.71392299,32.63854611,30.95375213,33.73698236,37.4438627,37.73107856,40.86660061,34.57770527,39.36771727,
Canada,28.93740724,29.79655392,29.61693661,29.60707153,31.58402579,31.71021377,33.24545193,33.68749995,35.96925981,36.42291288,36.00356541,35.74869894,37.12622593,39.66881341,43.65375297,41.1170354,39.85595658,41.21094385,44.11793283,48.15696431,48.4497082,47.47294246,42.01398398,42.40091573,48.41292603,48.23952882,47.66566158,45.25441248,46.13233064,43.49561156,43.05185697,42.11661584,45.50173651,50.42234033,56.76730004,61.06899399,61.39044439,65.1405869,68.16081081,69.35633848,71.92818787,68.09239051,65.32160802,59.79628133,60.13679748,60.23199414,58.43665217,56.94130476,58.26140185,48.33166552,50.11277795,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,51.98092979,41.5757937,37.34291021,40.31162706,41.92612327,43.5508359,46.97284508,43.49652403,52.09289205,52.99532155,49.18590554,49.1673304,44.11345595,44.04887435,44.69360334,43.33738682,46.14364662,44.68772936,48.2962309,46.89624524,50.79832708,57.77434773,55.28866814,46.91099544,47.74845762,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,30.26802714,29.24384295,31.62814385,37.40100246,41.38978851,36.00410797,41.79660546,44.85713398,39.26198334,38.89317703,34.29409052,32.54747912,31.88899325,32.78726959,33.48346478,30.6486837,25.76728892,28.54214949,21.01667231,21.30097778,24.71613252,25.04291442,30.73571059,23.83550939,27.12350715,23.7034326,20.8004927,27.56306217,25.80104112,22.38568094,18.42003213,15.52349137,17.57136575,18.09296175,33.99769915,30.84033891,26.91396224,30.30106855,28.3612213,26.34773675,28.97604945,25.73573132,25.62440931,21.59388069,22.45340256,22.44365833,24.38359375,25.15375154,22.69307432,21.21049412,23.84483049,
Chad,12.27789387,14.00219417,12.76100159,13.93300775,15.57214408,14.12026128,12.98805983,19.90643403,18.63251891,17.92422645,19.5996246,18.14877284,16.77194347,18.57870177,19.12454893,20.88098569,20.67406864,31.61093336,28.39031166,17.27575673,14.03671652,21.78022561,20.01502826,31.47456905,33.9459844,22.07005023,29.12445793,28.79409722,25.09099929,27.55124243,27.20563206,23.59968084,22.58411883,22.6198553,27.54592251,42.04948832,35.46203001,36.9653957,35.42253868,36.37149243,36.09975467,50.77970554,92.10846127,50.82823479,71.21227265,76.0277662,77.09363621,77.90752848,74.54700855,72.37918216,79.73458888,
