Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Laos,,,,,,,,,,,,,,,,,,,,,,,,,11.72357758,10.43661994,13.56338912,25.56855366,42.74065934,34.73161688,30.5004903,25.97054082,35.73306686,50.68730423,56.03760195,51.03382337,54.0649732,60.96123384,72.09935729,57.47953707,49.85144789,46.91683017,40.85620383,37.11787062,42.92059688,52.79413611,55.63579262,46.70666446,45.57513365,41.41615274,46.59856915,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.06370304,59.59066054,67.40917883,71.5772441,75.5634272,64.16826323,64.72630007,66.24453768,67.96899011,72.64688131,80.69338644,86.38913142,88.7663293,82.14716132,78.07342785,67.60114149,87.80460398,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.54736083,100.1472145,106.5004598,96.28220967,85.86489593,69.97767907,66.70398124,69.0685327,62.78205761,51.4669134,44.83051856,39.58356426,40.23669293,48.00634232,40.71586658,45.45156069,54.19234633,54.75580337,55.53407882,63.15671909,70.50625207,59.44501795,60.19808642,
Lesotho,60.70411278,67.19962288,59.69866163,57.37467802,57.73552505,56.60999894,67.34835726,66.04491443,62.13052515,61.0770014,55.24673054,56.67362982,78.78260285,83.06577667,89.10354965,117.9502475,155.081363,128.2854082,117.3632258,128.4248535,120.9872037,130.432549,139.6072366,123.4322484,128.5939473,126.247916,117.5761774,141.6746321,153.6862216,152.230498,135.7295835,146.9076601,142.3352382,142.0931749,138.4427739,155.5974986,164.9329089,159.4930413,141.8541144,132.5387201,137.9665439,149.0201815,183.6750376,168.5626087,174.0418081,150.5893757,153.5159258,156.9619993,177.570417,155.7763064,138.5733664,
Liberia,79.7918491,83.18791578,104.2416946,94.39163086,100.3847455,96.49066041,100.3847474,100.9432823,92.37187827,94.14042851,104.3830991,103.2491027,106.1947948,122.9166367,130.4232647,116.9703305,132.0586144,122.2273523,122.2409728,114.5266236,117.8705831,104.6018159,92.37723051,92.30943714,87.24786715,77.00747185,72.42813833,70.92927632,64.33593176,137.9880397,374.0894901,210.0574713,431.7673378,529.925187,573.3736762,986.6468843,743.412798,351.4700912,248.8876443,223.8569398,177.7500407,65.6721877,63.34703827,67.91808815,95.7826095,83.21388009,102.0658863,95.1923147,125.3164249,79.64163537,94.39006648,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.21403018,51.87428037,44.58045457,46.12190495,50.68759643,56.24989902,56.576,51.39589097,44.49290731,39.70883482,50.48293799,54.22528297,71.55845238,78.86545455,80.08479263,85.08409091,81.97133509,74.79189945,77.3904243,75.28947174,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.94336134,80.39321666,93.92874944,93.84225024,84.45848383,71.44956762,81.04633468,89.93994272,93.08138477,91.16698649,96.17327716,105.3641345,111.3872346,106.2713977,115.8550964,94.33301155,121.8343652,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66110665,96.97258333,109.3629699,101.2672225,101.0417411,106.467508,108.0481283,116.2684449,97.35730783,98.52855302,87.83836993,81.73794011,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,141.0456952,146.5690515,144.4161178,137.7986623,139.8906037,141.1513563,133.8205894,125.9879829,108.3546623,101.5022925,81.50728011,72.19398712,65.89366417,61.56381306,60.2848988,63.3750316,66.20894039,71.65845522,84.63448586,78.97248038,76.8551771,73.61977865,67.55492892,59.49671067,53.65704591,47.65012698,38.05580948,26.8120024,23.2450677,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8151074,88.38539939,76.00693814,65.69461227,62.72952799,80.7429162,90.33774777,80.77231804,95.26374453,82.98027475,82.0479639,77.23231352,83.56308577,88.02485925,93.95123751,106.3607656,110.5679538,83.04699173,95.24502075,
Madagascar,27.70046953,25.88212592,29.21453918,27.60414325,28.32340984,27.59877249,27.0469479,26.08960618,27.73527925,27.8107967,28.36065717,30.15159211,27.75480266,24.55639684,27.39161151,29.20969792,25.68036794,29.07335321,31.12711507,29.88787276,24.76469867,23.95131207,20.56086149,18.51062837,23.814208,23.65433266,20.50202596,24.67274024,25.95757768,26.34108586,31.47916291,29.4374606,26.38552388,25.18711914,33.45640426,35.91938924,28.48638593,34.12596809,32.92658343,35.66993242,49.54388537,45.16768755,25.30521717,39.46716124,61.22182472,50.82722441,50.56749636,52.74435581,54.18406305,50.10046826,42.88723492,
Malawi,39.88704987,37.8049808,37.68017287,36.68374991,47.12021685,50.70604978,45.59704923,46.98988929,49.78475617,52.20686263,58.04616567,49.10469585,51.39464719,53.54881431,56.17921807,64.17928891,55.53741375,53.9170771,55.15849636,59.69895239,59.30567864,51.87100425,46.01332321,44.14547109,48.42610675,47.20034008,42.91722695,48.34867637,50.29261621,48.4214592,52.74392308,53.18719088,62.84984727,41.82269042,70.99332663,62.97148406,48.4429411,49.48658193,54.03906542,63.40369623,52.25102341,58.95708509,41.35523997,54.07459917,53.92875445,60.75223805,56.12188488,60.34845975,61.61755198,60.91900945,58.68847785,
Malaysia,85.90157406,81.6289662,81.10764272,78.67342558,74.20498216,73.15491846,69.57417123,65.49424426,68.36723767,69.8372131,72.19012463,68.47276941,62.12859074,67.47245738,82.66590187,74.9093115,77.58388491,76.00084587,79.91963196,87.61487269,95.35211526,91.68583736,89.5146173,89.06687381,88.69737251,87.31835181,87.01593441,95.20940203,106.773435,122.3957664,133.3585368,144.4971178,136.3064128,138.6976044,159.0261845,170.6639811,155.4211462,157.5040578,182.3670718,188.7858203,192.1233667,174.4601352,172.4687315,170.6000204,185.8075911,185.2842128,186.3510196,173.0368705,160.0092108,145.7998994,152.8758927,
Maldives,,,,,,,,,,,,,,,,,,,,,87.13349969,89.3226856,110.5644457,121.0448859,64.8380829,59.76960567,49.32978514,79.28138196,77.10078357,83.3617369,100.4235432,97.0268976,89.20379289,75.61273813,83.57489514,88.47613339,84.803505,86.31043446,83.24995313,83.7502891,79.7149433,63.8008684,64.30142058,66.81292745,77.71359759,92.53921616,89.81679715,87.66639946,95.9910602,65.23693547,67.85677268,
Mali,,,,,,,,16.39084174,13.05244112,16.45888138,22.23627594,21.39053654,21.41073187,29.80379027,45.28009694,27.64428762,25.49232962,27.00693442,32.54703883,31.88931444,36.03114186,34.74688597,35.93534579,40.01663762,31.34179794,32.12323663,39.02682697,28.57800568,36.86205873,37.25483795,39.69139939,40.57208404,33.37465598,41.52366045,52.41905043,49.18592892,46.00818949,52.52136976,50.71556022,54.27115907,55.76953275,65.21572859,53.90665211,50.40754416,48.01690078,49.84655973,57.44473303,52.35026329,62.21094853,53.14331284,56.20777826,
Malta,,,,,,,,,,,79.62626424,78.22020665,82.51355801,97.52960864,131.6681142,113.996449,123.3751626,128.5572442,115.6228346,118.2284927,113.6618999,105.2665559,97.20733516,94.0183265,100.8343291,103.6860688,96.44343661,99.58355257,102.3518752,109.6450187,121.5782664,122.317709,128.0963244,130.260107,133.9667873,134.4007978,123.4256131,115.3998547,118.1675789,123.3564367,150.6904612,113.0348718,110.4171008,109.7248386,109.8147976,102.0095498,111.2195889,104.0255166,93.95325012,78.21168652,81.12494197,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.40311462,81.29584962,82.5163723,72.22941323,67.25079049,70.93701164,57.55300774,59.71664822,65.56455915,71.27568838,79.02972489,86.7706869,78.54789296,80.8072619,83.89824647,73.23794532,90.21955584,
Mauritania,28.07495787,30.63322177,35.08816555,40.42273144,40.81708751,47.46270936,51.01456496,55.95596968,50.78426464,59.10537191,69.26257939,66.50486587,63.77132384,84.79861261,72.32883272,70.81073886,68.07677345,67.3281858,55.83876944,63.03659078,67.6970294,70.32135566,67.84727049,65.83187825,68.64415762,88.99377078,72.36351923,72.87151271,62.04449085,67.14011823,84.05250613,59.84669039,56.81537235,69.44305539,58.66561513,64.97488114,65.24000808,61.50592265,57.16810342,52.87673668,62.51847192,63.33229655,57.59812124,55.04564085,74.33999954,93.98726642,83.32135863,89.29149863,104.0029102,92.49690775,106.6644588,
Mauritius,,,,,,,,,,,,,,,,,88.46450643,91.43946613,80.81833377,78.53602719,91.50545762,78.01688453,76.45892478,73.70823175,80.67556185,88.74344446,91.07922811,99.37777931,105.20273,105.4720578,105.9738039,96.36355644,90.7803562,92.35868864,92.0985865,86.97283419,92.51570093,90.29521355,89.1676643,88.57721236,79.64976105,79.67341313,83.07820738,75.96442626,74.60523481,84.3485833,91.52432393,78.68947304,72.97330565,64.26174701,68.29140319,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,14.93731131,13.88050259,13.61903129,13.13389024,12.68870405,12.39191605,11.52111232,10.89425917,10.94551215,10.79476726,10.86835676,9.977735342,9.767360983,10.97081062,12.52388575,10.77678499,10.6103061,11.80119509,13.76716842,15.65903786,20.67074303,20.7007251,24.05986418,25.81433275,26.07267322,24.8670406,30.42099953,33.72006356,32.81183623,32.09792329,32.07303444,30.02432513,30.36480626,29.62171934,33.87697774,53.70436202,56.46554358,55.6818342,58.52886843,58.70189837,59.47979141,53.30177761,51.42217666,48.61100302,51.36243286,52.11715029,53.91675815,54.25728689,55.69479113,53.40565891,58.78364858,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.80229531,49.33638922,53.68592275,56.05930579,56.01952436,51.9378661,54.94711859,58.38167381,54.25596991,59.63661392,62.64959866,59.47428872,60.6474098,63.32531703,69.27816803,65.04924201,61.18645934,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.96085717,90.41667069,110.0210289,105.954627,100.518622,89.68341387,96.9404219,98.60488378,101.2144428,110.4849785,105.9838985,113.2130118,109.8669304,114.2912132,107.1905341,83.93996805,93.60646901,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,50.7770421,52.93053533,56.4251142,78.57115456,81.59138053,64.04991164,60.28580469,57.79442071,47.07899449,61.89506693,29.80220846,61.24717171,99.16688548,66.31979545,61.15007371,65.02098262,87.81183445,85.82047914,91.43106953,101.2405564,91.40393521,86.97826641,88.81730062,94.91649773,89.13908649,89.17765671,94.60212796,109.4583124,88.00274233,99.62652038,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.10264702,79.08090909,99.85542371,96.00181376,98.25853507,66.30038759,65.23908314,
Morocco,37.63700434,39.20593162,32.87659105,31.34530871,31.93984044,29.94642452,31.50595822,30.91599159,30.63734604,28.6758563,29.63894484,27.60280283,28.02824309,32.90547092,47.05052515,45.75181346,40.47192352,40.73513178,33.82759955,35.42661313,35.37042273,44.48210853,41.34512588,40.15329157,46.98362409,46.73023754,36.81765736,37.64006305,37.73246893,38.51675829,43.32566073,40.08038374,39.79173403,40.00960465,45.55987895,51.24569936,45.26626543,49.54997781,43.58386161,43.51937803,51.23092269,48.19657178,48.77435684,46.22100433,48.7240685,53.72614636,55.94950363,62.94354826,70.55405619,51.62928909,58.20861896,
Mozambique,,,,,,,,,,,,,,,,,,,,,30.65546808,30.63337289,29.46023742,23.71981209,18.85700303,11.2377168,11.8624654,31.39515704,40.07849256,39.45371825,40.75934493,39.36225249,50.48500523,53.60884385,54.37467765,38.81090182,30.70487002,25.6141483,24.05469323,31.51961948,35.82231948,43.33681002,56.0061383,59.96325912,62.10114652,63.7102714,73.98983825,68.01761627,67.34247902,60.39412992,80.32392005,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,120.5832392,119.5393825,109.4692891,91.6060819,97.44968807,96.52650199,121.9773894,113.9225722,109.3276439,109.7469434,95.64705818,94.77224688,92.47108286,90.14218418,83.64224959,86.35236994,88.44440552,85.02901643,84.73818681,83.99727325,73.42967742,76.85650565,,65.7021231,63.92296328,63.99999877,69.30372113,73.15188383,83.14859052,88.62528504,77.33686109,
Nepal,,,,19.31159001,21.50308374,22.38309097,13.95992855,13.14431285,13.51353348,17.6180327,13.61655452,14.98320953,13.97145458,17.11247641,16.45752391,17.27724655,17.97480114,18.00520833,19.45808476,19.62052661,21.6864383,22.36789117,20.16343477,22.80180358,21.07533952,23.3977148,21.08194257,24.38074201,24.97842206,20.93481586,24.14846841,25.34759816,33.65565395,34.8083469,37.3022803,38.12679366,39.43311518,42.67394737,35.41823863,40.20945164,43.26339436,36.79003622,32.8382215,38.16458406,37.24749225,38.70115342,36.69126478,38.82153899,36.02126618,40.37322723,39.05398475,
Netherlands,81.15692545,81.83463805,79.59284726,80.69180807,80.7941729,77.4669301,75.70007473,72.69016363,73.68844102,77.34288169,82.1536693,81.46562294,78.58063694,83.79891683,96.4639389,86.65341089,91.32277562,86.69623866,81.81634556,90.65031778,84.08403762,89.41561042,88.58765553,88.88308124,95.99795564,100.1567861,83.76512025,81.24452688,83.54472063,88.83923245,87.45278508,85.5417945,81.7886127,81.3798053,88.61921123,92.7044155,95.67960782,103.1120774,101.7303522,103.2286754,117.2231771,109.6937124,105.8280734,104.1619052,111.0177318,120.6312122,129.9206835,133.326721,139.9677545,118.6045324,139.8957632,
New Caledonia,,,,,,88.97550087,88.30342698,85.53808256,95.58846961,99.19849345,117.6091295,104.9235914,78.87050902,76.3422313,88.01377859,82.53251226,73.02922772,72.46750919,60.75595555,69.61253879,73.91388394,77.21858372,69.97416142,55.71517931,65.07382537,72.4125819,54.02649216,57.18649697,51.52610412,65.94745956,52.6625817,49.25047343,45.3524833,39.63960891,40.87237017,41.94639803,42.4178927,44.72138974,41.37638719,48.2172066,56.96503709,,,,,,,,,,,
New Zealand,29.76918023,29.87112579,25.53479149,27.30022777,27.97659631,36.4082281,37.02965184,32.68215665,36.76544946,38.41943762,38.34337126,34.54801954,34.98900704,37.67597112,44.14536116,41.86968793,45.01056978,43.05337224,39.58506046,45.35704347,47.63407403,47.35597906,47.93129564,45.09182004,55.15426429,48.40519182,39.83683151,36.63289391,36.47002668,41.07104206,42.45726909,43.0413774,46.597804,44.02991373,44.40931965,43.95546968,42.22990828,44.26658672,44.50196134,46.36899022,52.67079934,51.13765071,44.95604349,40.4507035,42.59743439,43.20642818,44.16815973,41.80639012,55.12760121,39.86321667,,
Nicaragua,59.22807515,57.27352073,67.97660962,73.17266035,75.53873641,54.79983498,53.38636796,54.11175612,50.07505235,44.76533316,48.46963403,47.99594751,53.26040905,55.34541054,61.9560926,56.400482,58.47024882,62.81140904,58.37148152,59.11967408,62.39798518,60.89626467,48.15644985,45.58497598,39.58173116,47.17367927,38.2562895,28.56252509,39.45417774,91.3936056,95.8932809,68.71286717,60.12940651,57.55914121,40.3468352,45.15624675,48.78734108,59.90940279,57.80273909,64.31693433,62.24075112,57.62119542,57.49540926,60.55363756,66.44268505,71.60218313,77.93544861,85.35242068,90.89417729,78.58148437,91.95439201,
Niger,5.68978671,7.067680357,8.819697388,7.253584189,9.034209865,9.423092408,11.41133016,12.18614254,10.93723507,11.57713655,13.92184545,13.45375895,16.21343281,15.56492356,14.56670689,18.27536494,24.46276711,27.6646232,33.11756968,43.08073156,46.24219739,44.45150709,39.55155262,34.55152004,37.43373226,43.59331212,35.97496412,27.89946524,29.64437027,27.84945342,27.00871814,28.43650377,34.6269439,41.20549748,35.37568852,35.19783809,38.88759886,35.00221072,38.76260719,34.55709025,37.71414333,35.16741408,34.41632637,35.65913701,38.88107996,42.05412705,39.96970063,42.23276192,48.53776593,52.47778691,55.50735609,
Nigeria,25.41314787,24.81416167,21.11663759,21.28624206,23.62356012,25.85786087,23.77021021,25.03951493,21.73933114,23.92636693,18.32430778,36.25063612,30.02000254,35.11076431,48.20224934,49.95004376,51.72092425,63.64240464,62.30610998,58.29993941,66.39690463,64.62440937,56.76057975,64.69442986,75.29483713,75.41907954,45.4658167,48.10732883,50.73590053,59.50047109,67.5143368,77.80077613,61.63489006,81.56322885,67.73332299,73.15851602,63.99870818,68.19881408,59.314671,64.53868776,64.57975698,61.7316778,43.17211103,51.56095905,60.09990007,63.44949957,58.61900077,61.13536927,64.73059805,52.74223201,62.3313374,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,45.38169173,45.22534694,43.44470299,44.4650308,45.73581912,45.3354584,45.61833098,47.14195758,45.70974514,46.50862994,48.38089493,45.79879601,44.45994043,49.29913642,54.7050026,52.00535045,53.60785886,52.98944235,48.63447737,51.86217531,55.70015342,53.87377483,53.46751874,51.8164094,53.63627761,55.31208952,49.73002198,47.73396849,45.62995375,50.34012332,52.09664909,49.87489015,47.60988814,47.22838739,49.79069834,50.33600469,53.23483096,53.24697894,51.5286741,50.08133322,56.1238481,53.91087232,49.25569961,48.19264372,50.40243452,52.37369645,54.83713537,55.06052642,57.73650361,49.08612451,49.97955871,
Oman,49.7347622,59.16577147,24.87862822,24.0349471,15.38647468,17.69912285,16.52893291,33.7345687,60.44741914,64.3538037,62.79694691,62.05313584,58.8872683,73.40928008,73.84099652,86.28944526,72.60649231,73.45286908,74.58073953,75.43702005,91.61183195,97.93198044,96.48273852,86.6178883,83.37638022,83.31296594,73.82409107,73.4971875,66.89548713,67.18826952,71.08230707,72.28331898,74.92606298,76.80234549,73.99262109,75.68863341,79.02989221,80.95368182,80.46645129,76.63199442,82.7969544,85.25117578,87.12567902,85.73723256,89.71968807,89.50851564,88.64327216,97.17319667,100.4777363,97.26969859,,
Pakistan,33.1013358,25.11925282,29.3144579,30.64942414,29.99535532,25.80768608,23.97589847,24.20020434,10.20432605,12.1033919,12.20500825,10.36947732,25.00443247,34.57407195,38.74396536,28.79603001,26.21796905,25.11539649,30.8265363,35.3142736,33.63487415,30.29827833,25.5874735,29.29747656,27.00002323,27.70917299,27.45534354,29.96564505,28.88278737,29.50385544,32.55651448,33.085481,34.48939332,31.59580398,31.46943695,32.23163945,34.03970642,32.68766311,28.69181354,29.58529343,26.89839239,26.86913311,29.24482073,29.99346466,31.97460119,37.78129562,36.67058824,35.22182262,38.22750209,30.39900721,34.17976066,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.34469826,98.13689915,112.8121764,93.40585291,97.9925495,78.75545923,84.72746331,81.54756993,82.29021671,73.6507009,78.12764642,82.57839737,73.53561745,
Panama,33.85184925,34.39853116,39.52812745,41.029667,40.31091877,42.22457743,43.74464534,42.08879562,41.98107732,42.74783161,45.9044559,44.68300215,44.68920635,44.40702193,62.71331309,63.88150477,55.45460204,53.53923008,48.67247133,52.73715195,47.42408734,43.31393327,40.73708733,35.42590813,33.23345671,31.95112921,28.1098028,29.51244169,21.70479023,26.68030691,35.36475194,35.1402701,38.03414943,37.79282198,38.62216993,39.65292622,36.49392304,36.93970647,38.25291562,37.86562852,36.47003141,32.81812407,31.1919429,30.54387159,32.00361795,33.61377848,34.56999475,40.59684753,44.41442374,35.40242402,37.38448237,
Papua New Guinea,42.72364202,41.8869614,40.49860821,44.52348911,47.73968241,52.94004972,52.774201,55.45763421,53.7483633,58.10582577,62.95361858,66.33569649,64.45210509,67.0108889,79.88592434,76.11430663,69.65759711,80.78582144,76.21098699,81.38717219,86.68557624,84.02492267,81.94766179,75.43436752,78.43210205,79.22841153,79.79505402,73.98575731,76.36803963,82.73038054,73.60864828,81.16488162,77.93541324,78.07564191,75.49092042,88.56556289,82.8244026,78.47498305,79.4842882,88.09166014,92.20900227,93.34541734,92.61412769,101.0505107,107.7602919,102.0541415,114.7737777,120.4930801,115.1408059,96.07845715,99.81062262,
Paraguay,,,,,,25.15180269,23.0292921,23.98525104,22.92075246,23.78240453,23.4035954,22.14810766,21.73750026,24.7586275,27.35781849,25.26497225,23.62797952,28.06670341,25.00178501,24.18096904,20.20186354,15.49824056,18.48507916,14.54467708,20.96779824,25.48294351,22.88207059,25.39557294,27.4337776,40.54374389,43.89700667,35.15879192,32.25500714,35.1137887,45.90322423,50.37310816,48.57961355,50.63065342,49.41167415,36.29986345,43.30200598,49.21060648,51.98644911,62.48671924,67.9676661,72.29470031,70.4272247,70.98966408,79.98800331,70.97714913,79.50319409,
Peru,32.41519529,34.21422652,33.64583453,31.32845961,29.38802162,27.79451289,26.78746333,26.18809243,27.06988913,23.64902912,23.09256728,20.52033268,19.46071199,19.90452574,22.48795591,23.40079203,21.88775145,25.55379464,25.61598551,34.17051242,31.31954442,25.69407053,24.97840361,27.43876962,25.33569961,25.19322172,27.37866709,23.693523,46.94717838,26.71475078,22.30135075,17.77997397,20.64072254,22.23359793,22.66755803,24.51648639,24.77624549,26.0524314,24.62834598,25.11380654,27.10244739,26.56678934,26.78575573,28.53409037,32.85765611,37.62612883,42.40524749,45.0847081,48.50170813,38.40891146,41.82717205,
Philippines,20.02952866,23.10496058,26.54184282,27.47585343,29.11542396,27.51285036,28.00537906,29.37262474,28.29036267,25.20411682,34.05075286,32.71359509,31.41023556,36.54837541,44.96200861,40.62154212,37.99730794,37.64797896,37.63143335,40.65219194,43.25370579,39.65029847,35.62719853,38.74186835,37.27019109,32.75171709,34.03266424,38.5378054,41.58056817,44.45309067,47.75048131,47.68866069,47.59858643,54.99723896,56.08996836,61.84981316,65.82400546,77.12002241,84.3546762,83.31089668,94.79638715,88.62212009,93.78338133,93.92018647,93.88365953,88.04273892,83.04353957,72.61745453,63.07350756,50.08718928,54.97515095,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,31.44859643,31.49932448,36.10040215,38.0754218,28.87676082,40.10869397,38.48168499,35.79824409,36.52454507,36.82480773,37.35390517,39.29881864,43.30788361,43.54212317,43.64839018,47.16138856,45.2591991,48.65884504,56.28855727,65.17520647,62.87216343,69.59042952,71.91175111,71.63993689,66.41748784,70.16863438,
Portugal,27.25572748,28.85390487,26.47508535,27.58042082,30.57966992,31.58765556,31.94956348,29.80035073,27.96505439,29.48443658,31.30170117,31.42014888,31.58140042,32.6177477,39.19572995,30.26772564,30.06257192,31.73840854,33.01836649,38.12196356,42.97596679,44.20822041,45.60347924,47.77076776,52.89459919,49.85034534,44.18370637,48.98385244,51.90161861,53.30868412,53.66721503,48.15022213,45.15113454,42.28613765,45.8017084,47.52877543,49.37485102,51.01961127,51.46398934,51.03036881,54.8303658,52.85251218,49.94034079,48.75956334,48.94083468,51.77732107,54.51440347,58.09594574,60.21804357,49.53702087,54.42300961,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,100.7511112,109.3507663,105.2785001,103.7680094,95.19242893,88.26309815,92.14662722,91.15264741,88.23691018,91.90803522,90.62350714,83.23265995,82.79907736,74.23175936,84.64595945,74.07411886,58.34132739,57.76262331,57.58351101,61.83807766,75.87862412,71.62037243,76.58752595,71.76598808,69.70010788,86.61927308,80.74539542,78.70557615,82.28759525,78.38212635,83.59286198,83.41096732,77.61955765,77.67306748,77.94266009,83.23166721,83.46090895,81.05015714,76.31729775,67.0530089,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.38587462,47.07538095,45.6565604,32.79449907,35.33486985,42.8850925,43.29854664,44.09325927,51.26693769,55.2447446,55.86085783,47.77576625,53.19937572,63.58470464,67.10255826,69.24297681,69.98345088,74.50556353,68.95529277,68.18112705,65.45379209,66.7703841,58.89825255,68.92312395,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.88205958,35.9114461,40.18927817,39.99367449,49.04870684,58.80480262,57.84331362,50.76537591,48.75743563,49.26225123,47.47564737,48.32873881,47.25907324,44.46306354,45.96854987,40.52328181,43.84792075,
Rwanda,15.12604749,13.93442448,13.59999916,12.5,18.46153919,21.5053793,26.50055315,21.33366519,21.67827881,20.06358906,24.51568824,24.9111166,21.92950678,23.0980456,30.64156723,24.70912622,28.00877887,27.80544435,29.73714558,29.96462276,27.08083985,27.63095152,26.7266441,26.53988735,26.63093919,25.00972526,27.6802857,21.65746914,19.95342674,17.46747143,15.4002873,20.86852116,17.37011861,20.18922762,36.75512632,22.42069902,23.00455644,20.7933098,17.34240398,16.20766343,15.15918913,21.91456841,19.07835088,17.44171986,18.28222152,21.50150128,22.35019158,25.32416978,30.59308916,28.52794499,30.71112566,
Saint Kitts and Nevis,,,,,,,,,,,99.06141104,99.50263601,96.81367035,110.0349217,98.13498528,135.6504813,132.3080354,123.5596304,119.591321,122.7359353,143.7500025,127.3084502,105.1297917,115.6424601,102.8027517,91.02564263,93.46971054,98.90448651,95.52631748,91.44260761,86.68321857,83.24500223,66.5509603,73.10637916,67.64656514,65.87480052,69.63801028,68.34129272,61.60285064,59.34256391,60.13306145,53.41782841,55.32944674,55.3291909,47.16599265,47.89102627,49.06775923,47.98077466,53.57763081,49.79440595,52.93835493,
Saint Lucia,,,,,,,,,,,,,,,,,,,,132.4130099,136.4166367,114.9467251,114.2149723,128.7995037,85.24072763,96.21145243,107.1850413,106.4421509,122.2726873,122.9490677,100.2032833,93.86508102,91.21410088,85.3607145,79.02363674,74.17827719,69.38922435,65.02197055,59.34333654,59.30622588,55.1965762,58.40737666,50.75415385,61.42579754,60.29965113,62.42633596,69.6749597,66.99276905,72.66163454,63.73499581,59.27489175,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,84.56692173,76.70412136,74.6023906,81.34889747,89.05926393,81.97298043,82.48548682,79.31190329,89.50488599,96.08408408,101.8726287,105.9382245,78.92559241,81.59802898,99.00885793,97.47367231,100.9032934,110.1428413,112.6156672,112.1756644,119.3883212,109.6256704,113.5191386,118.0293027,126.5700578,125.7956581,117.9926565,106.0917599,125.7792258,113.9335721,110.4903226,96.94456022,90.05575268,79.99193751,73.99625401,66.421124,62.8733099,79.84430628,76.45071784,75.33145975,52.83723276,52.75882546,45.82380737,49.60022131,50.17178417,50.83404304,50.63922756,54.68181994,60.55520469,54.71873943,59.73723955,
Samoa,,,,,,,,,,,,,,,,,,,,,,,58.329593,66.21928598,71.94354505,78.67839484,64.48238611,74.34162339,76.78124986,80.36908167,80.31491426,89.358928,98.40247998,93.5810928,43.14712172,51.90724104,49.40041448,44.03184731,46.64454688,58.53749035,69.62044559,81.64447761,79.41649466,78.69310745,78.84479646,79.03896613,75.09600427,68.48252997,63.32817621,52.63090776,64.40382713,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6850811,39.78567501,48.24997113,43.79170306,49.67382485,63.25465299,59.85546133,72.9513856,58.6433668,62.57513417,
