,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,180,150,109,46,23,11,9,9,10,12,16,4,6
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Morocco,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,8,9,9,9,,,,,,7,,,,6,5,5,5,4,3,3,3,3
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,58,32,13,10,10,10,10,10,10,10,10,10
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,13,15,15,15,12,10,10,10,10,10,10,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,15,16,18,18,16,19,12,11,9,13,8,8,7,9
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,15,15,15,15,11,11,11,11,11,13,13,11,11,11,11,9,9,9,8,7,6,6,6,6,6
Netherlands,3,3,3,4,3,3,3,3,4,5,3,4,4,4,4,4,5,5,5,5,5,6,6,5,4,8,7,5,6,5,7,10,8,9,5,5,5,5,5,4,5,7,7,9,8,5,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,,,,
New Zealand,2,2,2,2,2,2,4,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,9,10,11,13,14,13,13,8,14,20,25,19,15,15,13,8,9,6,10,10,9,10,6,5,7,5,6,5,7,7,7
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12875,311,10,15,15,12,11,,,,,,,,,,,,
Niger,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,9,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Nigeria,,,,,,,,,,,,,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,6,6,8,8,10,10,10,13,13,19,19,16,18,26,14,14,14,14,14,18,14,21,17,15,15,13,10
Norway,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,5,6,6,7,9,9,9,9,10,10,11,15,14,12,11,11,10,11,7,7,7,6,6,10,8,9,9,9,4,4,4,6
Pakistan,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,17,20,18,17,13,13,10,8,8,8,9,10
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,11,9,11,10,9,9,7,6,7,18,15,9,17,17,10,12,12,16,13,10,8
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,21,33,20,24,27,19,21,15,20,20,20,20,20,20,20,20,20,20
Peru,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,15,29,30,30,45,45,60,60,43,36,30,748,866,290,68,48,29,16,18,18,16,19,18,14,5,5,3,4,4,5
Philippines,,2,2,2,2,2,2,2,2,5,5,7,5,3,6,6,6,6,5,6,8,10,10,10,10,10,6,6,6,6,4,11,5,7,6,8,12,13,10,10,10,12,14,14,14,9,8,11,12,15,12,8,14,8,4,6,8,6,5
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,6,104,48,36,32,29,28,25,22,25,18,19,22,14,8,6,7,5,4
Portugal,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,8,7,7,13,18,18,18,18,19,25,25,19,16,15,14,15,15,20,22,11,9,9,7,5,3,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,5,6
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,48,28,60,55,25,25,21,16,13,12,11
Rwanda,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,14,14,11,11,11,16,16,11,11,11,12,13,13,15,15,13,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,8,8,8,7,7,7,7,7,7
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,45,45,30,32,50,35,55,30,17,17,16,16,15,15,18,28
Senegal,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,10,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,10,11,17,19,15
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,14,14,14,14,13,13,13,11,11,6,6,6,6,6,5,4,4,4
Sierra Leone,,,,,,,,,,,,,,,,,,6,6,7,7,6,6,6,6,6,6,6,6,8,8,10,12,12,12,14,14,14,16,16,16,16,55,55,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,10,9,9,9,9,9,8,7,6,4,3,5
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,19,17,11,11,11,11,9,11,12,11,7,5,5,5
South Africa,3,4,4,4,4,4,4,5,5,5,4,4,5,5,2,2,5,5,6,6,6,6,6,7,6,4,6,7,8,8,8,5,7,15,14,18,21,13,10,10,15,18,18,17,14,12,13,15,17,16,19,12,12,10,14,8,8,7,9
Spain,,,,,4,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,6,7,5,5,6,7,7,7,8,9,8,11,11,18,21,13,11,12,14,12,15,15,13,13,9,7,9,6,5,3,,,,,,,,
Sri Lanka,,,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,6,6,7,7,7,7,7,7,7,10,10,10,12,14,14,13,13,11,11,10,10,14,15,17,17,17,17,17,17,17,17,16,25,,18,15,15,15,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,7,7,11,16,14,19,13,10,9,11,12,12,13,12,11,12,15,17,16,18,12,11,10,14,8,8,7,9
Sweden,3,3,3,3,3,3,3,4,4,5,5,5,5,5,4,4,5,6,6,6,5,7,7,5,5,5,7,6,8,8,7,9,10,11,10,9,10,11,8,8,9,11,12,8,10,5,7,7,4,3,2,2,2,2,5,3,2,2,3
Switzerland,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,4,3,3,4,4,4,4,5,6,3,2,2,1,2,3,6,5,4,4,4,4,3,4,6,6,7,6,4,4,2,1,1,1,1,3,2,1,0,1,1,2
Syria,,,,,,,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,36,20,21,20,25,15,10,9,12
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,13,13,14,15,13,13,12,11,8,8,8,8,12,11,11,9,10,11,11,13,13,4,4,4,3,3,4,6,7
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,33,15,9,9,9,9,8,11,11,7,7,7,7
Togo,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,8,11,11,13,11,11,11,9,9,10,11,11,11,13,6,6,6,6,6,6,6,6,6,6,5,4,4,4
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,6,7,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,8,8,8,6,8,10,10,10,12,13,13,13,13,13,13,13,13,13,13,7,7,7,8,10
Tunisia,,,,,,,,,,,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,9,9,9,9,11,12,12,11,9,9,9,8,,,,,,,,,,
Turkey,4,4,4,3,3,3,3,5,6,6,6,6,9,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,11,26,32,32,49,52,52,48,45,54,54,45,48,48,48,55,50,50,67,67,60,60,60,55,43,38,23,27
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,11,16,24,24,36,31,45,55,50,46,41,24,15,13,16,14,9,16,19,9,13,26,16,14,16
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,240,252,110,40,35,60,45,27,13,7,7,9,10,9
United Kingdom,2,2,2,3,4,4,3,5,6,7,4,4,5,6,5,4,7,6,7,8,7,8,7,5,9,13,12,11,14,7,13,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,5,5,5,5,4,4,4,4,5,8,13,15,16,,,15,15,68,48,19,16,18,20,11,9,9,12,14,19,20
