New smear-positive cases,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bulgaria,,,,,"3,096","1,087",903,"1,037","1,325","1,697","2,524",897,"1,007","1,254","1,315","1,214","1,307","1,080"
Burkina Faso,,,,,561,"1,028","1,381","1,126","1,331","1,411","1,560","1,522","1,544","1,703","1,926","2,294","2,659","2,614"
Burundi,,,,"1,861","1,527","1,121","1,533","2,022","2,782","2,924",,"3,040","2,791","3,087","3,277","3,262","3,119","3,595"
Cambodia,,,,,"11,058","11,101","12,065","12,686","13,865","15,744","14,822","14,361","17,258","18,923","18,978","21,001","19,294","19,421"
Cameroon,,,,"2,316","1,883","2,896","2,312","3,548","4,374","5,832","3,960","4,695","7,921","10,692","11,218","13,001","12,870","13,220"
Canada,549,543,506,488,483,436,430,473,438,455,492,458,408,332,438,433,407,463
Cape Verde,,,,,,111,117,103,104,,,140,111,165,169,135,131,158
Cayman Islands,,,,2,,0,0,0,2,2,5,1,0,0,1,,0,1
Central African Republic,,,,,,"1,794","1,992","2,267","2,637","2,725",,"1,382","2,758","2,818","2,923","2,153","4,448",
Chad,,,,,,"2,002",870,,,"2,920",,,"3,519","3,599","2,270","2,516",,"2,513"
Chile,,,,"2,629","1,951","1,561","1,562","1,582","1,576","1,497","1,290","1,355","1,412","1,276","1,297","1,186","1,533","1,166"
China,,,,"84,898","104,729","134,488","203,670","236,021","202,817","201,775","204,765","204,591","194,972","267,414","384,886","472,719","468,291","465,877"
Colombia,,,,"6,987","6,532","7,530","7,572","6,090","6,969","8,329","8,358","8,022","7,787","7,972","7,640","6,870","7,648","7,188"
Comoros,,,,,,103,107,100,99,112,87,92,72,48,63,79,67,
"Congo, Rep.",,,,,"1,691","2,013","2,505","1,984","2,044","2,222","4,218","4,319","5,019","3,477","4,121","3,640","3,340","3,552"
Cook Islands,0,1,6,5,4,2,1,2,0,0,0,2,1,0,1,1,0,
Costa Rica,,,,,230,245,302,320,353,458,349,385,328,346,419,330,285,322
Croatia,,,,,,"1,204","1,228","1,073","1,129",748,0,421,437,438,416,372,396,382
Cuba,,,,565,914,834,835,765,746,720,675,559,540,507,453,467,432,432
Cyprus,,,,,,6,3,19,20,9,4,0,8,14,10,9,8,8
Czech Republic,,,,548,524,487,586,481,545,449,420,391,329,338,302,308,257,267
Cote d'Ivoire,,,,"7,012",,"8,254","8,927","9,093","9,850","10,047","8,497","10,920","11,026","11,430","12,250","12,496","12,867","14,071"
"Korea, Dem. Rep.",,,,,,,,"3,980",403,"5,073","16,440","14,429","18,576","17,392","18,479","17,796","18,435","23,575"
"Congo, Dem. Rep.",,,,"14,924",,"20,914","24,125","24,609","33,442","34,923","36,123","42,054","44,518","53,578","62,192","65,040","63,488","66,099"
Denmark,,,,243,120,128,97,114,132,172,171,127,135,143,146,129,123,135
Djibouti,,,,"1,668","1,743",,"1,744","1,904","1,690","1,564","1,391","1,312","1,253","1,202","1,086","1,120","1,153","1,208"
Dominica,,,,6,8,5,7,5,5,,,,2,,,,8,3
Dominican Republic,,,,"2,297","3,177","2,787","3,733","3,162","2,669","3,278","2,907","2,622","2,179","2,806","2,720","2,949","2,658","2,373"
Ecuador,,,,"5,325","6,674","5,890","6,426","7,214","4,900","4,300","5,064","4,439","4,223","4,488","4,340","3,048","3,182","3,448"
Egypt,,,,,"1,811","4,229","5,084","5,469","4,915","5,094","4,606","4,514","4,889","5,118","5,383","5,217","4,745","4,887"
El Salvador,,,,"2,471","2,144",,965,882,"1,071","1,023","1,008","1,003",980,870,926,"1,059",913,942
Equatorial Guinea,,,,,,219,209,226,284,,,,,,406,,,
Eritrea,,,,,,,,120,135,527,590,702,646,887,720,687,680,694
Estonia,,,,303,347,369,240,269,299,274,255,212,203,201,203,162,147,168
Ethiopia,,,,,"5,752","9,040","13,160","15,957","18,864","21,597","30,510","33,028","36,541","39,698","41,430","38,525","36,674","38,040"
Fiji,84,75,75,61,62,68,69,66,74,65,62,73,74,78,62,63,73,52
Finland,,,,,,244,240,186,188,179,205,150,130,138,124,130,84,85
France,,,,"4,455","3,196","3,449","3,002","2,430",,"2,325","1,815","2,398","2,276","2,219","1,923","1,941","1,911","1,921"
French Polynesia,,,,,38,,37,41,34,33,29,0,28,21,30,21,24,19
Gabon,,,,,395,486,263,577,889,916,,"1,137","1,033","1,233","1,323","1,042","1,145","1,462"
Gambia,,,,,,778,743,820,900,861,,,"1,035","1,040","1,011","1,127","1,209","1,238"
Georgia,,,,,,221,482,595,547,746,601,"1,014",987,989,"1,311","1,509","1,831","1,867"
Germany,,,,"4,730","4,177","3,852","3,689","3,346","3,124","2,918",0,"1,935","1,868","1,679","1,562","1,379","1,303","1,183"
Ghana,,,,,"5,778","2,638","6,474","7,254","7,757","6,877","7,316","7,712","7,732","7,714","7,259","7,505","7,786","7,429"
Greece,,,,,,,,285,313,143,235,213,212,234,176,197,210,257
Grenada,,,,0,3,2,0,1,2,3,0,,0,2,2,,1,3
Guam,,,,,40,,,,,,43,47,31,0,22,27,21,5
Guatemala,,,,"2,128","1,994","2,368","2,224","2,218","2,255","2,264","2,052","1,669","1,865","1,795","2,339","2,420","2,501","2,348"
Guinea,,,,"2,082","2,158","2,263","2,844","2,981","3,362","3,563","3,920","4,092","4,300","4,495","5,015","5,479","5,903","6,199"
Guinea-Bissau,,,,,,956,922,855,541,704,526,,899,963,"1,186","1,132","1,030",
Guyana,,,,51,61,85,71,105,85,178,119,174,138,244,164,240,294,233
Haiti,,,,,,,"3,524","5,497","6,442","6,828","5,887","5,607","6,188","7,015","7,044","7,340","7,461","7,915"
Honduras,,,,"2,016","2,385","2,306","1,808","1,928","2,311","2,415","3,404","3,141","3,080","2,139","2,011","2,069","2,018","1,974"
Hungary,,,,"1,905","1,357",796,"1,066",702,667,660,412,546,556,526,560,423,422,381
Iceland,,,,,6,2,1,4,2,2,1,3,2,1,2,2,4,2
India,,,,"225,256","226,543","264,515","290,953","274,877","278,275","345,150","349,374","384,827","395,833","433,564","489,195","508,890","553,851","592,587"
Indonesia,,,,"62,966","49,647","31,768","11,790","19,492","32,280","49,172","52,338","53,965","76,230","92,566","128,981","158,640","175,320","160,617"
Iran,,,,,"4,615","5,347","5,373","5,253","5,105","5,426","5,361","5,529","5,366","5,188","4,900","4,581","4,802","4,701"
Iraq,"1,587","1,512","2,304","5,240","5,781","3,194","10,320","8,164","8,933","9,908","3,194","3,559","3,895","3,577","3,381","3,096","2,886","2,726"
Ireland,,,,,,,339,123,116,117,138,123,100,141,127,130,133,135
Israel,,,,150,129,,147,207,221,170,17,172,164,150,91,98,72,143
Italy,,,,,"1,441","1,413","1,738","1,903","2,361","1,277",687,"1,361","1,275","1,481","1,058","1,275","1,377",979
Jamaica,,,,83,61,93,81,84,90,90,90,75,60,81,69,53,61,78
Japan,,,,"17,890","16,770","14,367","12,867","13,571","11,935","12,909","11,853","11,408","10,807","10,843","10,471","10,931","10,159","9,433"
Jordan,,,,173,161,187,170,136,110,102,89,94,91,108,91,86,104,109
Kazakhstan,,,,,,"3,022","4,290","4,332","6,180","6,977","8,903","9,079","9,452","8,665","7,927","6,911","6,205","6,195"
Kenya,"6,800","7,000","7,700","10,149","11,324","13,934","16,978","19,040","24,029","27,197","28,773","31,307","34,337","38,158","41,167","40,389","39,154","38,360"
Kiribati,,,,99,184,,144,50,52,59,54,64,82,99,142,124,129,103
Kuwait,,,,148,155,175,153,201,185,169,180,174,206,201,247,187,284,274
Kyrgyzstan,,,,,681,832,991,"1,536",830,"1,642","1,296",0,"1,587","1,643","1,761","1,972","1,833","1,720"
Laos,,,,,,478,886,"1,234","1,494","1,706","1,526","1,563","1,829","1,866","2,226","2,806","3,041","3,080"
Latvia,,,,470,,504,575,634,668,588,637,661,636,641,582,536,498,478
Lebanon,,,,,148,197,198,206,224,249,202,171,148,134,146,131,112,143
Lesotho,,,,"1,405","1,330","1,361","1,788","2,398","2,476","2,729","3,041",,"3,167","3,652","4,272","4,280","4,024",788
Liberia,,,,"1,547",,"1,154",668,,"1,190",,"1,021",934,"1,974","1,319","2,490","2,167","2,906",
Libyan Arab Jamahiriya,,,,,,,515,,,803,607,,722,764,872,860,745,772
Lithuania,,,,688,,979,"1,121","1,200",787,787,776,935,822,912,863,964,"1,029",925
Luxembourg,,,,,,,29,31,24,,21,11,17,31,20,14,22,0
Madagascar,,,,"6,881","7,366","8,026","8,456",,"9,639",,,"11,092","11,387","12,881","13,526","13,056","15,613","15,344"
Malawi,"4,301","4,059","4,630","5,692","5,988","6,285","6,703","7,587","8,765","8,132","8,260","8,309","7,703","7,716","8,566","8,443","8,166","7,608"
Malaysia,,,,"6,954","6,861","6,688","7,271","7,496","7,802","8,207","8,156","8,309","7,958","7,989","7,843","8,446","9,414","9,578"
Maldives,,,,126,125,114,106,95,88,88,65,59,60,68,66,66,53,59
Mali,,,,,"1,740","1,866","2,173","3,178","2,558","2,690","2,527",,"2,757","3,015","3,069","3,523","3,802","3,894"
Malta,,,,13,6,5,5,3,6,9,5,3,5,2,2,5,4,8
Mauritania,,,,,,"2,074",,"2,519","1,172","2,051","1,583",,,,"1,662","1,155","1,486","1,714"
Mauritius,,,,,,113,99,112,109,122,115,85,86,99,117,110,85,86
Mexico,,,,"8,164","9,726","9,220","8,495","15,440","11,473","11,968","11,676","15,103","11,555","12,933","11,214","11,997","11,874","11,531"
"Micronesia, Fed. Sts.",,,,,,9,14,9,14,,15,8,22,26,35,32,41,47
Monaco,,,,,,,0,0,0,2,0,0,0,,,,,
Mongolia,0,,0,0,145,455,769,"1,171","1,356","1,513","1,389","1,631","1,670","1,541","1,808","1,868","2,129","1,856"
Montserrat,,,,,0,,,,1,2,0,0,0,1,0,1,0,1
Morocco,,,,,,"14,171","14,278","14,134","13,426","13,420","12,872","12,804","12,914","12,842","12,280","12,757","12,280","11,937"
Mozambique,,,,"9,526","9,677","10,566","10,478","11,116","12,116","12,825","13,257","13,967","15,236","16,138","17,058","17,877","18,275","18,214"
Myanmar,,,,,946,"8,681","9,716","9,695","10,089","11,458","17,254","21,161","24,162","27,448","31,408","36,541","40,241","42,588"
Namibia,,,,,,697,"2,849","3,220","3,598","3,760","4,012","4,535","4,689","5,487","5,155","5,222","5,356","5,091"
Nauru,,,,,2,,,,,2,4,2,2,1,,0,2,3
Nepal,,,,"6,679","10,442","8,591","10,365","11,323","11,306","13,410","13,683","13,683","13,714","14,348","14,614","14,617","14,028","14,355"
Netherlands,,,,"1,063",,575,358,312,254,308,289,307,330,282,360,237,203,187
Netherlands Antilles,,,,,,,3,5,6,2,2,7,9,4,8,,5,
New Caledonia,,,,16,28,21,26,24,26,22,20,19,21,12,15,16,9,12
New Zealand,,,,91,61,78,90,83,106,94,74,68,88,106,111,83,97,81
Nicaragua,,,,"1,714","1,615","1,568","1,722","1,670","1,648","1,564","1,471","1,510","1,320","1,404","1,327","1,253","1,285","1,453"
Niger,,,,463,"1,865","1,492",,"3,452","3,195","2,631","3,045","3,476","3,495","4,505","4,311","5,050","5,279","5,773"
Nigeria,,,,"1,723",,"9,476","10,662","11,235","13,161","15,903","17,423","23,410","21,936","28,173","33,755","35,048","39,903","44,016"
Niue,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Northern Mariana Islands,,,,,,14,26,21,26,15,27,19,21,16,14,15,15,14
Norway,,,,,86,62,103,100,49,21,37,59,31,52,50,48,46,38
Oman,,,,123,135,135,164,165,156,120,164,156,151,110,160,131,184,187
Pakistan,,,,"11,020",,"2,578","1,849",,"14,974","6,248","3,285","10,935","16,380","21,301","31,557","48,319","65,253","88,747"
Palau,,,,8,11,9,4,7,,20,,,9,5,5,3,6,5
Panama,,,,"1,046",748,"1,066",904,592,"1,393",432,460,671,773,778,884,860,858,833
Papua New Guinea,,,,,,"1,652",447,"1,195","2,107","2,140","1,933","1,351","1,345","2,310","1,896","1,805","1,948","2,087"
Paraguay,993,943,862,985,873,748,894,859,850,"1,041",900,915,"1,004","1,166","1,199","1,260","1,452","1,276"
Peru,,,,"35,646","33,925","32,096","26,800","27,498","27,707","24,511","22,580","21,685","20,533","18,504","18,289","18,490","19,251","17,796"
Philippines,,,,"92,279","87,401","94,768","86,695","80,163","69,476","73,373","67,056","59,341","65,148","72,670","78,163","81,647","85,740","86,566"
Poland,,,,"7,606","4,000","6,955","6,819","3,497","3,502","3,177","3,180","3,155","3,060","2,983","2,777","2,823","2,835","2,827"
Portugal,,,,,"2,072","2,019","1,938","1,628","2,016","1,801","1,863","2,042","1,976","1,742","1,514","1,302","1,300","1,173"
Puerto Rico,,,,122,139,128,110,126,106,106,81,74,78,62,65,60,69,56
Qatar,,,,,,60,46,39,69,58,53,77,64,95,73,96,115,116
"Korea, Rep.",,,,"16,630","13,266","11,754","11,420","9,957","10,359","9,559","8,216","11,805","11,345","10,976","11,471","11,638","11,513","10,927"
Moldova,,,,615,704,665,219,397,477,609,651,"1,060","1,146","1,214","1,536","1,696","1,679","1,610"
Romania,,,,"9,339","10,385","10,469","10,359","11,666","10,841","10,317","10,202","11,184","10,703","10,418","10,888","10,801","9,814","9,425"
Russian Federation,,,,,"30,389","37,512","42,534","42,094","42,219","21,744","27,467","26,605","27,865","28,868","30,890","32,605","32,335","33,103"
Rwanda,,,,,,"1,840","2,034","2,820","4,417","4,298","3,681","3,252","3,956","4,627","4,179","4,166","4,220","4,053"
Saint Kitts and Nevis,,,,2,2,4,2,,4,2,0,0,1,,0,0,1,4
Saint Lucia,,,,,17,11,22,14,10,9,7,6,8,8,11,11,13,18
Saint Vincent and the Grenadines,,,,11,0,5,3,2,3,4,9,3,0,6,5,6,8,4
Samoa,,,,21,18,15,9,14,7,17,13,11,19,12,11,11,13,
San Marino,,,,,,,0,1,0,0,1,0,0,0,0,,,
Sao Tome and Principe,,,,,,,,,,30,30,41,42,33,50,49,36,58
Saudi Arabia,,,,800,,,,"1,568","1,644","1,680","1,595","1,686","1,674","1,646","1,683","1,722","1,914","1,984"
Senegal,,,,,"4,599","5,421","5,949","5,430","5,454","5,011","5,823","6,094","5,796","6,587","6,437","6,722","6,882","7,108"
Seychelles,,,,2,,6,11,13,9,10,11,12,9,5,13,8,,
Sierra Leone,,,,,"1,408","1,454","2,234","2,296","2,262",,"2,472","2,692","2,938","3,113","3,735","4,370","4,629","5,347"
Singapore,,,,513,861,455,519,436,482,465,248,357,549,583,501,552,537,504
Slovakia,,,,882,409,788,760,283,303,246,236,226,202,200,157,162,160,176
Slovenia,,,,361,294,303,221,156,157,165,145,139,130,116,89,109,83,90
Solomon Islands,,,,155,114,109,90,113,140,93,109,118,108,138,152,169,124,142
Somalia,,,,,"1,168","1,572","2,894","3,093","3,121","3,461","3,776","4,640","4,818","5,190","6,479","7,068","6,861","6,130"
South Africa,,,,,,"23,112","42,163","54,073","66,047","72,098","75,967","83,808","98,799","116,364","126,268","125,460","131,099","135,604"
Spain,,,,,,"2,605",,,"1,906",,"3,423","2,456","3,317","2,876","2,082","2,511","2,006","2,317"
Sri Lanka,"2,769","3,023","3,218","3,335","3,405","3,049","2,958","3,506","3,761","3,911","4,314","4,316","4,297","4,321","4,302","4,868","4,442","4,528"
Sudan,,,,,"3,728","8,761","8,978","10,835","10,820","11,047","12,311","11,136","10,338","11,003","12,095","12,730","12,194","12,627"
Suriname,,,,,,,39,31,32,36,37,36,42,35,37,49,63,
Swaziland,,,,,,660,"2,226",,,"1,781","1,823","1,279","1,410","1,585","1,902","2,187","2,539","2,764"
Sweden,,,,312,106,102,90,94,97,117,118,105,109,109,120,134,106,96
Switzerland,,,,528,507,185,172,144,165,98,118,116,123,107,119,108,112,95
Syrian Arab Republic,,,,,,"1,295","1,523","1,423","1,593","1,577","1,584","1,507","1,447","1,545","1,561","1,350","1,352","1,155"
Tajikistan,,,,,,"1,042",232,373,435,0,434,719,687,0,"1,058","1,745","2,051","2,228"
Thailand,,,,,"20,260","20,273","16,997","13,214","7,962","14,934","17,754","28,363","25,593","28,459","28,421","29,762","29,081","28,487"
"Macedonia, FYR",,,,,,319,209,192,179,122,167,164,200,200,200,178,178,200
Timor-Leste,,,,,,,,,,,,,"1,090","1,027","1,014","1,035",907,"1,021"
Togo,,,,545,,887,913,935,904,904,984,,"1,203","1,306","1,608","1,798","2,131","1,796"
Tokelau,,,,,0,1,0,,,0,0,0,,0,,0,0,0
Tonga,,,,16,17,9,14,11,16,10,15,8,23,11,8,11,14,14
Trinidad and Tobago,,,,,55,7,58,52,82,87,115,152,60,77,71,95,149,130
Tunisia,,,,"1,006",983,"1,243","1,005",,"1,196","1,066","1,099","1,077",927,878,944,915,922,941
Turkey,,,,,,"4,383","2,816","3,439","3,692","4,124","4,315","4,444",0,"5,816","5,870","7,450","7,866","7,527"
Turkmenistan,,,,472,,544,557,764,790,964,"1,017","1,243","1,254","1,197","1,103",995,"1,155","1,378"
Turks and Caicos Islands,,,,,,,,,,2,,1,2,6,,,7,
Tuvalu,,,,2,1,6,,,,0,0,0,0,0,,5,4,12
Uganda,,,,"11,949","14,763","13,631","15,312","17,254","18,222","18,463","17,246","17,291","19,088","20,310","20,986","20,559","20,364","21,303"
Ukraine,,,,"8,314","8,471","8,263","7,827","9,533","10,586","10,412","10,738",0,0,"12,785",0,,"14,206","11,028"
United Arab Emirates,,,,,,,,,,31,73,69,57,77,57,62,52,56
United Kingdom,,,,283,270,,"4,147",844,"1,342",797,"1,204",946,"1,365","1,455","1,693","1,821","1,767","1,639"
Tanzania,"11,553","12,008","13,510","15,569","17,164","19,955","21,472","22,010","23,726","24,125","24,049","24,685","24,136","24,899","25,823","25,264","24,724","24,520"
Virgin Islands (U.S.),,,,,,2,5,,,,,,,,,,,
United States of America,,,,"9,429","8,964","8,093","7,454","6,935","6,624","6,275","5,883","5,650","5,439","5,368","5,277","5,111","5,091","4,864"
Uruguay,,,,388,381,349,426,423,374,392,348,340,308,373,373,355,305,380
Uzbekistan,,,,,"7,487","2,735","3,350","3,388","3,504","3,977","3,825","4,608","4,783","4,690","5,119","5,695","7,211","6,326"
Vanuatu,,,,,62,30,50,66,38,43,63,57,38,40,59,35,42,41
Venezuela,,,,"2,849","2,738","3,056","3,195","3,234","3,450","3,670","3,525","3,476","3,444","3,882","3,776","3,653","3,547","3,392"
Viet Nam,,,,,,"37,550","48,911","50,016","54,889","53,805","53,169","54,238","56,698","55,937","58,394","55,492","56,437","54,457"
Wallis et Futuna,,,,,,3,3,1,,,,1,1,7,,1,,1
West Bank and Gaza,,,,,,9,24,,8,,37,31,,15,4,7,16,13
Yemen,0,0,0,0,0,"3,681","4,371","4,717","4,896","5,427","5,565","4,968","4,259","3,793","3,434","3,379","3,342","3,537"
Zambia,,,,,"9,620","10,038","12,072",,,"11,645","12,927","13,024","16,351","18,934","17,247","14,857","14,025","13,378"
Zimbabwe,,,,"5,331",,"8,965","11,965","14,512","14,492","14,414","14,392","15,370","15,941","14,488","14,581","13,155","12,718","10,583"
