"Murdered men, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.97922134
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1135273
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.370391369
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.410184383
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0897459,0.0763409,0.2190403,0.038783,0.0808069,0.0361349,0.1321781,,,,,,,,,,,,,2.901372194
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.85057068
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.08909,26.63854,29.50028,28.5317,30.15085,31.94041,31.43268,37.5743,40.72704,38.15752,34.82413,36.5861,37.85941,42.43162,43.27864,44.22694,44.90913,45.20278,46.57824,48.56643,49.53402,50.17001,46.72261
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.188714147
Bulgaria,,,,,,,,,,,,,,,2.982203,2.826618,3.750178,3.085263,3.50327,3.975822,3.225717,4.217364,4.379257,3.323593,3.971094,3.498402,2.835322,3.540878,3.624169,3.214596,3.64573,5.070688,4.24474,3.978024,4.465926,4.423241,3.980323,3.459286,3.469331,3.682653,4.955996,5.842713,7.146302,7.922364,7.848674,7.62329,7.864069,6.503879,5.362558,3.95928,4.627315,4.617467,4.145772,4.014885,4.032796
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.23192215
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.66162109
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.19595337
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.20295334
Canada,1.24781,1.24979,1.32977,1.374886,1.377711,1.383149,1.341252,1.321446,1.408476,1.426938,1.829572,1.641819,1.913975,1.732681,1.666177,1.720292,1.681891,1.999935,2.205281,2.669506,2.706795,3.085726,3.185388,3.344693,3.204117,3.625367,3.337236,3.538774,3.444553,3.144706,2.776708,2.829196,3.177249,3.020672,3.068408,2.595066,2.60696,2.782844,2.391124,2.599854,2.597144,2.776869,2.721024,2.362292,2.188596,2.148925,2.292126,1.9087,2.025424,2.038518,2.183565,2.176377,2.032246,2.079934,2.310725
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55791473
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6178627
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.89586639
Chile,,,,,,7.810182,9.566343,10.51865,10.52717,8.603869,10.38338,12.3176,3.801312,3.626761,4.977506,4.318281,14.76176,4.056918,14.89526,10.77073,8.188418,8.755994,10.28186,11.93995,4.610106,4.224049,3.132959,3.985554,4.583982,4.700904,4.722675,5.646028,6.474195,6.215614,6.50393,6.320496,5.859591,5.35512,5.758999,5.593265,5.829076,6.445703,5.506723,5.032553,5.365608,5.7614,5.665114,4.689723,4.950761,5.207054,9.171432,9.735755,9.65535,9.493956,9.586858
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.817698002
Colombia,,,,67.6207,53.75938,73.21535,95.35612,94.71953,121.4742,94.34527,78.28204,82.4401,81.09694,74.15145,63.79649,64.10421,53.39141,54.9751,42.22411,36.71014,,,44.26723,,46.61729,45.08149,48.26324,53.00141,,,,,,,68.40948,86.21387,99.12675,100.1395,116.358,127.9657,135.5514,171.5645,171.337,164.8702,150.2053,117.7268,123.2946,110.874,118.1192,121.1537,132.5096,134.4047,139.2376,,94.97735
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59652138
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.79051971
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.11066818
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.558404207
Costa Rica,,,,,,,,,,,,,9.454824,7.906429,7.879101,5.993729,9.805336,6.012218,6.304865,5.998697,10.44804,7.870645,6.537947,6.558441,8.684833,11.79706,10.24549,9.936226,8.106874,8.192817,9.637744,10.45882,10.09987,7.952388,8.839482,9.034316,6.740489,8.625146,8.453704,7.45361,8.115766,8.012352,9.718901,10.15734,10.27772,9.308562,10.96025,10.95626,10.92128,11.05338,11.17844,11.35182,10.47034,12.20676,10.57222
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4381027
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.910525,2.883226,3.036135,2.480418,2.94383,3.655172,5.322586,7.445004,7.019861,5.157382,4.737028,3.962356,3.965997,4.35894,4.065798,3.47265,2.446206,1.560037,2.160682,1.88
Cuba,,,,,,,,,,,,,,,10.47146,,,,5.852523,4.717072,5.970122,7.200827,5.084947,5.311802,5.528984,5.804842,5.692461,5.934998,,,,,,,,,,,,,,,8.545142,10.44137,11.50371,10.74436,9.392063,9.783051,10.59768,7.510801,7.341907,7.554289,8.070415,8.204086,8.575294
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.286625,,,,1.791084
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.120481,0.9969647,0.8850303,1.081443,1.93242,2.184144,2.154109,2.716485,2.674321,2.342441,2.221759,2.03249,2.273408,1.797422,1.982871,1.492484,1.448695,1.54741,1.446415
Czechoslovakia,,,,2.255776,1.622856,1.807342,1.754721,1.686738,1.481298,1.303402,1.273021,1.405166,1.384892,1.548079,1.661354,1.56079,1.479331,1.449536,1.582451,1.769652,1.961646,1.833863,1.824343,1.452397,1.198963,1.453004,0.8792363,1.071888,1.429339,1.216136,1.235402,1.209163,1.439926,1.552498,1.316911,1.272215,1.267695,1.231254,1.207362,1.313122,2.257788,2.624795,,,,,,,,,,,,,
Denmark,,1.107011,0.8936507,1.050545,0.6691028,0.3960193,0.7761117,0.4810981,0.4034563,0.487028,0.3061255,0.3323685,0.5087954,0.7443837,0.241583,0.3978805,0.3809168,0.364652,0.3301534,0.8157706,0.6176128,0.8552399,0.5164665,0.883516,0.5089973,0.5027665,0.6065042,0.6819981,0.6385069,0.8121968,1.188412,1.653576,0.8894919,1.44358,1.101,1.785101,1.442015,1.076519,1.106152,1.041731,0.9309584,1.063833,1.321851,1.561441,1.692705,1.526044,1.394327,1.317232,0.9864448,1.162677,1.184469,1.130059,1.389241,1.281881,0.8118368
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11514473
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15522575
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72280502
East Germany,,,,,,,,,,,,,,,,,,,,,,,,0.5275938,0.3433278,,,,,,,,,,,,,,,0.701253,1.197783,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.85307312
Egypt,,,,,,,,,,,,,,,,,,,,,,,,2.729115,1.839059,2.117194,2.20056,3.118856,1.969846,1.495253,1.727317,,,,,,,0.9891402,,,,,,,,,,,,,0.1184932,,,,2.259547234
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7041626
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.38611221
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63286591
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68425,11.06664,,,9.767079,7.637624,8.695662,8.492346,12.4999,18.72546,17.34957,33.61771,44.41742,48.95187,41.39516,33.65526,27.02109,30.67123,24.67344,23.05326,23.91086,17.81224,16.10718,12.6141
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76865768
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27671659
Finland,,,4.635422,4.98822,4.577772,4.046631,4.270874,3.728495,3.201099,2.604638,4.303997,3.994104,3.698033,3.538899,3.089485,3.030365,3.162436,3.185881,3.275013,3.886849,3.265971,3.895982,4.713326,3.873311,4.08844,5.595531,4.510676,4.277492,4.823705,3.852669,4.747968,3.741578,3.807829,3.765892,3.76904,3.894675,4.43784,3.338286,3.597523,4.596437,4.508049,4.276996,4.189721,4.210566,3.976412,3.733496,4.611329,3.788163,3.289661,3.846247,3.569186,3.693093,3.271286,2.5226,3.488697
France,1.00952,,0.7449698,0.7621385,0.6471924,0.8965312,1.121676,3.559931,4.188789,3.271663,2.719082,4.065397,2.65049,1.039322,1.109215,0.9110878,0.8615316,1.142224,0.9122909,1.01944,0.9745889,0.9692575,1.124962,1.075073,1.237121,1.345543,1.203667,1.260553,1.27641,1.363973,1.208294,1.304789,1.314515,1.586255,1.659556,1.627862,1.412065,1.326294,1.18831,1.347937,1.345759,1.434276,1.255104,1.337657,1.434158,1.299868,1.245299,1.125481,0.9049361,0.8592694,1.073991,1.012345,0.9458649,0.8918387,0.8729885
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3166275
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.35264969
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.524293,4.157924,,,4.096449,3.291062,4.295773,4.539663,7.670989,4.601601,2.645934,0.3938695,,0.496294,0.0570231,0.9851037,3.455661,7.612912,6.71841,5.503032,6.630842,,,6.153435707
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.127536,1.304932,1.309386,1.344518,1.395959,1.400589,1.342468,1.081549,1.062154,1.035037,0.7793581,0.8071933,0.7728416,0.7348242,0.674514
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10413933
Greece,,,,,,,,,,,,2.08507,1.683996,1.828545,1.536846,1.536881,1.093126,1.065554,1.277908,1.084135,0.8533816,0.8111652,0.641416,1.138431,0.9061087,1.213888,0.9158803,0.7692121,1.085565,1.047523,0.944594,1.076573,1.307783,0.9399396,1.228249,1.477215,1.140091,0.9583228,1.50608,0.9678634,1.425414,1.930256,1.769088,1.750743,1.627694,1.706694,1.984602,2.310412,1.84763,1.613398,1.389193,1.321278,0.9983436,1.480209,1.236213
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.688266277
Guatemala,,,,,,,,,,,,,,28.71977,27.88588,25.88175,36.45456,59.90327,47.11511,34.35143,48.45298,48.2987,,,1.797315,,,1.944527,,49.28193,133.431,239.7104,,,7.144566,,47.14544,54.43422,55.70432,44.09182,46.37746,43.40021,43.16607,43.49232,49.22403,50.16167,53.76928,72.08322,66.07304,45.7519,46.25898,48.04648,55.22637,64.70029,62.29549
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.37772369
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73907852
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.48856735
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03512859
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72481537
Hungary,,,,,,2.873361,3.378611,6.756233,4.226768,4.422148,2.066684,3.202169,2.750743,2.515568,2.431211,2.034624,2.376791,2.58681,2.966804,2.762837,2.62917,2.562834,2.576703,2.750026,2.266209,2.454908,2.681215,2.322658,2.472047,2.49332,3.218761,3.042483,2.911195,3.00446,3.349482,3.140988,3.301857,2.987094,3.423265,3.189411,3.964401,4.870881,4.79434,4.807818,4.573022,4.525705,3.566312,3.90668,3.813522,3.232381,2.852015,3.052234,2.721378,2.173244,2.414937
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.201045036
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.605556488
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62002659
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.368893623
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20785809
Ireland,0.440475,0.2782575,0.3428863,0.4274144,0.4601765,0.1915475,0.1699506,0.2201515,0.2855211,0.3218123,0.166805,0.347458,0.4829578,0.1367634,0.6002278,0.3346636,0.5972621,0.4499288,0.5240552,0.4296104,0.4346484,0.7612811,0.9362798,0.5971001,1.121731,1.431434,0.5832945,1.377003,1.325745,1.358632,1.171781,2.380712,1.132279,1.18087,0.9780306,0.8353299,1.084716,1.21965,1.196119,1.129745,1.162466,0.8487237,1.237098,0.9844623,1.141023,1.336552,1.069379,1.180536,1.780856,1.643102,1.619407,1.707337,1.683892,1.359926,0.9610444
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,2.373749,2.617213,2.345884,2.455722,2.658329,2.610663,2.965904,2.381281,2.790957,2.293875,3.253503,2.975786,2.048086,1.841684,3.368839,2.773763,1.487759,1.745406,3.685077,3.750448,2.301906,1.663547,0.8735332,0.8011743,3.727226,4.716532,8.568561,10.67653,7.455408,5.315863
Italy,,2.35351,2.164018,2.015607,2.017264,2.275514,2.191385,2.041259,2.010196,1.77927,1.975954,1.702272,1.346871,1.370856,1.227638,1.201087,1.140317,1.276001,1.199758,1.137216,1.119573,1.421237,1.520423,1.701746,1.736784,2.031568,2.223464,2.299561,2.36613,2.61891,2.987868,3.243781,3.6327,3.209968,2.684458,2.326824,1.979335,2.62372,3.036859,3.884887,4.574779,4.865361,3.662117,2.698246,2.532399,2.310005,2.185354,1.858253,1.88706,1.833899,1.502052,1.409894,1.347399,1.577211,1.314602256
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.79989624
Japan,2.751354,2.61225,2.634626,2.521843,3.020498,3.140204,2.725005,2.695846,2.810184,2.744705,2.614352,2.328046,2.117063,2.095043,2.058574,1.859738,1.888238,1.789339,1.797327,1.84781,1.690355,1.676247,1.46952,1.528744,1.520604,1.578895,1.48287,1.439252,1.333605,1.170028,1.125514,1.142899,1.085413,1.182179,1.072622,0.9733887,1.049153,0.8998716,0.8501583,0.7844107,0.7063012,0.6412414,0.7286913,0.7883256,0.7879031,0.6305972,0.6026457,0.6660994,0.7594362,0.7098154,0.6513208,0.6456532,0.654415,0.6425674,0.5121858
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69765282
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.17451,15.82828,,,12.7949,8.965466,10.59447,12.00445,17.76938,20.59808,20.9108,25.29992,30.69959,30.64808,33.4509,31.91121,30.26749,29.96989,27.46465,0,25.61341,20.56146,23.9426,25.45322
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63883591
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09251022
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61119843
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.327659,1.342134,1.420485,1.55248,1.833862,1.984736,1.981907,1.549119,2.059956,2.062419,2.146625,2.257398,2.42748,2.326581,1.852459,1.831172,0,1.71656,1.790045,1.732097
Kuwait,,,,,,,,,,,,,,,,,,,,,,,5.424952,,,1.619269,3.018579,1.578685,1.807794,0.474793,1.151378,0.4795126,0.4344651,1.115332,4.057983,3.270647,0.9777962,0.5269031,,,,,,2.870216,1.999713,0.8968099,1.566811,1.990612,2.281528,2.376598,1.236805,2.077219,0.9708428,,1.35905385
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93229,13.04739,,,9.791841,5.372756,7.084707,8.212047,15.15807,28.20649,18.54456,24.21437,26.57128,29.47711,25.67556,22.13629,17.13288,13.35001,14.21524,14.70343,12.12957,10.69669,10.40828,11.4493
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.677433968
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.014595,9.268172,7.580542,8.600796,8.177358,6.94104,5.825851,6.165014,8.596951,12.33834,13.89308,17.36054,24.81898,37.17878,34.73781,26.04516,23.14405,21.72445,18.25016,17.32202,18.08339,0,15.31696,14.03154,11.60751
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.437838078
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85928345
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.19126892
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.510257244
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.848281,9.173118,,,9.671094,6.985319,5.227213,6.38591,8.104631,10.97242,14.14618,16.28626,19.79065,20.69462,16.96391,13.99613,13.75106,12.53883,12.09425,14.53422,15.35643,11.07265,13.13451,11.39984
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11301744
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.466318,2.903491,3.149768,2.779183,2.550344,3.247304,3.665918,3.490982,3.950594,4.406854,11.3363,5.575981,4.672621,8.490084648
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.98947334
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86076736
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.94394112
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.862631083
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.58291245
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7454547882
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.288936853
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.04096031
Mauritius,,,,,,,,,,,,1.094175,0.687915,1.610536,3.073902,4.548602,4.250399,4.550759,14.64653,5.924407,6.61259,5.388223,1.484822,4.852765,6.994963,3.313836,3.496734,0.978325,2.072614,4.236464,3.062074,1.523672,2.600545,2.333785,2.982708,0.487134,1.370386,3.430504,3.458214,4.253425,3.927976,5.282235,4.570774,3.663945,2.270615,2.133565,4.161234,2.877809,3.973805,3.415397,3.138935,3.581534,4.148847,3.931858,4.552971
Mexico,,,,,,81.84914,77.04255,74.87408,73.96109,79.35763,76.86715,70.5127,64.40947,54.77977,54.99549,50.04784,48.89328,49.53107,47.99043,25.90371,44.11435,39.28979,36.12885,32.20156,56.08067,45.02802,41.40057,47.08931,43.95855,44.33554,44.64388,44.325,45.53868,43.75489,38.862,45.51889,46.82998,45.98374,42.57147,41.41197,38.05151,37.8598,41.39677,39.1771,37.74158,35.92137,31.91795,29.19487,28.36575,24.9002,21.28693,19.60445,18.97777,18.73845,17.12049
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.456543684
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.22849,12.92054,,,9.384042,7.236391,8.010426,10.66446,12.71383,13.66932,12.90152,22.50346,19.44002,23.05734,27.44738,20.61348,21.05521,18.63239,18.10418,17.87854,16.60603,14.4237,12.28589,9.983502
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.212642789
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.938878536
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07301569
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75837326
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99923325
