Whole country new smear-positive case detection rate (%),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Guinea,,,,49,47,45,53,51,54,53,55,53,52,51,53,54,55,53
Guinea-Bissau,,,,,,105,97,86,52,65,46,,72,73,86,78,68,
Guyana,,,,39,39,40,29,42,31,64,39,50,34,55,36,50,62,49
Haiti,,,,,,,27,42,48,50,43,40,43,48,48,49,49,51
Honduras,,,,80,95,92,72,78,94,99,141,131,129,91,86,89,88,87
Hungary,,,,89,61,36,47,32,33,36,25,36,39,41,49,42,48,51
Iceland,,,,,109,36,23,79,40,37,21,68,60,31,58,44,85,42
India,,,,33,32,37,40,37,37,45,45,49,49,53,59,60,64,68
Indonesia,,,,23,18,12,4,7,12,19,20,21,30,37,53,66,73,68
Iran,,,,,42,48,49,53,54,59,59,61,61,62,63,62,67,68
Iraq,34,31,46,102,109,59,183,141,149,161,51,55,59,53,49,44,40,37
Ireland,,,,,,,130,48,45,46,56,54,45,64,57,55,54,53
Israel,,,,56,48,,56,80,87,69,7,73,69,65,39,42,31,61
Italy,,,,,51,52,66,75,97,56,31,64,60,73,53,65,71,51
Jamaica,,,,96,70,106,92,95,101,101,100,83,66,88,75,57,65,83
Japan,,,,75,73,66,60,63,56,62,61,63,64,69,70,79,78,78
Jordan,,,,100,94,106,99,87,76,77,70,78,75,91,73,66,78,81
Kazakhstan,,,,,,68,84,69,81,79,94,93,95,87,81,74,68,70
Kenya,63,63,57,62,57,58,60,56,60,60,58,61,63,65,68,70,72,72
Kiribati,,,,61,113,,90,31,33,37,34,40,52,63,90,79,82,66
Kuwait,,,,47,54,66,59,76,68,62,65,62,71,70,85,63,95,90
Kyrgyzstan,,,,,51,52,50,66,31,58,43,0,52,56,61,68,64,60
Laos,,,,,,13,24,33,40,45,40,41,48,48,57,72,77,78
Latvia,,,,100,,75,71,70,72,64,72,76,77,84,83,83,84,89
Lebanon,,,,,30,41,45,54,63,75,65,64,63,63,72,65,52,62
Lesotho,,,,84,70,63,74,87,78,75,78,,71,79,90,90,84,16
Liberia,,,,82,,56,30,,44,,32,27,56,36,66,55,69,
Libyan Arab Jamahiriya,,,,,,,87,,,148,113,,138,149,175,176,154,162
Lithuania,,,,81,,92,95,93,60,62,64,81,72,87,86,99,103,90
Luxembourg,,,,,,,92,100,80,,75,41,63,119,77,55,86,0
Madagascar,,,,62,63,65,65,,67,,,67,65,71,71,65,74,69
Malawi,41,35,37,43,42,42,44,47,51,45,44,44,40,39,43,43,43,41
Malaysia,,,,69,67,64,68,69,71,74,73,73,70,69,67,72,80,80
Maldives,,,,110,113,107,103,96,93,97,75,71,75,89,90,94,79,92
Mali,,,,,16,17,19,27,21,21,19,,20,21,20,22,23,23
Malta,,,,82,39,34,35,22,45,72,41,26,43,18,18,45,37,74
Mauritania,,,,,,83,,92,41,68,50,,,,44,29,36,39
Mauritius,,,,,,86,75,85,83,93,88,66,67,77,92,87,68,69
Mexico,,,,34,42,42,40,77,60,66,68,93,75,89,82,93,97,99
"Micronesia, Fed. Sts.",,,,,,12,19,13,21,,24,13,38,47,65,62,82,97
Mongolia,0,,0,0,7,21,35,52,60,67,61,71,72,66,77,78,88,76
Morocco,,,,,,91,93,93,90,91,89,90,92,93,91,96,94,93
Mozambique,,,,64,59,59,55,53,53,50,47,45,45,45,46,47,49,49
Myanmar,,,,,3,27,30,29,30,34,50,61,69,78,88,102,111,116
Namibia,,,,,,22,85,88,90,85,82,84,81,90,82,83,87,84
Nauru,,,,,90,,,,,90,90,90,90,90,,0,90,90
Nepal,,,,32,49,40,48,53,52,62,63,63,63,66,67,67,64,66
Netherlands,,,,131,,77,49,44,37,47,46,51,55,48,63,42,36,34
Netherlands Antilles,,,,,,,34,59,75,27,28,102,133,61,123,,77,
New Caledonia,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
New Zealand,,,,61,38,45,54,51,59,52,40,41,51,62,65,50,65,60
Nicaragua,,,,75,72,72,81,81,82,80,78,82,75,82,80,78,83,97
Niger,,,,9,34,26,,54,48,37,41,44,42,51,46,52,51,53
Nigeria,,,,2,,11,11,11,11,12,12,15,13,15,17,18,20,23
Niue,,,,0,0,0,90,0,0,90,0,0,90,0,0,0,0,
Northern Mariana Islands,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90
Norway,,,,,53,40,68,67,34,16,28,47,25,43,42,40,39,33
Oman,,,,83,101,99,121,121,121,91,123,112,117,85,128,95,129,125
Pakistan,,,,11,,2,2,,13,5,3,9,13,17,25,38,50,67
Palau,,,,90,90,90,90,90,,90,,,90,90,90,90,90,90
Panama,,,,159,112,156,130,83,193,59,61,88,99,98,109,105,103,98
Papua New Guinea,,,,,,31,8,21,37,37,32,22,21,36,29,27,29,31
Paraguay,71,65,59,65,57,48,56,53,51,61,52,52,56,64,65,67,76,66
Peru,,,,105,104,102,88,94,99,91,88,88,87,82,84,89,97,93
Philippines,,,,84,79,85,78,72,62,65,59,52,57,64,69,71,75,75
Poland,,,,83,44,79,82,45,49,48,52,55,56,57,57,62,64,66
Portugal,,,,,80,79,78,67,87,83,92,102,102,95,91,84,89,87
Puerto Rico,,,,65,72,66,58,72,66,76,67,72,88,70,76,71,88,77
Qatar,,,,,,33,27,24,43,33,29,41,34,52,38,46,49,44
"Korea, Rep.",,,,75,63,59,60,56,62,65,54,76,64,64,65,63,61,56
Moldova,,,,44,45,37,11,18,20,25,25,41,45,49,63,70,70,67
Romania,,,,95,97,92,88,96,87,79,75,79,75,73,80,83,82,85
Russian Federation,,,,,75,77,74,67,63,31,37,37,40,43,47,49,48,49
Rwanda,,,,,,34,35,41,54,44,32,25,28,30,27,26,27,25
Saint Kitts and Nevis,,,,86,85,168,84,,165,82,0,0,40,,0,0,39,155
Saint Lucia,,,,,139,89,178,113,80,72,56,48,63,63,86,86,101,139
Saint Vincent and the Grenadines,,,,67,0,30,18,12,18,24,55,18,0,37,30,37,49,24
Samoa,,,,97,85,73,45,71,36,89,70,60,107,69,65,66,80,
San Marino,,,,,,,0,101,0,0,113,0,0,0,0,,,
Sao Tome and Principe,,,,,,,,,,42,42,57,58,46,70,68,50,81
Saudi Arabia,,,,27,,,,39,39,38,36,38,39,38,38,38,39,39
Senegal,,,,,55,62,65,57,55,48,53,54,49,53,50,50,49,48
Seychelles,,,,15,,44,82,97,67,75,83,90,68,38,100,62,,
Sierra Leone,,,,,29,29,41,40,36,,33,33,32,31,34,36,35,37
Singapore,,,,73,120,62,67,54,61,62,37,56,89,98,87,102,101,96
Slovakia,,,,81,39,80,85,34,40,35,37,37,34,38,34,39,39,44
Slovenia,,,,111,97,105,79,58,65,74,71,73,75,75,63,84,67,77
Solomon Islands,,,,38,28,28,24,30,39,26,32,35,33,43,49,56,42,50
Somalia,,,,,17,23,41,43,43,46,48,58,58,61,74,78,74,64
South Africa,,,,,,43,75,89,95,88,76,70,72,77,78,75,77,78
Spain,,,,,,35,,,28,,56,41,55,49,36,43,34,40
Sri Lanka,59,64,67,69,70,62,60,70,75,77,85,84,84,84,83,94,85,86
Sudan,,,,,16,35,34,40,38,37,40,34,31,31,33,34,31,31
Suriname,,,,,,,30,20,17,19,20,19,22,17,17,20,24,
Swaziland,,,,,,52,149,,,66,58,35,35,36,41,46,52,55
Sweden,,,,111,39,40,37,42,44,55,58,56,59,58,56,58,45,39
Switzerland,,,,118,120,46,47,40,46,30,41,44,46,41,48,46,51,47
Syrian Arab Republic,,,,,,63,77,74,85,87,90,88,87,96,100,89,91,80
Tajikistan,,,,,,62,11,16,17,0,13,19,16,0,20,31,33,32
Thailand,,,,,58,58,48,37,22,41,48,76,68,74,74,77,74,72
"Macedonia, FYR",,,,,,75,50,46,44,33,51,54,68,70,72,65,66,74
Timor-Leste,,,,,,,,,,,,,84,74,69,67,56,61
Togo,,,,9,,14,13,13,12,11,12,,13,13,16,17,19,15
Tokelau,,,,,,90,0,,,0,0,0,,0,,0,0,
Tonga,,,,116,125,67,106,85,126,80,123,67,196,95,70,98,127,129
Trinidad and Tobago,,,,,88,11,92,83,130,137,181,239,94,120,111,147,231,201
Tunisia,,,,80,75,98,80,,101,94,101,103,90,85,88,83,80,78
Turkey,,,,,,39,24,29,30,38,45,50,0,65,64,78,81,76
Turkmenistan,,,,42,,55,48,53,45,52,54,69,71,71,69,66,76,90
Tuvalu,,,,17,9,54,,,,0,0,0,0,0,,60,49,152
Uganda,,,,52,60,51,56,60,60,60,51,47,47,47,48,47,48,51
Ukraine,,,,79,76,70,60,67,67,63,59,0,0,64,0,,70,55
United Arab Emirates,,,,,,,,,,12,27,25,20,27,19,21,17,18
United Kingdom,,,,9,9,,132,27,43,26,39,30,42,43,47,47,44,39
Tanzania,62,57,57,60,59,61,60,57,58,56,52,51,48,49,51,50,50,51
Virgin Islands (U.S.),,,,,,29,73,,,,,,,,,,,
United States of America,,,,89,89,85,84,84,85,86,84,85,85,86,87,86,89,87
Uruguay,,,,84,83,76,94,94,84,88,79,79,72,89,90,87,76,95
Uzbekistan,,,,,101,35,45,40,38,41,37,40,38,36,38,41,52,46
Vanuatu,,,,,68,33,56,75,44,51,75,69,46,49,73,44,53,52
Venezuela,,,,70,66,73,75,75,78,82,78,75,74,82,79,75,72,68
Viet Nam,,,,,,59,77,78,85,83,82,84,87,86,89,84,86,82
Wallis et Futuna,,,,,,90,90,90,,,,90,90,90,,90,,90
West Bank and Gaza,,,,,,4,9,,3,,15,12,,6,2,3,7,5
Yemen,0,0,0,0,0,43,51,57,60,67,68,61,53,48,44,44,43,46
Zambia,,,,,56,53,60,,,50,54,51,63,69,65,58,58,58
Zimbabwe,,,,30,,43,54,60,55,49,45,44,42,36,36,32,32,27
