Road traffic total deaths,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Marshall Islands,,,,,,,,,,,,,,,,,,6,,7,,,1,
Martinique,,,,,,,,,,,,,,,,74,69,53,62,56,50,56,,
Mauritania,,,,,,,,,,,,,,,,,,1072,,684,,,1109,
Mauritius,,,,,,,,,,,,,,180,206,193,173,182,188,196,152,160,140,207
Mexico,,,,,,,,,,,,,,19033,18866,19235,18622,12279,19094,20638,20339,22103,20990,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,7,,7,,,16,
Moldova,,,,,,,,,,,,808,731,645,542,557,636,670,622,626,594,550,571,649
Monaco,,,,,,,,,,,,,,,,,,4,,3,,,,
Mongolia,,,,,,,,,,,,,,,,,,1097,,978,,,507,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,122,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,5699,,5700,,,8850,
Mozambique,,,,,,,,,,,,,,,,,,2562,,5238,,,7432,
Myanmar,,,,,,,,,,,,,,,,,,8099,,7517,,,11422,
Namibia,,,,,,,,,,,,,,,,,,449,,377,,,594,
Nauru,,,,,,,,,,,,,,,,,,2,,2,,,1,
Nepal,,,,,,,,,,,,,,,,,,3763,,3760,,,4245,
Netherlands,,,,,,,,,,,,,,,,,,1031,,872,,,791,
Netherlands Antilles,,,,14,24,24,34,29,19,24,28,21,14,23,23,26,,,,,,,,
New Zealand,,,,,,,,,,,,,568,547,564,497,485,490,525,473,458,433,423,
Nicaragua,,,,,,,,,,,,,,,,,,855,,726,,,797,
Niger,,,,,,,,,,,,,,,,,,4975,,4180,,,5357,
Nigeria,,,,,,,,,,,,,,,,,,32252,,33563,,,47865,
Niue,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,316,340,406,353,374,310,331,321,284,284,299,233,
Oman,,,,,,,,,,,,,,,,,,333,,291,,,553,
Pakistan,,,,,,,,,,,,,,,,,,17721,,17287,,,41494,
Palau,,,,,,,,,,,,,,,,,,2,,1,,,3,
Panama,,,,,,,,,,,,,,,,,,433,,472,,,425,
Papua New Guinea,,,,,,,,,,,,,,,,,,853,,876,,,901,
Paraguay,,,,,,,,,,,,569,619,531,583,527,629,524,619,662,782,954,1206,
Peru,,,,,,,,,,,,,,,3107,3111,,4157,,3694,,,6001,
Philippines,,,,,,,,,,,,,,,,,,7886,,8207,,,17557,
Poland,,,,,,,,,,,,,,,7653,7270,6439,6012,6405,6225,6167,5775,5583,6327
Portugal,,,,,,,,,,,,,,,,,,1720,,2003,,,1110,
Puerto Rico,,,,,,,,,,,,,,,632,631,571,588,524,,513,,511,
Qatar,,,,,,,,,,,,,,,,,,128,,151,,,199,
Reunion,,,,,,,,,,,,,,,,,139,107,95,86,98,83,,
Romania,,,,,,,,,,,,,,,,,,2775,,2612,,,2712,
Russia,,,,,,,,,,,,,,,,,,44580,,45306,,,35972,
Rwanda,,,,,,,,,,,,,,,,,,2473,,2756,,,3077,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,6,,7,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,22,,29,,,29,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,6,6,6,12,10,,,8,
Samoa,,,,,,,,,,,,,,,,,,13,,13,,,24,
San Marino,,,,,,,,,,,,,,,,,,3,,3,,,1,
