Female self-employed (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Belgium,9.399999619,9.600000381,9.699999809,9.899999619,9.899999619,9.899999619,9.800000191,9.699999809,9.600000381,9.600000381,9.5,9.600000381,9.600000381,9.800000191,10,10,10,10,9.699999809,9.5,,,,,,8.899999619,8.899999619,
Belize,,,,,,,,,,,,,,21,19.70000076,20.79999924,20.60000038,25.20000076,22.89999962,24.89999962,,,,,,21.70000076,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,24.60000038,,
Bolivia,,,,,,,,,,46.5,44.90000153,44.40000153,46.5,40.90000153,43.5,42.79999924,45.09999847,46.70000076,,50.09999847,45.70000076,37,38.59999847,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,15.89999962,
Botswana,,,,,60.29999924,,,,,,,,,,17.39999962,,,,12.80000019,,14.69999981,16.79999924,,16.79999924,,,,
Brazil,,,,,,,,,,,22.60000038,,28.10000038,27.79999924,,28.39999962,26.29999924,16,16.39999962,16.20000076,,25.20000076,25.79999924,25.79999924,25.39999962,18.89999962,18.89999962,
British Virgin Islands,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,3.299999952,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,12.19999981,,8.899999619,8.800000191,8.800000191,8.199999809,7.800000191
Burkina Faso,,,,,,10,,,,,,,,,11,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,28.89999962,33,,,,,,
Cameroon,,,,,,,,,,,,,,,,,71.40000153,,,,,61.70000076,,,,,,
Canada,6,5.599999905,6,6.400000095,6.699999809,7.300000191,6.5,8.5,8.899999619,8.800000191,9.199999809,9.300000191,9.699999809,10.30000019,11,11,11.80000019,12.5,12.60000038,12.39999962,11.89999962,10.89999962,11.10000038,11,11,11.19999981,11.10000038,11.19999981
Cape Verde,,,,,,,,,,,,,,,,,,,,,30.89999962,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,6.599999905,4.699999809
Chad,,,,,,,,,,,,,,53.70000076,,,,,,,,,,,,,,
Chile,,,,,,,,,,,20,,20.20000076,,20.39999962,,20.89999962,21.5,23.39999962,22.10000038,21.29999924,23.20000076,23.29999924,23.5,24.70000076,22.20000076,23.20000076,22.79999924
Colombia,,,,,,,,,,,,26,25.89999962,25.10000038,23.89999962,27.29999924,26.79999924,28.10000038,31.10000038,32.20000076,32.90000153,40.70000076,39,39.70000076,40.5,39.09999847,40.40000153,37.59999847
Costa Rica,,,,,,,,15.69999981,16.10000038,17.60000038,16.10000038,20.29999924,17.60000038,19.60000038,20,19.39999962,18.5,21.60000038,20.29999924,21.10000038,20,25.10000038,,25.29999924,25.79999924,23.39999962,23.10000038,21.10000038
Croatia,,,,,,,,,,,,,,,,,15.39999962,13.5,13.19999981,14.39999962,13.80000019,13.10000038,13.69999981,16.60000038,18.10000038,20.29999924,17.70000076,16.5
Cuba,,,,,,,,,,,,,,,,8.100000381,7.5,7.800000191,8.100000381,8.699999809,8.5,8.600000381,8.300000191,8.699999809,8.399999619,8.199999809,8,6.5
Cyprus,,,,,,,,,,,,,,,,,,,,10.89999962,10,9.800000191,9.699999809,9.100000381,10,11.30000019,11.30000019,10.39999962
Czech Rep.,,,,,,,,,,,,,,9.399999619,8.699999809,9.100000381,8.899999619,8.800000191,9.5,9.600000381,10.10000038,9.800000191,10.10000038,10.80000019,10.19999981,9.399999619,9.800000191,9.699999809
Denmark,,,,3.200000048,,,,,,,,,,,,4,4.099999905,3.5,3.700000048,3.900000095,3.700000048,3.5,3.799999952,4.199999809,3.700000048,4,4.599999905,4.400000095
Djibouti,,,,,,,,,,,,15.69999981,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,24.79999924,,,,,,25.60000038,,31.29999924,,21.79999924,,,,,,
Dominican Rep.,,,,,,,,,,,,27.39999962,33,29,25.89999962,26.5,25.39999962,30.5,32.59999847,32.09999847,27.79999924,29.79999924,30.79999924,28.60000038,27.89999962,28.60000038,,
Ecuador,,,,,,,,,30.70000076,32.90000153,32.20000076,33.90000153,35.70000076,36.90000153,33.5,32.59999847,33.79999924,32.79999924,33.59999847,33.09999847,32,34.90000153,36.29999924,,36.70000076,33.70000076,34.40000153,
Egypt,,,,,,,,,,,,,,17.79999924,17.29999924,17.29999924,,14.5,16.10000038,13.60000038,16.79999924,18.20000076,12.60000038,17.70000076,18.60000038,17.70000076,13.69999981,
El Salvador,,,,,,,,,,,,,,40.5,41.40000153,40.5,39.79999924,41.29999924,35.90000153,37.09999847,41.29999924,38.5,41.09999847,38.79999924,40.40000153,39.79999924,36.90000153,
Equatorial Guinea,,,,16.79999924,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,23,,,,,,,,,,,
Estonia,,,,,,,,,,0.5,0.6000000238,0.8999999762,1.399999976,1.899999976,2.400000095,2.900000095,3,4.599999905,5.099999905,5.099999905,5.599999905,4.599999905,4.800000191,5.400000095,5.800000191,4.900000095,4.5,5.099999905
Ethiopia,,,,,,,,,,,,,,,,,,,,29.5,,,,,43.70000076,25.10000038,44,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,20.60000038,,
Finland,10.5,9.600000381,8.899999619,11.60000038,11.80000019,10.69999981,10.5,11,10.5,,,,,,,,,,,,,,,,,,,
France,14.60000038,14.5,14.30000019,14,13.60000038,13.19999981,12.80000019,12.5,12.19999981,11.60000038,11,10.39999962,9.800000191,9.199999809,8.800000191,8.300000191,7.900000095,7.5,7.300000191,7.099999905,6.900000095,6.699999809,6.800000191,6.099999905,5.800000191,5.900000095,6.199999809,6.300000191
Gabon,,,,,,,,,,,,,,57.5,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,15.5,17.20000076,25.70000076,24.10000038,26.79999924,26.79999924,27.70000076,26.20000076,,
Germany,4.599999905,4.599999905,4.800000191,5.099999905,13.39999962,11.80000019,11.60000038,11.39999962,12.10000038,11.60000038,9.199999809,5,5.199999809,5.5,5.699999809,5.800000191,6,6.300000191,6.400000095,6.300000191,6.400000095,6.300000191,6.300000191,6.599999905,7,7.5,7.5,7.5
Greece,,19.79999924,23.5,19.29999924,19.10000038,20,18.20000076,19.5,19.10000038,18.5,20.29999924,20.10000038,19.89999962,19.70000076,19.5,18.70000076,19.39999962,18.79999924,20,20.79999924,21.79999924,21.20000076,21.60000038,21.70000076,20.60000038,20.79999924,21.10000038,20.39999962
Grenada,,,,,,,,,,,,11.69999981,,,,,25.70000076,,21.39999962,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,23.10000038,,,,44,,38.40000153,,39.40000153,,,,,
Guyana,,,,,,,,,,,,,43.5,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,65.80000305,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,44.70000076,40.5,38.09999847,,39.20000076,42.20000076,41.70000076,41.5,41.79999924,41.20000076,,40.29999924,41.5,46.29999924,40.90000153,39.20000076,,
"Hong Kong, China",,,,,,,,,,,,,,3.299999952,3.5,3.799999952,3.599999905,3.5,3.599999905,4,3.799999952,4.599999905,5.199999809,5.400000095,5.599999905,5.400000095,5.400000095,4.900000095
Hungary,,,,,,,,,,,,,9.300000191,8.100000381,8,8.199999809,8.199999809,8,7.800000191,10.10000038,9.399999619,9.199999809,9,8.399999619,9.399999619,9.100000381,8.300000191,8.5
Iceland,,,,,,,,,,,,9.100000381,9.100000381,7.900000095,7.900000095,9.399999619,10.80000019,10.69999981,10.69999981,10.69999981,10.39999962,9.5,8.399999619,7.900000095,8.199999809,7.300000191,7.5,7.400000095
Indonesia,,,,,,,,,,,,,,,,,,,,,,,35,30.89999962,33,31.10000038,33.90000153,35.79999924
Iran,,,,,,,,,,,,,,,,,21.10000038,,,,,,,,,20.70000076,,24.29999924
Ireland,,,,,,6.900000095,7,6.800000191,7.199999809,7.199999809,7.599999905,7.5,8.399999619,8.5,7.900000095,7.800000191,8,7.599999905,7.599999905,7.300000191,7.099999905,6.5,6.5,6.5,7,6.5,5.800000191,6.199999809
Isle of Man,,,,,,,,,,,,,,,,,,,,,,7.699999809,,,,,,
Israel,,,,,,,,,,,,,,,,8.899999619,9.199999809,8.699999809,8.5,9,8.5,7.800000191,8,8.100000381,7.900000095,7.699999809,8.100000381,7.800000191
Italy,16,15.69999981,15.80000019,16.29999924,16.20000076,15.89999962,16.39999962,16.39999962,16.39999962,16.79999924,16.60000038,16.5,16.5,15.80000019,16.20000076,16.39999962,16.5,16.39999962,16.39999962,16.60000038,16.10000038,15.60000038,15.30000019,15.30000019,15.19999981,14.69999981,14.60000038,14.39999962
Jamaica,,,,,,,,,,,,33.90000153,33.70000076,32.70000076,32.29999924,29.89999962,30.70000076,30.29999924,30.5,31.60000038,31.60000038,30.89999962,29.39999962,29.79999924,31.70000076,30.39999962,31.29999924,
Japan,13.69999981,13.19999981,13.5,13.30000019,13,12.5,12.30000019,12.10000038,11.80000019,11.39999962,10.69999981,10.19999981,10.10000038,9.600000381,9.100000381,9,8.5,8.300000191,8.399999619,8.199999809,7.800000191,7.199999809,6.699999809,6.599999905,6.5,6.300000191,6,5.800000191
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,44.70000076,42.40000153,41.20000076,38.40000153,,,
"Korea, Rep.",23.29999924,22.89999962,23.70000076,23.5,21.39999962,21.29999924,22.79999924,22.5,21.5,19.20000076,18.70000076,18.89999962,19.60000038,18.79999924,18.79999924,19.60000038,19.89999962,20.5,19.5,20,19.20000076,19.5,19.39999962,17.79999924,18.60000038,19,18.79999924,18.5
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,40.09999847,35.90000153,29.5,29.10000038,29,
Laos,,,,,,,,,,,,,,,,57.09999847,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,7.5,10.69999981,9.800000191,9.300000191,9,7.900000095,7.400000095,7.099999905,8,7.599999905,8.300000191,6.599999905
Lesotho,,,,,,,,22.79999924,,,,,,,,,,53.20000076,,6.800000191,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,14.60000038,12.69999981,12.10000038,12.69999981,11.80000019,12.80000019,12.89999962,11.80000019,10.69999981,10.30000019,8.600000381
"Macao, China",,,,,,,,,,,,,,,,,4.699999809,3.200000048,2.799999952,3.700000048,5.099999905,4.599999905,4,4.199999809,4,4.199999809,4.5,4
Madagascar,,,,,,,,,,,,,,45.79999924,,,,,,,,,,35.40000153,,,,
Malawi,,,,,,,,96.09999847,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,18.70000076,,,,13.89999962,14.30000019,13.69999981,13,12.69999981,12.5,12.89999962,13.10000038,12.89999962,13.60000038,13,12.89999962,13.89999962
Maldives,,,,,,,,,,,50.90000153,,,,,38.59999847,,,,,37.40000153,,,,,,,
Mali,,,,,,,,,,,,,,,25.89999962,,,,,,,,,,78.40000153,,,
Malta,,,,,,,,,,,,,,,,,,,,,,7.599999905,5.599999905,8.100000381,6,8.699999809,5.599999905,7
Marshall Islands,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
Mauritius,,,,,,,,,,,5.599999905,,,,,10.39999962,,,,,7.199999809,,,,10.39999962,11.10000038,11.10000038,11.60000038
Mexico,,,,,,,,,,,14.89999962,21.10000038,23.10000038,23.89999962,25.89999962,23.79999924,23,23.39999962,23.5,23.60000038,22.79999924,23.79999924,24.29999924,25.39999962,25.60000038,24.60000038,24.39999962,24.79999924
Mongolia,,,,,,,,,,,,,,,,,,,,,17.60000038,,,26.10000038,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,11.89999962,,
Montserrat,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,18,,,,,14.69999981,19,17,13.39999962,13.39999962,12.39999962,12.5,11.10000038,
Namibia,,,,,,,,,,,,,,,23.20000076,,,27.70000076,,,38,17.20000076,,,26.60000038,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,74.40000153,,,,,,
Netherlands,,,,,,,,,,,,,,,,7.900000095,8.100000381,8.300000191,8.100000381,7.800000191,8.800000191,9,9.100000381,8.899999619,9.699999809,9.699999809,9.5,9.399999619
Netherlands Antilles,,,,,,,,,,,,5.400000095,3.599999905,5.5,6.199999809,5.800000191,5.400000095,3.799999952,6.099999905,,4.300000191,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,10.39999962,,,,,,,,,,,
New Zealand,,7.099999905,,,,,10.80000019,11.30000019,11.60000038,11.80000019,11.39999962,12.5,13.10000038,13.19999981,13.60000038,13.80000019,13.10000038,12.69999981,12.89999962,13.69999981,13.39999962,12.80000019,12.19999981,12.30000019,12.69999981,12.5,11.30000019,11.19999981
Nicaragua,,,,,,,,,,,,,,45.20000076,,39.40000153,38.40000153,38.20000076,38.09999847,37.79999924,37.20000076,36.09999847,38.20000076,39.59999847,39.09999847,37.79999924,38.90000153,
Norway,4.300000191,4,4.5,4.300000191,4.199999809,3.900000095,3.900000095,4.099999905,4.900000095,4.599999905,4.800000191,4.800000191,4.599999905,4.800000191,4.5,4.800000191,4.300000191,4.400000095,4.300000191,4.400000095,4.400000095,4.199999809,3.700000048,3.900000095,4,4.199999809,4.400000095,4.300000191
Oman,,,,,,,,,,,,,,6.300000191,,,6.699999809,,,,9.899999619,,,,,,,
Pakistan,,,,,,,,,,,,,,,,13.5,13.5,12.80000019,11.80000019,11.80000019,16.79999924,16.79999924,16,16,16,16,15.10000038,13.5
Panama,,,13.60000038,11.80000019,13.60000038,14,13.39999962,14.60000038,17.20000076,16.5,,,14.30000019,13.60000038,15.39999962,16.60000038,17.29999924,18.20000076,19.79999924,20.89999962,18.79999924,17.39999962,21.5,21.10000038,21.5,22.5,22.5,21.39999962
Paraguay,,,,,,,,,,,33,33.70000076,30.29999924,29.10000038,36,,38,44.40000153,42.90000153,43.59999847,45.90000153,44.59999847,44.90000153,45.59999847,,,,44.29999924
Peru,,,,,,,,,,,38,38.90000153,39.90000153,36.09999847,38.79999924,38.20000076,44.5,45.70000076,41.79999924,42.40000153,44.09999847,44.09999847,39.59999847,41.09999847,40.40000153,41.59999847,40.09999847,41
Philippines,,,,,,,,,,,,,,,,,,,32.5,32.59999847,33.29999924,33.29999924,34,32.90000153,32.09999847,31.60000038,30.89999962,31
Poland,,,,,,,,,,,,,21.20000076,21.5,21.79999924,20,19.60000038,19.60000038,18.70000076,18.29999924,18.20000076,19,18.5,17.10000038,16.79999924,16.10000038,15.5,14.89999962
Portugal,,,,,,,,,,,,,21.79999924,22.5,23.20000076,23.10000038,24.5,25.39999962,23.60000038,22.60000038,20.89999962,21.60000038,22,22.60000038,21.39999962,21.20000076,20.60000038,20.60000038
Puerto Rico,,,,,,,,,,,,6.099999905,6.099999905,5.800000191,5.300000191,5.900000095,6.099999905,6.300000191,6.400000095,6.300000191,6.300000191,6.400000095,6.900000095,6.5,7.099999905,6.900000095,8.399999619,8.899999619
Qatar,,,,,,,,,,,,,,,,,,0,,,,,,,0.1000000015,,,
Moldova,,,,,,,,,,,,,,,,,,,,26.29999924,29.29999924,30.29999924,30.79999924,31.60000038,33.90000153,34.5,26.89999962,27
Romania,,,,,,,,,,,32.09999847,31.10000038,20.60000038,19.39999962,19.79999924,22.79999924,17.20000076,16.89999962,16.70000076,16.5,17,17.29999924,16.5,15.10000038,12.69999981,13.5,13,13.5
Russia,,,,,,,,,,,,,5.599999905,5.199999809,5.400000095,5.400000095,5.199999809,3.799999952,3.599999905,10.5,9.600000381,7.699999809,7.400000095,6.599999905,6.800000191,7.199999809,6.800000191,6.599999905
Rwanda,,,,,,,,,,,,,,,,,65.5,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,13.10000038,,,,,,,,,,7.800000191,,,,,,
Saint Lucia,,,,,,,,,,,,,,20.79999924,25.10000038,24.29999924,27,23.29999924,25.20000076,23.89999962,26.89999962,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,17.79999924,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,14,13.39999962,12.80000019,12,11.10000038,,9.199999809,9,8.699999809,8.199999809,8.100000381,7.699999809,7.099999905
Sao Tome and Principe,,,,,,,,,,,,29.20000076,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,58.70000076,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,13.39999962,12.19999981,10.80000019,11.30000019
Seychelles,,,,,,,,6.099999905,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,6.599999905,6.800000191,5.599999905,6,,5.5,5.699999809,5.199999809,5.5,4.699999809,5.900000095,6,6.099999905,7.400000095,5.099999905,7.400000095,7.800000191,8,8.199999809,,9,8.800000191
Slovak Republic,,,,,,,,,,,,,,,3.200000048,3.599999905,3.400000095,3.700000048,4,4.199999809,4.400000095,4.699999809,4.599999905,5.699999809,6.800000191,6.800000191,7.300000191,7.199999809
Slovenia,,,,,,,,,,,,,,7.599999905,7.099999905,7.599999905,7.800000191,7.5,7.900000095,7.800000191,6.5,7,6.900000095,5.099999905,6,5.699999809,6.699999809,7.099999905
South Africa,,,,,,,,,,,,,,,,,,,,,,18.29999924,19.20000076,17.70000076,18.79999924,,,18.29999924
Spain,15.5,15.60000038,15.5,16.39999962,16.70000076,16.79999924,17.20000076,17.89999962,17.89999962,16.5,15.69999981,15.5,15.69999981,16,16.10000038,16.70000076,16,15.10000038,14.80000019,13.69999981,12.89999962,12.89999962,12.19999981,11.80000019,11.89999962,12.10000038,11.80000019,11.89999962
Sri Lanka,,,,,,,,,,,,,,,,,,19.89999962,17.79999924,18.10000038,18,18.60000038,16.20000076,19.5,19.60000038,23.60000038,23.60000038,23.20000076
Suriname,,,,,,,,,,,,,,,,10.30000019,9.399999619,8.699999809,9.399999619,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,29.39999962,,,,,,,,,,
Sweden,4,4.099999905,4.400000095,4.300000191,4.199999809,4.300000191,4.199999809,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,7.599999905,8.5,9.399999619,9,8.899999619,10.89999962,11.60000038,11.5,11.39999962,11.69999981,10.89999962,10.80000019,11.60000038,10.39999962,10.5,10.19999981,10.69999981
Syria,,,,,,,,,,,,,,,,,,,,,,9.199999809,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,91.40000153,,,,,80.90000153,
Thailand,,,,,,,,20,17.39999962,17.10000038,18.29999924,18.79999924,18.29999924,19,19.70000076,21,21.39999962,19.70000076,21.10000038,22.20000076,21.39999962,24.20000076,23.29999924,24.70000076,25.70000076,26.39999962,26.60000038,27.70000076
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,7.900000095,6.099999905,7.800000191,8.399999619,9.300000191,7.800000191,7.599999905,7.5,8.5,8.199999809
Tonga,,,,,,,,,,,,,,,,,25.79999924,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,16.60000038,16.89999962,15.60000038,16,16.20000076,16.10000038,16.10000038,16.39999962,16.10000038,16.39999962,17,15.19999981,16.39999962,16.39999962,17.20000076,14.89999962,14.89999962,13.30000019,14.19999981,,
Tunisia,,,,,,,,,,19.29999924,,,,,29.20000076,,,,,,,,,,,,,
Turkey,,,,,,,,,7.099999905,8.100000381,9.199999809,8.600000381,11.30000019,8.600000381,10.5,9,8.300000191,10,9.199999809,9.5,12.60000038,13.60000038,13.5,12.89999962,11,14.5,14.30000019,13.30000019
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,2.299999952,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,48.59999847,52.09999847,,,,
Ukraine,,,,,,,,,,,,,,,,11.5,12.60000038,18.70000076,19.60000038,7.800000191,9.300000191,9.399999619,10.30000019,10.60000038,15.69999981,18.89999962,19.70000076,20.20000076
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,1.299999952,,
United Kingdom,3.900000095,4.400000095,4.900000095,5.300000191,6.5,6.800000191,6.599999905,7.199999809,7.199999809,7.300000191,7.400000095,7.099999905,6.900000095,7,7.099999905,7,7,7.199999809,7.199999809,6.699999809,6.800000191,6.5,6.5,7.400000095,7.400000095,7.199999809,7.599999905,7.699999809
United States,5.400000095,5.599999905,5.800000191,6,6,6,5.800000191,6,6.099999905,6.199999809,6.199999809,6.300000191,5.900000095,6,6.900000095,6.699999809,6.699999809,6.599999905,6.300000191,6.099999905,6,5.900000095,5.800000191,6,6,5.800000191,5.900000095,5.699999809
Uruguay,,,,,,,,,,,,,,,,,,,20,20.60000038,20,21.79999924,27.39999962,21.60000038,,21.79999924,23.10000038,24
Venezuela,,,,,,,,,,,,,,,28,30.70000076,33.59999847,33.40000153,38.90000153,38.59999847,39.70000076,39.70000076,40.79999924,41.70000076,,,37.40000153,37.70000076
Vietnam,,,,,,,,,,,,,,,,,24.60000038,28.79999924,28.89999962,29.89999962,30.29999924,28.39999962,29.5,30.89999962,31.60000038,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,14,13.69999981,13.60000038,15.5,10.69999981,9.100000381,9.800000191,12.5,11,12.69999981,13.5,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,85.80000305,,,,,,,,
Zambia,52,,,,,,,,,,26.20000076,36.79999924,,,,,47.5,,51.90000153,,29.20000076,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,61.29999924,,,61.79999924,,,,,63.20000076,,,,,
