Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
"Macao, China",5.681818182,8.045977011,10.22727273,9.523809524,8.064516129,9.6,13.93442623,11.11111111,10.9947644,10.47619048,10.43478261,10.58823529,11.18881119,15.05016722,21.03559871,26.95924765,33.02752294,37.6899696,40.72948328,43.11926606,46.27329193
"Macedonia, FYR",11.908646,9.347181009,8.284883721,8.038147139,9.043927649,9.650180941,9.706546275,11.0989011,12.39495798,14.27115189,15.80516899,17.19056974,18.81091618,21.07317073,23.2195122,25.17140059,27.12871287,29.11646586,31.41683778,33.71727749,35.59139785
Madagascar,5.95358224,5.993690852,6.047256708,6.219081272,6.325581395,5.738146552,5.101802013,4.867529267,4.760213144,4.812671337,4.831548707,4.807692308,4.883835887,5.281506014,5.78429092,6.371866295,7.065286021,7.920277296,8.866023351,9.63933125,10.84236476
Malawi,5.227882038,4.805352798,4.475982533,4.261501211,3.965884861,4.540461369,4.742589704,4.508856683,4.578563996,5.006818625,4.871923656,4.911362976,5.147058824,5.341312057,5.637231039,5.920995765,6.044382371,6.065516027,6.435995094,6.984921628,7.702957138
Malaysia,7.181389076,5.858350335,5.144855145,4.782237404,5.434580309,5.582922824,5.838454785,5.949627345,6.066382597,6.178444532,6.566407275,7.043147208,8.176924196,9.794127573,11.84876075,14.07708882,16.04437075,17.90052212,19.67483131,21.84205086,23.90996459
Maldives,8.108108108,7.317073171,6.52173913,6.12244898,5.357142857,7.692307692,6.578947368,5.681818182,3.80952381,4.132231405,5.185185185,4.861111111,5.732484076,5.988023952,7.222222222,9.844559585,11.44278607,15.16587678,17.88990826,22.12389381,25.76419214
Mali,5.285920231,5.612019443,5.555555556,5.502567865,5.224380442,5.09456986,4.909344491,4.744988582,4.523536165,4.39742792,4.336399474,4.205607477,4.078908336,3.985746338,4.172576832,4.469810113,4.951456311,5.52790615,6.149317197,7.008249451,8.054968288
Malta,10.12658228,9.87654321,11.04294479,10.42944785,13.92405063,14.55696203,15.06024096,14.85714286,15.93406593,17.80104712,18.97435897,20.19704433,23.78640777,25.60386473,28.90995261,30.66037736,30.8411215,32.24299065,34.43396226,36.19047619,37.98076923
Martinique,7.826086957,7.874015748,8.163265306,8.176100629,8.875739645,10,12.5,13.71428571,14.51612903,16.06217617,17.82178218,18.26923077,21.02803738,23.39449541,26.48401826,30.73394495,34.38914027,35.94470046,37.32718894,37.73584906,38.34951456
Mauritania,2.416918429,3.457446809,3.720930233,4.408817635,4.695652174,4.833836858,4.993429698,4.936854191,4.954499494,5.057675244,5.050505051,5.084745763,5.190102595,5.331882481,5.806451613,6.481058877,7.357293869,8.553409539,9.830007391,11.24301676,12.6413839
Mauritius,4.471544715,4.87804878,4.833836858,4.774535809,5.072463768,5.530973451,6.924643585,7.240704501,8.174904943,9.010600707,10.11608624,11.42857143,12.90322581,15.19174041,17.38505747,19.86013986,22.51381215,25.17006803,27.00135685,28.22252374,29.30800543
Mayotte,0,0,0,0,0,0,0,0,2.272727273,3.278688525,4.054054054,4.597701149,5,6.194690265,7.142857143,7.857142857,9.803921569,10.97560976,13.2183908,15.05376344,17.94871795
Mexico,5.59977056,5.401234568,5.578045318,5.818181818,5.88958942,5.957924634,6.0131438,6.547275683,7.12400428,7.658212795,8.078254985,8.870771249,9.859380562,11.5429175,13.55581128,15.85577551,18.72877018,22.24098328,25.28465924,27.73786131,29.96214007
"Micronesia, Fed. Sts.",0,0,0,4,3.571428571,6.451612903,5.555555556,4.761904762,6.52173913,5.882352941,3.703703704,5.555555556,7.272727273,7.407407407,8.928571429,9.836065574,9.677419355,11.29032258,11.11111111,13.55932203,16.39344262
Moldova,13.21056845,11.42857143,10.51314143,10.66591422,11.08207005,12.43243243,12.62411348,13.91147245,15.04811899,15.29982363,16.77570093,17.36040609,18.27384124,20.74848652,23.38028169,25.70768342,26.46007151,27.43034056,28.53470437,30.877428,35.15406162
Mongolia,5.943152455,6.018518519,5.578512397,5.464480874,5.388272583,5.248618785,5.307599517,5.473684211,6.648697215,6.431718062,5.804311774,6.298600311,6.588579795,7.463718037,9.276315789,11.66456494,14.16361416,16.97438952,19.8245614,22.82420749,26.45714286
Montenegro,11.53846154,10.76233184,12.03319502,11.11111111,11.69811321,12.94964029,12.4137931,12.80276817,14.52702703,15.16129032,16.04938272,18.23899371,19.81132075,22.01257862,23.75,25.23364486,26.39751553,27.27272727,28.70662461,30.47619048,32.05128205
Morocco,4.783191775,4.600197433,4.591573517,5.207082833,5.983241686,5.060073937,6.083844581,5.638727028,6.327383824,6.691751512,7.516990458,7.890998321,8.468304519,9.519456031,11.35342822,13.27959489,15.2517914,17.55732561,19.94438946,22.78299487,25.29916872
Mozambique,5.130540376,5.133239832,5.166240409,5.264373124,5.283878989,5.369994464,5.385359561,5.448154657,5.700141443,5.397625045,5.4207973,5.474995352,5.605530568,5.858784397,6.202032773,6.589492431,6.952688804,7.248278124,7.362277289,7.578388808,8.142667945
Myanmar,6.18640148,6.332426209,6.514382403,6.780089278,6.96942446,7.076189846,7.337340877,7.546472328,7.868646322,8.106405005,8.1699208,8.272841559,8.723247804,10.29395534,12.04798086,13.95853097,16.12373572,18.65573666,21.06122449,23.52085654,25.47022184
Namibia,7.346938776,6.593406593,6.25,6.376811594,6.329113924,5.90809628,6.32183908,6.091370558,5.662983425,5.676328502,5.686695279,5.772994129,6.339285714,7.066557108,7.914764079,8.760683761,9.249329759,9.43275972,9.9756691,11.02040816,12.52105559
Nepal,4.159085001,4.625237192,4.90428049,5.082444229,5.187618883,5.24534687,5.27463541,5.327226708,5.463840665,5.624015566,5.931372549,6.364167763,6.700825126,7.257523042,8.006288249,8.986953584,10.15681895,11.5194508,13.150804,14.98961363,17.06644279
Netherlands,11.8841151,12.8613788,13.89901093,14.93748985,16.00061246,16.95335277,17.84511785,19.23234531,19.92595531,20.24587015,20.46754539,21.1790393,23.60929124,25.68742656,27.94339404,30.39092055,32.55708281,33.69503787,33.73657434,33.54538226,33.50857143
Netherlands Antilles,12.28070175,9.523809524,8.571428571,8.108108108,7.5,7.228915663,10,10.75268817,10.1010101,11.88118812,13.68421053,14,16.03773585,19.46902655,22.12389381,25.89285714,31.03448276,34.23423423,38.53211009,42.85714286,43.68932039
New Caledonia,6.666666667,6.25,5.555555556,4.651162791,3.921568627,4.918032787,5.797101449,6.578947368,7.228915663,7.368421053,8.490566038,11.01694915,11.9047619,13.23529412,15.97222222,17.8807947,20.49689441,22.61904762,24.85549133,26.66666667,28.10810811
New Zealand,13.59325606,13.57210179,13.3163698,13.20610687,13.76863023,14.23027167,15.22425774,15.96842744,16.80280047,16.87198715,16.99745547,17.64141898,19.32078935,20.94356261,23.14225053,25.82101806,27.90419162,29.1065158,29.70903522,30.36925396,31.18719762
Nicaragua,4.915514593,4.617414248,4.391891892,4.364694471,4.416666667,4.516129032,4.808877928,5.01618123,5.351976856,5.431993157,5.739945334,6.297779396,6.596395784,7.733585859,9.139307897,10.54840515,12.17298452,14.09137577,16.46326276,19.22046285,21.98990627
Niger,1.759755164,2.237288136,2.865671642,3.113648158,3.325842697,3.354134165,3.468013468,3.484320557,3.494757863,3.561526978,3.639985512,3.756298672,3.668683812,3.45658322,3.44012605,3.567496146,3.769387629,4.013412973,4.338638612,4.723114279,5.179572348
Nigeria,5.75616541,5.80460883,5.785340314,5.624706435,5.490045138,5.343936628,5.228357373,5.205466673,5.146277682,5.096518131,5.123570343,5.21305466,5.27022746,5.480656172,5.74948238,6.056773872,6.407101033,6.942177519,7.769041922,8.819949554,9.987250319
Norway,15.05768063,15.91173055,17.47356706,18.53240493,19.96919918,21.13095238,22.52427184,23.71428571,23.57875116,22.59528131,21.64310954,21.82284981,22.90045063,23.90011891,25.2688172,26.75846669,28.59725235,30.04231312,30.5805114,30.94429348,31.42570281
Oman,4.484304933,4.417670683,4.912280702,4.90797546,4.736842105,4.625550661,4.432624113,3.857142857,3.921568627,3.703703704,3.956478734,4.50928382,5.031446541,5.720338983,6.653870761,7.903981265,9.376693767,11.53846154,14.23793598,17.12079927,19.9045967
Pakistan,10.08343786,9.215578716,8.508341953,7.942916533,7.364287204,6.58829146,5.936702399,5.473357035,5.195365906,5.240376199,5.461780105,5.891359008,6.263944668,6.652967121,7.240189698,8.030044783,9.004233189,10.1592159,11.50795532,13.1908655,15.34092989
Panama,6.474820144,7.098121086,6.702898551,6.5830721,6.258503401,6.516587678,6.770833333,7.089552239,7.394957983,7.791225416,8.287671233,9.005628518,10.17241379,11.44385027,13.06306306,15.12011305,17.35241503,19.54662104,21.26341866,22.91666667,24.51057165
Papua New Guinea,6,4.891304348,4.291417166,4.125560538,4.186795491,4.151753758,2.201467645,2.541883304,2.864321608,3.228621291,3.674242424,3.925482369,4.45559162,5.105820106,5.996641881,7.164767748,8.373688458,9.617547807,10.51984545,11.44468403,12.55718568
Paraguay,5.073431242,5.405405405,5.480868666,5.732484076,5.9437751,6.088825215,6.30517024,6.499180776,6.619047619,6.655433867,6.888720666,7.397260274,7.971241013,8.9706728,10.05869797,11.18338754,12.39669421,13.48617667,14.98167709,17.18620116,19.43491423
Peru,6.096595408,6.040892193,6.026785714,5.941290209,5.973113352,5.994948824,6.018357151,6.208174611,6.5664484,7.069775243,7.681025166,8.402997982,9.311493237,10.4925191,11.91186317,13.60556038,15.44138046,17.46133676,19.70074813,21.85215272,24.14636581
Philippines,6.785394488,6.175281672,5.616478957,5.25210084,5.273588022,5.408256221,5.444714561,5.528061879,5.487863999,5.696166042,6.060527409,6.573301268,7.187896787,8.266133027,9.506919302,10.87427373,12.31766613,13.82687155,15.51835917,17.32530565,19.31981038
Poland,9.388948746,9.747139426,10.91645967,12.61200025,14.64111415,15.90909091,15.50523603,16.39120625,17.45584848,18.45757836,19.50085885,20.09324482,22.46586468,25.83754016,28.99086336,30.69003172,31.78685048,33.69222403,36.42777156,39.61576298,41.80804508
Portugal,12.01283815,12.37413292,13.04912357,14.07643312,15.74318382,16.61783173,17.48914331,18.84030052,20.80108359,22.46780703,23.77173091,24.64167585,26.21973256,27.92161093,29.92253648,32.29960102,34.58866545,37.19771091,39.62228871,41.09146226,41.43078713
Puerto Rico,6.25,7.079646018,7.718120805,8.106060606,9.668109668,9.507978723,11.40243902,12.38425926,13.81397909,15.03916449,16.46464646,18.68239921,21.43200384,23.8700565,26.39146568,28.60422406,30.47053449,31.9431714,33.53321033,34.77653631,35.73446328
Qatar,0,0,0,0,2.631578947,3.50877193,1.204819277,1.709401709,1.307189542,2.222222222,1.860465116,3.347280335,2.69541779,3.073286052,2.649006623,3.87755102,5.152671756,6.797853309,8.89261745,11.37440758,13.23308271
Reunion,7.751937984,7.333333333,6.32183908,6.060606061,6.302521008,7.228915663,7.751937984,9.154929577,9.385113269,10,10.56910569,11.66253102,12.55813953,14.31718062,16.31799163,19.36127745,22.15799615,24.1187384,24.68239564,25.71428571,26.71353251
Romania,9.782093794,11.10493553,11.9469496,13.41501081,14.51299961,15.78898572,14.8826458,16.1612651,17.46895731,19.43747296,21.27340162,21.70738303,22.95759133,25.06539611,26.99485812,27.3848844,30.22076372,32.80277523,35.95258078,37.86271113,40.4727232
Russia,11.26861471,11.3179806,11.834658,13.47139074,15.52974305,17.75216138,17.89086532,18.55130105,20.52766563,20.89380094,22.51433545,21.23122615,22.05308095,24.09706546,26.71872649,28.81365409,29.66273115,30.87929432,32.29487549,34.49708671,36.74714309
Rwanda,4.197080292,4.060509554,4.166666667,4.130702836,4.081632653,4.030452306,4.214417745,4.709228824,4.848320693,4.766949153,4.69165659,4.451612903,4.399546828,4.654629783,5.198821797,5.610210051,5.880926397,6.288190201,6.981498518,8.496546504,10.19451813
Saint Lucia,6.976744186,4.651162791,6.52173913,8,7.547169811,8.620689655,8.474576271,7.8125,11.11111111,10.66666667,9.87654321,10.46511628,9.090909091,9.89010989,12.37113402,14.85148515,16.50485437,19.62616822,21.4953271,25.22522523,27.02702703
Saint Vincent and the Grenadines,8.333333333,5.405405405,6.976744186,6.52173913,6.382978723,10.20408163,8,7.547169811,9.090909091,9.615384615,11.11111111,9.433962264,10.71428571,11.32075472,14.81481481,15.09433962,17.85714286,20.33898305,20,22.58064516,21.66666667
Samoa,2.631578947,2.127659574,1.851851852,3.225806452,2.857142857,2.739726027,4,3.947368421,6.41025641,6.25,6.024096386,8.139534884,8.235294118,8.139534884,9.090909091,12.35955056,11.82795699,13.04347826,12.76595745,11.82795699,14.44444444
Sao Tome and Principe,3.703703704,3.846153846,3.703703704,0,8.571428571,7.317073171,8.163265306,7.692307692,5.172413793,4.838709677,6.944444444,5.263157895,4.819277108,5.555555556,7,6.481481481,7.826086957,8.73015873,9.62962963,12.5,13.51351351
Saudi Arabia,5.841269841,5.869074492,5.76827449,5.619412516,5.483870968,5.283018868,4.891304348,4.449852251,4.011619864,3.992560446,4.274792721,4.477046853,4.86041036,5.457015624,6.303038598,7.735257215,9.58975851,11.62117904,14.14611447,16.30060081,18.80870345
Senegal,5.804311774,5.514157973,5.170157068,4.9002849,4.680643588,4.535996671,4.414931802,4.361274358,4.33972311,4.312730627,4.301507538,4.259813413,4.117193524,4.050736498,4.299499206,4.736084984,5.438188618,6.399777076,7.570029215,8.868575094,10.30110935
Serbia,12.44945118,11.09603907,11.52049818,12.43107769,13.91241229,14.20612813,13.87718909,15.20342612,17.23421927,19.47092005,20.90340242,20.97130243,21.75135569,23.74521266,24.92906364,25.9085341,27.14550319,28.55659398,30.23109244,31.93438432,33.36219961
Sierra Leone,5.840886203,5.810684161,5.724197745,5.582137161,5.48245614,5.249169435,5.074626866,4.925053533,4.484732824,4.229460379,3.939532753,3.652968037,3.510531595,3.519236505,3.645135352,3.951515152,4.40431623,5.012077295,5.752867185,6.567470498,7.410941476
Singapore,4.848484848,4.207119741,4.510309278,5.366922234,6.120434353,7.058823529,7.939189189,8.558558559,9.012016021,10.01157407,11.37274549,13.11939594,17.03365185,22.10776545,28.0245023,33.61812779,37.90469262,40.24522178,41.06753813,41.59292035,42.4368163
Slovak Republic,10.89275688,11.16803279,12.11121583,13.50987433,15.25719268,15.125,14.98023715,15.46982429,16.94599628,17.51001092,17.93851718,18.98414986,20.70326516,23.40121472,25.90876693,27.94697241,29.51829047,31.87338977,34.97370398,37.67281106,39.63750985
Slovenia,11.16883117,12.125,13.93939394,15.64705882,16.93735499,17.85714286,17.10665259,18.37782341,19.63746224,21.38613861,22.86555447,23.92578125,25.67567568,28.11900192,30.46800382,32.75862069,34.55245428,36.19512195,38.22660099,39.52333664,40.06024096
Solomon Islands,0,2.083333333,3.703703704,3.125,3.896103896,3.296703297,2.777777778,3.846153846,4.605263158,4.022988506,4.04040404,4.824561404,5.03875969,5.555555556,5.956112853,6.857142857,8.093994778,9.268292683,10.90909091,12.5,13.96303901
Somalia,5.179982441,5.34171249,5.337078652,5.427323768,5.271828666,5.187319885,5.069124424,4.979769686,4.891956783,4.734446131,4.738955823,4.627432368,4.644750795,4.902867715,5.12987013,5.386483783,5.713563393,6.109107304,6.698467472,6.96880192,7.51014885
South Africa,6.654047758,6.905503634,6.944923537,6.923540036,6.450185808,6.033814177,5.885573501,5.798588065,5.903900022,6.221121326,6.772157447,7.525295973,8.519951538,10.02216956,11.63070446,12.86938534,13.63603289,13.88449367,14.02789171,14.71568349,15.86775694
Spain,12.42922248,12.9669015,13.70160107,14.11351384,15.90698751,16.88325931,17.59753164,19.21013641,21.2245104,23.15192518,23.9608683,23.99652556,24.82250969,25.65072957,27.16160788,29.54619125,32.33073649,35.28920027,38.102374,39.48842493,39.5269742
Sri Lanka,10.37155841,7.741935484,6.311803072,5.763153002,5.767963085,6.141263941,6.629609544,7.51067571,8.33527901,9.21009144,9.933071284,10.75443038,13.17515432,15.88698472,18.61845656,21.49796856,24.12617966,25.24769685,26.77048895,29.30762489,30.98942128
Sudan,5.57483731,5.463320463,5.194805195,5.049894164,5.028601836,5.03720664,5.074305827,5.118570474,5.208101491,5.320813772,5.506544427,5.785338952,6.156142151,6.555785386,7.073509015,7.675898603,8.424460669,9.372100217,10.51879085,11.84312639,13.31690253
Suriname,8.333333333,8.064516129,6.206896552,5.988023952,5.85106383,5.524861878,6.666666667,7.065217391,8,8.372093023,9.523809524,9.677419355,10.38461538,11.27272727,13.38028169,15.30612245,17.60797342,19.48051948,21.08626198,23.1511254,24.67948718
Swaziland,5,5,4.444444444,4.901960784,4.700854701,4.79704797,5.047318612,4.838709677,4.595185996,4.761904762,5.008944544,5.363321799,5.872756933,6.574923547,7.070707071,7.290233838,6.878306878,6.361323155,5.896805897,6.30952381,7.407407407
Sweden,15.87166383,16.7718913,18.45333333,19.65392562,21.18202136,22.81895504,23.9980916,25.8987701,25.25975525,24.5912654,24.54809194,25.43706294,26.9017094,27.71841609,28.43076923,29.41531043,30.44681692,31.18531537,31.25482625,31.24761541,31.76847662
Switzerland,15.16646116,15.8546017,16.83060109,17.41011984,18.57594937,19.72307692,20.6960271,21.67621345,22.19959267,22.32093282,22.8781284,23.88845041,25.28292181,26.58770161,28.34937084,30.75435203,32.8113879,33.83107793,34.16992862,34.41617447,34.62746858
Syria,6.242638398,6.040268456,5.577689243,5.165912519,4.839223177,4.643048846,4.489337823,4.39888164,4.454660748,4.669798287,4.951705587,5.050184892,5.232923436,5.910635829,6.792307692,8.125800484,9.800531915,11.83872785,14.33747105,17.18616931,19.82607744
Tajikistan,6.970849176,7.19738277,7.605633803,8.131352619,8.310991957,7.687894435,7.167919799,7.136640557,7.196401799,6.511950121,5.847953216,5.486511064,5.471803462,6.052899288,7.268053283,8.907234412,10.22122081,11.46036704,12.70168856,14.58409008,17.54416961
Tanzania,4.059229002,4.207699194,4.302121861,4.406323579,4.483656349,4.553307009,4.593564776,4.652217285,4.700023344,4.799365373,4.959590674,5.153061224,5.333569593,5.401879916,5.482581382,5.545473478,5.667499601,5.961501628,6.466126193,7.123532922,7.928116453
Thailand,5.617758738,5.439365829,5.504320674,5.579452653,5.730009712,5.909155631,6.120459458,6.604521267,7.862364684,9.16093354,10.30000946,11.02947765,12.4166402,14.70695611,17.58730507,20.73298994,23.71216357,26.03742665,27.46319067,28.47045743,29.19544521
Timor-Leste,6.018518519,4.867256637,5.241935484,5.514705882,5.016722408,4.819277108,3.873239437,3.416149068,3.351955307,3.883495146,4.511278195,4.938271605,5.217391304,5.425219941,5.660377358,5.664488017,5.848513902,5.811965812,5.909439754,6.726768377,7.760252366
Togo,6.537890045,6.164383562,5.897114178,5.64516129,5.709023941,5.555555556,5.460992908,5.434140579,5.337361531,5.354752343,5.431912486,5.680317041,6.01635514,6.411258796,6.907894737,7.48502994,8.190925162,9.054545455,10.27292761,11.74411203,13.32831325
Tonga,0,0,0,2.5,2.222222222,2.173913043,4.166666667,4.444444444,6.52173913,8.333333333,8.333333333,8,7.843137255,10,11.11111111,10.71428571,12.5,12.06896552,13.33333333,16.39344262,15.25423729
Trinidad and Tobago,6.5830721,6.388888889,6.382978723,6.401766004,7.317073171,7.874015748,8.487084871,8.614864865,8.899676375,9.316770186,9.954751131,10.79881657,12.17391304,13.83737518,16.78321678,20.24965326,22.63888889,24.54417952,26.88477952,30.23255814,33.33333333
Tunisia,9.044657999,7.708119219,6.414552417,5.293339215,6.520061728,5.223613596,5.337519623,5.747444045,6.919477961,8.502939846,9.248184537,9.602446483,10.21713843,11.73864895,13.80406002,16.15972812,18.73141724,21.44936914,24.44196429,27.54538279,30.51539912
Turkey,7.174054456,7.194714088,6.911183028,7.019783025,7.070253271,7.01780489,6.952714536,6.828575934,7.180669091,7.895604033,8.417192047,8.976569345,9.806835067,10.91680048,12.48656267,14.50911256,16.80805938,19.50973664,22.18685208,24.65632203,26.44258159
Turkmenistan,9.546925566,8.670520231,8.241082411,8.212058212,8.363309353,7.974980453,7.295251204,7.251675807,7.427341227,7.223796034,7.628233231,6.97105585,7.083015994,8.011444921,9.874873182,12.08791209,13.87066542,15.71125265,17.65402844,19.88372093,22.75604143
Uganda,4.99032882,4.625253207,4.454865182,4.51276965,4.505263158,4.546284462,4.576910978,4.588884403,4.615902965,4.665526416,4.448979592,4.376611611,4.274872525,4.162457062,3.938304233,3.760048081,3.820417312,4.227989584,4.846925379,5.689991902,6.711233451
Ukraine,12.69200056,12.62290725,12.98652223,14.73776853,16.93809818,19.45960087,19.51291296,20.89134465,22.86940527,22.49287853,24.95235917,24.69218892,25.07350539,26.39227215,28.41208767,30.19972298,31.15354312,32.4408918,33.86023711,35.82182536,37.57886223
United Arab Emirates,5.882352941,5.128205128,4.651162791,4.918032787,5.952380952,4.320987654,2.848101266,3.024193548,2.329192547,2.065613609,2.376425856,1.990811639,2.130406714,2.701149425,3.872318158,5.652173913,8.098434004,12.15767635,17.20263464,20.59788553,21.75268445
United Kingdom,17.30030722,18.43765346,19.49446494,20.35806175,21.59737494,22.59248995,22.89014942,23.61784842,23.51801496,23.18549063,22.97203376,23.22861505,24.53351104,25.15826713,26.18498513,27.93121882,29.49506133,30.2743614,30.42728763,30.80161718,31.38350584
United States,13.09159049,13.93206812,14.36935501,14.85269968,15.74501992,16.75965126,17.7682066,18.52078289,18.62130569,18.20008997,17.99571986,18.51280348,19.93360232,21.82891207,24.07268221,26.03416718,27.20587444,27.87721773,28.29132514,28.74137688,29.29978497
Uruguay,12.2965642,12.47877759,12.68715524,13.24944486,13.96172927,15.52447552,16.09427609,17.15210356,18.35205993,19.31407942,19.70845481,20.49941928,21.03151862,21.83972912,22.82065519,24.05479452,25.10845987,26.44049542,28.01285485,28.9614561,30.16639828
Uzbekistan,8.63022113,8.537234043,8.846153846,9.481284439,9.781901042,9.116448939,8.226443019,8.028245519,7.712330088,7.333968309,7.440404527,6.966903431,7.117819587,8.151147099,10.01719417,12.2096197,14.03703487,16.0093203,17.97283758,20.43699688,23.52272112
Vanuatu,0,0,0,2.702702703,2.631578947,4.255319149,3.703703704,3.225806452,5.479452055,4.761904762,4.301075269,4.672897196,4.918032787,5.223880597,7.236842105,8.333333333,8.888888889,11.16751269,11.42857143,12.88888889,15.12605042
Venezuela,3.54017502,4.180274331,4.439063761,4.71297744,5.097224844,5.309171833,5.484779402,5.751283248,6.236581127,6.724452555,7.217090069,7.99488568,9.165053912,10.6264412,12.2349982,14.18728115,16.06011809,17.72145391,19.67367586,21.71147731,23.82073251
Vietnam,7.676092171,7.860551432,7.991002723,8.241442383,8.089053803,8.029317984,8.020552438,7.883641118,8.007252734,8.626906333,8.911039123,9.741141225,10.04220347,11.4124222,13.80484345,16.72124118,19.7605695,22.53879326,24.74055023,26.43865558,28.54442681
Virgin Islands (U.S.),0,0,0,0,3.225806452,4.444444444,5.660377358,5.660377358,9.259259259,12.28070175,12.72727273,15.78947368,22.03389831,26.31578947,30.35714286,33.33333333,35.18518519,37.25490196,36.95652174,39.53488372,37.5
West Bank and Gaza,6.832298137,6.586826347,5.893536122,5.517241379,5.243445693,5.211726384,5.056179775,5.420991926,5.42340628,6.371406371,5.616526791,5.240410589,4.983848639,5.046055266,5.543859649,6.220839813,6.985805733,7.95368739,8.870967742,9.906462585,11.40142518
Western Sahara,0,0,0,0,0,0,4.347826087,3.529411765,2.884615385,4,4.026845638,3.414634146,3.984063745,4.391891892,6.432748538,8.130081301,10.65989848,14.14868106,16.93735499,20,22.4137931
"Yemen, Rep.",6.691623772,5.764304014,5.183752418,4.700557103,4.415909803,4.195804196,3.952380952,3.742574257,3.53692484,4.105648536,3.968784838,4.015406837,4.160066694,4.466555305,4.895015636,5.40847631,5.905854633,6.527220095,7.516213546,8.983611787,10.85851032
Zambia,4.587935429,4.422788606,4.444444444,4.6603032,4.661220567,4.744525547,4.719255942,4.722792608,4.776269482,4.804542477,4.883146494,5.022056328,5.17994278,5.258241025,5.220170455,5.055762082,4.886024815,4.866051823,5.177705977,5.622850307,6.323560136
Zimbabwe,5.886627907,5.849408836,5.79787234,5.507900677,5.321592649,5.075978015,5.027322404,4.794058069,4.810800532,5.008431703,5.407104684,6.081816768,6.510416667,7.044218162,7.135614702,6.83538316,6.218020022,5.949873631,6.883116883,9.210901149,12.19313344
