Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Belgium,17.16963877,18.22419534,19.51114923,20.57356608,21.34717135,21.71565687,21.11022682,22.46477476,23.49468713,24.28238945,24.77910104,24.56766917,25.71009712,27.24324324,29.18218911,31.20728929,32.76131045,33.83768913,34.42678968,34.73451327,34.86160638
Belize,5.882352941,5.128205128,6.382978723,5.555555556,6.349206349,7.462686567,5.714285714,5.063291139,5.434782609,6.481481481,5.64516129,5.673758865,5.769230769,7.514450867,8.021390374,9.547738693,12.14953271,13.39285714,16.03375527,17.69547325,20.15810277
Benin,11.59817352,10.16799293,9.507923269,8.979278588,8.408617095,7.816377171,7.302452316,6.682464455,6.224406224,5.876216968,5.84182145,5.903398927,5.87977183,5.815279361,5.965437022,6.295969403,6.80951755,7.392026578,8.140790326,9.069283378,10.12669849
Bhutan,3.75,4.166666667,3.703703704,4.724409449,4.794520548,4.093567251,4.87804878,4.761904762,5.576208178,6.4,6.474820144,7.142857143,7.185628743,7.73480663,8.717948718,9.661835749,10.82949309,12.61061947,14.61864407,17.48971193,20.95808383
Bolivia,5.955882353,5.882352941,5.85106383,5.857519789,5.86029067,5.918874172,5.858511422,6.032482599,6.422836753,6.716219804,7.033492823,7.293249403,7.856006364,8.53411808,9.402882636,10.40555825,11.64750958,13.227746,14.88700565,16.75801589,18.94638321
Bosnia and Herzegovina,6.961566352,6.262359921,6.584615385,7.167630058,8.360836084,9.081364829,9.214501511,10.37780966,12.20183486,14.76079347,17.93933054,19.19551935,20.80984111,23.4625323,26.55840754,29.82924226,32.73125342,35.36723164,37.69817968,40.17146356,42.82034771
Botswana,7.981220657,7.5,6.617647059,6.41025641,5.555555556,4.750593824,4.391217565,4.737732657,4.941860465,5.108556833,5.638665132,6.175514626,6.795131846,7.93499044,8.925318761,9.312445605,9.060402685,8.617886179,8.760852407,10.03062787,12.02672606
Brazil,5.331274358,5.499065539,5.780774607,5.836410111,6.066153526,6.32130857,6.462199905,6.684613246,7.279515319,7.916058886,8.817619345,9.702426402,11.09420195,13.02102509,15.33653079,18.09121637,20.67149737,23.25467628,26.20409751,29.34276655,31.91681977
Brunei,8.695652174,6.451612903,7.5,6.25,4.761904762,6.41025641,3.333333333,4.672897196,4.132231405,3.597122302,3.773584906,4.519774011,5.583756345,6.103286385,8.620689655,10.31746032,12.6394052,15.03496503,18.15181518,20,22.35649547
Bulgaria,11.02839813,11.67553191,12.43654822,13.93422655,15.7089025,17.07875458,16.79784124,18.77496671,20.86781481,23.24108818,24.42766683,25.50841075,27.57552285,29.28514483,30.9255699,32.40159726,34.06789756,36.18810339,38.59191656,40.30054645,41.87880961
Burkina Faso,3.348789284,3.849809886,4.296875,4.51843044,4.726100967,4.778818211,4.786620531,4.654731458,4.45389436,4.270670827,4.119342261,4.044650623,3.865030675,3.823467453,4.024200202,4.378736468,4.857019687,5.428902628,6.11056096,6.883517888,7.751633345
Burundi,5.616224649,5.432451751,5.566470203,5.755395683,5.924300603,6.253256905,6.206252916,5.805168986,5.458290422,5.214917826,5.250525053,5.139072848,5.161290323,5.707714823,6.242840779,6.673728814,7.085053675,7.737725295,8.928309632,10.83333333,12.97154203
Cambodia,4.965517241,4.958677686,4.968715495,5.019556714,5.077899596,5.076142132,4.721148537,4.925303455,5.200945626,5.456702254,5.746427486,6.396738366,7.0703125,7.765470744,8.609715243,9.669663391,10.72452308,11.4764911,12.00613386,14.73036241,17.57266103
Cameroon,6.192358366,6.17729643,6.259097525,6.264274062,6.298757585,6.245259166,6.159895151,6.027966742,5.947351316,5.862361937,5.826949642,5.834919924,5.862310853,5.999277196,6.191338712,6.438418421,6.723219293,7.157304104,7.960441975,9.140557632,10.49103493
Canada,11.15543735,11.13832667,11.06079475,11.45982417,12.29986118,13.49364242,14.76275593,16.38361638,17.36235412,17.8549706,18.43294178,19.46777853,21.53756212,23.9010989,26.61103634,29.17509203,30.53592019,31.42745824,32.1342014,32.72862592,33.18737457
Cape Verde,7.594936709,8.602150538,9.615384615,9.090909091,9.420289855,8.724832215,8.441558442,7.01754386,7.407407407,7.211538462,8.225108225,6.8,6.741573034,7.368421053,8.609271523,10.37735849,12.04819277,13.95348837,16.14730878,18.94150418,22.25274725
Central African Rep.,8.469539376,7.757404795,7.47051114,7.151370679,7.096774194,7.01754386,6.759098787,6.751687922,6.706908115,6.478209658,6.446540881,6.456241033,6.367204536,6.514788169,6.762749446,7.04467354,7.29903537,7.717917676,8.311837203,9.217343878,10.42752868
