"TB incidence, smear-positive (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Laos,"3,275","3,341","3,407","3,471","3,532","3,588","3,640","3,687","3,729","3,767","3,799","3,826","3,849","3,868","3,887","3,907","3,930","3,954"
Latvia,412,427,440,468,558,674,806,903,922,918,890,875,828,763,703,643,590,537
Lebanon,454,461,470,481,498,486,444,383,354,331,310,267,234,212,204,203,217,232
Lesotho,"1,305","1,424","1,525","1,678","1,893","2,162","2,424","2,766","3,165","3,616","3,909","4,124","4,433","4,635","4,733","4,740","4,765","4,787"
Liberia,"1,889","1,890","1,887","1,897","1,944","2,046","2,216","2,450","2,720","2,986","3,217","3,397","3,534","3,652","3,785","3,963","4,196","4,474"
Libyan Arab Jamahiriya,588,590,607,596,601,598,592,566,551,543,539,531,523,512,499,489,483,477
Lithuania,663,695,759,846,960,"1,067","1,186","1,283","1,311","1,269","1,206","1,147","1,136","1,052","1,007",974,"1,003","1,032"
Luxembourg,39,38,36,34,33,32,32,31,30,29,28,27,27,26,26,26,26,25
Madagascar,"9,602","10,089","10,603","11,145","11,715","12,316","12,948","13,611","14,305","15,030","15,786","16,574","17,398","18,257","19,155","20,093","21,072","22,092"
Malawi,"10,400","11,487","12,430","13,355","14,385","15,129","15,346","16,198","17,133","17,900","18,764","18,821","19,406","19,636","19,894","19,722","19,078","18,386"
Malaysia,"9,635","9,814","9,985","10,150","10,313","10,476","10,638","10,796","10,947","11,087","11,213","11,325","11,429","11,528","11,625","11,723","11,815","11,904"
Maldives,125,121,118,114,111,107,103,99,95,91,87,84,80,76,73,70,67,64
Mali,"9,439","9,748","10,065","10,390","10,721","11,059","11,408","11,772","12,157","12,571","13,018","13,499","14,013","14,560","15,136","15,738","16,366","17,021"
Malta,18,17,17,16,15,15,14,14,13,13,12,12,12,11,11,11,11,11
Mauritania,"1,993","2,086","2,184","2,288","2,397","2,511","2,630","2,752","2,877","3,008","3,146","3,294","3,453","3,621","3,797","3,978","4,166","4,359"
Mauritius,132,132,132,132,132,132,132,131,131,131,130,130,129,129,128,127,126,125
Mexico,"28,207","26,862","25,582","24,365","23,209","22,110","21,069","20,079","19,122","18,181","17,248","16,323","15,416","14,543","13,722","12,961","12,258","11,604"
"Micronesia, Fed. Sts.",82,81,79,78,77,75,72,70,67,64,61,59,57,55,54,52,50,49
Monaco,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,"2,049","2,092","2,129","2,160","2,186","2,209","2,227","2,242","2,255","2,268","2,283","2,300","2,320","2,341","2,363","2,385","2,407","2,429"
Montserrat,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,"16,618","16,448","16,263","16,067","15,862","15,650","15,431","15,208","14,980","14,747","14,508","14,265","14,019","13,774","13,534","13,302","13,079","12,863"
Mozambique,"10,853","12,253","13,432","14,829","16,269","17,820","19,212","21,011","23,046","25,417","28,217","31,127","33,962","36,174","37,326","37,649","37,432","37,165"
Myanmar,"30,503","30,878","31,243","31,600","31,956","32,318","32,691","33,076","33,464","33,847","34,216","34,568","34,905","35,234","35,565","35,907","36,260","36,620"
Namibia,"2,006","2,282","2,485","2,700","2,911","3,145","3,363","3,664","4,015","4,424","4,895","5,367","5,807","6,126","6,260","6,259","6,177","6,088"
Nauru,4,6,6,6,2,6,6,6,6,2,4,2,2,1,5,0,2,3
Nepal,"20,893","20,988","21,090","21,194","21,295","21,391","21,480","21,566","21,643","21,709","21,761","21,797","21,818","21,828","21,832","21,833","21,832","21,827"
Netherlands,949,901,862,813,784,751,731,712,687,650,625,606,603,582,572,566,559,552
Netherlands Antilles,12,11,11,10,10,9,9,8,8,7,7,7,7,7,6,6,6,6
New Caledonia,72,70,70,18,31,23,29,27,29,24,22,21,23,13,17,18,10,13
New Zealand,155,157,146,148,160,173,168,163,178,182,184,165,172,171,172,165,150,134
Nicaragua,"2,450","2,395","2,342","2,291","2,238","2,184","2,127","2,070","2,011","1,951","1,891","1,831","1,771","1,712","1,654","1,598","1,544","1,492"
Niger,"4,389","4,623","4,872","5,137","5,418","5,714","6,027","6,358","6,709","7,081","7,474","7,889","8,327","8,790","9,280","9,799","10,348","10,928"
Nigeria,"54,646","62,074","67,889","74,444","81,164","88,686","95,786","105,261","116,223","129,049","144,081","159,665","174,850","186,855","193,419","195,761","195,352","194,731"
Niue,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
Northern Mariana Islands,14,21,34,23,23,16,29,23,29,17,30,21,23,18,16,17,17,16
Norway,199,189,180,170,164,157,152,148,143,135,130,126,126,122,120,119,118,117
Oman,217,200,169,148,133,136,135,137,129,132,133,140,129,129,125,137,143,149
Pakistan,"92,134","94,692","97,066","99,349","101,663","104,112","106,722","109,459","112,236","114,934","117,463","119,807","121,996","124,102","126,220","128,418","130,707","133,075"
Palau,4,3,2,9,12,10,4,8,5,22,5,4,10,6,6,3,7,6
Panama,623,634,645,657,670,683,696,710,724,738,752,766,780,794,809,823,837,851
Papua New Guinea,"4,636","4,756","4,880","5,008","5,139","5,276","5,416","5,560","5,706","5,851","5,995","6,135","6,271","6,400","6,520","6,628","6,722","6,815"
Paraguay,"1,407","1,440","1,473","1,506","1,538","1,570","1,602","1,633","1,663","1,694","1,724","1,754","1,784","1,814","1,844","1,874","1,904","1,934"
Peru,"37,890","36,583","35,295","34,024","32,772","31,538","30,326","29,138","27,978","26,849","25,753","24,692","23,667","22,677","21,725","20,808","19,928","19,082"
Philippines,"108,400","108,983","109,543","110,073","110,564","111,012","111,413","111,771","112,103","112,430","112,766","113,109","113,449","113,770","114,061","114,315","114,529","114,701"
Poland,"8,935","9,002","9,128","9,156","9,047","8,776","8,281","7,792","7,205","6,647","6,069","5,685","5,455","5,188","4,847","4,543","4,419","4,295"
Portugal,"2,984","2,858","2,728","2,662","2,599","2,560","2,475","2,421","2,317","2,178","2,030","1,994","1,937","1,825","1,658","1,558","1,457","1,355"
Puerto Rico,173,157,181,189,192,193,189,174,160,140,120,103,89,89,85,84,78,72
Qatar,127,128,132,144,167,180,172,160,160,175,182,187,187,184,194,208,237,264
"Korea, Rep.","31,926","28,283","25,464","22,185","21,181","19,892","19,084","17,838","16,629","14,738","15,145","15,616","17,631","17,146","17,690","18,355","18,882","19,409"
Moldova,"1,274","1,225","1,292","1,413","1,569","1,787","2,013","2,181","2,341","2,457","2,569","2,584","2,537","2,486","2,445","2,429","2,406","2,387"
Romania,"7,678","8,239","8,909","9,880","10,723","11,347","11,750","12,157","12,470","13,053","13,515","14,111","14,250","14,247","13,646","12,981","11,998","11,026"
Russian Federation,"30,130","28,310","30,683","34,427","40,266","48,979","57,832","62,553","66,755","70,537","74,106","72,586","69,048","66,663","66,261","66,246","67,224","68,223"
Rwanda,"4,738","5,082","5,098","5,064","5,085","5,353","5,894","6,885","8,215","9,760","11,401","12,918","14,239","15,172","15,638","15,829","15,875","15,926"
Saint Kitts and Nevis,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Saint Lucia,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13
Saint Vincent and the Grenadines,16,16,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16
Samoa,23,23,22,22,21,21,20,20,19,19,19,18,18,17,17,17,16,16
San Marino,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sao Tome and Principe,71,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,72
Saudi Arabia,"3,131","2,883","2,862","2,984","3,284","3,512","3,780","4,008","4,263","4,401","4,445","4,386","4,328","4,322","4,390","4,585","4,863","5,149"
Senegal,"6,903","7,240","7,587","7,946","8,319","8,707","9,111","9,530","9,966","10,420","10,891","11,381","11,891","12,419","12,965","13,528","14,108","14,706"
Seychelles,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13
Sierra Leone,"3,786","4,042","4,282","4,518","4,775","5,071","5,413","5,801","6,251","6,783","7,415","8,172","9,064","10,069","11,143","12,247","13,356","14,478"
Singapore,672,693,726,704,718,733,774,804,785,753,674,635,614,598,576,541,533,525
Slovakia,938,986,"1,058","1,087","1,048",987,892,839,756,697,636,610,589,522,468,420,412,403
Slovenia,371,348,334,324,304,289,281,267,242,222,206,190,174,154,142,130,123,116
Solomon Islands,441,430,420,410,401,391,382,372,363,354,345,336,328,319,310,302,293,285
Somalia,"7,511","7,425","7,280","7,118","6,995","6,952","7,006","7,142","7,340","7,567","7,799","8,032","8,271","8,516","8,771","9,036","9,309","9,587"
South Africa,"48,592","49,434","50,263","51,101","52,086","53,575","56,229","61,042","69,323","82,251","99,757","119,461","137,609","151,638","161,212","167,338","171,210","173,710"
Spain,"9,616","9,081","8,651","8,128","7,810","7,451","7,219","7,003","6,736","6,375","6,149","6,001","6,034","5,889","5,862","5,855","5,831","5,792"
Sri Lanka,"4,659","4,716","4,772","4,825","4,876","4,922","4,964","5,001","5,035","5,066","5,094","5,119","5,141","5,162","5,183","5,205","5,228","5,253"
Sudan,"20,106","20,921","21,835","22,835","23,896","25,004","26,158","27,358","28,595","29,855","31,130","32,413","33,710","35,043","36,444","37,935","39,530","41,221"
Suriname,145,136,109,113,109,115,131,154,184,193,185,186,189,204,218,240,260,281
Swaziland,"1,019","1,030","1,008","1,026","1,111","1,268","1,497","1,794","2,135","2,681","3,155","3,655","4,013","4,390","4,645","4,745","4,902","5,055"
Sweden,266,269,278,281,273,254,241,222,220,213,205,188,183,187,213,229,236,244
Switzerland,557,538,482,449,424,398,370,357,355,323,290,264,265,264,250,236,219,203
Syrian Arab Republic,"2,357","2,297","2,236","2,174","2,113","2,051","1,989","1,927","1,867","1,809","1,755","1,705","1,656","1,610","1,565","1,521","1,478","1,436"
Tajikistan,"2,667","2,316","1,651","1,193","1,313","1,683","2,149","2,300","2,636","2,870","3,257","3,806","4,350","4,722","5,230","5,630","6,271","6,933"
Thailand,"33,862","33,927","34,097","34,331","34,634","34,992","35,391","35,819","36,256","36,693","37,113","37,512","37,871","38,201","38,500","38,784","39,076","39,347"
"Macedonia, FYR",460,457,462,459,448,427,420,416,405,366,325,302,294,285,279,274,271,269
Timor-Leste,"1,073","1,108","1,149","1,188","1,218","1,232","1,227","1,206","1,183","1,172","1,186","1,230","1,298","1,382","1,468","1,546","1,614","1,673"
Togo,"5,404","5,620","5,821","6,025","6,256","6,531","6,857","7,231","7,642","8,074","8,515","8,960","9,412","9,874","10,353","10,854","11,379","11,921"
Tokelau,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,14,14,14,14,14,13,13,13,13,12,12,12,12,12,11,11,11,11
Trinidad and Tobago,62,62,62,62,63,63,63,63,63,63,63,64,64,64,64,64,65,65
Tunisia,"1,162","1,117","1,207","1,263","1,303","1,271","1,258","1,227","1,186","1,139","1,092","1,043","1,029","1,037","1,072","1,101","1,152","1,204"
Turkey,"12,746","12,536","12,575","12,358","11,946","11,206","11,495","11,909","12,248","10,981","9,597","8,909","8,888","8,937","9,215","9,499","9,729","9,961"
Turkmenistan,"1,060","1,048","1,111","1,113","1,096",989,"1,151","1,445","1,760","1,853","1,870","1,806","1,764","1,677","1,604","1,518","1,524","1,530"
Turks and Caicos Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tuvalu,13,12,12,12,11,11,11,10,10,10,10,9,9,9,9,8,8,8
Uganda,"11,366","18,026","20,355","23,008","24,648","26,640","27,148","28,571","30,152","30,977","33,654","36,855","40,994","43,563","43,894","43,729","42,869","41,865"
Ukraine,"9,594","9,224","9,854","10,558","11,155","11,771","13,121","14,164","15,772","16,535","18,075","19,303","19,933","20,130","19,943","20,570","20,366","20,163"
United Arab Emirates,250,248,248,245,248,250,256,263,267,267,269,274,285,287,294,301,307,311
United Kingdom,"3,022","3,080","3,175","3,192","3,152","3,111","3,136","3,135","3,124","3,100","3,074","3,190","3,219","3,386","3,597","3,889","4,023","4,158"
Tanzania,"18,727","21,112","23,507","26,020","29,026","32,484","35,626","38,692","40,867","43,075","45,895","48,124","50,185","50,496","50,788","50,243","49,427","48,508"
Virgin Islands (U.S.),9,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5
United States of America,"10,602","11,036","10,947","10,652","10,096","9,549","8,923","8,300","7,778","7,294","6,963","6,619","6,411","6,207","6,069","5,919","5,750","5,575"
Uruguay,472,469,466,463,460,457,454,450,447,443,438,433,427,420,414,409,403,399
Uzbekistan,"6,312","6,036","6,112","7,266","7,398","7,871","7,516","8,523","9,201","9,714","10,315","11,484","12,544","13,169","13,354","14,016","13,911","13,801"
Vanuatu,93,93,92,92,91,90,89,88,86,85,84,83,82,81,81,80,79,78
Venezuela,"3,822","3,900","3,977","4,052","4,125","4,197","4,268","4,337","4,406","4,473","4,539","4,605","4,670","4,735","4,800","4,864","4,929","4,994"
Viet Nam,"60,245","60,977","61,694","62,369","62,969","63,474","63,870","64,162","64,373","64,540","64,697","64,866","65,052","65,258","65,474","65,690","65,901","66,109"
Wallis et Futuna,4,11,2,6,6,3,3,1,4,4,3,1,1,8,3,1,3,1
West Bank and Gaza,228,233,244,244,251,254,256,249,247,247,249,250,250,248,246,244,244,244
Yemen,"7,373","7,598","8,035","8,125","8,394","8,542","8,586","8,317","8,175","8,127","8,142","8,106","8,056","7,964","7,830","7,751","7,731","7,704"
Zambia,"9,590","11,356","13,566","15,479","17,229","18,884","20,020","21,332","22,153","23,469","23,940","25,453","26,140","27,492","26,716","25,682","24,354","22,956"
Zimbabwe,"13,433","15,096","16,354","17,781","19,234","20,852","22,334","24,320","26,579","29,173","32,158","35,139","37,912","39,914","40,744","40,738","40,245","39,784"
