15-24 yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Channel Islands,92.255,95.485,99.412,99.571,98.871,97.49,96.633,97.007,95.866,95.228,99.398,103.417,105.095,106.199,104.739,104.983,104.973,104.95,104.94,104.934,104.935
Chile,99.216,100.027,101.059,101.205,101.231,101.181,101.464,101.746,102.129,102.344,102.783,103.072,103.171,103.245,103.322,103.398,103.446,103.484,103.516,103.54,103.558
China,113.343,115.287,113.923,111.83,107.934,106.768,107.643,106.845,106.516,106.352,106.615,108.504,112.458,117.063,120.454,121.628,119.921,117.731,116.071,114.959,113.874
"Hong Kong, China",116.836,116.888,118.746,112.922,110.885,105.496,109.163,105.992,106.047,98.834,95.652,101.756,105.037,107.743,108.364,104.406,100.967,100.396,100.42,100.282,100.062
"Macao, China",123.471,109.66,104.018,113.168,113,111.789,103.829,84.508,73.473,86.106,90.234,93.441,90.968,94.71,100.244,100.361,100.707,100.817,100.745,100.395,99.936
Colombia,101.019,101.069,101.38,101.561,101.661,102.027,102.332,102.258,101.939,101.338,101.727,102.214,102.584,102.816,103.008,103.188,103.37,103.555,103.727,103.855,103.962
Comoros,99.173,100.752,101.723,102.774,102.874,101.793,101.744,101.772,101.398,101.246,101.473,101.705,102.061,102.296,102.372,102.466,102.566,102.718,102.932,103.14,103.378
"Congo, Rep.",98.53,98.666,98.746,99.046,100.03,100.542,100.421,100.434,100.565,100.882,101.258,101.087,101.193,100.916,100.765,100.814,100.756,100.659,100.631,100.772,101.054
Costa Rica,102.592,100.822,101.138,102.144,102.878,102.761,106.751,106.392,105.212,104.561,104.951,105.532,105.935,105.961,105.573,105.29,105.227,105.251,105.292,105.332,105.371
Cote d'Ivoire,104.972,106.725,107.621,109.337,107.071,105.469,105.405,104.557,103.022,102.71,101.493,100.5,100.295,100.328,100.461,100.498,100.505,100.547,100.621,100.7,100.781
Croatia,100.306,103.038,102.623,102.173,106.075,103.742,103.467,103.253,103.92,103.291,104.316,103.946,104.039,104.679,105.135,105.427,105.607,105.662,105.699,105.73,105.763
Cuba,101.528,102.27,102.96,103.48,103.277,102.549,103.291,103.026,103.43,103.495,105.805,106.156,106.107,106.079,106.401,106.843,107.763,108.404,108.141,107.792,108.056
Cyprus,95.464,96.851,94.713,100.377,101.886,104.186,106.745,105.507,104.225,103.261,104.225,105.143,104.854,103.66,103.549,104.672,105.364,105.494,105.585,105.634,105.653
Czech Rep.,101.776,101.948,102.621,103.475,104.194,104.269,104.556,104.722,104.737,104.575,104.514,104.811,106.681,105.779,105.754,105.721,105.722,105.749,105.77,105.778,105.786
"Korea, Dem. Rep.",76.328,90.074,99.108,102.876,103.901,103.7,103.905,103.981,103.853,103.901,104.085,104.349,104.453,104.514,104.92,105.366,105.467,105.655,105.949,106.205,106.357
"Congo, Dem. Rep.",90.276,92.014,93.809,95.659,97.731,98.93,99.123,99.286,99.54,99.753,99.854,99.943,99.927,99.72,99.693,99.679,99.531,99.471,99.481,99.552,99.649
Denmark,101.718,102.027,103.571,104.91,105.785,105.391,104.726,105.205,105.023,104.058,103.359,103.95,106.323,107.182,108.007,108.799,109.284,109.434,109.381,109.286,109.293
Djibouti,100.017,100.48,100.684,100.813,100.051,99.571,99.952,100.371,100.751,101.143,101.385,101.452,101.385,101.332,101.416,101.502,101.537,101.52,101.504,101.539,101.645
Dominican Rep.,97.4,97.243,96.783,96.973,97.296,98.073,98.552,98.778,99.056,99.542,100.086,100.586,101.186,101.561,101.731,101.954,102.134,102.257,102.345,102.403,102.442
Eastern Africa,100.179,99.306,99.019,99.223,98.951,98.656,98.503,99.02,99.158,98.517,99.6,99.94,100.039,100.247,100.401,100.46,100.458,100.447,100.448,100.47,100.508
Eastern Asia,109.77,112.081,111.331,109.884,106.888,106.241,107.165,106.598,106.285,106.142,106.396,108.199,111.792,115.778,118.749,119.91,118.511,116.6,115.084,114.033,113.035
Eastern Europe,95.323,99.628,99.568,102.026,103.818,103.119,104.267,103.768,103.976,103.45,103.226,103.455,103.931,104.392,104.907,105.13,105.269,105.375,105.44,105.51,105.578
Ecuador,101.288,101.742,102.018,102.114,102.026,102.01,102.179,102.297,102.408,102.465,102.439,102.566,102.89,103.285,103.514,103.667,103.847,103.997,104.163,104.333,104.449
Egypt,100.844,101.222,101.66,102.459,102.407,102.08,100.8,101.727,101.001,102.085,103.06,103.105,103.601,103.124,103.027,103.083,103.172,103.224,103.266,103.388,103.551
El Salvador,95.176,95.156,94.089,98.81,98.369,97.83,96.7,91.915,93.878,96.011,94.813,92.96,95.295,97.638,98.386,99.753,101.938,102.728,102.771,102.762,102.789
Equatorial Guinea,98.094,98.48,96.882,96.04,97.413,100.626,100.209,97.699,98.083,98.619,99.032,99.375,99.634,99.982,100.229,100.31,100.336,100.402,100.452,100.492,100.512
Eritrea,100,99.918,99.783,99.241,99.25,98.578,91.083,98.702,101.433,102.228,100.339,98.091,99.217,100.223,101.066,101.522,101.807,102.033,102.229,102.4,102.547
Estonia,91.59,98.34,100.742,103.259,110.666,108.499,107.661,104.9,106.775,102.566,103.682,104.599,105.092,105.534,105.539,105.368,105.321,105.388,105.488,105.573,105.663
Ethiopia,101.219,100.898,100.783,101.075,99.853,98.768,99.028,99.366,99.674,99.89,99.914,99.97,100.107,100.24,100.441,100.575,100.614,100.633,100.644,100.647,100.653
EUROPE,97.889,100.59,100.783,102.617,103.562,103.391,104.129,103.98,104.049,103.673,103.541,103.844,104.573,105.284,105.545,105.61,105.669,105.755,105.818,105.856,105.899
Fiji,103.704,103.125,97.368,99.629,101.8,100,100.177,99.785,103.01,104.762,105.421,106.693,107.259,107.063,107.102,107.157,107.289,107.359,107.458,107.605,107.77
Finland,102.548,102.885,103.614,103.912,105.164,104.661,104.697,104.315,104.176,104.451,104.534,104.604,104.309,104.225,104.513,104.502,104.579,104.651,104.697,104.726,104.752
France,103.476,102.8,104.504,105.248,103.967,103.803,102.74,102.872,103.19,102.901,103.179,103.174,104.759,105.823,105.749,105.123,104.84,104.853,104.866,104.879,104.89
French Guiana,106.213,92.603,91.005,127.51,124.744,90.387,111.646,114.344,106.944,111.358,118.63,98.488,100.914,100.799,101.845,102.972,103.419,103.689,103.923,104.068,104.129
French Polynesia,97.657,97.644,97.657,99.151,99.258,114.899,113.166,109.616,108.167,107.882,102.982,103.029,106.279,106.02,104.773,104.681,104.808,104.885,104.951,104.979,104.971
Gabon,98.623,98.618,98.622,98.587,98.528,95.916,94.143,94.49,95.673,96.776,98.105,100.819,101.998,101.803,101.581,101.595,101.699,101.797,101.888,101.91,101.916
Gambia,97.115,97.235,96.809,96.063,95.484,95.639,96.271,96.917,97.478,98.179,98.83,99.437,99.905,100.224,100.47,100.658,100.764,100.829,100.936,101.091,101.263
Georgia,100.535,95.984,89.58,90.76,100.17,99.898,100.233,101.074,104.431,101.851,98.822,100.74,100.315,103.899,113.711,113.269,110.505,110.082,109.754,109.515,109.267
Germany,97.902,103.405,104.037,105.573,104.785,104.136,106.266,105.694,105.235,105.589,104.791,104.129,104.802,104.938,104.912,104.932,104.943,104.949,104.954,104.95,104.94
Ghana,103.64,103.781,103.954,104.245,103.459,102.648,102.743,102.814,102.961,103.182,103.522,103.838,104.278,104.593,104.529,104.228,103.928,103.718,103.579,103.464,103.376
Greece,96.728,99.219,98.111,101.534,105.639,106.925,104.904,108.211,104.049,107.76,109.525,108.596,106.723,105.935,106.139,106.4,106.428,106.473,106.502,106.531,106.56
Grenada,85.793,85.852,88.032,94.166,93.394,95.999,96.061,99.044,103.024,103.789,103.389,103.115,102.37,103.345,105.14,106.145,106.261,106.402,106.61,106.862,107.189
Guadeloupe,89.474,95,91.818,100,101.917,102.685,104.43,102.363,100.46,101.161,102.441,101.482,101.909,101.002,103.951,104.636,103.444,103.486,103.535,103.571,103.586
Guam,449.763,299.841,181.742,160.021,142.808,128.531,115.569,121.091,126.926,108.129,102.367,102.243,104.663,107.521,107.14,105.761,105.394,105.532,105.601,105.632,105.639
Guatemala,101.734,102.548,103.106,103.056,102.908,102.597,101.844,101.444,101.584,97.852,96.303,96.443,97.905,99.68,100.885,101.767,102.186,102.372,102.569,102.771,102.932
Guinea,96.658,94.355,95.821,98.018,101.118,103.421,104.023,104.456,104.571,104.463,104.244,103.926,103.593,103.306,103.191,103.293,103.512,103.731,103.895,104.04,104.194
Guinea-Bissau,100.37,100.105,99.918,100.218,99.319,98.541,98.869,99.074,99.358,99.435,99.647,99.799,99.899,99.956,99.898,99.81,99.814,99.892,99.968,100.041,100.113
Guyana,97.389,92.718,90.753,99.31,97.709,96.887,96.056,96.148,96.278,98.493,100.691,99.235,102.886,103.73,105.078,104.4,104.285,104.757,105.129,105.468,105.919
Haiti,95.988,97.248,98.082,97.739,97.373,97.191,98.581,97.669,97.057,97.46,99.209,100.215,100.474,100.546,100.438,100.669,100.736,100.558,100.723,100.962,101.25
Honduras,101.14,103.49,103.894,103.165,101.126,100.346,100.629,100.436,100.072,99.514,99.067,99.424,101.719,103.253,104.091,104.404,104.492,104.58,104.694,104.803,104.908
Hungary,99.103,101.216,98.066,102.089,104.304,104.969,105.087,105.815,104.997,104.796,104.591,104.125,104.077,104.458,105.005,105.267,105.347,105.382,105.416,105.446,105.475
Iceland,100,100,100,100,107.372,106.406,105.266,104.096,103.771,103.484,103.139,104.354,105.9,104.29,103.83,104.853,105.623,105.875,106.002,106.045,106.056
India,108.709,105.763,106.048,107.158,108.724,109.773,109.489,109.209,108.974,108.662,108.618,108.769,109.189,109.37,109.089,108.901,108.697,108.478,108.309,108.173,108.066
Indonesia,99.479,97.087,95.548,95.613,100.605,103.824,103.585,103.328,102.927,102.575,102.138,102.196,102.642,102.89,103.269,103.444,103.571,103.749,104.007,104.262,104.435
Iran,102.639,102.454,102.628,102.884,104.617,100.162,105.677,107.338,105.525,101.253,102.366,100.925,104.266,105.57,105.117,104.827,104.869,104.831,104.906,105.018,105.124
Iraq,98.817,98.931,101.708,105.962,105.668,104.462,104.423,104.673,104.739,104.403,104.669,105.095,105.332,105.1,105.188,105.326,105.419,105.507,105.559,105.582,105.721
Ireland,108.92,107.5,105.208,105.556,104.129,104.883,104.05,104.675,105.666,104.173,103.813,103.161,102.545,104.612,105.452,105.891,106.522,106.809,106.818,106.825,106.841
Israel,105.113,107.081,107.262,107.253,105.882,104.602,104.898,106.352,104.741,105.137,105.657,104.931,104.807,105.392,105.709,105.748,105.777,105.804,105.821,105.835,105.846
Italy,99.97,99.356,98.599,100.673,101.539,102.537,102.663,103.31,103.585,103.318,103.746,105.148,105.703,105.967,105.943,105.695,105.76,105.945,106.051,106.069,106.085
Jamaica,99.772,101.431,86.897,86.476,91.447,97.157,97.076,98.978,97.466,98.003,97.542,99.098,101.904,101.613,102.057,104.254,105.457,105.538,105.648,105.804,106.006
Japan,100.149,100.592,99.737,100.288,100.321,102.18,103.158,104.194,104.036,104.425,104.791,104.931,104.823,104.674,104.955,105.256,105.209,105.195,105.189,105.187,105.187
Jordan,102.399,106.592,107.94,112.384,112.823,108.929,111.501,115.118,118.416,111.859,108.728,106.331,104.965,105.06,104.627,104.461,104.298,104.442,104.586,104.724,104.851
Kazakhstan,103.807,109.072,104.209,102.588,104.941,104.182,103.239,102.508,104.079,101.131,101.33,103.182,103.723,104.411,104.66,104.641,104.827,104.976,105.166,105.363,105.535
Kenya,104.645,101.13,99.811,99.583,98.78,98.431,98.545,98.834,99.349,99.892,100.438,100.525,100.41,100.47,100.414,100.303,100.172,100.051,99.991,100.001,100.055
Kuwait,161.569,156.615,191.899,173.153,122.717,113.547,127.655,103.944,103.428,125.593,114.308,122.832,113.687,112.098,106.341,105.852,105.742,105.8,105.867,105.869,105.792
Kyrgyzstan,101.337,102.798,102.395,95.701,94.661,103.748,102.578,99.844,102.614,101.014,101.185,101.855,102.978,103.878,104.292,104.598,104.762,104.936,105.114,105.243,105.295
Laos,99.059,99.468,97.311,94.649,97.622,101.176,101.837,102.301,102.742,102.158,102.326,101.45,102.655,103.228,103.565,103.812,103.801,103.697,103.692,103.749,103.834
LATIN AMERICA AND THE CARIBBEAN,99.762,100.517,101.124,101.405,101.135,100.835,100.852,100.382,100.22,100.391,101.048,101.166,101.342,101.952,102.43,102.625,102.933,103.131,103.256,103.328,103.396
Latvia,89.152,98.138,95.837,103.488,107.871,106.397,105.79,105.196,106.839,104.203,103.248,104.252,104.045,104.523,104.955,105.099,105.113,105.213,105.348,105.454,105.523
Least developed countries,103.995,103.001,101.481,100.632,101.336,101.476,100.633,100.719,100.485,100.435,100.925,101.283,101.485,101.586,101.623,101.607,101.561,101.545,101.563,101.607,101.668
Lebanon,103.011,99.59,96.995,101.273,104.506,103.57,98.982,99.834,100.289,101.755,98.112,101.567,102.82,103.129,103.268,103.397,103.545,103.77,104.053,104.285,104.478
Lesotho,93.997,88.159,87.429,85.948,89.619,91.75,91.468,90.211,91.4,92.622,95.602,96.812,97.108,97.263,97.17,96.991,96.916,96.896,96.889,96.89,96.93
Less developed regions,106.855,106.578,105.914,105.608,105.146,105.179,105.079,104.761,104.557,104.272,104.397,104.995,106.148,106.904,107.147,107.086,106.759,106.357,105.981,105.678,105.442
"Less developed regions, excluding China",104.062,103.075,102.889,103.135,103.893,104.505,104.036,103.85,103.74,103.599,103.812,104.017,104.478,104.674,104.627,104.544,104.446,104.342,104.271,104.211,104.16
"Less developed regions, excluding least developed countries",107.244,107.073,106.56,106.334,105.662,105.674,105.685,105.307,105.14,104.893,105.016,105.683,107.082,108.108,108.536,108.574,108.266,107.848,107.454,107.133,106.86
Liberia,99.872,100.086,100.222,99.988,98.346,97.427,97.815,98.232,98.611,98.967,99.279,99.511,100.027,100.724,101.233,101.54,101.665,101.703,101.714,101.725,101.745
Libya,94.023,96.346,104.065,110.826,109.792,109.011,110.57,108.838,103.395,102.835,103.406,103.928,104.494,104.712,104.86,104.968,105.071,105.157,105.237,105.31,105.324
Lithuania,87.233,93.025,93.372,98.71,102.262,104.234,103.866,103.603,105.265,102.745,102.698,103.995,104.589,104.666,104.944,104.883,104.945,105.124,105.205,105.281,105.369
Luxembourg,108.696,104.762,105,105.238,104.185,104.083,101.091,101.043,104.725,104.01,103.618,104.416,105.199,105.866,105.9,106.029,106.124,106.171,106.201,106.218,106.232
Madagascar,109.494,101.83,97.461,97.44,100.425,101.289,100.959,100.692,100.366,100.195,100.142,99.936,99.701,99.602,99.788,100.239,100.718,100.931,100.909,100.898,100.897
Malawi,94.511,94.593,94.344,94.537,93.149,92.744,93.251,94.654,95.828,96.042,99.997,100.193,100.635,101.316,101.659,101.74,101.757,101.77,101.796,101.828,101.878
Malaysia,100.402,100.77,102.345,100.376,99.876,96.279,96.841,101.457,101.494,102.237,102.047,102.5,103.292,103.848,104.562,104.865,104.972,105.069,105.152,105.194,105.204
Maldives,116.18,115.809,115.716,115.092,111.633,109.676,109.368,109.127,93.908,102.225,104.326,103.827,103.937,103.154,102.674,102.7,102.652,102.775,102.993,103.167,103.302
Mali,111.344,108.072,104.67,101.445,99.693,99.746,99.603,99.565,99.671,99.934,100.178,100.498,100.872,101.071,101.262,101.541,101.866,102.079,102.184,102.266,102.326
Malta,100,85.714,96,96.429,96.541,93.934,107.517,105.782,105.85,106.799,106.028,105.183,105.585,105.628,105.282,105.182,105.178,105.206,105.202,105.197,105.185
Martinique,85.714,94.57,110.256,94.882,91.64,99.375,105.621,103.541,100.775,101.143,100.061,100.1,101.679,103.166,104.143,104.361,104.152,104.152,104.15,104.153,104.17
Mauritania,95.589,95.013,94.576,94.782,100.635,105.857,105.666,105.262,105.005,105.022,105.482,105.716,105.588,105.297,105.13,105.041,105.049,105.14,105.273,105.45,105.65
Mauritius,100.35,99.245,100.037,101.449,104.011,101.513,100.794,104.195,103.251,101.988,102.615,102.783,102.66,103.1,103.286,103.495,103.608,103.709,103.788,103.849,103.918
Mayotte,118.4,120.947,119.809,117.941,112.769,106.117,102.9,103.369,102.138,101.32,100.8,100.868,100.838,100.708,100.817,100.871,100.938,101.016,101.081,101.128,101.138
Melanesia,111.182,110.675,108.211,103.119,103.717,102.172,102.892,100.411,99.096,100.895,104.183,105.384,105.649,105.811,106.443,107.194,107.422,107.537,107.638,107.735,107.818
Mexico,95.25,99.254,103.001,103.371,101.735,99.805,99.387,97.575,97.802,98.618,99.151,97.603,97.181,98.74,99.853,99.801,100.608,101.046,101.199,101.159,101.106
Micronesia,207.112,161.4,126.272,122.056,116.012,111.196,104.92,105.922,105.193,99.899,94.602,95.121,98.69,99.629,99.434,98.976,98.801,98.916,99.039,99.076,99.053
"Micronesia, Fed. Sts.",106.894,107.021,107.074,107.109,107.229,108.597,103.509,108.152,105.197,104.728,104.645,109.116,110.739,107.044,107.303,108.16,108.085,107.879,107.781,107.738,107.771
Middle Africa,94.549,95.507,96.499,97.407,98.218,98.693,98.915,99.115,99.397,99.616,99.774,99.887,99.898,99.755,99.686,99.623,99.514,99.478,99.502,99.584,99.704
Mongolia,98.298,98.846,99.038,99.149,100.393,101.78,102.411,102.944,101.598,101.922,99.935,100.642,100.692,101.431,102.493,103.54,103.718,104.024,104.274,104.448,104.527
Montenegro,94.95,100.219,100.743,100.326,104.585,107.313,107.697,107.856,104.609,106.628,108.769,104.137,105.51,106.162,106.965,107.582,107.902,107.975,108.018,108.076,108.089
More developed regions,98.735,100.236,100.722,101.97,102.314,103.134,103.767,103.957,104.07,103.976,103.987,104.229,104.716,105.324,105.569,105.616,105.627,105.679,105.71,105.718,105.733
Morocco,100.631,100.714,100.952,92.918,97.584,106.938,98.056,99.851,101.654,100.575,98.969,98.465,100.487,101.579,101.835,102.14,102.401,102.627,102.902,103.175,103.4
Mozambique,97.607,97.341,97.369,97.611,97.97,98.225,97.562,97.474,94.756,85.489,95.527,99.501,99.482,99.605,99.849,100.043,100.165,100.239,100.287,100.324,100.355
Myanmar,100.025,98.479,98.755,100.208,98.439,97.803,98.38,98.687,98.982,99.411,100.048,99.043,99.402,100.125,100.228,100.2,100.343,100.567,100.749,100.933,101.107
Namibia,102.514,102.93,103.109,102.901,99.423,97.132,95.112,96.319,98.358,98.916,99.676,100.073,100.177,100.377,100.538,100.687,100.828,100.944,101.09,101.293,101.519
Nepal,115.31,112.775,110.048,108.657,107.56,107.743,107.02,105.788,105.463,103.295,104.875,105.146,105.159,104.691,104.088,103.703,103.372,103.122,102.996,102.92,102.899
Netherlands,103.153,103.418,104.157,105.191,105.241,104.41,104.296,104.31,104.204,104.025,103.535,103.262,104.815,105.701,106.174,106.572,106.827,106.863,106.833,106.81,106.825
Netherlands Antilles,95.616,94.725,98.007,102.128,102.094,102.037,100.21,100.098,99.797,98.624,97.476,95.697,99.87,103.289,103.01,101.86,100.788,100.629,101.25,103.154,104.578
New Caledonia,106.722,106.737,110.091,115.767,119.313,110.851,106.178,103.965,103.79,103.426,101.736,103.545,104.38,103.896,103.287,103.871,104.265,104.499,104.57,104.592,104.585
New Zealand,105.263,105,104.268,104.762,104.934,104.426,104.456,104.32,101.03,101.245,101.99,104.242,105.561,106.063,105.707,105.689,105.823,105.874,105.92,105.947,105.963
Nicaragua,97.021,101.682,104.069,105.046,102.523,101.363,100.971,100.519,99.391,99.161,99.538,100.014,99.791,100.96,101.854,102.137,102.352,102.478,102.527,102.528,102.476
Niger,91.21,91.266,90.448,88.516,95.701,93.688,75.592,89.833,78.58,87.793,86.285,88.721,92.672,94.568,96.237,97.931,99.127,99.877,100.457,100.947,101.329
Nigeria,99.019,99.204,99.563,99.857,99.635,99.503,100.461,99.742,100.027,100.586,101.06,101.527,102.084,102.515,102.743,102.713,102.539,102.446,102.397,102.345,102.279
Northern Africa,100.983,100.563,100.378,99.864,100.629,102.992,101.524,102.121,102.019,102.32,102.584,102.608,103.192,103.191,103.205,103.286,103.357,103.421,103.495,103.596,103.701
NORTHERN AMERICA,100.641,98.272,100.844,101.018,99.98,102.804,103.125,103.798,104.187,104.573,104.773,104.845,104.937,105.543,105.766,105.722,105.661,105.67,105.663,105.635,105.618
Northern Europe,101.014,101.187,102.181,103.628,103.767,104.436,104.257,103.703,103.866,103.023,102.814,104.224,105.161,106.58,106.624,106.748,106.818,106.906,106.94,106.956,106.997
Norway,104.245,103.922,104.348,106.115,105.84,105.154,104.988,105.114,104.826,103.962,104.317,104.306,105.104,104.994,104.466,104.497,104.734,104.841,104.904,104.939,104.957
West Bank and Gaza,102.402,106.589,107.941,112.384,112.212,108.584,113.652,113.601,115.221,106.714,106.012,105.317,104.511,104.095,104.138,104.248,104.392,104.573,104.73,104.857,104.907
OCEANIA,107.583,108.094,106.381,105.073,105.078,103.894,103.621,103.356,102.616,102.789,103.461,104.496,105.153,105.46,105.667,105.927,106.031,106.102,106.167,106.229,106.277
