"Crude oil production, total (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",71000,62000,,,,,,336000,2091000,2455000,1789000,2100000,1639000,2430000,2762000,3168000,4101000,4553000,5365000,6025000,5937000,5951000,6317000,7038000,7962000,8029000,8054000,8638000,9538000,9562000,9267000,10359000,11586000,13599000,13726990.11,13138727.97,12051444.21,12292401.14,11180893.84,11552966.1,12634039.55,14330932.2,11544338.05,12238045.69,14233342.98,15084788.36,15229853.05
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,97730.30708,146194.9266,97463.28438,146194.9266,195460.6142,487316.4219,389853.1375,389853.1375,293190.9212,730974.6328,1656875.834,2095460.614,2296662.216,2923898.531,3606141.522,4532042.724,4691054.74,5457943.925,5896528.705,6919893.191,7671829.105,8186915.888,9015353.805,9064085.447,10163951.94,11208277.7,11598130.84,14570761.01,17738050.73,16958611.48,18079439.25,17933244.33,19057409.88,18371829.11,16666221.63,15168000,14035000,12902931,12156576,10926986
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,428781.2041,375183.5536,321585.9031,268722.467,214390.6021,214390.6021,214390.6021,4192070.485,11201908.96,9486784.141,8629221.733,10103964.76,9839835.561,10889656.44,11532828.24,11026980.1,11372035.29,11372035.29,12819171.86,13943589.97,15223301.86,15866473.67,9388922.224,16501132.89,15240399.51,15522755.63,16304588.26,17455699.95,18725815.91,20601733.68,20999049.37,20926899.26,21084112.54,20440940.73,20333745.43,21786811.15,22102467.9,21298503.14,22692042.05,28558617.32,28802174.21,28999393.06,27681344.14,27414858.14,26340206.52,26341345.83,27066039.17
