Colon & Rectum Male Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Bulgaria,,,,,,,,,,,,6.69,6.63,7.34,7.75,7.71,7.72,7.65,8.42,8.47,9.61,9.33,10.42,9.75,11.56,11.15,12.38,12.13,12.46,13.83,14.13,14.11,14.82,14.42,16.19,14.81,15.27,15.42,15.95,17.22,16.53,18.09,17.07,17.87,16.82,16.78,17.33,17.51
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Canada,21.09,20.63,21.52,20.96,20.15,20.98,20.4,20.97,20.56,20.25,19.96,21.59,20.88,21.56,20.86,21.72,20.4,21.24,21.43,19.93,20.38,20.64,20,21.02,18.63,18.73,18.91,18.32,17.87,18.24,18.28,17.66,17.82,17.84,17.4,16.9,16.43,16.86,16.13,16.21,16.39,15.75,15.28,15.35,15.53,15.52,14.56,15.5
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Chile,3.01,4.2,6.26,4.98,5.83,5.22,5.07,4.15,5.72,5.44,6.42,6.07,5.79,,,,,,,,,,,,,6.78,7.18,7,6.82,6.54,7.2,6.63,6.83,6.77,7.1,5.68,6.67,6.33,7.01,6.95,7.12,6.85,7.52,6.88,7.31,7.36,8.18,7.51
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.14,3.5,3.93,4.04,4.12,4.04,4.15,4.74,4.76,4.62,5.28,4.97,5.48,4.88,5.28,,5.36,5.65
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Costa Rica,,,,,,,,,,,,4.13,3.23,,,,,,,,,,,,,3.89,3.84,4.17,4.79,5.58,7.21,5.72,4.71,4.57,5.8,5.67,6.65,6.05,6.07,6.36,6.92,7.62,6.78,6.79,8.53,6.25,7.7,6.84
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,18.31,17.13,18.98,19.2,18.8,18.03,19.59,19.77,18.8,19.41,21.15,21.34,22.21,23.66,23.98,21.74,24.34
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,8.81,8.84,9.4,8.77,8.29,9.23,8.44,9.31,8.46,9.57,10.07,9.39,9.73,9.41,9.15,9.26,9,9.53,9.79,8.7,8.87,9.08,8.56,8.98
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,31.64,33.31,33.98,34.35,35.35,34.82,34.48,35.52,34.32,33.93,34.08,34.26,33.55,33.92,32.82,33.22
Czechoslovakia,13.77,13.99,14.29,14.14,14.69,14.34,14.83,14.94,15.49,15.13,16.38,17.64,17.96,20.18,18.88,19.18,19.89,20.16,21.63,21.77,22.9,22.69,24.01,23.51,24.46,24.33,25.38,26.07,26.86,25.71,27.01,29.59,28.45,30.29,30.95,30.8,32.06,,,,,,,,,,,
Denmark,23.58,23.03,23.39,23.97,26.92,25.39,23.34,24.98,24.83,25.55,24.33,22.67,21.54,21.16,22.12,21.58,21.16,22.61,23.07,22.1,21.84,23.52,22.39,25.17,23.16,22.65,24.58,22.92,23.94,22.84,23.7,23.55,22.86,22.92,21.71,22.92,22.16,22.78,22.95,23.79,22.35,21.86,22.79,22.25,21.02,20.27,20.84,20.555
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,2.61,2.68,3.76,3.35,3.55,2.44,2.88,1.97,2.66,2.3,2.34,2.57,,1.85,2.33,2.27,2.67,2.33,3.03,2.51,2.82,2.87
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.98,1.8,2.42,2.21,3,2.26,3.09,2.87,2.5,2.99,2.47,2.27,2.73,2.5,2.74,2.49,2.89,2.84,2.99,2.79,2.94,2.98,2.76
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1,0.4,1.22,,,,,,1.15,1.63,1.68,1.27,,1.46,1.57,1.83,1.28,1.99,2.73,2.7,2.31
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,14.18,16.13,,,15.31,17.9,15.98,18.15,16.57,15.86,17.89,20.31,19.13,17.01,19.33,18.85,17.3,18.53,18.13,17.31,18.8,19.02
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Finland,8.8,9.37,7.42,9.15,7.95,9.5,9.52,9.61,10.52,10.84,11.18,11.27,10.49,10.02,10,13.71,11.37,11.55,10.9,10.72,11.14,12.26,12.63,11.25,12.4,12.1,10.9,11.5,11.85,13.37,12.6,11.52,11.67,12.14,12.5,12.29,11.89,13.23,12.32,12.92,11.22,12.46,11.45,11.08,12.11,11.18,11.73,11.16
France,17.71,17.77,18.03,18.54,18.45,18.41,18.61,18.1,19.08,19.11,18.99,19.16,19.41,19.97,19.74,19.5,19.92,20.57,20.42,20.64,20.73,20.73,20.76,20.36,18.78,18.73,18.83,18.82,18.22,18.45,18.15,18.68,18.83,18.2,17.92,17.58,18.09,17.88,17.59,16.62,16.66,16.33,16.25,16.19,16.44,15.48,15.58,15.41
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79,7.21,,,6.65,7.45,7.34,6.7,6.91,7.6,7.16,5.48,,3.92,4.47,5.07,4.06,4.71,5,5.86,7.18,7.6
Germany,,,,,,,,,,,,,,,,,,,,,,21.54,,,,21.1,20.6,20.58,20.78,20.69,20.96,20.6,21.03,21.02,21.27,20.72,21.29,21.83,21.41,21.04,20.75,21,20.38,20.01,19.26,19.16,18.49,18.78
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Greece,,,,,,,,,,,,4.99,4.75,5,5.04,5.44,5.14,5.89,5.74,6.14,6.46,5.97,6.53,6.61,5.5,5.23,5.46,6.39,5.4,5.93,5.54,6,6.32,6.44,7.1,6.95,6.43,7.79,7.55,8.25,8.14,7.98,8.28,8.19,10.13,8.72,9.01,9.06
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.13,1.35,,,0.34,,1.37,1.07,1.46,0.85,1.23,0.99,1.43,1.61,1.13,1.45,1.22,1.82,2.75,2.04,2.49,1.99,2.51
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
"Hong Kong, China",,,,,,,,,,,,11.44,14.17,13.02,12.67,13.54,12.34,12.26,12.35,12.55,13.53,12.56,13.81,15.45,13.94,12.96,13.23,12.81,14.93,15.48,13.28,15.13,15.46,14.13,15.46,16.22,14.38,16.25,16.17,17.43,18.36,15.85,16.91,16.23,15.99,16.31,17.78,17.19
Hungary,,,,,,,,,,,,,,,,16.77,17.94,17.91,19.41,19.83,20.9,20.01,21.17,22.22,22.11,23.04,24.27,23.75,24.85,25.17,25.94,26.87,27.75,27.2,29.7,29.67,30.29,32.05,30.96,32.13,32.2,33.05,34.55,34.26,34.8,33.35,34.28,34.07
Iceland,,,,,,,,,,,,,,,,,18.5,21.88,11.32,11.81,8.44,13.3,11.98,11.59,10.26,12.45,13.97,15.99,13.45,12.22,11.75,9.1,11.29,17.06,21.05,11.33,10.5,8.61,13.48,10.96,11.46,12.4,18.19,11.74,11.72,11.84,17.95,14.27
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Ireland,20.79,19.87,19.64,19.18,20.24,19.07,17.72,18.9,20.04,17.36,21.9,20.51,17.92,21.02,21.95,20.23,22.19,22.14,22.55,21.3,24.46,25.51,21.71,22.27,21.84,21.83,22.61,22.43,21.4,20.87,23.67,22.85,23.53,23.91,24.6,20.99,21.96,21.88,22.47,21.89,22.95,20.77,21.55,20.37,22.36,19.18,21.4,19.04
Israel,,,,,,,,,,,,,,,,,,,,,13.59,15.18,16.42,16.33,16.84,15.18,14.32,14.4,15.95,15.05,15.72,13.89,15.33,15.33,14.37,15.14,16.99,16,16.92,18.46,18.56,17.33,18.19,16.32,16.51,16.82,17.3,16.61
Italy,9.11,10.07,10.51,10.34,11.19,11.6,11.9,12.34,12.85,13,13.13,13.83,14.16,14.58,14.94,15.5,15.68,15.95,16.69,16.71,16.71,17.03,17.55,17.35,14.16,14.46,14.38,14.96,15.65,15.37,15.85,15.4,15.66,15.59,14.98,15.07,14.67,15.1,15.86,16.22,15.77,16.1,15.6,15.89,15.31,15.18,15.05,15.15
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
Japan,6.45,6.66,6.51,6.61,6.9,6.63,7.03,7.05,7.33,7.71,7.93,7.78,8.19,8.61,8.87,9.04,9.28,9.52,10.18,10.72,10.61,11.02,11.34,11.44,11.97,12.21,12.66,12.77,12.93,13.35,13.56,13.78,14.27,14.5,14.97,15.35,15.49,16.15,15.97,15.99,16.94,17.2,16.94,17.04,16.8,16.65,16.46,16.16
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81,10.43,,,10.58,11.52,11.19,10.95,11.62,11.95,12.22,11.61,13,13.31,12.16,12.05,13.57,11.21,12.38,12.59,13.19,11.76
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,3.99,4.31,4,5.3,5.41,5.21,6.1,7.21,7.43,7.82,8.26,9.03,8.53,10.01,10.75,11.15,12.31
Kuwait,,,,,,,,,,,,,,,,,,,,,,3.92,7,2.44,2.43,2.47,5.2,3.62,2.15,5.34,5.4,2.33,2.38,,,,,,5.32,5.58,1.54,4.63,4.52,5.98,3.82,4.08,8.03,4.86
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,6.7,,,7.17,8.13,6.49,7.41,6.97,8.78,7.03,8.2,8.49,7.83,6.84,5.9,6.32,6.82,5.6,7.21,6.71,7.27
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,14.67,13.57,15.2,14.52,15.33,15.29,13.91,17.46,17.48,18.29,17.03,18.01,18.81,18.51,18.81,18.04,17.84,18.67,17.17,19.74,16.93,17.29,18.33
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23,12.79,,,15.58,14.2,14.61,16.01,15.35,17.05,16.67,17.98,16.87,18.12,17.75,19.29,18.26,19.2,17.16,18.89,18.17,18.11
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,21.02,24.56,23.51,32.5,21.68,19.04,23.88,21.24,28.14,26.3,21.56,22.26,17.3,20.02,18.96,17.38,21.05,18.58,18.26,21.9,14.44,17.2,15.38,16.28
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05,9.48,8.46,10.75,10.8,11.34,11.35,12.31,10.95,13.32,13.43,15.21
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Malta,,,,,,,,,,,,,,,,,,,,,,,,15.66,13.3,13.11,9.64,10.06,10.42,12.24,10.33,14.52,15.44,12.82,12.42,12.62,14.86,13.17,14.82,22.26,19.98,13.42,16.72,16.57,16.76,15.35,16.2,18.36
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Mauritius,,,,,,,,,,,,,,,7.63,8.91,7.01,9.33,14.24,7.6,8.35,15.47,7.22,6.42,5.77,8.24,7.79,4.46,5.64,4.16,6.25,3.42,3.94,4.05,5.36,3.74,5.93,3.96,5.52,6.57,7.68,3.43,6.52,4.72,7.07,4.56,6.06,6.34
Mexico,,,,,,,,,,,,2.46,2.53,,,,2.43,2.55,2.79,2.36,,,,,2.32,2.27,2.2,2.11,2.49,2.63,2.88,2.95,3,3.28,2.93,3.12,3.02,3.24,3.15,3.38,3.33,3.58,3.44,3.66,3.6,3.78,3.65,3.57
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54,11.18,,,11.99,12.87,15.47,15.04,14.74,14.13,14.62,15.8,15.56,15.78,16.2,14.25,12.62,11.23,13.37,13.77,14.04,14.93
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Netherlands,17.35,15.86,16.21,17.03,15.69,17.32,16.07,16.39,17.71,18.18,17.09,17.61,17.14,18.58,18.2,17.86,17.86,17.64,18.84,18.56,19.74,19.48,18.72,18.8,18.81,18.37,18.61,18.69,18.57,18.26,18.91,18.76,19.8,18.43,18.65,16.63,18.48,17.94,17.94,17.72,17.63,17.65,18.12,17.94,18.02,17.13,16.52,17.05
New Zealand,21.2,20.25,20.84,19.36,20.17,19.23,20.17,20.01,20.71,19.59,24.55,20.91,20.95,23.19,21.95,25.86,25.11,24.98,26.64,25.74,25.26,23.83,25.72,25.38,24.62,26.11,24.36,24.68,26.24,26.53,27.27,25.21,22.89,24.87,25.55,24.75,25.97,26.63,24.08,25.59,24.4,24.43,23.21,22.18,22.4,20.77,22.13,21.11
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,1.22,2.31,2.14,2.92,2.36,2.45,,4.05,1.85,1.89,1.85,1.54,3.41,2.42
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
Norway,12.65,11.45,11.73,11.86,12.58,11.94,12.55,12.27,13.22,12.74,14.56,13.07,13.33,14.95,15.22,14.99,16.68,15.6,15.52,13.99,14.63,15.76,17.1,17.27,16.61,18.31,18.38,17.98,17.8,18.73,18.04,20.36,18.65,21.36,19.63,19.01,19.99,21.32,20.38,19.78,20.26,19.23,19.56,19.07,18.23,18.79,18.92,19.43
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Panama,,,,,,,,,,,,,,,,,,,,,,,,,5.52,7.36,5.66,5.31,3.41,4.74,4.68,4.97,5.66,7.33,7.45,,,,,,,5.03,5.73,5.14,5.64,6.87,7.1,5.82
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
Poland,,,,,,,4.66,4.79,6.02,6.49,7.17,6.88,7.02,7.9,,8.45,8.88,,,,,,,,,11.72,11.83,12.41,12.78,12.92,13.87,13.08,13.53,14.85,14.18,15.06,15.4,15.15,15.8,16.04,16.53,16.67,,,17.8,18.03,18.61,18.84
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,12.83,13.86,13.36,11.01,13.89,15.08,14.13,13.82,13.43,15.37,16.21,14.5,15.09,15.7,16.7,17.84,17.63,17.99,18.22,18.7,17.74,19.74,19.37
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,7.83,8.14,7.98,8.42,8.88,8.47,9.33,9.11,10,9.31,9.71,9.58,10.04,10.84,10.79,11.45,11.7,11.91,12.32,12.27,12.76,14.32,14.27
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,13.95,13.71,14.05,14.55,15.37,15.32,15.74,16.07,16.51,16.76,17.11,17.65,17.58,18.64,18.45,18.06,17.73,17.93,18.27,18.64,18.92,18.8,19.08
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Singapore,,,,,,,,,,,,9,15.45,12.75,10.03,13.66,11.12,15.78,12.32,15.4,16.73,17.92,17.06,17.12,18.05,17.37,16.26,15.54,18.92,15.29,17.64,15.64,18.45,15.19,22.43,16.73,19.14,16.35,19.79,18.61,21.07,16.52,16.94,15.69,15.79,14.79,16.08,15.64
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.64,25.87,27.74,24.7,29.23,28,32.93,34.31,31.49,32.54,30.78
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.17,17.93,17.68,22.65,21.2,20.32,22.13,21.88,24.44,21.58,25.59,24.16,25.35,24.74,24.63,22.97,22.77,25.89
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,7.4,7.67,8.07,8.11,8.01,7.96,7.55,7.54,7.12
Spain,6.45,6.2,6.44,6.66,6.53,8.25,8.37,8.73,8.92,9.29,9.31,8.5,8.62,9.34,9.46,8.68,9.55,9.33,10.26,10.38,10.42,10.38,10.9,10.88,10.81,9.52,9.77,9.68,10.39,10.81,11.3,11.69,12.48,13.29,12.9,14.22,14.46,14.57,15.77,15.97,16.55,16.43,16.4,17.18,17.36,17.39,17.7,17.62
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,1.61,5.93,4.44,3.47,,2.06,8.01,5.5,7.24,0.78,4.14,3.82,8.03,6.45,,,9.51,4.36,1.78,1.39,6.08,6.98,,6
