Trade balance (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Botswana,-4059998.548,-5039998.198,-6019997.847,-6999997.497,-8259997.046,-8679826.685,-11199776.37,-15399692.51,-26529470.27,-23169537.36,-34916200.12,-36083917.41,-38296489.26,-56484149.39,-73048598.73,-71689188.27,-59252873.24,-83135391.17,-97222221.16,-91226994.13,-142020590.2,-234289124.4,-149271848.8,-5651777.56,35362096.13,167840252.5,267429491.1,524449070.6,703089121.2,403597993.9,199569890.9,256256172.6,273957359.6,332129578.1,456350094,615139258.7,785492101.2,770743938.7,308615874.9,628851725.1,679474860.1,537457266.8,678699544.6,887826567.8,737177409.9,1722233026,1840506514,1489716458,-18808070.28,-1281973931,-1054224225,
Brazil,-8831444.838,-9149899.306,-263069361.2,-17161532.56,150139787.7,474987140,225450360.5,0,-206594895.1,24981634.41,-177912592.9,-848612915.6,-927784693.1,-975055676.4,-6172123587,-4907560230,-3659545984,-1172207018,-2387152111,-4615615399,-5295341313,-999146347.7,-1872613598,4906714630,11753827695,11487450779,6601570981,9608553068,17166386286,14761099609,5720000000,3108108108,9698373042,6167856624,1919413421,-11674173205,-15108944384,-19164335171,-16871790762,-8245290078,-11369226565,-7282118867,7632126651,16086447839,25733333333,31832374692,31607536765,20729867064,3139706016,-890576112.8,-20747860011,
Brunei,,,,,,,,,,,,,,,780499815.3,778475941.5,1072931844,1360990407,1563764292,2268923020,4026713992,3468074028,3075233645,2663984856,,,,,,794236784.1,864000000,981129891.2,416820135.1,123158806.8,109336126.8,184139974.6,-36170212.77,-68022629.31,-280831740,341002949.9,1892586032,1698908316,1489797157,2184905740,2913434280,4086996726,5334822833,4893570433,7295088908,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,1005827826,223792363.3,211194927.6,35381587.84,328202413.5,-71497381.37,-696233209.7,-522256748.2,-76004508.58,-377911127.6,-747945030.1,467741949.9,-604338823.9,-826261589.1,-60655337.74,263326225.2,229664607.1,529891423,132012204.6,-607624855.8,-688698614.4,-1306760438,-1292719559,-2135124586,-2897774194,-4360299854,-5840429275,-8303485146,-10631687775,-4290155684,-907975626.3,
Burkina Faso,-36274173.12,-36289448.55,-38617093.44,-39756809.58,-35778432.08,-28230584.36,-28486465.1,-40422439.2,-41940981.45,-51300014.29,-48756982.93,-69116691.74,-86086367.51,-112159848.1,-121427465.6,-214333570.3,-183597410.1,-254343320.2,-299304962.6,-367818631.7,-430294079.1,-393505717.3,-411020979.8,-347096787.5,-259811114.9,-327649906.1,-406872643.7,-396293266.2,-422028773.4,-389646614.5,-418343960.9,-404457926.6,-239283916.7,-273359090.5,-205185515.3,-296638305.8,-441088917.2,-386519756.2,-429812673.2,-436763050.8,-420648085.3,-390490292,-406633895,-552167878.9,-691637087.3,-848410735.2,-881797640.3,,,,,
Burundi,-1750000.64,-3500001.28,-7000000,-15749999.36,5249999.36,-3476148.148,-3666285.714,-1934857.143,-5626285.714,-4633142.857,-2262857.143,-14502857.14,-8244571.429,-7050208.682,-19958095.24,-45155555.56,-13122318.84,1665555.556,-51983333.33,-66977777.78,-133201111.1,-124952222.2,-169162222.2,-170043033.9,-118934090.7,-112241235.1,-127291596.2,-180963682.8,-144635190.5,-147013717.5,-225312545.6,-216993753.5,-224489561.3,-166880195.1,-168448010.1,-143580889.9,-86321830.16,-44795313.02,-102251763.6,-67783377.1,-86315511.95,-92989703.14,-101541854,-114665348.9,-161731658.4,-269776623.1,-333014400.6,,,,,
Cambodia,-51428564.11,-37142857.14,-59999992.69,-25714278.4,-5714293.029,-8571428.571,-45714285.71,-11428571.43,-22857142.86,-35211268.87,-14404032.89,,,,,,,,,,,,,,,,,,-99324329.51,-81250002.29,-73929237.93,-26894856.76,-57950413.5,-420854953.5,-359651672.8,-529889401.9,-646408625.8,-402905987.9,-410123184.7,-460354834.6,-435453284.9,-345053597.8,-379079535,-467682005,-389641935.8,-545136102.6,-540347711.9,-657977008.7,-231234807.2,-696612252,-611371604.8,
Cameroon,,,,,,-4080908.46,-22035679.41,-18251638.51,-26428571.23,6042040.854,17862999.92,-51084946.97,-81476662.13,-58098552.39,59503750.65,-78676266.34,-145277391.1,-92433862.96,-196983691.4,-416322997.3,50781988.04,-499957054.1,315125637.4,80758638.52,193889299.9,152612458,59152858.52,-483706481.4,8912820.749,327249145.1,319981543.5,666355511.4,254303257.5,83130077.74,388867590.1,504906441.5,485637459.7,301938325.5,358616957.5,454917660.5,361834398.8,-124230919.1,-85204257.66,44625184.99,-67861423.91,-168540400.3,368225801.4,168382209.9,-716829461.1,-1071610951,-698598935.4,
Canada,-480589422.7,-121835810.6,-4338816.795,358876812.3,505013556.2,-63081483.32,18564400.28,658195364.6,859416849.1,79867771.46,2194468370,1604278075,1006162239,1816818318,220858895.7,-2992528510,-1450304260,-361071932.3,799509073.4,1338569233,4982894287,2182000167,11992380644,10869847452,12235348622,8276821677,3581144297,4975113122,3839278459,179898648.6,761912924.2,-3431962992,-2158517415,-6976203.395,6673257176,18844360245,24712137880,12518416871,12357263229,24200713468,41703588984,41081482438,32424647932,32557990151,42786429109,42223707665,32089460136,27616609254,22886677163,-22571078646,-29627356476,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,-65222865.88,-64799161.76,-77257427.83,-100896949.3,-104973608.7,-106897910.6,-149592257.2,-130811814.4,-166418776.2,-196225261.2,-161459595.3,-153746380.9,-189407689.6,-224280013.9,-180674339.5,-183235663.2,-223549620,-293349984.6,-347163159.3,-279823600.2,-305249253.8,-465212891.4,-514583675.6,-510378475.5,-461578741.2,
