Trade balance (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kuwait,,,839898494.6,848297479.5,949085298.9,935199587.5,988399564,758799665.3,949199581.3,957599577.6,1025919637,1850333355,2133461487,2691757929,9250182034,6547553829,5959224659,4040954515,4755447227,12165028201,12615752255,7773015547,461948091.5,2040607508,3357405384,2344116927,-326914811.4,3448610542,956889057.3,2682288517,-2420138771,-11979808750,-2730061228,834437972,2117844967,2825067100,4124778289,4025186208,-1876948346,1957885678,9929910783,5500488609,3053735809,8439597093,14584422018,28852739726,42023641314,40264084507,60192419304,31017934524,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-544125000,-33333333.33,-278125000,-155037878.8,-106013986,-214135802.5,-471870972.8,-139720581.9,-354585203.3,-184781355.3,-78554413.74,-4541282.945,-60340401.42,-126089105.3,-192489979.6,-466821883.1,-1057408058,-1187633822,-2005003472,-1124784404,-1450358977,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,-62857142.86,-135555549.9,-72631576.25,-86228058.12,-109435418.8,-141848836.1,-114164591.7,-126196445.4,-113674453.5,-128865621.3,-229000004.7,-248900016.5,-343999988,-303500009.7,-145399975.5,-120816253.6,-244421679.1,-164859365.1,-132033715.5,-148943270.1,-388130000,-391698679.9,-264694595.5,-678988672.7,-831558356.2,-715615232.5,-332737106.6,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-97798564.1,659496190.5,333434371.6,726390568.6,104562090.4,-115262541.5,-415251929.2,-478898018.1,-822944799.6,-672799388.9,-550865622.4,-792302167.3,-907808577.3,-1406710705,-2148517399,-2307527487,-4279086367,-5763042040,-4595411814,-382848101.3,-200150815.3,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1990044104,-2325036835,-3160908158,-3576020913,-4606105683,-5234490257,-6037813668,-5805195938,-5201688860,-4689565418,-3945368369,-3755887231,-4297180763,-3609286899,-4140630182,-4711111111,-4640132670,-4687893864,-6307794362,-8734328358,-9588723051,-8908811484,
Lesotho,-9243749.354,-11764771.9,-14005680.84,-16946873.81,-17787214.67,-20728291.7,-25910364.63,-26470588.73,-26470588.73,-25070028.48,-25210084.51,-32167833.35,-42912874.21,-64841498.02,-95729010.43,-133783782.1,-178160918.6,-194252872.5,-195402297.8,-294536814.4,-384338903.8,-424031880.5,-429972389.3,-473779204.3,-425722048.7,-318700763.9,-340227565.3,-441077492,-515330746,-531695050,-568614944,-770532228,-821556216,-739782504,-735149252,-848768320,-809889320,-827154904,-661038120,-608923536,-515860743,-405828390.4,-418333766,-552490678.5,-906080281.7,-985166934.6,-936565598.8,-1052748864,-1052507558,-1193815081,-1527204073,
Liberia,14300000,-32100000,-68700000,-36300000,14500000,29700000,35800000,57200000,97700000,130299808,81100000,77500000,90600096,88999808,75099904,31800096,20900096,-62899712,-48600128,-33799872,-500224,27100224,-20000000,-19000000,45000000,62000192,95000096,,,,,,,,,,,-187000000,-102700000.1,-119800002.3,-25400001.26,-45444028.69,-45234441.09,-51491906.29,-63833125.55,-74361928.71,-334123371.4,-1194631744,-1192208265,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472719568,981048731.8,1735019694,-1012583369,262653286.2,1726673761,1327838828,1516709846,-412772419.1,2028843645,6825592065,3379830099,2186614173,6188112966,10394637895,16777973680,25891612865,27435462678,37191291654,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-901693980.2,884931879.3,293119631.7,-580066503.1,-418901381.9,-834781422.7,-775349760,-1013025280,-1277625000,-1099150000,-717550000,-670950000,-809604011.3,-1084321605,-1596359974,-1846855015,-3062244660,-5217675617,-5581951659,-524276972.6,-504619959.3,
Luxembourg,138492285.8,97661491.08,56313364.57,54798030.1,62176888.45,72787327.79,85607593.3,140496501.1,177191068.4,261186666.4,293049640.1,171264939,247881319.7,515601000,917796974.2,381861905.9,453353017.4,435969836.3,412291433.4,652974616.1,431826543.3,251883625.1,292069329,368976000.5,467284297.4,653957603.7,907777175.9,755754956.5,1011320305,1427566335,1685860012,1678233695,2512192472,2843959114,3551549879,4382457581,4164039088,3206472711,3185041120,4079373535,4258245808,3557404922,4419348767,6923814898,8241108069,9584763468,13100944500,16573734188,18535760062,16161024001,16634039735,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,163039700.2,157034676.8,264365709,221847746.7,220328979.7,414116900.4,445602780.1,559773998.9,777336676,675839710.2,990458303.2,1171440782,1238126532,1803777349,2058507230,1992801475,1778264435,1490002565,2183968029,2103086948,2371732012,2765398339,4154647371,3804771848,4195928988,4986442190,6983157161,9496911599,15966244145,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-448878091.9,-139515303.4,22999410.45,-202589519.2,-345404163.1,-434120752.3,-457107751.9,-505672874.8,-531334114,-366666432,-534155747.1,-478385822.6,-763032773.4,-781797394,-1109521256,-1018077681,-1169960337,-1504560698,-2487933241,-2008022567,-1712767559,
Madagascar,-44384303.22,-34248314.69,-34217120.79,-54260619.17,-53163616.57,-56583466.48,-53144584.02,-38159147.35,-51993291.55,-52842401.14,-26965179.5,-78937473.84,-54372158.24,-76549657.23,-89756298.19,-114848911.9,-51511194.81,-85013371.11,-184378808.4,-547637515.8,-662697191.9,-406605822,-332911110.1,-244526064.6,-135973286.2,-236235473.8,-110725432.1,-152432306.3,-166077833.3,-95477129.17,-352051571.8,-227610166.9,-250524811.4,-313407735.5,-225257857.1,-239421186,-220192506.2,-286982655.3,-289999006.6,-287883128,-284063180.2,-145558701.8,-288691883.4,-491984060.6,-647918397.6,-873833090.4,-884754097.4,-1596555489,-2858408095,-2036912555,,
Malawi,-26600026,-27160026.55,-24920024.36,-29820029.15,-17080016.7,-31639809.15,-41159751.72,-29273276.12,-37560151.34,-42840172.61,-43320174.55,-43928799.25,-59508958.67,-44186216.77,-60033286.2,-102798007.8,-56516357.91,-37322936.67,-170075083.3,-186685929.7,-172761976.6,-72154587.38,-74940073.23,-92614662.98,23489789.99,-64568688.32,-25308021.23,-27889203.85,-127240083.9,-250260933.2,-181283133.4,-132999533.8,-346401894,-333201545.7,-379503706.7,-247628649.3,-206454510.1,-325698062.3,-93391160.49,-271208318.5,-169666383.2,-191148907.1,-355836614.2,-337011767.9,-478693251.4,-775378825,-763313913.1,-435370963.6,-886068386.7,-751225966.3,-839242591.2,
Malaysia,296709844.5,126263001,60987783.57,44890484.21,47814392.21,134270423.3,131619119.5,80498981.97,119082376.4,375308676.3,175208138.3,63264701.86,-65723067.48,437266816.3,28427475.83,47630755.13,1165780251,998019989.3,906694085.4,1879638914,602676873.7,-1564322301,-2356987093,-1743055927,633871545.5,1592444933,1683428445,4463407905,3600122590,2356022520,933119943.6,-1798480821,802384436.6,-66819172.07,-1194222098,-3495449575,1397117183,915324670.4,15875142318,19828158497,18019473684,16181842105,17400263158,21700789474,25414473684,31496187090,35456895157,38460961399,51581546043,41539143082,42353517599,
Maldives,,,,,,,,,,,,,,,,,,,,,-21900000,-19100000,-17100000,-19800000,-10700000,6100000,10400000,16300000,12100000,9900000,6079200,-14500550,-15038630,-40602720,-5247140,61682242.99,83848768.05,64885593.03,89925762.96,62344029.74,111472537.8,8253930,39402980,49305350,-33526360,-384043640,-269395570,-356900000,-519700000,-308900000,-335800000,
Mali,,,,,,,,-34433447.65,-27141656.44,-26568095.07,-20622064.36,-29245919.94,-46339570.21,-71336277.51,-151638529.2,-162846697.1,-94161967.27,-71638202.64,-222906660.9,-243041375.8,-257479418.7,-237367961.3,-205109482,-198916179.3,-197031746.7,-357514899.9,-368801479.9,-319402078.7,-354662952.8,-322237433,-401386114.5,-396475092.3,-495604308,-412067344.3,-350100841.2,-373038164.1,-411664576.4,-263337179,-271634512.4,-301680363.2,-305247866.5,-446266005.4,-245641072.1,-477288368.9,-603841872.9,-619942821.2,-476199583.1,-671855113,,,,
Malta,,,,,,,,,,,-68142943.74,-61986536.66,-61774818.45,-62259131.88,-99432749.38,-59993249.49,-58480786.87,-84484271.14,-55387070.08,-52368882.85,-68421862.62,-99913922.37,-184698839.6,-161480887.6,-154887978.8,-163781155.9,-136180802.8,-155645952.2,-192017799.8,-218943213.1,-326478217.7,-288604214.1,-209911606.1,-251442172.8,-293201570.9,-458906297.9,-478924093.3,-287509687.9,-208024254.2,-206531289.3,-414611442,-181865423.7,101644218,-85747990.52,-218098231.4,-318705943.4,-401728238,-290630624.8,-309078389.1,-97243378.09,144370860.9,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,-7156800.882,-13688765.15,-18398465.83,-4944524.187,31767611.53,35544090.65,39574955.47,35010925.62,33833302.49,30613940.72,33184046.69,35450417.98,-2600176.868,1646340.601,-45593820.21,-104498916.1,-209501565.3,-220545350.6,-171378863.9,-171335425.5,-211530272.2,-223492363.8,-334885558.6,-240971285.9,-200274606.8,-142644629.7,-185947440.6,-159176222.1,-122162630.9,-67805070.79,-153855461.1,-89480497.54,-157056639.2,-129995530.3,-95555623.67,-91841619.76,-181911587,-215525615,-111918760.1,-131824121.5,-198469523,-223253084.7,-184478375.4,-396437668.7,-750969811.3,-1130591211,-127245416.4,-604610348.3,-823263484.5,-505747988.4,-419576565.8,
Mauritius,,,,,,,,,,,,,,,,,-48491923.63,-87630237.74,-125258081.2,-142356464.5,-116080966.1,-119509318,-30351665.43,-3929541.611,-34854230.58,-20398273.59,97427973.29,38669950.42,-105895901.3,-159871298.6,-191005238.8,-106949081.5,-104541426.5,-197075876.8,-310906792.9,-97950591.41,-30365387.54,-204395079.9,-34677286.59,-149369833.6,-25600430.74,268698911.3,144750016.7,72397606.22,-151462715.3,-377234607.4,-734860319.5,-725210745.7,-1269293440,-827727332.5,-1103383532,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,-411823833.9,-311912955.4,-234023836.5,-277032315.9,-445847673.4,-412431993.9,-375215994.4,-568839991.5,-679895989.9,-560119991.7,-675967989.9,-422919993.7,-347919994.8,-581983991.3,-1557919977,-2398559964,-1226253253,79274333.74,-583017534,-1697885936,-4409217383,-6319551186,8713031753,14263530509,13749350880,9373160307,5056577189,8573316308,2545786044,-144467198.9,-2901885550,-9143002061,-18303169072,-15829740427,-20304546853,7623140069,6849844291,-427884703.3,-8928804823,-7790886802,-11594576494,-13778890346,-11790624289,-10234683894,-13435800803,-12323668110,-11878704864,-16371645050,-24438398402,-12581798908,-14998719928,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,-86200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83837500.41,-47792542.24,-39000000,-204000000,-100000000,-150969984,-316139968,-376350000,-434630000,-179520000,-330530000,-350640000,-418670000,-668860000,-813080000,-1211030000,-1589761241,-2187529045,-3195998268,-1991880896,-2244239631,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,-1089508864,-974987221.3,-976184320,-753278144,-906893376,-1483275093,-1252314197,-1204029013,-1122831189,-565229209.6,-677231993.3,-97894087.51,-85121076.58,-91618008.18,-14825363.88,-93196782.42,63076544.59,-131156753.1,-126090238.2,-157950198.3,-192502941.9,-238308572.4,-248791311.5,-194301577.9,-122198557.6,202279447.4,57106296,-740239594.3,-332683633.2,-474449072.8,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-140704918.4,-273301296,-314982680.5,-279650248.3,-333076732.1,-395612486,-1020229304,-1598933949,-2493836296,-1371326870,-1153576270,
Morocco,17784863.85,-61258863.07,-73115422.1,-57306676.72,9880389.982,37545697.07,-11856535.92,-69163126.17,-51378322.3,-16599150.28,-155972730,-120792079.2,-32929055.82,-79232511.14,-48812302.62,-976927822.3,-1803226755,-2256967113,-1813113495,-2045420738,-1760351654,-2006283521,-1961514031,-1099658277,-1245843035,-1030259453,-981118954.4,-640992854.4,-56875330.58,-860962749.8,-1396933395,-1234828951,-1825333802,-1541079686,-1777105292,-2178746370,-1430741518,-1259357615,-1478278342,-1317977187,-1987671749,-954702291.4,-852282007.1,-1409177409,-2821041949,-3334235759,-3595384266,-6857299805,-11902451613,-9989326052,-9003801830,
Mozambique,,,,,,,,,,,,,,,,,,,,,-581748089.1,-558241865.3,-647120682.7,-538976683,-479413361.8,-383695714.3,-498212158.4,-582437922.5,-611828353.3,-704076505.4,-687097918.1,-666851997.2,-608180046.5,-695895552.9,-733815931.4,-571651893.2,-466119425.6,-422323877.2,-521852475.1,-914070500.3,-870993479.4,-615315556.4,-903775972.8,-874172593.3,-621677832.9,-803674987.5,-628974071.7,-786911490.3,-1393279218,-1791402778,-1723229458,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,169484126.3,-451241426.7,-347203035.5,-329413876.7,-249444173.3,103200563.6,81399368.94,-263748569.5,-104245932.4,-64437903.21,-364083157.8,-366854198.1,-418300891.9,-136179661.7,-92091974.82,-216427241.2,-279809803.8,-363935292.9,-409349447.3,-364216729.4,-143371757.9,-230572656.5,,-448148148.1,-149671095.1,10221732.98,-136336779.9,-115460992.9,-599733398,-1223625207,135041493.7,
Nepal,,,,,,-45281533.26,-28218926.52,-656254.1052,-5059922.358,-25283950.62,-29432098.77,-32888888.89,-23111111.11,-36567241.98,-62095861.24,-70368962.96,-49445275.76,-34959994.88,-78614685.79,-77416682.67,-139916672,-152833344,-172846595.3,-271247883.9,-227060511.5,-221916059.6,-246320078.5,-268912955.7,-381294032.4,-395379664,-403897377.6,-458559867,-332501113.6,-377850000,-506077551,-420050227.2,-579785000,-559740487.5,-537368845.8,-345813097.9,-502316490.5,-644519828.2,-650860002.6,-813349400.9,-929746692.1,-1211048734,-1621559151,-1939175592,-2606586405,-2869064091,-4291659512,
Netherlands,233306814.1,20373690.27,60521738.44,-108046214.1,-387744191.8,-36728332.1,-207145823.2,-106484672.5,123793785,89623139.62,-419431423.9,209273183,1652705301,2585527353,3095335683,3427152318,3497249542,1493220796,495009166.8,198835548.7,-202837508.3,5961317672,6358009408,4757161609,7013736264,5652202760,6540744738,5131636205,6022968001,7120440611,11230787849,12510608204,12731829574,17778832463,19774791137,23803184189,22071895425,21918906709,18844701178,17324738973,21359867330,23186577181,28550724638,33814898420,44969672136,54425956325,52444925051,64320497976,72355073791,53879804346,58185430464,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-410372650.4,-416888472.6,-525427260.9,-526660532.9,-451725802.2,-392742433.5,-447298822.7,-386023929.8,-549277380.9,-608630358,,,,,,,,,,,,
New Zealand,,,,,,,,,,,-197532758.1,58857472.59,285610111.8,8348406.846,-1727799228,-902416986.7,-362431800.5,-260689246.6,120192307.7,-341580687.2,-276973557.2,-769294813.1,-763292061.2,-362776025.2,-679767707.1,-699232736.6,-62523236.16,595892900,1504050576,17886352.61,111527568.3,1259932844,978805332.8,1324845976,1010697094,499618431.2,405936339.7,272140446.3,159397147.2,-428512045.3,860913889.3,1229799159,1229625068,306286661.8,-677657855.5,-2462031958,-1558304923,-1167829612,-1524180914,1844363973,,
Nicaragua,-5717041.029,-2811152.804,-6656602.06,-4216702.196,-5644237.438,-17530009.44,-42532820.79,-56397304,-25687292.53,-20956667.81,-19148812.92,-18559053.42,49614512.87,-104835617.7,-205881942.4,-140714504.3,21173553.17,-118814038.2,67243974.09,217774398.4,-408265314.4,-481003303.1,-247325345.2,-291616955.6,-405530300.8,-189470875.8,-232459536,-76626697.59,-1059971933,-330865156.3,-215963817.7,-456824742.3,-645680000,-481797394.6,-493526785.7,-496268260.3,-638731476,-839216350.4,-849528921.5,-1219508891,-1071339638,-1053943082,-1058949474,-1101612551,-1222297552,-1441984459,-1584971315,-1934755888,-2420418235,-1601774828,-1853630402,
Niger,-1371014.386,-7696830.065,-19487698.89,-5929276.539,-28166945.07,-30287618.82,-25393290.16,-39434438.99,-40738858.51,-44575870.13,-47403762.72,-22281115.54,-46568931.16,-77795626,-171390179.2,-123191550,-128531897.2,-125102966,-94007188.81,-175704326.3,-339834987.9,-261656754.9,-305229674.5,-109692549.3,-59273855.26,-174953988,-12994339.86,-97825512.08,-120531676.4,-146078284.8,-172259288.1,-108880050.7,-25362421.6,-39444797.1,-161757945.4,-134592812.1,-129516168.6,-141151667.4,-177671017.6,-131070323.5,-141998370.7,-149650769.4,-193403561.2,-250172057.8,-303813397.6,-312625600,,,,,,
Nigeria,-322410987.4,-317836640.6,-259766995.8,-245785504.4,-344896231.9,-300993980.1,-267954640.9,-329553408.9,-302113957.7,-267954640.9,-352092958.1,-256637168.1,-101557285.9,86138613.86,2636248416,-1248062954,-2071954315,846673819.7,-1537689970,2719273128,6535122227,-2427154437,-2969444046,-1368623912,534869182.1,1039419100,-687690073.6,923358449.9,250275287.1,1797411964,4163087175,1606301507,568456718.8,-657395143.5,235195103.3,591216600.3,7306987500,2608787281,-1459977273,-1472752280,10092959291,5138619236,-405569680.5,1530902781,11326928666,17388115430,22015060383,25021817387,25389652974,13853887180,13123291838,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,-56361446.54,-122864216.4,-105555659.3,-94027392.3,25315375.16,-24169052.95,-72926056.61,-105970523.7,228174840.7,263127715.4,-79799521.2,-370470103,131295346.2,-86544798.64,-728017762.7,-1901318181,-3003940255,-3777589931,168246761.9,1237732272,3882207645,4581061068,3168267741,4797982567,5426453471,4722933048,-2663529284,-2081781076,-595059076.3,3569700920,7486301260,9436209104,8642529568,7557124935,7559368624,9182188408,14331297094,12992337490,2764840758,11685685711,28791951646,28957927867,25683759613,29082229316,34844077065,49395265813,58517961808,53776824693,78323936170,42731217986,51717634082,
Oman,,,,,,,,12151239.23,104639912.7,150479874.4,138479884.4,101300785.9,57325554.57,61024991.71,427331180.1,353502345.2,418934283.9,390851458.7,262883886.9,759698794.9,1495656629,1930804555,1162999310,1236247809,1120450001,1265218273,-123042279.9,1547464585,725617691.2,,2293888185,944083232.6,1141742532,624187261.2,1061118344,1170351115,2145643710,1812743838,-1092327707,1747724331,5529258822,4218465574,4267880399,3669700940,3097529284,8460338170,9120936354,6938881720,12962288791,5227568313,,
Pakistan,,,,,,,,-661985937.1,-453990349,-448990769.1,-691985405.7,-598764528.7,-484834890.7,-175629608.3,-622599988.4,-1308500039,-1154100279,-1472700100,-1646299965,-2377700992,-2750997413,-3005401018,-3631473157,-3173052883,-3599825997,-3859113985,-3434207960,-2591012297,-3110044798,-3158988146,-3133969068,-709412950.6,-1541375331,-3157885591,-1433344479,-1644944061,-2864555918,-2927099543,-648129008,-1015745720,-922155109.9,-761027138.4,-65362130.56,494007170.9,1012767066,-4246231889,-10185676497,-10234758630,-18080760338,-12196211680,-9217470912,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15200000,-11200000,-24500000,-31600000,-46570000,-58517000,-61082000,-52128000,-70278000,-115619000,-35413000,-30362000,-11594000,-13700000,-5226000,-22096000,6056000,-32400000,,,
Panama,,,,,,,,,,,,,,,,,,,,,359400000,283000000,587100000,725800000,469000000,489900000,540300000,494700000,808900000,424500000,434600000,225700000,252700000,321000000,370500000,207700000,116900000,443700000,-210800000,-137200000,320300000,802600000,635000000,653800000,524800000,994700000,1240200000,1436300000,1342400000,3935300000,-1049124492,
Papua New Guinea,,-29456004.21,-30576004.37,-37408005.35,-48832006.99,-68652704.67,-91275618.77,-98331280.1,-102923059.7,-148728861,-228917012,-264612487.5,-146347420.4,130663258.1,103344337.6,-83911255.4,15009969.73,-21228203.18,-67851285.09,-2528710.312,-258160870.5,-512184487.4,-560460349.4,-442171950.7,-349766481.2,-250224964.5,-205888408.5,-204537909.5,-317033753.9,-429087061,-267944533.3,-374575544.4,94028723.17,780884400,757524906.4,803808993.4,567395379.6,-44080373.58,197885748.2,355700658.6,596336108.1,402985361.5,87361988.75,544150136.4,520153692.2,468634077,912188428.7,811007947.6,1020002796,63610582.72,262699981.9,
Paraguay,,,,,,-3525396.317,-13496031.49,-16795233.52,-22861905.27,-25722221.71,-7158735.238,-17063489.02,-555552.5079,6904766.984,-30253966.22,-82507922.29,-57396825.4,-62499986.29,-94569845.84,-187849191.6,-613277826,-673079361,-412500028.2,-8219157.041,-271981933.2,-133589786.2,-194348620.1,-319800963.8,-98392941.71,159912928,-328812002,-502644129.2,-677564487.1,-751932007.1,-927579842,-953415608.3,-1038176071,-1311345684,-750931598,-719862906.6,-759461216.2,-623153644.8,-248916008.6,-209868903.7,-280554545.8,-329969408.9,-421045270.2,-365980661.7,-874340550.3,-721479457,392440360.6,
Peru,-1527031.699,-40352664.78,-65509454.53,-112774194.2,-12474202.4,-171513736,-219985067.9,-294214865,-43927666.67,41343726.87,136950879.6,-77519376.99,-59431502.64,-222222273.2,-1002584021,-1820424277,-1269053650,-971244400.4,81878193.89,1344912004,616215450.8,-899791628.4,-748312010.7,40525605.09,781944056.9,1226500031,-248650006.3,-418200010.6,-466703977.8,27564710.73,507246371.3,-635857622.8,-1025766561,-1332796885,-1548519409,-3037061667,-2712672727,-2501052551,-3062320749,-1248065345,-1148310624,-1155322081,-698671227.3,-47283788.14,2537263189,4701554308,8007341002,7155905702,230791346.8,4545433225,4491952338,
Philippines,31564823.95,-103954701.4,-100622491.3,81095610.35,-16141710.08,24552429.13,136762356.1,-43580759.05,-196437655.7,-256352652.2,35546928.76,2954114.056,16929239.98,491838465.1,-321308206.7,-907297285,-1012464822,-602607798.1,-969486045.3,-1395991871,-1589576823,-1189799533,-2154683850,-2238966468,-329486576.9,652215676.6,1180926826,139685212.4,550755106,-918125369,-2555809303,-1358182512,-2595003342,-4592613870,-4042560848,-5799114912,-7279573838,-8512228988,-6595234603,-3262409529,-1613454144,-5227940742,-7274245099,-6322670474,-5022881265,-5776414522,-2181109538,-146092493,-4267472326,-1894893076,-3618367798,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217786400,-1464463447,1298835966,841578659.2,2131357861,2993426750,-2242127518,-6170847958,-8353858549,-9920571902,-10999362643,-6978431325,-6863184830,-5833513324,-5942082873,-2252525128,-6172763900,-12223587668,-21016935082,323387070.9,-5670978441,
Portugal,-155568262.7,-311297264.6,-135767512.5,-156482138.2,-137353803.1,-162395804.5,-147927517.1,-86227315.79,-227118061.1,-215936032.7,-420593048.3,-513039405.6,-422070596.8,-840264839,-2121045313,-1892000387,-2154689507,-2546468875,-2305954231,-2284493841,-3814368943,-4863488863,-4483695682,-2752718249,-1597621741,-891276002.9,-872186992.3,-2484370173,-4628028578,-3770135617,-5514285632,-6732137628,-8228305889,-6861811469,-7146524959,-7845031180,-8680530283,-9425500286,-11372328584,-13057319412,-12892205638,-12330201342,-10984566158,-11012641084,-15421082366,-18058996170,-17528392091,-18540782166,-25374885560,-17339197575,-16395761589,
Puerto Rico,-336000000,-275100160,-381900032,-361000192,-486300160,-609999872,-568899968,-533999872,-599600128,-737500032,-928700160,-1246500096,-1345600000,-1255200256,-1217200128,-2106300160,-2108000000,-1553200128,-1444300288,-1063500288,-1075100672,-735300608,288099328,-335500288,-423800832,-334000128,729399296,370699264,370599936,430899200,,,-7981197000,-8698658000,-9627239000,-10611240000,-11881730000,-13527310000,-13118700000,-15475100000,-14107690000,-13425003000,-13728236000,-13846541000,-14091400000,-15097032000,-15468523000,-14928900000,-14727430000,-13890611000,-13854750000,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818681224.8,82142802.03,357143057.8,1368681279,1141758209,4256868009,7983790979,6457142671,6238186633,7820329445,11452746923,14777746827,16476647877,18469779687,25980493757,15265933626,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3620535618,-1134816759,-2109446528,-1310439735,-620808124.9,-1985393655,-2977908602,-2492431336,-3380512357,-1719960413,-1929999616,-3084000000,-2602000128,-4467000064,-6875285248,-10247298560,-11134352384,-20530492556,-25585473818,-11150720042,-10135045838,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4508112254,1123164147,1456939353,64741048953,33546379891,18027979054,13428863633,16544463626,8919619706,18073158166,33395613323,52012086740,38865272540,37240829346,48937833963,72422769872,104613752873,125993895039,112060607956,153406644697,92705487976,123425974710,
Rwanda,2800000,2000000,-4400000,-8600002.56,-800000,-7200000,-10857144.32,-7820001.28,-11020001.28,-12600000,-8200002.56,-14838134.57,-19651269.37,-5354209.418,-28328331.32,-48470447.41,-32098254.09,-26174065.32,-78737606.55,-17664816.9,-138948742.7,-157582951.5,-177703581.7,-138315920.4,-111707861.9,-156179019.8,-147136018.6,-251557005.4,-263123823.5,-268717265,-218506725.1,-205322033.2,-258714367.6,-302178424.7,-440805352.7,-267363247.6,-278779971.7,-330924756.6,-350608605.2,-333592838.6,-294302601.2,-269605699.3,-297784694,-324405653.8,-284901994.3,-355876103,-442603227,-545164323.7,-742439094.6,-914274222.7,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,-4925925.839,-3888888.82,-9592592.423,-14518518.26,-16444444.15,-18444444.12,-26518518.05,-19629629.28,-17555555.25,-14681481.22,-22222221.83,-31703703.14,-40196301.51,-49981486.52,-35396301.6,-13311110.88,-25351845.48,-21925925.54,-53996301.27,-71148146.89,-48678308.71,-46528010.23,-60801543.25,-100708117.1,-91326142.4,-104509543.8,-93129120.22,-51844386.12,-58843203.41,-90192795.44,-116530589.1,-182134468.1,-171136147,-114123960.7,
Saint Lucia,,,,,,,,,,,,,,,,,,,,-40111110.4,-36370375.65,-51251845.02,-37411116.38,-11411116.84,-20996301.85,-18111110.79,-17599999.69,-27777765.44,-21199975.92,-68399975.09,-46099981.41,-58099981.2,-42100005.18,-29199999.48,-29399987.63,-9899993.899,-34888888.27,-55622221.24,-40144443.74,-63151850.74,-78685183.8,-84865924.43,-89057493.61,-119307412.3,-52594123.15,-94544155,-290819210.8,-315361537.8,-318384738.8,-122911111.1,-157333333.3,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,-16029629.35,-11125925.73,-23625925.51,-30270369.84,-23259258.85,-25474073.62,-22862962.56,-14329629.38,-6459259.145,-8962962.805,-22340740.35,-11262956.84,-30762962.42,-21803709.24,-57403696.76,-21118518.15,-42611104.43,-58466665.63,-38199999.33,-37407406.75,-80603702.28,-91585195.42,-62785184.08,-21574073.69,-33909258.66,-37774232.67,-70008310.62,-89702929.53,-92615852.07,-116172521.7,-193213194.8,-225273400.7,-198055175.9,-208725574.4,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50729783.04,-50541764.37,-47234037.29,-52550652.16,-47971310.24,-61090650.48,-57414106,-108457052.6,-109497445.9,-68459970.74,-69300703.75,-97051269.23,-120153988.5,-141178866.8,-121226722.1,-124335441.2,-153880800,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
