Total 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Norway,5.400000095,7.300000191,8.800000191,7.300000191,6.5,5,5.300000191,8.199999809,11.30000019,11.80000019,12.89999962,13.69999981,13.60000038,12.60000038,11.80000019,12.39999962,10.89999962,9.5,9.600000381,10.19999981,10.69999981,11.39999962,11.69999981,11.69999981,12.10000038
Philippines,,,,,,19.29999924,19.29999924,18.10000038,18.70000076,15.89999962,22,14.89999962,13.39999962,14,14.60000038,12.89999962,18.5,15.89999962,15.39999962,19.10000038,17.79999924,19.10000038,17.89999962,18.70000076,17.29999924
Poland,,,,,,,,,,,,,28.20000076,30.39999962,29.20000076,26.89999962,23.39999962,21.89999962,29.79999924,33.70000076,39.5,42.59999847,41.59999847,39.59999847,36.59999847
Portugal,,,,,,,,,,,,9.600000381,12,14.10000038,15.60000038,16.10000038,14.60000038,10.19999981,8.699999809,8.399999619,9.199999809,11.5,14.19999981,15.19999981,16.10000038
Romania,,,,,,,,,,,,,,22.5,20.60000038,20.20000076,18,18.29999924,18.79999924,18.60000038,17.5,21.70000076,18.5,21,19.70000076
Singapore,4.400000095,4.199999809,4.800000191,4.400000095,6.199999809,8,6.199999809,4.599999905,3.400000095,3.200000048,3.400000095,4.699999809,4.900000095,4.900000095,4.599999905,5.199999809,4.400000095,6.400000095,6.699999809,,6.199999809,7.900000095,8.300000191,8.5,
Slovak Republic,,,,,,,,,,,,,,,,,21.70000076,23.60000038,32.09999847,35.20000076,37.29999924,36.09999847,32.20000076,32,
Slovenia,,,,,,,,,,,,,24,22.70000076,18.89999962,19.20000076,17.5,18.10000038,17.89999962,16.20000076,15.39999962,15.19999981,14.69999981,13.80000019,15.69999981
Spain,31.10000038,34.70000076,37.5,41.79999924,43.70000076,42.79999924,40,37,31.89999962,30.10000038,28.89999962,32.40000153,43.09999847,45.09999847,42.59999847,41.90000153,38.90000153,35.20000076,29.29999924,25.89999962,21.10000038,22.29999924,22.70000076,22,19.70000076
Sweden,6.199999809,7.400000095,7.800000191,5.800000191,5.599999905,5.599999905,5.300000191,4.099999905,3.799999952,4.400000095,7.800000191,13.69999981,22.70000076,22.70000076,19.60000038,21,21,16.70000076,14.30000019,11.89999962,11.80000019,13.39999962,12,17.10000038,22.29999924
Switzerland,,,,,,,,,,,3.200000048,4.5,6.400000095,5.900000095,5.5,4.599999905,5.900000095,5.800000191,5.699999809,4.800000191,5.699999809,5.599999905,8.399999619,7.699999809,8.899999619
Turkey,,,,,,,,,,,15.39999962,16.29999924,17.79999924,16,15.60000038,13.5,14.30000019,14.19999981,15,13.10000038,16.20000076,19.20000076,20.5,19.60000038,19.29999924
United Kingdom,,,,,,,,,,,,,,,,,,,,,10.5,11,11.5,10.89999962,11.80000019
United States,14.30000019,17,16.39999962,13.30000019,13,12.69999981,11.69999981,10.60000038,10.5,10.69999981,12.89999962,13.69999981,13,12.10000038,12.10000038,12,11.30000019,10.39999962,9.899999619,9.300000191,10.60000038,12,12.39999962,11.89999962,11.30000019
