Total above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Madagascar,5.366331781,5.45294635,5.507644061,5.794587092,6.094394379,5.760768102,5.323105532,5.1845792,5.003104764,4.900541117,4.759410802,4.627001249,4.625998908,5.005907321,5.500836999,6.067282137,6.733697031,7.548703655,8.451081856,9.174426442,10.31292453
Malawi,4.927133935,4.577020202,4.220963173,3.998993964,3.695507856,4.26459439,4.488416988,4.19763281,4.265001587,4.820583596,4.690272965,4.70889784,4.85053222,4.917213024,5.01046891,5.126325774,5.185928872,5.257266781,5.792234376,6.442296357,7.250457938
Malaysia,7.329842932,5.93026579,5.295490847,4.989473684,5.546853405,5.589099217,5.717399201,5.626435315,5.667568911,5.78809362,6.157085159,6.682270334,7.780763031,9.316646141,11.2245854,13.23146174,14.97618778,16.6398253,18.2567789,20.26147155,22.22978595
Maldives,8.641975309,7.777777778,7.216494845,7.339449541,6.666666667,6.617647059,6.962025316,5.405405405,5.069124424,4.87804878,5.494505495,5.821917808,5.750798722,6.25,7.479224377,8.61618799,10.91811414,13.39712919,16.47331787,20.4494382,24.56140351
Mali,4.944926178,5.149286023,5.196601462,5.157437568,5.070422535,5.046983935,4.983989976,4.874013744,4.667822068,4.461667365,4.296577947,4.032121724,3.782647853,3.575001667,3.692215926,3.945388089,4.372679304,4.914663569,5.505341002,6.346190386,7.338995046
Malta,9.003215434,9.872611465,11.11111111,11.47540984,13.44262295,13.15789474,13.35403727,13.95348837,14.52513966,15.87301587,17.01030928,18.4079602,21.81372549,24.51923077,26.95035461,28.40375587,28.97196262,30.35294118,33.01662708,35.08353222,37.01923077
Martinique,7.239819005,6.530612245,7.042253521,6.774193548,7.926829268,9.696969697,11.31498471,12.35294118,13.37047354,14.63414634,15.88541667,17.63224181,19.21182266,21.68674699,24.3373494,27.8177458,30.45563549,32.60869565,32.92682927,33.41645885,34.7826087
Mauritania,2.769230769,3.494623656,4.074505239,4.133064516,4.438642298,4.456193353,4.521625164,4.571428571,4.529441369,4.49339207,4.416282642,4.3230563,4.398216939,4.611260054,5.134474328,5.830706889,6.738994367,7.786645902,9.012797075,10.24398685,11.56384032
Mauritius,4.462474645,4.035087719,3.945371775,3.85126162,4.11622276,4.591265398,5.900621118,6.502463054,7.196969697,7.890070922,8.779264214,9.82428115,11.64225135,13.60239163,15.58630736,17.91577445,20.63380282,22.82913165,24.33566434,25.50663871,26.15708275
Mayotte,12.5,10.52631579,8.695652174,9.677419355,8.108108108,6.52173913,5.454545455,4.225352113,4.347826087,4.06504065,4.054054054,4.597701149,5.050505051,4.954954955,6.072874494,7.272727273,8.609271523,10.12269939,11.84971098,14.44141689,16.36363636
Mexico,5.360297033,5.183210366,5.344236349,5.550303849,5.542177958,5.541949363,5.52474155,5.979014057,6.470990252,6.959235335,7.452024515,8.324314061,9.36672481,11.01003194,12.8927139,15.02533133,17.68808616,21.03578228,23.91632405,26.20157902,28.24531067
"Micronesia, Fed. Sts.",6.25,5.405405405,4.545454545,5.660377358,4.918032787,6.451612903,4.166666667,4.705882353,5.263157895,4.672897196,5.607476636,5.454545455,5.405405405,7.079646018,8.474576271,9.090909091,9.6,9.375,10.76923077,12.5,15.625
Moldova,11.22971819,9.862909368,9.027315123,9.235382309,9.738452977,10.80729167,10.83104567,11.78842505,12.78936512,13.09057386,14.31707317,14.84832358,15.96756152,18.27894889,20.69271758,22.71484968,23.3040201,23.76915553,24.74610697,27.12579058,31.18829982
Mongolia,5.401844532,5.300353357,5.202913632,4.94053065,4.708699122,4.633471646,4.750450992,4.869109948,5.861136159,5.685323931,5.234505863,5.721003135,5.965172286,6.694707326,8.394403731,10.6539075,12.85537701,15.3776435,18.05225653,20.84919473,24.28115016
Montenegro,10.32745592,10.07025761,10.06423983,10.45364892,10.78998073,11.29326047,10.74523397,11.13043478,12.96928328,13.50482315,14.41578149,16.82692308,17.6,19.52,21.51898734,22.62658228,23.77952756,24.6835443,26.03174603,27.63578275,29.46859903
Morocco,4.590127317,4.351687389,4.326137439,5.282905598,6.205094709,5.195030338,6.311647161,5.785272222,6.255794268,6.574407302,7.18398779,7.473846457,8.063121487,9.186764535,11.02209945,12.64756371,14.2726138,16.09317754,18.03020768,20.55221289,22.93349615
Mozambique,4.703508227,4.705207287,4.7345017,4.804060434,4.888371601,4.936875824,4.934915143,4.983862493,5.176487963,4.961113899,4.958632404,4.972402208,5.096330471,5.297222329,5.549132948,5.780884286,5.968960227,6.192415999,6.48495521,6.970387244,7.721579198
Myanmar,5.699632846,5.894781323,6.11654171,6.398638588,6.58233601,6.692544505,6.967042136,7.165366948,7.471967879,7.677928236,7.682406196,7.769159168,8.183150473,9.611001224,11.21722678,12.96170878,14.93387246,17.26434174,19.46824129,21.76507088,23.61536277
Namibia,6.391752577,5.805243446,5.833333333,5.856515373,5.519897304,5.309734513,5.522682446,5.46875,5.229681979,5.064854849,5.153508772,5.323383085,5.693628559,6.180008295,6.771231829,7.478632479,7.990638582,8.51535296,9.27772741,10.50955414,12.06464196
Nepal,3.777996554,4.264440433,4.561403509,4.795803672,4.944916323,5.016471998,5.060096952,5.129112133,5.224036851,5.341781519,5.58739255,5.936374991,6.183840279,6.636514676,7.244322209,8.032920512,9.016655596,10.24527338,11.78913879,13.5857838,15.60065266
Netherlands,11.45936326,12.3337364,13.13245668,13.86267491,14.52788218,15.12402137,15.69944158,16.76444199,17.34652936,17.73692387,18.19781325,19.24373353,21.91797274,24.08370773,26.35631782,28.77565137,30.83781004,31.76825451,31.6553727,31.35506003,31.29490201
Netherlands Antilles,8.108108108,7.37704918,6.666666667,7.534246575,7.643312102,8.982035928,9.604519774,9.944751381,10.05291005,10.9947644,12.70718232,14.05405405,14.92537313,17.56097561,21.05263158,25,28.57142857,32.19512195,35.14851485,37.87878788,39.37823834
New Caledonia,4.761904762,5.882352941,5.194805195,5.434782609,5.607476636,6.201550388,5.673758865,6.451612903,7.01754386,7.291666667,8.333333333,10.16949153,11.37254902,12.54612546,14.48275862,16.77631579,19.0625,21.21212121,22.89855072,24.29378531,25.8953168
New Zealand,13.10272537,12.64044944,12.22596965,11.83409437,12.47784474,12.74732404,13.68688473,14.39046746,15.29828706,15.44097693,15.79219437,16.49635036,18.19237918,19.88421287,22.03898051,24.50331126,26.25653398,27.22451385,27.66326334,28.30331754,29.20171995
Nicaragua,4.636785162,4.307488403,4.056338028,3.974793989,4.085035431,4.181558256,4.337127038,4.582210243,4.859767892,5.065464692,5.393214356,5.955653289,6.236041917,7.294493216,8.562874251,9.89088848,11.29316181,13.00547874,15.08429459,17.66679091,20.19643953
Niger,1.624035729,2.016985138,2.499228633,2.841210834,3.056569343,3.222003929,3.274814315,3.384615385,3.504554656,3.493496721,3.471718637,3.533811632,3.486030707,3.378590078,3.486294505,3.716684922,3.749654516,3.864671438,4.088422463,4.369300173,4.783743859
Nigeria,5.111777535,5.198483058,5.231566591,5.101656253,4.985212602,4.88060425,4.783693844,4.797303645,4.763763753,4.730690183,4.778001169,4.872266271,4.924206522,5.102597624,5.338135378,5.622706002,5.976563189,6.535184393,7.382490824,8.432735344,9.588595663
Norway,13.87442573,14.70674059,16.19207147,17.10985764,18.13257673,19.09635547,20.25935894,21.23765952,20.94339623,20.00458821,19.15700268,19.60319172,21.10356187,22.37442922,23.85532897,25.45657846,27.2068153,28.50061958,28.91859052,29.13251366,29.62340282
Oman,4.845814978,4.572564612,4.778761062,4.672897196,4.423592493,4.248366013,3.622577928,3.20470896,3.038524145,3.130755064,3.497085762,4.204892966,4.819277108,5.909943715,7.240984545,9.038054968,10.91627562,12.54371648,14.957834,18.00595238,20.6274349
Pakistan,10.48592729,9.717072294,9.094077369,8.644295797,8.129291359,7.324742413,6.604607246,6.038165765,5.651381535,5.568507753,5.655766479,5.946953249,6.201793746,6.554680733,7.112667339,7.858717675,8.786080175,9.889302783,11.17859195,12.7906068,14.8578742
Panama,6.511627907,6.550665302,6.74955595,6.595092025,6.378737542,6.492753623,6.755373593,6.982085439,7.252382926,7.629020194,7.994579946,8.812615955,9.723410322,10.91969255,12.46585548,14.29240862,16.31379541,18.32158873,19.9299258,21.34831461,22.83974863
Papua New Guinea,6.055555556,4.583333333,4.134615385,3.626037571,3.760282021,3.698534543,3.626133167,3.686382393,3.678606002,3.673036093,3.824730784,3.922850605,4.252539913,4.7674873,5.454545455,6.400431732,7.338172417,8.32948564,9.092482049,9.972231297,11.01095656
Paraguay,4.545454545,4.77326969,5.03408495,5.236564079,5.430410298,5.62878518,5.845576743,5.966522678,6.138287865,6.144553218,6.505888951,6.978319783,7.663725035,8.649728804,9.714664897,10.75791573,11.8146445,12.74586939,14.13618215,16.1714107,18.28687278
Peru,5.662603225,5.639487948,5.648977948,5.555071074,5.555976654,5.579002902,5.574470541,5.756132534,6.103049229,6.616264985,7.217565177,7.860324759,8.706265256,9.799019136,11.10063563,12.68172604,14.39482309,16.26478556,18.3494133,20.32873076,22.45518767
Philippines,5.520828124,5.067596659,4.819277108,4.710018688,4.851501395,4.957419478,4.925801222,4.930127751,4.885784769,5.149644113,5.519442907,6.0459676,6.667663647,7.659114366,8.778103973,10.00170547,11.299594,12.67073059,14.23651228,15.94747378,17.86571974
Poland,8.237995488,8.471097101,9.366354005,10.98848674,12.78510853,13.76664609,13.20065216,13.83833768,14.8596169,15.78101925,16.70266191,17.18152783,19.39902203,22.60181534,25.5787284,27.09466223,28.02940282,29.79170214,32.49619927,35.74339623,38.03142473
Portugal,10.46995836,10.72009292,11.52370203,12.43609691,14.04539694,14.86858023,15.6563588,16.84116063,18.77755511,20.34067138,21.53124083,22.27173604,23.62806298,25.20393029,27.09204049,29.41725812,31.64485453,34.24031967,36.65703276,38.13160987,38.42236645
Puerto Rico,6.083821541,6.974677921,7.708598052,8.201160542,9.565857248,9.220823409,11.19799812,11.9928931,13.26154718,14.23939476,15.43501048,17.27574751,19.56956957,21.49693252,23.49528644,25.3949258,26.93682956,28.27487473,29.7627606,31.10521236,32.11411851
Qatar,4.166666667,2.857142857,4.444444444,2.857142857,2.727272727,3.50877193,2.173913043,1.662049861,2.141327623,2.285714286,2.593192869,2.37020316,2.054340623,3.310852238,2.988505747,4.496208017,6.355715018,8.87804878,12.06896552,16.15935542,19.58584987
Reunion,6.048387097,5.802047782,5.089820359,5.154639175,5.422993492,6.211180124,6.719367589,7.608695652,8.099173554,8.584337349,9.392265193,10.31847134,11.20381406,12.75395034,14.69957082,17.40473738,19.86097319,21.27045236,21.89849624,22.78597786,23.85740402
Romania,8.675659105,9.847878303,10.6095176,12.1899958,13.22766997,14.26554337,13.25615963,14.35046647,15.64816411,17.45513866,19.01879292,19.27059259,20.28787164,22.14739273,23.83943468,24.13585813,26.87156858,29.34822699,32.46570143,34.38688745,36.98709416
Russia,9.190668147,9.13546557,9.345654096,10.38288875,11.93085518,13.59735384,13.49556086,13.87816806,16.01334558,16.6507293,18.36069597,17.19260749,18.07903567,20.06942985,22.49047296,24.33261551,24.985644,26.01126105,27.30071144,29.46732943,31.73611949
Rwanda,3.751736915,3.821399839,3.774238227,3.75,3.76059322,3.787706963,3.71368097,4.19053855,4.292505593,4.099264706,4.058298781,3.870106762,3.824445309,4.052788421,4.56365697,5.001362769,5.302371787,5.677551485,6.420722135,7.946121421,9.614600788
Saint Lucia,5.952380952,4.705882353,5.617977528,6.315789474,6.862745098,7.339449541,6.779661017,7.874015748,9.420289855,10.81081081,10.1910828,9.146341463,9.302325581,9.836065574,11.97916667,14.14141414,15.7635468,18.26923077,20.18779343,22.79069767,25.34562212
Saint Vincent and the Grenadines,5.882352941,6.756756757,6.25,6.818181818,7.692307692,8.510638298,8.080808081,7.692307692,8.490566038,9.090909091,8.411214953,9.345794393,8.490566038,10.81081081,11.11111111,15.31531532,17.11711712,18.75,20.1754386,22.22222222,22.22222222
Samoa,3.658536585,2.127659574,2.777777778,1.587301587,2.797202797,2.666666667,3.246753247,4.458598726,6.211180124,6.024096386,6.818181818,6.741573034,7.182320442,7.182320442,8.196721311,10.10638298,10.52631579,11.16751269,10.76923077,11.28205128,13.02083333
Sao Tome and Principe,5,5.172413793,4.6875,3.174603175,6.944444444,6.172839506,7.216494845,6.666666667,6.034482759,6.25,5.714285714,5.921052632,4.87804878,5.586592179,5.527638191,6.046511628,6.41025641,7.53968254,9.701492537,11.70212766,13.13131313
Saudi Arabia,5.592002499,5.540089087,5.475079794,5.300500835,5.10097493,4.826254826,4.362311296,3.86289445,3.53650286,3.632478632,4.051131722,4.175665947,4.614212231,5.506014102,6.795747912,8.631535828,10.84142838,12.91858599,15.14021001,16.77026001,18.61200183
Senegal,5.463576159,5.190952911,4.901006167,4.732394366,4.532374101,4.41898527,4.365572316,4.328472755,4.272823779,4.260969977,4.191919192,4.121609644,3.919129082,3.75929496,3.877740043,4.226377071,4.83573841,5.68914404,6.743628839,7.938831951,9.267134046
Serbia,10.92961093,9.796314258,10.3507384,11.36882129,12.98018106,13.04042179,12.55449972,13.5677308,15.33235786,17.5357773,18.90851673,18.96306818,19.68344156,21.57900092,22.67429973,23.53909465,24.58778388,25.97049283,27.57271285,29.25417917,30.71987821
Sierra Leone,5.244215938,5.558217537,5.723158829,5.72597137,5.736782902,5.595359945,5.427782889,5.260258882,4.871481028,4.439428141,4.042553191,3.641346907,3.479005998,3.309945088,3.376161837,3.612378252,3.970473101,4.49908182,5.176933159,5.940337224,6.700948096
Singapore,3.714565005,3.363914373,3.671970624,4.680851064,5.732177264,6.751985878,7.243377483,7.819992623,8.388594164,9.313020983,10.55514065,12.27453736,16.03637115,20.88932806,26.53256705,31.77326123,35.56776557,37.64813127,38.33425262,38.80149813,39.59011684
Slovak Republic,9.927849928,9.844695973,10.51616015,11.66895919,13.94475138,13.82731687,13.38424437,13.67438242,14.79650057,15.03829628,15.3188325,16.07872261,17.64923304,20.29812293,22.69386255,24.60742657,26.00486072,28.33491912,31.45631068,34.1603811,36.19357462
Slovenia,10.57627119,10.90790333,12.34177215,13.74233129,14.91911324,15.3272101,14.4650655,15.08231545,16.29475869,17.85350966,19.32561651,20.46929606,22.41975309,25,27.36124635,29.57540264,31.38506876,33.10208127,35.12024048,36.43724696,37.06543967
Solomon Islands,3.333333333,3.921568627,5.084745763,4.444444444,5,5.18134715,4.80349345,5.494505495,5.079365079,4.683195592,4.578313253,4.651162791,4.68164794,5.183946488,5.740181269,6.482758621,7.369758577,8.854781582,10.4510451,11.86264308,13.20754717
Somalia,4.639858595,4.761904762,4.897090135,4.947998739,4.915301305,4.859086492,4.724898974,4.716981132,4.639878696,4.463190184,4.462474645,4.345744044,4.338070307,4.566210046,4.785235995,5.027652086,5.342056787,5.741464243,6.298449612,6.556920937,7.078780664
South Africa,5.949422599,6.072032245,6.058864107,6.036136065,5.541483358,5.183484453,5.052624338,4.988015413,5.129670449,5.483987915,5.908179184,6.531732989,7.316155354,8.462803521,9.613047771,10.46944165,11.05730575,11.47059354,11.97359029,12.94619922,14.19140171
Spain,10.93577065,11.5324017,12.32719272,12.78387821,14.21339333,14.92223623,15.45410937,17.00931661,18.96707088,20.81238893,21.59833114,21.60059453,22.4043957,23.19816957,24.74672597,27.17492794,30.07855665,33.22385445,36.12145573,37.51124672,37.52487223
Sri Lanka,12.16019417,8.603227602,6.705917573,5.986418871,5.934504792,6.33838567,6.846404144,7.608090555,8.333333333,8.999177406,9.473067292,10.11057643,12.28749204,14.71560847,17.13640969,19.6559862,21.85627394,22.5188781,23.71315244,26.14385024,27.84483553
Sudan,5.342763874,5.149051491,4.895583704,4.744249395,4.700797872,4.699022466,4.724754986,4.772793415,4.842936769,4.941153584,5.125340209,5.38529123,5.743853313,6.122064154,6.607019959,7.188343418,7.921960816,8.853334971,9.991306868,11.28707963,12.71809604
Suriname,8.372093023,6.827309237,5.882352941,6.006006006,5.614973262,5.509641873,6.02739726,6.64893617,7.178217822,7.621247113,8.547008547,8.817635271,9.487666034,10.03649635,11.64021164,14.16382253,16.11295681,18.24104235,19.25566343,21.06109325,22.65372168
Swaziland,4.379562044,4.560260586,4.597701149,4.580152672,4.269662921,4.263565891,4.318936877,4.390934844,4.277456647,4.44214876,4.805914972,4.808548531,5.25,5.598755832,6.027596224,6.048109966,5.905511811,5.482041588,5.525197328,6.187389511,7.789232532
Sweden,14.95367071,15.76700633,17.25935829,18.25704681,19.57224571,21.02758116,21.94945848,23.58366271,22.75966819,22.03466636,22.11060948,23.27890556,24.98386056,25.94230364,26.74765778,27.7833804,28.86638872,29.54211197,29.60054295,29.59095699,30.1986755
Switzerland,13.89895545,14.3542583,15.12762763,15.50546448,16.41332471,17.46883383,18.24944603,19.10355487,19.43120905,19.60505754,20.27835769,21.58022037,23.28550744,24.79317477,26.70050761,29.08977556,30.96845465,31.74218561,31.77514084,31.82195846,31.81390977
Syria,6.732673267,6.289150589,5.649350649,5.075954057,4.62962963,4.324754577,4.167595275,4.150873625,4.229559748,4.373117985,4.578765671,4.685947388,4.865585425,5.462785286,6.322468558,7.609455868,9.211387435,11.20296114,13.62610302,16.39252232,18.90222427
Tajikistan,7.436399217,7.46352413,7.537205953,7.609561753,7.477906186,6.715116279,6.194690265,5.935173018,6.240573152,5.884389062,5.527638191,5.095638868,5.017667845,5.462509662,6.535638172,7.966064346,9.014348097,10.00793493,11.01888952,12.76340111,15.58815588
Tanzania,3.777284015,3.878718535,3.980543975,4.050351088,4.118252684,4.188842277,4.233654877,4.28204658,4.340652866,4.424129187,4.582344496,4.740053322,4.862452541,4.893306724,4.952853931,5.055196154,5.251933877,5.628144298,6.190574059,6.866035102,7.661876091
Thailand,5.052171803,4.999789925,5.140727878,5.252205243,5.385856413,5.549899373,5.761255924,6.282353837,7.389501544,8.540215168,9.63188708,10.2521722,11.54551725,13.72481734,16.39325906,19.12898607,21.55808445,23.43494202,24.65610896,25.60843406,26.35187634
Timor-Leste,5.517241379,4.535637149,4.4,4.718693285,4.462809917,4.457652303,3.780068729,3.495440729,3.513513514,3.769140165,4.187192118,4.54086781,4.786324786,4.837545126,5.126621371,5.294117647,5.275553462,5.494966443,5.547169811,6.386612022,7.462686567
Togo,6.772009029,6.180555556,5.739795918,5.315420561,5.161895824,5.147058824,5.03054258,4.961147639,4.891719745,4.896209386,5.028571429,5.206073753,5.485916531,5.835962145,6.264803411,6.775096941,7.454275828,8.360010976,9.581450857,11.01057015,12.52842201
Tonga,2.222222222,1.818181818,2.941176471,2.469135802,3.06122449,3.191489362,4.12371134,5.376344086,6.451612903,7.368421053,8.080808081,8.653846154,7.692307692,8.737864078,8.333333333,8.849557522,10.52631579,12.29508197,11.47540984,12.29508197,13.00813008
Trinidad and Tobago,6.132075472,6.102635229,5.81257414,5.797101449,6.687242798,7.616221563,8.063021316,7.986406117,7.976973684,8.076009501,8.57805255,9.3323217,10.56547619,12.22547584,14.65703971,17.66402307,19.60926194,21.522694,23.67833209,27.2243346,30.07047768
Tunisia,8.069082673,6.813471503,6.252960682,5.572354212,6.180542016,5.824214613,5.855018587,6.274723776,7.14459591,8.617795187,9.067823511,9.212391172,9.71659919,11.09988055,12.89811719,14.78467277,16.92092026,19.33996603,22.22399489,25.28653861,28.22187254
Turkey,5.771737107,5.855581291,6.067582885,6.244530566,6.785793195,6.658416442,6.308218881,6.297523884,6.700543817,7.412914189,7.807938849,8.242468525,8.998084671,10.06190208,11.52961095,13.40254567,15.5074356,18.01285018,20.48683892,22.79877638,24.42164926
Turkmenistan,9.496284063,8.641063516,7.726130653,7.407407407,7.221206581,6.78302261,6.013986014,5.885997522,6.190346332,6.20969668,6.576316374,6.049969027,6.142553602,7.006716282,8.628394637,10.5089771,12.15936255,13.8716677,15.63399485,17.74073523,20.49735138
Uganda,4.728682171,4.356670622,4.24403183,4.218145514,4.22624722,4.250826295,4.290794153,4.319026698,4.332129964,4.371271773,4.138015717,4.024250026,3.849454094,3.681784986,3.497560344,3.432262897,3.625630991,4.108348187,4.748339328,5.558868429,6.509329564
Ukraine,10.93951094,10.88555824,11.10046281,12.32245258,13.98228966,15.78603778,15.48699093,16.42180933,18.48864936,18.49871727,20.93104154,20.59443912,20.89972709,22.08486166,23.85842357,25.39648212,26.15522433,27.32738157,28.76646451,30.86651571,32.75187712
United Arab Emirates,5.797101449,5,4.395604396,4.166666667,4.888888889,3.578154426,1.97044335,2.197023388,2.086677368,1.892225422,1.851851852,1.78658835,2.059885326,2.907200616,4.188019085,5.370885869,7.978642258,12.37510705,15.74633884,17.24532621,17.55725191
United Kingdom,15.51850169,16.18195668,16.86588253,17.57898029,18.80355699,19.6930082,19.96626121,20.74617629,20.81098552,20.74876813,20.79818024,21.26617989,22.68211118,23.29644729,24.24256391,25.81192475,27.17413697,27.78292062,27.81906715,28.19020642,28.83714503
United States,12.50031683,13.11239782,13.25472559,13.46138419,14.07933621,14.80737722,15.63921767,16.399084,16.58171973,16.2593155,16.18596313,16.73680386,18.19103387,20.08310916,22.27707899,24.17919684,25.2767034,25.89243656,26.28121231,26.75185563,27.35849757
Uruguay,11.83035714,11.72006745,11.8503937,12.34705228,12.92274831,14.13427562,14.74622771,15.57104914,16.54884319,17.16764797,17.34417344,17.89473684,18.38126297,19.06705539,20.13172967,21.29760226,22.28109314,23.61226181,25.15118197,26.10485863,27.4002751
Uzbekistan,9.122584732,8.889195149,8.775414817,8.931887032,8.711994654,7.741289261,6.707622869,6.405106477,6.45805917,6.322265369,6.57087504,6.189915264,6.321735689,7.272109998,8.969343253,10.93654481,12.53352194,14.33124677,16.17071591,18.49561939,21.49404468
Vanuatu,4.255319149,3.703703704,3.076923077,2.739726027,3.529411765,4.95049505,4.237288136,4.580152672,5.369127517,4.651162791,4.736842105,5.069124424,4.87804878,6.115107914,6.493506494,7.374631268,8.423913043,9.547738693,10.48951049,11.86813187,13.69294606
Venezuela,3.415783274,4.012197079,4.182609843,4.453975586,4.801864802,4.968992857,5.060608068,5.322403741,5.795339412,6.246605106,6.735220615,7.494013768,8.631731167,10.01885526,11.50715269,13.31995024,15.02032684,16.50219582,18.28169084,20.13853445,22.08981495
Vietnam,7.005554743,7.231040564,7.382310984,7.640620489,7.52016411,7.489317353,7.041038337,6.984796026,7.038809305,7.500411207,7.802906068,8.463871543,8.735355895,10.02594851,12.28458611,15.18999745,18.16345497,20.85041031,22.92473588,24.47331018,26.6387864
Virgin Islands (U.S.),10.71428571,10,9.090909091,6,4.6875,4.705882353,6.12244898,7.547169811,8,10.37735849,12.8440367,17.43119266,20.72072072,23.14814815,27.61904762,31.06796117,32.29166667,32.60869565,31.46067416,31.70731707,34.66666667
West Bank and Gaza,7.355864811,6.813819578,6.181818182,5.263157895,5.21023766,4.868316042,5.010155721,5.381165919,5.111524164,5.581039755,4.826929184,4.489904357,4.399092971,4.557956778,5.098174302,5.875171677,6.612925263,7.532467532,8.439868763,9.418774828,10.84372564
Western Sahara,0,0,3.125,3.846153846,3.846153846,3.947368421,4.666666667,4.371584699,3.669724771,3.831417625,3.785488959,3.628117914,3.969754253,5.263157895,6.906077348,8.785529716,11.38310894,14.08450704,16.91093574,19.69365427,21.79487179
"Yemen, Rep.",6.165971256,5.347706616,4.770114943,4.347076074,4.053208138,3.807106599,3.556085919,3.315244203,3.09454191,3.903633084,3.735078937,3.748810657,3.846153846,4.116187943,4.48553817,4.911569224,5.354782962,5.983123928,6.965078552,8.373670846,10.13075548
Zambia,4.360837965,4.18236624,4.20499343,4.298642534,4.327852998,4.407263824,4.416349151,4.421518055,4.413252403,4.457619675,4.556744364,4.677117056,4.760467748,4.713265238,4.604563187,4.451855381,4.385502944,4.544660788,4.988971325,5.530210304,6.30611963
Zimbabwe,5.347399054,5.369965657,5.277185501,5.111965619,4.881798962,4.717898833,4.697156984,4.543913191,4.539806939,4.729787416,5.121618367,5.635270541,5.789765087,5.866419559,5.626565611,5.244338498,4.872739451,5.078947368,6.431204543,8.975752706,12.01244533
