Total above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Belgium,15.91330552,16.60649819,17.63163644,18.42996191,18.9615784,19.18396564,18.37606838,19.49057565,20.55773684,21.43777888,22.03472972,22.02380952,23.37383178,25.00459643,26.99131064,29.0795353,30.66713856,31.64045339,32.07448204,32.29039568,32.34423947
Belize,5.797101449,5.128205128,6.382978723,5.714285714,5.737704918,6.71641791,6.25,5.521472393,6.282722513,5.479452055,5.952380952,5.319148936,6.050955414,6.12244898,7.754010695,9.429280397,11.1627907,13.24503311,15.04237288,17.10794297,19.56521739
Benin,11.07857491,9.604519774,8.814455707,8.279483037,7.722987672,7.142857143,6.54494382,5.920892987,5.42118432,5.031446541,4.940681784,5.007625826,5.014653207,5.108940646,5.35523614,5.790047221,6.357142857,6.990917082,7.743622585,8.614177091,9.594213447
Bhutan,4.166666667,3.571428571,4.444444444,4.296875,4.054054054,4.735376045,4.728132388,4.98960499,5.301645338,6.114398422,6.773618538,6.625577812,7.062146893,7.792207792,8.769792935,9.595375723,11.09877913,12.74089936,15.23316062,18.63041289,21.6189536
Bolivia,5.602653889,5.553708015,5.492537313,5.54518795,5.533127523,5.568396722,5.524449421,5.63191418,5.997001499,6.228281208,6.467900938,6.699346405,7.17989629,7.785865659,8.584686775,9.506871463,10.63895068,12.11009174,13.66015846,15.40785498,17.50620431
Bosnia and Herzegovina,6.083364626,5.600814664,6.006289308,6.564615838,7.744107744,8.113157192,7.998977766,8.70514064,10.45053414,13.23132313,16.58998647,17.67195767,19.10082469,21.70646633,24.53754081,27.44663155,29.809605,31.87683284,33.95193185,36.43287845,39.18245264
Botswana,7.038834951,6.609808102,5.555555556,5.369127517,4.624277457,4.161566707,3.865717192,4.051724138,4.14507772,4.325371207,4.761904762,5.380434783,5.915065723,6.888361045,7.588684329,7.912745937,7.929334429,7.982525814,8.807692308,10.43997017,12.40029007
Brazil,4.868740389,5.03919729,5.322775762,5.423994118,5.699492661,6.010413488,6.192289034,6.31514003,6.807469362,7.343682355,8.128032152,8.896066555,10.15279597,11.90649894,14.02234851,16.5459954,18.88360826,21.20718823,23.9135471,26.8794668,29.30045032
Brunei,6.12244898,7.8125,6.097560976,5.825242718,5.384615385,4.968944099,4.639175258,4.444444444,4.280155642,4.06779661,4.491017964,4.87804878,5.882352941,7.936507937,10,11.15459883,13.57798165,15.39792388,17.19008264,19.11532385,20.73170732
Bulgaria,10.16411529,10.64141886,11.39079583,12.94806145,14.71489161,16.08944954,15.65109456,17.48688762,19.27656197,21.3499282,22.16256711,22.88113695,24.52654041,25.93969434,27.32326112,28.64336493,30.17934447,32.2392886,34.72527473,36.58062235,38.20474777
Burkina Faso,3.773584906,4.333868379,4.68220339,4.8661325,4.886748707,4.891480402,4.752186589,4.505323293,4.174228675,3.8507109,3.605995717,3.498181818,3.279292557,3.229539238,3.429198482,3.800781093,4.288066433,4.86287089,5.522505006,6.268403321,7.077608797
Burundi,5.171009772,4.955290611,5.102040816,5.199252802,5.34698521,5.49211528,5.400823444,5.078844972,4.682274247,4.45849546,4.388133498,4.364326376,4.436099049,4.962278185,5.505476398,6.011467479,6.477834576,7.160883281,8.348227584,10.21531945,12.29960932
Cambodia,4.533947066,4.521990502,4.545454545,4.591338326,4.626026805,4.64985205,4.757670076,4.506729226,4.437564499,4.46357965,4.624186848,5.198644459,5.858518765,6.541941795,7.353439512,8.290728931,9.268195612,10.07006912,10.68049079,13.41161122,16.19599933
Cameroon,5.709807434,5.755102041,5.770297762,5.822031095,5.820415326,5.776357827,5.683445313,5.604719764,5.509686912,5.449630051,5.445263755,5.437405308,5.431405953,5.53951642,5.700673567,5.95233599,6.293266205,6.826316132,7.683171935,8.8728191,10.20852616
Canada,11.32707287,11.07086114,10.69354478,10.94567813,11.41094124,12.34551897,13.28873843,14.61187215,15.53373524,16.10074054,16.70142736,17.83459205,19.96990351,22.31488786,25.00269542,27.51752503,28.8372325,29.74221319,30.52591912,31.23173566,31.81429279
Cape Verde,6.164383562,7.100591716,6.598984772,7.423580786,7.865168539,8.273381295,8.275862069,6.896551724,6.76056338,6.516290727,6.621004566,5.833333333,5.653021442,5.656934307,6.701030928,8.631921824,10.99071207,12.18045113,14.28571429,17.0487106,20.37037037
Central African Rep.,7.785336357,7.158196135,6.857523302,6.735436893,6.560962274,6.544372831,6.39329806,6.226126814,6.243602866,6.060606061,5.981308411,5.89956119,5.839253996,5.906230972,6.103725894,6.4,6.682926829,7.129742962,7.80141844,8.779413788,9.994739611
Chad,6.910736323,6.42270351,6.367924528,6.255666364,6.141304348,6.018295619,5.814710349,5.591727308,5.355388143,5.091878244,4.85598667,4.621219683,4.43285528,4.475108638,4.558576704,4.654876678,4.790198759,5.055941085,5.53249754,6.181818182,6.984447005
Channel Islands,16.66666667,18.69158879,19.09090909,20,20,19.84126984,19.68503937,20.14925373,19.28571429,19.44444444,19.04761905,20.13422819,22,24.34210526,26.62337662,29.60526316,33.11258278,35.09933775,35.7615894,36.05442177,36.61971831
Chile,6.854043393,7.28966435,7.481035836,7.52688172,7.729266764,7.870237067,8.200679664,8.514328186,9.029567854,9.55719045,10.30546728,11.64631527,13.15513015,15.00446229,17.52239927,20.35191529,22.57836198,24.37524792,25.4795459,26.91168617,28.66201956
China,7.493687517,7.581737367,7.22698885,6.975033123,6.836072264,6.930452925,7.389635121,8.022840476,8.462738018,9.191136699,9.98639256,10.83809424,12.29511102,14.79758567,16.72801567,19.61159971,23.40721301,26.42308613,27.4948679,28.69636399,31.08146254
Colombia,5.284214036,5.069790989,5.12900606,5.237068966,5.40477195,5.636917428,5.789610679,6.060808108,6.287830879,6.519294589,6.858751949,7.449650398,8.583338733,10.18486646,12.01078848,14.12807954,16.28568934,17.94179215,19.74149414,21.46970112,23.12255479
Comoros,5.806451613,5.649717514,5.208333333,4.716981132,4.661016949,4.832713755,5.182926829,4.6875,4.587155963,4.471544715,4.537205082,4.707792208,4.768786127,5.091383812,6.071428571,6.732891832,7.597535934,8.908045977,10.33243486,12.42553191,13.69193154
"Congo, Dem. Rep.",5.582464494,4.989696791,4.72599623,4.627778095,4.594527976,4.58327999,4.574898785,4.531558499,4.468217306,4.389831263,4.29462336,4.250241202,4.21224899,4.192877533,4.242306683,4.388503873,4.672406649,5.096693332,5.677736663,6.484750045,7.548487252
"Congo, Rep.",5.693069307,5.803571429,5.835806133,5.89254766,5.992509363,5.867182463,5.84666299,5.762871989,5.764513491,5.681409565,5.828119855,5.710102489,5.666400638,5.635803931,5.70455513,5.950510605,6.479284541,7.295404066,8.530500563,9.993896857,11.52725153
Costa Rica,7.660455487,7.358156028,7.196401799,7.016434893,6.813186813,6.920077973,7.197614991,6.973293769,7.207792208,7.358436332,7.659033079,8.31408776,9.480715363,11.21646157,13.52123405,16.08404275,18.37584591,20.07372654,22.0557094,24.32647856,26.67922159
Cote d'Ivoire,3.993610224,4.059167527,4.12311266,4.142992424,4.166666667,4.183658058,4.217153718,4.344090128,4.559150016,4.852489654,5.278083222,5.747245895,6.063977747,6.327440938,6.559810033,6.782567758,7.066052227,7.602239946,8.534186577,9.675127401,11.00915316
Croatia,11.34475597,10.86463322,11.74579624,13.03081776,14.96044114,15.4982415,14.75896733,15.62360304,17.10934042,19.76445396,21.73623446,21.88203512,23.46938776,25.43498168,27.4600602,29.10886433,30.38277512,31.53526971,32.98377029,34.3550447,35.04966022
Cuba,6.960635242,6.804281346,7.25388601,8.14889336,9.064830752,9.907809685,10.82647149,11.36453788,12.12464589,12.5939505,14.37590188,15.22244059,17.29739379,19.58266453,21.86885832,26.04484305,30.88021779,34.50222058,35.79507651,36.71982674,38.74550129
Cyprus,8.888888889,9.981167608,9.598603839,10.12006861,13.84364821,13.81578947,14.07528642,14.35185185,14.6627566,14.6374829,15.37484117,16.98564593,18.40909091,19.78378378,21.8556701,23.57001972,24.7148289,25.69060773,26.9955157,28.64628821,30.0681431
Czech Rep.,12.50280081,13.07717146,14.54907301,16.45895561,18.18181818,18.72633048,16.81579459,17.42798953,17.76807375,18.00387597,18.33920188,19.93919184,22.20941402,24.35055667,25.46830653,26.51536643,27.62357414,30.02010916,32.53998844,33.57198142,34.4636611
Denmark,13.39264809,14.23744087,15.45851528,16.45303635,17.61363636,18.71171705,19.47697112,20.30119304,20.36964981,19.8584274,19.75262369,21.2110024,23.39843037,24.87778381,26.27789777,27.98353909,29.42643392,30.30410813,30.29060439,29.53405018,29.27180966
Djibouti,3.225806452,2.898550725,3.571428571,3.418803419,3.75,3.139013453,3.529411765,3.722084367,3.935599284,4.012841091,4.383561644,5.086848635,5.460750853,5.974842767,6.517509728,7.117117117,7.956448911,8.925750395,10.01494768,11.45907473,13.15610089
Dominican Rep.,4.365733114,4.166666667,4.088331841,4.124493927,4.21922575,4.445288754,4.759493671,5.288533976,5.940594059,6.647790225,7.347447073,8.015107008,8.762836186,9.806807728,11.21495327,12.92181757,14.66613033,16.30901288,17.87811761,19.62020566,21.41953724
Ecuador,8.173502508,7.538860104,7.028610047,6.686103013,6.300268097,6.137811233,5.963590709,5.965721819,6.226286604,6.68128014,7.440500366,8.375440208,9.446703456,10.92690279,12.44797086,14.0768848,15.80146265,17.53129549,19.2743635,21.08068679,22.96102741
Egypt,5.215451123,5.357509127,5.39587755,5.425349971,5.467629944,5.553170535,5.635324301,5.770521578,5.956253894,6.227685562,6.501075912,6.683861268,7.451997064,8.146832574,9.095793753,10.22282345,11.36918985,12.52843274,14.26010738,16.51217422,19.18106443
El Salvador,6.039963669,5.797697368,5.665824612,5.548705302,5.45308741,5.547686497,5.791505792,6.281256251,6.830549822,7.48952514,8.378196501,9.288896222,10.17277571,11.03102476,11.87849479,12.86066406,14.0548823,15.41160594,16.78064177,18.24158824,20.27918782
Equatorial Guinea,8.849557522,8.403361345,7.874015748,7.380073801,7.167235495,8.368200837,9.049773756,7.324840764,6.366047745,5.530973451,5.283018868,4.590163934,4.322766571,4.865556978,6.164383562,7.415036045,8.059981256,7.931034483,7.404458599,7.538802661,8.373702422
Eritrea,5.161854768,4.67141726,4.49122807,4.254007398,4.166666667,4.160756501,5.789473684,4.775481112,4.306523116,4.086088584,3.968253968,4.025044723,4.098046725,4.061251664,4.092870963,4.132343011,4.638218924,6.056466302,8.00042163,9.491492082,10.81958094
Estonia,14.74067334,14.58153581,14.99176277,15.98138092,16.71554252,17.17877095,15.90754589,16.13114754,17.18650541,19.09722222,21.13702624,21.69390788,22.64573991,23.74531835,24.88755622,25.77475435,26.51806303,27.44331509,28.49206349,29.82315113,31.79237632
