Liver Male Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,2.63,2.46,2.16,2.29,2.4,2.8,2.78,3.01,3.05,2.88,4.86,4.82,4.95,4.89,4.93
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,32.95,31.3,30.74,28.06,30.74,29.66,27.17,29.56,29.06,30,28.14,27.45,27.06,27.17,26.85,,,,,,,,24.07,23.69
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,8.21,8.17,7.83,7.73,7.79,7.66,8.32,7.55,8.43,8.44,7.91,7.95,8.62,8.71,8.09,8.02,8.1,7.96,7.92,7.8,7.35,7.53,7.36,7.99
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,1.48,1.09,1.26,1.52,1.97,2.32,1.16,1.38,2.87,0.68,1.81,1.37,1.83,3.22,3.42,3.98,3.98,2.23,1.95,0.75
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.64,0.51,0.66,0.75,0.99,0.63,0.63,0.9,0.6,0.6,0.45,1.2,0.45,0.54,0.44,0.32,0.35,0.51,0.52,0.47,0.76,0.7,0.71
Israel,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.43,2.93,2.23,1.22,2.52,2.26,2.14,3.7,3.22,2.16,3.1,2.78,2.71,4.52,3.26,2.16,2.35,2.64,2.89,3.36,4.15,3.83,4.15
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Japan,,,,1.8,1.94,2.2,2.44,2.43,2.19,2.2,1.71,1.71,1.43,,,,,,,,,,,,9.52,10.16,10.8,11.65,12.33,12.86,13.35,13.94,14.77,14.97,15.37,15.77,15.72,15.87,15.71,15.93,22.99,22.44,21.74,21.58,20.91,20.26,19.55,19.01
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.18,0.08,,0.06,0.42,19.84,41.07,41.29,41.2,39.59,37.42,35.85,32.83,33.43,33.44,32.12,33.55
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,6.07,13.95,11.35,12.66,7.68,,,,,,,,,,,,8.31,8.08,14.1,10.11,11.71,4.39,5.94,8.83
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44,6.97,6.96
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,4.04,3.98,4.09,5.1,4.52,4.85
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,4.13,3.74,3.52,3.23
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,5.42,5.25,4.8,6.06
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3
Malta,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.27,3.91,2.64,2.82,5.95,3.21,0.55,,3.08,1.47,2.49,1.41,1.6,0.26,0.53,1.11,1.29,1.79,3.18,4.82,1.85,1.52,2.56
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2.08,,0.16,0.32,0.3,0.29,0.56,0.28,,0.26,0.28,0.5,,,,,0.22,0.22,0.48,0.31,0.86
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.9,0.95,,1.29,1.27,1.18,1.41,1.63,1.38,1.16,1.39,1.31,1.31,1.29,1.31,1.57,5.86,5.56,5.63,5.34,5.7
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,5.34,7.08,6.45,5.59,9.06,7.02,7.77,7.01,7.15,7.33,9.48
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.32,1.1,1.41,1.19,1.12,1.28,1.25,1.35,1.26,1.38,1,1,1.06,1.18,1.18,1.67,2.15,2.17,2.2,2.58,2.25,2.36,2.64
New Zealand,,,,1.17,1.27,,,,,,,1.68,2.03,,,,,,,,,,,,2.1,1.65,1.73,1.64,1.56,2.55,1.75,1.8,2.7,2.54,2.15,2.4,2.09,2.16,2.3,2.4,2.65,2.09,2.7,2.55,2.45,3.89,3.12,3.48
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.1,0.21,0.16,1.56,0.78,0.33,,2.18,4.39,6.24,4.79,4.88,4.67,6
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.69,,0.79,0.92,0.81,0.74,0.69,0.66,0.72,1.36,1.15,1.57,1.91,1.51,1.4,1.26
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
