Arms exports (constant 1990 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belgium,3000000,0,3000000,1000000,1000000,,12000000,,,5000000,,,,,,,,,2000000,3000000,1000000,19000000,40000000,87000000,94000000,2000000,,,49000000,25000000,1000000,1000000,,,27000000,267000000,70000000,90000000,45000000,44000000,24000000,36000000,35000000,15000000,47000000,161000000,58000000,18000000,228000000,242000000,7000000,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2000000,12000000,,,,,,,,3000000,,0,,,32000000,58000000,101000000,144000000,174000000,68000000,149000000,56000000,113000000,190000000,262000000,207000000,151000000,178000000,213000000,47000000,96000000,114000000,91000000,36000000,54000000,33000000,23000000,23000000,16000000,,,,26000000,,44000000,1000000,44000000,47000000,92000000,36000000,179000000,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,106000000,,,5000000,6000000,42000000,16000000,28000000,55000000,1000000,21000000,4000000,39000000,159000000,2000000,7000000,32000000,47000000,16000000,66000000,5000000,9000000,3000000,14000000,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000000,0,,,,,1000000,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,53000000,309000000,188000000,213000000,252000000,111000000,90000000,44000000,100000000,261000000,195000000,267000000,313000000,97000000,107000000,34000000,205000000,113000000,176000000,147000000,152000000,113000000,240000000,134000000,91000000,84000000,246000000,257000000,198000000,49000000,93000000,115000000,127000000,130000000,155000000,336000000,147000000,89000000,34000000,75000000,110000000,129000000,170000000,263000000,265000000,226000000,226000000,334000000,227000000,169000000,258000000,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,0,,,0,,0,0,,1000000,,,3000000,3000000,5000000,5000000,,3000000,1000000,,,,30000000,,2000000,1000000,1000000,,2000000,,,,,,133000000,,,
China,305000000,37000000,54000000,11000000,61000000,450000000,675000000,439000000,725000000,639000000,866000000,1271000000,1168000000,698000000,611000000,654000000,608000000,226000000,638000000,599000000,979000000,707000000,1590000000,1924000000,2189000000,1440000000,2099000000,3337000000,1960000000,1033000000,930000000,1317000000,735000000,1438000000,1136000000,1050000000,803000000,452000000,362000000,336000000,301000000,499000000,509000000,665000000,292000000,303000000,597000000,430000000,586000000,1000000000,1423000000,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Cote d'Ivoire,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,1000000,,,13000000,11000000,9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000000,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,45000000,90000000,90000000,90000000,90000000,45000000,,,,,,,,,,,,,,,145000000,262000000,124000000,106000000,22000000,20000000,54000000,78000000,87000000,59000000,64000000,1000000,66000000,42000000,31000000,34000000,21000000,3000000,
Denmark,18000000,,,,60000000,20000000,,131000000,33000000,3000000,,,,,,28000000,,,,,20000000,24000000,64000000,234000000,,,,121000000,42000000,,80000000,10000000,,241000000,326000000,8000000,,,1000000,6000000,20000000,1000000,8000000,62000000,173000000,,9000000,6000000,15000000,14000000,11000000,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,0,7000000,8000000,1000000,,14000000,,27000000,17000000,15000000,,,,,17000000,,69000000,89000000,13000000,27000000,75000000,78000000,69000000,38000000,5000000,18000000,61000000,65000000,59000000,17000000,,11000000,18000000,13000000,8000000,5000000,5000000,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,0,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,,51000000,,,,,,,,,,17000000,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,60000000,1000000,,,,1000000,86000000,33000000,33000000,33000000,2000000,43000000,30000000,,63000000,63000000,,,63000000,63000000,,,20000000,,,,,,1000000,,,12000000,3000000,8000000,14000000,20000000,8000000,10000000,24000000,20000000,9000000,24000000,25000000,33000000,23000000,27000000,97000000,30000000,67000000,41000000,34000000,
France,1171000000,1084000000,1523000000,1695000000,1896000000,1699000000,1731000000,1596000000,1873000000,1326000000,1777000000,2348000000,2533000000,2839000000,2122000000,2388000000,2110000000,2800000000,3207000000,2968000000,3697000000,3650000000,3641000000,3130000000,2807000000,3773000000,2944000000,1732000000,1827000000,2115000000,1673000000,1029000000,1056000000,791000000,764000000,942000000,1899000000,3149000000,3362000000,1813000000,1056000000,1297000000,1368000000,1345000000,2219000000,1724000000,1643000000,2432000000,1994000000,1865000000,834000000,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48000000,72000000,,72000000,,17000000,,,,,,,
Germany,151000000,13000000,134000000,129000000,426000000,299000000,653000000,721000000,588000000,746000000,1430000000,1387000000,1383000000,212000000,1169000000,1481000000,1723000000,1902000000,1615000000,1432000000,1621000000,1975000000,1679000000,2384000000,2938000000,1367000000,1481000000,1113000000,1616000000,1321000000,1789000000,2492000000,1404000000,1597000000,2763000000,1507000000,1939000000,895000000,1799000000,1825000000,1625000000,850000000,916000000,1713000000,1105000000,2080000000,2567000000,3194000000,2500000000,2432000000,2340000000,
Ghana,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,1000000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,4000000,5000000,12000000,,25000000,,17000000,29000000,7000000,1000000,,2000000,,6000000,31000000,13000000,23000000,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,18000000,18000000,39000000,30000000,,,8000000,44000000,8000000,8000000,,,,,4000000,30000000,4000000,4000000,,,,,,,,,,21000000,,6000000,,24000000,,,,,34000000,,,82000000,,6000000,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,
India,,0,,,,,,,1000000,,,5000000,2000000,23000000,25000000,33000000,,,27000000,22000000,,,2000000,,,,,,1000000,,4000000,,1000000,7000000,2000000,2000000,,,,,16000000,2000000,0,4000000,26000000,19000000,33000000,21000000,11000000,22000000,4000000,
Indonesia,,,,7000000,,,,,,6000000,6000000,,,,,,,,9000000,,4000000,,,,,8000000,4000000,,,,,,,16000000,16000000,25000000,,8000000,,49000000,,16000000,49000000,,25000000,8000000,8000000,,,,,
Iran,,,3000000,,,,,28000000,,,23000000,5000000,106000000,6000000,123000000,84000000,,,,,0,0,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,1000000,0,0,0,0,3000000,9000000,1000000,2000000,92000000,,2000000,5000000,5000000,
Iraq,3000000,,,,,,,,,,,,,,,,,,,,28000000,,,,,,,,165000000,20000000,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,2000000,8000000,8000000,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,4000000,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,7000000,10000000,14000000,13000000,31000000,26000000,13000000,21000000,31000000,18000000,51000000,127000000,66000000,206000000,207000000,188000000,272000000,215000000,253000000,409000000,302000000,208000000,397000000,150000000,82000000,212000000,85000000,152000000,324000000,397000000,295000000,166000000,303000000,237000000,215000000,161000000,357000000,407000000,436000000,368000000,628000000,368000000,299000000,438000000,281000000,807000000,472000000,
Italy,99000000,249000000,267000000,235000000,366000000,275000000,222000000,126000000,162000000,334000000,265000000,326000000,262000000,287000000,371000000,703000000,656000000,583000000,650000000,1324000000,1171000000,1691000000,1707000000,1189000000,1311000000,950000000,199000000,581000000,360000000,271000000,166000000,303000000,231000000,300000000,187000000,284000000,328000000,451000000,420000000,484000000,192000000,216000000,426000000,341000000,212000000,774000000,502000000,684000000,417000000,514000000,627000000,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,61000000,104000000,11000000,16000000,,5000000,,,33000000,,15000000,4000000,17000000,53000000,,,,9000000,58000000,179000000,,,45000000,30000000,74000000,99000000,,,15000000,30000000,68000000,126000000,153000000,162000000,158000000,188000000,32000000,,,,,,,,,,,,,,
Jordan,,,2000000,,,,,,,,,36000000,,22000000,9000000,50000000,,18000000,,,,,,76000000,,2000000,16000000,,7000000,16000000,,,,,77000000,,,6000000,,,,,,,42000000,17000000,,13000000,12000000,60000000,88000000,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,12000000,3000000,6000000,183000000,19000000,12000000,,,5000000,,12000000,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,2000000,,2000000,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,11000000,6000000,,,,20000000,29000000,5000000,148000000,244000000,86000000,55000000,63000000,220000000,192000000,14000000,4000000,201000000,222000000,185000000,49000000,49000000,39000000,18000000,56000000,21000000,13000000,77000000,161000000,126000000,40000000,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,141000000,,,,,,,105000000,105000000,108000000,54000000,,105000000,33000000,78000000,,51000000,46000000,72000000,116000000,,44000000,,21000000,62000000,60000000,72000000,,8000000,165000000,,100000000,29000000,48000000,94000000,220000000,80000000,163000000,95000000,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,3000000,,,,,,,,,,,,,24000000,,,,4000000,,,,,,,,,,,,,,99000000,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000000,,,,,,,,92000000,,,,,14000000,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,45000000,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,0,0,,25000000,4000000,,13000000,398000000,95000000,106000000,164000000,14000000,53000000,31000000,11000000,15000000,62000000,7000000,36000000,,,,3000000,,,3000000,10000000,,,,11000000,16000000,113000000,113000000,18000000,10000000,18000000,32000000,28000000,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,
Malaysia,,,,,,,,,,,,1000000,,,,,,,,,,,6000000,,,,,,,,,,,,,0,,,,8000000,,,,,,,,,,0,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000,,36000000,,,226000000,,,6000000,42000000,59000000,10000000,,18000000,3000000,19000000,29000000,20000000,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71000000,109000000,,,14000000,
Morocco,,,2000000,,,,,,,5000000,,,,,,,,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,6000000,93000000,84000000,66000000,72000000,104000000,79000000,92000000,349000000,125000000,5000000,187000000,154000000,188000000,97000000,69000000,390000000,370000000,328000000,319000000,659000000,826000000,696000000,470000000,357000000,177000000,369000000,498000000,752000000,593000000,409000000,448000000,362000000,441000000,614000000,439000000,477000000,603000000,596000000,340000000,281000000,203000000,239000000,342000000,209000000,583000000,1187000000,1326000000,530000000,545000000,503000000,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,1000000,1000000,0,,,0,2000000,5000000,3000000,,,,,,1000000,2000000,,10000000,7000000,0,,,,,34000000,4000000,,3000000,,,10000000,,1000000,1000000,,1000000,,1000000,0,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,5000000,,76000000,21000000,,5000000,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,6000000,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,33000000,,25000000,55000000,67000000,65000000,80000000,140000000,65000000,50000000,,8000000,15000000,8000000,,8000000,8000000,8000000,93000000,161000000,158000000,278000000,68000000,35000000,,42000000,29000000,54000000,34000000,124000000,82000000,167000000,75000000,51000000,88000000,21000000,9000000,19000000,3000000,5000000,3000000,42000000,99000000,99000000,80000000,12000000,17000000,55000000,107000000,128000000,141000000,
Oman,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,5000000,,,,,,,,1000000,,,,,,,,,,,1000000,,,,,,
Pakistan,,,,,,,,5000000,,,,3000000,,,,,,,,,15000000,30000000,30000000,,,,,,,1000000,92000000,3000000,,,2000000,,,,,,3000000,1000000,9000000,8000000,9000000,22000000,4000000,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,53000000,,,,,,,,,,,,,,,,,,,14000000,,,5000000,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,4000000,,,,
Poland,5000000,5000000,12000000,86000000,193000000,190000000,262000000,265000000,244000000,279000000,224000000,227000000,228000000,158000000,228000000,286000000,381000000,349000000,280000000,195000000,180000000,312000000,183000000,88000000,60000000,85000000,258000000,218000000,257000000,20000000,86000000,69000000,49000000,,131000000,176000000,46000000,21000000,1000000,67000000,45000000,75000000,47000000,72000000,43000000,17000000,253000000,162000000,76000000,81000000,8000000,
Portugal,,,,,,,,2000000,,,,3000000,,5000000,11000000,86000000,16000000,,9000000,3000000,2000000,,,1000000,,,1000000,,,98000000,,,,1000000,,,,,,,,,,,,,,,87000000,46000000,0,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000,56000000,,,40000000,,9000000,,,,,,,6000000,,,,,
Romania,,,,,,,,,,,,6000000,9000000,9000000,1000000,,,,27000000,55000000,61000000,43000000,105000000,116000000,187000000,114000000,43000000,49000000,67000000,45000000,11000000,6000000,13000000,16000000,30000000,7000000,4000000,12000000,2000000,19000000,3000000,,,24000000,,2000000,8000000,32000000,,4000000,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700000000,3477000000,1552000000,3812000000,3508000000,2966000000,1966000000,4043000000,3960000000,5896000000,5705000000,5236000000,6178000000,5134000000,5095000000,5426000000,5953000000,5575000000,6039000000,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
