15-49 yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Benin,89.979,87.866,86.146,84.66,86.661,88.895,91.501,94.32,96.73,101.212,102.149,103.998,104.607,104.253,103.876,103.563,103.337,103.199,103.145,103.135,103.129
Bhutan,106.226,105.478,105.154,104.836,104.111,109.863,112.389,110.166,107.986,104.329,102.402,117.553,116.603,116.441,112.793,110.269,106.502,101.936,101.038,100.752,100.868
Bolivia,99.735,98.861,98.266,97.678,96.934,96.304,96.27,96.529,97.01,97.619,98.366,99.234,100.059,100.75,101.317,101.812,102.195,102.471,102.688,102.881,103.063
Bosnia and Herzegovina,91.387,91.512,91.504,94.35,96.311,99.27,100.138,100.656,102.22,96.646,94.003,94.016,95.073,96.864,99.671,102.612,104.285,105.308,106.301,106.322,106.396
Botswana,96.481,96.208,90.561,87.89,89.447,92.212,95.406,96.294,97.857,98.935,99.809,101.98,104.647,107.159,108.337,107.877,106.457,105.138,104.351,104.034,103.964
Brazil,99.304,100.181,100.117,100.024,99.93,99.817,99.805,99.238,98.545,98.039,98.024,98.094,98.345,98.823,99.419,100.047,100.632,101.031,101.393,101.69,101.986
Brunei,107.303,109.155,109.249,109.756,108.127,108.086,118.849,115.751,116.265,110.592,105.725,102.439,99.708,98.433,98.753,99.078,99.587,100.117,100.091,100.212,100.311
Bulgaria,102.51,101.371,101.195,101.177,101.557,101.438,101.788,101.589,101.095,101.079,102.047,102.722,103.311,103.85,104.324,104.844,105.214,105.505,105.974,106.244,106.393
Burkina Faso,110.342,106.556,103.566,100.464,97.741,95.645,93.812,93.032,94.223,95.482,96.724,99.733,100.485,100.946,101.232,101.458,101.542,101.598,101.682,101.801,101.908
Burundi,91.072,90.343,90.044,89.841,90.601,89.163,91.334,93.858,95.479,95.006,94.05,96.335,97.501,97.848,97.938,97.989,97.974,97.892,97.785,97.697,97.625
Cambodia,101.253,101.292,101.297,101.268,101.251,101.213,80.015,84.325,87.874,90.551,93.482,95.691,98.031,100.05,101.439,101.983,102.325,102.569,102.689,102.788,102.845
Cameroon,96.751,96.887,97.013,97.164,97.501,97.863,98.248,98.599,98.935,99.189,99.667,100.548,101.5,102.073,102.084,101.726,101.385,101.151,100.95,100.774,100.585
Canada,101.111,101.619,102.565,100.61,102.969,103.12,102.745,102.603,102.184,101.709,101.995,102.176,102.3,103.393,104.303,105.173,105.596,105.905,106.105,106.161,106.158
Cape Verde,85.415,84.374,82.924,85.348,87.367,80.893,74.931,79.361,83.725,86.279,88.984,92.258,94.757,95.032,95.342,95.723,96.697,97.019,97.367,97.699,97.98
Caribbean,99.282,98.284,97.138,97.006,97.715,97.96,98.369,97.935,97.932,97.772,97.927,98.258,98.904,99.618,100.316,100.914,101.336,101.566,101.695,101.845,102.039
Central African Rep.,98.516,98.124,97.842,97.595,97.129,96.924,96.851,96.804,96.581,96.36,96.295,96.895,97.962,98.82,99.178,99.169,99.05,98.92,98.83,98.783,98.744
Central America,96.429,97.18,98.168,99.294,99.733,99.842,99.727,98.893,98.167,97.286,96.605,95.736,95.569,96.136,96.918,97.337,97.85,98.381,98.938,99.351,99.602
Chad,96.634,97.136,98.115,98.746,98.253,98.114,98.043,98.048,97.891,97.832,98.027,98.809,99.647,100.279,100.612,100.723,100.721,100.7,100.684,100.696,100.746
Channel Islands,97.649,98.621,99.811,100.976,101.932,100.911,99.224,99.34,98.243,96.989,97.015,97.44,98.207,99.476,101.083,102.659,104.105,104.16,104.537,104.104,104.164
Chile,97.837,97.844,97.945,98.16,98.381,98.605,99.189,99.69,100.038,100.322,100.549,100.811,101.1,101.404,101.672,101.919,102.072,102.187,102.318,102.448,102.541
China,110.262,110.97,111.355,111.756,110.602,110.055,109.457,108.504,107.525,106.786,106.25,106.526,107.269,108.659,110.663,112.913,114.735,116.347,117.649,117.712,117.013
"Hong Kong, China",112.697,113.696,114.321,109.523,110.534,112.389,116.374,111.079,106.706,96.758,89.355,86.681,84.86,87.664,91.368,95.294,98.438,99.689,99.349,98.392,97.319
"Macao, China",120.6,107.669,97.178,102.855,105.453,110.66,112.953,103.494,92.831,89.508,85.754,84.267,84.038,85.633,88.517,89.004,89.596,90.323,91.382,92.467,92.168
Colombia,99.938,99.209,98.596,98.154,97.918,98.141,98.452,98.474,98.122,97.174,96.941,97.061,97.362,97.801,98.366,98.933,99.484,99.974,100.428,100.819,101.156
Comoros,98.557,99.048,99.276,100.154,100.687,100.928,101.168,101.324,101.132,101.088,100.955,100.971,101.057,101.123,101.202,101.362,101.517,101.718,101.92,102.121,102.367
"Congo, Rep.",97.126,97.354,97.486,97.672,98.115,98.466,98.776,99.059,99.208,99.284,99.76,100.56,101.365,101.518,101.278,101.063,100.897,100.74,100.65,100.653,100.699
Costa Rica,108.568,106.754,104.725,103.347,102.133,101.781,103.891,104.543,104.509,104.613,104.634,104.767,104.719,104.681,104.659,104.753,104.818,104.871,104.879,104.825,104.815
Cote d'Ivoire,104.192,106.656,109.046,112.778,114.481,116.112,116.788,116.014,113.448,111.091,107.812,105.33,103.875,102.957,102.243,101.65,101.335,101.252,101.247,101.267,101.268
Croatia,90.664,91.412,92.354,94.824,99.524,102.666,103.203,102.887,102.723,101.758,101.87,101.363,101.798,102.426,103.098,103.668,104.063,104.435,104.861,105.181,105.389
Cuba,104.432,102.209,101.424,101.638,102.309,102.406,102.815,100.396,100.785,100.666,101.28,102.177,103.318,104.62,105.927,106.693,106.872,106.848,106.832,107.016,107.353
Cyprus,93.155,90.878,92.315,93.937,95.804,99.835,102.714,101.522,101.869,102.002,97.899,94.731,96.184,97.751,99.906,101.97,103.115,103.305,103.388,103.656,104.028
Czech Rep.,97.765,97.808,97.997,99.083,99.941,101.115,101.893,102.178,102.363,102.699,103.134,103.803,106.16,106.37,106.446,106.468,106.494,106.328,106.136,106.196,106.195
"Korea, Dem. Rep.",70.257,76.76,82.454,87.406,90.937,95.464,99.244,101.795,102.711,103.065,103.097,103.363,103.701,103.943,104.22,104.458,104.556,104.698,104.89,105.194,105.504
"Congo, Dem. Rep.",85.93,87.641,89.331,91.087,92.934,94.496,95.764,96.751,97.456,97.81,98.166,98.562,98.874,98.957,98.999,98.937,98.826,98.711,98.616,98.553,98.537
Denmark,99.057,99.155,99.723,100.975,102.702,103.566,103.853,104.362,104.543,104.166,103.376,102.718,103.004,103.376,104.02,105.247,106.482,107.45,107.957,108.363,108.657
Djibouti,98.651,98.82,99.105,99.46,99.399,99.42,99.526,99.661,99.837,100.085,100.313,100.673,101.149,101.599,101.929,102.014,102.017,102.013,101.929,101.851,101.8
Dominican Rep.,103.857,103.358,102.652,101.761,101.16,100.782,100.483,100.23,100.005,99.794,99.771,99.879,99.977,100.085,100.238,100.403,100.641,100.924,101.196,101.414,101.606
Eastern Africa,100.058,99.531,98.97,98.527,98.027,97.669,97.057,97.186,96.98,96.871,97.2,98.212,99.32,100.171,100.561,100.671,100.633,100.57,100.534,100.518,100.486
Eastern Asia,106.967,107.578,108.012,108.691,108.21,108.359,108.146,107.54,106.795,106.213,105.699,105.979,106.703,107.986,109.82,111.92,113.649,115.138,116.281,116.347,115.756
Eastern Europe,79.215,83.427,86.369,90.876,94.37,97.422,99.295,99.413,100.253,99.72,99.179,98.896,99.079,99.323,99.678,100.437,101.336,102.326,103.265,103.804,104.065
Ecuador,99.673,100.448,100.952,101.288,101.408,101.437,101.452,101.421,101.393,101.292,101.037,100.829,100.738,100.816,100.963,101.173,101.435,101.737,102.053,102.364,102.65
Egypt,99.349,99.738,100.164,100.791,100.658,100.544,99.962,100.892,101.201,101.159,100.878,100.591,100.652,100.719,100.982,101.101,101.215,101.293,101.295,101.433,101.588
El Salvador,94.453,94.917,94.589,96.194,97.624,96.621,94.146,91.168,90.625,89.433,87.568,85.013,84.429,84.773,85.362,86.784,89.472,92.279,94.84,96.693,98.209
Equatorial Guinea,97.415,97.129,96.469,96.006,95.996,95.446,96.409,97.571,97.637,97.672,97.487,97.587,98.243,99.051,99.525,99.685,99.827,99.954,100.053,100.122,100.166
Eritrea,97.283,97.901,98.153,98.516,98.939,98.821,91.218,92.191,94.18,93.993,95.845,97,98.348,98.896,99.396,99.73,100.097,100.739,101.247,101.613,101.866
Estonia,75.737,80.907,82.354,87.537,95.109,98.86,99.002,98.592,99.28,96.5,96.606,97.974,99.095,100.339,101.496,102.61,103.483,104.02,104.465,104.713,104.831
Ethiopia,100.29,100.072,99.854,99.781,99.239,98.857,98.61,98.486,98.485,98.472,98.438,98.824,99.274,99.609,99.772,99.84,99.895,99.929,99.935,99.949,99.944
EUROPE,87.414,89.512,91.347,94.918,97.435,99.837,101.008,101.062,101.49,101.096,100.605,100.651,101.139,101.737,102.246,102.914,103.582,104.237,104.789,105.076,105.206
Fiji,108.065,102.703,104.706,102.277,101.762,100.276,100.584,100.557,102.212,103.227,104.027,104.855,105.65,106.74,107.609,107.852,108.194,108.418,108.441,108.612,108.925
Finland,93.054,94.007,96.179,98.767,101.207,103.443,104.247,104.454,104.365,104.122,103.772,103.755,104.051,104.415,104.749,104.827,104.903,104.932,104.954,105.136,105.217
France,100.897,101.207,102.088,103.219,103.832,104.357,103.197,102.243,101.504,100.48,99.803,99.928,101.114,102.436,103.557,104.414,105.04,105.47,105.644,105.584,105.443
French Guiana,114.82,107.247,104.27,122.807,120.578,100.105,112.982,115.502,112.705,109.212,105.854,97.578,97.361,97.531,98.835,100.207,100.872,101.774,102.159,102.615,103.022
French Polynesia,103.246,103.256,103.252,105.09,105.203,114.873,114.783,112.586,110.91,109.76,106.482,105.082,104.601,104.363,104.082,104.024,104.13,104.874,104.837,104.564,104.572
Gabon,97.009,96.992,97.005,97.014,97.082,97.687,98.188,99.192,99.336,98.571,97.946,99.012,100.16,100.996,101.903,102.859,103.26,103.294,103.205,103.136,103.11
Gambia,95.524,95.996,96.296,96.212,96.037,95.973,95.88,95.925,96.214,96.583,97.027,97.442,97.857,98.302,98.72,99.08,99.348,99.561,99.736,99.912,100.092
Georgia,84.798,85.616,85.716,88.957,92.309,94.491,94.346,94.779,95.758,95.106,94.038,93.157,92.175,94.275,97.006,99.516,102.828,105.143,107.167,109.823,109.602
Germany,82.178,84.948,88.61,95.964,99.479,104.267,105.266,104.558,105.036,105.74,104.816,104.165,104.135,103.888,103.59,103.702,103.873,104.092,104.157,104.165,104.182
Ghana,102.347,102.535,102.686,102.887,102.619,102.423,102.292,102.196,102.183,102.235,102.297,102.526,103.026,103.574,103.915,104.006,103.97,103.878,103.717,103.506,103.28
Greece,94.246,95.05,94.65,93.145,96.319,97.498,98.44,100.05,100.855,102.34,103.414,104.453,105.542,106.444,107.206,107.328,107.121,106.79,106.774,106.935,107.096
Grenada,78.162,78.607,78.002,83.104,86.053,90.262,93.678,96.201,101.247,102.708,103.559,103.384,103.871,104.884,105.178,105.051,105.695,106.17,107.335,108.473,109.291
Guadeloupe,92.308,96.364,94.108,94.36,93.128,95.365,96.66,96.83,97.441,94.964,92.868,91.186,91.029,91.296,93.685,95.361,94.895,95.327,95.094,95.397,95.425
Guam,307.603,238.676,184.361,162.697,143.745,126.092,110.863,116.32,121.722,112.931,105.774,104.759,104.515,104.964,104.021,104.534,104.828,105.238,105.696,105.549,105.223
Guatemala,102.238,102.919,103.184,103.065,102.749,102.319,101.683,100.854,100.199,95.657,91.872,89.93,90.156,91.633,93.39,95.191,96.68,97.765,98.558,99.138,99.585
Guinea,99.444,97.632,96.874,96.883,97.907,98.963,100.11,101.405,102.462,103.158,103.525,103.54,103.51,103.448,103.385,103.341,103.306,103.298,103.349,103.451,103.606
Guinea-Bissau,99.083,99.03,98.863,98.859,98.502,98.249,98.066,97.943,98.048,98.099,98.064,98.274,98.576,98.915,99.056,99.149,99.144,99.129,99.116,99.112,99.108
Guyana,101.327,97.832,97.041,98.532,97.169,96.821,96.345,94.145,91.874,92.517,93.422,102.294,106.914,107.394,106.141,105.405,106.49,106.087,106.38,107.383,107.888
Haiti,93.373,93.96,94.989,95.287,95.265,94.688,94.437,94.495,94.871,95.003,95.539,95.751,96.36,97.178,97.877,98.638,99.031,99.148,99.252,99.378,99.562
Honduras,100.181,100.965,101.398,101.429,101.439,101.186,100.76,99.935,99.188,98.476,97.625,97.318,98.17,99.188,100.383,101.566,102.595,103.398,103.98,104.36,104.594
Hungary,93.399,94.335,93.969,95.725,98.143,99.741,100.24,100.878,100.871,100.773,100.714,101.448,102.248,102.725,103.024,103.304,103.564,103.896,104.226,104.492,104.605
Iceland,102.857,105.556,102.564,104.651,105,105.361,104.961,104.572,104.235,103.268,102.416,102.97,111.127,113.686,113.844,112.307,109.822,107.656,106.322,105.99,106.219
India,110.794,109.942,109.803,109.542,109.526,109.371,109.152,109.277,109.5,109.316,109.052,108.573,108.291,108.105,107.987,107.926,107.905,107.868,107.813,107.659,107.551
Indonesia,101.925,100.682,99.128,98.136,98.875,99.385,100.077,100.824,101.399,101.891,101.739,101.126,100.778,100.576,100.817,101.295,101.853,102.448,102.922,103.217,103.431
Iran,104.213,103.876,103.634,103.419,103.906,101.812,101.032,102.475,103.829,101.17,102.48,103.171,103.354,103.169,103.227,102.826,102.945,104.233,104.578,104.529,104.497
Iraq,98.883,99.055,100.103,101.968,102.859,103.4,103.412,103.537,103.342,102.993,103.214,103.759,103.85,103.988,104.161,104.294,104.372,104.464,104.586,104.753,104.977
Ireland,105.663,102.16,100.997,101.815,102.499,103.236,104.479,104.072,103.076,100.77,100.815,102.403,102.884,103.481,103.555,103.662,104.158,104.917,105.628,105.998,106.192
Israel,106.406,101.85,100.886,99.893,100.072,99.775,101.008,101.112,101.145,99.138,100.115,101.167,102.322,103.352,104.203,104.634,104.747,104.885,105.086,105.208,105.261
Italy,95.698,95.731,94.889,95.874,97.125,98.472,99.156,100.46,100.979,100.962,100.92,102.131,103.254,104.257,104.93,105.507,105.88,106.059,106.154,106.245,106.274
Jamaica,94.011,93.147,87.371,87.984,91.576,92.182,95.664,97.126,95.381,94.888,94.26,93.778,93.841,94.445,95.866,97.966,100.293,101.861,102.694,103.653,104.911
Japan,93.623,93.985,94.583,96.491,98.121,100.741,101.022,101.487,101.741,102.493,102.585,103.024,103.301,103.552,103.917,104.305,104.362,104.41,104.459,104.543,104.655
Jordan,102.316,103.38,104.976,107.005,108.069,108.576,106.785,109.344,112.443,113.419,109.491,107.271,106.353,106.165,105.755,105.286,104.669,104.487,104.453,104.339,104.397
Kazakhstan,85.589,90.817,92.323,95.675,98.122,100.43,100.069,98.994,99.906,98.038,95.84,96.435,96.88,97.374,97.896,99.144,100.484,101.462,102.439,103.124,103.47
Kenya,108.412,106.51,104.178,101.718,99.775,98.43,97.819,97.754,97.977,98.221,98.832,100.361,101.565,102.298,102.115,101.566,101.185,100.924,100.8,100.747,100.648
Kuwait,188.194,195.598,230.825,212.997,160.388,137.259,160.353,149.997,149.685,177.304,178.916,171.843,161.691,154.506,145.494,137.39,130.964,126.578,123.904,122.141,121.579
Kyrgyzstan,84.523,88.455,90.99,92.322,93.918,99.639,100.415,99.299,99.631,99.09,98.965,99.18,99.865,100.752,100.941,101.633,102.297,102.976,103.622,104.052,104.366
Laos,96.949,97.075,96.744,96.044,97.061,97.998,98.746,99.575,100.477,99.865,100.191,98.471,99.476,100.475,101.368,102.151,102.677,102.985,103.179,103.335,103.485
LATIN AMERICA AND THE CARIBBEAN,99.702,99.669,99.565,99.681,99.76,99.784,99.797,99.382,98.944,98.484,98.29,98.139,98.276,98.705,99.252,99.72,100.183,100.567,100.936,101.241,101.49
Latvia,76.687,80.95,80.107,88.784,92.575,96.644,97.664,97.296,98.577,96.99,97.436,98.795,99.894,101.072,101.831,102.44,103.09,103.485,104.165,104.578,104.762
Least developed countries,104.43,103.774,102.543,101.723,101.098,100.588,99.519,99.195,98.872,98.853,99.06,99.431,99.951,100.421,100.769,100.974,101.049,101.071,101.077,101.094,101.116
Lebanon,103.456,101.912,100.601,101.766,102.098,102.017,95.816,92.889,91.161,94.517,91.968,93.879,95.704,97.688,99.335,100.733,101.865,102.462,102.796,103.05,103.277
Lesotho,90.833,87.186,80.943,76.215,76.913,75.976,75.587,75.845,75.874,78.32,80.486,83.794,88.542,92.921,95.639,96.752,96.335,95.384,94.446,93.947,93.715
Less developed regions,106.749,106.462,106.165,106.049,105.599,105.466,105.088,104.809,104.503,104.115,103.842,103.856,104.114,104.542,105.037,105.469,105.815,106.07,106.143,106.012,105.809
"Less developed regions, excluding China",105.071,104.438,103.936,103.641,103.43,103.509,103.203,103.199,103.209,103.063,102.978,102.956,103.116,103.345,103.585,103.745,103.864,103.949,103.975,103.944,103.912
"Less developed regions, excluding least developed countries",107.049,106.816,106.654,106.638,106.202,106.115,105.822,105.543,105.252,104.848,104.54,104.539,104.803,105.284,105.881,106.439,106.925,107.329,107.534,107.469,107.294
Liberia,98.379,98.444,98.621,98.678,98.182,97.796,97.594,97.498,97.456,97.549,97.774,98.259,99.003,99.737,100.325,100.678,100.942,101.177,101.414,101.575,101.666
Libya,99.165,98.327,102.31,109.708,115.593,121.664,125.944,123.974,117.892,113.133,109.529,107.276,104.842,104.226,104.44,104.918,105.282,105.579,105.704,105.781,105.836
Lithuania,81.869,83.781,82.002,88.23,91.341,94.796,96.493,96.911,99.016,98.742,97.796,98.314,102.334,104.764,106.012,106.553,105.876,104.657,104.249,104.257,104.312
Luxembourg,101.266,103.896,101.333,101.337,102.192,109.77,104.657,102.839,105.004,104.535,103.609,102.532,102.555,102.583,102.96,103.57,104.172,104.45,104.714,104.829,104.932
Madagascar,117.939,115.03,110.743,106.452,103.017,100.751,99.654,99.402,99.451,99.649,99.574,99.317,99.109,98.938,98.887,98.957,99.094,99.187,99.299,99.431,99.574
Malawi,93.098,92.93,92.974,93.135,92.532,92.542,91.349,91.779,93.549,95.167,95.691,96.358,98.704,101.039,102.508,103.296,103.463,103.675,103.822,103.953,104.048
Malaysia,108.507,105.072,103.034,101.013,100.994,100.31,99.602,100.386,103.076,103.128,103.297,103.1,103.077,103.211,103.481,103.81,104.104,104.567,104.881,105.168,105.316
Maldives,119.246,118.823,118.342,117.735,115.72,114.23,113.053,109.336,98.546,99.894,100.31,100.783,101.392,101.56,102.756,103.163,102.85,102.858,102.709,102.666,102.777
Mali,109.972,109.628,108.1,105.543,103.012,100.866,98.616,96.753,95.526,94.898,94.842,95.618,96.456,97.257,97.977,98.662,99.236,99.686,100.041,100.336,100.573
Malta,97.333,91.667,92.199,83.007,88.886,90.822,94.325,100.029,102.375,103.843,104.408,104.868,105.243,105.167,104.92,104.651,104.347,104.384,104.379,104.279,104.263
Martinique,91.071,92.047,95.748,89.853,92.141,92.663,95.083,94.91,94.786,92.335,90.132,87.212,89.275,91.86,96.091,99.696,102.179,102.856,103.455,103.769,103.889
Mauritania,96.699,95.642,94.863,94.273,95.828,97.005,98.29,99.242,100.226,101.587,103.315,104.07,104.342,104.239,104.079,103.903,103.776,103.73,103.757,103.859,104.016
Mauritius,99.201,98.582,98.63,99.361,100.465,97.367,98.166,100.481,102.844,103.149,102.883,102.644,102.335,101.151,100.843,101.203,101.673,101.884,102.229,102.567,102.852
Mayotte,132.901,130.797,126.393,122.597,118.79,114.306,109.746,108.875,105.503,103.249,101.555,100.808,100.343,100.206,100.171,100.203,100.287,100.408,100.461,100.564,100.643
Melanesia,113.422,112.469,112.081,108.644,108.483,106.676,111.388,106.792,103.615,102.313,101.851,101.826,102.36,103.104,104.175,105.317,105.92,106.238,106.511,106.782,107.092
Mexico,95.12,96.011,97.324,98.699,99.271,99.52,99.546,98.757,98.018,97.435,97.027,96.238,96.026,96.567,97.312,97.427,97.603,97.878,98.272,98.551,98.652
Micronesia,169.737,147.417,129.859,123.835,117.659,111.604,105.121,108.373,109.884,104.784,97.492,94.506,94.081,93.958,93.75,94.448,95.404,96.15,96.207,96.199,96.146
"Micronesia, Fed. Sts.",107.018,106.982,107.037,107.085,107.182,104.522,101.181,103.338,104.097,104.014,100.83,103.017,105.167,106.247,108.671,110.17,110.224,110.383,109.174,109.178,109.548
Middle Africa,91.937,92.687,93.505,94.321,95.144,95.964,96.684,97.282,97.701,97.923,98.218,98.718,99.206,99.449,99.512,99.417,99.275,99.144,99.045,98.985,98.963
Mongolia,96.856,97.56,98.134,98.559,99.286,99.971,100.615,101.219,100.454,100.168,98.425,98.219,98.298,98.571,99.232,99.894,100.763,101.361,102.276,102.923,103.442
Montenegro,87.087,90.424,92.211,94.438,96.423,100.001,102.333,103.081,101.446,106.025,109.343,100.957,100.699,100.923,102.068,103.764,104.996,106.184,106.96,107.34,107.586
More developed regions,90.73,92.063,93.59,96.26,98.118,100.351,101.123,101.176,101.382,101.146,100.893,101.102,101.621,102.334,102.939,103.592,104.122,104.596,104.973,105.156,105.225
Morocco,100.367,100.3,100.328,95.659,92.161,94.379,95.956,96.904,97.618,97.438,96.034,94.3,93.606,94.156,94.809,96.225,97.687,98.855,99.588,99.991,100.288
Mozambique,96.098,95.657,95.361,95.225,95.249,95.417,94.953,93.694,86.824,86.02,88.264,90.196,92.973,96.353,99.711,101.981,102.599,102.566,102.637,102.705,102.677
Myanmar,100.327,99.776,99.722,99.487,98.587,98.021,97.72,97.515,97.428,97.333,97.633,96.121,95.761,96.218,96.788,97.403,98.061,98.628,99.016,99.236,99.438
Namibia,98.273,99.175,100.177,101.098,100.343,99.195,93.451,91.264,93.555,93.995,95.128,97.549,99.827,101.896,103.231,103.455,103.043,102.706,102.462,102.381,102.429
Nepal,116.023,114.419,111.288,109.003,106.382,106.003,105.54,104.015,102.456,97.131,96.751,96.629,97.65,98.777,99.411,99.662,99.567,99.312,99.05,98.852,98.721
Netherlands,98.734,98.953,99.925,102.348,104.265,105.099,105.206,104.778,104.57,104.107,103.212,102.183,102.449,102.665,103.152,104.037,104.875,105.487,105.863,106.072,106.209
Netherlands Antilles,102.097,100.192,98.006,97.731,98.098,98.982,92.283,91.616,91.087,89.741,87.428,85.924,86.505,86.82,88.112,88.967,90.591,92.674,95.223,96.691,97.901
New Caledonia,118.112,118.115,117.709,117.016,115.676,112.737,108.282,105.59,105.119,104.428,101.549,100.019,99.774,99.457,100.088,100.478,101.37,101.771,101.948,101.951,102.205
New Zealand,102.407,103.462,103.598,103.892,103.611,103.439,102.034,101.795,99.697,99.191,97.493,97.81,98.617,99.773,101.426,103.099,103.987,104.352,104.556,104.539,104.583
Nicaragua,94.948,96.174,97.961,99.451,99.687,100.836,101.08,100.174,98.41,97.328,97.073,96.648,96.207,96.532,96.856,97.519,98.39,98.983,99.504,99.898,100.021
Niger,90.503,90.845,89.689,88.545,91.466,93.34,94.22,91.37,90.043,92.723,95.615,95.276,94.559,94.081,95.737,97.279,98.383,99.532,100.204,100.759,101.18
Nigeria,96.76,97.274,97.721,98.076,98.137,98.219,99.361,98.71,98.817,99.033,99.389,100.103,100.881,101.566,102.044,102.258,102.356,102.432,102.456,102.412,102.306
Northern Africa,101.22,100.481,99.854,99.164,97.215,98.532,99.85,100.574,101.016,101.106,100.845,100.429,100.384,100.619,100.956,101.309,101.619,101.859,101.992,102.121,102.24
NORTHERN AMERICA,100.175,99.116,99.639,99.684,99.637,101.304,101.32,101.193,100.928,100.726,101.015,101.52,102.168,103.22,104.015,104.646,105.003,105.251,105.415,105.463,105.43
Northern Europe,98.004,97.654,98.016,100.536,101.03,102.256,102.496,102.102,101.725,100.811,100.369,100.868,101.707,102.963,103.864,104.796,105.562,106.115,106.477,106.651,106.722
Norway,100.853,102.091,102.457,103.21,104.059,104.705,104.877,105.022,105.301,104.643,104.146,103.458,103.332,103.099,102.994,103.335,103.694,103.921,103.992,103.963,104.033
West Bank and Gaza,102.318,103.378,104.978,107.004,107.375,107.837,105.132,106.134,109.485,106.35,106.243,106.188,105.538,104.953,104.602,104.373,104.284,104.253,104.29,104.4,104.508
OCEANIA,106.652,107.594,107.074,105.965,106.389,105.248,104.852,103.954,102.542,101.574,100.297,100.539,101.12,101.869,102.758,103.688,104.24,104.564,104.783,104.933,105.087
