Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,,
Bhutan,,7.680851064,7.723404255,7.723404255,7.765957447,7.787234043,7.829787234,7.829787234,7.872340426,7.872340426,8.127659574,8.127659574,8.191489362,8.191489362,8.340425532,8.340425532,8.468085106,8.510638298,8.510638298,8.617021277,8.787234043,8.787234043,8.893617021,9.14893617,9.446808511,9.446808511,9.446808511,9.893617021,9.787234043,9.617021277,9.659574468,10.72340426,10.72340426,10.72340426,12.57798852,13.95058647,13.95058647,13.95058647,13.95058647,13.95058647,13.95058647,13.95058647,13.82580484,13.87571749,14.58713207,14.63922897,14.63922897,14.63922897,13.07632196,13.20656421,,
Bolivia,,27.73193021,27.63961968,27.51500046,27.58054094,27.61469584,27.64792763,27.68208253,27.71531432,27.93409028,27.96732207,28.3707191,28.86550355,28.90058156,29.39444291,29.89015047,29.92338226,30.41908982,30.45232161,30.94710606,30.98126096,31.47696852,31.51112342,31.54527832,32.04744761,32.01975445,32.4960768,32.51823133,32.53946275,32.74254592,32.72869934,33.04347826,33.07578695,33.42841318,33.55580172,33.69334441,33.77088526,34.02658543,34.1253577,34.15397397,34.15397397,34.16043571,34.25736176,33.82904089,33.80134773,34.11981907,33.87611927,33.99612296,33.98781501,34.11243423,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1372549,42.94117647,42.74509804,42.64705882,42.54901961,42.45098039,42.35294118,41.2745098,41.76470588,41.68627451,41.62745098,42.52941176,42.52941176,42.29411765,42.33333333,42.1372549,41.76470588,41.7254902,,
Botswana,,45.87722549,45.87722549,45.87722549,45.87722549,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.88428352,45.88428352,45.88428352,45.88781254,45.88781254,45.88781254,45.89134156,45.89134156,45.89487057,45.89487057,45.90369312,45.91428017,45.70253913,45.61431369,45.79076456,45.87016745,45.78194202,45.78194202,45.70253913,45.57902352,45.59666861,45.79076456,45.52608826,45.60549115,45.51726572,45.57020098,45.59666861,45.59843312,45.6160782,45.6160782,45.6160782,,
Brazil,,17.79448236,18.43069619,19.09244369,19.6279414,20.14263389,20.69810933,21.22946963,21.89547274,22.90677139,23.09815567,23.598781,23.97764859,24.3351199,24.82948004,25.22820713,25.53449291,25.83510453,26.01112133,26.30357637,26.51221951,26.69497436,26.96827915,27.04925397,27.17964116,27.31168331,27.66797251,27.87318752,28.09731636,28.30359528,28.56082332,28.95482196,29.16381974,29.48937398,29.72047729,30.5543406,30.61900225,30.68366389,30.74820732,30.82469011,30.90117289,31.1445702,31.16052874,31.18417102,31.26691901,31.26691901,31.26691901,31.26691901,31.29056129,31.26691901,,
Brunei,,3.984819734,3.984819734,3.984819734,4.554079696,4.554079696,4.364326376,4.364326376,4.554079696,4.554079696,4.554079696,3.605313093,3.415559772,3.415559772,3.415559772,3.415559772,3.225806452,2.84629981,2.84629981,2.84629981,2.65654649,2.65654649,2.466793169,2.466793169,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.087286528,2.087286528,2.087286528,2.087286528,2.087286528,1.897533207,1.897533207,1.897533207,1.897533207,1.897533207,1.897533207,2.087286528,2.087286528,2.087286528,2.087286528,2.087286528,1.897533207,2.087286528,2.087286528,2.087286528,,
Bulgaria,,51.27903824,51.38750791,51.45982103,52.17391304,52.36373497,52.44508723,52.99647474,53.15917925,54.43369791,54.32522824,54.3161891,54.43369791,54.07213233,54.57832414,53.82807557,56.02458646,56.09689958,56.14209527,56.09689958,55.87092109,55.85284281,55.87996023,55.83476453,55.78956883,55.76245141,55.735334,55.735334,55.69917744,55.75341228,55.67206002,55.6901383,55.62686432,55.32857272,55.67206002,55.71725572,55.71725572,56.06978216,51.02594233,51.33327307,50.45647654,49.69718883,48.94301471,48.96570746,49.00698786,48.46281296,47.50069042,47.1043182,46.96620937,46.33382461,,
Burkina Faso,,29.74780702,29.78435673,29.82090643,29.85745614,29.89400585,29.93421053,29.97076023,30.00730994,30.05116959,30.10233918,30.04385965,30.34356725,30.60307018,30.89546784,31.19883041,31.37792398,31.56067251,31.74342105,31.92616959,32.10891813,32.29166667,32.4744152,32.65716374,32.83991228,33.02266082,33.20540936,33.40643275,34.95614035,35.0877193,34.99634503,34.90497076,34.81359649,34.72222222,34.47002924,34.53947368,34.90497076,35.81871345,36.36695906,36.5497076,36.91520468,38.74269006,39.10818713,39.83918129,39.83918129,39.87573099,40.42397661,41.15497076,45.1754386,43.73172515,,
Burundi,,61.3317757,61.91588785,62.46105919,62.5,63.23987539,63.12305296,64.87538941,65.26479751,73.87071651,73.20872274,73.94859813,74.2211838,77.88161994,79.04984424,80.21806854,81.58099688,83.45015576,83.52803738,83.72274143,83.72274143,83.72274143,83.72274143,83.72274143,83.72274143,83.72274143,84.11214953,83.72274143,83.52803738,82.94392523,82.74922118,82.74922118,83.13862928,83.13862928,83.13862928,83.52803738,83.72274143,84.11214953,87.85046729,87.8894081,88.39563863,89.8364486,91.16043614,90.73208723,91.31619938,89.01869159,86.44859813,85.28037383,85.28037383,83.72274143,,
