DOTS population coverage (%),1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 
Pakistan,2 ,8 ,,8 ,8 ,9 ,24 ,44 ,66 ,79 ,100 ,100 ,99 
Palau,100 ,100 ,100 ,,0 ,,,100 ,100 ,95 ,100 ,100 ,100 
Panama,,0 ,0 ,7 ,16 ,51 ,57 ,67 ,73 ,92 ,100 ,100 ,99 
Papua New Guinea,,0 ,4 ,9 ,8 ,8 ,13 ,24 ,36 ,47 ,53 ,40 ,14 
Paraguay,30 ,100 ,0 ,0 ,0 ,7 ,7 ,10 ,22 ,27 ,54 ,85 ,90 
Peru,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Philippines,4 ,2 ,15 ,17 ,43 ,90 ,95 ,98 ,100 ,100 ,100 ,100 ,100 
Poland,,0 ,0 ,5 ,11 ,12 ,11 ,100 ,100 ,100 ,100 ,100 ,100 
Portugal,100 ,100 ,100 ,100 ,100 ,100 ,100 ,98 ,100 ,100 ,100 ,100 ,100 
Puerto Rico,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Qatar,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
"Korea, Rep.",50 ,100 ,100 ,100 ,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 
Moldova,,0 ,0 ,0 ,0 ,0 ,32 ,70 ,81 ,100 ,100 ,100 ,100 
Romania,,0 ,0 ,100 ,4 ,11 ,34 ,54 ,54 ,54 ,100 ,100 ,100 
Russian Federation,,2 ,2 ,5 ,5 ,12 ,16 ,25 ,25 ,45 ,83 ,84 ,100 
Rwanda,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Saint Kitts and Nevis,,0 ,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
