"0-4 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Guatemala,602000,689000,750000,851000,963000,1109000,1265000,1414000,1520000,1707000,1863000,2036000,2166000,2270000,2325000,2335000,2307000,2251000,2172000,2083000,1986000
Guinea,417000,478000,533000,597000,669000,713000,830000,955000,1112000,1328000,1443000,1551000,1698000,1857000,1976000,2063000,2132000,2195000,2244000,2273000,2280000
Guinea-Bissau,82000,109000,91000,92000,80000,141000,144000,146000,165000,195000,223000,250000,274000,298000,318000,337000,351000,363000,373000,382000,390000
Guyana,77000,97000,115000,117000,122000,110000,107000,103000,86000,83000,82000,78000,64000,59000,57000,55000,51000,44000,38000,33000,30000
Haiti,477000,563000,629000,702000,748000,783000,914000,1111000,1156000,1190000,1231000,1236000,1265000,1283000,1294000,1294000,1276000,1250000,1220000,1190000,1154000
Honduras,264000,333000,388000,452000,520000,579000,672000,765000,845000,922000,942000,945000,969000,985000,982000,959000,923000,879000,831000,813000,803000
"Hong Kong, China",316000,410000,492000,527000,426000,394000,412000,422000,376000,377000,331000,235000,234000,289000,294000,292000,277000,266000,277000,301000,321000
Hungary,832000,938000,800000,643000,712000,790000,844000,650000,616000,592000,496000,476000,493000,488000,471000,455000,438000,425000,429000,439000,443000
Iceland,18000,21000,23000,23000,21000,21000,21000,22000,21000,23000,21000,21000,23000,24000,24000,23000,22000,21000,21000,21000,21000
India,53516000,67518000,73410000,79307000,85792000,93397000,103393000,112153000,119724000,126493000,127053000,127825000,125648000,123797000,119879000,114343000,107666000,102369000,101242000,99082000,95726000
Indonesia,11051000,13072000,15554000,17381000,19252000,20679000,21544000,21998000,21397000,20930000,20717000,21135000,20560000,19527000,18353000,18081000,18062000,17889000,17425000,16758000,16182000
Iran,2816000,3337000,3781000,4372000,5103000,5762000,7079000,9043000,9199000,7502000,6137000,5980000,6674000,6747000,6429000,5714000,5419000,5536000,5691000,5603000,5307000
Iraq,817000,1310000,1251000,1505000,1942000,2210000,2511000,2766000,3090000,3498000,4084000,4324000,4527000,4678000,4867000,5077000,5205000,5220000,5180000,5128000,5087000
Ireland,314000,300000,302000,315000,311000,348000,347000,353000,283000,255000,266000,306000,349000,352000,328000,309000,306000,322000,342000,350000,343000
Israel,176000,250000,264000,303000,348000,425000,455000,464000,488000,538000,621000,673000,699000,687000,675000,674000,685000,692000,684000,662000,637000
Italy,4369000,4019000,4111000,4555000,4510000,4292000,3585000,3012000,2771000,2737000,2636000,2809000,2893000,2676000,2458000,2390000,2408000,2480000,2547000,2552000,2511000
Jamaica,189000,227000,283000,319000,322000,297000,283000,301000,291000,289000,283000,260000,253000,248000,243000,230000,212000,195000,181000,171000,161000
Japan,11205000,9260000,7798000,8146000,8949000,10005000,8510000,7463000,6470000,6005000,5898000,5655000,5207000,4744000,4371000,4191000,4113000,4055000,3944000,3789000,3650000
Jordan,88000,116000,156000,208000,308000,379000,416000,480000,579000,644000,691000,707000,776000,775000,743000,721000,702000,684000,667000,667000,655000
Kazakhstan,741000,1096000,1521000,1756000,1559000,1639000,1709000,1819000,1876000,1462000,1117000,1199000,1481000,1454000,1343000,1203000,1128000,1137000,1172000,1161000,1090000
