Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Croatia,472.7989146,560.2250535,475.8898205,585.7895842,639.1218549,729.5385736,702.7979363,631.2231665,713.917827,778.2935296,922.2208315,1017.700507,1226.590073,1341.707819,1320.307196,1284.54397
Cuba,105.5479913,114.0580671,116.2879566,114.6002545,123.1218172,133.5458639,143.5967244,151.2195833,152.6924753,155.1376735,229.1979988,256.644225,378.8138246,410.6070126,442.7692219,394.4611272
Cyprus,259.4057758,277.9769416,313.930958,397.8892845,426.8646759,461.0291325,508.7405166,584.1325458,664.3551203,646.3803771,647.6092349,700.725282,732.605069,775.1550201,778.2155128,764.4045009
Czech Republic,814.9575836,829.8907473,831.6713933,836.7327004,849.1545731,886.3928466,970.5832051,1081.024871,1201.912382,1236.352362,1287.574422,1349.935001,1414.849555,1517.624711,1769.172099,1716.159414
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,1541.179545,1627.537681,1693.760813,1749.896898,2024.016334,2102.641104,2255.072917,2425.152213,2446.341884,2633.469705,2739.740895,3026.010066,3175.342742,3423.956853,3695.362139,3861.319504
Djibouti,41.22837047,37.73704772,43.89844097,54.2442579,68.74039301,61.24469335,55.80518216,57.44843675,70.51779727,61.313515,90.71977861,91.92768987,110.7828376,107.4624828,124.4784765,110.9935989
Dominica,213.7918211,226.9818311,244.4725943,249.0027667,255.5190419,260.7253382,262.3184594,267.7929866,271.4526176,274.6445487,281.198251,323.0651785,344.0178881,354.4837576,385.9617984,508.887238
Dominican Republic,42.22079946,48.50987062,63.11817349,81.45965361,96.59882931,112.4190608,101.2366687,113.8981942,109.9129827,87.69230067,110.4196392,147.768545,152.7451698,177.6717926,209.7330725,250.3910278
East Germany,,,,,,,,,,,,,,,,
Ecuador,104.7405669,121.7144682,115.453755,83.82410932,87.44572457,62.93265431,81.93888005,99.50938263,81.09330267,92.40680767,95.86968157,112.5971196,123.1059938,146.2811487,241.2618334,243.0753988
Egypt,50.46576139,52.26897743,57.76005805,65.18759025,73.41930334,79.18307814,87.80542682,94.77338659,93.25703249,93.81744128,95.79208019,113.4327722,106.8514236,114.8095566,112.952061,107.9400109
El Salvador,92.34294858,119.6666993,127.4798653,148.7584809,153.1060699,166.0201587,169.2521922,176.5969096,177.6162098,191.1531372,214.0263475,249.9930023,239.5278401,242.4198942,264.5665988,277.8155412
Equatorial Guinea,64.44861811,59.82539979,82.42983862,122.554871,72.16707618,68.63366925,147.4689495,427.4925119,262.6091998,274.541602,247.6950688,303.5979056,407.1350119,506.1588986,1185.7648,1173.122875
Eritrea,12.3550707,8.51204626,11.91882637,12.51047787,13.25911385,14.25448299,16.31552058,13.23839384,10.10000651,8.60191119,8.76776665,8.65564801,8.86815053,10.27442489,7.56586109,7.72090757
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
